date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,3.537891,3.5516686,3.5660455,3.5307024,45838852.0,0.0038943351,0.009989899,0.3898273,0.0040636864,0.40677956,0.002031877,0.20339315,0.0018625257,0.1864409,0.99612075,1.0040479,0.99409676,1.0040479,0.97267663,0.9512566,0.9546298,0.85714287,1.0045877,1.0005735,0.97518975,0.9676899,0.93832576,0.0035607617,0.008021362,0.036101773,0.03138344,0.044373736,-0.00035419068,0.0016477827,0.004785196,0.00247478,0.0022434222,0.024735944,0.38682547,0.6149084,0.48191878,0.7795965,-0.003879255,-0.007988489,-0.020649124,-0.0035742125,-0.004506712,1.0118065,1.0118065,1.0303593,1.0303593,1.0303593,0.99409676,0.9617136,0.9095969,0.9095969,0.8242537,1.0059032,1.0044864,1.0041153,1.0031708,0.9742283,1.0029684,0.9987519,0.93466014,0.94005734,0.8967785,0.2,0.4,0.65,0.76666665,0.8833333,0.33333334,0.76430875,0.74860334,0.74860334,0.8527005,0.2,0.6,0.4,0.6,0.8,1.0,0.1,0.35,0.56666666,0.033333335,-0.8,0.5,0.05,0.033333335,0.76666665,-0.58839154,-0.59487605,-0.31519482,-0.22208273,-0.31030047,-0.9463585,0.003532801,0.4199101,0.3361334,0.22037327,0.6,0.7,0.45,0.46666667,0.55,0.4,0.3,0.55,0.53333336,0.45,0.2,0.4,-0.1,-0.06666667,0.1,0.3888899,0.6701676,0.57848984,0.5628798,0.6038754,0.6111101,0.3298324,0.4215102,0.4371202,0.3961246,-0.22222017,0.3403352,0.15697964,0.12575959,0.20775077,0.5651844,0.88143414,1.5915164,1.3850722,1.4447157,0.24822624,0.5985198,1.2827893,1.0939859,0.80642766,1.4798932,1.4045373,2.868908,3.3716898,3.2078204,1.0,0.34335387,0.4837504,0.49567625,0.50103766,0.0,0.65664613,0.5162496,0.5043238,0.4989623,1.0,-0.31329226,-0.032499176,-0.008647522,0.0020753557,0,0
2014-01-03,3.5456784,3.5438812,3.57563,3.5408862,26526070.0,-0.00050687033,0.0097989105,-0.051727213,0.008447346,0.8620699,0.00084469427,0.086202875,-0.008109522,-0.8275943,1.0005071,1.0089588,0.99915487,1.0070994,0.99797165,0.94743073,0.94269776,0.8380663,1.0053753,1.002975,0.97996116,0.9717264,0.94308656,0.004662091,0.007929245,0.035802,0.03148866,0.04304722,-0.0016227135,0.0011801586,0.0046473937,0.002487927,0.002172651,0.30287415,0.2030619,0.5897561,0.48380294,0.77694374,-0.002129841,-0.008285717,-0.024111386,-0.007801356,-0.007179773,1.0140299,1.0140299,1.0326234,1.0326234,1.0326234,0.99628127,0.9815754,0.9115957,0.9115957,0.82606494,1.007708,1.0066937,1.0063219,1.0053753,0.98384047,1.001758,1.0013522,0.93671405,0.9444219,0.90740365,0.2,0.2,0.55,0.7,0.85,0.20952402,0.56770647,0.7304469,0.7304469,0.8420622,0.2,0.5,0.35,0.56666666,0.78333336,0.8,0.1,0.3,0.53333336,0.016666668,-0.6,0.4,0.05,0.033333335,0.76666665,-0.5054643,-0.5624496,-0.33317468,-0.24213518,-0.3219115,-0.5775451,0.14708327,0.41526252,0.33899394,0.26986352,0.4,0.6,0.45,0.46666667,0.55,0.6,0.4,0.55,0.53333336,0.45,-0.2,0.2,-0.1,-0.06666667,0.1,0.31896645,0.5170452,0.5854864,0.58192354,0.62077653,0.68103355,0.48295483,0.41451356,0.41807643,0.37922347,-0.36206713,0.03409037,0.17097288,0.16384713,0.2415531,1.0474764,1.3100692,2.6849716,2.3554037,2.4612744,0.3879868,0.8731714,2.249512,1.9071484,1.4043407,1.3429774,1.6415273,2.8888104,3.4234672,3.2882283,0.5977819,0.35003233,0.47602525,0.48197868,0.47826996,0.4022181,0.6499677,0.5239747,0.5180213,0.52173007,0.19556376,-0.29993534,-0.047949474,-0.036042623,-0.043460075,0,1
2014-01-06,3.4779878,3.4815817,3.520519,3.4749923,62660950.0,0.0010333336,0.013089966,0.07894089,0.011195362,0.8552628,0.0008612713,0.06579629,-0.009300756,-0.71052563,0.9989677,1.0111839,0.9981074,1.023916,1.0001721,0.9470062,0.9624914,0.8508259,1.0185822,1.020905,1.0001463,0.9903648,0.9624484,0.01141629,0.0081203235,0.034450445,0.03170751,0.041701093,-0.0061596837,-0.0013232823,0.003969101,0.0024190673,0.0020921875,0.7277912,0.24342757,0.46458232,0.45110044,0.7677259,-0.0062629036,-0.014950279,-0.037852738,-0.025441268,-0.024167944,1.0309705,1.032175,1.0511012,1.0511012,1.0511012,0.9981074,0.9981074,0.92790776,0.92790776,0.8578803,1.0257399,1.0247076,1.0243291,1.0233655,1.0014453,1.0143152,1.0192704,0.95609087,0.96283555,0.9274949,0.2,0.1,0.35,0.56666666,0.78333336,0.057592005,0.05555578,0.5851954,0.5851954,0.73552966,0.4,0.4,0.3,0.53333336,0.76666665,1.0,1.0,0.25,0.5,0.016666668,-0.6,-0.6,0.05,0.033333335,0.75,-0.84459853,-0.6071387,-0.2700819,-0.24084687,-0.31569383,-0.799835,-0.3407088,0.39806402,0.27201793,0.21562351,0.4,0.6,0.45,0.43333334,0.55,0.6,0.4,0.55,0.56666666,0.45,-0.2,0.2,-0.1,-0.13333334,0.1,0.17371084,0.4986299,0.58452237,0.55055654,0.6068523,0.8262892,0.50137013,0.41547763,0.44944346,0.3931477,-0.65257835,-0.0027402279,0.16904472,0.101113066,0.21370462,0.5759218,0.5663923,1.0828178,1.0044082,1.0392877,0.28226233,0.3829003,0.92645603,0.8063147,0.5943217,1.2911874,1.611593,2.9627945,3.3605905,3.249349,0.75900424,0.5187915,0.4511001,0.50789523,0.49624148,0.24099575,0.4812085,0.5488999,0.49210477,0.5037585,0.51800853,0.037583005,-0.09779976,0.015790464,-0.0075170146,0,1
2014-01-07,3.489968,3.5324998,3.5372918,3.4779878,49473040.0,0.012186853,0.016992705,0.71718144,0.0013730713,0.08080357,0.0034327807,0.20201497,0.0142465625,0.83839285,0.98795986,1.0013565,0.9845684,1.0098355,1.0049176,0.9428522,0.9535357,0.8677293,1.0019331,1.0056977,0.9885874,0.9776383,0.95078003,0.010805597,0.00823776,0.03253037,0.031245548,0.040228203,-0.0050703753,-0.0017266106,0.0034387296,0.0023829162,0.0020093052,0.55045617,0.40270033,0.3910984,0.45075744,0.760905,0.008207606,0.0020719785,-0.021255307,-0.012190588,-0.010054522,1.0161098,1.0172969,1.0359504,1.0359504,1.0359504,0.9837204,0.9837204,0.9145328,0.9145328,0.8617941,1.0074275,1.0099372,1.0095642,1.0086145,0.99362385,0.99711716,1.0025775,0.97039163,0.948957,0.9153468,0.4,0.2,0.45,0.6333333,0.81666666,0.5026204,0.4848497,0.7039111,0.7039111,0.79357386,0.2,0.3,0.25,0.5,0.75,0.8,0.9,0.2,0.46666667,0.016666668,-0.6,-0.6,0.05,0.033333335,0.73333335,-0.8230254,-0.7692906,-0.27474955,-0.24856615,-0.32202205,-0.7826827,-0.68876827,0.41911915,0.26341185,0.22410788,0.4,0.6,0.45,0.43333334,0.55,0.6,0.4,0.55,0.56666666,0.45,-0.2,0.2,-0.1,-0.13333334,0.1,0.40136135,0.4569744,0.59103185,0.5619349,0.5982368,0.59863865,0.5430256,0.40896812,0.4380651,0.4017632,-0.19727732,-0.08605125,0.18206376,0.12386975,0.19647361,0.8397489,0.63640505,1.3652078,1.2778018,1.3119568,0.3334135,0.3228204,1.1751336,1.0191909,0.75382864,0.8770454,1.421563,2.952774,3.3274915,3.3081555,0.64783025,0.38602856,0.49507457,0.5047943,0.4950906,0.35216975,0.6139714,0.50492543,0.4952057,0.5049094,0.29566053,-0.22794287,-0.009850858,0.009588584,-0.009818801,1,1
2014-01-08,3.541485,3.5283065,3.5510695,3.5019488,57692948.0,-0.0037212037,0.013870075,-0.26829007,0.0027063298,0.19512005,0.007442542,0.53658986,0.0010150083,0.07317973,1.0037351,1.0064515,0.99252963,1.0166384,1.0096774,0.94125634,0.9577249,0.88607806,0.9997962,1.0059253,0.99269944,0.98020935,0.95380867,0.0077444375,0.008449814,0.030550683,0.031252738,0.039802432,-0.0016468441,-0.0019190189,0.002823186,0.0023771743,0.0019789499,0.113048606,0.47279793,0.2988858,0.44838145,0.7539633,0.003497448,0.00271031,-0.019519739,-0.0146784,-0.012187713,1.0134125,1.0185059,1.0371816,1.0371816,1.0371816,0.98488957,0.98488957,0.9156197,0.9156197,0.87504244,1.0048556,1.0111375,1.010764,1.0098132,1.0002377,0.9973514,1.0009508,0.98522913,0.95008487,0.9181324,0.4,0.2,0.4,0.6,0.8,0.52976394,0.44949567,0.6941344,0.6941344,0.77068084,0.4,0.2,0.2,0.46666667,0.73333335,0.6,0.8,0.15,0.43333334,0.05,-0.2,-0.6,0.05,0.033333335,0.68333334,-0.61751944,-0.79794526,-0.27828577,-0.24527857,-0.32518226,-0.78427,-0.70346147,0.4168162,0.2624798,0.22896972,0.2,0.5,0.45,0.4,0.53333336,0.8,0.5,0.55,0.6,0.46666667,-0.6,0.0,-0.1,-0.2,0.06666667,0.31716466,0.41176537,0.5939196,0.55656517,0.58658063,0.68283534,0.58823466,0.40608045,0.4434348,0.41341934,-0.36567068,-0.17646928,0.1878391,0.11313037,0.17316131,0.8395891,0.58936924,1.1715409,1.101196,1.1252527,0.2414081,0.31210586,1.0075461,0.872816,0.64638007,0.9267232,1.4561394,2.9589443,3.3331192,3.3554456,0.6732567,0.599161,0.50076586,0.5053871,0.50028676,0.3267433,0.400839,0.4992341,0.49461287,0.4997132,0.34651336,0.198322,0.0015317616,0.01077424,0.00057357125,0,0
2014-01-09,3.5336978,3.539688,3.5660455,3.5175238,40521950.0,0.0016951837,0.0137311565,0.12345527,0.0074588754,0.5432081,0.004577097,0.33333662,-0.0011865948,-0.08641624,0.9983077,1.0074463,0.99373835,1.0033846,1.0074463,0.936199,0.96378404,0.89067525,0.99590456,1.0019462,0.99269754,0.97826475,0.9525639,0.0070971316,0.008283516,0.027800463,0.03132139,0.039378397,0.0010831085,-0.001742588,0.002122288,0.0024260047,0.0019515301,0.058226164,0.40566862,0.20397298,0.4649464,0.7490905,0.0019292457,0.0058954805,-0.012859299,-0.013441844,-0.010134004,1.010154,1.015231,1.0338466,1.0338466,1.0338466,0.9817227,0.9817227,0.91267556,0.91267556,0.8722288,1.0002369,1.0078863,1.007514,1.0065663,0.99820614,0.9941445,0.9977323,0.9837197,0.9470299,0.9170418,0.8,0.4,0.5,0.6666667,0.8333333,0.642859,0.5454549,0.7206707,0.7206707,0.79057616,0.2,0.1,0.15,0.43333334,0.71666664,0.4,0.7,0.1,0.4,0.033333335,-0.2,-0.6,0.05,0.033333335,0.68333334,-0.70723367,-0.82134473,-0.27889058,-0.25114626,-0.3225272,-0.7667642,-0.7785596,0.41334102,0.2597954,0.22420654,0.4,0.5,0.5,0.4,0.53333336,0.6,0.5,0.5,0.6,0.46666667,-0.2,0.0,0.0,-0.2,0.06666667,0.45614097,0.4345244,0.60194683,0.5493998,0.5838961,0.54385906,0.56547564,0.39805317,0.45060024,0.41610393,-0.08771807,-0.13095124,0.20389369,0.098799534,0.16779216,1.1691192,0.90423083,1.6399646,1.5601467,1.5850278,0.35466054,0.41098535,1.4421533,1.2455328,0.92182744,1.1355782,1.3691877,2.9593441,3.3557625,3.381109,0.47172657,0.6049365,0.48242992,0.49476507,0.48425856,0.5282734,0.39506352,0.5175701,0.50523496,0.5157414,-0.05654686,0.20987293,-0.035140183,-0.01046986,-0.031482868,1,1
2014-01-10,3.5552628,3.5660455,3.5720358,3.5313015,30534194.0,0.0030328894,0.011457463,0.26470864,0.0016849013,0.1470571,0.0067396723,0.58823425,0.00808766,0.70588577,0.99697626,1.0016798,0.99025697,0.9937846,1.00084,0.9178566,0.95246094,0.8723333,0.9897867,0.9944566,0.9894675,0.9726188,0.947651,0.008581442,0.008154804,0.022697514,0.031321235,0.03850615,0.0049386914,-0.0010119627,0.0012498911,0.0024668584,0.0019023613,0.82802474,0.14116058,0.10613433,0.48074234,0.7444329,0.00033594796,0.010097261,-0.0013414584,-0.008388289,-0.0037706967,1.0016798,1.0077273,1.0262053,1.0262053,1.0262053,0.9744666,0.9744666,0.90592974,0.90592974,0.86578196,0.99408704,1.0000672,1.0000672,0.9997312,0.99193686,0.98679656,0.9903578,0.98145473,0.9400302,0.9107677,1.0,0.8,0.775,0.85,0.925,0.93827236,0.767676,0.7821231,0.7821231,0.83664936,1.0,0.1,0.1,0.4,0.7,0.2,0.6,0.05,0.36666667,0.016666668,0.8,-0.5,0.05,0.033333335,0.68333334,-0.8789165,-0.821532,-0.29016802,-0.27002722,-0.34498858,-0.91807723,-0.79967815,0.41072735,0.2526092,0.2133801,0.6,0.5,0.55,0.43333334,0.55,0.4,0.5,0.45,0.56666666,0.45,0.2,0.0,0.1,-0.13333334,0.1,0.5714288,0.4933332,0.6339724,0.5647596,0.5993723,0.4285712,0.50666684,0.3660276,0.4352404,0.40062764,0.14285758,-0.013333645,0.26794478,0.12951925,0.1987447,1.5777923,1.2438849,2.1173282,2.052031,2.0868196,0.42445475,0.5044269,1.9318671,1.6619784,1.2315763,0.9908377,1.2341104,2.9976923,3.3544974,3.408091,0.5236603,0.55047673,0.47236338,0.49060345,0.48830155,0.4763397,0.44952327,0.5276366,0.50939655,0.5116984,0.047320582,0.10095344,-0.05527321,-0.018793086,-0.023396898,1,1
2014-01-13,3.5510695,3.5103352,3.5606542,3.4989538,48890430.0,-0.011470992,0.017375143,-0.6601955,0.0026990925,0.15534218,0.003205059,0.18446231,-0.010965026,-0.6310754,1.0116041,1.0143346,0.99675775,0.9918089,1.015529,0.92133117,0.9711605,0.88583624,1.0071331,1.0086861,1.0091041,0.989016,0.96459335,0.005776159,0.008630644,0.01211729,0.03172582,0.038078334,-0.000187735,-0.0012338423,-0.00012792234,0.0024665636,0.0018634538,0.0026409018,0.18734598,0.0039007652,0.46844712,0.73043436,-0.0067576994,-0.003133773,-0.007888887,-0.02478115,-0.019565227,1.0175768,1.0225257,1.0424916,1.0424916,1.0424916,0.99078506,0.98993176,0.97303754,0.9203072,0.88225263,1.0098635,1.0159386,1.0159386,1.0155972,1.0076792,1.0040957,1.0040957,0.9996587,0.95494884,0.93058026,0.2,0.2,0.25,0.5,0.75,0.34394598,0.30890012,0.38820595,0.6522343,0.73482394,0.8,0.2,0.05,0.36666667,0.68333334,0.2,0.5,0.2,0.33333334,0.016666668,0.6,-0.3,-0.15,0.033333335,0.6666667,-0.8314071,-0.83153063,-0.17351216,-0.28091466,-0.357174,-0.8851758,-0.80540895,0.40150163,0.2328682,0.19304037,0.6,0.5,0.55,0.4,0.55,0.4,0.5,0.45,0.6,0.45,0.2,0.0,0.1,-0.2,0.1,0.5967736,0.40130192,0.6243925,0.5374389,0.5854405,0.4032264,0.5986981,0.3756075,0.46256107,0.41455948,0.19354719,-0.19739614,0.24878505,0.07487786,0.17088105,0.92906755,0.83360195,1.2656913,1.2906272,1.3008109,0.21075319,0.29670388,1.1929759,1.0341684,0.7699226,0.87406063,1.0246208,3.028605,3.313715,3.3736463,0.3971164,0.5943197,0.45624903,0.5073262,0.49722192,0.6028836,0.4056803,0.543751,0.4926738,0.5027781,-0.2057672,0.18863939,-0.087501965,0.014652375,-0.005556183,0,1
2014-01-14,3.5151277,3.6163642,3.6259487,3.5121326,69770744.0,0.028800258,0.032378916,0.88947564,0.0027266226,0.08420982,0.0008520357,0.026314521,0.02692567,0.83158034,0.97200596,1.0026503,0.9711778,0.97680974,0.9864171,1.0086136,0.94053334,0.8625145,0.9822428,0.9804704,0.9790873,0.962001,0.93860364,0.011391888,0.010520603,0.010755186,0.031405974,0.036568895,0.0040582917,0.0004286667,0.0006278326,0.0025178068,0.0017881441,0.31727442,0.0152184265,0.1192669,0.49810624,0.7292579,0.009640568,0.017600551,0.014948282,0.0014907931,0.008646123,1.0026503,1.0026503,1.0084479,1.0119264,1.0119264,0.9675336,0.9609077,0.94450885,0.8933245,0.86135495,0.98886865,0.9872453,0.9861521,0.98608583,0.97902936,0.9746563,0.9746563,0.9703495,0.92695045,0.90498596,1.0,1.0,1.0,0.96666664,0.98333335,0.924529,0.93650866,0.8678756,0.89944136,0.9207921,1.0,1.0,0.05,0.33333334,0.6666667,0.8,0.4,0.15,0.3,0.016666668,0.2,0.6,-0.1,0.033333335,0.65,0.27943593,-0.25403592,-0.55341256,-0.30691996,-0.3398618,-0.08113812,-0.45881099,0.02348751,0.24672584,0.2065166,0.6,0.5,0.55,0.43333334,0.55,0.4,0.5,0.45,0.56666666,0.45,0.2,0.0,0.1,-0.13333334,0.1,0.7058815,0.5646685,0.480597,0.5741429,0.60181546,0.29411855,0.4353315,0.51940304,0.42585713,0.39818454,0.41176292,0.12933701,-0.038806032,0.14828576,0.20363091,0.7092092,0.6523292,0.7473143,0.93001634,0.91312355,0.2172124,0.2222736,0.48459628,0.71354526,0.5396272,1.296081,1.1188217,1.5128436,3.1898239,3.291899,0.63601583,0.6425485,0.30281,0.5295873,0.50252277,0.36398414,0.35745147,0.69719,0.4704127,0.49747723,0.27203172,0.28509703,-0.39438,0.05917461,0.0050455113,1,1
2014-01-15,3.6205575,3.6948376,3.7026253,3.6181614,70451840.0,0.020516183,0.023328958,0.87942994,0.0021509682,0.09220164,0.000661806,0.028368434,0.01902702,0.8155967,0.97989625,1.0021077,0.97924775,0.9549287,0.9708172,0.94844365,0.9202334,0.853275,0.9703956,0.9625649,0.9608706,0.9442283,0.9211144,0.019626286,0.01623691,0.01379363,0.032242846,0.036257897,0.009760041,0.0033653642,0.0010548016,0.0026941588,0.0017726587,0.618254,0.39379373,0.20466919,0.54110473,0.72902906,0.010084317,0.022290992,0.029108742,0.016706396,0.026592191,1.0021077,1.0021077,1.0021077,1.0021077,1.0021077,0.94698447,0.9404993,0.9244488,0.8743515,0.845655,0.9830091,0.9678664,0.96556425,0.9652076,0.95946825,0.95642024,0.95395595,0.95395595,0.9072633,0.8878081,1.0,1.0,1.0,1.0,1.0,0.9617634,0.9657883,0.9728592,0.983502,0.98652804,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.1,0.26666668,0.05,0.4,0.7,0.9,0.73333335,0.95,0.6592705,0.30852643,-0.23688863,-0.28548354,-0.30507132,-0.09203618,-0.45484793,-0.13731396,0.25371632,0.20323145,0.8,0.5,0.6,0.46666667,0.55,0.2,0.5,0.4,0.53333336,0.45,0.6,0.0,0.2,-0.06666667,0.1,0.79956836,0.6229503,0.62905794,0.59647053,0.6090098,0.20043163,0.37704968,0.37094206,0.40352947,0.3909902,0.59913677,0.2459006,0.2581159,0.19294104,0.2180196,0.7385731,0.7130559,0.6859974,0.9389506,0.90433615,0.25176615,0.2150916,0.368833,0.70140904,0.53441757,0.8951773,0.95965487,1.0793372,3.10297,3.2599037,0.59510714,0.64178175,0.39883628,0.5212603,0.5000642,0.40489283,0.35821822,0.6011637,0.47873968,0.4999358,0.19021432,0.28356355,-0.2023274,0.042520616,0.00012836332,1,0
