date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,0.6594963,0.6542769,0.6594963,0.64756644,208845100.0,-0.007914222,0.018089365,-0.43750688,0.0,0.0,0.010175143,0.56249315,0.0022609222,0.12498626,1.0079774,1.0079774,0.9897437,0.9908832,0.95726496,0.9754987,0.9595444,1.0065587,0.99817675,0.9891169,0.9712252,0.9738653,0.9896266,0.0058303424,0.014191599,0.02127303,0.01897956,0.02317947,0.0026779945,0.004002407,0.0032662805,0.000681987,-0.00078907365,0.52743787,0.72910726,0.8251185,0.10006485,0.35345,-0.003532768,-0.007127769,-0.0022548793,0.016245913,0.03365106,1.0085473,1.0085473,1.0085473,1.0085473,1.029782,0.989174,0.9509974,0.9350429,0.9350429,0.9350429,1.0014815,0.9981767,0.9943022,0.99327666,1.0098442,0.99361855,0.9776641,0.9524788,0.9581765,0.9594304,0.8,0.9,0.95,0.96666664,0.6166667,0.5588101,0.85148054,0.88371736,0.88371736,0.68564135,0.8,0.9,0.95,0.96666664,0.083333336,0.4,0.1,0.1,0.4,0.7,0.4,0.8,0.85,0.56666666,-0.6166667,0.6368162,-0.5267172,-0.69553375,-0.5886913,-0.2310408,0.10948118,0.38181835,-0.12768549,0.02324792,-0.077833116,0.6,0.6,0.4,0.43333334,0.46666667,0.4,0.4,0.45,0.46666667,0.48333332,0.2,0.2,-0.05,-0.033333335,-0.016666668,0.681815,0.73885024,0.57597107,0.58852786,0.4943039,0.31818494,0.26114973,0.42402893,0.41147214,0.5056961,0.3636301,0.47770053,0.15194212,0.17705575,-0.011392191,0.62712336,1.0060236,1.340597,1.2832491,1.3482352,0.23237765,0.59716725,0.6784385,0.6001522,0.48581472,0.972206,1.1126919,1.5836481,1.5733384,1.2777708,0.8224761,0.48362905,0.47366866,0.4654156,0.47623113,0.17752391,0.51637095,0.52633137,0.5345844,0.52376884,0.6449522,-0.032741882,-0.052662674,-0.06916883,-0.04753773,0,0
2014-01-03,0.65390414,0.6527857,0.6598691,0.65129447,181675600.0,-0.0017103754,0.013112939,-0.13043419,0.009122033,0.6956513,0.002280531,0.17391455,-0.008551877,-0.6521709,1.0017133,1.010851,0.99771553,0.99600255,0.9725873,0.9486008,0.9605937,0.99409693,1.0012565,0.9941177,0.9760138,0.97740346,0.9919856,0.00533302,0.01276755,0.021267202,0.019274842,0.023254424,0.0012563908,0.0032293184,0.003260858,0.0007309329,-0.00077383145,0.13875322,0.58643264,0.8228318,0.11144871,0.33773914,-0.0037692362,-0.008649626,-0.0069919373,0.011998008,0.03084238,1.0108511,1.0108511,1.0108511,1.0108511,1.0321344,0.9914337,0.95888066,0.9371789,0.9371789,0.9371789,1.0037693,1.0004568,0.99908614,0.99657357,1.012151,0.9981724,0.9908623,0.958538,0.96082246,0.9616221,0.6,0.75,0.875,0.8833333,0.55833334,0.44116637,0.7912055,0.8527105,0.8527105,0.6615844,0.6,0.8,0.9,0.93333334,0.06666667,0.2,0.1,0.05,0.36666667,0.68333334,0.4,0.7,0.85,0.56666666,-0.6166667,0.47173738,-0.4274249,-0.6674644,-0.5982885,-0.24050611,0.2933443,0.34856766,0.291474,0.019220145,-0.07804987,0.4,0.5,0.4,0.43333334,0.46666667,0.6,0.5,0.45,0.46666667,0.48333332,-0.2,0.0,-0.05,-0.033333335,-0.016666668,0.58138996,0.67390984,0.69067657,0.58560836,0.5052281,0.41861,0.32609013,0.3093234,0.4143916,0.4947719,0.16277997,0.34781975,0.38135317,0.17121677,0.010456177,0.80762726,1.081776,1.4084835,1.4628129,1.5252492,0.2747065,0.6549978,0.60878676,0.69513845,0.54939145,0.92164725,1.3142719,1.2391661,1.5701329,1.3173542,0.77033997,0.41728818,0.35131636,0.48854154,0.47339773,0.22966003,0.5827118,0.6486836,0.51145846,0.52660227,0.54067993,-0.16542362,-0.29736727,-0.022916919,-0.053204555,0,0
2014-01-06,0.65241295,0.644584,0.6527857,0.6419743,267577860.0,-0.011999993,0.01657148,-0.7241353,0.00057136733,0.034478955,0.0040001194,0.24138577,-0.008571241,-0.5172284,1.0121458,1.012724,0.9959513,1.0080973,0.9762867,0.9543089,0.9733951,0.9969716,1.012377,1.0091382,0.9907172,0.9907268,1.0046582,0.00813428,0.007924531,0.020103233,0.019350834,0.023536913,-0.0032966735,0.0008692942,0.002928802,0.0006923687,-0.0008041739,0.41063276,0.1103057,0.74287593,0.09921497,0.35604164,-0.0057836804,-0.013050046,-0.018540807,-0.0007661709,0.019064937,1.0237132,1.0237132,1.0237132,1.0237132,1.0452673,0.9959513,0.9733951,0.96009254,0.9491036,0.9491036,1.0165412,1.0131867,1.0117985,1.009254,1.0250297,1.0092537,1.0046269,0.97304803,0.97304803,0.9738578,0.2,0.2,0.6,0.6333333,0.38333333,0.14583632,0.52873343,0.62727123,0.68216884,0.52926785,0.4,0.7,0.85,0.9,0.05,1.0,0.1,0.1,0.33333334,0.6666667,-0.6,0.6,0.75,0.56666666,-0.6166667,-0.47744295,-0.4661177,-0.6284152,-0.58878773,-0.2375076,-0.08533676,0.11437245,0.10849613,-0.014672254,-0.10012866,0.4,0.5,0.4,0.4,0.46666667,0.6,0.5,0.45,0.5,0.48333332,-0.2,0.0,-0.05,-0.1,-0.016666668,0.390623,0.64137924,0.65991765,0.5542452,0.5026348,0.60937697,0.35862076,0.34008235,0.44575483,0.49736518,-0.21875398,0.28275847,0.31983528,0.10849034,0.0052696383,0.6750559,0.74033076,0.9359886,0.99084353,1.0288249,0.23968056,0.44811428,0.39982072,0.4717504,0.36985558,0.8446388,1.2594937,1.2211391,1.5002377,1.3192568,0.8738025,0.5092993,0.4616817,0.4968355,0.4892592,0.12619755,0.49070075,0.5383183,0.5031645,0.51074076,0.7476049,0.018598506,-0.07663659,-0.0063290275,-0.021481564,0,1
2014-01-07,0.6475664,0.6475664,0.6498032,0.64346546,218160940.0,0.0,0.009787046,0.0,0.0034542298,0.35293895,0.006332816,0.64706105,0.0028785863,0.29412207,1.0,1.0034542,0.9936672,1.0069084,0.9896376,0.9689121,0.9942429,1.0238568,1.0063329,1.0055269,0.9877088,0.9863559,0.9996336,0.008825425,0.0062254393,0.019807193,0.019373333,0.023218809,-0.0050662346,-0.00036985427,0.0028408605,0.000834161,-0.0007601391,0.8238332,0.03235435,0.7199825,0.14367883,0.32689333,0.0037996345,-0.0038625156,-0.014696991,0.0015487475,0.022790493,1.0189985,1.0189985,1.0189985,1.0189985,1.0404533,0.9913644,0.9913644,0.95567083,0.9447325,0.9447325,1.0118595,1.0085205,1.0071387,1.0046059,1.0198511,0.99907887,1.0009211,0.96856666,0.96856666,0.9693727,0.4,0.2,0.6,0.7,0.45,0.31249687,0.31249687,0.69999635,0.74418265,0.5773819,0.2,0.6,0.8,0.8666667,0.033333335,0.8,0.9,0.05,0.3,0.65,-0.6,-0.3,0.75,0.56666666,-0.6166667,-0.9252871,-0.1162797,-0.6105396,-0.60940987,-0.24587642,-0.18348946,-0.2592157,0.16336551,-0.06076834,-0.08054503,0.4,0.5,0.4,0.4,0.46666667,0.6,0.5,0.45,0.5,0.48333332,-0.2,0.0,-0.05,-0.1,-0.016666668,0.40909278,0.5737684,0.62162,0.51288664,0.4781198,0.5909072,0.42623162,0.37837997,0.48711333,0.5218802,-0.18181443,0.14753672,0.24324006,0.02577333,-0.043760423,0.93939644,0.78707266,1.124894,1.1929967,1.2560145,0.20302524,0.31392404,0.4856679,0.5733981,0.45472556,0.6948931,1.1034812,1.2826128,1.5941703,1.3556789,0.72122097,0.30013776,0.46426895,0.47532877,0.49237043,0.27877903,0.69986224,0.535731,0.5246712,0.5076296,0.44244194,-0.39972445,-0.07146208,-0.04934243,-0.015259165,1,1
2014-01-08,0.64868474,0.6494304,0.6505488,0.640483,215288140.0,0.0011494862,0.015517236,0.07407802,0.0017241373,0.11111111,0.012643612,0.8148109,0.012068961,0.7777778,0.99885184,1.0017222,0.98622274,1.0149256,1.0051665,0.9661311,0.9902415,1.0271953,1.0004593,1.0021241,0.9865673,0.9838501,0.9963112,0.006026157,0.006188969,0.019509241,0.01951587,0.02280999,-0.0022962226,-0.00034444768,0.002752856,0.0009843798,-0.0007010752,0.3629836,0.028393656,0.6968741,0.19717476,0.2881236,0.0041331416,-0.0005740932,-0.012719439,0.0018763617,0.024370546,1.0160736,1.0160738,1.0160738,1.0160738,1.037467,0.98622274,0.98622274,0.95350194,0.9420209,0.9420209,1.0056258,1.0056258,1.0042479,1.0017225,1.0160103,0.9962113,0.99804825,0.96578664,0.96578664,0.9665904,0.6,0.4,0.65,0.73333335,0.5,0.46153656,0.46153373,0.7431149,0.7829419,0.60745364,0.4,0.5,0.75,0.8333333,0.016666668,1.0,1.0,0.05,0.26666668,0.6333333,-0.6,-0.5,0.7,0.56666666,-0.6166667,-0.8307594,-0.2335171,-0.57698035,-0.6044859,-0.24838515,-0.8940706,0.024968477,0.17282261,-0.07033757,-0.07688479,0.4,0.5,0.45,0.43333334,0.46666667,0.6,0.5,0.45,0.46666667,0.48333332,-0.2,0.0,0.0,-0.033333335,-0.016666668,0.24999538,0.45263103,0.6299542,0.52173823,0.47482827,0.7500046,0.54736894,0.37004575,0.4782618,0.52517176,-0.50000924,-0.09473794,0.25990847,0.04347641,-0.05034348,1.0140342,0.7703155,1.0957836,1.2140826,1.2703046,0.14444447,0.28257966,0.46062347,0.5783851,0.46186846,0.8523852,0.9705287,1.2480565,1.5823873,1.3650753,0.64804924,0.4355024,0.42845568,0.50600773,0.49679545,0.35195073,0.5644976,0.5715443,0.49399224,0.5032046,0.2960985,-0.12899515,-0.14308861,0.012015498,-0.0064091207,1,0
2014-01-09,0.64943063,0.648685,0.6524131,0.64570254,237066060.0,-0.0011481659,0.010332942,-0.111117035,0.0045923884,0.4444415,0.0045923884,0.4444415,-0.0011481659,-0.111117035,1.0011495,1.0057472,0.99540234,1.0086204,0.999425,0.9672413,0.99252844,1.0340886,0.99988484,1.0033332,0.98933893,0.98522973,0.9968879,0.004586889,0.0061589316,0.019094279,0.019684892,0.022327757,-0.0005172134,-0.0007802286,0.002608672,0.0011344632,-0.00063562125,0.03178653,0.14711075,0.65328157,0.25740466,0.24717614,0.0011495592,0.00017785995,-0.014121308,-0.001679459,0.02186292,1.0172412,1.0172414,1.0172414,1.0172414,1.0380886,0.987356,0.987356,0.95517224,0.9431034,0.9431034,1.0021837,1.0067813,1.005402,1.0028735,1.0162634,0.99735606,0.9996551,0.9668965,0.9668965,0.9677011,0.6,0.3,0.6,0.7,0.48333332,0.42308545,0.42308283,0.72222304,0.76744217,0.599005,0.2,0.4,0.7,0.8,0.016666668,0.8,0.9,0.25,0.23333333,0.6166667,-0.6,-0.5,0.45,0.56666666,-0.6,-0.94161296,-0.3396727,-0.52752167,-0.5960671,-0.25493625,-0.87969255,-0.28073356,0.1668256,-0.069796145,-0.07727266,0.4,0.5,0.45,0.4,0.45,0.6,0.5,0.5,0.5,0.5,-0.2,0.0,-0.05,-0.1,-0.05,0.3170745,0.5058855,0.62445396,0.5166247,0.46821594,0.6829255,0.49411452,0.37554604,0.4833753,0.53178406,-0.36585099,0.011770991,0.2489079,0.03324937,-0.0635681,0.9446891,0.748579,0.960472,1.1139717,1.152205,0.13290928,0.26307657,0.38482323,0.51892626,0.41981617,1.1231036,1.0553948,1.2325066,1.5797056,1.3776176,0.5754009,0.6795895,0.43895423,0.51464546,0.49799916,0.42459908,0.32041046,0.56104577,0.4853545,0.50200087,0.15080182,0.35917908,-0.12209151,0.029290967,-0.0040016775,0,1
2014-01-10,0.6475665,0.65129447,0.6527858,0.6460752,213786000.0,0.005756895,0.01036278,0.5555358,0.002302942,0.22223209,0.002302942,0.22223209,0.005756895,0.5555358,0.99427605,1.0022898,0.9919863,1.0022897,0.998283,0.9633659,1.0028621,1.0140133,0.99542075,0.9994849,0.9872067,0.98118687,0.9926602,0.0038184184,0.0061262413,0.018544724,0.019504093,0.022085795,0.0022324065,-0.0008083165,0.0024596367,0.0013995034,-0.00058562914,0.8545147,0.15958282,0.61570007,0.3990232,0.21444659,0.0001144148,0.004152538,-0.010573267,-0.0014796953,0.024615861,1.0022898,1.0131657,1.0131657,1.0131657,1.0339291,0.98340005,0.98340005,0.95134526,0.93932474,0.93932474,0.9977103,1.0027475,1.0013736,0.9986264,1.0113385,0.99336004,0.9956499,0.96531194,0.9630225,0.9638239,1.0,0.6,0.75,0.8333333,0.5833333,0.8787826,0.55768865,0.78703374,0.82170236,0.6413581,1.0,0.3,0.65,0.76666665,0.016666668,0.6,0.8,0.2,0.2,0.6,0.4,-0.5,0.45,0.56666666,-0.5833333,-0.84991777,-0.39446864,-0.49715894,-0.63939863,-0.2682018,-0.9799335,-0.2881196,0.15559398,-0.18142574,-0.0707876,0.6,0.5,0.5,0.4,0.46666667,0.4,0.5,0.5,0.5,0.48333332,0.2,0.0,0.0,-0.1,-0.016666668,0.45454347,0.51723886,0.63559234,0.49329746,0.48658192,0.5454565,0.48276114,0.3644077,0.50670254,0.5134181,-0.09091306,0.03447769,0.27118462,-0.013405104,-0.026836155,1.0776,0.88196135,1.0478175,1.216188,1.2698514,0.10668599,0.2679678,0.42176482,0.57335097,0.4661994,1.0017977,0.97110736,1.187757,1.662936,1.4100498,0.58761364,0.66854507,0.47062418,0.47659788,0.48987842,0.41238633,0.33145493,0.5293758,0.52340215,0.5101216,0.17522733,0.33709016,-0.05875163,-0.04680426,-0.020243146,1,1
2014-01-13,0.6483122,0.64570254,0.65241313,0.64309293,245249900.0,-0.0040253294,0.014376097,-0.28000152,0.006325531,0.44000334,0.004025237,0.27999514,-0.0063256226,-0.4400097,1.0040416,1.0103927,0.9959585,0.9982677,1.006351,0.9653579,1.001732,1.03083,1.0043879,1.0075055,0.99748826,0.98962647,1.000743,0.0032300667,0.0066890214,0.017292906,0.019638939,0.021936331,-0.00028861567,-0.0013786618,0.0020615917,0.0015612654,-0.0005426373,0.019959833,0.38940525,0.4974362,0.48980042,0.18663418,-0.0038105652,-0.0013015709,-0.017073376,-0.01226481,0.015264776,1.0109698,1.0219399,1.0219399,1.0219399,1.0411612,0.99191654,0.99191654,0.9595841,0.9474595,0.9474595,1.0063508,1.0114316,1.0100458,1.0072747,1.0190065,1.0023092,1.0023092,0.98152417,0.9713625,0.9721708,0.2,0.2,0.4,0.6,0.43333334,0.4242561,0.26923928,0.64814967,0.7054271,0.56072086,0.8,0.2,0.6,0.73333335,0.15,0.4,0.7,0.15,0.16666667,0.5833333,0.4,-0.5,0.45,0.56666666,-0.43333334,-0.7418051,-0.607005,-0.4867143,-0.64390945,-0.29542923,-0.8709553,-0.2981086,0.11112804,-0.21206772,-0.07724394,0.6,0.5,0.5,0.4,0.45,0.4,0.5,0.5,0.5,0.5,0.2,0.0,0.0,-0.1,-0.05,0.5405467,0.44554392,0.62500024,0.49595708,0.47076768,0.45945325,0.55445606,0.37499976,0.5040429,0.5292323,0.08109346,-0.10891215,0.2500005,-0.008085824,-0.05846463,0.92114294,0.8288285,0.91125894,1.0581034,1.099089,0.058321867,0.20340364,0.36698985,0.4999143,0.4037791,0.71049106,0.8013703,1.1740792,1.6729866,1.4165044,0.41333097,0.70698434,0.49583524,0.4970588,0.4883128,0.586669,0.29301566,0.50416476,0.5029412,0.51168716,-0.17333806,0.41396868,-0.008329512,-0.0058823987,-0.023374349,0,1
2014-01-14,0.646448,0.6572594,0.6613603,0.64495677,326887300.0,0.016724296,0.025374902,0.6590881,0.0063437717,0.25000182,0.0023068346,0.090910085,0.012687359,0.49999636,0.9835508,1.0062394,0.98128194,0.9852524,0.9920588,0.94724905,0.981282,1.0200349,0.9896768,0.99058425,0.98258656,0.97284937,0.98281264,0.006533972,0.0073138988,0.01569011,0.019890038,0.02112028,0.0019285511,-0.00064627477,0.0017954692,0.0017754628,-0.0004429446,0.21779492,0.07157279,0.45832327,0.61752367,0.13415267,0.0064661386,0.012323958,0.0003564866,0.0014064081,0.030254234,1.0062394,1.0062394,1.0062394,1.0062394,1.022854,0.97447526,0.97447526,0.94271135,0.9307999,0.9307999,0.9927396,0.9963698,0.99319345,0.9911514,1.0008632,0.98604673,0.9846852,0.9732277,0.9542826,0.95507675,1.0,0.9,0.95,0.96666664,0.78333336,0.80357045,0.80357045,0.90178484,0.91729236,0.75173265,1.0,1.0,1.0,1.0,0.13333334,0.2,0.6,0.1,0.13333334,0.56666666,0.8,0.4,0.9,0.8666667,-0.43333334,0.6849546,-0.346106,-0.40358844,-0.59938586,-0.30775705,0.4019727,-0.043936893,0.16698344,-0.20227534,-0.054185078,0.6,0.5,0.55,0.43333334,0.45,0.4,0.5,0.45,0.46666667,0.5,0.2,0.0,0.1,-0.033333335,-0.05,0.7166745,0.55555725,0.67286277,0.54156154,0.48103857,0.28332552,0.44444275,0.3271372,0.45843843,0.5189614,0.43334895,0.111114495,0.3457256,0.08312315,-0.037922867,0.75761735,0.69228005,0.6960682,0.8176283,0.82546526,0.14176805,0.14776854,0.28402102,0.36425856,0.30337083,1.1804225,0.9669486,1.087593,1.5616989,1.3932848,0.8375922,0.76422584,0.5305299,0.54689157,0.5017053,0.16240779,0.23577414,0.46947008,0.45310843,0.4982947,0.6751844,0.5284517,0.06105984,0.09378313,0.0034105666,1,0
2014-01-15,0.6606148,0.6684438,0.6740359,0.6594964,317434620.0,0.011851097,0.022009013,0.5384656,0.008465005,0.3846154,0.0016929109,0.076918975,0.005079003,0.23076923,0.9882877,1.0083659,0.98661464,0.9715557,0.9860568,0.9291688,0.9542664,1.00075,0.9788064,0.97540414,0.96968746,0.95809615,0.96635574,0.01344915,0.010415696,0.014600175,0.021093443,0.020746067,0.0068042483,0.0015853139,0.0016652083,0.0020100402,-0.00032212512,0.6398978,0.21235643,0.45529094,0.70374644,0.07353219,0.0075851483,0.017461931,0.014493035,0.0127582885,0.043146968,1.0083659,1.0083659,1.0083659,1.0083659,1.0083659,0.9620748,0.95817035,0.92693794,0.9152258,0.9152258,0.9866144,0.97969854,0.9770215,0.97568285,0.9841168,0.9695482,0.96820945,0.96319,0.9383155,0.9390964,1.0,1.0,1.0,1.0,0.98333335,0.819277,0.8333345,0.89726055,0.9101798,0.9101798,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.05,0.1,0.55,0.4,0.5,0.95,0.9,0.45,0.75667447,0.47349745,-0.19170481,-0.51673144,-0.28785825,0.1138235,-0.3331388,0.16425487,-0.13874207,-0.05951372,0.6,0.5,0.6,0.46666667,0.46666667,0.4,0.5,0.4,0.43333334,0.48333332,0.2,0.0,0.2,0.033333335,-0.016666668,0.80000865,0.5912427,0.71525484,0.6004907,0.4992978,0.19999135,0.40875736,0.28474516,0.3995093,0.5007022,0.6000173,0.1824853,0.43050966,0.20098138,-0.001404379,0.8445354,0.76613307,0.7185088,0.8541345,0.8540359,0.16005258,0.14993496,0.29410908,0.37408373,0.31277165,0.89088905,0.95833546,1.0166782,1.5115787,1.3554649,0.8047112,0.7148,0.5042636,0.52424484,0.50773317,0.19528879,0.28519997,0.49573642,0.47575516,0.4922668,0.6094224,0.42960006,0.008527133,0.04848966,0.015466366,1,0
