date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,14.843631,14.976237,14.984525,14.752463,7988633.0,0.008933563,0.015633734,0.5714286,0.00055831554,0.03571223,0.0061418563,0.3928592,0.014517103,0.9285755,0.99114555,1.0005534,0.98505807,1.005534,0.94410634,0.9474269,0.96956277,0.913669,0.991699,0.9885445,0.9649142,0.96039474,0.95431656,0.007855555,0.01630439,0.0284176,0.024356985,0.025197992,-5.5330827e-05,0.002606037,0.0036116864,0.0016917281,0.00052586367,0.00012402824,0.2341874,0.56534463,0.37386584,0.13283555,0.008411687,-0.00027171784,0.0007747553,0.015075178,0.030170467,1.0121748,1.0182623,1.0182623,1.0182623,1.0182623,0.9806308,0.92695075,0.9186496,0.9186496,0.8887659,1.0001106,1.0013281,0.99114555,0.98627555,0.9777531,0.98594356,0.9835087,0.93879366,0.9435529,0.9312673,0.8,0.7,0.85,0.9,0.95,0.6140355,0.80000013,0.81666696,0.81666696,0.8589745,0.2,0.4,0.7,0.8,0.9,0.8,0.1,0.35,0.56666666,0.38333333,-0.6,0.3,0.35,0.23333333,0.51666665,0.6428178,-0.32641652,-0.17643024,-0.24475059,-0.34952262,0.70548093,0.29070014,-0.13808095,-0.07211245,-0.08201454,0.4,0.7,0.65,0.6,0.56666666,0.6,0.3,0.35,0.4,0.4,-0.2,0.4,0.3,0.2,0.16666667,0.42187402,0.78857255,0.61845386,0.5442836,0.5638299,0.57812595,0.21142745,0.3815461,0.45571637,0.4361701,-0.15625197,0.5771451,0.23690777,0.08856726,0.1276598,0.5815191,0.96904653,0.90400475,0.9978422,1.2264254,0.23540403,0.6346562,0.47104466,0.45878795,0.744057,1.1343409,1.2678448,1.1026951,1.0299209,1.6779416,0.8911314,0.48416373,0.4883663,0.47668695,0.50671226,0.10886861,0.5158363,0.5116337,0.52331305,0.49328777,0.7822628,-0.031672545,-0.023267377,-0.04662608,0.0134244785,0,1
2014-01-03,14.752463,15.158572,15.208299,14.619857,8680967.0,0.027528206,0.0398877,0.6901427,0.0033707242,0.08450535,0.008988771,0.22535193,0.03314625,0.8309893,0.9732093,1.0032804,0.9644613,0.98851824,0.939311,0.9431383,0.9234554,0.89502466,0.9820667,0.98272276,0.9561508,0.95139414,0.9445872,0.011697056,0.011143162,0.02981683,0.025305359,0.025165018,0.006615638,0.0013585965,0.004074705,0.0018263421,0.0005322085,0.799706,0.13626224,0.6536382,0.40368342,0.13641714,0.0047020447,0.011163577,0.005139466,0.0221239,0.039712705,1.0032804,1.0060141,1.0060141,1.0060141,1.0060141,0.9644613,0.9371239,0.9075996,0.9075996,0.87807536,0.9903772,0.9925642,0.98808086,0.97528696,0.9679607,0.97408414,0.97408414,0.9275014,0.93406224,0.92072165,1.0,1.0,1.0,1.0,1.0,0.9154946,0.9126999,0.93888986,0.93888986,0.95299214,1.0,0.3,0.65,0.76666665,0.8833333,1.0,0.1,0.3,0.53333336,0.36666667,0.0,0.2,0.35,0.23333333,0.51666665,0.941693,-0.12081601,-0.12477006,-0.16936556,-0.34464005,0.614252,0.2888653,-0.12049798,-0.09019567,-0.068620734,0.6,0.7,0.65,0.6333333,0.5833333,0.4,0.3,0.35,0.36666667,0.38333333,0.2,0.4,0.3,0.26666668,0.2,0.63636607,0.8000014,0.6268298,0.6206901,0.5780488,0.36363393,0.19999863,0.3731702,0.37930992,0.4219512,0.27273217,0.60000277,0.2536596,0.24138017,0.15609759,0.64289546,0.88083875,0.85005426,0.9068384,1.12867,0.29167175,0.5805321,0.43248707,0.4148918,0.6847054,0.9131461,1.2175788,1.0606874,0.98341316,1.6707656,0.8809333,0.48317885,0.5349599,0.4821344,0.5000597,0.11906669,0.51682115,0.46504006,0.5178656,0.4999403,0.7618666,-0.033642277,0.06991987,-0.03573121,0.00011939892,1,1
2014-01-06,15.233161,14.984525,15.374056,14.976236,7226437.5,-0.016322039,0.026115362,-0.6249976,0.009249222,0.35416788,0.00054410135,0.020834532,-0.02502716,-0.9583309,1.0165929,1.0259956,0.99944687,0.9856195,0.9767698,0.9280974,0.95132756,0.90044254,0.99634963,0.9964602,0.9708518,0.96406716,0.95721793,0.0111760935,0.009559314,0.029528474,0.026400248,0.025045201,0.005641552,0.0005363403,0.003971491,0.0020131776,0.00051782763,0.6370261,0.028856177,0.63313043,0.45066085,0.13038307,-0.007632742,0.0011262433,-0.008580965,0.006741788,0.027506128,1.0259956,1.0259956,1.0259956,1.0259956,1.0259956,0.9756637,0.97289824,0.91814154,0.91814154,0.8882743,1.002323,1.0040929,1.0,0.99059737,0.9805311,0.9858408,0.986062,0.9430311,0.94491154,0.9336284,0.8,0.65,0.825,0.8833333,0.94166666,0.48351678,0.5104167,0.7589746,0.7589746,0.8112451,1.0,1.0,1.0,1.0,1.0,0.8,0.1,0.25,0.5,0.35,0.2,0.9,0.75,0.5,0.65,0.9311977,0.20209762,-0.035703637,-0.15119255,-0.37698084,0.69952136,0.16743168,0.125723,-0.060129605,-0.065887995,0.6,0.6,0.65,0.6,0.5833333,0.4,0.4,0.35,0.4,0.38333333,0.2,0.2,0.3,0.2,0.2,0.680557,0.63291204,0.6692712,0.57719296,0.57246375,0.319443,0.36708796,0.3307288,0.42280704,0.42753622,0.361114,0.26582408,0.33854237,0.15438592,0.14492755,0.86791223,0.94554865,0.9937546,1.0752109,1.3564416,0.3295877,0.5881877,0.50452596,0.4945656,0.8222474,0.8507185,0.92578995,1.0740216,1.0054053,1.6602887,0.7346622,0.3298493,0.45154384,0.4815914,0.5005293,0.26533782,0.6701507,0.5484562,0.5184086,0.49947068,0.46932435,-0.34030136,-0.09691234,-0.03681721,0.0010586315,0,1
2014-01-07,15.083981,15.1834345,15.2248745,14.92651,6170923.0,0.0065933475,0.019780232,0.33333012,0.002747286,0.13889049,0.010439599,0.5277794,0.01428566,0.72221905,0.99344987,1.0027293,0.9830786,0.97161597,0.9754367,0.93886477,0.9470524,0.93067694,0.9889738,0.9858625,0.96119,0.95320237,0.9458334,0.010816969,0.0102876695,0.030201208,0.027500318,0.025654009,0.0054039243,0.00090313586,0.0042133215,0.0022698692,0.00057800516,0.6239466,0.070645355,0.6811905,0.5279928,0.15482917,0.0002183282,0.010073406,-0.0012165229,0.013884546,0.03711549,1.0125545,1.0125545,1.0125545,1.0125545,1.0125545,0.96288204,0.96288204,0.90611345,0.90611345,0.8766375,0.99869,0.99312234,0.98766375,0.9864629,0.9698689,0.98373365,0.9731441,0.93067694,0.9325327,0.9213974,1.0,1.0,1.0,1.0,1.0,0.74725324,0.74725324,0.8820515,0.8820515,0.9076307,0.8,0.9,0.95,0.96666664,0.98333335,0.6,0.8,0.2,0.46666667,0.33333334,0.2,0.1,0.75,0.5,0.65,0.71175593,0.5177608,-0.041965652,-0.15614405,-0.37851033,0.48952883,0.11691528,0.24098259,-0.067738146,-0.17961977,0.8,0.6,0.65,0.6,0.5833333,0.2,0.4,0.35,0.4,0.38333333,0.6,0.2,0.3,0.2,0.2,0.7765936,0.63975185,0.65300566,0.5837653,0.5534062,0.22340636,0.36024818,0.34699434,0.41623467,0.44659382,0.55318725,0.27950364,0.30601132,0.16753064,0.106812365,1.0873377,0.93871814,1.1623152,1.239978,1.5618808,0.3290675,0.40908146,0.59119916,0.5778718,0.9566361,0.5398324,0.8533095,1.1070244,1.0065117,1.6963658,0.6334074,0.28103724,0.4976405,0.47886017,0.47909603,0.3665926,0.7189628,0.5023595,0.52113986,0.520904,0.2668148,-0.43792552,-0.0047189924,-0.04227968,-0.041807972,1,0
2014-01-08,15.1834345,15.20001,15.274602,14.984525,6660794.0,0.0010917038,0.019104848,0.057142764,0.0049126986,0.25714406,0.013100445,0.6857132,0.009279451,0.48571184,0.9989095,1.0049074,0.98582333,0.97219193,0.9896402,0.94329333,0.9383859,0.9312977,0.99345696,0.9858234,0.9629771,0.95421666,0.94594693,0.0072848448,0.011292035,0.031150226,0.02868136,0.02653131,0.0031079473,0.0020554478,0.0045121014,0.002481007,0.00064497505,0.455037,0.30372456,0.73435044,0.5799068,0.18024707,0.00032716026,0.004927114,-0.0058420766,0.009808725,0.035026282,1.0114504,1.0114504,1.0114504,1.0114504,1.0114504,0.96183205,0.96183205,0.9051253,0.9051253,0.8756815,0.99912757,0.997601,0.98985827,0.98582333,0.9707745,0.98571426,0.9720829,0.92966205,0.9315158,0.92039263,1.0,1.0,1.0,1.0,1.0,0.76923126,0.76923126,0.89230794,0.89230794,0.9156628,0.6,0.8,0.9,0.93333334,0.96666664,0.4,0.7,0.15,0.43333334,0.31666666,0.2,0.1,0.75,0.5,0.65,-0.37987775,0.54599696,-0.040504787,-0.1563183,-0.3786559,0.46689782,0.2802991,0.24318618,-0.090979114,-0.18047568,0.8,0.6,0.65,0.6333333,0.5833333,0.2,0.4,0.35,0.36666667,0.38333333,0.6,0.2,0.3,0.26666668,0.2,0.7741924,0.57037044,0.6452519,0.59964776,0.5530303,0.2258076,0.42962956,0.3547481,0.40035224,0.4469697,0.5483848,0.14074086,0.29050383,0.19929555,0.106060654,1.1028041,0.82127374,1.0814433,1.148811,1.4380684,0.15124886,0.3177748,0.5466081,0.535364,0.8880661,0.5300845,0.930653,1.135859,1.0337338,1.6993932,0.69383943,0.40816677,0.50824195,0.50003415,0.49223244,0.30616057,0.59183323,0.49175805,0.49996585,0.50776756,0.38767886,-0.1836665,0.016483886,6.82944e-05,-0.015535114,1,0
2014-01-09,15.258026,15.166859,15.291178,15.150284,4832466.0,-0.0059750485,0.009234087,-0.6470644,0.0021727337,0.23529491,0.0010863043,0.11764069,-0.007061478,-0.76471865,1.006011,1.0081967,0.99890715,0.9874317,0.9928962,0.94644797,0.9513662,0.97431695,0.9981421,0.9886885,0.9677596,0.95792353,0.94844264,0.0057779066,0.011869212,0.03182661,0.029807813,0.027219182,0.0015300368,0.0030435445,0.0047265715,0.0027343072,0.00077618705,0.1753084,0.6027359,0.77193326,0.6521328,0.24801761,-0.0012021677,-0.002384508,-0.012662015,0.0024290243,0.028659834,1.0136611,1.0136611,1.0136611,1.0136611,1.0136611,0.9639344,0.9639344,0.9071038,0.9071038,0.8775956,1.0013114,1.0002186,0.9942077,0.9887432,0.97289634,0.9971585,0.97420764,0.9316941,0.9335519,0.9224044,0.6,0.8,0.9,0.93333334,0.96666664,0.72527516,0.72527516,0.8717951,0.8717951,0.89959854,0.4,0.7,0.85,0.9,0.95,0.2,0.6,0.1,0.4,0.3,0.2,0.1,0.75,0.5,0.65,-0.2620065,0.67132884,-0.08289466,-0.18502396,-0.4194675,0.424422,0.39115897,0.25410604,-0.096564814,-0.21495637,0.6,0.5,0.6,0.6,0.56666666,0.4,0.5,0.4,0.4,0.4,0.2,0.0,0.2,0.2,0.16666667,0.6575332,0.54744524,0.6361117,0.58076245,0.5210385,0.34246677,0.45255476,0.3638883,0.41923755,0.4789615,0.31506646,0.09489045,0.2722234,0.16152488,0.042076997,1.3894185,1.1753689,1.4826559,1.556597,1.9535317,0.29208976,0.39513573,0.757919,0.74418205,1.2266545,0.7895416,0.89975876,1.1313101,1.080148,1.7712916,0.21414518,0.5856567,0.49006715,0.47596812,0.48188186,0.7858548,0.41434333,0.5099329,0.5240319,0.51811814,-0.57170963,0.17131336,-0.019865718,-0.048063733,-0.03623631,0,0
2014-01-10,15.233162,15.067405,15.241449,14.943087,4757899.5,-0.010881337,0.019586395,-0.55555594,0.0005440387,0.027776357,0.008161019,0.41666773,-0.0032643576,-0.16666454,1.011001,1.011551,0.9917492,1.0060506,0.9944994,0.9356436,0.940594,0.9768975,1.0035203,0.99576455,0.9773652,0.9662266,0.95508796,0.0060954383,0.01203726,0.031186506,0.03034809,0.027874244,0.0009901123,0.003276987,0.004519139,0.002819904,0.00089318573,0.0659628,0.6793688,0.73493,0.6691255,0.31316787,-0.005500528,-0.010511,-0.020297017,-0.0071151983,0.01856304,1.020352,1.020352,1.020352,1.020352,1.020352,0.99064904,0.9702969,0.9130912,0.9130912,0.8833883,1.0079207,1.0068207,1.0012101,0.99856985,0.98030794,0.9988999,0.980638,0.9436743,0.9397139,0.92849284,0.4,0.6,0.8,0.8666667,0.93333334,0.31481656,0.5934082,0.81025726,0.81025726,0.8514062,0.2,0.6,0.8,0.8666667,0.93333334,0.4,0.5,0.05,0.36666667,0.28333333,-0.2,0.1,0.75,0.5,0.65,-0.18590274,0.6664689,-0.14974917,-0.16897576,-0.45456842,0.03148831,0.48570547,0.2360831,-0.027663758,-0.21406464,0.4,0.5,0.6,0.6,0.56666666,0.6,0.5,0.4,0.4,0.4,-0.2,0.0,0.2,0.2,0.16666667,0.41269803,0.53571486,0.67155445,0.60150427,0.51871675,0.58730197,0.46428514,0.32844555,0.39849576,0.48128325,-0.17460392,0.071429744,0.34310886,0.20300849,0.037433527,1.2462862,1.2096366,1.5046091,1.5057862,1.9545169,0.23146309,0.38880664,0.77066076,0.6930533,1.247822,0.8731773,0.8651291,1.1779884,1.1193212,1.7773451,0.09991638,0.5341427,0.4983934,0.42778102,0.48153,0.9000836,0.4658573,0.5016066,0.57221895,0.51847,-0.8001672,0.06828538,-0.0032132096,-0.14443795,-0.036940005,0,0
2014-01-13,14.934797,14.810479,15.141994,14.735888,5522991.0,-0.008324059,0.027191997,-0.30612165,0.013873451,0.5102035,0.004994486,0.18367486,-0.017203024,-0.63265026,1.0083939,1.0223838,0.9949636,1.0117515,0.997202,0.9322886,0.9563514,0.96922207,1.0185786,1.0133184,0.99770564,0.9844432,0.9721694,0.010954382,0.01187023,0.028173508,0.03060329,0.02859043,-0.00593172,0.0015668592,0.003699232,0.0027948732,0.0009510191,0.73303646,0.15971775,0.60340554,0.64638263,0.3374714,-0.0067151827,-0.020369306,-0.032848366,-0.024968872,-0.00022445184,1.0324566,1.0380526,1.0380526,1.0380526,1.0380526,0.9949636,0.9871292,0.9289311,0.9289311,0.8987129,1.0254056,1.0242865,1.0185786,1.0158926,0.9982093,1.013878,0.9995523,0.98287624,0.9573589,0.9445999,0.2,0.3,0.475,0.65,0.825,0.1343291,0.25274804,0.65128255,0.65128255,0.7269079,0.6,0.5,0.75,0.8333333,0.9166667,1.0,0.4,0.05,0.33333334,0.26666668,-0.4,0.1,0.7,0.5,0.65,0.25165555,0.5593035,-0.18402456,-0.17317553,-0.46137387,-0.5449174,0.3615118,0.27011254,-0.05195051,-0.2530811,0.4,0.5,0.6,0.6,0.56666666,0.6,0.5,0.4,0.4,0.4,-0.2,0.0,0.2,0.2,0.16666667,0.35616466,0.51724166,0.67952615,0.5693953,0.52479726,0.6438353,0.48275834,0.32047388,0.43060467,0.47520277,-0.28767067,0.034483306,0.35905224,0.13879067,0.049594466,1.0119543,1.0737776,1.2913017,1.2889544,1.6752332,0.15025923,0.31134307,0.6657936,0.5994602,1.0783757,0.9010593,0.8441404,1.1947061,1.0673943,1.8029062,0.29785234,0.5756549,0.49283463,0.48973477,0.49371725,0.70214766,0.42434508,0.5071654,0.51026523,0.50628275,-0.40429536,0.15130986,-0.014330772,-0.020530468,-0.012565516,0,0
2014-01-14,14.735889,14.49554,14.735889,14.213751,13071342.0,-0.016310504,0.035433125,-0.46031794,0.0,0.0,0.019122621,0.53968203,0.0028121178,0.07936409,1.0165809,1.0165809,0.9805603,1.0474557,1.0177246,0.95883346,0.98399067,1.0057175,1.0312178,1.033562,1.0214407,1.0063655,0.99319607,0.020386081,0.015743867,0.025514077,0.0310182,0.02917969,-0.012178373,-0.0015004228,0.0025466746,0.0026673423,0.0010037406,0.892177,0.08325608,0.3487026,0.57309425,0.36089548,-0.006861055,-0.026810091,-0.0456342,-0.04504197,-0.022806425,1.0548885,1.060606,1.060606,1.060606,1.060606,0.9805603,0.9805603,0.9525444,0.94911367,0.91823894,1.0467695,1.0465409,1.040709,1.0379645,1.019897,1.0173813,1.0212692,1.0077758,0.9781591,0.9651229,0.2,0.1,0.2,0.46666667,0.65,0.26153868,0.24285755,0.43915346,0.45641127,0.57429785,0.4,0.4,0.7,0.8,0.9,1.0,1.0,0.1,0.3,0.25,-0.6,-0.6,0.6,0.5,0.65,-0.7880704,-0.29069328,-0.2768677,-0.2016337,-0.45196462,-0.77920127,-0.1319859,-0.005199613,-0.14876164,-0.2833549,0.2,0.5,0.55,0.56666666,0.55,0.8,0.5,0.45,0.43333334,0.41666666,-0.6,0.0,0.1,0.13333334,0.13333334,0.022988552,0.4143637,0.5989018,0.5238099,0.49553576,0.97701144,0.5856363,0.40109822,0.4761901,0.50446427,-0.9540229,-0.17127258,0.19780359,0.04761983,-0.008928485,0.5331586,0.52324295,0.57273436,0.56650454,0.7163618,0.2674285,0.20644917,0.29803064,0.2634649,0.45625088,1.3509814,1.0039952,1.1324154,1.032677,1.7669934,0.8222625,0.7403112,0.57870066,0.5599104,0.51451564,0.17773749,0.2596888,0.42129934,0.44008955,0.48548436,0.64452505,0.48062244,0.15740134,0.11982088,0.029031279,0,0
2014-01-15,14.553556,14.412662,14.594996,14.271768,8876794.0,-0.009681132,0.02220961,-0.43589827,0.0028474147,0.12820642,0.009681066,0.43589532,-0.0028474801,-0.12820937,1.0097758,1.012651,0.9902243,1.054629,1.0253018,0.9626222,0.9965496,1.0115007,1.0262219,1.0369751,1.0291834,1.0122675,0.99871564,0.023232697,0.01986473,0.021766933,0.031143373,0.029301358,-0.014433554,-0.0046107937,0.001149656,0.0024966714,0.0010326485,0.9649111,0.49385273,0.09763587,0.4980732,0.37881687,0.0026452197,-0.016226606,-0.040105075,-0.04846923,-0.029178774,1.0609545,1.0667049,1.0667049,1.0667049,1.0667049,0.9861989,0.9861989,0.9580219,0.9545714,0.92351913,1.0468085,1.0525588,1.0466934,1.0439332,1.0257618,1.0046003,1.0232316,1.0135708,0.9837839,0.9706727,0.2,0.1,0.15,0.43333334,0.6,0.18461643,0.17142968,0.3862439,0.4051298,0.5341376,0.2,0.3,0.65,0.76666665,0.8833333,0.8,0.9,0.05,0.26666668,0.23333333,-0.6,-0.6,0.6,0.5,0.65,-0.8846054,-0.61872625,-0.37051153,-0.19271451,-0.4504637,-0.8939709,-0.07521326,0.025090685,-0.1915512,-0.27548534,0.0,0.4,0.55,0.53333336,0.55,1.0,0.6,0.45,0.46666667,0.43333334,-1.0,-0.2,0.1,0.06666667,0.11666667,0.0,0.38297933,0.58760124,0.5051197,0.49115053,1.0,0.61702067,0.41239876,0.49488032,0.5088495,-1.0,-0.23404133,0.17520252,0.010239349,-0.017698945,0.83501977,0.8312601,0.85671276,0.8236456,1.0584807,0.40398562,0.27977768,0.43938726,0.37858322,0.6709381,1.1617051,0.91060287,1.0969722,1.0470471,1.7518581,0.5768863,0.6192951,0.5243143,0.47953224,0.50411445,0.42311367,0.38070488,0.47568572,0.52046776,0.49588555,0.15377265,0.23859024,0.04862856,-0.04093551,0.00822888,0,0
