date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,3.4482195,3.4351707,3.4501772,3.385584,22280496.0,-0.003784239,0.018732298,-0.20201682,0.00056772924,0.030307503,0.01438033,0.7676757,0.010028361,0.5353514,1.0037986,1.0043685,0.98556507,0.99943,1.0125355,0.84655225,0.8310507,0.81290185,1.0018232,0.99648607,0.94646394,0.90801793,0.8767369,0.0016753022,0.010590294,0.06206874,0.07532263,0.06336729,-7.592231e-05,0.0015068038,0.008948672,0.007973571,0.002606346,0.0051344335,0.18557043,0.7275105,0.8684735,0.51598096,-0.0016713735,-0.0032667029,-0.031476308,-0.02363474,0.046375893,1.0123457,1.0151947,1.0310621,1.0310621,1.0310621,0.98556507,0.974549,0.8397466,0.80250436,0.79078364,1.0028487,1.0028487,1.0015572,1.0001899,0.90916455,1.0007595,0.9872362,0.8791061,0.84383005,0.8302189,0.2,0.5,0.7,0.8,0.9,0.5390078,0.6261678,0.8376395,0.8640953,0.8707247,0.8,0.1,0.5,0.6666667,0.8333333,1.0,0.2,0.05,0.06666667,0.033333335,-0.2,-0.1,0.45,0.6,0.8,-0.56878656,-0.39197135,-0.106824346,0.094409995,-0.026191127,-0.9852457,-0.09106006,0.6339442,0.6055394,0.16056587,0.6,0.6,0.5,0.53333336,0.53333336,0.4,0.4,0.5,0.46666667,0.46666667,0.2,0.2,0.0,0.06666667,0.06666667,0.52308565,0.41081148,0.7285508,0.70594454,0.61660624,0.47691435,0.5891885,0.2714492,0.29405543,0.38339376,0.046171315,-0.17837705,0.45710158,0.41188914,0.23321247,0.67698985,1.181021,1.931229,1.6465881,1.7075596,0.2062639,0.85311025,2.0004017,1.6784482,1.3518108,0.8328852,1.9021094,2.4319139,2.8525147,2.6118605,0.781779,0.106004015,0.49711308,0.5014553,0.49990785,0.218221,0.893996,0.5028869,0.4985447,0.50009215,0.56355804,-0.78799194,-0.0057738377,0.002910625,-0.00018431028,0,1
2014-01-03,3.4221215,3.4482195,3.4553964,3.390151,17872524.0,0.007626267,0.019065773,0.3999978,0.0020972008,0.10999821,0.009342304,0.49000397,0.014871371,0.7800036,0.99243146,1.0020813,0.98315984,0.9975401,1.0056765,0.83807546,0.80888385,0.80229235,0.99852407,0.9921475,0.9509785,0.9109523,0.8767142,0.001841346,0.009908554,0.057861943,0.074744985,0.06449701,0.00017036025,0.0027625454,0.008075931,0.007899012,0.0026834388,0.021399604,0.71254075,0.681816,0.86553216,0.5279637,0.0011352233,-0.0045789517,-0.02769985,-0.025488023,0.04412431,1.0085146,1.0085146,1.0271603,1.0271603,1.0271603,0.9818354,0.9708611,0.84862185,0.7994675,0.78779113,1.0001135,0.9989402,0.9989402,0.99723727,0.9494971,0.9969724,0.98350024,0.88304895,0.84218127,0.8316723,0.8,0.9,0.85,0.9,0.95,0.68084973,0.7738679,0.8478743,0.8807152,0.8865339,0.6,0.8,0.45,0.6333333,0.81666666,0.8,0.1,0.05,0.033333335,0.016666668,-0.2,0.7,0.4,0.6,0.8,-0.6211747,-0.87688524,-0.10634593,0.04030904,-0.05288357,-0.9893286,-0.13578658,0.66150194,0.6099254,0.16651268,0.6,0.7,0.55,0.56666666,0.55,0.4,0.3,0.45,0.43333334,0.45,0.2,0.4,0.1,0.13333334,0.1,0.58666956,0.4598928,0.74317527,0.74290824,0.6242694,0.4133304,0.5401072,0.25682473,0.25709173,0.37573054,0.17333917,-0.0802144,0.48635054,0.4858165,0.24853888,0.9237287,1.205377,2.3436217,2.0507126,2.1142337,0.22251463,0.7351226,2.5135581,2.0934107,1.6912044,0.6672525,2.0259795,2.4463563,2.8824704,2.6233108,0.65485775,0.19360556,0.4744621,0.49900767,0.49206898,0.34514225,0.80639446,0.5255379,0.50099236,0.50793105,0.3097155,-0.6127889,-0.0510758,-0.0019846747,-0.015862074,1,1
2014-01-06,3.4449568,3.4247308,3.4841042,3.420816,19363818.0,-0.0058711916,0.018371264,-0.31958562,0.011363678,0.61855716,0.0011363954,0.061857224,-0.016098473,-0.87628555,1.0059059,1.0173366,0.9988569,1.0055248,0.9799964,0.9024169,0.80969125,0.8002103,1.0042676,1.0009526,0.96238,0.9235438,0.8860571,0.003020135,0.0074351844,0.05748385,0.07389134,0.06575362,-0.0008572883,0.0015749234,0.007868703,0.00774594,0.0027542345,0.20143788,0.41128874,0.6558171,0.8516533,0.5351338,-0.002552971,-0.008039728,-0.037132703,-0.035859928,0.032693002,1.0173366,1.0173366,1.0342052,1.0342052,1.0342052,0.98856944,0.97790056,0.8648714,0.8100706,0.80495065,1.0069729,1.0057915,1.0057915,1.0040768,0.9807965,1.0024387,0.9983616,0.88910544,0.84848815,0.8386278,0.2,0.3,0.55,0.7,0.85,0.39734718,0.5603858,0.79800165,0.8473902,0.85079837,1.0,1.0,0.4,0.6,0.8,0.6,0.1,0.3,0.033333335,0.5,0.4,0.9,0.1,0.56666666,0.3,-0.66369873,-0.796246,-0.06698784,-0.016905267,-0.06282444,-0.6930197,-0.8352523,0.65366936,0.6054431,0.16941908,0.4,0.7,0.5,0.56666666,0.55,0.6,0.3,0.5,0.43333334,0.45,-0.2,0.4,0.0,0.13333334,0.1,0.36190864,0.719663,0.6721124,0.7389566,0.6248359,0.6380914,0.28033698,0.3278876,0.26104343,0.3751641,-0.2761827,0.43932605,0.34422484,0.4779131,0.2496718,0.92526513,0.97219414,2.0304375,1.8967278,1.9315014,0.17131585,0.5046929,2.306081,1.9301695,1.5654156,0.5729217,0.69988877,2.7856884,2.8797607,2.635884,0.65347326,0.27466583,0.4386416,0.5021462,0.48808485,0.34652674,0.72533417,0.5613584,0.49785382,0.51191515,0.3069465,-0.4506683,-0.12271677,0.004292364,-0.023830308,0,1
2014-01-07,3.446262,3.4573538,3.461921,3.424731,20475008.0,0.0032185446,0.010791391,0.29825112,0.0013252464,0.12280589,0.0062476,0.57894295,0.008140898,0.7543882,0.9967918,1.001321,0.9905642,0.99452704,0.9747121,0.8820684,0.80862534,0.8172656,0.995886,0.99403656,0.95919573,0.92120856,0.88074195,0.0037705519,0.0048793107,0.055258237,0.07194775,0.06651714,0.00011320448,0.0009035662,0.0073369145,0.007489897,0.0028263186,0.002253499,0.31435072,0.6170224,0.8398831,0.55064917,0.0038875698,0.00189742,-0.02889642,-0.029812038,0.035881642,1.0077373,1.0077373,1.0244465,1.0244465,1.0244465,0.97924143,0.9775427,0.8567106,0.80674684,0.7973553,0.99833935,0.9974712,0.9974712,0.9951311,0.9762595,0.9929798,0.99252677,0.886877,0.8410079,0.8325929,1.0,1.0,0.9,0.93333334,0.96666664,0.7284783,0.74375427,0.8542558,0.8877052,0.89234924,0.8,0.9,0.35,0.56666666,0.78333336,0.4,0.1,0.25,0.033333335,0.48333332,0.4,0.8,0.1,0.53333336,0.3,-0.32717142,-0.23254791,-0.04284896,-0.047684003,-0.06820118,-0.5117415,-0.7217353,0.6458191,0.6069042,0.16791771,0.6,0.7,0.55,0.56666666,0.55,0.4,0.3,0.45,0.43333334,0.45,0.2,0.4,0.1,0.13333334,0.1,0.59864175,0.74999964,0.7117918,0.74083674,0.6175158,0.40135825,0.25000033,0.2882082,0.2591633,0.38248423,0.1972835,0.4999993,0.42358363,0.48167342,0.23503155,0.91093636,0.80318135,1.8666395,1.7884332,1.8026525,0.16673724,0.20452207,2.1901557,1.8275751,1.4820086,0.5469863,0.7180418,2.8215673,2.8797412,2.6962533,0.5939042,0.2988029,0.47196805,0.49688894,0.48469302,0.40609583,0.7011971,0.52803195,0.50311106,0.515307,0.18780836,-0.40239415,-0.056063913,-0.0062221396,-0.030613989,1,1
2014-01-08,3.4651828,3.5088973,3.5180316,3.4488716,35202484.0,0.012615358,0.019958539,0.6320783,0.0026360205,0.13207482,0.0047071595,0.2358469,0.014686498,0.73585033,0.9875418,1.0026032,0.9828933,0.9832653,0.96801776,0.87669957,0.80137384,0.80118895,0.984604,0.982633,0.95127076,0.91429746,0.87111795,0.009306766,0.0066526057,0.053260967,0.06988865,0.067121655,0.004462587,0.0012508989,0.0069332453,0.0072423876,0.0028886085,0.57479876,0.324095,0.5930934,0.8322463,0.5648744,0.0064707976,0.011737963,-0.01713661,-0.019312061,0.043668117,1.0026032,1.0026032,1.0093981,1.0093981,1.0093981,0.964857,0.964857,0.8441261,0.8032248,0.7856426,0.9882485,0.98367435,0.98367435,0.981666,0.9696169,0.9783936,0.97887707,0.9142697,0.8320223,0.8230278,1.0,1.0,1.0,1.0,1.0,0.9310346,0.9310346,0.94313574,0.95441663,0.95799845,1.0,1.0,0.3,0.53333336,0.76666665,0.2,0.6,0.2,0.033333335,0.46666667,0.8,0.4,0.1,0.5,0.3,0.86663973,0.65728265,-0.008258343,-0.07356332,-0.0585516,0.14816363,-0.15397477,0.65099823,0.60897076,0.16927508,0.6,0.7,0.55,0.56666666,0.56666666,0.4,0.3,0.45,0.43333334,0.43333334,0.2,0.4,0.1,0.13333334,0.13333334,0.7163442,0.78104514,0.7190642,0.74733144,0.62798685,0.2836558,0.21895483,0.28093585,0.2526686,0.37201318,0.43268842,0.56209034,0.43812832,0.49466282,0.25597367,0.65446705,0.5106104,1.0903878,1.0571908,1.0513164,0.19849378,0.20621705,1.2733498,1.0579594,0.86153835,0.9142142,1.2225571,2.797424,2.8453958,2.6779795,0.8566659,0.65447956,0.5041669,0.5166856,0.5031195,0.1433341,0.34552044,0.4958331,0.48331437,0.49688047,0.71333176,0.30895913,0.008333815,0.033371262,0.006239061,1,0
2014-01-09,3.523251,3.4730122,3.5343428,3.4423468,18911680.0,-0.01425923,0.026111098,-0.5460985,0.0031481462,0.12056736,0.008703722,0.3333342,-0.008703655,-0.3333316,1.0144655,1.0176592,0.99117035,0.9891041,0.9885403,0.8713599,0.8173207,0.82704407,0.9969567,0.99393207,0.96753186,0.92983377,0.8830014,0.009013924,0.006891776,0.05007888,0.06897453,0.069183014,0.0038511776,0.0013742555,0.0061436533,0.0070752343,0.0030250244,0.4563514,0.36448875,0.5267593,0.8154659,0.58312094,-0.004659038,-0.00011622264,-0.02589655,-0.032424677,0.027760368,1.0176592,1.0176592,1.0198277,1.0198277,1.0198277,0.9761414,0.97482646,0.85284805,0.8143288,0.79376036,1.0020665,0.99639314,0.99609256,0.99297404,0.9865866,0.99150866,0.98985535,0.9604592,0.85116524,0.83209276,0.8,0.9,0.9,0.93333334,0.96666664,0.5746597,0.5877177,0.8812566,0.90351415,0.91229284,1.0,1.0,0.25,0.5,0.75,0.2,0.5,0.15,0.033333335,0.45,0.8,0.5,0.1,0.46666667,0.3,0.81798196,0.6231225,-0.03406164,-0.108466595,-0.07816143,0.76442903,0.37245768,0.65581816,0.61740696,0.17778748,0.6,0.6,0.55,0.53333336,0.55,0.4,0.4,0.45,0.46666667,0.45,0.2,0.2,0.1,0.06666667,0.1,0.6208306,0.59999955,0.72949517,0.723678,0.61123043,0.37916937,0.40000048,0.27050483,0.27632204,0.38876954,0.24166125,0.19999903,0.45899034,0.44735593,0.22246093,1.1826079,0.9900964,2.0145373,1.9577754,1.946213,0.38266557,0.36401272,2.3760753,1.9735998,1.6079577,0.7944357,1.1686629,2.8178604,2.8486228,2.7010589,0.45570695,0.56540346,0.49293232,0.49475604,0.4937443,0.54429305,0.43459657,0.5070677,0.50524396,0.5062557,-0.08858606,0.13080688,-0.014135352,-0.010487937,-0.012511377,0,1
2014-01-10,3.5193362,3.4775794,3.524556,3.4495237,25581884.0,-0.011864984,0.021319997,-0.55651903,0.0014831484,0.06956607,0.007971863,0.37391487,-0.005376269,-0.25217026,1.0120075,1.0135084,0.9919324,0.9915574,0.9891183,0.8610655,0.8356683,0.8168078,0.9973359,0.9937149,0.9732079,0.9340903,0.88489497,0.008833349,0.0071224356,0.04390897,0.06776285,0.07020822,0.0034896554,0.0015407326,0.004956584,0.006885511,0.0031045268,0.3901704,0.42895216,0.44599143,0.8001856,0.59636843,-0.004315199,-0.0006481983,-0.020295443,-0.03393025,0.023521507,1.0163227,1.0163227,1.0184884,1.0184884,1.0184884,0.9836773,0.9735462,0.851728,0.8166208,0.7927179,1.0018011,0.99894935,0.9974861,0.992533,0.98735464,0.99230784,0.9885554,0.9682552,0.8539691,0.83264315,0.8,0.9,0.9,0.93333334,0.96666664,0.5,0.6184194,0.889132,0.9084133,0.91810983,0.8,0.9,0.2,0.46666667,0.73333335,0.2,0.4,0.1,0.033333335,0.43333334,0.6,0.5,0.1,0.43333334,0.3,0.81282794,0.66806567,-0.087336406,-0.11360924,-0.08466026,0.7827617,0.3749977,0.64646435,0.6140642,0.1752784,0.6,0.6,0.6,0.53333336,0.56666666,0.4,0.4,0.4,0.46666667,0.43333334,0.2,0.2,0.2,0.06666667,0.13333334,0.59911656,0.5960254,0.7553353,0.7108388,0.6191713,0.40088344,0.40397456,0.24466474,0.2891612,0.38082868,0.19823311,0.19205084,0.51067054,0.42167756,0.23834264,0.9345275,0.7899406,1.5001274,1.443095,1.4366039,0.26782146,0.25660938,1.7526087,1.4601449,1.1893873,0.8566188,1.1494423,2.8357625,2.901544,2.7154105,0.59567106,0.6171892,0.5068284,0.49705437,0.49830732,0.40432894,0.3828108,0.4931716,0.5029456,0.5016927,0.19134215,0.23437841,0.013656806,-0.0058912593,-0.0033853808,1,1
2014-01-13,3.4984589,3.4345183,3.508898,3.418207,21371618.0,-0.01827677,0.025923155,-0.70503646,0.0029839303,0.11510676,0.004662455,0.17985678,-0.016598245,-0.64028645,1.018617,1.0216565,0.99525076,0.99715024,1.0026593,0.86505413,0.8446332,0.8414188,1.0104102,1.0059079,0.992157,0.9509806,0.8986325,0.007971163,0.007402244,0.034315232,0.066545315,0.07196772,-0.0022416224,0.0009889934,0.00332681,0.006623792,0.0032214667,0.19770677,0.16363323,0.32896534,0.76785654,0.61112726,-0.0059269103,-0.010358361,-0.02376169,-0.04702558,0.006334197,1.029065,1.029065,1.0312579,1.0312579,1.0312579,0.99525076,0.9857522,0.86240673,0.8399061,0.80265677,1.0143614,1.0114739,1.0099922,1.0049771,1.000038,1.005319,1.000152,0.9874237,0.87049985,0.84440625,0.2,0.2,0.4,0.6,0.8,0.1404511,0.32895043,0.814879,0.836647,0.86326444,0.6,0.8,0.15,0.43333334,0.71666664,1.0,0.3,0.05,0.13333334,0.41666666,-0.4,0.5,0.1,0.3,0.3,0.7671686,0.64303106,-0.17555708,-0.12355469,-0.09918917,0.82967734,0.4359361,0.6524473,0.61632043,0.18189564,0.6,0.5,0.6,0.53333336,0.55,0.4,0.5,0.4,0.46666667,0.45,0.2,0.0,0.2,0.06666667,0.1,0.5291853,0.48066515,0.7399426,0.69151735,0.6021243,0.47081473,0.51933485,0.26005742,0.30848262,0.39787573,0.058370538,-0.038669717,0.47988516,0.38303477,0.20424858,1.1374214,0.9878803,1.7963803,1.7148825,1.7158719,0.30749485,0.2785303,2.0975854,1.7517422,1.4253191,0.73962563,0.9600131,2.8256721,2.8838322,2.7247941,0.5233411,0.56858593,0.5003773,0.49274042,0.4975449,0.47665888,0.43141407,0.4996227,0.5072596,0.50245506,0.04668223,0.13717183,0.0007545809,-0.014519173,-0.00491016,0,1
2014-01-14,3.4788847,3.6061132,3.6433032,3.4410424,53421390.0,0.036571633,0.058139533,0.62903214,0.010690196,0.18387139,0.010877702,0.18709649,0.03675914,0.6322572,0.96471864,1.010313,0.95422477,0.958748,0.95350087,0.82208997,0.8055225,0.81218547,0.97058076,0.96269226,0.95384127,0.9122113,0.8590019,0.018002558,0.014798378,0.01870748,0.06271841,0.0707668,0.0043242658,0.002927767,0.0020151667,0.0062257275,0.0032304067,0.1442435,0.35880318,0.40612465,0.7636456,0.63555795,0.02077071,0.024132801,0.027014652,-0.0024843495,0.045701142,1.010313,1.010313,1.010313,1.010313,1.010313,0.9478923,0.93884575,0.8708935,0.79993963,0.76446277,0.9784331,0.9660936,0.9633435,0.959327,0.9527773,0.96095526,0.9525603,0.9481454,0.83743334,0.8042257,1.0,1.0,1.0,1.0,1.0,0.83478194,0.8556957,0.9260288,0.9509775,0.95805156,1.0,1.0,1.0,1.0,1.0,0.8,0.2,0.05,0.1,0.4,0.2,0.8,0.95,0.9,0.6,0.92748666,0.8626735,-0.22612238,-0.11739777,-0.059469424,0.9278327,0.7560155,0.688175,0.6481102,0.22124183,0.6,0.6,0.65,0.53333336,0.55,0.4,0.4,0.35,0.46666667,0.45,0.2,0.2,0.3,0.06666667,0.1,0.74255437,0.70826674,0.7836513,0.7246616,0.62097603,0.25744563,0.29173324,0.21634871,0.27533838,0.379024,0.48510873,0.4165335,0.5673026,0.4493232,0.24195202,0.57837903,0.46375844,0.7457739,0.70843023,0.69192684,0.2628211,0.21705464,0.8390386,0.69970876,0.57163846,1.4847689,1.9005219,2.6030548,2.6987488,2.6362138,0.7227657,0.6958089,0.5330256,0.53132546,0.50877464,0.27723435,0.3041911,0.46697438,0.46867454,0.4912254,0.44553134,0.3916178,0.06605122,0.06265089,0.017549241,1,1
2014-01-15,3.632864,3.7170305,3.7307322,3.6224248,41668836.0,0.023168093,0.029813217,0.7771081,0.003771591,0.12650736,0.0028735339,0.09638456,0.022270035,0.7469853,0.9773565,1.0036862,0.97454804,0.9440055,0.9282079,0.8753055,0.7862024,0.804722,0.9528172,0.9411444,0.9316131,0.8921172,0.8366236,0.031606168,0.025093362,0.021203486,0.061395355,0.071829304,0.016587716,0.0060584755,0.0022304328,0.006100647,0.0033586218,0.68860406,0.5343434,0.387286,0.7652133,0.6668355,0.014007339,0.031592432,0.047197815,0.019423388,0.06429704,1.0036862,1.0036862,1.0036862,1.0036862,1.0036862,0.9196069,0.9108303,0.87879956,0.77606916,0.741651,0.97612774,0.94923633,0.9356151,0.933228,0.9251183,0.93228006,0.92413557,0.9231875,0.819188,0.78022736,1.0,1.0,1.0,1.0,1.0,0.95615816,0.96030205,0.9704837,0.9838053,0.98593247,1.0,1.0,1.0,1.0,1.0,0.6,0.1,0.05,0.06666667,0.38333333,0.4,0.9,0.95,0.93333334,0.6166667,0.8266423,0.83665025,0.28051242,-0.059977822,-0.031571805,0.7160156,0.56531185,0.24176836,0.6433488,0.20904462,0.6,0.6,0.65,0.53333336,0.55,0.4,0.4,0.35,0.46666667,0.45,0.2,0.2,0.3,0.06666667,0.1,0.7843152,0.7659303,0.7432189,0.74020535,0.62744087,0.21568477,0.2340697,0.2567811,0.25979465,0.37255916,0.56863046,0.5318606,0.48643777,0.48041067,0.25488168,0.77254575,0.66272485,0.78155386,0.9114508,0.8868627,0.3554811,0.28646392,0.68364984,0.8972148,0.7328307,1.249284,1.5253098,2.4621975,2.6268818,2.6201675,0.54555464,0.639607,0.24719149,0.5035569,0.49972692,0.45444536,0.36039296,0.7528085,0.4964431,0.50027305,0.09110925,0.27921405,-0.505617,0.007113827,-0.00054615724,1,0
