date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,14.484251,14.688266,14.7829275,14.241064,57623210.0,0.0140852835,0.037410524,0.37650588,0.0065354924,0.17469662,0.01678975,0.4487975,0.02433954,0.65060675,0.9861103,1.0064447,0.9695538,0.9366076,0.9352186,0.92810714,0.90488356,0.8752708,0.9699539,0.9606256,0.9551947,0.93742985,0.9011306,0.026997792,0.021606855,0.021258513,0.033459563,0.04815218,0.016406478,0.004552104,0.0014521709,0.0030068664,0.0022750623,0.92323935,0.40686724,0.1633194,0.6258777,0.68085486,-0.0027668262,0.018889952,0.031009667,0.018970601,0.031755064,1.0064447,1.0064447,1.0070003,1.0070003,1.0070003,0.9267181,0.9233846,0.9073281,0.85143614,0.7862659,0.9906217,0.97098726,0.965687,0.9626313,0.94760823,0.95823103,0.9446525,0.9363298,0.9061726,0.8522696,1.0,1.0,1.0,1.0,1.0,0.9191648,0.922409,0.9297661,0.95500016,0.96828604,1.0,1.0,0.3,0.53333336,0.76666665,0.2,0.1,0.05,0.2,0.033333335,0.8,0.9,0.25,0.33333334,0.73333335,0.7314382,0.76979524,0.57284343,0.39557898,-0.07731729,0.63284445,0.78754145,0.6939821,0.6522628,0.38909972,0.8,0.6,0.5,0.46666667,0.45,0.2,0.4,0.5,0.53333336,0.55,0.6,0.2,0.0,-0.06666667,-0.1,0.90720856,0.72405833,0.6237093,0.61774415,0.5613221,0.092791446,0.27594164,0.37629065,0.38225582,0.4386779,0.8144171,0.44811672,0.24741867,0.23548834,0.122644156,0.64863473,0.59409666,0.6813404,0.65210605,0.79892254,0.23190817,0.18043138,0.260568,0.22405288,0.40146455,0.9601651,0.8552848,1.2790706,1.296108,1.2707496,0.7537512,0.6418928,0.55200446,0.49655887,0.50968504,0.24624878,0.35810724,0.44799554,0.5034411,0.49031496,0.50750244,0.28378552,0.10400892,-0.006882231,0.019370107,0,0
2014-01-03,14.6670475,14.303901,14.713564,14.26065,41445476.0,-0.024759365,0.030879714,-0.8018003,0.0031714917,0.1027047,0.0029488578,0.095494986,-0.024981998,-0.80901,1.025388,1.0286399,0.99697626,0.9543587,0.9783775,0.9599498,0.9306253,0.84864223,1.0051461,0.98860115,0.9828646,0.9649323,0.9278678,0.015313942,0.022367425,0.02164664,0.034465484,0.049327377,0.0051460434,0.004876697,0.0014343977,0.0031081752,0.0023285763,0.28230134,0.43574363,0.15368314,0.63029516,0.6796803,-0.015438177,-0.01054627,0.003508633,-0.010000871,0.0034391796,1.0334892,1.0334892,1.0340599,1.0340599,1.0340599,0.9552716,0.9516203,0.94380414,0.8743154,0.8073939,1.017241,1.0029666,0.9941123,0.98951393,0.9772365,0.9923894,0.97003657,0.96236885,0.94626886,0.8772022,0.6,0.8,0.85,0.9,0.95,0.5718454,0.59094083,0.6226295,0.78678554,0.84973556,0.8,0.9,0.25,0.5,0.75,0.2,0.5,0.05,0.16666667,0.016666668,0.6,0.4,0.2,0.33333334,0.73333335,0.57337207,0.80263275,0.5652778,0.4236444,-0.038668524,0.7653092,0.7942909,0.71693873,0.6785008,0.5169901,0.8,0.5,0.45,0.43333334,0.45,0.2,0.5,0.55,0.56666666,0.55,0.6,0.0,-0.1,-0.13333334,-0.1,0.72962093,0.56873393,0.56290317,0.5787972,0.57411855,0.2703791,0.43126607,0.4370968,0.42120278,0.42588148,0.4592418,0.13746783,0.12580636,0.15759447,0.14823705,0.978381,0.8388653,0.95999944,0.90769917,1.0967034,0.28070006,0.2566771,0.35928544,0.31177813,0.5499514,0.70953625,0.84414333,1.2010777,1.2248405,1.2714431,0.5970176,0.5223009,0.5203541,0.5019514,0.48123902,0.40298238,0.47769913,0.4796459,0.4980486,0.518761,0.1940352,0.044601765,0.040708154,0.0039027727,-0.037521955,0,1
2014-01-06,14.29574,14.414069,14.505468,14.179044,35030508.0,0.008277224,0.022833697,0.3625004,0.0063934564,0.28000093,0.008163016,0.35749868,0.010046784,0.43999812,0.9917907,1.006341,0.98369473,0.983808,0.96467197,0.9475174,0.898828,0.82964385,1.000702,0.98457795,0.97797656,0.96092963,0.9236153,0.0131463185,0.022112206,0.02110423,0.033184294,0.04851347,0.0015172902,0.0047817794,0.0013360418,0.0029532146,0.0022861927,0.0333019,0.42867324,0.1402714,0.6137995,0.6773309,-0.00373662,-0.0060959486,0.009331035,-0.0037512442,0.0089420285,1.0255902,1.0255902,1.0261564,1.0261564,1.0261564,0.9658609,0.94434696,0.9367038,0.8676329,0.80790347,1.0094662,1.0014154,0.9938855,0.98405707,0.97091097,0.9908962,0.9712733,0.95651925,0.94521886,0.8722301,0.6,0.8,0.85,0.9,0.95,0.5715642,0.6850179,0.70759493,0.835,0.8801556,0.6,0.8,0.2,0.46666667,0.73333335,0.2,0.4,0.05,0.13333334,0.35,0.4,0.4,0.15,0.33333334,0.38333333,0.7848212,0.77193576,0.6312884,0.41730025,-0.007075799,0.6145016,0.7602342,0.76711935,0.66868055,0.51353705,0.8,0.6,0.5,0.46666667,0.46666667,0.2,0.4,0.5,0.53333336,0.53333336,0.6,0.2,0.0,-0.06666667,-0.06666667,0.6164492,0.6121493,0.58239996,0.62049896,0.5844703,0.38355085,0.3878507,0.41760004,0.37950104,0.41552973,0.2328983,0.22429863,0.16479994,0.24099791,0.16894056,1.1103089,1.0141008,1.1164533,1.075595,1.2806672,0.33490646,0.29473945,0.42184144,0.36840367,0.64491427,0.7344215,0.8180903,1.199918,1.2671151,1.2914665,0.44128287,0.53226477,0.47261465,0.50262797,0.48099503,0.55871713,0.4677352,0.52738535,0.49737206,0.519005,-0.11743425,0.06452959,-0.054770723,0.0052558873,-0.03800997,1,0
2014-01-07,14.542191,14.592787,14.622164,14.338176,30396046.0,0.0034792721,0.019528557,0.17816329,0.0020201209,0.10344446,0.014029164,0.71839225,0.015488315,0.7931111,0.9965328,1.0020131,0.9825523,0.97298956,0.9694665,0.94346267,0.8858069,0.8565037,0.99384856,0.9755732,0.9688262,0.9529676,0.9146954,0.010285063,0.023442665,0.021453375,0.031782378,0.048662312,-0.00082764955,0.006018579,0.0014495621,0.0028081136,0.0023073817,0.016188964,0.60420644,0.15979032,0.60500395,0.68573016,0.007806755,-0.0026567886,0.017402988,0.0063147736,0.017236851,1.0130298,1.0130298,1.013589,1.013589,1.013589,0.97164744,0.9327815,0.9294262,0.857007,0.7980091,1.0013086,0.99579465,0.98915106,0.97443235,0.9595123,0.9862431,0.9593781,0.95131415,0.93520856,0.86536175,0.8,0.9,0.9,0.93333334,0.96666664,0.68513685,0.83763164,0.83853847,0.91321445,0.9369651,0.4,0.7,0.15,0.43333334,0.71666664,0.8,0.3,0.4,0.1,0.33333334,-0.4,0.4,-0.25,0.33333334,0.38333333,0.3036814,0.684164,0.60681343,0.4200239,-0.029707968,0.5953029,0.7050848,0.755087,0.66473204,0.5709757,0.8,0.6,0.5,0.5,0.46666667,0.2,0.4,0.5,0.5,0.53333336,0.6,0.2,0.0,0.0,-0.06666667,0.6694736,0.60096145,0.58854437,0.6343774,0.5738715,0.33052644,0.39903855,0.41145563,0.36562258,0.4261285,0.33894715,0.20192288,0.17708875,0.26875487,0.14774297,1.3050191,1.1417819,1.2626628,1.2301203,1.4695874,0.35546476,0.34148505,0.4879508,0.4267099,0.7456912,0.51041305,0.86766523,1.1984054,1.2407483,1.3219537,0.533126,0.46307144,0.4706268,0.48705116,0.49363756,0.466874,0.53692853,0.52937317,0.5129489,0.50636244,0.06625202,-0.0738571,-0.05874637,-0.025897712,-0.012724852,1,0
2014-01-08,14.684185,14.8351555,15.086502,14.648278,42177040.0,0.0102811605,0.029843252,0.34450534,0.017116822,0.57355756,0.0024452696,0.081937104,-0.0043903925,-0.14711508,0.98982346,1.0169426,0.9874031,0.9784917,0.947797,0.9455966,0.8696298,0.8520821,0.98191327,0.9648551,0.95571816,0.9417442,0.9022169,0.014294776,0.025825132,0.023471953,0.030571526,0.04916215,0.003927599,0.0073328014,0.0019804721,0.0026987463,0.0023532307,0.1887294,0.73903704,0.2491765,0.6039369,0.698823,0.010231561,0.0021472932,0.025467327,0.019123992,0.0283628,1.0169426,1.0169426,1.0169426,1.0169426,1.0169426,0.9557732,0.9175423,0.91424173,0.8430057,0.78497165,0.99207884,0.98494977,0.9795259,0.9656747,0.94603664,0.9701304,0.9501734,0.9357721,0.92053473,0.8519721,1.0,1.0,1.0,1.0,1.0,0.7230213,0.8295516,0.8350293,0.90259326,0.92696226,1.0,1.0,1.0,1.0,1.0,0.6,0.2,0.35,0.06666667,0.31666666,0.4,0.8,0.65,0.93333334,0.68333334,0.306627,0.6941484,0.6364194,0.3987909,-0.034339853,0.60854834,0.70896393,0.75843126,0.6721593,0.5803158,0.8,0.7,0.5,0.53333336,0.46666667,0.2,0.3,0.5,0.46666667,0.53333336,0.6,0.4,0.0,0.06666667,-0.06666667,0.6466611,0.6639029,0.5869526,0.6506866,0.5768681,0.3533389,0.33609715,0.41304737,0.3493134,0.4231319,0.29332224,0.32780573,0.17390525,0.30137318,0.15373619,0.98002267,0.85114616,0.89678234,0.8981619,1.0620859,0.24451761,0.24883792,0.34251332,0.3048863,0.53655314,0.5126116,0.7667912,1.220708,1.1894476,1.313272,0.5663739,0.55219173,0.47792238,0.5220756,0.50413805,0.4336261,0.44780824,0.5220776,0.4779244,0.49586195,0.13274781,0.10438352,-0.044155266,0.044151187,0.008276122,1,0
2014-01-09,14.905337,14.323487,15.137915,14.305533,55416264.0,-0.039036356,0.055844508,-0.6990187,0.015603627,0.27941203,0.0012045264,0.02156929,-0.053435456,-0.95686144,1.0406221,1.0568596,0.9987465,1.0254672,0.9604603,1.0251253,0.8925478,0.8714676,1.011896,1.003276,0.9886024,0.9789672,0.9365884,0.015523022,0.02302856,0.023006279,0.027813341,0.050927598,0.0032133197,0.0050409534,0.0027529367,0.0023826608,0.0024380158,0.1071261,0.43924132,0.50115,0.56874794,0.6989827,-0.018322667,-0.025960222,-0.014755294,-0.013515797,-0.008509842,1.0568596,1.0568596,1.0568596,1.0568596,1.0568596,0.9899156,0.950319,0.9469006,0.87311983,0.81301266,1.0221854,1.0201344,1.0077484,1.0012648,0.9827256,0.99972653,0.9910323,0.9692001,0.9576116,0.88781905,0.4,0.5,0.75,0.8,0.9,0.15063916,0.4663106,0.48290193,0.6905429,0.76682264,1.0,1.0,1.0,1.0,1.0,0.4,0.1,0.3,0.033333335,0.3,0.6,0.9,0.7,0.96666664,0.7,-0.30309275,0.49160427,0.5724119,0.41201892,-0.04955532,0.036670398,0.42127454,0.57651967,0.5823995,0.54306525,0.6,0.7,0.45,0.53333336,0.46666667,0.4,0.3,0.55,0.46666667,0.53333336,0.2,0.4,-0.1,0.06666667,-0.06666667,0.3722127,0.6101588,0.45998925,0.61296123,0.5629324,0.6277873,0.3898412,0.54001075,0.38703877,0.4370676,-0.25557455,0.22031757,-0.08002152,0.22592247,0.12586479,0.73792535,0.70619595,0.65625787,0.6989393,0.8178452,0.17058103,0.19973888,0.18742566,0.2373558,0.40604338,0.7642028,0.81250715,0.91462857,1.1370686,1.2805661,0.47887987,0.6344292,0.4377638,0.53705215,0.517239,0.52112013,0.3655708,0.5622362,0.46294788,0.48276103,-0.04224028,0.26885837,-0.124472365,0.07410426,0.034477957,0,0
2014-01-10,14.599315,14.661336,14.707035,14.412437,40659996.0,0.0042482307,0.020178868,0.2105287,0.0031302236,0.15512386,0.012800412,0.63434744,0.013918419,0.6897523,0.99576974,1.003117,0.98302346,0.97562057,0.93109196,0.9642658,0.90743625,0.84325945,0.9934543,0.98704773,0.9676082,0.9594938,0.91761845,0.013816871,0.015154566,0.023731234,0.026670557,0.050037168,0.001536245,0.002736145,0.0031532,0.0022712536,0.002399565,0.030905914,0.29881522,0.6179174,0.56204206,0.7014221,0.0034732309,0.00063961436,0.0024363685,0.0075729922,0.011594396,1.0325059,1.0325059,1.0325059,1.0325059,1.0325059,0.9671045,0.93198264,0.92508066,0.90159184,0.794278,1.0023711,1.0003674,0.9911388,0.9845263,0.9643994,0.98189914,0.9741845,0.9468663,0.9368585,0.8712679,0.8,0.8,0.9,0.9,0.95,0.5029793,0.6766337,0.6974096,0.7517009,0.86355156,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.25,0.033333335,0.28333333,0.6,0.8,0.7,0.93333334,0.7,-0.2767966,0.21079299,0.6219422,0.4996629,-0.07503985,-0.53320044,0.30527183,0.43282267,0.48877305,0.52928424,0.8,0.8,0.5,0.53333336,0.48333332,0.2,0.2,0.5,0.46666667,0.51666665,0.6,0.6,0.0,0.06666667,-0.033333335,0.62943316,0.6802565,0.561073,0.6023385,0.5773967,0.37056684,0.3197435,0.43892696,0.39766154,0.4226033,0.25886628,0.36051294,0.12214607,0.20467694,0.15479338,1.0018685,0.9995751,0.8803412,0.946611,1.1192499,0.23236631,0.2457401,0.2402848,0.32080168,0.55124944,0.7776009,0.7016261,0.85850865,1.1464992,1.2629203,0.49227285,0.5568659,0.4735256,0.48929673,0.5060574,0.50772715,0.44313413,0.5264744,0.51070327,0.49394262,-0.01545432,0.11373173,-0.052948803,-0.021406535,0.012114744,1,0
2014-01-13,14.534031,13.954627,14.774768,13.904848,54400410.0,-0.039865326,0.059853993,-0.66604286,0.016563674,0.27673468,0.0034249919,0.05722245,-0.053004008,-0.8855551,1.0415206,1.058772,0.9964328,1.032924,1.0161989,1.002924,0.9531579,0.8783626,1.0371814,1.0354153,1.016465,1.0096473,0.96611696,0.024617326,0.018834999,0.025025941,0.026093783,0.051544625,-0.010391816,-0.00053446786,0.0028594732,0.001955298,0.002434656,0.44549322,0.0073811403,0.45694005,0.4351646,0.680469,-0.01639769,-0.033010133,-0.04362994,-0.037999026,-0.037939344,1.0847954,1.0847954,1.0847954,1.0847954,1.0847954,0.9964328,0.9964328,0.97192985,0.95502925,0.83450294,1.0531346,1.0510293,1.0413334,1.034386,1.0132399,1.0211463,1.0235205,0.99481875,0.9855556,0.9228304,0.2,0.1,0.3,0.4,0.7,0.040370032,0.040370032,0.24870436,0.34655237,0.6612149,0.6,0.8,0.9,0.93333334,0.96666664,1.0,1.0,0.2,0.13333334,0.26666668,-0.4,-0.2,0.7,0.8,0.7,-0.64702225,-0.04816321,0.56201357,0.46396554,-0.08034014,-0.62766236,-0.0983887,0.2537409,0.37183347,0.48651797,0.6,0.7,0.5,0.53333336,0.48333332,0.4,0.3,0.5,0.46666667,0.51666665,0.2,0.4,0.0,0.06666667,-0.033333335,0.38382155,0.46206504,0.49579692,0.5445643,0.55494505,0.61617845,0.53793496,0.5042031,0.45543566,0.44505495,-0.23235692,-0.075869896,-0.008406174,0.089128666,0.109890096,0.82002974,0.7675001,0.6663175,0.7221997,0.84215885,0.19195683,0.20028278,0.1916213,0.24385037,0.41191012,0.706659,0.834764,0.969607,1.0983596,1.229154,0.66654724,0.5431392,0.52030075,0.53551775,0.50981915,0.33345273,0.4568608,0.47969925,0.46448225,0.49018088,0.33309454,0.08627838,0.040601518,0.071035475,0.019638259,0,1
2014-01-14,14.190469,14.10723,14.19455,14.017465,45191524.0,-0.0058658104,0.012479145,-0.47004905,0.00028757137,0.023044154,0.0063257637,0.5069068,0.00017238152,0.013813568,1.0059004,1.0061897,0.9936369,1.034419,1.0064789,0.990571,0.96355647,0.8898595,1.0190779,1.0235668,1.0059409,0.9999403,0.9575018,0.026160298,0.019412791,0.024545457,0.024942202,0.05055855,-0.0129345795,-0.0030318834,0.0025151677,0.0016998247,0.0023694613,0.6111661,0.22359416,0.3675019,0.3599485,0.66989976,0.0067912103,-0.009923401,-0.029835006,-0.024587719,-0.027400926,1.0730608,1.0730608,1.0730608,1.0730608,1.0730608,0.985654,0.985654,0.9614161,0.94469833,0.8254758,1.0417424,1.03966,1.0300689,1.0231967,1.0022793,0.99783653,1.0111529,0.9840574,0.97555393,0.9159368,0.4,0.2,0.45,0.56666666,0.78333336,0.1641291,0.1641291,0.3455955,0.43082452,0.7049064,0.4,0.7,0.85,0.9,0.95,0.8,0.9,0.15,0.1,0.25,-0.4,-0.2,0.7,0.8,0.7,-0.7103562,-0.3121006,0.5264647,0.4338281,-0.082753815,-0.62193716,-0.1305097,0.2399821,0.3800653,0.4824728,0.6,0.7,0.55,0.53333336,0.48333332,0.4,0.3,0.45,0.46666667,0.51666665,0.2,0.4,0.1,0.06666667,-0.033333335,0.37557474,0.48532486,0.51334083,0.5357304,0.5507679,0.6244253,0.51467514,0.48665917,0.46426955,0.4492321,-0.24885055,-0.029350255,0.02668169,0.07146089,0.10153579,1.0526099,0.9651862,0.8222674,0.8826442,1.0158907,0.15279076,0.21041237,0.22938623,0.29000127,0.4955054,0.6729085,0.7480846,0.917435,1.104434,1.2399926,0.61793774,0.5770761,0.5425742,0.52621996,0.5030662,0.38206223,0.42292392,0.45742574,0.47378004,0.49693382,0.23587555,0.15415217,0.08514851,0.052439947,0.0061323806,1,0
2014-01-15,14.1921015,13.913824,14.271259,13.849357,40842580.0,-0.019607907,0.02972799,-0.65957725,0.0055775973,0.18762107,0.0045424867,0.15280166,-0.020643018,-0.6943967,1.0200001,1.0256892,0.9953667,1.066217,1.0432845,0.99126095,0.9892083,0.9730792,1.02,1.0334663,1.0203607,1.0141995,0.9712601,0.022107735,0.02284636,0.024429426,0.025001574,0.051399145,-0.00987099,-0.0047695753,0.0018129329,0.0014642923,0.0024540916,0.4983941,0.39951846,0.1927547,0.26584136,0.6952957,-0.00025804504,-0.012003208,-0.037583593,-0.035431676,-0.043655746,1.0879766,1.0879766,1.0879766,1.0879766,1.0879766,0.9953667,0.9953667,0.9747801,0.9578299,0.8369501,1.0342991,1.0541115,1.0443871,1.0374194,1.0162112,1.002346,1.0117067,0.99987096,0.989349,0.9286686,0.2,0.1,0.25,0.33333334,0.6666667,0.05003068,0.05003068,0.22279766,0.32401973,0.6495326,0.2,0.6,0.8,0.8666667,0.93333334,1.0,1.0,0.1,0.06666667,0.23333333,-0.8,-0.4,0.7,0.8,0.7,-0.20866777,-0.19857125,0.48329175,0.4233643,-0.087723225,-0.96158755,-0.1806885,0.26441675,0.37816158,0.4025469,0.4,0.6,0.55,0.5,0.46666667,0.6,0.4,0.45,0.5,0.53333336,-0.2,0.2,0.1,0.0,-0.06666667,0.25782925,0.39929026,0.5121673,0.51040244,0.512907,0.74217075,0.60070974,0.48783273,0.48959753,0.487093,-0.48434153,-0.20141946,0.024334578,0.020804934,0.025814021,1.1581578,1.0851005,0.9219142,0.9818482,1.1039565,0.17593051,0.21914446,0.25196028,0.31991124,0.52970815,0.70772755,0.7729962,0.9034275,1.0965842,1.0992893,0.48793298,0.5296431,0.52302724,0.5093943,0.4723695,0.512067,0.47035688,0.47697276,0.4906057,0.5276305,-0.02413402,0.05928622,0.0460545,0.01878858,-0.055260997,0,1
