date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,8.532519,8.559694,8.626565,8.433893,29547050.0,0.0031848683,0.022580877,0.14104271,0.007837157,0.3470705,0.011558853,0.5118868,0.006906565,0.305859,0.9968252,1.0078123,0.9853031,1.0011415,0.9685372,1.0265045,0.86066425,0.84396964,0.9973817,0.99933296,1.0007527,0.9979822,0.9293815,0.005487922,0.0067727715,0.016622292,0.044328306,0.07832499,0.00013554691,-0.00038374471,-0.0011141569,0.00078009866,0.0035752857,0.0015251179,0.029428182,0.15724576,0.024001509,0.63550746,0.0023472144,0.002393901,0.009831763,-0.009293611,-0.034852408,1.0092392,1.0185853,1.0459102,1.065958,1.065958,0.97659904,0.9657903,0.9641137,0.8585596,0.78860635,1.0007206,1.0037955,1.0165949,1.0275319,1.0118647,0.9955767,0.99560523,0.9888417,0.9874078,0.85173905,0.8,0.5,0.5,0.43333334,0.71666664,0.71693844,0.6479727,0.43872622,0.6819742,0.76218617,0.4,0.3,0.2,0.3,0.65,0.6,0.1,0.5,0.033333335,0.033333335,-0.2,0.2,-0.3,0.26666668,0.6166667,0.303804,0.5156993,0.10002176,0.07523898,0.06747264,0.32694402,0.6872039,0.45204782,0.56483185,0.3847355,0.6,0.5,0.3,0.43333334,0.46666667,0.2,0.4,0.65,0.53333336,0.51666665,0.4,0.1,-0.35,-0.1,-0.05,0.48004907,0.64999956,0.43551442,0.6422021,0.5874801,0.5199509,0.3500004,0.56448555,0.35779792,0.4125199,-0.03990186,0.29999915,-0.12897113,0.28440413,0.1749602,0.7488805,1.1938816,1.2211704,1.4285376,1.3436415,0.14119588,0.8817635,0.61589015,0.9478438,0.73030424,0.97614115,1.5269511,1.3450992,2.87312,2.7677314,0.9672131,0.4735756,0.4699841,0.49085206,0.4998395,0.032786883,0.5264244,0.5300159,0.50914794,0.5001605,0.93442625,-0.05284883,-0.060031783,-0.01829587,-0.00032099272,0,0
2014-01-03,8.543511,8.470229,8.575267,8.411603,21484000.0,-0.008577532,0.01915651,-0.44776067,0.0037169082,0.19402845,0.0068620704,0.35821086,-0.00543237,-0.28357828,1.0086517,1.0124009,0.9930786,1.0142033,1.0116799,1.0303533,0.88485944,0.81290555,1.0050757,1.0087203,1.0098053,1.0123612,0.9423161,0.0051435307,0.00747236,0.016353315,0.038296986,0.0777658,0.00043979296,-0.0008077097,-0.0009872036,-0.00011950323,0.0034986697,0.018277379,0.10710418,0.1275469,0.00075462606,0.6173457,-0.0059552705,-0.005085527,-0.00042688518,-0.010628395,-0.04552689,1.019899,1.0293438,1.0569575,1.0772171,1.0772171,0.98691416,0.98691416,0.974297,0.87599134,0.79693586,1.0083705,1.014398,1.0225523,1.038385,1.0225523,0.9998342,0.999863,0.9992862,0.9992862,0.8645422,0.4,0.3,0.3,0.26666668,0.6333333,0.39672175,0.30841163,0.31094688,0.6162665,0.7245015,0.2,0.2,0.15,0.26666668,0.6333333,0.4,0.7,0.45,0.033333335,0.016666668,-0.2,-0.5,-0.3,0.23333333,0.6166667,0.55535096,0.5382371,0.14806533,0.11422998,0.07588134,0.5003658,0.7907385,0.4579386,0.57344484,0.45075694,0.4,0.4,0.3,0.4,0.46666667,0.4,0.5,0.65,0.56666666,0.51666665,0.0,-0.1,-0.35,-0.16666667,-0.05,0.3079918,0.4301723,0.42815685,0.6173577,0.60730255,0.6920082,0.5698277,0.57184315,0.38264233,0.39269748,-0.3840164,-0.13965538,-0.14368631,0.23471534,0.21460503,1.0407317,1.456814,1.6608689,1.9368547,1.8250407,0.18980864,1.1470871,0.85815996,1.3152989,1.0078639,0.75608534,1.7816854,1.3402218,2.9109437,2.8716967,0.53168637,0.40309584,0.48536673,0.48464245,0.48407048,0.46831363,0.59690416,0.51463324,0.51535755,0.5159295,0.06337272,-0.19380833,-0.029266527,-0.030715108,-0.03185903,0,1
2014-01-06,8.489466,8.39603,8.530076,8.263206,33372250.0,-0.0110060265,0.03143549,-0.3501147,0.004783612,0.15217236,0.015645849,0.49771294,-0.00014379034,-0.0045741405,1.0111285,1.0159653,0.98418003,1.0080009,1.0081463,1.0361859,0.89507943,0.8140888,1.0123577,1.01682,1.0169201,1.0248052,0.95374227,0.007972399,0.008979993,0.016466837,0.030761419,0.07661822,-0.004134997,-0.0024092935,-0.00098786,-0.0011285692,0.0033790516,0.67253107,0.65984035,0.12596168,0.10431466,0.5932332,-0.0040877224,-0.0059781913,-0.007535366,-0.008440888,-0.053424258,1.0274576,1.0384406,1.0662981,1.0867368,1.0867368,0.98418003,0.98418003,0.9829072,0.8921337,0.82736295,1.0172819,1.0233625,1.0254064,1.0475615,1.0315889,1.00707,1.0086701,1.0066553,1.0081172,0.8763065,0.2,0.1,0.15,0.13333334,0.56666666,0.36554682,0.29155564,0.20497191,0.5542887,0.66559154,0.6,0.1,0.1,0.23333333,0.6166667,1.0,1.0,0.4,0.033333335,0.016666668,-0.4,-0.9,-0.3,0.2,0.6,-0.48820066,0.39360705,0.12252538,0.12530214,0.097015314,0.070215926,0.6661634,0.4254276,0.5542228,0.4369183,0.4,0.4,0.3,0.36666667,0.46666667,0.4,0.5,0.65,0.6,0.51666665,0.0,-0.1,-0.35,-0.23333333,-0.05,0.37089106,0.44954973,0.4172622,0.6046429,0.6053501,0.62910897,0.55045027,0.5827378,0.39535704,0.39464992,-0.2582179,-0.100900546,-0.16547564,0.2092859,0.21070015,0.7503435,0.944053,1.0623454,1.2470363,1.1681877,0.18110669,0.73872,0.5524181,0.84670204,0.6485158,0.75260484,1.8277227,1.307868,2.8937438,2.8745563,0.72479683,0.5055295,0.4917142,0.5001278,0.49279603,0.27520317,0.49447048,0.50828576,0.4998722,0.50720394,0.44959366,0.011059021,-0.016571559,0.00025557485,-0.014407924,0,1
2014-01-07,8.42229,8.351755,8.463206,8.349619,26825524.0,-0.0083747655,0.013486519,-0.6209731,0.004858114,0.36022,0.00025364012,0.018806934,-0.012979239,-0.96238613,1.0084455,1.0133446,0.99974424,1.0221192,1.0359024,1.063542,0.9228942,0.8561349,1.0133008,1.0186203,1.0191339,1.0328082,0.96119606,0.010652881,0.0100577185,0.014147081,0.02415958,0.07600686,-0.0063834563,-0.0027207574,-0.000660811,-0.0020699378,0.003290503,0.89767194,0.67079854,0.07636404,0.56890196,0.57163507,-0.0005338084,-0.0063768523,-0.012856244,-0.0027940536,-0.058265913,1.0329044,1.0419714,1.0719509,1.092498,1.092498,0.98939747,0.98939747,0.9881179,0.9881179,0.8418032,1.0226748,1.0265721,1.0287877,1.053115,1.0370576,1.0042411,1.0117359,1.0063251,1.0134616,0.882027,0.2,0.1,0.1,0.06666667,0.53333336,0.24369702,0.2016685,0.14173536,0.1138351,0.6310336,0.4,0.1,0.05,0.2,0.6,0.8,0.9,0.35,0.56666666,0.35,-0.4,-0.8,-0.3,-0.36666667,0.25,-0.34862223,-0.23504835,0.09262807,0.26112306,0.09731106,0.34955123,0.23464866,0.46081862,0.55061466,0.4665591,0.2,0.3,0.25,0.33333334,0.45,0.6,0.6,0.7,0.6333333,0.53333336,-0.4,-0.3,-0.45,-0.3,-0.083333336,0.100394845,0.21974804,0.3437048,0.57929176,0.5841712,0.89960515,0.780252,0.65629524,0.4207082,0.4158288,-0.7992103,-0.56050396,-0.31259045,0.15858357,0.16834241,0.98569167,0.9048346,1.2974728,1.5277541,1.4458369,0.19746383,0.24624825,0.68975073,1.0576273,0.8089051,0.78077716,0.6881358,1.4065199,2.9794736,2.96331,0.5966911,0.2126724,0.47699183,0.48370928,0.4935702,0.40330893,0.7873276,0.52300817,0.5162907,0.5064298,0.19338211,-0.57465523,-0.046016335,-0.032581475,-0.012859578,0,1
2014-01-08,8.447023,8.855268,8.885191,8.374045,47035550.0,0.04832994,0.060511917,0.79868466,0.0035424833,0.05854191,0.008639496,0.14277345,0.05342695,0.88291615,0.95389813,1.0033792,0.94565696,0.9640012,0.97103536,0.9867935,0.9848625,0.80962723,0.962884,0.9635978,0.9618461,0.974587,0.9097151,0.022579383,0.0155045865,0.014911284,0.023196716,0.071535714,0.0053377547,0.00026644766,0.00033558405,-0.0017106856,0.003092351,0.1397118,0.0027071661,0.017727219,0.4214917,0.5699431,0.026440503,0.035203222,0.03496585,0.050217897,-0.0009394942,1.0033792,1.0033792,1.0033792,1.0303782,1.0303782,0.93314016,0.93314016,0.9319333,0.9319333,0.7939381,0.9732974,0.96820104,0.9702906,0.9977656,0.98266274,0.9471397,0.95420843,0.9491052,0.95583594,0.8369022,1.0,1.0,1.0,0.8333333,0.9166667,0.95189047,0.95189047,0.9527031,0.6914188,0.87151814,1.0,1.0,1.0,0.16666667,0.5833333,0.6,0.8,0.3,0.53333336,0.33333334,0.4,0.2,0.7,-0.36666667,0.25,0.7410313,0.37124443,0.16184837,0.27525857,0.10179208,0.6292866,0.5337148,0.49980903,0.3426461,0.4887962,0.4,0.4,0.3,0.33333334,0.45,0.6,0.5,0.65,0.6333333,0.53333336,-0.2,-0.1,-0.35,-0.3,-0.083333336,0.7169576,0.63011223,0.5284253,0.51887536,0.61059266,0.28304237,0.36988777,0.47157472,0.48112464,0.3894073,0.43391523,0.26022446,0.05685055,0.037750736,0.22118537,0.6729564,0.5411363,0.7485517,0.7956111,0.83087313,0.20467782,0.19751295,0.39726207,0.39986357,0.46111628,1.6622627,2.068055,1.4848005,1.3048698,2.827079,0.7356914,0.57181585,0.513402,0.39222464,0.50939685,0.26430857,0.42818415,0.48659799,0.6077754,0.49060315,0.47138286,0.1436317,0.026804006,-0.21555074,0.018793719,1,0
2014-01-09,8.917557,8.847328,9.068703,8.793893,43187424.0,-0.007875316,0.030816719,-0.25555336,0.016949253,0.5500019,0.0059921485,0.19444473,-0.01883242,-0.6111105,1.0079378,1.0250217,0.99396026,0.9674892,0.9685936,0.9844004,1.0211562,0.8242968,0.9702502,0.9676031,0.96348923,0.9747564,0.9134599,0.027981212,0.019190935,0.016447835,0.022074934,0.07160626,0.013715273,0.0024805078,0.0012111025,-0.0012387735,0.003095635,0.6006422,0.15314412,0.18976335,0.24405439,0.5700295,0.0023192386,0.02123461,0.02500531,0.043205813,-0.004781116,1.0250217,1.0250217,1.0250217,1.0313029,1.0313029,0.9339775,0.9339775,0.9327696,0.9327696,0.79465055,1.0001795,0.97678,0.9711613,0.9984815,0.98466957,0.94798964,0.9550647,0.94995695,0.95669365,0.83897847,0.8,0.9,0.95,0.8333333,0.9,0.7251703,0.7251703,0.7287689,0.68231153,0.8677262,1.0,1.0,1.0,0.13333334,0.56666666,0.4,0.7,0.25,0.5,0.31666666,0.6,0.3,0.75,-0.36666667,0.25,0.8109125,0.639094,0.23095286,0.16453138,0.08994485,0.67915887,0.6125381,0.4982686,0.44333854,0.49775362,0.2,0.4,0.3,0.3,0.43333334,0.8,0.5,0.65,0.6666667,0.55,-0.6,-0.1,-0.35,-0.36666667,-0.11666667,0.6999149,0.64407843,0.5338931,0.47116372,0.6035473,0.3000851,0.35592157,0.4661069,0.5288363,0.3964527,0.39982978,0.28815684,0.0677862,-0.057672586,0.20709458,0.7960871,0.6542201,0.8297035,0.8308814,0.9127032,0.24888171,0.23246443,0.4338177,0.37299395,0.4999449,1.6898847,2.076068,1.4968638,1.2924,2.847102,0.63490313,0.7124267,0.5210603,0.44694197,0.5107455,0.36509687,0.28757328,0.47893968,0.553058,0.48925444,0.26980627,0.4248534,0.042120624,-0.10611606,0.021491107,0,1
2014-01-10,8.902901,9.139236,9.1557255,8.741984,61140976.0,0.026545927,0.04647262,0.5712165,0.0018520963,0.039853495,0.018074596,0.38893,0.042768426,0.92029303,0.9741405,1.0018042,0.9565333,0.92679834,0.9399619,0.92893654,0.9662224,0.79005045,0.95390064,0.9427016,0.93626845,0.9447485,0.88778305,0.036732957,0.02737057,0.021857727,0.023395466,0.06977921,0.02168655,0.006071741,0.0020739667,-0.00067962066,0.003026741,0.8713832,0.45109728,0.31510955,0.06539906,0.5738498,0.0027262548,0.029975606,0.044028886,0.065106004,0.022928111,1.0018042,1.0018042,1.0018042,1.0018042,1.0018042,0.90414613,0.90414613,0.9029768,0.9029768,0.76926935,0.9751429,0.96823364,0.94201994,0.96823364,0.9543951,0.9177107,0.92455983,0.9196152,0.9261368,0.8147673,1.0,1.0,1.0,1.0,1.0,0.9815253,0.9815253,0.98174393,0.98174393,0.99224114,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.2,0.46666667,0.3,0.8,0.4,0.8,0.53333336,0.7,0.97462475,0.82496583,0.38137585,0.2352684,0.10343807,0.6515973,0.66508424,0.5785253,0.43214864,0.5050121,0.4,0.4,0.35,0.33333334,0.45,0.6,0.5,0.6,0.6333333,0.53333336,-0.2,-0.1,-0.25,-0.3,-0.083333336,0.86286753,0.72212595,0.6540188,0.5463039,0.62418,0.13713244,0.27787402,0.34598115,0.4536961,0.37581998,0.7257351,0.44425192,0.30803767,0.09260781,0.24836007,0.6920456,0.52887136,0.6020488,0.5919367,0.65452623,0.21595624,0.22866766,0.31965712,0.27001184,0.3547068,1.2010118,1.6098425,1.4715183,1.3016212,2.7611794,0.8280327,0.75918144,0.5321994,0.51111954,0.51886314,0.17196731,0.24081856,0.4678006,0.4888805,0.48113686,0.65606534,0.5183629,0.064398825,0.02223905,0.037726287,1,1
2014-01-13,9.140458,8.66168,9.250382,8.596946,75505130.0,-0.052380074,0.071488395,-0.73270744,0.012026127,0.1682249,0.00708219,0.09906769,-0.057324015,-0.8018646,1.0552754,1.0679662,0.99252635,0.96933043,0.977086,0.9795536,1.0358161,0.85021317,1.0126272,0.9969682,0.98891133,0.9956427,0.9392268,0.033472944,0.02823058,0.023126984,0.023576355,0.07318125,0.010434685,0.0055241366,0.0022297164,-0.0004278581,0.0031507,0.24294662,0.35099474,0.32533383,0.025523951,0.5653459,-0.03349663,-0.021826826,-0.01009362,0.010561212,-0.03217247,1.0679662,1.0679662,1.0679662,1.0679662,1.0679662,0.9639722,0.9539957,0.9527619,0.9527619,0.8116825,1.0289067,1.0216166,0.9990692,1.0158211,1.0070151,0.99284375,0.97618353,0.9703176,0.9771987,0.8607325,0.4,0.7,0.85,0.6333333,0.75,0.34644088,0.40365076,0.4100375,0.4100375,0.7348007,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.15,0.43333334,0.28333333,0.8,0.5,0.85,0.56666666,0.71666664,0.60254884,0.68059754,0.3944691,0.2541963,0.12747219,0.5818522,0.44097978,0.4495832,0.39407185,0.46726125,0.4,0.4,0.35,0.3,0.43333334,0.6,0.5,0.6,0.6666667,0.55,-0.2,-0.1,-0.25,-0.36666667,-0.11666667,0.6002307,0.5625965,0.5343116,0.4577302,0.5804889,0.39976928,0.4374035,0.46568838,0.54226977,0.4195111,0.20046143,0.12519303,0.068623215,-0.08453956,0.16097778,0.671993,0.5018174,0.5159662,0.4990732,0.5383662,0.24458282,0.24821821,0.28249556,0.23785065,0.29352263,0.94733006,1.4656569,1.4383099,1.4052737,2.6426878,0.83479935,0.7994279,0.5695769,0.5547266,0.5197664,0.16520068,0.20057207,0.4304231,0.44527343,0.4802336,0.66959864,0.59885585,0.13915378,0.10945314,0.03953277,0,1
2014-01-14,8.6931305,9.083054,9.180764,8.559084,54083350.0,0.044854164,0.071513966,0.6272084,0.011239979,0.1571718,0.015419825,0.21561977,0.04903401,0.68565637,0.95707136,1.0107574,0.9423135,0.9194876,0.93982583,0.9255388,0.9781491,0.83067197,0.9817528,0.95673513,0.9467576,0.9501821,0.89847714,0.021377714,0.030678708,0.025029471,0.023761868,0.07053364,0.0029717337,0.007229867,0.0026638194,0.000115995004,0.0030654517,0.048310027,0.50909394,0.39643708,0.0018467968,0.57609785,0.0123037435,0.010730481,0.027936079,0.048135996,0.011092029,1.0184221,1.0184221,1.0184221,1.0184221,1.0184221,0.92194164,0.9097387,0.9085621,0.9085621,0.7740276,1.001237,0.9799375,0.9576966,0.968696,0.9610784,0.96996,0.93089724,0.93027866,0.93186533,0.8208021,0.8,0.9,0.95,0.96666664,0.98333335,0.80905885,0.8304976,0.83231294,0.83231294,0.9246215,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.4,0.1,0.4,0.26666668,0.6,0.5,0.85,0.56666666,0.71666664,-0.19643134,0.71486753,0.4494746,0.3958486,0.140438,0.14024812,0.16925322,0.33358884,0.28499672,0.44147095,0.6,0.4,0.4,0.33333334,0.43333334,0.4,0.5,0.55,0.6333333,0.55,0.2,-0.1,-0.15,-0.3,-0.11666667,0.7147985,0.6413456,0.6156416,0.5247865,0.59264994,0.28520152,0.35865435,0.3843584,0.47521356,0.40735006,0.42959696,0.28269127,0.2312832,0.049572907,0.18529987,1.0389608,0.7639336,0.7349915,0.71970445,0.7588601,0.23658778,0.33642998,0.39927837,0.32828173,0.41027215,0.6279253,1.2170049,1.3296367,1.3294401,2.5704134,0.6751842,0.650247,0.5244295,0.544747,0.5121069,0.32481584,0.349753,0.4755705,0.455253,0.48789313,0.35036832,0.30049402,0.048859026,0.08949399,0.024213742,1,0
2014-01-15,9.083359,9.060153,9.118473,8.925801,34017424.0,-0.0025547552,0.021211512,-0.12044191,0.0038657824,0.18224926,0.014790975,0.69730884,0.008370438,0.39461765,1.0025613,1.006437,0.98517114,0.9773861,0.9422014,0.9220814,0.99366397,0.8253572,0.9887571,0.9649332,0.9530466,0.95279497,0.90365887,0.022003759,0.032592654,0.02666814,0.024223402,0.071149066,0.004077931,0.008346004,0.0029695616,0.000705511,0.0031081268,0.085866936,0.6010757,0.43397757,0.06574142,0.5820482,0.0030870738,-0.0024902613,0.018742558,0.03697512,0.0046514,1.0209962,1.0209962,1.0209962,1.0209962,1.0209962,0.9446953,0.9120382,0.91085863,0.91085863,0.77598405,1.0037678,1.0005056,0.97668505,0.9711445,0.9655432,0.9724117,0.9332502,0.93422073,0.93422073,0.82287675,0.6,0.8,0.9,0.93333334,0.96666664,0.72482306,0.80729955,0.80936337,0.80936337,0.9143052,0.6,0.8,0.9,0.93333334,0.96666664,0.8,0.3,0.05,0.36666667,0.25,-0.2,0.5,0.85,0.56666666,0.71666664,-0.40233862,0.6080335,0.4294466,0.37673554,0.13419625,-0.2268084,0.19001094,0.33782715,0.266541,0.44496974,0.4,0.4,0.4,0.3,0.43333334,0.6,0.6,0.55,0.6666667,0.55,-0.2,-0.2,-0.15,-0.36666667,-0.11666667,0.58385414,0.6338381,0.6219411,0.5073439,0.59582824,0.41614586,0.36616185,0.3780589,0.4926561,0.40417174,0.16770828,0.26767626,0.24388216,0.014687747,0.19165652,1.5752769,1.2528834,1.1618226,1.1413562,1.2051475,0.47145578,0.4998696,0.6358924,0.5224944,0.65262675,0.9667301,1.2023295,1.3466479,1.3617654,2.581682,0.41617814,0.5490404,0.49335858,0.49646607,0.49860984,0.58382183,0.45095962,0.5066414,0.5035339,0.50139016,-0.16764373,0.09808074,-0.013282832,-0.0070678582,-0.0027803131,0,1
