date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,1.9215095,1.9435471,1.9471698,1.9190943,26397312.0,0.011468913,0.014611146,0.78494275,0.0018853152,0.12903267,0.0012569182,0.08602461,0.010840516,0.74193466,0.9886611,1.001864,0.9874185,0.9798075,0.96054673,0.96318734,0.9698664,0.87868905,0.99648964,0.9823082,0.9643756,0.96068656,0.9389976,0.005303463,0.016371582,0.022726133,0.019781537,0.031631757,0.003075476,0.005138994,0.0032297655,0.00150376,0.0015764795,0.8407088,0.9032052,0.70690143,0.44785625,0.7575825,-0.0026405735,-0.005433674,0.004941615,0.017508907,0.014496209,1.0088537,1.0088537,1.0088537,1.0088537,1.0088537,0.982448,0.9512271,0.92621934,0.92218083,0.8555453,1.0003728,0.9985089,0.9896863,0.97247595,0.96383977,0.99276173,0.96741223,0.9456974,0.94557315,0.9098478,0.8,0.9,0.95,0.96666664,0.98333335,0.6647062,0.8463614,0.8928573,0.8978497,0.94224936,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.35,0.2,0.033333335,0.6,0.8,0.6,0.76666665,0.95,0.83036286,-0.28709552,-0.48198286,-0.385181,-0.34899333,0.18184404,0.302842,-0.033170607,-0.007984682,0.3071122,0.8,0.8,0.6,0.6,0.56666666,0.2,0.2,0.4,0.4,0.41666666,0.6,0.6,0.2,0.2,0.15,0.9220775,0.79812217,0.64259934,0.5754278,0.63232803,0.07792251,0.20187782,0.35740066,0.42457223,0.367672,0.84415495,0.5962444,0.28519872,0.15085557,0.264656,0.79292256,0.8746267,1.0911281,1.0434266,1.2863805,0.18090938,0.29842716,0.45686078,0.3950514,0.67378,0.41210204,0.72623473,0.7994078,0.85252714,1.511711,0.87838936,0.47312585,0.49390396,0.49401957,0.50496644,0.121610664,0.5268742,0.506096,0.50598043,0.49503356,0.75677866,-0.053748325,-0.012192041,-0.011960864,0.009932894,0,0
2014-01-03,1.9516982,1.9408302,1.9532075,1.9287547,28149624.0,-0.00556846,0.012528989,-0.44444606,0.00077333103,0.06172334,0.006187198,0.4938306,-0.00015459291,-0.012338818,1.0055996,1.0063773,0.99377817,0.99004513,0.9690465,0.96406907,0.95769167,0.87478614,0.99987555,0.9867787,0.96752214,0.96344167,0.942399,0.0030008438,0.01624535,0.024004383,0.020962097,0.03140943,0.0011510323,0.005060402,0.0036977646,0.0017208946,0.0015654744,0.36781397,0.88945365,0.83054936,0.522325,0.7576553,-0.0021776117,-0.009550461,-0.0026509194,0.011605347,0.011419494,1.010266,1.010266,1.010266,1.010266,1.010266,0.9869342,0.9544253,0.9275159,0.92347175,0.8567429,1.0017731,1.00028,0.99604917,0.9829523,0.96727324,0.9986623,0.9711308,0.9470213,0.94689685,0.9117125,0.6,0.8,0.9,0.93333334,0.96666664,0.5600022,0.8161569,0.87594056,0.88172114,0.9331311,0.6,0.8,0.9,0.93333334,0.96666664,0.4,0.2,0.3,0.16666667,0.016666668,0.2,0.6,0.6,0.76666665,0.95,0.8264903,-0.10881039,-0.4467407,-0.3474446,-0.35570732,0.101194344,0.2929352,-0.03170985,-0.01816908,0.32790413,0.6,0.7,0.6,0.6,0.56666666,0.4,0.3,0.4,0.4,0.41666666,0.2,0.4,0.2,0.2,0.15,0.801888,0.75578463,0.63799304,0.6125829,0.6375128,0.19811201,0.24421534,0.36200696,0.3874171,0.3624872,0.603776,0.5115693,0.27598608,0.22516581,0.2750256,0.82191104,0.81428576,1.0171864,0.97808117,1.2039696,0.18157825,0.2748371,0.42782936,0.37042922,0.6323446,0.35377517,0.8445282,0.78760356,0.8964718,1.5254769,0.8673582,0.4877079,0.48910844,0.499227,0.49706674,0.13264178,0.5122921,0.51089156,0.500773,0.50293326,0.7347164,-0.024584152,-0.021783108,-0.0015460345,-0.005866518,0,1
2014-01-06,1.9480754,1.9296603,1.9577358,1.9275471,21110562.0,-0.009452967,0.015496669,-0.60999995,0.0049589267,0.31999952,0.0010847747,0.070000514,-0.013327119,-0.859999,1.0095432,1.0145494,0.9989049,1.0009387,0.9630789,0.9591678,0.95306635,0.8714018,1.0054756,0.99618274,0.9751643,0.9705831,0.9499974,0.0033916642,0.0127270585,0.024622835,0.02159404,0.030665226,-0.0013923749,0.0035385112,0.0038827898,0.0018207204,0.0015304411,0.42133415,0.7085925,0.87032145,0.5509604,0.75969756,-0.0026908729,-0.012106066,-0.012050808,0.0030164989,0.0048545627,1.0161139,1.0161139,1.0161139,1.0161139,1.0161139,0.99264705,0.95995,0.93288493,0.92881733,0.8801627,1.0075719,1.0060701,1.0018148,0.99662083,0.9735294,1.0042554,0.9850126,0.95250314,0.95250314,0.917209,0.2,0.5,0.75,0.8333333,0.9166667,0.31333303,0.7130918,0.806391,0.8154122,0.88147306,0.4,0.7,0.85,0.9,0.95,0.2,0.1,0.25,0.13333334,0.016666668,0.2,0.6,0.6,0.76666665,0.93333334,0.59176034,-0.07812431,-0.4516967,-0.3627766,-0.36667576,0.9078909,0.30037728,0.20511702,-0.005631918,0.34520143,0.4,0.7,0.6,0.6,0.56666666,0.6,0.3,0.4,0.4,0.41666666,-0.2,0.4,0.2,0.2,0.15,0.4727263,0.83522695,0.66170985,0.6271187,0.641237,0.5272737,0.16477303,0.33829015,0.37288132,0.35876298,-0.054547414,0.6704539,0.32341972,0.25423735,0.28247404,1.1526126,1.0744548,1.2755218,1.2954652,1.5915843,0.14480457,0.36728233,0.49158794,0.49702385,0.846248,0.43121243,0.87130713,0.7187186,0.9194731,1.5460533,0.64905035,0.4824523,0.37714928,0.4873819,0.4869702,0.35094962,0.51754767,0.6228507,0.5126181,0.5130298,0.29810074,-0.03509539,-0.24570145,-0.025236212,-0.026059624,0,1
2014-01-07,1.9103396,1.9302641,1.9356982,1.9030944,28464312.0,0.010429832,0.017066987,0.6111115,0.0028445395,0.1666691,0.0037926151,0.22221938,0.011377908,0.6666618,0.98967785,1.0028151,0.98592436,1.0050048,0.97294337,0.9540194,0.9566781,0.8920864,1.0041602,0.9985768,0.9771583,0.9717235,0.9514988,0.0041105906,0.009860407,0.024713343,0.022089217,0.030382566,-0.0024710682,0.0022340957,0.003911678,0.0019180939,0.0015147703,0.9034434,0.47057116,0.8768621,0.5843605,0.75813144,0.00078198005,-0.008630248,-0.014319243,0.00046412187,0.0038154537,1.0157961,1.0157961,1.0157961,1.0157961,1.0157961,0.98592436,0.9710666,0.9325931,0.92852676,0.88583046,1.0072567,1.0057554,1.0015014,0.9997498,0.97478884,0.9999374,0.9936816,0.95220524,0.95220524,0.9178293,0.4,0.5,0.75,0.8333333,0.9166667,0.4712036,0.64685357,0.8101505,0.8189966,0.8784598,0.2,0.6,0.8,0.8666667,0.93333334,1.0,0.1,0.2,0.1,0.083333336,-0.8,0.5,0.6,0.76666665,0.85,0.2139697,0.59752846,-0.38504186,-0.33120775,-0.34930557,0.76465744,-0.0147672715,0.2137251,-0.013669564,0.34680974,0.4,0.7,0.65,0.6,0.56666666,0.6,0.3,0.35,0.4,0.41666666,-0.2,0.4,0.3,0.2,0.15,0.30952135,0.7993078,0.68894595,0.6197062,0.62419,0.6904787,0.2006922,0.31105402,0.3802938,0.37581003,-0.3809573,0.5986156,0.37789196,0.23941246,0.24837996,0.90389854,0.7553008,0.8864657,0.95836145,1.1719112,0.10623169,0.1852441,0.21870182,0.36809617,0.6265398,0.7163371,0.5203383,0.7917076,0.9550207,1.6080136,0.6657754,0.3993916,0.37823167,0.4953642,0.48926976,0.33422458,0.6006084,0.6217683,0.5046358,0.5107302,0.3315508,-0.2012168,-0.24353664,-0.009271641,-0.021460446,1,1
2014-01-08,1.9341887,1.949283,1.949585,1.922717,31438938.0,0.0078039337,0.013891088,0.5617943,0.00015611565,0.011238547,0.005931039,0.4269672,0.013578856,0.9775229,0.9922565,1.0001549,0.9863714,0.9989159,0.9677869,0.94362706,0.9513706,0.9143565,0.9945795,0.9920552,0.97044295,0.96386355,0.94364256,0.0043899845,0.0069601904,0.024806965,0.022821568,0.030765947,4.6459798e-05,0.0014182328,0.0039571193,0.002067997,0.0015475021,0.00028000688,0.38059607,0.8905926,0.63637114,0.7716525,0.0053275577,0.0015628043,-0.008035577,0.0061505227,0.010706119,1.0043364,1.005885,1.005885,1.005885,1.005885,0.9763048,0.96391517,0.9234939,0.9194673,0.87718755,0.997646,0.99742913,0.99529195,0.99036705,0.9671674,0.9901812,0.9890971,0.94353414,0.94291466,0.90887415,1.0,1.0,1.0,1.0,1.0,0.8453045,0.85977924,0.9285718,0.9319,0.9542722,0.6,0.5,0.75,0.8333333,0.9166667,0.8,0.1,0.15,0.06666667,0.06666667,-0.2,0.4,0.6,0.76666665,0.85,0.66119564,0.78427285,-0.27799425,-0.29269847,-0.3223414,0.47811565,0.11857936,0.19236301,0.0036188315,0.35447124,0.4,0.7,0.7,0.6,0.56666666,0.6,0.3,0.3,0.4,0.41666666,-0.2,0.4,0.4,0.2,0.15,0.52845544,0.8209874,0.7182255,0.6314908,0.60469514,0.47154456,0.17901258,0.28177455,0.36850914,0.3953049,0.056910884,0.64197487,0.43645093,0.2629817,0.20939024,0.86237484,0.72466546,0.80620587,0.8773996,1.0498226,0.12128269,0.190894,0.20104937,0.33271733,0.5615894,1.1474108,0.77493757,0.7321678,0.92315793,1.6166646,0.6647207,0.6601108,0.51043,0.52104765,0.48419547,0.33527926,0.33988926,0.48957002,0.47895232,0.5158045,0.3294415,0.32022148,0.02085995,0.042095333,-0.031609077,1,0
2014-01-09,1.9619622,1.9532075,1.9683018,1.9414339,34115436.0,-0.004462232,0.013694385,-0.3258439,0.0032312295,0.23595287,0.006000924,0.43820325,-0.0016925372,-0.12359351,1.0044823,1.007728,0.9939722,0.9950541,0.97496146,0.9381763,0.93462133,0.91885626,0.9935703,0.9925657,0.97158426,0.96410614,0.94309896,0.0054956744,0.0051886546,0.024631873,0.023196874,0.031456623,0.002272017,0.0009507696,0.0039205807,0.0021211607,0.0016010932,0.42728853,0.30778855,0.8866944,0.64802235,0.7901487,0.0018856259,0.0031558238,-0.008829781,0.0051370035,0.009668805,1.007728,1.007728,1.007728,1.007728,1.007728,0.9743432,0.9743432,0.92163837,0.9176198,0.87542504,0.9983926,0.9971252,0.9939413,0.9897373,0.96633697,0.98819166,0.98819166,0.94967544,0.9423493,0.907048,1.0,1.0,1.0,1.0,1.0,0.76851875,0.76851875,0.9102337,0.91423696,0.941589,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.1,0.033333335,0.05,0.4,0.2,0.9,0.96666664,0.95,0.8225662,0.74031854,-0.19105616,-0.25965708,-0.29727048,0.49967313,0.4187092,0.16507784,-0.0001806773,0.36414337,0.6,0.7,0.75,0.6333333,0.56666666,0.4,0.3,0.25,0.36666667,0.41666666,0.2,0.4,0.5,0.26666668,0.15,0.629032,0.7913663,0.7427183,0.690369,0.6004592,0.37096798,0.20863369,0.2572817,0.30963102,0.3995408,0.258064,0.5827326,0.48543662,0.380738,0.20091839,0.83996505,0.7267502,0.7562094,0.8195391,0.964838,0.14268243,0.17888176,0.19394958,0.30740276,0.51695055,1.0883474,0.8270027,0.7433777,0.96235484,1.6380953,0.67705166,0.76340914,0.54205436,0.52556044,0.49592468,0.32294834,0.23659086,0.45794564,0.47443956,0.5040753,0.35410333,0.5268183,0.08410868,0.05112085,-0.008150615,1,0
2014-01-10,1.9607546,1.9634718,1.9637737,1.9372075,25893812.0,0.0013857611,0.013549001,0.102277726,0.00015400047,0.011366186,0.01200924,0.8863561,0.0132410005,0.9772676,0.99861616,1.0001538,0.9866235,0.98846865,0.9786285,0.9209717,0.9309655,0.8885301,0.9906826,0.9895141,0.9704566,0.9613673,0.94002664,0.0075507695,0.005546819,0.023106128,0.023612605,0.03160263,0.004612558,0.0010511004,0.0036596325,0.0021803635,0.0016099525,0.93291336,0.32916367,0.87798804,0.66080254,0.7915522,9.2272414e-05,0.0057559414,-0.005223119,0.0070173917,0.012479781,1.0024599,1.0024599,1.0024599,1.0024599,1.0024599,0.96924967,0.96924967,0.9168204,0.9168204,0.87084866,0.9958179,0.99317336,0.9902213,0.98809963,0.96457565,0.9830258,0.9835793,0.9499385,0.9378229,0.9026445,1.0,1.0,1.0,1.0,1.0,0.9259286,0.9259286,0.97127575,0.97127575,0.9813091,0.8,0.9,0.95,0.96666664,0.98333335,0.4,0.7,0.05,0.36666667,0.033333335,0.4,0.2,0.9,0.6,0.95,0.4322741,0.5206439,-0.14286058,-0.24538721,-0.26639506,0.25476858,0.19055223,0.22819789,-0.008774698,0.44982195,0.8,0.7,0.8,0.6333333,0.5833333,0.2,0.3,0.2,0.36666667,0.4,0.6,0.4,0.6,0.26666668,0.18333334,0.7516769,0.77254885,0.83033425,0.6974495,0.6461104,0.24832308,0.22745116,0.16966575,0.30255046,0.35388955,0.50335383,0.54509765,0.6606685,0.39489907,0.29222086,1.0892414,0.9913778,0.99176157,1.0760522,1.2500619,0.19418569,0.21146774,0.25456306,0.40521872,0.6692165,0.87406594,0.83133453,0.7424596,0.9343508,1.6712441,0.4600961,0.6013472,0.48952326,0.49352607,0.47465128,0.5399039,0.39865276,0.51047677,0.50647396,0.5253487,-0.079807796,0.20269445,-0.020953503,-0.01294788,-0.05069742,1,1
2014-01-13,1.9604529,1.9109434,1.9619622,1.9030944,40071310.0,-0.025254127,0.03002766,-0.8410288,0.00076987763,0.02563895,0.0040036556,0.13333225,-0.022020347,-0.7333355,1.0259085,1.0266982,0.99589264,1.0097946,1.0107425,0.94928914,0.9753555,0.90947866,1.0159558,1.0156398,0.99966824,0.9886151,0.9673749,0.010915355,0.00763397,0.020900704,0.024243223,0.031905003,-0.0012796134,-0.00022978662,0.0030457655,0.002233269,0.001614592,0.034357518,0.008305389,0.74325734,0.6576625,0.7811022,-0.013396539,-0.014605772,-0.028603027,-0.020997472,-0.015005405,1.0300157,1.0300157,1.0300157,1.0300157,1.0300157,0.99589264,0.99589264,0.94597155,0.94202214,0.8947867,1.0231911,1.020474,1.0174408,1.0152607,0.9972196,1.0080885,1.0100474,0.9816114,0.9636019,0.9331753,0.2,0.1,0.45,0.6333333,0.81666666,0.12036951,0.12036951,0.6428575,0.6588872,0.7780377,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.6,0.05,0.33333334,0.016666668,0.4,0.2,0.85,0.6,0.95,-0.685047,-0.26159856,-0.047945447,-0.21565105,-0.23850094,-0.7244901,-0.3796594,-0.12410101,-0.1463705,0.3492598,0.8,0.6,0.75,0.6,0.5833333,0.2,0.4,0.25,0.4,0.4,0.6,0.2,0.5,0.2,0.18333334,0.39160895,0.4141415,0.67202556,0.56543607,0.6088112,0.60839105,0.5858585,0.32797444,0.43456393,0.3911888,-0.21678212,-0.17171702,0.34405112,0.13087216,0.21762238,0.7984955,0.70286024,0.6516037,0.704508,0.80875146,0.13652882,0.14502878,0.18063197,0.26767287,0.43281403,1.365498,1.5953467,1.1269557,1.1494273,1.6199613,0.76777697,0.7248402,0.5348226,0.52335966,0.5018202,0.23222303,0.27515975,0.4651774,0.47664037,0.49817976,0.53555393,0.44968048,0.069645196,0.046719264,0.003640466,0,1
2014-01-14,1.9215095,1.9655849,1.9655849,1.9115472,38050690.0,0.022937888,0.02812252,0.8156413,0.0,0.0,0.0051846323,0.18435873,0.02812252,1.0,0.97757643,1.0,0.9725081,0.9820304,0.9869452,0.93057907,0.9500845,0.884196,0.991307,0.9887114,0.9753494,0.96279633,0.94241285,0.011231033,0.008413593,0.018763244,0.024505733,0.031059189,-0.0004914753,0.0004328352,0.0027107387,0.0023457515,0.0015718756,0.004787446,0.02426015,0.73051226,0.71011764,0.7811888,0.009675919,0.009340823,-0.0011014433,0.003190289,0.011216811,1.0013822,1.0013822,1.0013822,1.0013822,1.0013822,0.9682077,0.9682077,0.92720014,0.9158348,0.884196,0.99913996,0.99474734,0.9908463,0.9876824,0.973276,0.98780525,0.981969,0.9565658,0.93681467,0.9148825,1.0,1.0,1.0,1.0,1.0,0.9583345,0.9583345,0.981367,0.9838425,0.98820484,0.4,0.7,0.85,0.9,0.95,0.8,0.5,0.05,0.3,0.016666668,-0.4,0.2,0.8,0.6,0.93333334,-0.5496117,-0.021324508,0.025734777,-0.21653756,-0.20886897,-0.7379658,-0.4804683,-0.12108785,-0.1631464,0.31798682,0.8,0.6,0.75,0.6,0.6,0.2,0.4,0.25,0.4,0.4,0.6,0.2,0.5,0.2,0.2,0.62580633,0.57741314,0.7124059,0.6193974,0.63397294,0.37419367,0.4225869,0.2875941,0.38060257,0.3660271,0.25161263,0.15482624,0.42481178,0.23879486,0.26794586,0.8912858,0.78372943,0.70469224,0.7653405,0.8538638,0.14721587,0.15903683,0.20209733,0.27271846,0.45619518,0.94474494,1.4073617,1.2112211,1.195022,1.5554764,0.65939635,0.66202384,0.5595836,0.5606924,0.5038734,0.34060362,0.33797613,0.4404164,0.43930757,0.49612656,0.31879276,0.3240477,0.11916721,0.12138485,0.007746869,1,0
2014-01-15,1.9622642,1.9692076,1.9773585,1.9553206,28987688.0,0.003538496,0.011230834,0.31506976,0.004153781,0.36985508,0.0035385569,0.31507516,0.0029232719,0.26028982,0.99647397,1.0041392,0.9929479,0.9898819,0.98880875,0.93484586,0.9507895,0.89544684,0.99150693,0.9880116,0.9768128,0.9626654,0.9424216,0.012172267,0.0093711475,0.017249284,0.025383225,0.031352915,0.0017323418,0.0012747472,0.0024723387,0.0025222972,0.0015895665,0.050636567,0.16961883,0.71902144,0.7652452,0.78397334,0.0050283824,0.0062520364,-0.00029999122,0.0007612912,0.010686146,1.0041392,1.0041392,1.0041392,1.0041392,1.0041392,0.9664265,0.9664265,0.92886704,0.9141499,0.8848689,0.99852824,0.9973018,0.9902805,0.98733705,0.97660583,0.9875823,0.98016244,0.9574122,0.9350912,0.9147631,1.0,1.0,1.0,1.0,1.0,0.8902455,0.8902455,0.945011,0.9540041,0.96529615,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.05,0.26666668,0.16666667,0.4,0.6,0.95,0.73333335,0.8333333,-0.625668,-0.01885177,0.09417612,-0.21405931,-0.16229096,-0.6686035,-0.45566663,-0.117180824,-0.18312614,0.28903338,0.8,0.6,0.75,0.6,0.6,0.2,0.4,0.25,0.4,0.4,0.6,0.2,0.5,0.2,0.2,0.5797104,0.56797045,0.704918,0.6182756,0.62436175,0.42028958,0.43202955,0.29508197,0.3817244,0.37563825,0.15942085,0.13594091,0.40983605,0.23655121,0.24872348,1.1530339,1.0441663,0.9264255,1.0126728,1.098922,0.20587154,0.19923837,0.26561975,0.354962,0.5781133,1.1275407,1.4332405,1.2543813,1.1959541,1.6131296,0.4661048,0.5390634,0.50332785,0.51600635,0.46893135,0.5338952,0.46093658,0.49667215,0.48399365,0.5310686,-0.067790404,0.07812682,0.0066557126,0.032012723,-0.062137302,1,0
