date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,3.9185712,3.8502855,3.9337142,3.8422856,39196500.0,-0.017426174,0.023332106,-0.74687535,0.0038643978,0.16562575,0.002041534,0.087498926,-0.019249037,-0.82500213,1.0177352,1.0216682,0.99792224,0.9815228,0.9654943,0.9595577,0.96126443,0.9831553,0.9963788,0.98286587,0.97383875,0.9757742,0.9841286,0.012578551,0.01760774,0.01772632,0.02078074,0.027148595,0.006277814,0.005408039,0.0023869218,0.00058981794,-0.00063747686,0.6227241,0.8647366,0.63461053,0.062433206,0.16816434,-0.008934399,-0.007202048,0.0034855239,0.015673384,0.03467695,1.0216682,1.0216682,1.0216682,1.0216682,1.0687149,0.9733601,0.9515435,0.937296,0.9372218,0.93262106,1.0029682,0.9965568,0.98334825,0.99706143,1.013461,0.9886614,0.96672606,0.9599881,0.9580736,0.95642626,0.8,0.9,0.95,0.8666667,0.65,0.5514587,0.6910051,0.74318355,0.74340916,0.49509218,1.0,1.0,1.0,1.0,0.28333333,0.2,0.2,0.2,0.1,0.41666666,0.8,0.8,0.8,0.9,-0.13333334,0.4149364,-0.2738746,-0.4292151,-0.030979192,-0.43885773,-0.6376718,-0.5481661,-0.17640217,0.3676348,0.12051495,0.6,0.7,0.6,0.5,0.48333332,0.4,0.3,0.4,0.46666667,0.5,0.2,0.4,0.2,0.033333335,-0.016666668,0.68554264,0.70556945,0.62358266,0.56277055,0.5136303,0.31445736,0.29443055,0.3764173,0.43722945,0.48636973,0.37108526,0.41113886,0.24716538,0.12554108,0.027260542,0.47543532,0.53694975,0.7645281,0.8805875,0.7307513,0.29852393,0.31318554,0.42780128,0.5936485,0.50103307,1.0251577,0.9154275,1.1750728,2.5497384,2.460664,0.9388333,0.5217964,0.49835902,0.50548506,0.51252234,0.06116672,0.47820356,0.501641,0.49451494,0.4874777,0.8776666,0.04359284,-0.0032819791,0.010970123,0.025044644,0,1
2014-01-03,3.853143,3.8105712,3.8657143,3.8005714,23747500.0,-0.011048586,0.016906423,-0.6535141,0.0032626183,0.19298097,0.0025952195,0.15350494,-0.011715985,-0.6929901,1.011172,1.014471,0.9973758,0.9909276,0.9772813,0.9704581,0.967759,0.98680365,1.0085777,0.9953813,0.9854653,0.98701864,0.9946053,0.010303549,0.016977413,0.017954618,0.020859107,0.027422626,0.00023992201,0.004785041,0.0024269056,0.0005612363,-0.0006477667,0.001355522,0.72818166,0.6394718,0.05610502,0.1701841,-0.00905751,-0.016914,-0.008520906,0.0048434543,0.024503827,1.0323161,1.0323161,1.0323161,1.0323161,1.0798532,0.98552907,0.96146065,0.94706464,0.94698966,0.94234097,1.0134213,1.0069431,1.0001949,1.007453,1.0240234,1.0007799,0.98315966,0.9735324,0.96927345,0.9663943,0.2,0.6,0.8,0.7,0.55,0.30929387,0.5439149,0.6209318,0.6212648,0.41930145,0.8,0.9,0.95,0.96666664,0.26666668,0.2,0.1,0.15,0.06666667,0.4,0.6,0.8,0.8,0.9,-0.13333334,-0.042050783,-0.22673918,-0.41459513,-0.040128652,-0.43791473,-0.17814453,-0.37727407,-0.12015585,0.37735724,0.13446929,0.6,0.6,0.55,0.5,0.48333332,0.4,0.4,0.45,0.46666667,0.5,0.2,0.2,0.1,0.033333335,-0.016666668,0.57571906,0.621491,0.5844768,0.55058795,0.51050365,0.42428094,0.37850899,0.41552317,0.44941208,0.48949632,0.15143812,0.24298202,0.16895363,0.10117587,0.021007331,0.89868826,0.8914665,1.2389388,1.4470547,1.2026652,0.4546582,0.51788026,0.7068222,0.98223925,0.8274093,0.7207329,0.7897763,1.1119423,2.5254147,2.45491,0.63902473,0.50626796,0.47966948,0.49604425,0.49681118,0.36097527,0.49373204,0.5203305,0.5039557,0.5031888,0.27804947,0.012535957,-0.04066102,-0.007911485,-0.006377621,0,1
2014-01-06,3.828286,3.857143,3.9148571,3.8214285,23117500.0,0.007537836,0.024404816,0.30886677,0.015075735,0.6177361,0.0017912443,0.07339717,-0.0057466542,-0.23547214,0.99251854,1.0149629,0.9907407,0.98888886,0.9564444,0.9427407,0.9404444,0.97407407,0.9986222,0.98771846,0.97642964,0.97708637,0.98302835,0.009304739,0.014507863,0.017110374,0.02001356,0.027159957,-0.0012962826,0.0038401724,0.0022884961,0.00047608488,-0.00062585925,0.04852115,0.64225274,0.6261083,0.043855272,0.16195522,0.0039703967,-0.004999268,0.0018296745,0.016010378,0.035434473,1.0198518,1.0198518,1.0198518,1.0198518,1.0668148,0.98303705,0.95444447,0.9356296,0.9355556,0.930963,1.0026073,0.9985777,0.9898963,0.9976296,1.0116591,0.99272585,0.977837,0.96364444,0.95856285,0.9547259,0.8,0.9,0.95,0.9,0.6666667,0.46076494,0.69648975,0.76429254,0.76449955,0.50817883,0.6,0.8,0.9,0.93333334,0.25,0.2,0.1,0.1,0.033333335,0.38333333,0.4,0.7,0.8,0.9,-0.13333334,-0.19682844,0.04773635,-0.35980147,-0.06900296,-0.43590307,-0.29340503,-0.31311032,-0.11172204,0.3683219,0.13146512,0.6,0.7,0.6,0.53333336,0.5,0.4,0.3,0.4,0.43333334,0.48333332,0.2,0.4,0.2,0.1,0.016666668,0.5905796,0.7282606,0.66959184,0.5956686,0.52051586,0.40942037,0.27173945,0.33040813,0.4043314,0.47948417,0.18115926,0.45652112,0.33918375,0.19133723,0.041031685,0.99355036,0.8664345,1.2330886,1.4827151,1.2311809,0.44103143,0.49400985,0.717811,1.0106623,0.8504956,0.6189078,0.79328185,1.1372278,2.5479267,2.4271994,0.59133786,0.43459934,0.46504387,0.4977215,0.49620014,0.40866217,0.56540066,0.5349561,0.5022785,0.50379986,0.18267567,-0.13080135,-0.069912225,-0.0045570163,-0.007599691,1,1
2014-01-07,3.8645713,3.945143,3.95,3.8608572,35920500.0,0.020848794,0.023066672,0.90384924,0.0012568181,0.054486323,0.00096105994,0.041664436,0.020553036,0.89102733,0.979577,1.0012312,0.97863555,0.9717554,0.94162804,0.9251883,0.9194669,0.985588,0.9819959,0.9715237,0.95839006,0.957976,0.9613412,0.013321662,0.015160674,0.018102078,0.020002212,0.026842996,0.0020857637,0.004022261,0.002420138,0.0005068403,-0.0005066267,0.061284885,0.6452306,0.6255924,0.049760867,0.108646035,0.013832575,0.010376113,0.018618656,0.0346748,0.053604268,1.0012312,1.0012312,1.0012312,1.0012312,1.0430186,0.9633545,0.9374276,0.9147595,0.9147595,0.91019696,0.99235225,0.9802433,0.9725955,0.97627455,0.99015063,0.9739426,0.9577636,0.9436124,0.9407735,0.93342984,1.0,1.0,1.0,1.0,0.96666664,0.96749574,0.98070407,0.98576236,0.98576236,0.6761179,1.0,1.0,1.0,1.0,0.23333333,0.6,0.1,0.05,0.36666667,0.36666667,0.4,0.9,0.95,0.6333333,-0.13333334,0.059472546,0.68539304,-0.20100315,-0.06820543,-0.40989196,-0.10794705,-0.13487418,-0.036796737,0.3786065,0.17708096,0.6,0.7,0.6,0.56666666,0.5,0.4,0.3,0.4,0.43333334,0.48333332,0.2,0.4,0.2,0.13333334,0.016666668,0.68258446,0.76759577,0.70342636,0.6232815,0.511875,0.3174155,0.23240423,0.29657364,0.37671855,0.48812503,0.365169,0.53519154,0.40685272,0.24656293,0.02374992,0.7677872,0.5465166,0.7978807,0.96660495,0.7991929,0.26962176,0.29776666,0.4635411,0.64755887,0.54734564,0.5529359,0.96933526,1.0854366,2.4213476,2.4206712,0.7087797,0.47892848,0.50579864,0.5114079,0.509417,0.29122028,0.5210715,0.49420133,0.4885921,0.490583,0.41755942,-0.042143043,0.011597329,0.0228158,0.018834002,1,0
2014-01-08,3.9405713,3.8882856,3.9508572,3.8834286,32966500.0,-0.013268551,0.017111374,-0.7754229,0.0026102443,0.15254441,0.0012325784,0.0720327,-0.014646217,-0.8559346,1.0134469,1.0160923,0.99875087,1.0049232,0.9655375,0.9417298,0.98949224,1.0010288,0.9953707,0.9891763,0.97531784,0.9723345,0.9753815,0.0129016135,0.014168356,0.017859476,0.020694029,0.027219426,0.0054155486,0.0035132691,0.0023654164,0.0008157436,-0.00043026404,0.44049087,0.5636317,0.61396813,0.120425634,0.07621001,-0.0062018125,-0.0049860026,0.0022107232,0.015837224,0.037311286,1.0160923,1.0160923,1.0160923,1.0160923,1.0582703,0.97744143,0.9548828,0.9422441,0.9281358,0.92350656,1.0029246,1.0009847,0.9905797,0.991873,1.0046294,0.9881843,0.97839665,0.9605703,0.9545301,0.9470791,0.8,0.8,0.9,0.9,0.75,0.5836496,0.7370946,0.7820893,0.81704235,0.56761146,1.0,1.0,1.0,1.0,0.21666667,0.4,0.1,0.4,0.33333334,0.35,0.6,0.9,0.6,0.6666667,-0.13333334,0.55962086,0.6841747,-0.11543695,-0.14622483,-0.38634914,0.03398068,0.025624212,-0.01334185,-0.037007943,0.18292882,0.4,0.6,0.55,0.53333336,0.48333332,0.6,0.4,0.45,0.46666667,0.5,-0.2,0.2,0.1,0.06666667,-0.016666668,0.46679887,0.64964867,0.6470149,0.51815176,0.49918264,0.5332011,0.35035133,0.35298505,0.48184824,0.50081736,-0.06640224,0.29929733,0.2940299,0.036303498,-0.0016347277,0.9400361,0.66049474,0.86819726,0.9576388,0.88177264,0.21978581,0.3347426,0.5047259,0.46411926,0.59253937,0.48755932,0.8639627,1.0193346,0.97468835,2.3740606,0.65468633,0.654895,0.4985516,0.40198442,0.5139882,0.3453137,0.345105,0.5014484,0.5980156,0.4860118,0.3093726,0.30979005,-0.0028968109,-0.19603117,0.027976396,0,0
2014-01-09,3.8951428,3.886,3.9140003,3.8614285,38332000.0,-0.0023472505,0.013496751,-0.17391226,0.0048412806,0.3586997,0.0063082203,0.46738806,-0.0008803107,-0.065223895,1.0023527,1.0072055,0.99367696,0.9908095,0.9725021,0.96867883,0.9873538,1.0086759,0.9977943,0.99250793,0.9774576,0.97332793,0.97581065,0.012644768,0.0130823,0.018563595,0.021134757,0.027081367,0.0046834834,0.002923583,0.0025973304,0.0010906579,-0.00033564065,0.3429701,0.45779812,0.6851699,0.20638797,0.04684981,-0.0071612573,-0.0056640306,-0.002132195,0.010857505,0.03409078,1.01669,1.01669,1.01669,1.01669,1.0588927,0.9780163,0.9644144,0.9427983,0.92868173,0.92404974,1.0035144,1.0015734,0.99405926,0.99272114,1.0041467,0.9901772,0.98135436,0.96113527,0.9550916,0.9476362,0.6,0.7,0.85,0.8666667,0.75,0.5684404,0.6807309,0.7741291,0.81035894,0.5632494,0.8,0.9,0.95,0.96666664,0.2,0.2,0.1,0.35,0.3,0.33333334,0.6,0.8,0.6,0.6666667,-0.13333334,0.7793232,0.6183655,-0.033615366,-0.11357167,-0.35500184,0.77110887,0.055172894,-0.08233607,-0.05823652,0.18366887,0.4,0.5,0.5,0.53333336,0.46666667,0.6,0.5,0.5,0.46666667,0.51666665,-0.2,0.0,0.0,0.06666667,-0.05,0.5764994,0.6256714,0.5907926,0.52199495,0.49303913,0.4235006,0.37432858,0.4092074,0.47800505,0.50696087,0.1529988,0.25134283,0.18158516,0.04398989,-0.0139217535,0.80394447,0.6450511,0.7348795,0.83404857,0.76983505,0.18280195,0.2903759,0.42315468,0.39954326,0.50710016,0.8099205,0.8877601,0.85111374,0.9841228,2.3805957,0.48838085,0.7055068,0.48261192,0.51555747,0.516934,0.51161915,0.29449317,0.5173881,0.4844425,0.48306602,-0.02323831,0.41101363,-0.03477617,0.031114977,0.033867974,0,1
2014-01-10,3.8954284,3.8977141,3.9214287,3.857143,27531000.0,0.0005867696,0.016502872,0.035555605,0.006087788,0.36889264,0.009828314,0.5955517,0.004327296,0.26221472,0.99941355,1.0060842,0.989591,0.97764254,0.96877295,0.9589504,0.99780095,1.0074769,0.999267,0.9926477,0.9765724,0.97047603,0.9727533,0.0081947185,0.011118746,0.018960916,0.021173414,0.026854442,0.0005644169,0.002102688,0.0027076916,0.0014672836,-0.00023152701,0.011859654,0.32783052,0.7137528,0.3721757,0.022671008,-0.00039583567,-0.0021098172,-0.0022954482,0.0082483785,0.034076754,1.0136344,1.0136344,1.0136344,1.0136344,1.0557103,0.9804281,0.96349514,0.93996483,0.9258907,0.92127264,1.0024337,1.0004984,0.99711186,0.98973763,1.000176,0.99551386,0.98258317,0.9614133,0.95222116,0.94478816,0.8,0.8,0.9,0.93333334,0.8,0.58940285,0.72806937,0.8149249,0.84461105,0.5856048,0.6,0.8,0.9,0.93333334,0.18333334,0.2,0.1,0.3,0.26666668,0.31666666,0.4,0.7,0.6,0.6666667,-0.13333334,0.6005164,0.45340675,-0.019855047,-0.14915535,-0.3315191,0.6004224,0.051866367,-0.13953833,-0.09628135,0.18089612,0.6,0.6,0.55,0.53333336,0.46666667,0.4,0.4,0.45,0.46666667,0.51666665,0.2,0.2,0.1,0.06666667,-0.05,0.71209985,0.64031583,0.6220571,0.5039809,0.4939943,0.28790018,0.35968417,0.37794295,0.49601912,0.5060057,0.42419967,0.28063163,0.2441141,0.007961731,-0.012011395,1.1468345,0.9610094,1.0295513,1.1445928,1.0811552,0.22563958,0.35965574,0.58814335,0.55327314,0.7012705,0.96087724,0.8390393,0.87723166,1.0341053,2.3741221,0.558112,0.60659343,0.50708014,0.48198718,0.509712,0.44188797,0.3934066,0.4929199,0.5180128,0.490288,0.116224065,0.21318682,0.014160219,-0.036025643,0.01942402,1,1
2014-01-13,3.883714,3.8348572,3.8965716,3.8137143,32014500.0,-0.0125799,0.02133457,-0.5896486,0.003310665,0.15517841,0.005444005,0.25517294,-0.01044656,-0.4896541,1.0127401,1.016093,0.99448663,1.0058113,0.99463564,0.9833855,1.0056623,1.0356876,1.0144837,1.0094546,0.99341005,0.98619425,0.98810285,0.0102324635,0.010656654,0.019212537,0.021369854,0.026634123,-0.00550589,0.0006985424,0.0027129173,0.0017121454,-0.0001371495,0.72382677,0.03938722,0.6978655,0.49748492,0.008087447,-0.0034718767,-0.012598026,-0.019182757,-0.01102039,0.015943069,1.0302489,1.0302489,1.0302489,1.0302489,1.0730145,0.99448663,0.9887498,0.95537174,0.94106686,0.9363731,1.0188645,1.0168976,1.0134555,1.0059603,1.0146028,1.010669,0.9999404,0.9771718,0.9678289,0.96027416,0.2,0.3,0.65,0.73333335,0.6,0.15416737,0.27109498,0.5960203,0.66081893,0.46564883,0.4,0.7,0.85,0.9,0.16666667,1.0,0.1,0.25,0.23333333,0.3,-0.6,0.6,0.6,0.6666667,-0.13333334,0.22003849,0.2510986,-0.013842958,-0.20074031,-0.31971318,0.49540177,-0.0030472162,-0.13578963,-0.086890765,0.17057449,0.4,0.5,0.5,0.53333336,0.45,0.6,0.5,0.5,0.46666667,0.53333336,-0.2,0.0,0.0,0.06666667,-0.083333336,0.4497423,0.5224439,0.5465164,0.49019116,0.47200477,0.5502577,0.47755608,0.4534836,0.50980884,0.5279952,-0.10051541,0.04488784,0.0930328,-0.019617658,-0.055990465,1.0418061,0.87962174,0.8990051,0.95327795,0.9370139,0.12804711,0.28563872,0.50496465,0.4410343,0.60120046,0.86209875,0.7551301,0.85961795,1.0341607,2.3451655,0.62218803,0.6052154,0.5173846,0.45932022,0.5088467,0.37781197,0.39478463,0.4826154,0.54067975,0.4911533,0.24437608,0.21043073,0.03476916,-0.081359565,0.017693397,0,1
2014-01-14,3.8525712,3.9239998,3.9322858,3.832286,61722500.0,0.018540485,0.025956666,0.714286,0.0021507712,0.082860075,0.00526541,0.20285387,0.021655124,0.83427984,0.981797,1.0021117,0.97662747,1.0053881,0.9769914,0.95776904,0.9836902,1.0026941,0.9903597,0.9888234,0.97295403,0.9643343,0.9656109,0.008259659,0.010614602,0.01958565,0.02161962,0.02596634,0.0005169625,0.0007823986,0.0028614006,0.0020440973,-1.4955198e-05,0.009793408,0.04980353,0.74704945,0.69280136,0.00010117254,0.008606352,0.007655813,-0.000137332,0.0060262894,0.03483024,1.0068444,1.0068444,1.0068444,1.0068444,1.0486385,0.9718946,0.96854526,0.9336683,0.9196884,0.9151013,0.99464107,0.99662155,0.9913791,0.9844329,0.99155384,0.9877094,0.98042816,0.9549731,0.9458425,0.93845934,1.0,0.9,0.95,0.96666664,0.93333334,0.804165,0.8212912,0.9064669,0.9214697,0.63576823,0.2,0.6,0.8,0.8666667,0.15,0.8,0.3,0.2,0.2,0.28333333,-0.6,0.3,0.6,0.6666667,-0.13333334,0.5750671,0.27623558,0.19847189,-0.08665931,-0.27111575,0.6336558,0.20586823,0.05910997,0.0010421448,0.19557732,0.4,0.5,0.55,0.53333336,0.46666667,0.6,0.5,0.45,0.46666667,0.51666665,-0.2,0.0,0.1,0.06666667,-0.05,0.45256326,0.58549786,0.6088588,0.52683264,0.49788252,0.5474367,0.41450217,0.3911412,0.4731674,0.5021175,-0.09487349,0.17099568,0.21771759,0.05366523,-0.004234976,0.62397504,0.53540117,0.45094416,0.51529914,0.49731782,0.2192172,0.20252913,0.21479002,0.24535218,0.31801054,1.115611,0.866043,1.104771,1.0485634,2.2548044,0.74199057,0.7250943,0.45758677,0.55403894,0.5256127,0.25800946,0.27490565,0.54241323,0.44596103,0.47438732,0.4839811,0.45018867,-0.08482645,0.10807792,0.051225394,1,0
2014-01-15,3.9285715,3.886857,3.9399998,3.855714,48146000.0,-0.010618218,0.02145455,-0.49491683,0.0029090361,0.13559063,0.007927297,0.36949253,-0.0055999584,-0.26101494,1.0107322,1.0136725,0.99198765,1.0003675,1.0052925,0.9655984,0.9755955,1.0093355,0.9997501,0.9977433,0.98397166,0.97436297,0.9746827,0.008334213,0.0104584005,0.019744182,0.022353524,0.026033333,0.00072037324,0.001352098,0.0028793481,0.0022483894,8.462034e-05,0.018677812,0.15321358,0.74435157,0.7840664,0.0032224774,-0.0011908241,-0.0038277602,-0.011325451,-0.006964599,0.022820985,1.0136725,1.0164658,1.0164658,1.0164658,1.0586593,0.98118204,0.97780067,0.9425904,0.9284769,0.923846,1.0041459,1.0041459,1.0008527,0.9998236,1.0004116,0.9971479,0.9897971,0.964334,0.95488095,0.9474272,0.6,0.6,0.75,0.8333333,0.78333336,0.57918555,0.57414365,0.7771141,0.81286514,0.56488514,1.0,0.5,0.75,0.8333333,0.13333334,0.6,0.2,0.15,0.16666667,0.26666668,0.4,0.3,0.6,0.6666667,-0.13333334,0.5678143,0.55199534,0.27896193,-0.04465202,-0.22744325,0.6444746,0.26035652,0.06951192,0.069131546,0.19872439,0.4,0.4,0.55,0.53333336,0.46666667,0.6,0.6,0.45,0.46666667,0.51666665,-0.2,-0.2,0.1,0.06666667,-0.05,0.49648374,0.47906974,0.58429384,0.54082626,0.4928062,0.50351626,0.5209303,0.41570616,0.4591737,0.5071938,-0.0070325336,-0.041860547,0.1685877,0.08165255,-0.0143876355,0.8629834,0.7533222,0.59090215,0.6666376,0.6500933,0.2840752,0.2435026,0.28908226,0.31937873,0.40705943,1.1248848,0.83115387,1.0237964,1.0587237,2.2175193,0.61871135,0.63536674,0.532061,0.5122886,0.5220108,0.38128868,0.36463326,0.46793902,0.48771143,0.47798917,0.23742267,0.2707335,0.06412194,0.024577133,0.044021636,0,0
