date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,1.8114012,1.799162,1.8148983,1.7928677,279137570.0,-0.006756768,0.0121621825,-0.5555556,0.0019305521,0.15873402,0.003474862,0.28571042,-0.005212458,-0.42857915,1.0068027,1.0087464,0.9965015,0.9929431,0.949763,0.9443414,0.91742647,0.8732787,1.0036968,0.9941762,0.97186315,0.963212,0.9382829,0.0053659114,0.011686935,0.024481218,0.026584102,0.03413541,0.0012496434,0.0035599004,0.00378549,0.002448996,0.0017355675,0.13558924,0.85052264,0.83684736,0.6577091,0.7884472,-0.006196112,-0.010195758,-0.007825291,0.001277557,0.010517841,1.0124393,1.0124393,1.0124393,1.0124393,1.0124393,0.9910065,0.9429862,0.933498,0.9054214,0.85372186,1.0085518,1.0038869,0.99791706,0.98845077,0.9642466,0.99947923,0.9857398,0.94960815,0.9460452,0.91181093,0.4,0.7,0.85,0.9,0.95,0.4196146,0.820897,0.8424239,0.88376474,0.9216264,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.1,0.06666667,0.033333335,0.6,0.8,0.85,0.9,0.95,0.3982079,-0.4329981,-0.37394115,-0.17845346,-0.14929552,0.3072759,0.26577875,0.32117018,0.43772742,0.25640723,0.8,0.9,0.8,0.7,0.6166667,0.2,0.1,0.2,0.26666668,0.36666667,0.6,0.8,0.6,0.43333334,0.25,0.6293861,0.8565396,0.73880696,0.69229406,0.63137037,0.37061387,0.1434604,0.26119304,0.3077059,0.36862966,0.25877225,0.7130792,0.47761393,0.38458818,0.26274067,0.704538,0.8770413,0.9227246,1.0113523,1.004293,0.25766617,0.4287509,0.31614512,0.47289398,0.36957753,0.8597436,1.3120596,1.1848623,2.1553824,1.5915009,0.9943242,0.5372594,0.4869488,0.50639856,0.50546724,0.005675775,0.46274057,0.5130512,0.4936014,0.49453276,0.9886485,0.074518844,-0.026102439,0.01279716,0.010934462,0,1
2014-01-03,1.8054559,1.7858732,1.8082534,1.7781799,191188660.0,-0.010846429,0.016657025,-0.65116245,0.0015494615,0.093021505,0.0042611347,0.25581607,-0.008134755,-0.48836786,1.0109653,1.0125318,0.99569213,1.0048181,0.9806294,0.953514,0.9258139,0.8704133,1.0102018,1.0035111,0.98141915,0.97285223,0.94742453,0.0070111905,0.009273031,0.024313698,0.025936736,0.033670537,-0.0028783611,0.0021042316,0.003708394,0.0023509723,0.001711345,0.42135394,0.47201422,0.81421244,0.6367458,0.7879069,-0.0044451,-0.012980072,-0.01664891,-0.0069413227,0.002090772,1.0199729,1.0199729,1.0199729,1.0199729,1.0199729,0.99569213,0.9749721,0.94044423,0.91215867,0.86007446,1.0160565,1.011357,1.0053426,1.0000663,0.97298235,1.0059528,0.9944794,0.9572985,0.95554286,0.92093694,0.2,0.4,0.7,0.8,0.9,0.17741856,0.55616504,0.7488589,0.814747,0.87509,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.1,0.05,0.033333335,0.016666668,-0.4,0.7,0.85,0.9,0.95,0.056824476,-0.30109197,-0.37975648,-0.26354876,-0.16468091,0.54661584,0.08243004,0.36426508,0.45266348,0.28275114,0.6,0.8,0.75,0.6666667,0.6166667,0.4,0.2,0.25,0.3,0.36666667,0.2,0.6,0.5,0.36666667,0.25,0.4208298,0.6773313,0.6894339,0.6669472,0.6338783,0.5791702,0.32266867,0.31056613,0.33305284,0.36612174,-0.15834041,0.35466263,0.37886772,0.33389434,0.26775655,1.1063217,1.195796,1.3244598,1.4785386,1.4572392,0.30115733,0.5974715,0.4671674,0.6889458,0.5428243,0.69827205,0.811417,1.1494957,2.1236203,1.6089911,0.64716643,0.40803677,0.47140673,0.5018495,0.48859072,0.3528336,0.59196323,0.52859324,0.49815053,0.5114093,0.29433283,-0.18392646,-0.05718653,0.0036989264,-0.022818545,0,1
2014-01-06,1.7879716,1.7841251,1.8051064,1.7718858,257195420.0,-0.0021513351,0.018580075,-0.11578721,0.009583365,0.5157872,0.0068453755,0.36842558,-0.0048893252,-0.2631488,1.002156,1.01176,0.99313986,1.0112698,0.9915485,0.95835364,0.9148098,0.8656035,1.0089377,1.0053394,0.9844631,0.9766451,0.95059276,0.008614774,0.008305834,0.023952143,0.023860749,0.032557297,-0.00509606,0.0009980997,0.0035843553,0.0021154068,0.0016574361,0.8748253,0.132371,0.7837931,0.609146,0.7904543,0.0012544561,-0.009830869,-0.018514453,-0.0073184962,0.0005128557,1.0209723,1.0209723,1.0209723,1.0209723,1.0209723,0.99313986,0.98842424,0.94702834,0.91617656,0.8712662,1.017052,1.0123478,1.0063276,1.0010462,0.9759663,1.0007838,0.99912983,0.9591738,0.9576116,0.9241436,0.2,0.3,0.65,0.76666665,0.8833333,0.24648,0.35565203,0.7163759,0.79987466,0.8599103,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.25,0.033333335,0.016666668,-0.6,0.6,0.6,0.8666667,0.93333334,-0.12043179,-0.21865138,-0.34604102,-0.3034978,-0.16156477,0.4670397,0.10987176,0.33928293,0.4861031,0.27676323,0.4,0.7,0.7,0.6666667,0.6166667,0.6,0.3,0.3,0.3,0.36666667,-0.2,0.4,0.4,0.36666667,0.25,0.2830298,0.59248334,0.673683,0.7014232,0.6400654,0.7169702,0.40751666,0.326317,0.29857677,0.3599346,-0.4339404,0.1849667,0.34736598,0.40284643,0.2801308,0.89730144,0.867582,0.9756945,1.1013622,1.0814204,0.203209,0.43178082,0.3443506,0.5115161,0.40363997,0.8659208,0.8261876,1.1984531,2.201622,1.6281048,0.67553735,0.46970937,0.48541072,0.50289416,0.49692753,0.32446265,0.5302906,0.51458925,0.49710584,0.50307244,0.35107467,-0.060581245,-0.029178532,0.0057883034,-0.006144929,0,1
2014-01-07,1.7953153,1.8474193,1.8603579,1.7872723,531345760.0,0.029022198,0.040709034,0.7129179,0.007206878,0.17703389,0.004479955,0.11004818,0.026295274,0.6459322,0.97179633,1.0070037,0.96744275,0.9818284,0.9605943,0.9291024,0.894782,0.85518175,0.97800493,0.9748362,0.9542794,0.94669163,0.9204383,0.014248427,0.0113760615,0.024999049,0.023426302,0.032087807,0.0024417646,0.0018646601,0.0038237856,0.002075674,0.0016285235,0.07341989,0.24627873,0.8188572,0.6084327,0.7856114,0.017111562,0.016772833,0.009394634,0.023211064,0.03152027,1.0070037,1.0070037,1.0070037,1.0070037,1.0070037,0.959114,0.9564459,0.9145824,0.89553624,0.8508445,0.98697716,0.982207,0.9744274,0.9678734,0.9498835,0.9664961,0.9664961,0.9263117,0.92540646,0.89304715,1.0,1.0,1.0,1.0,1.0,0.8537549,0.86147285,0.92422074,0.9371689,0.9551508,1.0,1.0,1.0,1.0,1.0,0.8,0.2,0.2,0.033333335,0.016666668,0.2,0.8,0.8,0.96666664,0.98333335,0.8974865,0.5763449,-0.07113397,-0.201894,-0.072926216,0.8121088,0.51089007,0.5209371,0.56383383,0.36564773,0.4,0.7,0.7,0.6666667,0.6166667,0.6,0.3,0.3,0.3,0.36666667,-0.2,0.4,0.4,0.36666667,0.25,0.667832,0.7614138,0.7420334,0.7315823,0.65137184,0.332168,0.23858617,0.25796658,0.26841775,0.34862816,0.33566397,0.5228276,0.48406687,0.4631645,0.30274367,0.57418936,0.4291439,0.49281475,0.55369574,0.53225845,0.24649034,0.23345341,0.203163,0.25999898,0.2046913,1.665892,2.1375263,1.6983211,2.042116,1.6551095,0.83934927,0.52421004,0.55979,0.5501407,0.52898616,0.16065076,0.47579,0.44020998,0.44985932,0.4710138,0.6786985,0.04842002,0.119580016,0.10028134,0.057972357,1,1
2014-01-08,1.8425232,1.8446214,1.8690999,1.8365786,425112130.0,0.001138766,0.017650386,0.0645179,0.013285279,0.75269055,0.0032263417,0.18279156,-0.008920171,-0.50538105,0.9988625,1.0132701,0.99563986,0.9852135,0.9629957,0.9280566,0.935233,0.8698879,0.9824456,0.9800152,0.959324,0.95028645,0.9240029,0.017020278,0.012538515,0.026001848,0.025153272,0.032951355,0.008265374,0.0022714715,0.0040251617,0.0023245553,0.001671089,0.5895651,0.3008388,0.83873785,0.6619001,0.78442687,0.0010236525,0.009763164,0.002436983,0.016007487,0.02669997,1.0132701,1.0132701,1.0132701,1.0132701,1.0132701,0.9605688,0.9578966,0.91596955,0.9104926,0.86535525,1.0003034,0.9881708,0.9791468,0.9733241,0.95963395,0.9679621,0.9684085,0.9292274,0.9268101,0.8947416,0.8,0.9,0.95,0.96666664,0.98333335,0.7482008,0.760352,0.8636168,0.8708846,0.9102851,1.0,1.0,1.0,1.0,1.0,0.6,0.1,0.15,0.26666668,0.016666668,0.4,0.9,0.85,0.73333335,0.98333335,0.94576186,0.7403086,0.022149889,-0.073441185,-0.016157286,0.86056894,0.5508879,0.5162993,0.3059657,0.3695444,0.2,0.6,0.7,0.6333333,0.6,0.8,0.4,0.3,0.33333334,0.38333333,-0.6,0.2,0.4,0.3,0.21666667,0.63732076,0.7432668,0.74681056,0.67049384,0.63925093,0.36267924,0.2567332,0.25318944,0.3295062,0.36074907,0.27464148,0.48653358,0.4936211,0.34098765,0.27850184,0.79225194,0.5832798,0.64087045,0.6642263,0.67119354,0.32533452,0.32646325,0.266283,0.251047,0.25944465,1.6532785,2.0975602,1.6948786,1.6297958,1.6912965,0.64492613,0.61610436,0.5578087,0.4366456,0.5153504,0.35507387,0.38389567,0.44219127,0.5633544,0.48464963,0.28985223,0.23220868,0.11561743,-0.12670879,0.030700756,0,0
2014-01-09,1.8498669,1.8491675,1.8593084,1.8292351,299109570.0,-0.00037808175,0.016257,-0.023256551,0.005103878,0.31394958,0.01077504,0.6627939,0.00529308,0.32558775,1.0003783,1.005484,0.98922086,0.97295785,0.9660918,0.93048495,0.9402812,0.8752851,0.98543876,0.9809967,0.9604413,0.94994086,0.9238099,0.018409112,0.013588902,0.026844453,0.02677448,0.0338132,0.010117251,0.0027197748,0.004211929,0.0026017556,0.0017165677,0.755091,0.36720508,0.86163056,0.7318004,0.78604805,-0.0056732553,0.0067642764,-0.00045463318,0.012333669,0.025551362,1.0107791,1.0107791,1.0107791,1.0107791,1.0107791,0.9582073,0.9582073,0.9137177,0.9082542,0.8675608,0.9992437,0.99784416,0.9812784,0.9735062,0.9598746,0.9655824,0.969494,0.926943,0.9245316,0.8927681,1.0,1.0,1.0,1.0,1.0,0.794964,0.794964,0.8889454,0.8948634,0.9247365,0.8,0.9,0.95,0.96666664,0.98333335,0.4,0.7,0.1,0.23333333,0.016666668,0.4,0.2,0.85,0.73333335,0.96666664,0.8049438,0.6885767,0.0648902,-0.028643107,-0.013727933,0.85722613,0.6939091,0.5105362,0.32796675,0.3732061,0.4,0.6,0.7,0.6333333,0.6,0.6,0.4,0.3,0.33333334,0.38333333,-0.2,0.2,0.4,0.3,0.21666667,0.79183215,0.7326786,0.74282795,0.6617663,0.63527733,0.20816787,0.26732144,0.25717205,0.3382337,0.36472264,0.58366424,0.46535712,0.4856559,0.32353258,0.2705547,1.1393495,0.8984222,0.91512066,0.9203206,0.9576881,0.4563502,0.42749503,0.3789831,0.32637936,0.36803165,1.8498256,2.0777287,1.7215544,1.71099,1.7058648,0.5151225,0.6221323,0.5067443,0.45998877,0.50671715,0.48487753,0.37786767,0.49325565,0.5400112,0.49328285,0.030244924,0.24426465,0.013488695,-0.08002246,0.013434262,1,0
2014-01-10,1.8540635,1.8722475,1.8785418,1.838677,304662980.0,0.009807618,0.0215013,0.45614067,0.003394905,0.157893,0.008298778,0.38596633,0.014711491,0.684214,0.99028766,1.0033619,0.98206943,0.953866,0.95846176,0.9054312,0.926271,0.8631925,0.98251766,0.9730574,0.95333,0.9406882,0.9147018,0.017555285,0.016009081,0.026840013,0.02863031,0.034625906,0.009506913,0.0036862947,0.004212634,0.0028857156,0.0017555385,0.73316765,0.48602515,0.8622041,0.78732973,0.7840039,-0.0015314586,0.010354277,0.0066500013,0.017468939,0.033509795,1.0033619,1.0033619,1.0033619,1.0033619,1.0033619,0.94639504,0.94639504,0.9024539,0.8970578,0.864495,0.99013805,0.9869256,0.97358984,0.964699,0.9496154,0.978782,0.95954424,0.93155587,0.9131345,0.8826929,1.0,1.0,1.0,1.0,1.0,0.9409844,0.9409844,0.9666832,0.9683744,0.97579026,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.05,0.2,0.016666668,0.8,0.4,0.95,0.8,0.98333335,0.39291364,0.605695,0.13207139,0.019899437,0.0056926785,0.79900926,0.6515835,0.54443747,0.31195673,0.37374955,0.6,0.6,0.75,0.6666667,0.6166667,0.4,0.4,0.25,0.3,0.36666667,0.2,0.2,0.5,0.36666667,0.25,0.9523818,0.7595663,0.83746606,0.6917862,0.646694,0.047618214,0.24043368,0.16253392,0.30821374,0.35330603,0.9047636,0.5191326,0.6749321,0.38357252,0.29338795,1.193073,0.9436679,0.90139675,0.8975385,0.9412639,0.3701778,0.38195732,0.3726644,0.31673306,0.3614053,1.6369195,1.8405262,1.733328,1.6398094,1.6705841,0.5981702,0.61306024,0.5047675,0.48907575,0.5019032,0.40182978,0.38693976,0.49523252,0.5109243,0.4980968,0.19634046,0.22612046,0.009534967,-0.021848502,0.0038064108,1,1
2014-01-13,1.8711982,1.8239899,1.8774927,1.8183949,329459140.0,-0.02522892,0.031582847,-0.79881716,0.0033638815,0.10650976,0.002990046,0.0946731,-0.025602756,-0.8106538,1.0258819,1.0293329,0.99693257,0.97814417,0.98916763,0.9295772,0.95077753,0.8972989,1.0128834,0.99988496,0.98207355,0.96721685,0.9406139,0.009401448,0.01608025,0.025375742,0.029902637,0.035974834,-0.0010544329,0.0032069113,0.0038571903,0.0030820938,0.0018316312,0.03144767,0.36458582,0.8086725,0.82333094,0.79063904,-0.010774554,-0.014316067,-0.018716827,-0.011907229,0.0053529656,1.0299081,1.0299081,1.0299081,1.0299081,1.0299081,0.97986966,0.971434,0.92995924,0.9207914,0.8896591,1.0163343,1.0130368,1.0022622,0.99482363,0.97833586,1.0090489,0.98493105,0.96792924,0.9372934,0.9064286,0.2,0.6,0.8,0.8666667,0.93333334,0.402298,0.4885246,0.7007664,0.7259076,0.7867503,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.5,0.05,0.16666667,0.31666666,0.6,0.4,0.9,0.8,0.6666667,-0.16814387,0.58334285,0.13319322,0.04048599,0.04985284,0.6359036,0.53932375,0.43851542,0.26620045,0.3415413,0.6,0.5,0.7,0.6666667,0.6,0.4,0.5,0.3,0.33333334,0.38333333,0.2,0.0,0.4,0.33333334,0.21666667,0.640393,0.55246145,0.70701706,0.6099898,0.6039848,0.35960698,0.44753855,0.2929829,0.39001018,0.39601523,0.28078604,0.104922876,0.41403416,0.21997967,0.20796953,1.1471466,0.92381674,0.85000134,0.83927375,0.8650115,0.30235958,0.32746673,0.34430265,0.29374844,0.3293199,1.1689057,1.5221362,1.5364785,1.5137037,1.6567353,0.5673177,0.6039258,0.5293069,0.51899946,0.48893693,0.43268228,0.3960742,0.47069308,0.48100054,0.5110631,0.13463546,0.20785159,0.05861383,0.037998933,-0.022126157,0,1
2014-01-14,1.8369284,1.8467199,1.8481184,1.8176954,251490380.0,0.0053303624,0.016561912,0.3218446,0.00076135976,0.045970526,0.01047019,0.63218486,0.015039192,0.90805894,0.9946979,1.0007573,0.9842832,1.0003787,0.98220026,0.92454964,0.9407732,0.8954984,1.0003408,0.98935807,0.9737584,0.9572863,0.93077826,0.009287662,0.016206773,0.02349365,0.030493168,0.03641057,-0.0011361071,0.0034864782,0.0035210748,0.0032321995,0.001868576,0.03740811,0.42422107,0.78617203,0.8707489,0.8032791,0.0019314189,-0.005047202,-0.0072085843,-0.004153188,0.014098761,1.0172316,1.0172316,1.0172316,1.0172316,1.0172316,0.9842832,0.9594773,0.9187018,0.909458,0.8787089,1.003825,1.000568,0.99909097,0.9848136,0.96711564,0.9966293,0.97280824,0.96035445,0.92575693,0.89527196,0.6,0.7,0.85,0.9,0.95,0.47701192,0.7016394,0.8251126,0.84011286,0.8756044,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.4,0.15,0.13333334,0.3,-0.4,0.4,0.75,0.8,0.6666667,-0.20202321,0.5584821,0.20002636,0.012489684,0.04443966,-0.49155527,0.44984055,0.39925015,0.23920274,0.3452383,0.6,0.5,0.7,0.6666667,0.6,0.4,0.5,0.3,0.33333334,0.38333333,0.2,0.0,0.4,0.33333334,0.21666667,0.49655166,0.581597,0.7169482,0.627856,0.6064574,0.5034483,0.41840306,0.28305176,0.37214395,0.3935426,-0.0068966653,0.16319388,0.43389645,0.2557121,0.2129148,1.2802352,1.2466877,1.0986636,1.1115,1.1314617,0.25525752,0.38826317,0.44956878,0.37545875,0.4317455,0.95045197,1.4155658,1.5135045,1.4501389,1.6545585,0.08911809,0.5516329,0.47948408,0.5187774,0.4972589,0.91088194,0.44836712,0.5205159,0.48122266,0.5027411,-0.8217638,0.103265755,-0.041031834,0.037554685,-0.005482186,1,1
2014-01-15,1.862106,1.8907806,1.9110628,1.8593084,416867700.0,0.015399017,0.027793517,0.5540507,0.010892113,0.391894,0.0015023869,0.0540553,0.0060092914,0.21621199,0.9848345,1.0107269,0.9833549,0.97558725,0.96116173,0.9072426,0.9050318,0.86670774,0.9819125,0.97018695,0.9557048,0.9381443,0.91130996,0.013560007,0.018895183,0.022996206,0.031488035,0.037003845,0.003051576,0.0049004876,0.0034461028,0.0033698415,0.0019022366,0.12661017,0.61657774,0.78598124,0.8876251,0.8060003,0.011984364,0.0077608633,0.01155719,0.012992963,0.032574087,1.0107269,1.0107269,1.0107269,1.0107269,1.0107269,0.96134657,0.93711865,0.8972934,0.88826495,0.85823244,0.99215853,0.98043287,0.97677106,0.9668579,0.9456771,0.97429276,0.9501389,0.9393021,0.9041841,0.87650996,1.0,1.0,1.0,1.0,1.0,0.7827694,0.85427004,0.90543425,0.912406,0.9296569,1.0,1.0,1.0,1.0,1.0,0.8,0.3,0.1,0.1,0.28333333,0.2,0.7,0.9,0.9,0.71666664,0.54150456,0.61505747,0.32753056,0.11473576,0.09673466,0.27652952,0.585214,0.4575326,0.44647875,0.37282005,0.8,0.5,0.7,0.7,0.6166667,0.2,0.5,0.3,0.3,0.36666667,0.6,0.0,0.4,0.4,0.25,0.661764,0.6517324,0.7455156,0.7014579,0.6347049,0.33823597,0.34826764,0.25448444,0.29854208,0.36529514,0.32352805,0.30346474,0.49103114,0.40291584,0.26940972,0.7683923,0.78815633,0.6793473,0.67769814,0.687808,0.14610076,0.2425718,0.28151995,0.23353693,0.26367038,0.73850226,1.1739038,1.3922132,1.4391438,1.6150793,0.4896867,0.5793753,0.5355427,0.5185007,0.5132817,0.5103133,0.4206247,0.4644573,0.4814993,0.48671833,-0.020626603,0.15875062,0.07108542,0.03700139,0.026563352,1,0
