date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,3.1034477,3.0799186,3.1188722,3.0780888,61905430.0,-0.007581585,0.013141322,-0.5769271,0.004970114,0.37820506,0.00058962253,0.04486782,-0.011962077,-0.9102644,1.0076395,1.0126476,0.99940586,1.0074699,0.9977932,1.0510145,1.0466853,0.96021473,1.0062983,1.0059928,1.0114126,1.0262995,1.0170804,0.00385185,0.0030576827,0.013092296,0.024317672,0.027740795,-0.00097614084,8.5383974e-05,-0.0014552001,-0.0023866624,0.00053660374,0.1605559,0.0071479147,0.4323962,0.7465169,0.114121996,-0.0043460056,-0.0063769985,0.0024118347,0.008307075,-0.032910272,1.0161277,1.0161277,1.056447,1.0705374,1.0705374,0.99940586,0.98336315,0.98336315,0.98336315,0.9326131,1.0085732,1.0076057,1.0204737,1.0511334,1.0472287,1.0048892,1.0049912,1.001596,1.0053817,0.99558884,0.2,0.1,0.1,0.06666667,0.3,0.03552994,0.5077695,0.22764075,0.19084598,0.48857877,0.8,0.9,0.05,0.16666667,0.5833333,1.0,0.1,0.55,0.7,0.033333335,-0.2,0.8,-0.5,-0.53333336,0.55,-0.67809117,-0.4470511,0.09949726,-0.29409298,-0.25205997,-0.18855119,0.16587831,-0.3559641,-0.35259923,0.05997109,0.4,0.5,0.35,0.46666667,0.53333336,0.6,0.4,0.6,0.5,0.43333334,-0.2,0.1,-0.25,-0.033333335,0.1,0.2634402,0.53233576,0.26320085,0.35135263,0.55113715,0.7365598,0.4676642,0.7367991,0.64864737,0.44886288,-0.4731196,0.06467156,-0.47359827,-0.2972947,0.10227427,0.7140262,0.99394464,1.2914513,1.1253624,1.1612823,0.18494081,0.563271,0.76709086,0.67448676,0.6093877,1.5390264,1.2037646,1.3522686,1.4415966,1.4991082,0.7923958,0.49260122,0.49624783,0.50640243,0.5036479,0.2076042,0.5073988,0.5037522,0.4935976,0.49635208,0.5847916,-0.01479759,-0.0075043626,0.012804819,0.0072958455,0,0
2014-01-03,3.090376,3.0663242,3.0942974,3.0621414,49477680.0,-0.007782764,0.010405203,-0.74796844,0.0012689424,0.12195267,0.0013534974,0.1300789,-0.007698209,-0.73984224,1.0078439,1.0091227,0.9986359,1.0114247,1.0103165,1.0484272,1.0540543,0.9542667,1.0084747,1.0094211,1.0134753,1.0290477,1.0223519,0.006105278,0.0045153047,0.011151823,0.024647422,0.026587212,-0.0029328915,-0.0004934779,-0.0011751051,-0.0024362407,0.00038948326,0.57692736,0.10948955,0.38862407,0.75717986,0.065453336,-0.002608938,-0.0072004907,-0.0023117526,0.006277724,-0.033841614,1.0206327,1.0206327,1.0473187,1.0752836,1.0752836,0.9986359,0.9986359,0.9877228,0.9877228,0.9367478,1.0130446,1.0120728,1.0164891,1.0557935,1.0518715,1.0035467,1.0056612,1.0058317,1.0075543,1.000356,0.2,0.1,0.05,0.033333335,0.2,0.06201419,0.06201419,0.2060073,0.14021319,0.4565766,0.6,0.8,0.15,0.13333334,0.56666666,1.0,1.0,0.5,0.6666667,0.016666668,-0.4,-0.2,-0.35,-0.53333336,0.55,-0.6192072,-0.35505196,0.18463588,-0.2565353,-0.23104262,-0.23284785,-0.067577444,-0.3577521,-0.33790427,0.09396798,0.4,0.4,0.35,0.43333334,0.53333336,0.6,0.5,0.6,0.53333336,0.43333334,-0.2,-0.1,-0.25,-0.1,0.1,0.21121009,0.3314781,0.27022797,0.330482,0.5594002,0.7887899,0.6685219,0.72977203,0.669518,0.4405998,-0.57757986,-0.3370438,-0.4595441,-0.339036,0.11880039,0.9124855,1.0987166,1.6022882,1.4095734,1.4418838,0.23642816,0.5643942,0.9667794,0.8430859,0.7641487,1.1857853,1.1289203,1.3843013,1.4284763,1.5283797,0.5415434,0.34212258,0.49129093,0.5013055,0.4901075,0.45845658,0.6578774,0.5087091,0.49869448,0.5098925,0.08308684,-0.31575483,-0.01741813,0.0026110446,-0.01978499,0,0
2014-01-06,3.0715532,3.0430574,3.0783505,3.0297244,81099784.0,-0.009277322,0.015831139,-0.5860174,0.0022129891,0.13978711,0.0043408275,0.27419552,-0.007149484,-0.45160896,1.0093642,1.0115979,0.9956185,1.0182987,1.0136596,1.0390892,1.0546391,0.9819578,1.0125257,1.015773,1.0192697,1.0350944,1.0304693,0.00924551,0.007065489,0.011364945,0.02548626,0.02633762,-0.0055583855,-0.0016640666,-0.0012052123,-0.0025708033,0.00026129116,0.9035987,0.5084736,0.39360487,0.7885463,0.030019,-0.0014088603,-0.00828477,-0.007820166,0.0021822318,-0.03817741,1.0284363,1.0284363,1.0553263,1.0835052,1.0835052,0.9956185,0.9956185,0.9952748,0.9952748,0.97801584,1.0207902,1.019811,1.0207902,1.063866,1.059914,1.0061167,1.0112197,1.0128006,1.0137285,1.0080045,0.2,0.1,0.05,0.033333335,0.11666667,0.1335092,0.1335092,0.078685604,0.05355519,0.20840187,0.4,0.7,0.1,0.1,0.55,1.0,1.0,0.45,0.6333333,0.016666668,-0.6,-0.3,-0.35,-0.53333336,0.53333336,-0.81723666,-0.4653084,0.053140786,-0.2594662,-0.16684364,-0.37830383,-0.27490819,-0.26548985,-0.37062138,-0.041125488,0.4,0.4,0.35,0.43333334,0.51666665,0.6,0.5,0.6,0.53333336,0.45,-0.2,-0.1,-0.25,-0.1,0.06666667,0.1575606,0.29975307,0.29742008,0.3301294,0.5240465,0.8424394,0.70024693,0.7025799,0.66987056,0.47595355,-0.6848788,-0.4004939,-0.4051598,-0.33974114,0.048092924,0.6628243,0.65997076,0.94902366,0.87543315,0.85021424,0.23226798,0.33118075,0.5732117,0.51123697,0.39535385,0.85831416,1.1460518,1.4122719,1.3970369,1.3511236,0.7629352,0.48152953,0.46862605,0.52079207,0.4538626,0.23706475,0.51847047,0.5313739,0.47920793,0.5461374,0.5258705,-0.036940925,-0.06274788,0.04158411,-0.09227478,0,1
2014-01-07,3.0427952,3.0289395,3.0472395,3.0163908,87690450.0,-0.0045536077,0.010138291,-0.44914946,0.0014606178,0.14406943,0.004124065,0.4067811,-0.0018901605,-0.1864378,1.0045744,1.0060418,0.99585706,1.0251166,1.0230451,1.053513,1.0693079,0.99609095,1.0122217,1.0182031,1.0213449,1.0376087,1.0353376,0.010658037,0.009513174,0.0103644235,0.025985833,0.02636692,-0.006671847,-0.0026212577,-0.0010883093,-0.002637646,0.0001382763,0.9796653,0.695953,0.38590676,0.7984751,0.008388351,0.0011219672,-0.0064074476,-0.011005933,0.00063711405,-0.039416663,1.0332298,1.0332298,1.0602453,1.0885553,1.0885553,0.99585706,0.99585706,0.99585706,0.99585706,0.98782617,1.0189195,1.0245644,1.0245644,1.0678061,1.0648543,1.0037289,1.0108062,1.0163819,1.0182463,1.012703,0.2,0.1,0.05,0.033333335,0.05,0.11085416,0.11085416,0.06434305,0.04469264,0.12085711,0.2,0.6,0.05,0.06666667,0.53333336,1.0,1.0,1.0,1.0,0.016666668,-0.8,-0.4,-0.95,-0.93333334,0.51666665,-0.8870674,-0.8237905,0.006284026,-0.2612033,-0.1628998,-0.08017892,-0.39036918,-0.16419221,-0.3813177,-0.00807971,0.2,0.3,0.3,0.4,0.5,0.8,0.6,0.65,0.56666666,0.46666667,-0.6,-0.3,-0.35,-0.16666667,0.033333335,0.07331593,0.16373593,0.20919529,0.27854538,0.50525403,0.9266841,0.8362641,0.7908047,0.7214546,0.49474597,-0.85336816,-0.67252815,-0.5816094,-0.44290924,0.01050807,0.7420981,0.5792017,0.8898602,0.8260427,0.78557307,0.21460135,0.2344256,0.5299993,0.47051314,0.36515275,0.60306853,1.1496345,1.4414184,1.3973624,1.369392,0.847429,0.43431094,0.5156284,0.52368975,0.49863485,0.15257101,0.565689,0.48437157,0.47631025,0.5013651,0.694858,-0.13137811,0.031256855,0.047379512,-0.0027302825,0,1
2014-01-08,3.033646,2.9816213,3.033646,2.9782226,175954610.0,-0.017149279,0.018269598,-0.9386784,0.0,0.0,0.0011203208,0.061321586,-0.016028957,-0.8773568,1.0174485,1.0174485,0.9988601,1.0435772,1.0406839,1.066725,1.0978516,1.0136482,1.0195702,1.0302936,1.0342174,1.0508138,1.0515409,0.012800027,0.014204147,0.01133924,0.026844239,0.02716977,-0.00784739,-0.0041156807,-0.0011814593,-0.0027264757,-9.005599e-06,0.9396558,0.76959896,0.3799598,0.79947114,3.3508353e-05,-0.0038754258,-0.011772997,-0.022993464,-0.011279945,-0.051275145,1.0460323,1.0496272,1.0651468,1.1058307,1.1058307,0.9988601,0.9988601,0.9988601,0.9988601,0.9988601,1.0293202,1.0408242,1.0406839,1.0794739,1.0817534,1.012696,1.019658,1.0302322,1.0336694,1.0287745,0.2,0.1,0.05,0.033333335,0.016666668,0.024164006,0.02245292,0.01719606,0.010655913,0.010655913,0.2,0.5,0.05,0.033333335,0.51666665,1.0,1.0,1.0,1.0,1.0,-0.8,-0.5,-0.95,-0.96666664,-0.48333332,-0.9534882,-0.9239508,-0.31343487,-0.35354888,-0.23410858,-0.86842597,-0.5180904,-0.29548594,-0.49878106,-0.062199675,0.0,0.2,0.3,0.36666667,0.48333332,1.0,0.7,0.65,0.6,0.48333332,-1.0,-0.5,-0.35,-0.23333333,0.0,0.0,0.087190546,0.1847581,0.20032462,0.48259297,1.0,0.91280943,0.81524193,0.79967535,0.51740706,-1.0,-0.8256189,-0.6304838,-0.59935075,-0.03481408,0.5184609,0.3629696,0.46964785,0.43412396,0.40249506,0.28269118,0.25223872,0.29204407,0.25719514,0.1980559,1.1194328,1.7211707,1.4200112,1.4350861,1.3645545,0.9201347,0.78868693,0.56112796,0.5600765,0.5390975,0.07986531,0.21131305,0.43887207,0.43992352,0.4609025,0.8402694,0.57737386,0.12225589,0.12015296,0.078195,0,1
2014-01-09,3.0378284,3.0982192,3.1136434,2.9816208,220302860.0,0.019879567,0.04345954,0.457427,0.0050773937,0.11683037,0.018502578,0.42574263,0.03330475,0.76633924,0.9805079,1.0049784,0.962366,0.9940932,1.001519,1.0129104,1.0561978,0.97853076,0.9823812,0.99136776,0.99465024,1.0093944,1.0123252,0.014028471,0.013554082,0.010172444,0.02446491,0.025826877,7.596842e-05,-0.0028316057,-0.0007916682,-0.0023867,-8.495727e-05,7.3313764e-05,0.40007073,0.21198434,0.73758155,0.0033003278,0.017466843,0.02137447,0.012870608,0.025212727,-0.009818871,1.0049784,1.0101256,1.0151044,1.064214,1.064214,0.9612692,0.9612692,0.9612692,0.9612692,0.9612692,0.9917643,1.0012487,1.0011138,1.031491,1.0410429,0.97458434,0.9812843,0.9914606,0.9947684,0.99095374,1.0,0.6,0.6,0.4,0.41666666,0.8861013,0.79274637,0.7194325,0.3762291,0.37622884,1.0,0.4,0.05,0.033333335,0.5,0.8,0.9,0.95,0.96666664,0.98333335,0.2,-0.5,-0.9,-0.93333334,-0.48333332,-0.05524027,-0.5710422,-0.34407288,-0.34857962,-0.2623656,-0.2631506,-0.2007033,-0.07699824,-0.28030127,-0.021114355,0.2,0.3,0.35,0.4,0.48333332,0.8,0.7,0.6,0.56666666,0.48333332,-0.6,-0.4,-0.25,-0.16666667,0.0,0.5425801,0.49107072,0.4486923,0.35546947,0.5260624,0.45741987,0.5089293,0.55130774,0.64453053,0.4739376,0.08516025,-0.017858582,-0.102615416,-0.28906107,0.052124824,0.5578914,0.37926692,0.39764294,0.37200978,0.33466995,0.32638055,0.28982124,0.26986852,0.23637201,0.18008603,1.4107844,1.9939142,2.087298,2.0016325,1.8739475,0.93218255,0.8952526,0.56529135,0.5813827,0.55762285,0.06781748,0.10474742,0.43470868,0.41861728,0.44237715,0.86436504,0.7905052,0.13058266,0.16276541,0.11524571,1,0
2014-01-10,3.0901146,3.0809646,3.1018791,3.0498545,106727960.0,-0.0029610645,0.016835816,-0.17587887,0.003807149,0.2261339,0.010067604,0.59798723,0.0032993902,0.19597447,1.0029699,1.0067884,0.9899025,0.99524814,1.0066185,1.0061097,1.0621977,0.9763933,0.9888333,0.99625796,0.9999152,1.0129741,1.0183879,0.014866867,0.013262443,0.010135084,0.023064159,0.02550524,0.0047093667,-0.0020328707,-0.000706269,-0.002171972,-0.00018544287,0.25085694,0.21536936,0.1699627,0.68728185,0.016123574,0.0017479587,0.012889972,0.0067943763,0.018519433,-0.012917402,1.0106066,1.0157828,1.0157828,1.0694103,1.070174,0.9666527,0.9666527,0.9666527,0.9666527,0.9666527,1.0011201,1.0061772,1.0067204,1.0330081,1.0468731,0.9800424,0.98677987,0.99701315,0.9999321,0.9970451,0.8,0.6,0.35,0.23333333,0.28333333,0.75868666,0.67875546,0.67875546,0.3245241,0.32213,0.8,0.3,0.65,0.06666667,0.48333332,0.6,0.8,0.9,0.93333334,0.96666664,0.2,-0.5,-0.25,-0.8666667,-0.48333332,0.11646629,-0.5121159,-0.44838345,-0.36658975,-0.28659114,-0.12796415,-0.103577696,0.03896069,-0.25354826,0.0016677218,0.2,0.3,0.35,0.36666667,0.48333332,0.8,0.7,0.6,0.6,0.48333332,-0.6,-0.4,-0.25,-0.23333333,0.0,0.5334934,0.4634834,0.47446713,0.34529418,0.5286371,0.4665066,0.5365166,0.52553284,0.6547058,0.47136292,0.06698681,-0.07303319,-0.051065743,-0.30941164,0.057274163,1.258856,0.8409361,0.76124114,0.7821315,0.6984755,0.57174844,0.5871029,0.45763943,0.48824915,0.37330288,1.3478296,1.8945072,2.3096068,1.9475461,1.8666999,0.60065097,0.5907965,0.4164967,0.52014595,0.5151907,0.39934903,0.4092035,0.5835033,0.47985405,0.48480925,0.2013019,0.18159299,-0.16700663,0.040291928,0.030381482,0,0
2014-01-13,3.0603116,3.000444,3.072599,2.995477,121033830.0,-0.01956259,0.025200693,-0.7762719,0.004015074,0.15932396,0.001623029,0.06440414,-0.021954635,-0.87119174,1.0199529,1.0240481,0.9983446,1.0142024,1.032761,1.0300604,1.0924455,1.0199779,1.0125294,1.0197177,1.0252461,1.0370771,1.0453846,0.016783264,0.01488893,0.0119587155,0.022636348,0.026645523,0.0014115311,-0.00269048,-0.0010550705,-0.0021287475,-0.00030899324,0.017683497,0.29932573,0.27243444,0.68538934,0.041015618,-0.015352457,-0.0076105,-0.015222953,-0.006210221,-0.036269404,1.0377276,1.0430425,1.0430425,1.0981092,1.0988935,0.992594,0.992594,0.992594,0.992594,0.992594,1.0279864,1.0330399,1.033737,1.055084,1.0749673,0.9987453,1.0075977,1.020406,1.0260346,1.023802,0.4,0.2,0.1,0.06666667,0.033333335,0.16409095,0.1468032,0.1468032,0.07018901,0.069671206,0.6,0.2,0.6,0.033333335,0.46666667,0.4,0.7,0.85,0.9,0.95,0.2,-0.5,-0.25,-0.8666667,-0.48333332,0.16495721,-0.5037761,-0.4914456,-0.3316076,-0.3131292,-0.043590575,-0.084223546,-0.0003785762,-0.22926994,-0.018100388,0.2,0.3,0.35,0.33333334,0.46666667,0.8,0.7,0.6,0.6333333,0.5,-0.6,-0.4,-0.25,-0.3,-0.033333335,0.42274824,0.36237237,0.39750415,0.3003403,0.47691414,0.57725173,0.63762766,0.60249585,0.6996597,0.5230859,-0.15450352,-0.27525526,-0.20499173,-0.39931944,-0.046171743,1.1760509,0.8100911,0.689288,0.71381813,0.62278914,0.45096698,0.4999597,0.41005307,0.42682755,0.33286327,1.0688343,1.5516076,2.0276647,1.7831761,1.835785,0.57475936,0.6188952,0.535239,0.53916407,0.51543516,0.4252406,0.38110483,0.46476105,0.46083593,0.48456484,0.14951876,0.23779033,0.0704779,0.078328125,0.030870343,0,1
2014-01-14,3.0116851,3.0386126,3.0542984,3.0095937,88765300.0,0.008940998,0.014843741,0.6023413,0.0052083125,0.35087597,0.0006944311,0.04678275,0.004427117,0.29824805,0.9911382,1.0051621,0.99044997,0.9968166,1.0218532,1.0144542,1.0791535,1.0148894,1.0004475,1.0047234,1.0116451,1.0214117,1.0320052,0.016489599,0.0138321435,0.012112489,0.020190416,0.026546532,0.00053338346,-0.002037231,-0.0011855566,-0.0018771464,-0.0003874169,0.002615766,0.19884428,0.33530954,0.6698961,0.0649593,-0.0015142412,0.004444093,-0.00038228618,0.005806961,-0.020576447,1.0246924,1.0299407,1.0299407,1.0813904,1.08509,0.9801258,0.9801258,0.9801258,0.9801258,0.9801258,1.0150737,1.0150737,1.020752,1.0343457,1.0614644,0.98619986,0.99494106,1.0011703,1.0109094,1.0103927,0.6,0.4,0.2,0.13333334,0.1,0.4459433,0.39896107,0.39896107,0.19626005,0.18934259,0.4,0.1,0.55,0.033333335,0.45,0.2,0.6,0.8,0.8666667,0.93333334,0.2,-0.5,-0.25,-0.8333333,-0.48333332,0.111636445,-0.3866321,-0.4951289,-0.21968603,-0.31781894,-0.1343676,-0.15532027,-0.04899414,-0.2528645,-0.037460938,0.4,0.3,0.4,0.33333334,0.46666667,0.6,0.7,0.55,0.6333333,0.5,-0.2,-0.4,-0.15,-0.3,-0.033333335,0.5161294,0.41465047,0.4532812,0.3355972,0.48277047,0.4838706,0.5853495,0.5467188,0.66440284,0.51722956,0.032258783,-0.17069906,-0.093437605,-0.32880563,-0.034459066,1.6059983,1.1695552,0.95274705,0.99622357,0.85073775,0.61189085,0.63089424,0.5572923,0.56845504,0.4542271,0.98015463,1.4318492,1.9247799,1.7068605,1.8155427,0.5018357,0.5770607,0.5178759,0.5266383,0.5025149,0.4981643,0.42293933,0.48212406,0.47336164,0.4974851,0.0036714089,0.15412137,0.03575188,0.053276703,0.005029817,1,0
2014-01-15,3.0344298,3.0388741,3.0506387,3.0129926,70668740.0,0.0014646444,0.012406303,0.118056476,0.003877014,0.31250358,0.0070646447,0.56943995,0.0046522752,0.37499288,0.9985375,1.0038713,0.9914832,0.98115987,1.023916,1.0151411,1.0640916,1.009482,1.0041294,1.0022454,1.010801,1.0191873,1.0317584,0.01272676,0.012084327,0.012346619,0.018853875,0.026707798,-0.005299396,-0.0010047103,-0.0012939924,-0.0017196068,-0.00047773003,0.433468,0.06336483,0.38444608,0.64470166,0.09758628,0.00646939,0.0022758266,0.0014919818,0.005746933,-0.017665355,1.0246043,1.0263249,1.029852,1.0707159,1.0849967,0.9811597,0.98004144,0.98004144,0.98004144,0.98004144,1.0149863,1.0135753,1.0206641,1.025671,1.061373,0.9974019,0.9948554,0.9999828,1.0075017,1.0102159,0.6,0.5,0.25,0.16666667,0.11666667,0.43366328,0.43122455,0.40068895,0.22011226,0.19016263,0.2,0.1,0.5,0.06666667,0.43333334,0.2,0.5,0.75,0.8333333,0.9166667,0.0,-0.4,-0.25,-0.76666665,-0.48333332,0.5293903,-0.17180426,-0.4868219,-0.1800387,-0.30666026,0.26301733,-0.18374543,-0.052330706,-0.215272,-0.032978907,0.6,0.3,0.4,0.36666667,0.48333332,0.4,0.7,0.55,0.6,0.48333332,0.2,-0.4,-0.15,-0.23333333,0.0,0.613236,0.40505436,0.45083782,0.35809565,0.48889223,0.386764,0.5949456,0.5491622,0.64190435,0.5111078,0.22647204,-0.18989125,-0.098324366,-0.2838087,-0.022215547,1.7192856,1.505088,1.1907145,1.2585963,1.0605937,0.82619625,0.75798535,0.70120776,0.7101825,0.5680389,1.3002957,1.4425776,1.931269,1.7611753,1.842845,0.2635026,0.5336691,0.49341348,0.50677884,0.48961982,0.7364974,0.4663309,0.5065865,0.49322116,0.51038015,-0.47299483,0.06733822,-0.013173035,0.013557657,-0.02076034,1,0
