date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,22.01029,21.700718,22.120068,21.610703,12661121.0,-0.014064886,0.023142135,-0.60776097,0.0049875514,0.2155182,0.004089697,0.17672081,-0.01496274,-0.64655834,1.0142655,1.0193242,0.99585193,1.0,0.95315665,0.9495142,0.94637793,0.85086995,1.008701,0.9993323,0.9760067,0.96620464,0.9289339,0.008614924,0.013267541,0.026375791,0.025765112,0.047308598,0.00063738495,0.0036692321,0.0039046218,0.0024954935,0.002572074,0.013684871,0.70110154,0.7670347,0.72702706,0.90154326,-0.009975736,-0.015843827,-0.013100586,-0.0023892706,-0.0048101153,1.0231688,1.0231688,1.0231688,1.0231688,1.0231688,0.99312025,0.94921076,0.93676656,0.9346417,0.82193434,1.0144476,1.0073857,1.0006273,0.99838126,0.9582355,1.0025092,0.9908135,0.9483204,0.9458115,0.87840945,0.2,0.55,0.775,0.85,0.925,0.22895503,0.6867308,0.73184985,0.73828596,0.8848668,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.35,0.2,0.033333335,0.6,0.8,0.6,0.76666665,0.95,-0.34843415,-0.4491897,-0.23816022,-0.297161,-0.42146242,-0.8472314,-0.30342042,0.2601426,0.2635609,0.31198862,0.6,0.8,0.6,0.53333336,0.55,0.4,0.2,0.4,0.46666667,0.45,0.2,0.6,0.2,0.06666667,0.1,0.5,0.743941,0.64685225,0.6183039,0.6309061,0.5,0.25605896,0.35314772,0.38169613,0.3690939,0.0,0.48788208,0.29370457,0.23660775,0.2618122,0.43331176,0.50392115,0.52452517,0.54466754,0.6517196,0.32054013,0.31045598,0.26306948,0.23281904,0.2991284,1.4550688,1.1621963,1.323171,1.2972981,1.6291705,0.98999095,0.6253273,0.548086,0.5304557,0.5170385,0.01000907,0.3746727,0.45191404,0.4695443,0.48296145,0.97998184,0.25065458,0.09617194,0.060911387,0.034077078,0,1
2014-01-03,21.707302,21.586548,21.920269,21.562397,7426419.5,-0.0055628396,0.01648625,-0.337423,0.009810843,0.5950924,0.001112568,0.067484595,-0.014261114,-0.8650308,1.005594,1.0154597,0.9988812,1.0113915,0.9823027,0.9494509,0.9501627,0.8358422,1.0117576,1.0063875,0.98369616,0.9729761,0.936583,0.010771226,0.011020675,0.025730371,0.026095448,0.04653607,-0.0029597613,0.0019491,0.0036934835,0.002547881,0.0025280153,0.1887657,0.28672352,0.72118765,0.7388061,0.90007734,-0.005838109,-0.015158374,-0.018784273,-0.009920337,-0.011159426,1.0285803,1.0285803,1.0285803,1.0285803,1.0285803,0.9988812,0.98057383,0.941721,0.939585,0.8262815,1.019813,1.0127137,1.0059196,1.0036616,0.9670465,1.0042312,0.99967456,0.9573231,0.95130193,0.88399106,0.2,0.3,0.65,0.76666665,0.8833333,0.03767096,0.4046577,0.6709588,0.67885643,0.8587225,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.1,0.3,0.16666667,0.016666668,-0.4,0.7,0.6,0.76666665,0.95,-0.5441169,-0.44850028,-0.23120861,-0.25808066,-0.43072346,-0.63083476,-0.3736087,0.2709406,0.28259262,0.33471096,0.4,0.7,0.6,0.53333336,0.55,0.6,0.3,0.4,0.46666667,0.45,-0.2,0.4,0.2,0.06666667,0.1,0.3828441,0.61387384,0.6460908,0.6074564,0.6469946,0.6171559,0.38612613,0.3539092,0.3925436,0.35300544,-0.23431185,0.22774772,0.29218158,0.21491274,0.29398915,0.8608892,0.858068,0.90501374,0.91975665,1.1108105,0.516258,0.52896386,0.4483171,0.3921018,0.5100359,1.34524,1.3073889,1.3138212,1.2726262,1.6633357,0.6489381,0.49881557,0.5134745,0.48758513,0.49964908,0.35106188,0.50118446,0.48652548,0.5124149,0.5003509,0.2978762,-0.0023688963,0.02694902,-0.024829764,-0.00070183066,0,1
2014-01-06,21.66339,21.487747,21.770973,21.353819,11235962.0,-0.0081077805,0.01925619,-0.42104805,0.004966167,0.25789976,0.0061822413,0.32105216,-0.006891706,-0.35789564,1.0081741,1.0131809,0.9937672,1.0130788,0.9913152,0.9582099,0.94983137,0.8376419,1.013794,1.0118833,0.9903087,0.9791221,0.94359535,0.013156054,0.009596769,0.024969282,0.02599208,0.045350444,-0.00725457,4.3948636e-05,0.0034049312,0.0025146096,0.0024615459,0.76017237,0.00019224375,0.6508376,0.72537184,0.8985715,0.0007152109,-0.012081042,-0.022655567,-0.01558393,-0.016210958,1.0333097,1.0333097,1.0333097,1.0333097,1.0333097,0.9937672,0.98804545,0.94605106,0.9439052,0.83886796,1.024502,1.0173701,1.0105448,1.0082765,0.9837131,1.0036784,1.004271,0.96350265,0.9559213,0.8925516,0.2,0.1,0.55,0.7,0.85,0.15762241,0.26410568,0.61826485,0.6274272,0.8286907,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.25,0.13333334,0.016666668,-0.6,0.6,0.6,0.76666665,0.93333334,-0.8381492,-0.5033156,-0.24895488,-0.22549184,-0.38293856,-0.64156985,-0.39432293,0.25630495,0.24814004,0.3339357,0.4,0.6,0.55,0.53333336,0.55,0.6,0.4,0.45,0.46666667,0.45,-0.2,0.2,0.1,0.06666667,0.1,0.3704433,0.5555543,0.62008256,0.6077229,0.6440616,0.62955666,0.4444457,0.37991747,0.3922771,0.35593837,-0.25911337,0.111108586,0.24016507,0.21544579,0.28812325,0.71042186,0.59629077,0.6286411,0.6243179,0.7328069,0.34469798,0.37401566,0.30505013,0.26803288,0.33581987,1.1559098,1.270568,1.2782993,1.253814,1.6564054,0.71316147,0.5449601,0.5554965,0.53482664,0.49745712,0.2868385,0.45503992,0.4445035,0.4651734,0.50254285,0.426323,0.08992015,0.110993005,0.069653235,-0.0050857593,0,1
2014-01-07,21.639242,21.762194,21.845625,21.639242,6979603.5,0.0056818766,0.00953743,0.5957451,0.003855553,0.4042549,0.0,0.0,0.0018263238,0.19149014,0.9943502,1.0038338,0.9943502,1.0097861,0.9903148,0.9705406,0.9457223,0.8494752,0.9990516,1.0000907,0.97929275,0.96858346,0.9342043,0.012039502,0.008956226,0.025073074,0.026039483,0.044308156,-0.0047316584,-0.00049589307,0.0035639165,0.0025520714,0.0024031212,0.3861444,0.028102016,0.7071441,0.7444279,0.8971888,0.010411724,0.0021407448,-0.013149958,-0.0055885203,-0.005096341,1.0202785,1.0202785,1.0202785,1.0202785,1.0202785,0.98123467,0.9808314,0.9341203,0.9320015,0.84523803,1.0037531,1.00454,1.0000606,0.9971751,0.9752622,0.99102086,0.9945117,0.95135176,0.943866,0.88301045,0.8,0.6,0.8,0.8666667,0.93333334,0.48062298,0.4859324,0.76463705,0.77028626,0.88414997,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.1,0.2,0.1,0.083333336,-0.6,0.5,0.6,0.76666665,0.85,-0.8107762,-0.41673574,-0.22234213,-0.18736166,-0.38928202,-0.7979177,-0.5722017,-0.060965363,0.18998724,0.35851562,0.4,0.6,0.55,0.53333336,0.55,0.6,0.4,0.45,0.46666667,0.45,-0.2,0.2,0.1,0.06666667,0.1,0.40762,0.5618554,0.5920562,0.61564946,0.63768935,0.59238,0.43814462,0.40794376,0.3843505,0.36231068,-0.18475999,0.12371075,0.18411247,0.23129895,0.27537867,1.2190291,0.87289876,0.95891416,0.9903573,1.1780498,0.48810112,0.5120627,0.42449376,0.42357582,0.5410127,1.0082465,1.3195592,1.1093904,1.2514197,1.6829525,0.56023526,0.4146594,0.43376887,0.48060772,0.49812227,0.4397647,0.58534056,0.56623113,0.51939225,0.5018777,0.12047057,-0.17068116,-0.13246226,-0.038784534,-0.0037554335,1,1
2014-01-08,21.770975,21.944422,21.946619,21.652416,12784098.0,0.007966876,0.013513533,0.58954793,0.00010092638,0.0074685407,0.0054457313,0.40298352,0.013311681,0.9850629,0.99209607,1.0001001,0.9866934,1.0103053,0.9868936,0.94847435,0.9316659,0.88894427,0.98869437,0.9930966,0.97373694,0.9628181,0.9282975,0.0079409545,0.009045215,0.025059156,0.026199535,0.04466674,0.0030215129,-0.00036989397,0.0035881076,0.002586324,0.0024401816,0.36194575,0.015329506,0.7175729,0.75523204,0.9102813,0.0052626305,0.008567934,-0.0078239385,-0.00031979659,-0.00028285346,1.0080041,1.011806,1.011806,1.011806,1.011806,0.9730864,0.9730864,0.9263633,0.92426205,0.8382191,0.99335676,1.0002801,0.9925764,0.9894548,0.97238624,0.98279136,0.98785394,0.94345164,0.93782884,0.8756779,1.0,0.8,0.9,0.93333334,0.96666664,0.7707718,0.6950902,0.8618259,0.86514235,0.9319881,0.2,0.5,0.75,0.8333333,0.9166667,0.6,0.8,0.15,0.06666667,0.06666667,-0.4,-0.3,0.6,0.76666665,0.85,0.22728899,-0.24019045,-0.10664126,-0.06668806,-0.32642433,-0.6038627,-0.45725536,-0.1290782,0.20605707,0.23906638,0.4,0.6,0.6,0.56666666,0.55,0.6,0.4,0.4,0.43333334,0.45,-0.2,0.2,0.2,0.13333334,0.1,0.4007703,0.5807635,0.6684106,0.6455049,0.6102067,0.5992297,0.41923645,0.33158943,0.3544951,0.3897933,-0.19845939,0.1615271,0.33682117,0.29100978,0.2204134,0.79923046,0.52942145,0.5444706,0.54851437,0.6318904,0.22079614,0.32479614,0.2549967,0.24279371,0.26677713,0.8301485,1.1750098,1.1097536,1.2302423,1.2192391,0.6552169,0.5983088,0.5488628,0.51767594,0.47532672,0.3447831,0.40169117,0.4511372,0.48232406,0.5246733,0.3104338,0.19661766,0.09772558,0.035351858,-0.049346555,1,0
2014-01-09,22.058594,21.852213,22.058594,21.742435,6989623.5,-0.009356029,0.014332659,-0.65277696,0.0,0.0,0.0049766297,0.34722307,-0.0043793996,-0.30555388,1.0094444,1.0094444,0.99497634,0.99306726,0.99306726,0.9513713,0.9306738,0.88636583,0.99425286,0.9979804,0.9802772,0.96919173,0.9341085,0.008596584,0.008989606,0.024819184,0.026063664,0.045283474,0.004521303,-0.00050480093,0.0035017196,0.0025612055,0.0024838923,0.6915368,0.028904833,0.696716,0.74837554,0.9176685,-0.0032954426,0.0042912164,-0.013543525,-0.0063292137,-0.0073833163,1.0094444,1.0160755,1.0160755,1.0160755,1.0160755,0.9771925,0.9771925,0.9302722,0.9281621,0.8417561,1.0008439,1.004501,0.9992765,0.99594086,0.9839041,0.98693836,0.99202234,0.9474327,0.94279087,0.87937295,0.8,0.7,0.85,0.9,0.95,0.7071677,0.58656806,0.8126476,0.8171444,0.90778166,1.0,0.4,0.7,0.8,0.9,0.4,0.7,0.1,0.033333335,0.05,0.6,-0.3,0.6,0.76666665,0.85,0.04400409,-0.41310066,-0.08264104,-0.03647004,-0.3122646,0.16857414,-0.4062369,-0.088317245,0.21382186,0.23391439,0.4,0.5,0.6,0.56666666,0.55,0.6,0.5,0.4,0.43333334,0.45,-0.2,0.0,0.2,0.13333334,0.1,0.5994252,0.5414173,0.65512913,0.64743716,0.6127618,0.4005748,0.45858273,0.34487087,0.35256281,0.3872382,0.19885036,0.082834564,0.31025827,0.29487437,0.22552359,1.299518,1.0422131,0.99509,0.9992833,1.1459306,0.39105383,0.5397822,0.46637127,0.44353694,0.4850017,0.52831274,1.1038994,1.0800313,1.2397734,1.2338145,0.38611254,0.5718212,0.49912685,0.4953223,0.48796093,0.6138874,0.4281788,0.50087315,0.5046777,0.51203907,-0.2277749,0.14364246,-0.0017462843,-0.009355422,-0.024078103,0,1
2014-01-10,21.907099,22.058592,22.128849,21.869774,6322818.0,0.0069152503,0.011826083,0.58474565,0.0032070512,0.27118456,0.0017037813,0.14406979,0.0054119807,0.45763087,0.99313223,1.003185,0.9914402,0.97860044,0.9897482,0.9306262,0.9359011,0.8550811,0.9892306,0.98966855,0.97457445,0.96226066,0.9277843,0.009806487,0.009609107,0.023442553,0.026392011,0.04491255,0.005583804,0.00019303134,0.003242581,0.0026274528,0.0024638667,0.8105381,0.0036991427,0.66963774,0.7681155,0.9179074,-0.00039818228,0.009462836,-0.005378981,-0.00035872546,-0.0004684161,1.003185,1.0065691,1.0065691,1.0065691,1.0065691,0.96804994,0.96804994,0.92156863,0.92156863,0.83388066,0.9958594,0.9969742,0.9914801,0.9874391,0.9773265,0.9840748,0.98274106,0.956783,0.93397015,0.8816561,1.0,0.9,0.95,0.96666664,0.98333335,0.9093491,0.82945883,0.9227169,0.9227169,0.96195984,1.0,0.3,0.65,0.76666665,0.8833333,0.2,0.6,0.05,0.36666667,0.033333335,0.8,-0.3,0.6,0.4,0.85,-0.3882722,-0.44589993,-0.109635584,-0.02342465,-0.27959618,-0.05281596,-0.47151166,-0.15745513,0.21879183,0.27900714,0.6,0.5,0.65,0.56666666,0.56666666,0.4,0.5,0.35,0.43333334,0.43333334,0.2,0.0,0.3,0.13333334,0.13333334,0.776352,0.5594004,0.7270358,0.6403671,0.6492415,0.22364804,0.44059965,0.27296415,0.3596329,0.3507585,0.5527039,0.11880072,0.4540717,0.2807342,0.298483,1.4016569,1.206404,1.1067929,1.0984536,1.2415082,0.46458432,0.5492738,0.5131888,0.49042183,0.51141846,0.458023,1.01271,1.0876379,1.266782,1.2111748,0.47286004,0.5482586,0.50720954,0.49337816,0.47122824,0.52713996,0.45174143,0.49279046,0.50662184,0.52877176,-0.05427991,0.09651717,0.01441906,-0.013243685,-0.05754353,1,1
2014-01-13,21.91149,21.562397,22.157389,21.50751,10193392.0,-0.015931938,0.029659301,-0.537165,0.011222387,0.37837663,0.0025049767,0.08445839,-0.024649348,-0.83108324,1.0161899,1.027594,0.99745446,0.996538,1.0095716,0.9493943,0.96140933,0.862336,1.0126872,1.0114857,0.9995317,0.9856906,0.95142895,0.00873414,0.01057838,0.02120341,0.026784448,0.044964943,-0.0013237084,-0.00067264657,0.0026083447,0.0026299478,0.002456835,0.05742281,0.037063546,0.5296471,0.74718916,0.9105499,-0.010039783,-0.008458759,-0.024310974,-0.023824846,-0.023905596,1.027594,1.0297323,1.0297323,1.0297323,1.0297323,0.99745446,0.99032676,0.94857967,0.94277585,0.85306996,1.0187762,1.0199167,1.014296,1.0101621,1.000224,1.0074128,1.000896,0.9869872,0.95546275,0.9089096,0.2,0.2,0.4,0.6,0.8,0.08445839,0.24547899,0.63362485,0.6580783,0.8316997,1.0,0.2,0.6,0.73333335,0.8666667,1.0,0.5,0.05,0.33333334,0.016666668,0.0,-0.3,0.55,0.4,0.85,-0.26443428,-0.6361948,-0.12854068,-0.007742453,-0.19819647,-0.32771227,-0.49693722,-0.23397863,0.14000556,0.23903191,0.6,0.5,0.65,0.53333336,0.56666666,0.4,0.5,0.35,0.46666667,0.43333334,0.2,0.0,0.3,0.06666667,0.13333334,0.52982515,0.45582628,0.6432276,0.5763806,0.63568825,0.47017485,0.5441737,0.35677242,0.4236194,0.36431172,0.05965031,-0.08834741,0.28645512,0.1527612,0.27137652,0.84897226,0.8160277,0.7068856,0.6951102,0.75462615,0.270609,0.31291255,0.32496732,0.30909464,0.2802973,0.7440403,0.8924443,1.0450717,1.2140765,1.204742,0.47443768,0.58842546,0.5331563,0.5230199,0.47163987,0.52556235,0.41157454,0.46684375,0.47698006,0.5283601,-0.05112465,0.1768509,0.0663125,0.046039876,-0.05672024,0,1
2014-01-14,21.683153,22.027853,22.185932,21.63485,8907149.0,0.015897129,0.025415244,0.6254958,0.007290413,0.286852,0.002227702,0.0876522,0.010834416,0.426296,0.98435163,1.0071763,0.9821588,0.98793983,0.99760795,0.93232334,0.93581176,0.856673,0.9937008,0.99035186,0.9817951,0.9670022,0.93371373,0.009054863,0.010572583,0.018206267,0.026384559,0.04378335,-0.00055817247,0.00038056335,0.0021339357,0.002600718,0.0023909747,0.00949977,0.011876901,0.4808271,0.75298893,0.9095609,0.007415538,0.007935624,-0.0020674788,-0.0047126464,-0.00424748,1.0071763,1.0079737,1.0079737,1.0079737,1.0079737,0.9763779,0.9694008,0.92923343,0.92285466,0.8504934,1.0002791,1.0002791,0.99649155,0.99130875,0.980604,0.9893951,0.97974676,0.9737864,0.93527347,0.89179707,0.8,0.8,0.9,0.93333334,0.96666664,0.76699024,0.7932818,0.898734,0.9063228,0.94936687,1.0,0.1,0.55,0.7,0.85,0.8,0.4,0.05,0.3,0.016666668,0.2,-0.3,0.5,0.4,0.8333333,-0.32275268,-0.55294806,-0.08891448,-0.031402886,-0.15985994,-0.2679013,-0.5362231,-0.2510033,0.08953315,0.2522503,0.6,0.5,0.65,0.56666666,0.56666666,0.4,0.5,0.35,0.43333334,0.43333334,0.2,0.0,0.3,0.13333334,0.13333334,0.59208506,0.51015216,0.6770998,0.62197024,0.64187044,0.4079149,0.48984784,0.32290018,0.37802973,0.35812953,0.18417016,0.020304307,0.35419968,0.24394053,0.2837409,1.0148495,0.98503774,0.8196665,0.8158058,0.8614065,0.2914323,0.32210484,0.37426972,0.34710705,0.3193582,0.69066924,0.79488444,0.97793865,1.1509861,1.2026043,0.5553174,0.55805266,0.51515216,0.5301159,0.49630356,0.4446826,0.44194734,0.4848478,0.46988407,0.50369644,0.11063483,0.11610532,0.030304348,0.060231835,-0.0073928814,1,0
2014-01-15,22.027855,22.181541,22.21228,21.959791,8475363.0,0.0069769174,0.011462264,0.6086858,0.0013954528,0.1217432,0.003089894,0.269571,0.008671358,0.7565136,0.99307144,1.0013858,0.99000293,0.98931,0.99950516,0.9335839,0.9260616,0.84895563,0.98895377,0.9835395,0.9783134,0.9627668,0.92976177,0.010818738,0.010584025,0.016060846,0.026346946,0.04324234,0.0028308143,0.0023461448,0.0018225786,0.0026026713,0.0023609872,0.17116287,0.4504217,0.4507168,0.7562751,0.90921956,0.005384592,0.005902836,0.004372136,-0.0005055481,0.00058913056,1.0013858,1.0013858,1.0013858,1.0013858,1.0013858,0.9696129,0.96268415,0.92863494,0.9164605,0.84638226,0.9955657,0.9933485,0.99117094,0.98598444,0.97673965,0.9825399,0.97295845,0.9710185,0.9317826,0.88658804,1.0,1.0,1.0,1.0,1.0,0.95638466,0.9641931,0.98095167,0.98368233,0.99105966,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.1,0.26666668,0.05,0.4,0.7,0.9,0.73333335,0.95,-0.45684233,-0.29357338,-0.07242117,0.0011875203,-0.14382145,-0.53501594,-0.537773,-0.24831146,0.113808535,0.24695209,0.6,0.5,0.65,0.6,0.5833333,0.4,0.5,0.35,0.4,0.41666666,0.2,0.0,0.3,0.2,0.16666667,0.58385146,0.5021494,0.6757469,0.63952225,0.6490235,0.41614854,0.49785057,0.32425308,0.36047772,0.3509765,0.1677029,0.00429886,0.35149387,0.27904457,0.29804698,0.9648754,1.0852107,0.87424767,0.8630984,0.90702575,0.18217587,0.28308514,0.3934724,0.36566415,0.33584788,0.79146415,0.7643654,0.97264844,1.1281033,1.1878773,0.3212126,0.553525,0.5173469,0.508371,0.50281894,0.6787874,0.44647503,0.48265308,0.49162903,0.4971811,-0.35757485,0.10704994,0.034693822,0.016741937,0.0056378315,1,0
