date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,5.8960786,5.8235292,5.8986926,5.7908497,13669929.0,-0.012304677,0.018290618,-0.67273164,0.00044334913,0.024239155,0.005542592,0.30302924,-0.007205434,-0.39394155,1.012458,1.0129068,0.99438834,0.99741864,0.9395061,0.9585859,0.9586981,0.89528614,1.0047587,0.993569,0.9689955,0.96759444,0.9544108,0.009529495,0.016074441,0.02850104,0.023621947,0.03089363,0.0025701504,0.0046899966,0.00406631,0.0014466252,0.0011909342,0.18185171,0.78034157,0.7124389,0.29065806,0.4532497,-0.0098990025,-0.014674017,-0.007625462,0.011429464,0.010456656,1.0186309,1.0186309,1.0186309,1.0186309,1.0186309,0.9873177,0.9390573,0.91683507,0.91683507,0.86722785,1.0149046,1.002963,0.9975982,0.9929742,0.97578,0.9977328,0.9816386,0.94309765,0.9479237,0.93777776,0.6,0.8,0.9,0.93333334,0.96666664,0.40501592,0.76586664,0.8169784,0.8169784,0.87694544,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.4,0.6,0.033333335,0.6,0.8,0.55,0.36666667,0.95,-0.056187905,-0.5258712,-0.3728833,-0.34244242,0.08356242,-0.037567116,0.23928188,0.2673926,0.18405548,0.19694874,0.4,0.7,0.5,0.5,0.46666667,0.6,0.3,0.5,0.46666667,0.5,-0.2,0.4,0.0,0.033333335,-0.033333335,0.53474337,0.8181818,0.61395895,0.58923376,0.59624517,0.46525663,0.18181819,0.38604102,0.4107662,0.40375486,0.06948675,0.6363636,0.22791795,0.17846754,0.1924903,0.88685155,1.1815556,1.2542922,1.3082471,1.2819464,0.15359391,0.70043385,0.5352769,0.63233787,0.5770298,1.0700569,1.3453448,1.0963728,1.1501486,1.6107724,0.7109725,0.5000847,0.4820319,0.5007903,0.4969424,0.2890275,0.4999153,0.51796806,0.4992097,0.5030576,0.42194495,0.00016940387,-0.035936162,0.0015806112,-0.0061152205,0,0
2014-01-03,5.8235292,5.789542,5.866667,5.782353,12451089.0,-0.0058361595,0.01447814,-0.40310147,0.0074074585,0.51163054,0.0012345219,0.08526798,-0.012009096,-0.829464,1.0058705,1.0133214,0.99875826,1.0012418,0.9741477,0.95032746,0.9621811,0.8831564,1.0104086,1.001987,0.97716755,0.9745353,0.961961,0.009901271,0.013534449,0.028598776,0.024151778,0.029812405,-0.0023707352,0.0030665637,0.0040672626,0.0015510318,0.0011332106,0.14332573,0.47058088,0.7079093,0.31962806,0.44068384,-0.005667217,-0.015786465,-0.015806554,0.0029747523,0.0046093157,1.0246106,1.0246106,1.0246106,1.0246106,1.0246106,0.99875826,0.96635807,0.92221725,0.92221725,0.87231886,1.0208626,1.0088508,1.0034544,1.0002483,0.9834049,1.0033416,0.99668103,0.948634,0.9534884,0.9475503,0.2,0.4,0.7,0.8,0.8833333,0.048033055,0.5775185,0.75964636,0.75964636,0.8383983,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.1,0.35,0.56666666,0.016666668,-0.4,0.7,0.55,0.36666667,0.95,0.11192729,-0.4498198,-0.36435017,-0.37043515,0.08597931,0.19669656,0.11817258,0.30123132,0.18702407,0.20768009,0.4,0.6,0.5,0.5,0.46666667,0.6,0.4,0.5,0.46666667,0.5,-0.2,0.2,0.0,0.033333335,-0.033333335,0.4849311,0.67862684,0.64211863,0.57995224,0.6090622,0.5150689,0.32137316,0.35788137,0.4200478,0.3909378,-0.030137796,0.35725367,0.28423727,0.15990445,0.21812442,0.9462388,1.2206078,1.3402799,1.4357716,1.3997666,0.14487381,0.7551331,0.5870637,0.69458187,0.6356481,0.92330474,1.4961681,1.1673764,1.1331424,1.6485277,0.4239978,0.4408046,0.46806574,0.49961764,0.4929968,0.5760022,0.5591954,0.53193426,0.50038236,0.5070032,-0.1520044,-0.11839078,-0.06386851,-0.0007647466,-0.014006399,0,0
2014-01-06,5.814379,5.716994,5.816993,5.6980395,15821467.0,-0.016749064,0.02045854,-0.81868327,0.00044957874,0.021975115,0.003259897,0.15934163,-0.0139387455,-0.68131673,1.0170344,1.0174916,0.99668455,1.01692,0.9868526,0.96021485,0.97439116,0.89093393,1.0198468,1.0160168,0.991557,0.9877557,0.975986,0.014532207,0.01112559,0.02819566,0.024453448,0.02831972,-0.008940202,0.00044690975,0.0038044413,0.0015689345,0.0010488632,0.9461751,0.014791254,0.6372139,0.31902972,0.4183691,-0.001966336,-0.018027935,-0.027699217,-0.010505274,-0.006927443,1.0376129,1.0376129,1.0376129,1.0376129,1.0376129,0.99668455,0.98353714,0.93392015,0.93392015,0.8928775,1.0338173,1.021653,1.0161883,1.0129415,0.99817073,1.010152,1.0093288,0.965268,0.96558815,0.96067214,0.2,0.1,0.55,0.7,0.81666666,0.08100574,0.30444092,0.637266,0.637266,0.7401266,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.3,0.53333336,0.016666668,-0.6,0.6,0.55,0.36666667,0.93333334,-0.8404751,-0.44795927,-0.36138326,-0.3683662,0.09364944,0.32717052,0.04972025,0.255174,0.20712584,0.19545554,0.2,0.5,0.5,0.5,0.46666667,0.8,0.5,0.5,0.5,0.5,-0.6,0.0,0.0,0.0,-0.033333335,0.33555713,0.57676953,0.6060977,0.5507708,0.5988397,0.66444284,0.42323044,0.3939023,0.44922918,0.40116027,-0.3288857,0.1535391,0.21219541,0.10154164,0.19767943,0.83207,0.94846076,1.0516826,1.063916,1.100999,0.10721804,0.59185976,0.4621614,0.42052448,0.50033784,0.6701883,1.2798197,1.1012626,1.0720801,1.6268749,0.8696706,0.48796257,0.49656487,0.43267003,0.49932796,0.13032937,0.51203746,0.50343513,0.56732994,0.50067204,0.73934126,-0.024074879,-0.0068702796,-0.13465992,-0.0013441009,0,0
2014-01-07,5.68366,5.682353,5.727451,5.6607842,17912806.0,-0.00022995933,0.01172952,-0.019605178,0.0077046864,0.6568629,0.0037948743,0.32353193,-0.004139771,-0.35293612,1.00023,1.0079365,0.99620426,1.0404876,1.0093167,0.97837585,0.9804463,0.92190015,1.0179664,1.021279,0.998683,0.99442905,0.98323745,0.01579956,0.01267549,0.02800599,0.024495954,0.027468765,-0.009880363,-0.0016214564,0.0035583272,0.0015267077,0.0009831154,0.9776781,0.15000041,0.5650124,0.3010404,0.39068848,0.0017943303,-0.013982464,-0.032487076,-0.016566336,-0.012239358,1.0439384,1.0439384,1.0439384,1.0439384,1.0439384,0.99620426,0.99620426,0.9396135,0.9396135,0.9061422,1.0278813,1.0278813,1.0223832,1.0191165,1.0042558,1.004877,1.0148379,0.9711525,0.9714745,0.96793187,0.2,0.1,0.5,0.6333333,0.76666665,0.07951853,0.07951853,0.57883114,0.57883114,0.68113506,0.2,0.6,0.8,0.8666667,0.93333334,1.0,1.0,0.25,0.5,0.05,-0.8,-0.4,0.55,0.36666667,0.8833333,-0.8622697,-0.41342884,-0.3512451,-0.35797647,0.088787034,-0.3475117,-0.29217523,0.25380036,0.20692106,0.21460423,0.0,0.4,0.45,0.46666667,0.45,1.0,0.6,0.55,0.53333336,0.51666665,-1.0,-0.2,-0.1,-0.06666667,-0.06666667,0.0,0.43854362,0.5592687,0.53764397,0.572901,1.0,0.5614564,0.44073126,0.46235603,0.42709896,-1.0,-0.12291275,0.118537456,0.07528794,0.14580207,0.8081617,0.7125349,0.9292903,0.9375393,0.97584814,0.13143086,0.19124061,0.4082714,0.370862,0.44132993,0.7140866,0.7892931,1.1403894,1.0348463,1.6641366,0.864529,0.3105466,0.50049156,0.49718717,0.50443894,0.13547097,0.68945336,0.4995084,0.5028128,0.4955611,0.7290581,-0.37890676,0.000983176,-0.0056256535,0.008877825,0,0
2014-01-08,5.6862745,5.5300655,5.7287583,5.5052285,38941120.0,-0.027471237,0.039310414,-0.69882846,0.00747129,0.1900588,0.0043678894,0.11111277,-0.030574637,-0.77777445,1.0282472,1.0359296,0.99550873,1.068668,1.0450301,1.0094552,1.0148917,0.95189685,1.0322657,1.0449001,1.025712,1.0213174,1.0111157,0.020695765,0.020400222,0.029141879,0.025456954,0.027202416,-0.012551689,-0.004652353,0.0030180959,0.0013802787,0.00089426845,0.91956276,0.4767459,0.37540412,0.22783603,0.3296254,-0.007162285,-0.023964494,-0.05438395,-0.041331407,-0.03749658,1.0666587,1.0726864,1.0726864,1.0726864,1.0726864,0.99550873,0.99550873,0.9654887,0.9654887,0.9310956,1.0481503,1.0561872,1.0505377,1.0471811,1.031911,1.0220305,1.0325494,0.9978962,0.9982271,0.99501234,0.2,0.1,0.3,0.26666668,0.31666666,0.06312397,0.058193862,0.32194054,0.32194054,0.48664442,0.2,0.5,0.75,0.8333333,0.9166667,1.0,1.0,0.2,0.46666667,0.033333335,-0.8,-0.5,0.55,0.36666667,0.8833333,-0.9636152,-0.75731695,-0.3812837,-0.38454202,0.037207417,-0.921892,-0.44075394,0.040233854,0.053313278,0.14340435,0.0,0.3,0.4,0.43333334,0.43333334,1.0,0.7,0.6,0.56666666,0.53333336,-1.0,-0.4,-0.2,-0.13333334,-0.1,0.0,0.26909065,0.4775785,0.47405282,0.5419502,1.0,0.73090935,0.52242154,0.5259472,0.4580498,-1.0,-0.46181872,-0.04484304,-0.051894397,0.08390041,0.50741434,0.3896806,0.44374108,0.44518593,0.4609823,0.28053007,0.23103555,0.22142579,0.19816315,0.2137658,1.2504741,1.6230885,1.2606225,1.2110554,1.6196003,0.95775527,0.72037387,0.5407015,0.5362876,0.5330069,0.04224474,0.27962613,0.45929846,0.4637124,0.4669931,0.91551054,0.44074777,0.08140306,0.07257522,0.06601382,0,0
2014-01-09,5.55817,5.5379086,5.562745,5.464052,19642948.0,-0.0036453165,0.017756365,-0.20529632,0.0008231581,0.04635848,0.013287891,0.7483452,0.008819416,0.4966904,1.0036587,1.0044848,0.9866635,1.0515755,1.048861,1.005193,1.0114481,0.946064,1.0204886,1.0385342,1.0239997,1.0194893,1.0105826,0.020577915,0.024385553,0.029302146,0.02563671,0.025885198,-0.012463109,-0.0066514234,0.0023662099,0.0011920362,0.00076929707,0.9170437,0.6819859,0.22823155,0.16755447,0.2693922,0.0044376035,-0.008602745,-0.04647873,-0.036773853,-0.033276875,1.059365,1.0711672,1.0711672,1.0711672,1.0711672,0.9866635,0.9866635,0.96412134,0.96412134,0.92977697,1.0349581,1.0546913,1.0490499,1.045698,1.0304496,0.99971676,1.0208663,0.9964829,0.9968134,0.99523187,0.4,0.2,0.35,0.3,0.31666666,0.18344182,0.15782143,0.33517078,0.33517078,0.49666095,0.2,0.4,0.7,0.8,0.9,1.0,1.0,0.15,0.43333334,0.016666668,-0.8,-0.6,0.55,0.36666667,0.8833333,-0.8372492,-0.8321995,-0.41047567,-0.41069743,-0.011203817,-0.9756694,-0.39674526,0.020787327,0.0411264,0.1395249,0.2,0.3,0.45,0.46666667,0.45,0.8,0.7,0.55,0.53333336,0.51666665,-0.6,-0.4,-0.1,-0.06666667,-0.06666667,0.026030011,0.23863654,0.4875847,0.47998345,0.5473575,0.97397,0.76136345,0.5124153,0.52001655,0.4526425,-0.94794,-0.52272695,-0.0248306,-0.04003312,0.094714984,1.0667384,0.8419582,0.8949712,0.89757484,0.92168164,0.52976197,0.4312196,0.43749323,0.3882611,0.4209213,1.4673433,1.6262065,1.2653509,1.2088605,1.6233268,0.56353325,0.604635,0.5184864,0.5191138,0.5102906,0.43646675,0.39536503,0.4815136,0.4808862,0.48970935,0.12706646,0.20926996,0.036972813,0.03822759,0.020581292,1,0
2014-01-10,5.556209,5.4915032,5.5673203,5.4653597,20134706.0,-0.011645683,0.01835076,-0.63461584,0.0019997915,0.10897595,0.0047052857,0.2564082,-0.008940188,-0.48718357,1.0117829,1.0138062,0.99523926,1.0542728,1.055582,1.00607,1.0302309,0.94168055,1.0182576,1.041752,1.0323495,1.0270967,1.0200944,0.018356904,0.028487077,0.029866632,0.02635196,0.024186863,-0.010842671,-0.00873673,0.001500004,0.0010354557,0.0006131923,0.8721951,0.86221063,0.08828367,0.11965722,0.19603522,0.003427755,-0.002436682,-0.046599466,-0.04211082,-0.038183585,1.0592716,1.080219,1.080219,1.080219,1.080219,0.9950012,0.9950012,0.9722685,0.9722685,0.94572717,1.0360153,1.0636039,1.0579147,1.0545346,1.0391573,1.0056177,1.0081648,1.0001904,1.001571,1.003642,0.2,0.1,0.2,0.16666667,0.15,0.077777974,0.0586593,0.2568906,0.2568906,0.40353987,0.2,0.3,0.65,0.76666665,0.8833333,0.8,0.9,0.1,0.4,0.016666668,-0.6,-0.6,0.55,0.36666667,0.8666667,-0.5666585,-0.8059582,-0.4002123,-0.43497658,-0.0693411,-0.9746183,-0.5520428,0.053872306,-0.015727863,0.142404,0.2,0.3,0.45,0.43333334,0.45,0.8,0.7,0.55,0.56666666,0.51666665,-0.6,-0.4,-0.1,-0.13333334,-0.06666667,0.024999658,0.22366868,0.48566613,0.44725925,0.5511269,0.9750003,0.7763313,0.5143339,0.55274075,0.4488731,-0.9500007,-0.5526626,-0.028667767,-0.10548152,0.102253765,1.1170071,0.8510756,0.86428714,0.86594963,0.9063207,0.46438724,0.4218902,0.42200196,0.37142605,0.40855986,1.3431941,1.4903023,1.268414,1.2267377,1.620513,0.58301234,0.55195475,0.4883684,0.48648113,0.5096708,0.41698766,0.44804525,0.5116316,0.51351887,0.4903292,0.16602471,0.103909515,-0.023263201,-0.027037755,0.019341595,0,0
2014-01-13,5.458823,5.3228755,5.4954247,5.3117642,21663142.0,-0.024904214,0.033644706,-0.74021196,0.0067050247,0.19928913,0.002035468,0.060498904,-0.02957377,-0.8790022,1.0255402,1.0324166,0.9979125,1.0740423,1.0922151,1.0184184,1.067166,0.9918959,1.0357074,1.0655329,1.0641332,1.057396,1.0525459,0.024168946,0.036827985,0.03250857,0.02923375,0.024639955,-0.014231356,-0.011926983,-0.000118171876,0.0007354554,0.0004441311,0.86679643,0.9614279,0.00046248813,0.04905072,0.099092856,-0.0072446186,-0.011861546,-0.06301052,-0.06806019,-0.06564776,1.0762526,1.1144402,1.1144402,1.1144402,1.1144402,0.9979125,0.9979125,0.9979125,0.9979125,0.986002,1.0458252,1.0972986,1.0914292,1.087942,1.0720776,1.0253439,1.0374756,1.0318762,1.0318762,1.0354371,0.2,0.1,0.05,0.033333335,0.033333335,0.026646083,0.017913813,0.017913813,0.017913813,0.10898629,0.4,0.2,0.6,0.73333335,0.8666667,1.0,1.0,1.0,1.0,0.016666668,-0.6,-0.8,-0.4,-0.26666668,0.85,-0.14433397,-0.7663299,-0.4507622,-0.44904932,-0.07971154,-0.69628525,-0.39745596,-0.0059155445,0.007419276,0.11300941,0.2,0.2,0.45,0.4,0.43333334,0.8,0.8,0.55,0.6,0.53333336,-0.6,-0.6,-0.1,-0.2,-0.1,0.019138444,0.1513468,0.46006393,0.39604717,0.5067567,0.98086154,0.8486532,0.53993607,0.6039528,0.49324328,-0.9617231,-0.6973064,-0.07987216,-0.20790565,0.013513455,1.092129,0.84991163,0.8171154,0.82235736,0.8443695,0.39916542,0.37246203,0.3941393,0.34120122,0.38025066,1.0832286,1.2266268,1.2424568,1.170901,1.6073077,0.56572837,0.6185721,0.5204459,0.52807546,0.5029416,0.43427166,0.38142788,0.47955412,0.47192454,0.49705842,0.13145669,0.23714425,0.04089179,0.05615089,0.005883172,0,1
2014-01-14,5.3228755,5.401307,5.424183,5.320915,23898334.0,0.014734819,0.01940073,0.7594982,0.004297637,0.22151934,0.00036827417,0.01898249,0.010805456,0.5569613,0.9854791,1.0042353,0.98511624,1.052033,1.0946274,0.99770087,1.0560261,0.9846322,1.0102614,1.0405978,1.0487959,1.0401742,1.0375181,0.017110707,0.03571367,0.031847525,0.029674403,0.023793746,-0.008748807,-0.011513246,-0.0016168489,0.00054998224,0.0002873935,0.6535845,0.95266026,0.09021017,0.026621658,0.044496726,0.00723623,0.011211822,-0.03343592,-0.048148993,-0.04599626,1.0606245,1.0982575,1.0982575,1.0982575,1.0982575,0.983422,0.983422,0.983422,0.983422,0.983422,1.0241288,1.0731364,1.0755808,1.0721443,1.0565102,0.9970958,1.0133592,1.0168926,1.0166264,1.0204017,0.4,0.2,0.1,0.1,0.06666667,0.21473414,0.14436294,0.14436294,0.14436294,0.14436294,0.2,0.1,0.55,0.7,0.85,0.8,0.9,0.95,0.96666664,0.98333335,-0.6,-0.8,-0.4,-0.26666668,-0.13333334,0.26065367,-0.73882526,-0.5408932,-0.4637741,-0.13388467,-0.51878947,-0.50666225,-0.0107190125,0.009843889,0.12236329,0.4,0.2,0.5,0.4,0.43333334,0.6,0.8,0.5,0.6,0.53333336,-0.2,-0.6,0.0,-0.2,-0.1,0.19020182,0.12619513,0.5048743,0.41473305,0.5128412,0.8097982,0.87380487,0.4951257,0.58526695,0.48715878,-0.61959636,-0.74760973,0.009748561,-0.17053393,0.025682457,1.0400746,0.8229129,0.7608709,0.76351416,0.773493,0.33668667,0.3272517,0.36008424,0.30774096,0.34439108,0.90345556,1.1571088,1.1709719,1.1133701,1.5749221,0.5671296,0.61706936,0.5327831,0.53172743,0.5133147,0.4328704,0.3829306,0.4672169,0.46827257,0.4866853,0.13425924,0.23413877,0.06556618,0.06345487,0.02662941,1,0
2014-01-15,5.433987,5.403268,5.433987,5.377124,15688559.0,-0.005653175,0.0104643805,-0.5402303,0.0,0.0,0.0048112054,0.45976973,-0.0008419697,-0.08046054,1.0056853,1.0056853,0.9951614,1.0234668,1.0937462,1.0165719,1.0428208,0.9975808,1.0052015,1.0308455,1.0475868,1.0383694,1.037182,0.015603062,0.03222258,0.032906055,0.030530665,0.023718871,-0.006652965,-0.010134491,-0.0028107027,0.0003138846,0.00015934897,0.45451772,0.9067648,0.2553561,0.008191609,0.013766081,0.008104524,0.0147596635,-0.020885121,-0.042920753,-0.04188277,1.0303618,1.0916898,1.097859,1.097859,1.097859,0.9830651,0.9830651,0.9830651,0.9830651,0.9830651,1.0180477,1.0607476,1.0751904,1.0717552,1.0561267,0.996734,0.9999274,1.01558,1.0152897,1.0200315,0.6,0.3,0.15,0.13333334,0.06666667,0.35805687,0.15590253,0.1475241,0.1475241,0.1475241,0.4,0.1,0.5,0.6666667,0.8333333,0.6,0.8,0.9,0.93333334,0.96666664,-0.2,-0.7,-0.4,-0.26666668,-0.13333334,-0.16555536,-0.5563978,-0.5048697,-0.44024453,-0.16808037,-0.26006156,-0.5580757,-0.037032414,0.021856885,0.13121653,0.6,0.3,0.5,0.43333334,0.43333334,0.4,0.7,0.5,0.56666666,0.53333336,0.2,-0.4,0.0,-0.13333334,-0.1,0.29094812,0.12918669,0.46179593,0.4322359,0.5020669,0.7090519,0.8708133,0.5382041,0.5677641,0.4979331,-0.41810378,-0.7416266,-0.07640814,-0.13552818,0.004133826,1.2879155,1.2736931,1.1515623,1.1642364,1.1842237,0.1925085,0.48185647,0.5496694,0.4683094,0.52042913,1.1195172,1.1569941,1.2740996,1.1583551,1.595589,0.13397165,0.52607954,0.49226633,0.5013312,0.50635123,0.86602837,0.47392043,0.50773364,0.4986688,0.49364877,-0.73205674,0.052159104,-0.015467324,0.002662396,0.012702469,1,0
