date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,3.5128105,3.4469893,3.5147276,3.444433,156080000.0,-0.018737467,0.020010933,-0.93636143,0.0005457521,0.027272696,0.00072771474,0.036365855,-0.018555505,-0.92726827,1.0190953,1.0196514,0.9992584,1.0228031,0.97478676,0.96273637,0.9655172,1.0116798,1.0050427,1.0060067,0.9832592,0.9669386,0.9712458,0.0070098927,0.013270988,0.026288908,0.033861384,0.02669511,0.0008342324,0.0011527933,0.0038633877,0.0033344033,0.00014538756,0.035407186,0.06916841,0.7558916,0.75149935,0.009046716,-0.006711182,-0.011194298,-0.01996139,-0.015287444,0.024465226,1.0196514,1.025584,1.025584,1.025584,1.025584,0.9957361,0.955877,0.9364108,0.89099,0.89099,1.0070078,1.0183538,1.0059326,1.0014832,0.99073046,1.0010383,0.99799776,0.95517254,0.9361142,0.95235443,0.2,0.3,0.65,0.76666665,0.8333333,0.17829078,0.63297826,0.7130979,0.80991733,0.80991733,1.0,0.4,0.7,0.8,0.9,0.2,0.1,0.05,0.2,0.6,0.8,0.3,0.65,0.6,0.3,-0.48627672,-0.20232634,-0.10209692,-0.5419439,-0.4613864,-0.738236,-0.24847361,0.03128549,-0.3182558,-0.18235672,0.4,0.6,0.55,0.56666666,0.46666667,0.6,0.4,0.4,0.4,0.51666665,-0.2,0.2,0.15,0.16666667,-0.05,0.30720964,0.6125832,0.58997315,0.5516666,0.49155718,0.6927904,0.38741678,0.41002688,0.44833338,0.5084428,-0.38558072,0.22516644,0.17994624,0.10333325,-0.016885642,0.789477,0.993124,1.0190378,1.3335103,1.2838658,0.20770957,0.3877886,0.34058848,0.74479,0.7041029,0.8468844,0.9023751,0.9412976,1.3458236,1.4589398,0.6740464,0.42835596,0.46043923,0.49209434,0.50742626,0.3259536,0.571644,0.5395608,0.50790566,0.49257374,0.3480928,-0.14328808,-0.079121545,-0.015811304,0.014852553,0,0
2014-01-03,3.4565754,3.4035347,3.4629657,3.3990614,150055730.0,-0.015344882,0.018487746,-0.8300029,0.0018487469,0.09999851,0.0012941159,0.069998585,-0.015899513,-0.8600028,1.015584,1.0174615,0.9986857,1.0150207,0.99755925,0.95925635,0.97878337,0.994555,1.0148704,1.019095,0.9978502,0.9799912,0.983737,0.01081478,0.013026601,0.02520089,0.03450117,0.027082276,-0.0035861963,-0.0012801664,0.0033953185,0.0035071746,0.00019254269,0.27489874,0.0885283,0.63532704,0.8008457,0.015416423,-0.007698064,-0.013334252,-0.030105682,-0.030845242,0.010583013,1.0326699,1.0386782,1.0386782,1.0386782,1.0386782,0.9986857,0.9844161,0.95437473,0.90236574,0.90236574,1.0198648,1.0313556,1.0187758,1.0142697,1.0033796,1.010214,1.0107397,0.9699962,0.94806606,0.96451366,0.2,0.1,0.55,0.7,0.73333335,0.038673453,0.28719687,0.5412034,0.71625376,0.71625376,0.8,0.3,0.65,0.76666665,0.8833333,1.0,0.1,0.05,0.16666667,0.5833333,-0.2,0.2,0.6,0.6,0.3,-0.67344636,-0.059167694,0.0073211365,-0.54685295,-0.46172813,-0.47315827,-0.20641217,0.05117319,-0.30944413,-0.14760862,0.4,0.5,0.55,0.53333336,0.46666667,0.6,0.5,0.4,0.43333334,0.51666665,-0.2,0.0,0.15,0.1,-0.05,0.35507116,0.51053447,0.5985471,0.5303274,0.50398463,0.6449288,0.4894655,0.4014529,0.46967265,0.49601537,-0.28985766,0.021068972,0.19709419,0.0606547,0.007969253,0.8065538,0.99523574,1.029314,1.3847033,1.336019,0.19631319,0.38475925,0.32957867,0.7757877,0.73207045,0.78646624,0.91439277,0.9593428,1.3101572,1.4780325,0.45833436,0.44811246,0.44771346,0.49805954,0.5005666,0.5416656,0.5518876,0.55228657,0.5019405,0.4994334,-0.08333128,-0.1037751,-0.1045731,-0.00388092,0.0011332148,0,0
2014-01-06,3.348577,3.3089564,3.3524113,3.272531,280184770.0,-0.011832082,0.02385498,-0.4960005,0.0011450379,0.047999952,0.01087786,0.45599955,-0.00209926,-0.08800091,1.0119737,1.0131325,0.9889919,1.04635,1.0312862,0.9928544,0.9731557,1.0106218,1.034608,1.0450946,1.0267285,1.0088966,1.0116776,0.02227368,0.019878864,0.025480404,0.034912135,0.027898043,-0.011722697,-0.0050762524,0.0025864209,0.0033154758,0.00017652269,0.69248617,0.59774333,0.36062333,0.69894105,0.012211063,-0.011162604,-0.022251526,-0.051299494,-0.05697102,-0.016885035,1.0621861,1.0683662,1.0683662,1.0683662,1.0683662,0.9889919,0.9889919,0.9886056,0.9281576,0.9281576,1.0463886,1.0608343,1.047895,1.0432601,1.0320587,1.022866,1.0390885,0.9996524,0.9844727,0.9920819,0.2,0.1,0.25,0.46666667,0.33333334,0.15039583,0.13868614,0.1428574,0.5123967,0.5123967,0.6,0.2,0.6,0.73333335,0.8666667,1.0,1.0,0.25,0.13333334,0.56666666,-0.4,-0.8,0.35,0.6,0.3,-0.91549563,-0.41620138,-0.08575228,-0.5251209,-0.46580976,-0.71539426,-0.37111747,-0.12116366,-0.20057838,-0.18518989,0.2,0.4,0.5,0.53333336,0.46666667,0.8,0.6,0.45,0.43333334,0.51666665,-0.6,-0.2,0.05,0.1,-0.05,0.20873733,0.39024338,0.5152013,0.5378334,0.4926135,0.7912627,0.60975665,0.48479873,0.46216664,0.5073865,-0.5825254,-0.21951325,0.030402543,0.075666755,-0.014772992,0.5579777,0.57593,0.57353354,0.7111385,0.7237181,0.26628527,0.25394315,0.20305414,0.35581252,0.39279827,1.0171072,0.9430734,1.0112435,1.0979928,1.442543,0.93193907,0.59554684,0.56763834,0.44824,0.51385427,0.06806091,0.40445316,0.43236163,0.55176,0.48614573,0.8638782,0.19109367,0.1352767,-0.10352,0.0277085,0,1
2014-01-07,3.3479376,3.3786118,3.3888361,3.3217368,220251790.0,0.009162124,0.020041991,0.4571464,0.0030539227,0.15237622,0.007825944,0.3904774,0.013934145,0.6952476,0.9909211,1.0030262,0.98316616,1.0215625,1.0323435,0.9837337,0.9496879,1.0104029,1.0089654,1.020314,1.0063741,0.9897737,0.9906469,0.02189844,0.020504603,0.024466561,0.03346975,0.027229356,-0.011651237,-0.0056697107,0.002109018,0.00305903,0.00022112303,0.7077139,0.70085865,0.2600655,0.6473873,0.02011375,0.014337046,0.005199667,-0.02640985,-0.034129634,0.0028299699,1.0402875,1.0463401,1.0463401,1.0463401,1.0463401,0.96860224,0.96860224,0.9682239,0.90902215,0.90902215,1.0237564,1.0389636,1.026291,1.0217516,1.0104786,0.99587667,1.0059013,0.97904295,0.97026664,0.97162855,0.4,0.2,0.4,0.6,0.65,0.43799454,0.40389264,0.40677953,0.66253424,0.66253424,0.4,0.1,0.55,0.7,0.85,0.8,0.9,0.2,0.1,0.55,-0.4,-0.8,0.35,0.6,0.3,-0.96140933,-0.6267005,-0.10348362,-0.49813253,-0.4581265,-0.8295645,-0.6787949,-0.15630141,-0.23827162,-0.19402523,0.4,0.4,0.5,0.56666666,0.46666667,0.6,0.6,0.45,0.4,0.51666665,-0.2,-0.2,0.05,0.16666667,-0.05,0.38690403,0.3827155,0.5339652,0.56898344,0.49261346,0.613096,0.61728454,0.46603483,0.43101656,0.50738657,-0.22619195,-0.23456901,0.06793033,0.13796686,-0.014773093,0.82285845,0.7102328,0.7461193,0.89627635,0.9268362,0.3176661,0.2913766,0.26475292,0.44830588,0.49830464,0.6929169,0.92783093,0.97587353,1.0513471,1.4303759,0.742767,0.4574096,0.5373309,0.48782793,0.5081248,0.25723302,0.54259044,0.46266907,0.51217204,0.4918752,0.48553395,-0.08518085,0.07466185,-0.024344139,0.016249606,1,0
2014-01-08,3.3843632,3.34666,3.4265401,3.333879,203953300.0,-0.011140434,0.027379196,-0.40689415,0.012462304,0.4551742,0.0037764579,0.13793166,-0.01982628,-0.7241367,1.011266,1.0238687,0.996181,1.0477372,1.055948,0.9870154,0.9610464,1.0381898,1.009051,1.0244606,1.0166317,1.0005219,0.9994685,0.015779944,0.020484215,0.02406108,0.033011142,0.02703086,-0.006740501,-0.005637051,0.0014434595,0.002829956,0.00028761246,0.45615602,0.69418734,0.12596418,0.5695606,0.034529913,0.004430035,0.0009061513,-0.03034453,-0.041556276,-0.007953076,1.0502195,1.0546113,1.05633,1.05633,1.05633,0.9778499,0.9778499,0.97746795,0.91770095,0.91770095,1.0195913,1.0371969,1.0360894,1.0315067,1.0187513,0.9977468,1.007638,0.9908727,0.98082864,0.98090506,0.4,0.2,0.3,0.53333336,0.53333336,0.30606902,0.28855753,0.2857148,0.5936641,0.5936641,0.2,0.1,0.5,0.6666667,0.8333333,0.6,0.8,0.15,0.06666667,0.53333336,-0.4,-0.7,0.35,0.6,0.3,-0.8877214,-0.9115173,-0.17515503,-0.49353403,-0.45130217,-0.80189514,-0.6507372,-0.15792638,-0.22985144,-0.18999457,0.2,0.3,0.5,0.53333336,0.45,0.8,0.7,0.45,0.43333334,0.53333336,-0.6,-0.4,0.05,0.1,-0.083333336,0.23290572,0.2927861,0.52647984,0.551882,0.47281134,0.76709425,0.70721394,0.4735202,0.448118,0.52718866,-0.53418857,-0.41442782,0.052959643,0.10376401,-0.054377288,0.99093825,0.7633771,0.8253906,0.9661556,1.0063641,0.26010153,0.31141886,0.2850383,0.48391074,0.5363941,0.6625831,0.96257573,0.9402392,1.0245569,1.4349141,0.6940537,0.49314705,0.54142195,0.4976035,0.5066227,0.3059463,0.506853,0.45857802,0.5023965,0.4933773,0.38810742,-0.0137059195,0.08284394,-0.004792996,0.013245396,0,1
2014-01-09,3.370943,3.3274887,3.3747776,3.3121514,164749870.0,-0.012890876,0.01857822,-0.6938703,0.0011375113,0.06122822,0.004549833,0.24490145,-0.009478554,-0.5101971,1.0130593,1.0142115,0.9953908,1.0359131,1.0595351,0.9971193,0.941809,1.0518533,1.007682,1.0244094,1.022633,1.0082262,1.0043627,0.011483677,0.019822886,0.024048867,0.030926406,0.026494656,-0.0034376816,-0.005380881,0.0007299321,0.0023610312,0.0003597286,0.22403166,0.6754363,0.03224362,0.451696,0.056225497,-0.000806592,-0.00019550227,-0.029567348,-0.042461053,-0.014974692,1.0407145,1.0562704,1.062416,1.062416,1.062416,0.98348373,0.98348373,0.98309964,0.9229883,0.9229883,1.0168619,1.0386788,1.0420588,1.0374497,1.0234684,0.9988861,1.0046092,0.9988861,0.98655653,0.98655653,0.4,0.2,0.25,0.5,0.46666667,0.28859043,0.22691333,0.2130756,0.55234176,0.55234176,0.2,0.5,0.45,0.6333333,0.81666666,0.4,0.7,0.1,0.033333335,0.51666665,-0.2,-0.2,0.35,0.6,0.3,-0.58553237,-0.82560503,-0.19108935,-0.38566396,-0.42431107,-0.76380885,-0.71574235,-0.1476493,-0.08592586,-0.18065761,0.2,0.3,0.45,0.53333336,0.43333334,0.8,0.7,0.5,0.43333334,0.55,-0.6,-0.4,-0.05,0.1,-0.11666667,0.26913574,0.28591135,0.5058093,0.5811465,0.46319515,0.7308643,0.7140886,0.4941907,0.41885352,0.53680485,-0.4617285,-0.4281773,0.011618625,0.16229296,-0.07360968,1.237264,0.9925976,1.0264455,1.1188847,1.2529541,0.31126145,0.3560648,0.3518852,0.4462943,0.65896666,0.8128995,0.9073859,0.93034816,0.84534746,1.4322617,0.5172303,0.58672684,0.507805,0.40144065,0.50697744,0.48276973,0.41327313,0.49219498,0.5985593,0.49302256,0.034460567,0.17345375,0.015610028,-0.1971187,0.013954884,0,1
2014-01-10,3.316625,3.33324,3.335796,3.2661407,313794660.0,0.0050095846,0.021001896,0.2385301,0.0007706887,0.036696147,0.015221624,0.72477376,0.01946052,0.9266077,0.9950154,1.0007669,0.97986966,1.021089,1.0364265,0.9848542,0.934816,1.0347009,1.0017254,1.0189992,1.0216258,1.0086592,1.0020514,0.00778878,0.020314962,0.023030555,0.027795427,0.02611303,-7.667756e-05,-0.0056876354,-0.00013809426,0.0018208303,0.00040915475,0.00024229124,0.7185267,0.0012583762,0.33257833,0.07487908,-0.0015720903,0.006595118,-0.020313874,-0.035061285,-0.014121428,1.0279908,1.0544478,1.0605828,1.0605828,1.0605828,0.97986966,0.97986966,0.97986966,0.94229287,0.9213957,1.0059433,1.0361197,1.0402608,1.0356596,1.0211656,0.9971626,0.9996549,0.9996549,0.9854678,0.9848542,0.6,0.3,0.25,0.5,0.51666665,0.4183265,0.26992306,0.24940625,0.48784503,0.56473845,0.6,0.4,0.4,0.6,0.8,1.0,1.0,1.0,0.033333335,0.5,-0.4,-0.6,-0.6,0.56666666,0.3,-0.2446025,-0.86410505,-0.32049453,-0.2683787,-0.41381052,-0.50266033,-0.487181,-0.1525754,-0.1018386,-0.16488081,0.4,0.4,0.5,0.56666666,0.45,0.6,0.6,0.45,0.4,0.53333336,-0.2,-0.2,0.05,0.16666667,-0.083333336,0.34104022,0.34726617,0.5317271,0.5919913,0.47484022,0.65895975,0.6527338,0.46827292,0.40800866,0.5251598,-0.31791955,-0.30546767,0.06345413,0.18398266,-0.05031957,0.75395447,0.5698231,0.5683969,0.5818321,0.66709065,0.19090325,0.24038646,0.20865051,0.22159939,0.34759644,0.9583497,1.0445526,0.9584196,0.87563705,1.4473516,0.70747,0.6451577,0.5834157,0.4861359,0.5169368,0.29253003,0.3548423,0.41658428,0.5138641,0.48306322,0.41493997,0.2903154,0.1668314,-0.0277282,0.033873532,1,1
2014-01-13,3.330684,3.3575237,3.3811681,3.3095953,298147520.0,0.008058324,0.021488914,0.37499917,0.0070989765,0.3303553,0.0063316124,0.29464555,0.0072909608,0.3392894,0.99200606,1.0070422,0.9857251,0.9855348,1.0312144,0.97773117,0.93833256,1.0186524,0.9973734,1.0085077,1.0153502,1.0034196,0.99449307,0.00607778,0.019191938,0.021493826,0.024902709,0.025744548,-0.0016558666,-0.004975146,-0.0009168813,0.0013641614,0.00045513493,0.185567,0.61600673,0.06368934,0.23256266,0.09532562,0.005938331,0.01388037,-0.00663982,-0.02319993,-0.007919526,1.0205557,1.0468214,1.052912,1.052912,1.052912,0.9727826,0.9727826,0.9727826,0.9461362,0.9147316,1.0012562,1.0269128,1.032737,1.028169,1.0117245,0.9924248,0.9924248,0.99596494,0.9806243,0.97773117,0.8,0.5,0.3,0.53333336,0.5833333,0.56972134,0.3676098,0.33966786,0.5044571,0.6170802,0.4,0.3,0.35,0.56666666,0.78333336,0.8,0.9,0.95,0.033333335,0.48333332,-0.4,-0.6,-0.6,0.53333336,0.3,0.15975015,-0.8265936,-0.44596806,-0.2595315,-0.43036127,-0.13120405,-0.49918604,-0.15946482,-0.07961012,-0.15524806,0.6,0.4,0.55,0.56666666,0.46666667,0.4,0.6,0.45,0.4,0.51666665,0.2,-0.2,0.1,0.16666667,-0.05,0.66101766,0.37345663,0.5455965,0.58842814,0.48635095,0.33898234,0.6265434,0.45440352,0.41157186,0.51364905,0.32203528,-0.25308675,0.09119296,0.17685625,-0.027298078,0.80557245,0.6649666,0.626901,0.6235864,0.7018662,0.2133088,0.26461443,0.23303042,0.2436331,0.36564007,0.7815859,0.9174682,0.8880803,0.8758883,1.4504313,0.5320618,0.700734,0.57610214,0.5286487,0.499581,0.46793818,0.29926598,0.4238979,0.47135136,0.500419,0.064123645,0.40146807,0.15220423,0.0572973,-0.0008380103,1,1
2014-01-14,3.364553,3.3843634,3.392671,3.344743,200972430.0,0.005887985,0.014245011,0.41333666,0.0024691825,0.17333665,0.0058878437,0.4133267,0.009306646,0.6533267,0.99414647,1.0024548,0.9882931,0.99830055,1.0198263,0.9733762,0.95392746,0.97016615,0.9898036,0.99852717,1.0086291,0.9969977,0.98710346,0.0066665136,0.01779646,0.019876156,0.023433551,0.025505278,0.003115565,-0.0036757283,-0.0015494727,0.0010961756,0.000445618,0.54602957,0.39104882,0.21270175,0.16958436,0.09310332,0.003965256,0.018013608,0.006090855,-0.012892259,-0.0002491687,1.0124623,1.0385195,1.0445619,1.0445619,1.0445619,0.965068,0.965068,0.965068,0.9537386,0.9074773,0.99365556,1.0082326,1.0245469,1.0200151,1.003701,0.98455435,0.98455435,0.9914275,0.9754909,0.96997726,1.0,0.7,0.4,0.6,0.73333335,0.7370519,0.47557902,0.43943036,0.50935626,0.67493147,0.2,0.2,0.3,0.53333336,0.76666665,0.6,0.8,0.9,0.1,0.46666667,-0.4,-0.6,-0.6,0.43333334,0.3,0.0007793821,-0.80518746,-0.6028212,-0.29509607,-0.42427605,-0.005563967,-0.54568064,-0.17524245,-0.056206025,-0.113024,0.6,0.5,0.55,0.56666666,0.48333332,0.4,0.5,0.45,0.4,0.5,0.2,0.0,0.1,0.16666667,-0.016666668,0.5266283,0.42199078,0.5539403,0.5696348,0.52311295,0.47337165,0.5780092,0.4460597,0.43036523,0.47688705,0.053256683,-0.15601842,0.10788059,0.13926955,0.04622589,1.1759003,1.0388479,0.9515152,0.93342775,1.0132915,0.3267054,0.349537,0.3353629,0.36014482,0.49813598,0.47328568,0.8308773,0.8493377,0.8976566,1.3594413,0.46962628,0.5916874,0.5357575,0.5139257,0.4653386,0.53037375,0.40831265,0.46424252,0.48607433,0.5346614,-0.06074747,0.18337473,0.07151498,0.027851325,-0.0693228,1,1
2014-01-15,3.4009788,3.437404,3.4610486,3.393949,216929100.0,0.010710185,0.019729488,0.5428517,0.006952318,0.35238206,0.002066985,0.10476627,0.0058248523,0.29523587,0.9894033,1.0068786,0.9873582,0.973601,1.0200781,0.9873581,0.9546383,0.9704406,0.97981036,0.9811117,0.9936977,0.9831257,0.9723647,0.013045815,0.013506544,0.019579569,0.022726977,0.025371773,0.007882515,-0.00023435087,-0.0015166191,0.0010118461,0.0004824272,0.9126983,0.0027596632,0.20999785,0.15361984,0.11027111,0.0044246176,0.019942887,0.020710198,0.002202533,0.013403701,1.0068786,1.0224948,1.0284438,1.0284438,1.0284438,0.9501766,0.9501766,0.9501766,0.939022,0.8934746,0.9876557,0.99211746,1.0087377,1.0042759,0.9902212,0.9693623,0.9693623,0.97612935,0.96229774,0.9550101,1.0,0.9,0.6,0.73333335,0.8666667,0.8786879,0.6889471,0.63658035,0.6819136,0.7892567,1.0,0.1,0.25,0.5,0.75,0.4,0.7,0.85,0.06666667,0.45,0.6,-0.6,-0.6,0.43333334,0.3,-0.12838311,-0.5273394,-0.58620626,-0.2101007,-0.42941433,-0.052268274,-0.53512675,-0.35957453,-0.17267287,-0.10597628,0.8,0.5,0.55,0.56666666,0.48333332,0.2,0.5,0.45,0.4,0.5,0.6,0.0,0.1,0.16666667,-0.016666668,0.8514853,0.41940302,0.5275531,0.56963485,0.5232524,0.14851467,0.580597,0.47244695,0.43036515,0.4767476,0.7029707,-0.16119397,0.055106126,0.13926972,0.046504818,1.1013677,1.0165161,0.8843969,0.83844095,0.91861135,0.29641896,0.27134657,0.31155288,0.28588834,0.43045595,0.6469403,0.7702892,0.8274027,0.8759064,1.3745537,0.52046484,0.60012317,0.5054946,0.4457826,0.47278833,0.47953516,0.3998768,0.4945054,0.5542174,0.52721167,0.04092965,0.20024638,0.010989162,-0.1084348,-0.054423317,1,1
