date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,1.3013572,1.3005205,1.3089794,1.2970811,155753800.0,-0.0006428756,0.009142977,-0.070313595,0.005857148,0.6406172,0.0026429535,0.28906924,-0.0038570706,-0.42186153,1.0006433,1.0065042,0.99735534,0.9937817,0.9561861,0.9527554,0.9290257,0.894861,1.003831,0.99412477,0.9764098,0.96770304,0.93806994,0.003382627,0.013694032,0.020751536,0.022152178,0.036317945,-0.0010149266,0.0037149435,0.0031069939,0.0022089202,0.001914879,0.22506146,0.6746107,0.78460014,0.7705998,0.84789085,-0.0018011731,-0.01084203,-0.0059262547,0.00026762724,0.005441141,1.0119362,1.0119362,1.0119362,1.0119362,1.0119362,0.99564004,0.9503252,0.9456079,0.9247374,0.8462583,1.0051032,1.0035022,1.0007862,0.99502534,0.96381956,1.0020013,0.9829747,0.9568722,0.9527268,0.90558213,0.2,0.5,0.75,0.8333333,0.9166667,0.26754376,0.8062647,0.8200433,0.86311483,0.9279552,0.4,0.7,0.85,0.9,0.95,0.2,0.1,0.05,0.033333335,0.23333333,0.2,0.6,0.8,0.8666667,0.71666664,0.049715973,-0.40316725,-0.40052947,-0.42618984,-0.47695288,0.5435153,0.37280893,0.3250704,0.26449165,-0.29340747,0.6,0.6,0.55,0.56666666,0.56666666,0.4,0.4,0.45,0.43333334,0.43333334,0.2,0.2,0.1,0.13333334,0.13333334,0.6191793,0.77538174,0.66734153,0.68477887,0.61807686,0.3808207,0.22461826,0.33265844,0.31522116,0.38192314,0.23835859,0.5507635,0.3346831,0.36955768,0.23615375,0.9759864,1.2262398,1.3005104,1.341784,1.587027,0.225171,0.7019528,0.522513,0.47910157,0.869864,0.71239954,1.1954063,1.0061784,0.95536476,2.4741604,0.672228,0.47342116,0.4910333,0.46399033,0.49558592,0.32777205,0.52657884,0.50896674,0.53600967,0.5044141,0.34445593,-0.053157683,-0.017933456,-0.07201933,-0.008828151,0,0
2014-01-03,1.3004276,1.3013572,1.3080498,1.297453,209737010.0,0.0007148372,0.008148667,0.08772443,0.005146498,0.6315754,0.0022873324,0.28070018,-0.0021443283,-0.26315078,0.9992857,1.0051428,0.997,1.001857,0.9711429,0.9597143,0.927,0.88285714,1.0028143,0.9963714,0.9777964,0.96951425,0.93941927,0.0036538849,0.011281897,0.021049524,0.021585524,0.03645755,-0.0020499928,0.0025783605,0.0031972642,0.0021434613,0.0019236023,0.78692794,0.4787783,0.80749625,0.76420116,0.8490934,0.0012857146,-0.007974021,-0.008170398,-0.0005944377,0.0038344811,1.0112857,1.0112857,1.0112857,1.0112857,1.0112857,0.9967142,0.9599999,0.9487143,0.92707133,0.8457143,1.0044571,1.0028572,1.0003715,0.9994286,0.9649428,0.99987143,0.9915428,0.95625705,0.9528285,0.9064571,0.4,0.6,0.8,0.8666667,0.93333334,0.22549678,0.7799452,0.81963503,0.86598855,0.931838,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.1,0.35,0.033333335,0.21666667,-0.6,0.5,0.45,0.8333333,0.71666664,-0.14344946,-0.2932399,-0.34835827,-0.3565861,-0.48437682,-0.15569808,0.37797838,0.30170628,0.2575202,-0.29751426,0.6,0.6,0.55,0.6,0.5833333,0.4,0.4,0.45,0.4,0.41666666,0.2,0.2,0.1,0.2,0.16666667,0.44841397,0.72345114,0.6501596,0.6909566,0.63491297,0.55158603,0.27654883,0.3498404,0.3090434,0.365087,-0.10317206,0.44690233,0.30031916,0.3819132,0.269826,0.73621595,0.8909598,0.9532371,0.98144376,1.1783094,0.18667501,0.5129345,0.38233995,0.3453598,0.64603853,0.81356627,1.455888,1.0886661,0.9688462,2.5185301,0.531337,0.48037487,0.48189738,0.47760874,0.4996973,0.46866298,0.5196251,0.51810265,0.52239126,0.50030273,0.06267404,-0.039250232,-0.036205236,-0.04478253,-0.0006054322,1,1
2014-01-06,1.3037739,1.2991261,1.3054471,1.2950363,192520860.0,-0.0035648297,0.007985116,-0.4464343,0.001283368,0.16072,0.0031369184,0.3928457,-0.0017112792,-0.21430862,1.0035776,1.0048655,0.99685186,1.0103034,0.9714511,0.9554951,0.93274194,0.88079566,1.0024757,1.0009373,0.98170084,0.97342116,0.9430193,0.0022178816,0.006345698,0.020767717,0.020976989,0.03642998,-0.0012307003,0.00091195496,0.0031173225,0.002067998,0.0019214774,0.7697823,0.18932128,0.78859496,0.7532094,0.8485014,-1.4333089e-05,-0.005041165,-0.011315374,-0.0034071151,0.00029715415,1.0097309,1.0130224,1.0130224,1.0130224,1.0130224,0.99685186,0.97180885,0.95034355,0.9340298,0.8471666,1.0045794,1.0045794,1.0020894,1.0011449,0.9696767,1.0008587,0.9989697,0.96047515,0.9553234,0.91133374,0.2,0.3,0.65,0.76666665,0.8833333,0.24443732,0.68402654,0.79223645,0.83514434,0.92148376,0.2,0.5,0.75,0.8333333,0.9166667,1.0,0.1,0.3,0.033333335,0.2,-0.8,0.4,0.45,0.8,0.71666664,-0.8617234,-0.35218927,-0.31617716,-0.308919,-0.49367437,0.16290635,0.3693739,0.29726422,0.26409608,-0.29500973,0.4,0.6,0.55,0.56666666,0.5833333,0.6,0.4,0.45,0.43333334,0.41666666,-0.2,0.2,0.1,0.13333334,0.16666667,0.104393475,0.7194716,0.670879,0.6778952,0.63764054,0.8956065,0.28052846,0.32912096,0.32210484,0.36235943,-0.79121304,0.43894312,0.34175807,0.35579035,0.27528113,0.8253545,0.96831846,1.0284854,1.054963,1.2801733,0.2209477,0.5586097,0.41484848,0.37025753,0.70470524,0.77213144,1.4484158,1.1423975,0.99884224,2.5297413,0.56200635,0.49780208,0.4866272,0.48034778,0.49594036,0.43799362,0.5021979,0.51337284,0.5196522,0.5040596,0.12401276,-0.004395823,-0.026745638,-0.039304424,-0.008119265,0,1
2014-01-07,1.2981967,1.2983825,1.3011712,1.2944784,240801920.0,0.00014315803,0.005155434,0.027768377,0.002148105,0.41666815,0.0028641708,0.55556345,0.00085922366,0.16666369,0.9998569,1.0021478,0.9969931,1.0050116,0.98739976,0.95861965,0.9433706,0.89547545,1.0020475,1.0027707,0.9843321,0.9758663,0.9453014,0.00224327,0.004084046,0.020357365,0.020685636,0.036611237,-0.0012528804,-0.00011064607,0.0029991758,0.0020259721,0.0019336054,0.77982336,0.0067282505,0.7596766,0.74341434,0.85075945,0.00045818705,-0.0022727544,-0.01282425,-0.0052428967,-0.0023427957,1.0095935,1.0136026,1.0136026,1.0136026,1.0136026,0.9969931,0.9889748,0.95088786,0.93886024,0.8476518,1.0029783,1.0051547,1.0026633,1.0017183,0.97227955,1.0004582,1.0004582,0.96254295,0.957417,0.9128866,0.2,0.2,0.6,0.73333335,0.8666667,0.23863652,0.44767293,0.7831041,0.8180072,0.9180325,0.2,0.4,0.7,0.8,0.9,1.0,0.1,0.25,0.033333335,0.18333334,-0.8,0.3,0.45,0.76666665,0.71666664,-0.88448036,0.30294755,-0.30151603,-0.2962622,-0.49746874,-0.41123453,0.14898212,0.29448694,0.30474234,-0.28970066,0.4,0.5,0.5,0.53333336,0.56666666,0.6,0.5,0.5,0.46666667,0.43333334,-0.2,0.0,0.0,0.06666667,0.13333334,0.17592087,0.625356,0.6612723,0.65763223,0.624531,0.82407916,0.37464398,0.33872768,0.34236774,0.37546906,-0.64815825,0.250712,0.3225446,0.3152645,0.2490619,0.75322986,0.6815369,0.8360496,0.8519797,1.0268874,0.2126501,0.21930532,0.3331138,0.29674226,0.56263393,0.86775935,1.0342115,1.1633059,1.0534419,2.5818858,0.79980546,0.3597758,0.523189,0.51507276,0.5049028,0.20019454,0.6402242,0.47681102,0.4849272,0.4950972,0.5996109,-0.2804484,0.046377975,0.030145584,0.009805597,0,1
2014-01-08,1.301543,1.3205056,1.3221788,1.2941067,354674180.0,0.014569339,0.021568337,0.67549664,0.0012855676,0.05960439,0.0057134307,0.264899,0.018997202,0.8807912,0.98563987,1.0012671,0.9800085,0.98887795,0.9852176,0.94551605,0.93467546,0.8877939,0.98748416,0.987449,0.97056526,0.9616946,0.93133444,0.007051657,0.005958449,0.020519264,0.021071453,0.03670403,0.0028016185,0.0006062289,0.0030558417,0.0020818883,0.001946215,0.3946169,0.09488952,0.77625823,0.75653243,0.85753924,0.006912593,0.009822989,0.00040423687,0.008118018,0.011252228,1.0012671,1.0012671,1.0012671,1.0012671,1.0012671,0.9800085,0.9755034,0.93495715,0.93129665,0.8334507,0.9883993,0.98989165,0.9874982,0.9852739,0.95981985,0.983697,0.983697,0.9485006,0.9423905,0.8986625,1.0,1.0,1.0,1.0,1.0,0.9403956,0.9508182,0.98089117,0.98189086,0.99244946,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.2,0.23333333,0.16666667,0.0,0.9,0.8,0.76666665,0.8333333,0.81994545,0.5888814,-0.17964281,-0.16615531,-0.4677109,0.41749948,0.5611965,0.32559952,0.3316944,-0.25926828,0.4,0.5,0.5,0.53333336,0.56666666,0.6,0.5,0.5,0.46666667,0.43333334,-0.2,0.0,0.0,0.06666667,0.13333334,0.7351173,0.64266247,0.69466776,0.67535883,0.6329221,0.26488268,0.3573375,0.30533224,0.32464117,0.36707792,0.47023463,0.28532496,0.3893355,0.3507177,0.26584417,0.6504493,0.5129575,0.59380704,0.59284693,0.706302,0.21373175,0.22650465,0.24460106,0.21563739,0.38259935,1.7673582,1.5814754,1.128562,1.0970587,2.509299,0.9387378,0.64325356,0.56033605,0.53585184,0.5190847,0.06126217,0.35674644,0.43966398,0.4641482,0.4809153,0.8774757,0.28650716,0.12067207,0.071703635,0.038169365,1,1
2014-01-09,1.319948,1.3456032,1.3478341,1.3185351,379303260.0,0.019436577,0.022197103,0.87563574,0.0016901293,0.07614189,0.0010703971,0.048222378,0.018816844,0.8477162,0.980934,1.001658,0.979884,0.9664963,0.96048635,0.9357558,0.9206963,0.87137336,0.9757668,0.9729829,0.9556749,0.94640094,0.91610736,0.015143971,0.010737338,0.022335289,0.022607675,0.03724841,0.008165232,0.0017144332,0.0034141561,0.0022468702,0.0019787715,0.7267709,0.2337003,0.81780857,0.76550114,0.8607473,0.007902753,0.019302173,0.011890602,0.021019435,0.02551888,1.001658,1.001658,1.001658,1.001658,1.001658,0.9617298,0.9617298,0.91751873,0.9139265,0.8179055,0.98507875,0.97659576,0.96988124,0.96747726,0.95429677,0.9653495,0.96628904,0.93080956,0.9258635,0.8831445,1.0,1.0,1.0,1.0,1.0,0.95847774,0.95847774,0.98029566,0.98110247,0.9909775,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.15,0.2,0.15,0.2,0.1,0.85,0.8,0.85,0.89356536,0.64356494,0.03477704,-0.0056397365,-0.43770072,0.25443056,0.28896892,0.28143245,0.30941913,-0.25631043,0.6,0.6,0.5,0.53333336,0.56666666,0.4,0.4,0.5,0.46666667,0.43333334,0.2,0.2,0.0,0.06666667,0.13333334,0.9417105,0.81291044,0.71688414,0.70027894,0.6486272,0.058289554,0.18708959,0.2831159,0.2997211,0.3513728,0.8834209,0.6258208,0.43376824,0.40055782,0.29725438,0.72608775,0.5634292,0.5705334,0.56998885,0.6715565,0.22624774,0.23653221,0.24790911,0.21733227,0.35777238,1.2790146,1.4297776,1.159843,1.1221008,2.4052796,0.93326604,0.79892284,0.53945726,0.5411462,0.5249572,0.06673396,0.20107718,0.46054274,0.4588538,0.4750428,0.8665321,0.5978457,0.07891454,0.082292385,0.049914394,1,1
2014-01-10,1.3469045,1.3545269,1.3554565,1.3335193,242658260.0,0.0056591695,0.016287073,0.34746388,0.0006901707,0.042375367,0.0099377325,0.61016077,0.014906731,0.9152493,0.99437267,1.0006863,0.9844909,0.96074665,0.96253085,0.9228657,0.9231403,0.8704364,0.97718906,0.97031975,0.9532356,0.94272804,0.91223145,0.019127605,0.014849729,0.0239693,0.024719642,0.038404725,0.011666226,0.0032569699,0.003696192,0.0025006742,0.0020459793,0.9299927,0.4409627,0.83227426,0.79310656,0.8656313,-0.0005215358,0.015023871,0.011650549,0.021012194,0.027412195,1.0006863,1.0006863,1.0006863,1.0006863,1.0006863,0.9553939,0.9553939,0.9114741,0.9079055,0.8125171,0.9947296,0.97858906,0.9650288,0.96269554,0.955037,0.9589898,0.9599231,0.9304007,0.91976386,0.87911063,1.0,1.0,1.0,1.0,1.0,0.9848476,0.9848476,0.99230725,0.9926031,0.9963528,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.1,0.16666667,0.13333334,0.4,0.2,0.9,0.8333333,0.8666667,0.48823428,0.5661161,0.12853652,0.06820911,-0.43087015,0.3223503,0.15264459,0.26720545,0.269305,-0.26598457,0.6,0.6,0.55,0.53333336,0.56666666,0.4,0.4,0.45,0.46666667,0.43333334,0.2,0.2,0.1,0.06666667,0.13333334,0.949684,0.8074327,0.7623719,0.69732183,0.6500797,0.050315976,0.19256726,0.2376281,0.30267814,0.3499203,0.89936805,0.6148655,0.5247438,0.3946437,0.30015942,1.162094,0.899214,0.88550735,0.87944317,1.0538055,0.332254,0.37069955,0.38451383,0.32947797,0.5579442,1.0843699,1.4401593,1.1714109,1.144768,2.3957794,0.54832214,0.5422135,0.4904165,0.48071647,0.5057751,0.45167786,0.4577865,0.5095835,0.51928353,0.4942249,0.096644275,0.084426984,-0.019166982,-0.038567085,0.011550172,1,1
2014-01-13,1.3545269,1.3500651,1.3653096,1.3443018,291020500.0,-0.003293966,0.015509309,-0.21238637,0.007960506,0.5132727,0.004254838,0.2743409,-0.0069996333,-0.4513182,1.0033048,1.0112916,0.9957311,0.96226925,0.9721839,0.91861737,0.929496,0.8804736,0.9879647,0.97630817,0.96045506,0.9481937,0.9172383,0.017624307,0.01706015,0.024206193,0.026482305,0.039773203,0.010176282,0.0046222326,0.00373512,0.0027455923,0.002132745,0.83347815,0.6728983,0.83334374,0.83303314,0.87699395,-0.008317264,0.0028918153,0.0040613012,0.01199517,0.01984571,1.0112916,1.0112916,1.0112916,1.0112916,1.0112916,0.95855135,0.95855135,0.9144864,0.910906,0.81520236,1.000661,0.99735606,0.97336817,0.9666758,0.9618286,0.9748278,0.96309555,0.9358441,0.9228036,0.8835031,0.8,0.9,0.95,0.96666664,0.98333335,0.7859007,0.7859007,0.8833569,0.8875171,0.9424157,1.0,1.0,1.0,1.0,1.0,0.4,0.7,0.05,0.13333334,0.11666667,0.6,0.3,0.95,0.8666667,0.8833333,0.17192729,0.6062097,0.2023282,0.13084106,-0.40161282,0.087381065,0.14147425,0.21936025,0.2677129,-0.27084038,0.6,0.5,0.55,0.5,0.55,0.4,0.5,0.45,0.5,0.45,0.2,0.0,0.1,0.0,0.1,0.9151522,0.73990566,0.78358966,0.68040866,0.6392366,0.08484782,0.26009437,0.21641035,0.31959134,0.36076334,0.8303043,0.47981125,0.56717926,0.36081734,0.27847332,1.036668,0.7913353,0.75414926,0.7429242,0.88318723,0.21825236,0.3123165,0.32554433,0.27895105,0.46506578,1.0041898,1.4579988,1.194632,1.1379516,2.4083104,0.6324669,0.6094065,0.52927864,0.5199902,0.50761116,0.3675331,0.39059353,0.47072136,0.48000976,0.4923888,0.2649338,0.21881291,0.058557242,0.039980445,0.015222358,0,1
2014-01-14,1.3537832,1.3573155,1.3627069,1.3417363,188045220.0,0.0026091994,0.015490355,0.16844027,0.003982439,0.25709152,0.008898716,0.5744682,0.0075254766,0.48581693,0.9973976,1.003972,0.98852205,0.9565812,0.9613752,0.9124777,0.9224763,0.8790576,0.99137104,0.97495544,0.95970064,0.94571286,0.9143544,0.010844276,0.01880757,0.023831943,0.027995594,0.040894903,0.0057526585,0.005526437,0.003676859,0.002955407,0.0022086508,0.70351934,0.79147375,0.8331114,0.863688,0.8896428,-0.0028763248,0.00017559702,0.005369167,0.011433742,0.020490427,1.0058897,1.0058897,1.0058897,1.0058897,1.0058897,0.953431,0.953431,0.91056013,0.9060402,0.81084776,0.99835634,0.9953157,0.9765785,0.96304613,0.9573345,0.98767287,0.9579509,0.9418435,0.9178742,0.8790028,1.0,1.0,1.0,1.0,1.0,0.88772845,0.88772845,0.9382184,0.94101506,0.9698034,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.6,0.15,0.1,0.1,0.6,0.3,0.8,0.8666667,0.8833333,-0.6937998,0.4409044,0.1885656,0.080953814,-0.41537422,0.30903447,-0.032716546,0.20809324,0.23846963,-0.27291012,0.8,0.6,0.6,0.53333336,0.55,0.2,0.4,0.4,0.46666667,0.45,0.6,0.2,0.2,0.06666667,0.1,0.9342471,0.83651495,0.79804116,0.69611925,0.64096445,0.0657529,0.16348502,0.20195885,0.30388078,0.35903552,0.8684942,0.67302996,0.59608227,0.39223844,0.28192896,1.5482461,1.2563986,1.1644477,1.1596824,1.3660927,0.4186314,0.4533051,0.5045932,0.42442435,0.72009814,0.89582837,1.4310187,1.1611972,1.1146083,2.4038048,0.43814924,0.5485785,0.49698544,0.51314074,0.49920973,0.5618507,0.4514215,0.50301456,0.48685926,0.5007903,-0.12370151,0.09715701,-0.006029115,0.026281506,-0.0015805401,1,1
2014-01-15,1.362335,1.3610336,1.3796244,1.3567578,213629630.0,-0.0009552774,0.016784864,-0.056913026,0.012691005,0.7560982,0.003138581,0.18698877,-0.010507702,-0.62602246,1.0009562,1.0136594,0.9968584,0.97022265,0.9594318,0.9207075,0.91558534,0.87091935,0.9946183,0.97634894,0.9610436,0.94594324,0.9140079,0.0044435826,0.020010877,0.023992714,0.029268613,0.041974273,0.0024723362,0.00616533,0.0037056855,0.0031242815,0.0022777296,0.7739066,0.8701453,0.8349231,0.88307536,0.8981271,0.00043704323,-0.004092892,0.0037523636,0.008754699,0.018799057,1.0136594,1.0136594,1.0136594,1.0136594,1.0136594,0.96877486,0.95082647,0.9080727,0.9035651,0.80863273,0.9978146,0.9956291,0.98931843,0.96552384,0.95560724,0.99128544,0.955334,0.94806725,0.9167874,0.8779129,1.0,1.0,1.0,1.0,1.0,0.69567806,0.7826085,0.87063384,0.8759305,0.93337774,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.1,0.06666667,0.083333336,0.8,0.5,0.9,0.93333334,0.9166667,-0.92352945,0.2945471,0.15601063,0.08720218,-0.4080935,-0.1348286,-0.075031556,0.2350295,0.27775112,-0.2670726,0.8,0.6,0.6,0.56666666,0.56666666,0.2,0.4,0.4,0.43333334,0.43333334,0.6,0.2,0.2,0.13333334,0.13333334,0.9097749,0.84216523,0.78638387,0.71593267,0.6519294,0.09022513,0.15783478,0.21361615,0.28406733,0.34807065,0.81954974,0.68433046,0.5727677,0.43186533,0.30385873,1.2307814,1.1553382,1.037585,1.0213717,1.1988758,0.35326046,0.34314638,0.4394461,0.37354785,0.6343935,1.2235568,1.3743203,1.2112566,1.127411,2.4220295,0.29147518,0.58522594,0.5162105,0.5008845,0.49556133,0.7085248,0.41477406,0.4837895,0.4991155,0.50443864,-0.41704965,0.17045188,0.03242097,0.0017689838,-0.008877334,1,1
