date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,4.6238174,4.5572596,4.6371293,4.540816,13138633.0,-0.014394575,0.020829862,-0.69105476,0.0028789768,0.13821392,0.0035563102,0.17073135,-0.013717241,-0.6585373,1.0146048,1.0175258,0.9963918,1.0029209,0.9726804,0.94587624,0.94063574,0.85412365,1.0084536,1.0013574,0.9781744,0.9668156,0.93314004,0.005521591,0.010182306,0.026565854,0.027269214,0.041881513,-0.0015807659,0.0025669031,0.004308,0.0028494806,0.0022860416,0.20490223,0.58255655,0.92039007,0.84622896,0.90870595,-0.0052920785,-0.01290845,-0.019100387,-0.008133042,-0.0005782618,1.0185567,1.0185567,1.0185567,1.0185567,1.0185567,0.9963918,0.96048105,0.9294674,0.9280927,0.8410653,1.0122681,1.0094845,1.0040206,1.0005841,0.9641581,1.0056357,0.99240553,0.95470786,0.94469076,0.900567,0.2,0.4,0.7,0.8,0.9,0.16279103,0.680474,0.7917071,0.7948722,0.89545035,0.8,0.9,0.95,0.96666664,0.98333335,1.0,0.1,0.05,0.06666667,0.033333335,-0.2,0.8,0.9,0.9,0.95,-0.7010461,-0.5718601,-0.17720503,-0.20230919,0.030755918,0.11252708,0.022358146,0.19657126,0.2832918,0.17511138,0.6,0.6,0.5,0.5,0.5833333,0.4,0.4,0.5,0.5,0.41666666,0.2,0.2,0.0,0.0,0.16666667,0.45893788,0.68618286,0.68041235,0.63715756,0.67672765,0.5410621,0.3138171,0.31958768,0.3628424,0.32327235,-0.08212424,0.37236574,0.36082467,0.27431515,0.3534553,0.66988724,0.89479005,0.9032805,0.9347751,0.89968085,0.20278235,0.55352247,0.4133543,0.38986132,0.3684198,0.98378354,0.95583314,0.9969593,0.91002893,0.9084333,0.8233675,0.47555414,0.50236434,0.4977641,0.5040425,0.17663252,0.5244459,0.49763566,0.5022359,0.4959575,0.64673495,-0.048891734,0.0047286637,-0.004471787,0.008085033,0,1
2014-01-03,4.55491,4.544731,4.5729203,4.5361176,13824427.0,-0.0022347406,0.008079801,-0.2765836,0.0039540054,0.48936915,0.0018910551,0.23404723,-0.004297691,-0.53190553,1.0022397,1.0062026,0.9981047,1.0144728,0.9901792,0.9399552,0.93935215,0.8488973,1.008339,1.0050999,0.9838731,0.97150236,0.9382308,0.0070077535,0.009136571,0.025125716,0.027281946,0.04122622,-0.0028600905,0.0014201294,0.0039471104,0.0028464503,0.0022505887,0.4164299,0.22146283,0.86375314,0.8436421,0.9089607,-0.002618867,-0.011490482,-0.0213707,-0.012775909,-0.0046231584,1.0213646,1.0213646,1.0213646,1.0213646,1.0213646,0.9981047,0.984838,0.9325465,0.9306512,0.84338385,1.0128531,1.0122674,1.0067884,1.0033425,0.97563744,1.0022054,0.99927634,0.9575637,0.948277,0.9049793,0.2,0.3,0.65,0.76666665,0.8833333,0.08148352,0.41509593,0.7594575,0.7644832,0.8799616,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.2,0.05,0.033333335,0.016666668,-0.4,0.6,0.85,0.9,0.95,-0.9172221,-0.55689764,-0.22209653,-0.16330396,0.055862952,-0.70019484,0.07781795,0.15126589,0.28297588,0.17832296,0.4,0.5,0.5,0.5,0.5833333,0.6,0.5,0.5,0.5,0.41666666,-0.2,0.0,0.0,0.0,0.16666667,0.25581345,0.57983196,0.7075641,0.6404629,0.68470925,0.7441865,0.42016804,0.2924359,0.35953712,0.31529072,-0.48837307,0.1596639,0.41512817,0.28092578,0.36941856,0.6973487,0.84316856,0.8778383,0.8876243,0.8571147,0.2542556,0.52316236,0.38962722,0.37025222,0.3506347,1.1446998,1.0710025,1.0242944,0.92004985,0.92285264,0.7222298,0.49161616,0.53109473,0.49884805,0.50369537,0.27777022,0.50838387,0.46890527,0.501152,0.49630463,0.44445956,-0.016767684,0.062189456,-0.0023039195,0.00739075,0,1
2014-01-06,4.5509953,4.5502124,4.5744863,4.527504,16899644.0,-0.00017204294,0.010323519,-0.016665144,0.0051617073,0.49999493,0.0049897693,0.48333994,-0.0003439811,-0.03332014,1.000172,1.0053346,0.99500936,1.0086044,0.9855446,0.9316812,0.9318534,0.84632593,1.0054035,1.0053347,0.9861039,0.9726036,0.9396618,0.0075782766,0.0067263385,0.022278734,0.026766961,0.040202394,-0.0038375321,-1.6682647e-05,0.0033843007,0.002769057,0.002197136,0.6410666,5.638764e-05,0.80765325,0.8294063,0.9109822,0.0022715463,-0.0052596065,-0.018254763,-0.012754975,-0.004477334,1.0201342,1.0201342,1.0201342,1.0201342,1.0201342,0.99500936,0.98365164,0.9334022,0.9309069,0.8510583,1.011633,1.011048,1.0055755,1.0021338,0.97755975,0.9997591,0.9997591,0.9611426,0.94741005,0.90493894,0.4,0.3,0.65,0.76666665,0.8833333,0.1986336,0.4481148,0.76785773,0.77434963,0.88091636,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.05,0.3,0.016666668,-0.6,0.6,0.8,0.6,0.93333334,-0.94017196,-0.65277535,-0.2579475,-0.15402094,0.10306998,-0.918295,0.05765661,0.15805815,0.2600947,0.17802334,0.6,0.6,0.55,0.53333336,0.6,0.4,0.4,0.45,0.46666667,0.4,0.2,0.2,0.1,0.06666667,0.2,0.33552614,0.62209326,0.74658394,0.6618969,0.68823767,0.6644739,0.37790674,0.25341603,0.33810312,0.31176236,-0.32894772,0.24418654,0.4931679,0.32379377,0.3764753,0.68648076,0.7107081,0.73973775,0.7408322,0.70486534,0.2586298,0.4384471,0.32261187,0.3051633,0.2892646,1.2154012,1.1240797,1.0656816,0.94294655,0.92400765,0.9911708,0.52893335,0.5415259,0.5269375,0.5080659,0.008829149,0.47106662,0.45847413,0.4730625,0.49193412,0.9823417,0.057866745,0.083051756,0.053875003,0.016131766,1,1
2014-01-07,4.5650897,4.5729203,4.5815334,4.5580425,8012420.5,0.0017153266,0.005145771,0.33334687,0.0018867339,0.3666572,0.0015437104,0.29999593,0.0013723031,0.2666856,0.9982876,1.0018835,0.99674654,1.0054795,0.99023974,0.9517123,0.9416096,0.8597602,0.9993151,1.0013185,0.98362154,0.9697203,0.93733305,0.006998575,0.0056929286,0.021403039,0.02678915,0.039627593,-0.0023801294,-0.00070879277,0.0031702563,0.002782773,0.0021652724,0.28914914,0.14209493,0.7679022,0.8362564,0.9106038,0.0054451935,0.0018710945,-0.013738986,-0.010070505,-0.0012085666,1.0150684,1.0150684,1.0150684,1.0150684,1.0150684,0.99006844,0.99006844,0.9440068,0.92628425,0.8529965,1.002226,1.0060273,1.0007192,0.99955475,0.98133564,0.99479455,0.99626714,0.9584932,0.94374996,0.9014212,0.8,0.6,0.8,0.8666667,0.93333334,0.39726302,0.39726302,0.78795254,0.8302801,0.90702623,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.9,0.05,0.26666668,0.016666668,-0.6,-0.3,0.75,0.6,0.9166667,-0.86121684,-0.4714653,-0.2876954,-0.18580164,0.08037956,-0.8324187,-0.18015884,0.11799294,0.2313617,0.19225901,0.6,0.6,0.55,0.53333336,0.6,0.4,0.4,0.45,0.46666667,0.4,0.2,0.2,0.1,0.06666667,0.2,0.40588328,0.58990544,0.7043478,0.6459759,0.67819834,0.59411675,0.41009456,0.2956522,0.35402408,0.3218017,-0.18823344,0.1798109,0.4086956,0.2919518,0.35639662,1.4702902,1.2275103,1.5357428,1.5473967,1.4804617,0.5184136,0.5052958,0.6918349,0.651576,0.6131838,1.0649372,0.998688,1.0903505,0.9823135,0.9372785,0.5237837,0.2975228,0.47925046,0.4874635,0.4937776,0.47621632,0.7024772,0.5207495,0.51253647,0.50622237,0.04756739,-0.40495437,-0.04149906,-0.025072973,-0.0124447895,1,0
2014-01-08,4.568222,4.597194,4.605808,4.54708,15267531.0,0.006342106,0.01285571,0.49332988,0.0018855446,0.1466698,0.00462806,0.3600003,0.009084621,0.7066604,0.9936979,1.0018736,0.98909897,1.0057912,0.99454945,0.9463465,0.93774486,0.8663771,0.9928803,0.9965764,0.9811106,0.9666752,0.93461084,0.00459791,0.00576576,0.020396397,0.02690703,0.03940061,0.0023505306,-0.0005873743,0.002955142,0.0028112582,0.0021528099,0.6533574,0.09513237,0.7347132,0.8460025,0.91055316,0.0024186457,0.006066766,-0.009184406,-0.0074384445,0.0018812834,1.0086869,1.0097088,1.0097088,1.0097088,1.0097088,0.9848407,0.9848407,0.9390223,0.92139333,0.8615228,0.9957759,1.0007154,0.9986374,0.9945835,0.98010564,0.9895419,0.9910067,0.96211886,0.939908,0.89720666,1.0,0.7,0.85,0.9,0.95,0.63571274,0.6095899,0.86265075,0.8900675,0.9344828,0.2,0.5,0.75,0.8333333,0.9166667,0.6,0.8,0.1,0.23333333,0.016666668,-0.4,-0.3,0.65,0.6,0.9,-0.15823367,-0.34537625,-0.3016092,-0.15172584,0.07570029,-0.44707772,0.060552545,0.12534133,0.23971449,0.2193395,0.6,0.6,0.6,0.53333336,0.6,0.4,0.4,0.4,0.46666667,0.4,0.2,0.2,0.2,0.06666667,0.2,0.3988089,0.554795,0.7190539,0.65324944,0.6732934,0.6011911,0.44520494,0.28094605,0.34675056,0.3267066,-0.2023822,0.1095901,0.4381079,0.3064989,0.3465868,0.8795483,0.6651359,0.8253618,0.8201087,0.7853701,0.21970217,0.28551158,0.36253095,0.34348556,0.32089844,0.92590624,1.0079298,1.0205013,0.9469617,0.94031376,0.65837014,0.53692937,0.52984315,0.5120668,0.51578695,0.34162986,0.4630706,0.47015685,0.4879332,0.48421305,0.31674027,0.073858775,0.05968631,0.024133619,0.031573884,1,0
2014-01-09,4.6011095,4.589364,4.617553,4.575269,7335566.5,-0.0025527435,0.00918996,-0.27777526,0.0035738617,0.38888764,0.0030633544,0.3333371,-0.0030632508,-0.3333258,1.0025593,1.0061423,0.9969288,0.99300456,0.9959051,0.9480463,0.9341409,0.87331516,0.99597335,0.9986862,0.98538214,0.9705198,0.9383168,0.005050719,0.005733777,0.019037245,0.026754055,0.039434988,0.0029687693,-0.00065249,0.0026576228,0.002784664,0.0021544707,0.863747,0.11870735,0.68209755,0.8395915,0.9103693,-0.001910917,0.0042499853,-0.010629579,-0.010897423,-0.0018737072,1.0061423,1.0114315,1.0114315,1.0114315,1.0114315,0.986521,0.986521,0.9406244,0.92296535,0.86768466,1.0003412,1.0024228,1.0003412,0.9971336,0.9874083,0.9912302,0.9926975,0.966968,0.9441904,0.898891,0.8,0.55,0.775,0.85,0.925,0.68695825,0.54109854,0.838555,0.8707816,0.9204751,1.0,0.4,0.7,0.8,0.9,0.4,0.7,0.05,0.2,0.016666668,0.6,-0.3,0.65,0.6,0.8833333,-0.40167272,-0.6300008,-0.39084902,-0.1909782,0.021464488,0.2736516,0.0857378,0.15532404,0.2508588,0.22739041,0.6,0.6,0.55,0.53333336,0.5833333,0.4,0.4,0.45,0.46666667,0.41666666,0.2,0.2,0.1,0.06666667,0.16666667,0.72043246,0.5400007,0.7089913,0.6646758,0.6656256,0.27956757,0.45999935,0.2910087,0.33532423,0.33437443,0.44086486,0.0800013,0.4179826,0.32935154,0.3312511,1.6723886,1.4361073,1.7007834,1.6877438,1.6333855,0.5915133,0.52551556,0.7672424,0.72617173,0.6689844,0.69138795,0.96711266,1.0077099,0.9757503,0.9518779,0.3957607,0.5444807,0.48828217,0.48685867,0.49894574,0.6042393,0.45551932,0.5117178,0.51314133,0.5010543,-0.20847861,0.08896135,-0.023435647,-0.026282677,-0.0021085318,0,0
2014-01-10,4.6042414,4.5650897,4.6042414,4.5337687,14477016.0,-0.008503391,0.015306043,-0.5555578,0.0,0.0,0.0068026516,0.44444218,-0.0017007405,-0.11111562,1.0085763,1.0085763,0.993139,0.9955404,1.0099486,0.946741,0.9456261,0.87427104,1.0021613,1.0030018,0.99328476,0.97749287,0.9454017,0.0041212733,0.00547408,0.016189568,0.026631955,0.039254755,0.0010119926,-0.00047715698,0.0021128734,0.0027491,0.0021418587,0.15074116,0.0696485,0.5961347,0.82580346,0.9080233,-0.004185263,-0.0008545525,-0.0133570675,-0.017354842,-0.008586531,1.0114924,1.0168096,1.0168096,1.0168096,1.0168096,0.9917667,0.9917667,0.9462265,0.92787313,0.87795895,1.0056604,1.007067,1.0056604,1.0024357,0.9957805,0.9993482,0.99797606,0.9803431,0.9515438,0.90375644,0.4,0.4,0.55,0.7,0.85,0.4173908,0.32876754,0.7618466,0.810993,0.8789375,0.8,0.3,0.65,0.76666665,0.8833333,0.2,0.6,0.05,0.16666667,0.016666668,0.6,-0.3,0.6,0.6,0.8666667,-0.38152042,-0.67926437,-0.4461479,-0.13268766,0.021696497,-0.19937932,-0.35256428,0.09190821,0.19088082,0.2004753,0.6,0.5,0.55,0.5,0.5833333,0.4,0.5,0.45,0.5,0.41666666,0.2,0.0,0.1,0.0,0.16666667,0.62036866,0.39642757,0.7148786,0.6360514,0.66281635,0.37963134,0.6035724,0.2851214,0.3639486,0.33718362,0.24073729,-0.20714486,0.4297572,0.27210277,0.32563272,0.85642207,0.761168,0.8724947,0.8467478,0.8338303,0.30440623,0.2783248,0.38951328,0.36135575,0.33867386,0.6841115,0.97309065,1.0071888,0.99155307,0.94226384,0.50951546,0.555429,0.5137947,0.48861003,0.5104201,0.49048454,0.44457102,0.48620525,0.51139,0.48957995,0.019030916,0.11085799,0.027589485,-0.022779958,0.020840136,0,0
2014-01-13,4.5384665,4.4938335,4.577618,4.478173,11254935.0,-0.009834359,0.021911662,-0.44881853,0.00862663,0.39370036,0.0034506728,0.1574811,-0.015010317,-0.6850378,1.009932,1.0186443,0.99651504,1.0125458,1.0212581,0.9756056,0.9648894,0.9035547,1.0155429,1.01678,1.0102544,0.9941628,0.96199983,0.009140403,0.00806236,0.0146421995,0.026551358,0.039489206,-0.0042342036,-0.0013591247,0.0014894803,0.0026440872,0.0021444163,0.53647906,0.26049876,0.36218035,0.7685635,0.8994173,-0.007074408,-0.010663913,-0.024404505,-0.032502055,-0.0252601,1.027531,1.0329326,1.0329326,1.0329326,1.0329326,0.99651504,0.99651504,0.9717721,0.9425859,0.89850146,1.0216066,1.0230354,1.0216066,1.0183308,1.0115701,1.0126852,1.0123019,0.9995818,0.9679039,0.91963756,0.2,0.1,0.25,0.5,0.75,0.11235982,0.095694155,0.4615383,0.63548654,0.75502264,0.6,0.2,0.6,0.73333335,0.8666667,1.0,1.0,0.05,0.13333334,0.016666668,-0.4,-0.8,0.55,0.6,0.85,-0.0648846,-0.48927945,-0.40070438,-0.16678554,0.022585474,0.068459325,-0.1855745,0.09660986,0.23460855,0.20894688,0.4,0.5,0.5,0.46666667,0.56666666,0.6,0.5,0.5,0.53333336,0.43333334,-0.2,0.0,0.0,-0.06666667,0.13333334,0.3124986,0.32267356,0.59536743,0.5818106,0.6228088,0.6875014,0.67732644,0.40463257,0.4181894,0.3771912,-0.37500277,-0.35465288,0.19073485,0.1636212,0.24561763,1.0012935,1.0160332,1.096125,1.0982753,1.0724592,0.32145077,0.33644044,0.49258628,0.46010324,0.43564326,0.801188,0.938727,0.9879793,0.95000744,0.94119555,0.41804492,0.54682153,0.47318572,0.509987,0.49989393,0.5819551,0.45317847,0.5268143,0.490013,0.50010604,-0.16391014,0.09364306,-0.05362858,0.019973975,-0.00021212803,0,0
2014-01-14,4.5102773,4.540033,4.554127,4.4844375,13718429.0,0.0065972866,0.015451323,0.4269723,0.0031249416,0.20224427,0.0057290946,0.37078345,0.00920144,0.59551144,0.99344593,1.0031044,0.9877544,1.0072439,1.012763,0.96447045,0.94765437,0.8988445,1.0037599,1.005157,1.0017506,0.985791,0.95389646,0.009218384,0.007875425,0.011848554,0.025508028,0.03892776,-0.004622283,-0.0012742154,0.0009141088,0.0024691306,0.0021104873,0.62855536,0.23996572,0.20832105,0.7261663,0.89649206,0.0054846797,0.00057703373,-0.010434617,-0.02159345,-0.016155818,1.0170748,1.0224215,1.0224215,1.0224215,1.0224215,0.98637456,0.98637456,0.9641255,0.9329941,0.8937564,1.0112108,1.0112108,1.0112108,1.0079683,1.0012764,0.9979648,1.0008279,0.99092793,0.9583304,0.9107968,0.4,0.2,0.35,0.56666666,0.78333336,0.4438218,0.37799236,0.6153855,0.7492771,0.82573766,0.4,0.1,0.55,0.7,0.85,0.8,0.9,0.15,0.1,0.26666668,-0.4,-0.8,0.4,0.6,0.5833333,-0.059014276,-0.4507105,-0.5009371,-0.17847933,0.029704418,0.32459986,-0.12968314,0.09351531,0.25192085,0.21456125,0.4,0.5,0.55,0.5,0.56666666,0.6,0.5,0.45,0.5,0.43333334,-0.2,0.0,0.1,0.0,0.13333334,0.4054055,0.40561268,0.6310435,0.6216431,0.6282527,0.59459454,0.5943873,0.3689565,0.37835684,0.37174731,-0.18918905,-0.18877462,0.26208702,0.24328631,0.25650534,0.9046732,0.8817073,0.9094256,0.90985227,0.8836359,0.23404197,0.2562755,0.4039784,0.37657553,0.3574694,0.64839005,0.79737335,0.90974784,0.93265945,0.92752904,0.60184175,0.5704475,0.51311827,0.51170623,0.5059431,0.39815828,0.42955253,0.48688173,0.48829377,0.49405688,0.20368345,0.14089496,0.026236529,0.023412464,0.011886209,1,0
2014-01-15,4.540033,4.525938,4.549429,4.5141926,12141231.0,-0.0031045654,0.0077612563,-0.4000081,0.0020696053,0.26665854,0.0025870854,0.33333334,-0.0025870854,-0.33333334,1.0031142,1.0051903,0.9974049,1.015744,1.0216264,0.9807958,0.9602077,0.9050174,1.0037371,1.0061246,1.0058305,0.99018747,0.95845014,0.008084069,0.006713666,0.010537443,0.0250772,0.038836095,-0.0033564065,-0.0008409412,0.00046725743,0.002351075,0.0020998886,0.4309522,0.1438213,0.06881926,0.681203,0.8917051,0.0029757742,-0.0023403615,-0.010269424,-0.024278037,-0.020396858,1.0202422,1.0245676,1.0256056,1.0256056,1.0256056,0.98944634,0.98944634,0.96712804,0.93589973,0.89653975,1.0097232,1.0111073,1.01436,1.0111073,1.0043945,0.9985813,1.0024914,0.99885815,0.9615398,0.913737,0.4,0.2,0.25,0.5,0.75,0.34269693,0.30049255,0.5621302,0.71456105,0.8016086,0.2,0.1,0.5,0.6666667,0.8333333,0.6,0.8,0.1,0.06666667,0.25,-0.4,-0.7,0.4,0.6,0.5833333,-0.41012955,-0.17726044,-0.49691838,-0.11495596,0.026607467,0.16228689,-0.09987143,0.07139365,0.21569394,0.21843694,0.2,0.4,0.5,0.46666667,0.55,0.8,0.6,0.5,0.53333336,0.45,-0.6,-0.2,0.0,-0.06666667,0.1,0.28229737,0.33421743,0.57634115,0.59504104,0.6201311,0.7177026,0.6657826,0.42365882,0.40495893,0.37986892,-0.43540525,-0.33156514,0.15268236,0.1900821,0.24026217,0.97069526,1.0383612,1.0154518,0.996613,1.0012728,0.22999476,0.25004154,0.45366603,0.38882408,0.40329385,0.7741843,0.80076385,0.95753974,0.9661779,0.9275206,0.43001714,0.55287904,0.48578447,0.45990643,0.50396526,0.5699828,0.447121,0.5142155,0.54009354,0.4960347,-0.1399657,0.10575804,-0.028431062,-0.08018712,0.007930577,0,0
