date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,44.46596,44.46596,44.690624,43.98116,14003658.0,0.0,0.01595524,0.0,0.0050524664,0.31666505,0.010902772,0.68333495,0.005850306,0.3666699,1.0,1.0050524,0.98909724,0.99667567,0.9317912,0.96290374,0.9170322,0.82130027,0.9973141,0.99278,0.97600037,0.97508734,0.93512374,0.004218681,0.008712558,0.023872582,0.023744376,0.053203557,0.0008908946,0.0021749553,0.0021551722,0.0009538001,0.0025165055,0.11149088,0.5712428,0.28525493,0.12505323,0.6823611,0.00090411474,-0.0025673262,0.0035254967,0.011082529,-0.009360653,1.0050524,1.0078444,1.0119663,1.0119663,1.0119663,0.98603904,0.93897057,0.91809624,0.90878874,0.78194386,0.9998934,0.9988032,0.99832475,0.9967554,0.99008095,0.9965962,0.98760784,0.94955444,0.94955444,0.8972476,1.0,1.0,1.0,1.0,1.0,0.73426884,0.886105,0.8725227,0.8840223,0.94797766,1.0,0.4,0.2,0.46666667,0.73333335,0.8,0.1,0.5,0.033333335,0.033333335,0.2,0.3,-0.3,0.43333334,0.7,0.50816137,-0.60433805,-0.48871443,-0.32454327,-0.09626344,0.7044249,0.5267867,0.3158694,0.29950792,0.2374255,0.8,0.7,0.65,0.6666667,0.6166667,0.2,0.3,0.35,0.33333334,0.38333333,0.6,0.4,0.3,0.33333334,0.23333333,0.5714349,0.8659121,0.58115286,0.6205572,0.6112217,0.4285651,0.13408792,0.41884714,0.3794428,0.38877836,0.14286979,0.73182416,0.16230573,0.24111441,0.22244331,0.7397945,1.0332036,1.3626988,1.3282796,1.280311,0.17173092,0.5471324,0.6458632,0.58192784,0.47395888,0.86871517,2.0884638,1.4538966,1.4144498,1.240979,1.0,0.43893433,0.4659578,0.49758115,0.50056994,0.0,0.5610657,0.5340422,0.5024188,0.4994301,1.0,-0.12213137,-0.06808441,-0.0048376764,0.0011398431,0,0
2014-01-03,44.46596,43.93977,44.48961,43.886562,11098162.0,-0.011833585,0.013561979,-0.8725559,0.00053180696,0.03921308,0.0011965871,0.08823101,-0.011168804,-0.82353795,1.0119753,1.0125135,0.9987891,1.0118405,0.99017715,0.97510755,0.93729824,0.79897726,1.0068891,1.0056511,0.9889329,0.9888544,0.9496725,0.0055652508,0.007466801,0.024117388,0.022237934,0.050678052,-0.00017490922,0.0009802214,0.00215822,0.0007094682,0.0023849008,0.0024694253,0.15797585,0.2802844,0.07888214,0.6754616,-0.0065393145,-0.010062143,-0.009435973,0.0008583236,-0.020027077,1.0170883,1.0199137,1.0240849,1.0240849,1.0240849,0.99784714,0.98223907,0.92909074,0.92909074,0.79130787,1.0107911,1.0107641,1.01028,1.0086919,1.0019375,1.0013993,1.0013993,0.96092564,0.96323997,0.9094457,0.2,0.2,0.55,0.53333336,0.76666665,0.11188918,0.47143027,0.74645925,0.74645925,0.89653236,0.8,0.3,0.15,0.43333334,0.71666664,0.6,0.1,0.45,0.6333333,0.016666668,0.2,0.2,-0.3,-0.2,0.7,0.5610342,-0.3509898,-0.4957986,-0.42214113,-0.12473896,0.860721,0.44237307,0.33465803,0.32235676,0.27020723,0.6,0.6,0.6,0.6333333,0.6166667,0.4,0.4,0.4,0.36666667,0.38333333,0.2,0.2,0.2,0.26666668,0.23333333,0.31667057,0.583149,0.55130404,0.58934087,0.6267823,0.68332946,0.416851,0.44869596,0.41065916,0.37321767,-0.36665887,0.166298,0.10260806,0.17868169,0.25356466,0.9855734,1.1307781,1.6837889,1.6720859,1.6075977,0.18777956,0.47734672,0.8306897,0.7376798,0.60305136,0.81079984,1.4380231,1.4159279,1.4129603,1.2697551,0.666116,0.301289,0.46529722,0.49627408,0.4915139,0.33388403,0.69871104,0.5347028,0.50372595,0.5084861,0.33223194,-0.39742205,-0.069405586,-0.0074518416,-0.016972173,0,0
2014-01-06,44.09349,43.30125,44.158527,42.99973,14116475.0,-0.017967282,0.026280483,-0.6836739,0.0014749744,0.05612433,0.006838227,0.26020172,-0.012604029,-0.47959653,1.018296,1.0197979,0.9930367,1.0165209,1.0025942,0.99931717,0.9705078,0.80420524,1.0184325,1.020221,1.0035498,1.0044191,0.96693957,0.011382663,0.008270067,0.024467332,0.021707984,0.047170606,-0.006089579,-0.0013148523,0.002073529,0.00047067096,0.0022093256,0.71552825,0.23171137,0.25137094,0.036433216,0.66907746,-0.006253368,-0.014304194,-0.023248333,-0.011243815,-0.0321147,1.0320863,1.0349532,1.039186,1.039186,1.039186,0.9930367,0.9930367,0.94279104,0.94279104,0.8349262,1.0256963,1.0256689,1.0251776,1.023566,1.0167121,1.0117968,1.0161659,0.9750954,0.9866465,0.92837244,0.2,0.1,0.35,0.36666667,0.68333334,0.17832053,0.16612372,0.5934847,0.5934847,0.808156,0.6,0.2,0.1,0.4,0.7,1.0,1.0,0.4,0.6,0.016666668,-0.4,-0.8,-0.3,-0.2,0.68333334,-0.43740672,-0.23017976,-0.49221206,-0.43189833,-0.07140806,0.36841303,0.21233657,0.30695686,0.2746996,0.275739,0.6,0.6,0.55,0.6,0.6166667,0.4,0.4,0.45,0.4,0.38333333,0.2,0.2,0.1,0.2,0.23333333,0.27839136,0.48210865,0.50135976,0.54195845,0.6204639,0.72160864,0.51789135,0.49864027,0.45804155,0.3795361,-0.4432173,-0.03578268,0.0027194917,0.08391691,0.24092783,0.85708845,0.86869776,1.3158815,1.3069832,1.2499559,0.13174784,0.36165032,0.65613216,0.58261216,0.4692959,0.9308782,1.2413045,1.4042479,1.4376191,1.2701083,0.7498726,0.46228832,0.49026656,0.49076903,0.48057666,0.25012738,0.5377117,0.50973344,0.509231,0.5194233,0.49974525,-0.075423375,-0.019466855,-0.018461917,-0.038846657,0,1
2014-01-07,43.45496,43.029278,43.673714,42.987892,14398943.0,-0.009795938,0.015782353,-0.6206893,0.0050340355,0.3189661,0.00095238036,0.060344636,-0.013877593,-0.8793107,1.0098928,1.0149767,0.9990382,1.0316024,1.0258312,1.0166253,0.984199,0.8620502,1.0185492,1.0240864,1.0090616,1.0112944,0.97535044,0.014985498,0.011865849,0.024663335,0.021367788,0.045292173,-0.009082181,-0.0028337445,0.002051609,0.0002209451,0.0020793306,0.91828614,0.52279955,0.2421886,0.008286122,0.64283663,-0.00038482723,-0.011334507,-0.02855191,-0.014498063,-0.036690693,1.0386096,1.0414948,1.0457543,1.0457543,1.0457543,0.9990382,0.9990382,0.9487501,0.9487501,0.8492719,1.0321792,1.0321517,1.0316573,1.0300356,1.0231383,1.0050565,1.0181919,0.98125863,0.99560326,0.9368783,0.2,0.1,0.3,0.26666668,0.6333333,0.024305439,0.022653762,0.52832633,0.52832633,0.76713264,0.4,0.1,0.05,0.36666667,0.68333334,1.0,1.0,0.35,0.56666666,0.033333335,-0.6,-0.9,-0.3,-0.2,0.65,-0.52565753,-0.49781784,-0.49178967,-0.4426526,-0.026107334,0.30493644,-0.11740932,0.29399198,0.2804864,0.30685362,0.4,0.5,0.5,0.56666666,0.6,0.6,0.5,0.5,0.43333334,0.4,-0.2,0.0,0.0,0.13333334,0.2,0.05077817,0.2929516,0.4664821,0.5224172,0.5894193,0.94922185,0.7070484,0.5335179,0.47758284,0.4105807,-0.89844364,-0.4140968,-0.06703581,0.044834327,0.1788386,0.9016679,0.77670735,1.2722013,1.2788289,1.2122645,0.113709435,0.17985064,0.6462496,0.5722858,0.45492917,0.9180794,0.9030925,1.4397157,1.4440593,1.2334244,0.71601,0.32057965,0.47692484,0.49685004,0.48125556,0.28399006,0.67942035,0.52307516,0.5031499,0.5187444,0.4320199,-0.35884067,-0.046150323,-0.006299912,-0.037488863,0,1
2014-01-08,43.259865,43.43132,43.975246,42.881485,18712364.0,0.0039633824,0.025283515,0.15675756,0.012573461,0.49729878,0.0087466715,0.34594366,0.00013659234,0.0054024267,0.99605227,1.0125238,0.9873401,1.0223249,1.0208272,1.0235502,1.011026,0.8533894,1.0046555,1.0125237,0.99854326,1.0015653,0.96876514,0.013142052,0.012360805,0.023785058,0.02110228,0.042550743,-0.0068608886,-0.0031895083,0.002412859,0.00026914143,0.001923882,0.6813564,0.61033094,0.36018324,0.012606778,0.62350863,0.009066249,0.0018290859,-0.021465426,-0.0054678554,-0.025519684,1.0289953,1.0289953,1.0318537,1.0360738,1.0360738,0.9873401,0.9873401,0.9399676,0.9399676,0.8414102,1.0141301,1.0225972,1.0210724,1.0205005,1.0136671,0.99575275,0.99940103,0.9721751,0.98638695,0.93169075,0.6,0.3,0.5,0.43333334,0.7,0.3039209,0.3039209,0.6533349,0.6246464,0.8146863,0.2,0.6,0.5,0.33333334,0.6666667,1.0,1.0,0.3,0.53333336,0.016666668,-0.8,-0.4,0.2,-0.2,0.65,-0.35311732,-0.6361629,-0.59191644,-0.4834237,-0.04662417,0.49965215,0.2731891,0.26391774,0.16205625,0.3106297,0.4,0.5,0.5,0.56666666,0.6166667,0.6,0.5,0.5,0.43333334,0.38333333,-0.2,0.0,0.0,0.13333334,0.23333333,0.24534675,0.3435627,0.45065594,0.48290473,0.5948567,0.7546532,0.65643734,0.54934406,0.51709527,0.40514332,-0.5093065,-0.31287464,-0.098688126,-0.034190524,0.18971333,0.7730675,0.629468,0.9509886,0.9615773,0.9372987,0.14565472,0.18768227,0.4783036,0.42070785,0.34916013,0.5829878,0.8664668,1.5099355,1.4985406,1.2160342,0.78030723,0.63549876,0.4507283,0.46081278,0.5084953,0.21969277,0.36450127,0.5492717,0.5391872,0.49150473,0.56061447,0.27099746,-0.09854341,-0.07837443,0.016990533,1,0
2014-01-09,43.88656,43.927944,44.377274,43.614594,14927506.0,0.0009430143,0.017378444,0.05426345,0.010238429,0.5891453,0.0061970004,0.35659125,-0.0030984133,-0.17829062,0.9990579,1.0102288,0.9928667,1.0122477,1.0088826,0.97994596,1.0040377,0.8596232,0.99084795,1.0001885,0.988257,0.9901076,0.96015245,0.00909852,0.011909495,0.023615468,0.02078452,0.040386222,0.0002422572,-0.0026917793,0.002452267,0.00042419386,0.0018048679,0.00177236,0.46827787,0.37740746,0.032281257,0.60914993,0.0086675575,0.011924582,-0.011553551,0.0037415943,-0.013396077,1.012786,1.0173621,1.0201882,1.0243605,1.0243605,0.9761778,0.9761778,0.92934084,0.92934084,0.85370123,1.0000539,1.0110363,1.0095286,1.0089633,1.0022072,0.98449534,0.9881024,0.9611843,0.97523546,0.9244147,0.8,0.4,0.55,0.53333336,0.75,0.650733,0.57842934,0.77777904,0.7436261,0.8572561,0.2,0.5,0.45,0.3,0.65,0.8,0.9,0.25,0.5,0.016666668,-0.6,-0.4,0.2,-0.2,0.6333333,-0.38244087,-0.5948871,-0.6411306,-0.5037278,-0.06745919,-0.06690531,0.10905278,0.43089145,0.15760389,0.3038288,0.4,0.6,0.55,0.56666666,0.6166667,0.6,0.4,0.45,0.43333334,0.38333333,-0.2,0.2,0.1,0.13333334,0.23333333,0.38481015,0.44210708,0.5465925,0.4938016,0.59241545,0.61518985,0.5578929,0.45340753,0.5061984,0.40758452,-0.23037972,-0.11578585,0.09318493,-0.012396818,0.18483096,0.981456,0.8377327,1.0955306,1.1924224,1.1752449,0.18205824,0.22185104,0.4385901,0.5274917,0.43756342,0.28731057,0.70985395,1.5555536,1.4798878,1.2247413,0.53229207,0.67593277,0.34882447,0.4811672,0.5004422,0.4677079,0.32406723,0.65117556,0.5188328,0.49955782,0.06458418,0.35186556,-0.30235106,-0.03766561,0.0008843678,1,1
2014-01-10,44.3418,44.264942,44.36545,43.46679,14328410.0,-0.0017333198,0.020266714,-0.08552545,0.0005333821,0.026318135,0.018000012,0.8881564,0.01573331,0.7763128,1.0017363,1.0022706,0.98196876,0.99265397,1.0044074,0.9431014,0.9933216,0.84947234,0.98477364,0.992133,0.98357815,0.9827923,0.9553514,0.0112543935,0.011403374,0.022038931,0.02078178,0.03816397,0.0063843974,-0.0014773101,0.0021146515,0.0006075687,0.0016932302,0.80451775,0.15384662,0.3222289,0.06624103,0.600378,0.0024575938,0.014514851,-0.003667328,0.008397934,-0.005301728,1.0025377,1.0096167,1.0124213,1.0165619,1.0165619,0.968746,0.968746,0.9222656,0.9222656,0.85281146,0.9939094,1.0028584,1.001843,1.001282,0.9955389,0.9770002,0.98057973,0.96845186,0.9678108,0.92055565,1.0,0.7,0.7,0.76666665,0.8833333,0.92490155,0.76470464,0.8622241,0.8243631,0.8988588,0.8,0.4,0.4,0.26666668,0.6333333,0.6,0.8,0.2,0.46666667,0.016666668,0.2,-0.4,0.2,-0.2,0.6166667,-0.11615822,-0.45281,-0.57669854,-0.5053878,-0.10543736,-0.46975762,0.045966513,0.35344693,0.15010984,0.301264,0.6,0.6,0.6,0.6,0.6333333,0.4,0.4,0.4,0.4,0.36666667,0.2,0.2,0.2,0.2,0.26666668,0.5757569,0.4726382,0.64832985,0.51018775,0.5993303,0.42424306,0.5273618,0.35167015,0.48981223,0.40066966,0.15151386,-0.05472362,0.2966597,0.02037555,0.19866066,1.067581,0.9154816,1.0919399,1.2400781,1.2253038,0.13487789,0.207827,0.41175696,0.550409,0.45534045,0.31995443,0.6098031,1.697205,1.4640287,1.2190703,0.63461435,0.6478572,0.4122819,0.49682975,0.5013266,0.36538565,0.35214278,0.5877181,0.50317025,0.49867338,0.2692287,0.2957144,-0.17543621,-0.0063404986,0.0026532456,1,1
2014-01-13,44.430485,43.242123,44.507343,42.922863,15443216.0,-0.026746549,0.035662007,-0.7500012,0.0017298601,0.048507087,0.007185599,0.20149171,-0.021290809,-0.5970166,1.0274816,1.029259,0.99261695,1.0013673,1.0179108,0.9607601,1.0203717,0.8975936,1.0077933,1.0138092,1.008805,1.0053595,0.97965544,0.011733643,0.012615256,0.01988985,0.02112466,0.03771001,0.0029122338,-0.0022091416,0.0013392877,0.00068183,0.0016332356,0.15400213,0.2811036,0.15869117,0.08073735,0.5721161,-0.013617765,-0.0038680595,-0.02152825,-0.015246091,-0.027835885,1.029259,1.0334975,1.0363684,1.040607,1.040607,0.99166006,0.99166006,0.9440802,0.9440802,0.8922613,1.0174187,1.0265794,1.0255399,1.0249656,1.0190867,0.99901557,1.0010939,0.99901557,0.99070275,0.9430954,0.4,0.2,0.25,0.33333334,0.6,0.22181371,0.19934213,0.60592574,0.57931906,0.72626776,1.0,0.3,0.35,0.23333333,0.6166667,0.4,0.7,0.15,0.43333334,0.016666668,0.6,-0.4,0.2,-0.2,0.6,-0.23766482,-0.57222164,-0.55705863,-0.49986959,-0.12777631,-0.19218327,0.0022189198,0.2884758,0.14151104,0.29929525,0.6,0.6,0.6,0.56666666,0.6166667,0.4,0.4,0.4,0.43333334,0.38333333,0.2,0.2,0.2,0.13333334,0.23333333,0.48831677,0.4065628,0.591112,0.4713573,0.566389,0.5116832,0.5934372,0.40888798,0.5286427,0.43361098,-0.023366459,-0.1868744,0.18222405,-0.057285454,0.13277805,1.0076973,0.8955763,0.99704725,1.1538513,1.138301,0.11770127,0.16300598,0.37508097,0.50933075,0.42183873,0.58299726,0.75337726,1.59729,1.4019381,1.2239932,0.5657151,0.66424644,0.4663415,0.50511634,0.5022481,0.43428493,0.33575356,0.5336585,0.49488366,0.4977519,0.13143013,0.32849285,-0.06731701,0.0102327075,0.0044962293,0,1
2014-01-14,43.484516,44.335873,44.442295,43.05292,19054036.0,0.019578382,0.031951,0.61276275,0.0024473637,0.07659741,0.009925254,0.31063983,0.027056273,0.8468052,0.9807976,1.0024004,0.9710629,0.9705296,1.0012007,0.9521271,0.99759996,0.8982532,0.9888255,0.9886788,0.9863118,0.9806377,0.9571835,0.011042071,0.01217475,0.018185588,0.020676507,0.036440138,0.002533577,-0.0007168858,0.0010340246,0.00090797665,0.0015689076,0.13161553,0.031782735,0.11315537,0.14945029,0.56537235,0.0061073704,0.014547167,0.003864961,0.006196639,-0.0034662443,1.0038675,1.0080014,1.0108016,1.0149356,1.0149356,0.96719617,0.96719617,0.9207901,0.9207901,0.87385017,0.9987201,1.0002935,1.0002401,1.0,0.99487966,0.97874427,0.9763973,0.9763973,0.96626246,0.9201763,1.0,0.8,0.775,0.81666666,0.90833336,0.8945353,0.8039114,0.87999785,0.84135646,0.89413804,0.8,0.2,0.3,0.2,0.6,0.2,0.6,0.1,0.4,0.25,0.6,-0.4,0.2,-0.2,0.35,-0.03552535,-0.20664924,-0.488606,-0.46194252,-0.14052516,0.12072015,0.11919624,0.34106523,0.17493643,0.3182985,0.8,0.6,0.6,0.56666666,0.6166667,0.2,0.4,0.4,0.43333334,0.38333333,0.6,0.2,0.2,0.13333334,0.23333333,0.6948842,0.49452972,0.6089866,0.5032511,0.5674624,0.3051158,0.5054703,0.39101338,0.49674892,0.4325376,0.3897684,-0.010940525,0.21797325,0.006502122,0.13492483,0.8655965,0.77348894,0.8077573,0.95402515,0.92793477,0.11653779,0.13690932,0.30376768,0.40194884,0.34053358,0.59968936,0.8435748,1.5563096,1.322404,1.2167989,0.67339987,0.69182986,0.49913558,0.5366195,0.5101525,0.32660013,0.30817014,0.5008644,0.4633805,0.48984745,0.34679973,0.38365972,-0.0017288313,0.07323901,0.020305092,1,1
2014-01-15,44.47188,44.477795,44.584213,44.004814,17292764.0,0.0001329555,0.013028437,0.010205022,0.0023929414,0.18367065,0.01050254,0.8061243,0.008242554,0.6326587,0.9998671,1.0023926,0.98936594,0.97647196,0.99827164,0.949355,0.9905619,0.9066858,0.9903759,0.9856969,0.98569685,0.97782326,0.9556845,0.011120031,0.0123480745,0.016631695,0.02088683,0.036255702,0.0026319458,0.0009248329,0.000737394,0.0011402078,0.0015586868,0.1400496,0.051420882,0.06880092,0.23095357,0.56372195,0.004360223,0.010141323,0.0072978754,0.005643754,-0.0016657384,1.0023926,1.0047851,1.0075762,1.011697,1.011697,0.96504027,0.96410996,0.917852,0.917852,0.8710618,0.9974473,0.9973941,0.99805915,0.9970485,0.99210376,0.98455375,0.97328174,0.9755681,0.96317923,0.9208291,1.0,1.0,1.0,1.0,1.0,0.9359445,0.8823587,0.9155607,0.8753577,0.9168269,1.0,0.1,0.25,0.16666667,0.5833333,0.6,0.5,0.05,0.36666667,0.23333333,0.4,-0.4,0.2,-0.2,0.35,0.41802692,0.0942036,-0.4102919,-0.46322948,-0.11050952,0.087328054,0.09513507,0.3404756,0.23953144,0.30826038,0.8,0.6,0.6,0.6,0.6166667,0.2,0.4,0.4,0.4,0.38333333,0.6,0.2,0.2,0.2,0.23333333,0.6692167,0.5076937,0.61414176,0.51284885,0.5627461,0.3307833,0.4923063,0.38585827,0.48715112,0.4372539,0.33843338,0.0153874345,0.2282835,0.025697753,0.1254922,0.93733925,0.88693476,0.8812173,1.0462668,1.0139309,0.11210978,0.13946186,0.3290484,0.44259784,0.36970195,0.76101714,0.7858021,1.5322199,1.3272567,1.2411691,0.43470612,0.6243909,0.48014212,0.4906864,0.48474807,0.56529385,0.3756091,0.5198579,0.5093136,0.51525193,-0.13058774,0.24878183,-0.03971575,-0.01862721,-0.030503843,1,1
