date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,11.116802,11.093482,11.139625,11.045046,182756580.0,-0.0020977433,0.0085077295,-0.24656913,0.0020529628,0.2413056,0.004357023,0.51212525,0.00020631713,0.024250552,1.0021021,1.0041595,0.99563384,0.99885005,0.9611363,0.9462232,0.9267194,0.7777598,1.0024346,0.9951919,0.9781852,0.9650053,0.9238655,0.004042618,0.011681019,0.020000124,0.026063224,0.06210269,-0.0005722657,0.0030298713,0.0030260198,0.0027968248,0.0030930468,0.05009681,0.6167346,0.80120957,0.89243376,0.75657505,-0.0012900565,-0.00882629,-0.00693236,-0.00555921,-0.01511036,1.0070792,1.0070792,1.0070792,1.0070792,1.0070792,0.9938371,0.9514159,0.94329447,0.9166667,0.7573128,1.0051584,1.0040679,1.0003557,0.9971396,0.9679639,0.9993424,0.986183,0.9611435,0.94710004,0.90847886,0.4,0.6,0.8,0.8666667,0.93333334,0.46540117,0.87282085,0.88901395,0.9217009,0.9716567,0.8,0.9,0.95,0.96666664,0.98333335,0.8,0.1,0.05,0.06666667,0.033333335,0.0,0.8,0.9,0.9,0.95,0.05462946,-0.43495628,-0.06573121,0.23581709,-0.22007786,0.38810438,0.31494695,0.1938415,0.24546015,0.4058548,0.6,0.7,0.6,0.53333336,0.53333336,0.4,0.3,0.4,0.46666667,0.46666667,0.2,0.4,0.2,0.06666667,0.06666667,0.51863813,0.7611058,0.6929723,0.68593574,0.72309804,0.48136187,0.23889421,0.3070277,0.3140643,0.27690196,0.03727627,0.5222116,0.3859446,0.37187144,0.44619608,0.8040805,0.9287414,0.8953233,0.84771454,0.9991914,0.12819262,0.37183383,0.2821497,0.26715124,0.7846541,0.5629181,0.95244586,0.8248455,0.8629526,5.1558642,0.8098348,0.52013,0.5074062,0.5022618,0.5061791,0.19016522,0.47987002,0.49259385,0.49773818,0.4938209,0.61966956,0.040259976,0.014812291,0.0045236293,0.01235819,0,1
2014-01-03,11.112218,11.012557,11.1314535,11.01186,167231970.0,-0.008968585,0.010762353,-0.8333293,0.0017310325,0.16084145,6.2735984e-05,0.0058292067,-0.010636882,-0.98834157,1.0090498,1.0107964,0.9999367,1.011276,0.98167413,0.9576289,0.92778283,0.772552,1.0075457,1.0043375,0.98749185,0.97450376,0.93444526,0.0058048973,0.009338675,0.01928543,0.02534663,0.059639405,-0.0020941151,0.0015267795,0.0028191402,0.002691788,0.002961487,0.3253509,0.24501549,0.74789864,0.87406343,0.75206065,-0.0033574705,-0.01120806,-0.014273682,-0.013534686,-0.021809103,1.0144796,1.0144796,1.0144796,1.0144796,1.0144796,0.9999367,0.976543,0.9512126,0.9234027,0.7628778,1.0125448,1.0114461,1.0077068,1.004467,0.9768724,1.0032289,0.99920726,0.96827334,0.95635116,0.91557103,0.2,0.3,0.65,0.76666665,0.8833333,0.0043528746,0.61832017,0.7711343,0.8410172,0.94245005,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.1,0.05,0.033333335,0.016666668,-0.4,0.7,0.85,0.9,0.95,-0.168137,-0.33797047,-0.13820337,0.2026046,-0.20925939,0.30303743,0.2595622,0.2268292,0.21690439,0.431607,0.4,0.6,0.55,0.53333336,0.53333336,0.6,0.4,0.45,0.46666667,0.46666667,-0.2,0.2,0.1,0.06666667,0.06666667,0.33088994,0.63310146,0.6478838,0.68044466,0.72828674,0.66911006,0.36689854,0.35211623,0.3195553,0.2717133,-0.3382201,0.2662029,0.29576758,0.36088938,0.45657343,0.9181959,0.982342,0.9926923,0.9371122,1.0891795,0.1410979,0.39141223,0.3020447,0.2884307,0.8575202,0.5044403,0.9950259,0.79377425,0.84702706,5.1890264,0.6259586,0.45867446,0.5250591,0.5203145,0.4967196,0.3740414,0.5413255,0.4749409,0.47968546,0.5032804,0.2519172,-0.08265107,0.05011823,0.040629067,-0.00656078,0,1
2014-01-06,11.092385,11.13534,11.150687,11.026908,177528400.0,0.0038724262,0.011158943,0.34702447,0.0013836051,0.12399069,0.0059029115,0.52898484,0.008391733,0.75201863,0.9961425,1.0013783,0.9902624,1.0009665,0.9721655,0.946318,0.9149661,0.7659936,0.99624276,0.9960468,0.97928745,0.96659297,0.92804176,0.0055637346,0.005681108,0.01835004,0.024150547,0.056008976,8.992613e-07,0.00047088126,0.002644102,0.0025594241,0.0027851427,6.53099e-08,0.06297499,0.72669196,0.87042683,0.75418776,0.0037554181,0.0018342641,-0.0044064415,-0.0037046059,-0.010203489,1.0032936,1.0032936,1.0032936,1.0032936,1.0032936,0.988911,0.97375864,0.94681025,0.9182687,0.76988685,1.0006068,1.0002936,0.99841046,0.9953245,0.9707854,0.99216694,0.99216694,0.9597752,0.9469194,0.9078473,0.8,0.7,0.85,0.9,0.95,0.7710007,0.88848454,0.9416889,0.961263,0.98588896,0.4,0.7,0.85,0.9,0.95,0.8,0.1,0.3,0.033333335,0.016666668,-0.4,0.6,0.55,0.8666667,0.93333334,-0.049153928,-0.41704682,-0.23935474,0.1297191,-0.15873055,0.24568816,0.24652208,0.21741998,0.20281401,0.43533045,0.4,0.6,0.6,0.56666666,0.53333336,0.6,0.4,0.4,0.43333334,0.46666667,-0.2,0.2,0.2,0.13333334,0.06666667,0.48880157,0.67890006,0.67664033,0.7060507,0.73319656,0.5111984,0.32109994,0.32335967,0.29394934,0.26680344,-0.022396857,0.3578001,0.35328063,0.41210133,0.4663931,0.8875049,0.9312236,0.9530801,0.897939,1.0177,0.14651406,0.3694587,0.2761819,0.2647937,0.80540305,0.27335784,0.84674495,0.71811074,0.8041611,5.1601415,0.58484024,0.508444,0.5333668,0.5307377,0.4894016,0.4151598,0.49155596,0.4666332,0.4692623,0.51059836,0.16968042,0.016888065,0.06673361,0.06147537,-0.021196783,1,1
2014-01-07,11.211879,11.350009,11.358281,11.173609,256126110.0,0.012319986,0.016471134,0.74797434,0.00073780416,0.04479377,0.0034133438,0.20723186,0.014995526,0.91041243,0.9878299,1.0007288,0.98445815,0.97418475,0.9664226,0.939422,0.907987,0.7623765,0.9825633,0.9805657,0.9637945,0.95137835,0.9144496,0.011026152,0.007958226,0.019274108,0.024242967,0.052606966,0.0035561773,0.0009861542,0.0028175781,0.002566394,0.0026281662,0.2600512,0.14075656,0.747948,0.8685139,0.7612354,0.010324327,0.014996602,0.00943846,0.011408959,0.008019512,1.0007288,1.0007288,1.0007288,1.0007288,1.0007288,0.97020715,0.97020715,0.9289027,0.9037283,0.75979495,0.98725045,0.9824404,0.981111,0.97774625,0.95274574,0.97597253,0.9758566,0.9451803,0.92931885,0.89138263,1.0,1.0,1.0,1.0,1.0,0.97612107,0.97612107,0.9898529,0.99248636,0.996975,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.25,0.033333335,0.016666668,0.4,0.2,0.75,0.96666664,0.98333335,0.6544716,0.5356636,-0.09056256,0.17460495,-0.093261495,0.3961316,0.20425749,0.2624127,0.25023136,0.4479643,0.6,0.6,0.6,0.56666666,0.53333336,0.4,0.4,0.4,0.43333334,0.46666667,0.2,0.2,0.2,0.13333334,0.06666667,0.7416966,0.70327425,0.6929355,0.7180125,0.7374859,0.2583034,0.29672578,0.30706444,0.2819875,0.2625141,0.48339316,0.40654847,0.38587108,0.43602502,0.4749718,0.71831083,0.6176824,0.68262106,0.6414639,0.7073386,0.17248829,0.18510953,0.20411286,0.1921434,0.55907995,0.7382148,0.92035,0.81737244,0.88527507,5.12447,0.90484655,0.4333979,0.5561194,0.5530818,0.5035399,0.095153466,0.5666021,0.44388062,0.4469182,0.49646005,0.8096931,-0.1332042,0.11223875,0.10616361,0.0070798835,1,0
2014-01-08,11.421168,11.37363,11.434323,11.294498,225006910.0,-0.0041623376,0.012242606,-0.33998787,0.0011518071,0.09408186,0.0069284616,0.5659303,0.001614317,0.13186057,1.0041797,1.0053364,0.9930426,0.98201936,0.9771036,0.9447175,0.904191,0.7640791,0.9841189,0.9808189,0.96455705,0.9525961,0.9164825,0.014113374,0.010403899,0.020576492,0.024341853,0.0499628,0.007893233,0.002060192,0.00308793,0.002575696,0.0025144217,0.7819664,0.35944673,0.7882432,0.86772794,0.77247155,9.4666204e-05,0.009910219,0.006107592,0.010056257,0.00934208,1.0053364,1.0053364,1.0053364,1.0053364,1.0053364,0.9681922,0.9681922,0.9269735,0.9069337,0.7582959,0.9983386,0.98520017,0.9793363,0.9774927,0.9543212,0.9739457,0.9738299,0.9432174,0.9282563,0.89014834,1.0,1.0,1.0,1.0,1.0,0.85633373,0.85633373,0.93190193,0.9457702,0.97839886,1.0,1.0,1.0,1.0,1.0,0.4,0.7,0.2,0.033333335,0.016666668,0.6,0.3,0.8,0.96666664,0.98333335,0.93767697,0.6321898,-0.015578944,0.19976075,-0.09054518,0.4178762,0.44079167,0.2668802,0.25983998,0.45325178,0.6,0.6,0.6,0.6,0.53333336,0.4,0.4,0.4,0.4,0.46666667,0.2,0.2,0.2,0.2,0.06666667,0.6975359,0.6594266,0.682457,0.7272992,0.7368486,0.30246416,0.34057337,0.31754303,0.2727008,0.2631514,0.39507172,0.3188533,0.36491394,0.4545984,0.47369716,0.8965502,0.7263389,0.7939734,0.7448712,0.8113613,0.16683292,0.2304985,0.2357761,0.22162431,0.6364607,0.8857333,1.0505521,0.84894896,0.8766251,5.1276054,0.74378127,0.56363726,0.53699887,0.5355301,0.51005256,0.25621876,0.43636274,0.46300113,0.4644699,0.48994747,0.4875625,0.12727451,0.07399771,0.07106017,0.020105088,1,0
2014-01-09,11.395655,11.264102,11.403427,11.217461,209152420.0,-0.01154411,0.01631907,-0.7074,0.00068205345,0.04179487,0.0040929066,0.25080514,-0.008133258,-0.49838975,1.0116789,1.0123689,0.99585927,0.9848528,0.9837202,0.9596722,0.9254052,0.77515393,0.9967175,0.991984,0.97595245,0.96434534,0.9291414,0.013492685,0.010623227,0.021270448,0.024536705,0.04735551,0.0065817917,0.0021638738,0.00326508,0.0025954088,0.0024065317,0.59488297,0.38033155,0.8247121,0.86712325,0.7876657,-0.009881074,-0.0017214165,-0.006970687,-0.0019787361,-0.00013410517,1.0151118,1.0151118,1.0151118,1.0151118,1.0151118,0.97760653,0.97760653,0.93598706,0.9227598,0.77328706,1.008046,1.0015253,0.9899331,0.9885936,0.9745682,0.98638874,0.9842051,0.9523888,0.9383405,0.90283656,0.6,0.8,0.9,0.93333334,0.96666664,0.5970744,0.5970744,0.80901253,0.8363671,0.9375091,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.6,0.15,0.033333335,0.016666668,0.6,0.3,0.8,0.93333334,0.96666664,0.9337465,0.7483037,0.03456509,0.24322085,-0.11536453,0.8444966,0.47436243,0.2685226,0.24703997,0.45540497,0.6,0.6,0.55,0.56666666,0.51666665,0.4,0.4,0.45,0.43333334,0.48333332,0.2,0.2,0.1,0.13333334,0.033333335,0.65468013,0.60258734,0.62849575,0.6775171,0.7208866,0.34531987,0.39741266,0.37150422,0.32248288,0.27911344,0.30936027,0.20517468,0.25699154,0.35503423,0.44177315,0.98975265,0.8461776,0.85969055,0.80887485,0.87958896,0.17226148,0.20413038,0.25565535,0.24108532,0.68392795,0.7986402,0.8958598,0.8253294,0.8776776,5.096602,0.58717686,0.7068889,0.51146513,0.5171985,0.5101426,0.41282314,0.29311106,0.48853487,0.48280147,0.48985735,0.17435375,0.41377786,0.022930264,0.03439704,0.020285284,0,1
2014-01-10,11.352202,11.263503,11.352202,11.184472,215070370.0,-0.007813403,0.014775136,-0.5288211,0.0,0.0,0.006961732,0.4711789,-0.00085167174,-0.05764223,1.007875,1.007875,0.99298346,0.97772044,0.9887452,0.9532022,0.9364969,0.78041553,1.0012264,0.9931622,0.9783442,0.96651334,0.93285054,0.008314695,0.010830499,0.021205109,0.024786044,0.044033963,0.0015130257,0.0023789157,0.0032480154,0.002632835,0.0022705786,0.08278276,0.4422549,0.8211513,0.874449,0.8109562,-0.0042524543,-0.0038673282,-0.009200358,-0.0046894588,0.0001673612,1.0151658,1.0151658,1.0151658,1.0151658,1.0151658,0.97899455,0.9776585,0.9360368,0.9281885,0.7821852,1.0080996,1.0015786,0.9932967,0.98891157,0.97850966,0.9977243,0.98425746,0.95772004,0.940245,0.90441525,0.4,0.7,0.85,0.9,0.95,0.58072215,0.59565675,0.80834055,0.82563484,0.93490523,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.5,0.1,0.13333334,0.016666668,0.4,0.3,0.8,0.8,0.95,0.90018266,0.78012913,0.07199526,0.3375958,-0.10976044,0.82513124,0.55749756,0.25923425,0.215319,0.45552883,0.6,0.5,0.55,0.53333336,0.5,0.4,0.5,0.45,0.46666667,0.5,0.2,0.0,0.1,0.06666667,0.0,0.7662845,0.5756057,0.6555127,0.6594531,0.71791846,0.23371544,0.4243943,0.3444873,0.34054688,0.28208154,0.5325691,0.15121138,0.31102538,0.31890625,0.43583688,1.0070046,0.86048245,0.8461038,0.7843966,0.8596749,0.13186842,0.1921783,0.25109127,0.23201038,0.6651993,1.0241065,0.97956795,0.8856509,0.9367396,5.119894,0.66869956,0.6481733,0.5216403,0.49454606,0.50669974,0.33130044,0.35182673,0.47835967,0.50545394,0.49330023,0.3373991,0.29634655,0.043280635,-0.010907893,0.013399535,0,1
2014-01-13,11.226529,11.191748,11.430237,11.133844,242705780.0,-0.0030981486,0.026401075,-0.117349334,0.018145207,0.68729043,0.00515772,0.19536021,-0.016085636,-0.6092796,1.0031078,1.0213094,0.99482626,0.9949599,0.99592155,0.9527863,0.9466865,0.79968476,1.0086538,0.99993765,0.9869775,0.97448725,0.9421701,0.0065677147,0.010825978,0.020216443,0.02492613,0.041083433,-0.0038121757,0.0021792636,0.0029860132,0.0026463058,0.0021495707,0.8422816,0.37144697,0.763558,0.8735185,0.83496803,-0.0010293984,-0.009744354,-0.01534463,-0.012858664,-0.005582422,1.0216745,1.0216745,1.0216745,1.0216745,1.0216745,0.99482626,0.9839268,0.9420382,0.9341395,0.78873175,1.014563,1.0080001,1.0012823,0.996333,0.9883845,1.0051292,0.990568,0.9670039,0.95108193,0.910668,0.2,0.6,0.8,0.8666667,0.93333334,0.19270332,0.42580673,0.72783136,0.7523903,0.9069535,0.4,0.7,0.85,0.9,0.95,1.0,0.4,0.05,0.1,0.016666668,-0.6,0.3,0.8,0.8,0.93333334,0.14315294,0.7245338,0.08584102,0.33810115,-0.06699,0.7489933,0.51798785,0.23275836,0.23579377,0.44868606,0.4,0.4,0.55,0.5,0.48333332,0.6,0.6,0.45,0.5,0.51666665,-0.2,-0.2,0.1,0.0,-0.033333335,0.56712484,0.52533746,0.6560144,0.6315534,0.7006368,0.43287516,0.47466257,0.34398562,0.36844662,0.2993632,0.1342497,0.05067486,0.31202874,0.26310676,0.40127358,0.94605213,0.7976111,0.76676345,0.7129323,0.76462275,0.08046838,0.1801815,0.22819746,0.20811382,0.5901987,1.0758934,0.843274,0.8700846,0.9055459,5.1658344,0.7047996,0.65371233,0.54058146,0.55306196,0.5050124,0.2952004,0.3462877,0.45941854,0.44693807,0.49498758,0.40959918,0.30742463,0.08116292,0.10612387,0.010024828,0,1
2014-01-14,11.3409395,11.455053,11.470999,11.242675,249098560.0,0.0100621125,0.020132719,0.49978906,0.0014060065,0.06983689,0.008664599,0.43037403,0.017320706,0.86032623,0.9900381,1.001392,0.98145986,0.9908299,0.9652514,0.92290753,0.92186344,0.7732642,0.9873029,0.980428,0.9681455,0.95469224,0.9242923,0.009086999,0.011927385,0.018747488,0.02517375,0.036554266,0.000789985,0.0026061572,0.0027740858,0.0026861464,0.001980892,0.018894559,0.43764526,0.7663404,0.8823995,0.8956642,0.011117152,0.007844312,0.0055007013,0.006358642,0.01727138,1.001392,1.001392,1.001392,1.001392,1.001392,0.9719592,0.9613102,0.92138505,0.9126674,0.8473986,0.99431354,0.9912423,0.9832886,0.97543406,0.9675447,0.98202527,0.9713589,0.95505476,0.9308056,0.8915173,1.0,1.0,1.0,1.0,1.0,0.95270586,0.965271,0.9826015,0.984311,0.99096066,1.0,1.0,1.0,1.0,1.0,0.8,0.3,0.15,0.06666667,0.016666668,0.2,0.7,0.85,0.93333334,0.98333335,0.3590924,0.71704155,0.25948557,0.35984293,0.1240762,0.056654446,0.29619738,0.2609779,0.2089117,0.4975998,0.4,0.5,0.6,0.53333336,0.5,0.6,0.5,0.4,0.46666667,0.5,-0.2,0.0,0.2,0.06666667,0.0,0.6120334,0.6851476,0.73670995,0.67929757,0.7255309,0.38796657,0.31485242,0.26329008,0.32070243,0.2744691,0.22406684,0.37029517,0.47341987,0.3585951,0.45106182,0.9161306,0.8273532,0.7535345,0.7119543,0.73308986,0.06931688,0.15771005,0.2279254,0.20600975,0.56187963,1.1683465,0.90667224,0.94863075,0.9635682,5.134635,0.45957452,0.75008,0.5166239,0.5528612,0.4771619,0.5404255,0.24992003,0.4833761,0.4471388,0.52283806,-0.08085095,0.5001599,0.033247817,0.1057224,-0.045676157,1,1
2014-01-15,11.49083,11.447279,11.510862,11.399142,195682100.0,-0.0037901043,0.009722542,-0.38982645,0.0017432969,0.17930463,0.004189141,0.4308689,-0.00134426,-0.13826218,1.0038046,1.0055544,0.9957949,0.9935662,0.9757013,0.9341471,0.9180408,0.8805436,0.98926014,0.9835237,0.9720956,0.9580726,0.926911,0.010438197,0.013129368,0.01812582,0.025449112,0.037365276,0.004873684,0.0032796685,0.002674443,0.002718856,0.0020301049,0.54500914,0.5719837,0.7619726,0.88456315,0.90032715,0.0009924736,0.0017177868,0.0024971534,0.0025040077,0.013200932,1.0055544,1.0055544,1.0055544,1.0055544,1.0055544,0.9726193,0.9619631,0.9220108,0.9132872,0.8669446,1.0001358,0.99485296,0.98549914,0.9789312,0.96943814,0.98269224,0.9720186,0.96126133,0.93150216,0.89279306,0.8,0.9,0.95,0.96666664,0.98333335,0.8313519,0.87257904,0.93351436,0.9398004,0.95992744,1.0,1.0,1.0,1.0,1.0,0.6,0.2,0.1,0.033333335,0.033333335,0.4,0.8,0.9,0.96666664,0.96666664,-0.13862197,0.67775047,0.25409764,0.34594464,0.3069316,0.119613804,0.3025189,0.3199799,0.22960548,0.25377557,0.2,0.4,0.55,0.53333336,0.48333332,0.8,0.6,0.45,0.46666667,0.51666665,-0.6,-0.2,0.1,0.06666667,-0.033333335,0.5812976,0.6432896,0.7151794,0.6912478,0.6504726,0.41870242,0.3567104,0.28482062,0.3087522,0.34952742,0.16259514,0.28657922,0.43035877,0.38249558,0.30094513,1.1362401,1.0835735,0.96815836,0.91616344,0.85102427,0.116202116,0.15949617,0.28842294,0.25993288,0.28542614,1.2401245,1.0114566,1.0207715,0.984593,1.0712681,0.3657499,0.6020284,0.51813006,0.52298594,0.35003448,0.6342501,0.3979716,0.48186997,0.47701403,0.6499655,-0.2685002,0.2040568,0.036260072,0.0459719,-0.29993105,0,1
