date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,17.128263,17.05014,17.165821,16.975023,2308805.2,-0.0045610634,0.011139355,-0.40945488,0.0021927268,0.19684504,0.004385565,0.3937001,-0.002368225,-0.21259984,1.0045819,1.0067847,0.9955943,1.0065204,0.9815843,1.0097806,1.0006168,0.91479427,1.0060974,1.0018592,0.9982598,1.0009223,0.9883485,0.0035516587,0.0070948717,0.009405158,0.009022053,0.021710161,-0.0014538687,0.001526766,0.00046647174,-0.00017705075,0.00086275337,0.41891697,0.4244899,0.0860967,0.029846024,0.4816672,-0.0031897319,-0.0087296665,-0.0026912668,0.0016449518,-0.013799708,1.0126003,1.0126003,1.0227333,1.0227333,1.0227333,0.9955943,0.9727729,0.9727729,0.9727729,0.9065997,1.008406,1.0070844,1.0065733,1.0089349,1.0065733,1.0052164,0.99649304,0.9876466,0.9933739,0.9782536,0.2,0.4,0.55,0.43333334,0.6666667,0.2590663,0.6836281,0.54497373,0.54497373,0.80424887,0.8,0.9,0.3,0.53333336,0.76666665,1.0,0.1,0.55,0.7,0.016666668,-0.2,0.8,-0.25,-0.16666667,0.75,-0.7916509,-0.72622347,-0.26816046,-0.33985355,-0.27222425,-0.19515789,-0.39473855,0.028416928,0.035209216,-0.0067014033,0.4,0.6,0.5,0.53333336,0.5833333,0.4,0.3,0.45,0.4,0.38333333,0.0,0.3,0.05,0.13333334,0.2,0.21094394,0.6656097,0.46650562,0.4982817,0.60499465,0.78905606,0.3343903,0.5334944,0.50171834,0.39500535,-0.5781121,0.33121938,-0.06698877,-0.0034366488,0.2099893,0.66073483,0.812459,1.0492707,0.9301639,1.0121311,0.24594793,0.43419114,0.5345035,0.47413564,0.45829785,1.4205239,0.9858443,1.0608424,1.2604212,1.1593914,0.8504726,0.47648874,0.5138756,0.5090943,0.50658894,0.14952737,0.52351123,0.48612443,0.4909057,0.4934111,0.70094526,-0.047022503,0.02775117,0.018188572,0.013177816,0,1
2014-01-03,17.083193,17.11324,17.171831,16.997559,1341169.1,0.0017588318,0.010201403,0.17241077,0.0034297947,0.33620813,0.0050127767,0.4913811,0.003341814,0.32758376,0.9982443,1.0034238,0.9932403,1.0028092,0.993328,0.9981564,0.9917479,0.9040471,1.001826,0.9988324,0.9946712,0.9975068,0.9863035,0.003675311,0.006873591,0.009416478,0.008941325,0.018946297,-0.001799668,0.0012987334,0.00059867854,-0.0001963578,0.0007479401,0.59942734,0.3272534,0.14147457,0.037376124,0.47531852,0.0017733313,-0.004676725,-0.00035868626,0.0053403745,-0.008367752,1.0088667,1.0088667,1.0189623,1.0189623,1.0189623,0.99192345,0.97963303,0.9691861,0.9691861,0.90659297,1.0046879,1.003371,1.0028619,1.0052147,1.0028619,0.9992626,0.9952067,0.984005,0.98971117,0.97555965,0.4,0.5,0.7,0.53333336,0.73333335,0.47668383,0.6966968,0.6190482,0.6190482,0.8312501,0.6,0.8,0.25,0.5,0.75,0.8,0.1,0.5,0.6666667,0.016666668,-0.2,0.7,-0.25,-0.16666667,0.73333335,-0.7360349,-0.7247584,-0.27783585,-0.34833252,-0.3665466,-0.5511052,-0.36899856,-0.008786736,0.015450789,-0.01268202,0.6,0.6,0.55,0.56666666,0.6,0.4,0.3,0.4,0.36666667,0.36666667,0.2,0.3,0.15,0.2,0.23333333,0.40588477,0.57630587,0.5065258,0.5232672,0.6197678,0.59411526,0.42369416,0.4934742,0.4767328,0.38023221,-0.18823045,0.15261169,0.013051633,0.04653443,0.23953556,1.1697159,1.3511484,1.800399,1.5893084,1.7387148,0.40045747,0.75709516,0.9251567,0.8224973,0.791921,1.0709171,1.0727044,1.0872054,1.2763528,1.1711091,0.538136,0.46468067,0.49644527,0.49082893,0.4972775,0.46186402,0.5353193,0.50355476,0.50917107,0.5027225,0.07627196,-0.07063865,-0.0071094832,-0.018342147,-0.0054450035,1,1
2014-01-06,17.11925,17.074179,17.176338,16.955494,2432794.0,-0.0026327467,0.012900348,-0.2040834,0.0033347753,0.25850275,0.0069328253,0.53741384,0.00096530333,0.0748277,1.0026397,1.0059832,0.99304885,1.0068631,0.9859217,0.9894412,0.99674445,0.9214254,1.0027453,1.0025253,0.9974747,0.9998973,0.9898695,0.0036837296,0.0044432436,0.009290242,0.008943336,0.016872764,-0.0018037963,0.00022770195,0.00052515755,-0.00021644008,0.0006546182,0.5994314,0.024073804,0.111839,0.045391854,0.45909595,0.0008623306,-0.0035499423,-0.0024636853,0.0032410533,-0.009180699,1.0111747,1.0111747,1.0212934,1.0212934,1.0212934,0.99304885,0.98662555,0.97140336,0.97140336,0.9230093,1.0057896,1.0056665,1.0051562,1.0075144,1.0051562,0.9997184,0.9997184,0.98625606,0.9919753,0.97870654,0.4,0.3,0.55,0.4,0.6666667,0.3834942,0.54480386,0.5731933,0.5731933,0.7833485,0.4,0.7,0.2,0.46666667,0.73333335,1.0,0.1,0.45,0.6333333,0.016666668,-0.6,0.6,-0.25,-0.16666667,0.71666664,-0.7811055,-0.85104305,-0.23618753,-0.35665104,-0.3351275,-0.59434384,-0.45721036,0.10928042,0.00786148,-0.07867458,0.4,0.6,0.55,0.53333336,0.5833333,0.6,0.3,0.4,0.4,0.38333333,-0.2,0.3,0.15,0.13333334,0.2,0.27841535,0.6932357,0.53973526,0.50918096,0.60113263,0.7215846,0.3067643,0.46026474,0.49081904,0.39886737,-0.44316927,0.3864714,0.07947051,0.018361948,0.20226529,0.7372747,0.7466524,0.96472645,0.8896638,0.95143247,0.25832587,0.4185388,0.4925378,0.45079556,0.43228856,0.91335857,1.1779743,1.1743556,1.2703387,1.1977272,0.65010107,0.5022343,0.46792158,0.51828027,0.4902761,0.34989893,0.49776572,0.53207844,0.48171973,0.5097239,0.30020213,0.0044685854,-0.06415684,0.036560547,-0.019447826,0,1
2014-01-07,17.12526,17.325071,17.397184,16.97352,2292882.2,0.0116676735,0.024739135,0.47162822,0.0042109163,0.17021276,0.008860544,0.35815904,0.0163173,0.65957445,0.9884669,1.0041623,0.97970855,0.9928894,0.97866803,0.98751295,0.9930628,0.9256849,0.98964614,0.99014044,0.98365414,0.9856486,0.97677326,0.0063149524,0.0045175436,0.009875022,0.00910744,0.015587516,0.001977128,0.00025594345,0.000830771,-6.649678e-05,0.0006007543,0.2450583,0.029423535,0.2477163,0.004131525,0.45304337,0.0063995933,0.008707824,0.008453542,0.015315626,0.0055044745,1.0041623,1.0041623,1.0065036,1.0065036,1.0065036,0.97866803,0.97788763,0.957336,0.957336,0.9187478,0.99264646,0.9924037,0.99110293,0.9929414,0.9909642,0.985241,0.98662853,0.97197366,0.97761005,0.96505374,1.0,1.0,1.0,1.0,1.0,0.836734,0.8415835,0.8677265,0.8677265,0.9258902,1.0,1.0,0.15,0.43333334,0.71666664,0.8,0.1,0.4,0.6,0.033333335,0.2,0.9,-0.25,-0.16666667,0.68333334,0.08350285,-0.16445196,-0.24405974,-0.30822775,-0.28953853,-0.50584173,-0.5251017,0.082525864,0.0018393735,-0.0840277,0.4,0.6,0.55,0.53333336,0.5833333,0.6,0.3,0.4,0.4,0.38333333,-0.2,0.3,0.15,0.13333334,0.2,0.62202257,0.7459989,0.5469363,0.5194363,0.5978536,0.37797746,0.25400105,0.4530637,0.48056367,0.40214637,0.2440451,0.49199787,0.09387259,0.038872655,0.19570726,0.89801913,0.7082309,0.9815403,0.9570621,1.000446,0.19400978,0.2687435,0.48589942,0.47411147,0.45329565,0.98759687,1.2328733,1.1759261,1.2383851,1.184574,0.68732494,0.3797633,0.45363373,0.5166836,0.48834217,0.31267503,0.6202367,0.5463663,0.48331645,0.51165783,0.37464994,-0.24047336,-0.09273253,0.033367127,-0.023315664,1,1
2014-01-08,17.304039,17.616526,17.62554,17.276995,3683386.0,0.018058596,0.020142412,0.8965459,0.0005209263,0.025862163,0.0015628892,0.07759196,0.019100558,0.9482757,0.9822617,1.0005116,0.98072654,0.9744158,0.97057825,0.967764,0.97671837,0.9150606,0.9783899,0.9767014,0.968992,0.9701177,0.96202886,0.013568275,0.009246892,0.012148103,0.010494555,0.014969399,0.0076326206,0.0014709659,0.0012890836,0.00018327337,0.00057817594,0.79111224,0.23196638,0.39410627,0.023635913,0.4549997,0.0063448413,0.0166793,0.01876171,0.02722484,0.020914977,1.0005116,1.0005116,1.0005116,1.0005116,1.0005116,0.9624766,0.9624766,0.9414975,0.9414975,0.9035477,0.9867645,0.9778612,0.975985,0.9766332,0.97528565,0.96894085,0.97098756,0.9558929,0.9614361,0.9494457,1.0,1.0,1.0,1.0,1.0,0.986547,0.986547,0.99132943,0.99132943,0.9947229,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.35,0.56666666,0.016666668,0.4,0.2,0.65,0.43333334,0.98333335,0.6854348,0.45832416,-0.024848811,-0.11653958,-0.26324114,-0.05985164,-0.14242508,0.12801023,0.057356652,-0.040783416,0.6,0.6,0.6,0.53333336,0.5833333,0.4,0.3,0.35,0.4,0.38333333,0.2,0.3,0.25,0.13333334,0.2,0.79644316,0.78797865,0.61196655,0.5606397,0.61022586,0.20355684,0.21202134,0.38803348,0.4393603,0.3897741,0.5928863,0.5759573,0.22393304,0.12127939,0.22045177,0.65478,0.4908511,0.6281341,0.6155387,0.63179433,0.22667211,0.24404104,0.31468973,0.30182934,0.28547153,0.9867528,1.519542,1.1163132,1.1726015,1.1677128,0.72164273,0.6310918,0.5309535,0.5385899,0.5188493,0.2783573,0.36890823,0.4690465,0.4614101,0.4811507,0.44328544,0.26218355,0.061907012,0.07717981,0.0376986,1,0
2014-01-09,17.715681,17.65709,17.805822,17.572958,2982000.0,-0.0033073435,0.013144534,-0.2516136,0.005088221,0.38709784,0.0047489703,0.36128858,-0.003646594,-0.27742285,1.0033183,1.0084234,0.99523526,0.96562576,0.97192204,0.9803454,0.97617626,0.9203608,0.9830171,0.97726536,0.96774864,0.9686832,0.9611461,0.015453884,0.012170833,0.013939471,0.0119233085,0.014907688,0.009231685,0.0026917728,0.0019753082,0.00044717288,0.00057584065,0.8921269,0.4483815,0.70282173,0.10900817,0.45507595,-0.0014804804,0.0106216455,0.013485912,0.02483282,0.021866614,1.0084234,1.0084234,1.0084234,1.0084234,1.0084234,0.9602655,0.9602655,0.9393346,0.9393346,0.91466016,0.99816215,0.9844976,0.97374284,0.9743896,0.9734876,0.9687569,0.9687569,0.95369697,0.9592274,0.94774103,1.0,1.0,1.0,1.0,1.0,0.8250874,0.8250874,0.8780784,0.8780784,0.91016287,1.0,1.0,1.0,1.0,1.0,0.4,0.7,0.3,0.53333336,0.016666668,0.6,0.3,0.7,0.46666667,0.98333335,0.76553196,0.5911367,-0.02941336,-0.016509354,-0.224972,0.05428144,-0.13734454,-0.014777409,0.05433467,-0.047847524,0.8,0.6,0.6,0.53333336,0.5833333,0.2,0.3,0.35,0.4,0.38333333,0.6,0.3,0.25,0.13333334,0.2,0.9429831,0.78253335,0.5749512,0.5620018,0.6049799,0.05701693,0.21746664,0.42504883,0.43799815,0.3950201,0.8859661,0.56506675,0.14990237,0.12400368,0.2099598,0.85393906,0.6827556,0.7323267,0.7766515,0.78489435,0.29100966,0.29379323,0.2976955,0.37220946,0.3536838,1.1106272,1.4563918,1.0678102,1.159043,1.1820459,0.5784415,0.6731562,0.42757314,0.52520216,0.5075758,0.4215585,0.32684377,0.57242686,0.47479787,0.49242422,0.156883,0.34631246,-0.14485368,0.050404273,0.015151584,1,0
2014-01-10,17.595493,17.457277,17.62554,17.443756,3228933.8,-0.007855195,0.010331264,-0.7603324,0.0017076227,0.16528691,0.0007684465,0.07438069,-0.00879437,-0.8512386,1.0079174,1.0096385,0.9992255,0.98029256,0.9830464,0.97082615,0.9840791,0.9333046,0.99820995,0.9901463,0.980284,0.9803012,0.97325873,0.013575074,0.012645971,0.014723219,0.012594375,0.014617662,0.0062908726,0.0029922312,0.0021741104,0.0006125188,0.0005622572,0.5368802,0.5132127,0.7631777,0.18331048,0.45124674,-0.010791726,-0.0036113271,-0.000938029,0.0108172875,0.010154681,1.0199656,1.0199656,1.0199656,1.0199656,1.0199656,0.9712565,0.9712565,0.950086,0.950086,0.9351118,1.0095869,1.0018244,0.9867815,0.9862306,0.9848881,0.9895525,0.97984505,0.9646128,0.9702065,0.95931154,0.6,0.8,0.9,0.93333334,0.96666664,0.59010535,0.59010535,0.71428573,0.71428573,0.7647057,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.6,0.25,0.5,0.016666668,0.6,0.3,0.7,0.46666667,0.96666664,0.7542847,0.6232682,0.07272747,0.029888583,-0.12792397,0.051628202,-0.061364695,-0.21287172,0.06674613,-0.05397817,0.6,0.6,0.6,0.53333336,0.56666666,0.4,0.4,0.35,0.4,0.4,0.2,0.2,0.25,0.13333334,0.16666667,0.7093241,0.6373779,0.61828333,0.5393116,0.5849224,0.2906759,0.36262208,0.38171667,0.4606884,0.41507766,0.4186482,0.27475584,0.23656666,0.07862318,0.1698447,0.90556186,0.6957074,0.6820008,0.7254136,0.7190394,0.17741017,0.27425745,0.28061178,0.34756052,0.31830814,0.81179625,1.1811559,1.0089674,1.1102328,1.1611749,0.76436615,0.66419524,0.51186115,0.51395047,0.4889655,0.23563386,0.3358048,0.48813885,0.48604953,0.5110345,0.5287323,0.32839042,0.023722276,0.027900927,-0.022068994,0,0
2014-01-13,17.439249,17.173332,17.49033,17.143286,3263389.8,-0.015248181,0.01990017,-0.76623374,0.0029290656,0.14718798,0.0017229219,0.08657826,-0.016454324,-0.8268435,1.0154843,1.0184587,0.9982504,0.99422634,1.0010498,0.9774298,1.0008749,0.9599336,1.0158691,1.0064125,0.9976206,0.9964804,0.9900184,0.011745121,0.012908846,0.014289265,0.012793318,0.014408394,-0.0026944485,0.0023216982,0.0019591874,0.0006752707,0.00053915207,0.13157238,0.29651603,0.65796113,0.21591912,0.4270623,-0.010480297,-0.0168601,-0.016232856,-0.0062718224,-0.0059234193,1.0368298,1.0368298,1.0368298,1.0368298,1.0368298,0.988365,0.9873153,0.9657948,0.9657948,0.9514479,1.0262794,1.0183886,1.0030969,1.002537,1.0011723,1.0070686,0.9960459,0.9859681,0.98624796,0.9770099,0.2,0.5,0.7,0.7,0.75,0.2400714,0.25618136,0.48152626,0.48152626,0.5686464,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.5,0.2,0.46666667,0.23333333,0.4,0.3,0.7,0.46666667,0.73333335,0.30896127,0.52861756,0.13544926,0.04585873,-0.08225323,0.3676872,0.003028426,-0.20061904,0.072791666,-0.0371495,0.6,0.5,0.6,0.5,0.55,0.4,0.5,0.35,0.43333334,0.41666666,0.2,0.0,0.25,0.06666667,0.13333334,0.54647815,0.493228,0.58520466,0.4980283,0.5495242,0.45352182,0.50677204,0.41479537,0.5019717,0.4504758,0.09295635,-0.013544031,0.17040929,-0.0039433995,0.09904839,0.9469045,0.74826425,0.68233484,0.7353836,0.71099555,0.15688895,0.2669539,0.28459185,0.34436744,0.31450585,0.55060434,1.0060573,1.0378636,1.0437452,1.1626362,0.6652472,0.65618354,0.51596284,0.53143483,0.49911875,0.33475277,0.34381646,0.48403716,0.4685652,0.50088125,0.33049443,0.31236705,0.031925708,0.06286964,-0.0017624844,0,1
2014-01-14,17.20188,17.335587,17.431738,17.135775,2352919.0,0.0077728163,0.017205289,0.45176902,0.005589584,0.32487595,0.0038428875,0.22335503,0.0060261195,0.35024813,0.99228716,1.0055465,0.9884739,0.9993934,0.99228716,0.9713147,0.9879539,0.9618685,1.0064824,0.9977641,0.9897175,0.98755527,0.9813878,0.0115472125,0.012704997,0.013794367,0.012888804,0.014267389,-0.006031727,0.0021502827,0.0018403084,0.0007573481,0.0005336532,0.68213296,0.262575,0.6229392,0.26758853,0.42670628,0.005581086,-0.0074403873,-0.00720043,0.0014631875,0.00286946,1.0271255,1.0271255,1.0271255,1.0271255,1.0271255,0.9884739,0.97807443,0.95675534,0.95675534,0.94254273,1.0166739,1.0088569,0.99951476,0.9942283,0.9923218,0.99812806,0.9867233,0.9800849,0.97701705,0.96842015,0.4,0.7,0.85,0.9,0.95,0.29820552,0.44699508,0.61453164,0.61453164,0.67930263,0.4,0.7,0.85,0.9,0.95,1.0,0.4,0.15,0.43333334,0.21666667,-0.6,0.3,0.7,0.46666667,0.73333335,0.28637075,0.62089074,0.15653796,0.055823278,-0.061128534,0.25159717,-0.08887837,-0.2259696,0.032930765,-0.040780507,0.6,0.5,0.6,0.53333336,0.55,0.4,0.5,0.35,0.4,0.41666666,0.2,0.0,0.25,0.13333334,0.13333334,0.50537574,0.5450854,0.6042846,0.5266999,0.54776376,0.4946243,0.45491463,0.39571545,0.4733001,0.45223624,0.01075143,0.090170756,0.20856912,0.05339979,0.0955275,1.3184159,1.0967606,0.95170295,1.0398233,0.9826104,0.20774077,0.29942706,0.39468163,0.46327946,0.43521562,0.61947936,0.86296815,0.9848443,1.0025378,1.1697323,0.5091415,0.60160613,0.50802547,0.5252617,0.49510834,0.4908585,0.3983939,0.4919745,0.47473827,0.5048917,0.018282983,0.20321222,0.016050978,0.050523456,-0.009783355,1,1
2014-01-15,17.44676,17.397184,17.44676,17.353615,3197610.2,-0.002841548,0.0053388346,-0.5322412,0.0,0.0,0.0024972868,0.46775877,-0.0003442611,-0.06448244,1.0028497,1.0028497,0.9974956,1.0126078,0.98670113,0.96796197,0.98963726,0.9627806,1.0003972,0.99556124,0.98781514,0.9844041,0.9785333,0.010154193,0.012478293,0.013368258,0.013134437,0.014356718,-0.003687381,0.0019553062,0.0017425689,0.0008959871,0.0005423238,0.3296744,0.22507678,0.5947006,0.360647,0.43521792,0.0069775963,-0.004360121,-0.0043695346,0.0026041118,0.0054681315,1.0234888,1.0234888,1.0234888,1.0234888,1.0234888,0.984974,0.9746114,0.95336777,0.95336777,0.93920547,1.0057513,1.0052849,0.99716747,0.99516404,0.9889637,0.99459404,0.98322964,0.9794645,0.9735578,0.96550936,0.6,0.7,0.85,0.9,0.95,0.390136,0.5194351,0.6650255,0.6650255,0.72131187,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.3,0.1,0.4,0.2,-0.6,0.3,0.7,0.46666667,0.73333335,-0.008526814,0.6061229,0.17610632,0.095254995,-0.049827162,-0.31809387,-0.02485726,-0.2241101,0.019678446,-0.028364575,0.6,0.6,0.6,0.53333336,0.55,0.4,0.4,0.35,0.4,0.41666666,0.2,0.2,0.25,0.13333334,0.13333334,0.35341534,0.57669365,0.61401343,0.5232199,0.54687846,0.64658463,0.42330635,0.3859866,0.47678012,0.4531215,-0.2931693,0.15338732,0.22802684,0.04643978,0.09375697,0.9397551,0.84700406,0.7232816,0.78118366,0.7317143,0.11905961,0.2148481,0.29524395,0.34022477,0.32058948,0.72905904,0.811117,0.9331952,0.9963818,1.1633457,0.41128802,0.59513444,0.54560477,0.5275705,0.5165928,0.588712,0.40486553,0.45439526,0.47242954,0.48340717,-0.17742395,0.19026892,0.09120947,0.05514093,0.03318566,1,1
