date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,2.6108177,2.6049862,2.612533,2.5864625,39521076.0,-0.0022335837,0.009985605,-0.22368036,0.0006570438,0.0657991,0.007094978,0.71052057,0.00420435,0.42104107,1.0022386,1.0028971,0.99288917,1.0063206,0.9835395,0.9791942,0.96668416,0.8697656,1.0041348,1.0018305,0.9920858,0.9834079,0.95330745,0.003218227,0.0052461745,0.011094276,0.016332978,0.040012464,-0.0007768918,0.00089942286,0.001662776,0.0017283134,0.0021819426,0.1456893,0.2694349,0.7862083,0.86779267,0.90697616,-0.002581048,-0.005877808,-0.007882183,-0.0084684575,-0.017674752,1.0125102,1.0125102,1.0125102,1.0125102,1.0125102,0.99288917,0.9747169,0.9674742,0.9332368,0.85751903,1.0059782,1.005583,1.0050039,1.000395,0.9866738,1.0015804,0.9979722,0.98109025,0.967922,0.9184884,0.2,0.4,0.7,0.8,0.9,0.36241084,0.66898507,0.72221875,0.84218997,0.9192848,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.05,0.13333334,0.016666668,-0.6,0.6,0.8,0.76666665,0.93333334,-0.43732542,-0.866967,-0.50040877,-0.5397491,-0.31923416,-0.19174002,-0.44296342,-0.24464165,-0.39122817,-0.1328954,0.2,0.4,0.35,0.43333334,0.55,0.8,0.6,0.65,0.53333336,0.43333334,-0.6,-0.2,-0.3,-0.1,0.11666667,0.33333173,0.6477561,0.5931595,0.60343355,0.6949148,0.6666683,0.35224393,0.40684047,0.39656645,0.30508518,-0.33333656,0.29551217,0.18631904,0.20686708,0.38982964,0.6659733,1.2454599,1.2493252,1.3441101,1.3297719,0.22539584,1.3002219,0.90245146,0.83649164,0.6255518,0.66324174,1.2322019,1.0010347,1.2748066,1.0318493,1.0,0.48824134,0.4901965,0.49064502,0.4872512,0.0,0.5117586,0.50980353,0.50935495,0.51274884,1.0,-0.0235173,-0.019607028,-0.018709937,-0.025497643,0,1
2014-01-03,2.5984683,2.6001835,2.6200793,2.5909216,29116808.0,0.0006600747,0.011221087,0.05882449,0.007656738,0.68235266,0.0029042738,0.25882286,-0.0040923897,-0.3647053,0.99934036,1.0076517,0.996438,1.0072558,1.0001321,0.9807387,0.9678103,0.86279684,1.0045384,1.0036676,0.99488133,0.9862973,0.95735496,0.0040411353,0.0052659265,0.010740872,0.016236776,0.0386201,-0.0015963657,0.0004637231,0.0015446311,0.0017067356,0.0021032393,0.39011982,0.071085215,0.72383314,0.8563169,0.9045871,-0.0013456495,-0.0057544,-0.0095553165,-0.0110449875,-0.019400537,1.0143803,1.0143803,1.0143803,1.0143803,1.0143803,0.9947231,0.9927441,0.97255933,0.93496054,0.85923487,1.00752,1.0074404,1.0068603,1.0022429,0.9894986,1.0014776,0.99970984,0.98493403,0.9751451,0.92765194,0.2,0.3,0.6,0.73333335,0.8666667,0.2684473,0.33536047,0.6561463,0.818933,0.90731084,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.2,0.3,0.1,0.016666668,-0.6,0.4,0.5,0.76666665,0.9166667,-0.3629975,-0.8183321,-0.51953095,-0.5902982,-0.3225492,-0.04925948,-0.6376711,-0.22970727,-0.39166707,-0.13155174,0.2,0.3,0.35,0.43333334,0.55,0.8,0.7,0.65,0.53333336,0.43333334,-0.6,-0.4,-0.3,-0.1,0.11666667,0.3178795,0.49846023,0.58488405,0.59902436,0.7091707,0.6821205,0.50153977,0.41511598,0.40097564,0.29082927,-0.36424103,-0.0030795552,0.16976805,0.19804874,0.41834143,0.9875449,1.5574788,1.6682167,1.8199905,1.784618,0.24749757,1.7613822,1.2345066,1.1384269,0.8535746,0.5220943,1.4100105,0.9877303,1.2685306,1.0613445,0.6845223,0.44604102,0.48181608,0.49707887,0.48315614,0.31547773,0.55395895,0.5181839,0.5029211,0.51684386,0.36904454,-0.107917935,-0.036367826,-0.005842242,-0.03368772,0,1
2014-01-06,2.6001832,2.598125,2.607044,2.5888631,36984876.0,-0.0007915856,0.006992141,-0.11321076,0.0026385575,0.37736046,0.0035619976,0.50942874,0.00013185453,0.018857533,1.0007923,1.0034329,0.99643517,1.0046215,0.9993405,0.9771588,0.965672,0.8620282,1.00441,1.0045288,0.9968116,0.988223,0.96041304,0.0047196792,0.005202567,0.00985541,0.015895028,0.036901962,-0.0028783209,-0.000120829754,0.0013154428,0.001643818,0.0020107154,0.9298083,0.004944517,0.62353754,0.8288704,0.90552866,0.0013466607,-0.0039850743,-0.009308337,-0.012058396,-0.019729136,1.0145235,1.015184,1.015184,1.015184,1.015184,0.9955112,0.99353063,0.9733299,0.9357013,0.86321634,1.0083182,1.0082387,1.007658,1.003037,0.99118036,1.0006338,1.0006338,0.98793256,0.97948253,0.93424886,0.2,0.2,0.55,0.7,0.85,0.23609932,0.29877016,0.63721615,0.8089647,0.900084,0.2,0.5,0.75,0.8333333,0.9166667,0.6,0.1,0.25,0.06666667,0.033333335,-0.4,0.4,0.5,0.76666665,0.8833333,-0.71563053,-0.79005665,-0.5662865,-0.5992034,-0.32095927,-0.002849917,-0.6584395,-0.24899173,-0.38257724,-0.13764031,0.2,0.3,0.35,0.43333334,0.55,0.8,0.7,0.65,0.53333336,0.43333334,-0.6,-0.4,-0.3,-0.1,0.11666667,0.36639962,0.5078294,0.60384077,0.60690707,0.71059954,0.63360035,0.49217057,0.39615923,0.39309293,0.28940046,-0.26720077,0.015658874,0.20768155,0.21381412,0.42119908,0.8673602,1.1780246,1.3071725,1.4178554,1.39379,0.16542003,1.3851844,0.97353673,0.899704,0.6730718,0.6504601,1.4618906,1.0312374,1.293256,1.0682921,0.7220623,0.47484118,0.4948875,0.48716515,0.48829135,0.27793774,0.5251588,0.50511247,0.51283485,0.5117086,0.44412455,-0.050317634,-0.010224982,-0.025669696,-0.023417288,0,1
2014-01-07,2.6029274,2.6434052,2.6533532,2.598125,45214428.0,0.015550857,0.02121774,0.7329177,0.0038218566,0.18012553,0.0018450248,0.08695671,0.013574026,0.63974893,0.98468727,1.0037633,0.9828705,0.9936415,0.97690123,0.9721,0.9493905,0.85388047,0.98847663,0.9896316,0.98113173,0.9729822,0.94639695,0.007075893,0.00510035,0.01050346,0.015905764,0.035002287,0.0016609717,-0.00012191951,0.0014618051,0.0016497846,0.0019154592,0.13775326,0.005237909,0.67792594,0.83377165,0.9133827,0.008201424,0.010917029,0.00498111,0.003095874,-0.0029030025,1.0037633,1.0037633,1.0037633,1.0037633,1.0037633,0.9784586,0.9784586,0.95665723,0.9196732,0.84842986,0.99231786,0.9920842,0.9904751,0.98800975,0.9779654,0.9834935,0.9851027,0.97100973,0.96327543,0.92437094,1.0,1.0,1.0,1.0,1.0,0.85127956,0.85127956,0.92010945,0.95524645,0.97577256,1.0,1.0,1.0,1.0,1.0,0.4,0.7,0.2,0.033333335,0.016666668,0.6,0.3,0.8,0.96666664,0.98333335,0.55493873,-0.025649812,-0.50086945,-0.55564016,-0.30836338,0.10875729,-0.34270552,-0.19545431,-0.3262734,-0.11688446,0.2,0.4,0.35,0.43333334,0.55,0.8,0.6,0.65,0.53333336,0.43333334,-0.6,-0.2,-0.3,-0.1,0.11666667,0.61394906,0.71707386,0.62285554,0.64487183,0.719749,0.38605094,0.28292614,0.3771445,0.35512814,0.280251,0.2278981,0.43414772,0.24571106,0.28974372,0.439498,0.80141836,0.6504383,1.072076,1.1425186,1.1341519,0.14728738,0.24452952,0.79597247,0.73332316,0.55010915,1.3566836,1.3277168,1.0377584,1.2104671,1.0654355,0.7498424,0.1920341,0.50282395,0.48168612,0.49243045,0.2501576,0.80796593,0.49717602,0.5183139,0.50756955,0.49968478,-0.6159318,0.0056479364,-0.036627788,-0.015139113,1,0
2014-01-08,2.6440938,2.6286194,2.649596,2.6138325,70885176.0,-0.0058524096,0.013525807,-0.4326847,0.0020809488,0.15385026,0.0055924486,0.41346505,-0.0023409098,-0.17306986,1.0058869,1.0079801,0.99437463,0.9959682,0.9959682,0.9709123,0.9399842,0.8734296,0.99484307,0.99560136,0.98810494,0.9804557,0.9538299,0.0076011717,0.005349996,0.010280253,0.014720001,0.034206353,0.0034424227,0.00019064704,0.0014122354,0.0015327461,0.0018726842,0.51275194,0.011640312,0.66050273,0.84028465,0.91414565,-0.0017279278,0.003540709,-0.0015211501,-0.002680538,-0.009074051,1.0094094,1.0094094,1.0094094,1.0094094,1.0094094,0.98396236,0.98396236,0.96203834,0.9363302,0.86142355,1.001125,0.9993845,0.99654216,0.9959682,0.98787755,0.98902553,0.99064386,0.9783768,0.9686938,0.9316846,0.8,0.9,0.95,0.96666664,0.98333335,0.63023597,0.63023597,0.8013679,0.87124354,0.93641675,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.6,0.15,0.033333335,0.016666668,0.6,0.3,0.8,0.93333334,0.96666664,0.66176647,0.14124271,-0.42482203,-0.39867222,-0.27046394,-0.09282168,-0.09653635,-0.22989714,-0.26969156,-0.1340595,0.2,0.3,0.35,0.43333334,0.53333336,0.8,0.7,0.65,0.53333336,0.45,-0.6,-0.4,-0.3,-0.1,0.083333336,0.5662682,0.5442495,0.62852955,0.6801943,0.69459313,0.43373176,0.45575052,0.37147042,0.31980568,0.30540684,0.13253644,0.08849897,0.25705913,0.36038867,0.38918632,0.62558174,0.4588723,0.7002722,0.70130247,0.7260552,0.22466506,0.24057041,0.5125839,0.423327,0.35238355,1.068737,1.334327,1.0275881,0.97879165,1.0634098,0.8304183,0.64374703,0.52464783,0.45171186,0.50513077,0.16958171,0.356253,0.47535214,0.5482881,0.49486926,0.6608366,0.28749403,0.049295716,-0.09657627,0.010261491,0,0
2014-01-09,2.6409988,2.6351528,2.6478763,2.6244924,32860296.0,-0.0022135654,0.008854171,-0.25000256,0.002604099,0.29410985,0.0040365066,0.45588762,-0.00078115746,-0.0882248,1.0022185,1.0048283,0.9959545,0.9885522,0.9948005,0.9763156,0.94676596,0.87777275,0.9946661,0.99365294,0.9868393,0.97979933,0.9535021,0.00786206,0.0057542096,0.010484442,0.013975203,0.03328577,0.0038112823,0.00067590975,0.0014661957,0.0014551426,0.0018227046,0.5875022,0.12647875,0.68448085,0.8402268,0.9145663,-0.0022886675,0.0033054915,-0.0007681661,-0.0008988922,-0.0072719255,1.0069067,1.0069067,1.0069067,1.0069067,1.0069067,0.9824338,0.9815228,0.95965314,0.94455266,0.8676192,1.0006263,0.99801654,0.99519104,0.99357694,0.9861047,0.98657346,0.98818773,0.97615933,0.9674376,0.92958295,0.8,0.9,0.95,0.96666664,0.98333335,0.7177799,0.7279085,0.8538362,0.8892331,0.9504136,0.6,0.8,0.9,0.93333334,0.96666664,0.4,0.5,0.1,0.033333335,0.033333335,0.2,0.3,0.8,0.9,0.93333334,0.4402211,0.25574487,-0.41041002,-0.3691069,-0.27670324,-0.029910233,-0.14711624,-0.25298855,-0.232399,-0.13104773,0.4,0.3,0.35,0.43333334,0.53333336,0.6,0.7,0.65,0.53333336,0.45,-0.2,-0.4,-0.3,-0.1,0.083333336,0.70532525,0.55576235,0.6101149,0.6668936,0.69075215,0.29467472,0.44423765,0.38988513,0.3331064,0.30924785,0.41065052,0.111524686,0.22022976,0.33378717,0.3815043,1.308945,1.0549555,1.466918,1.4716051,1.5531851,0.50790775,0.46796638,1.1078857,0.90727895,0.76308507,1.2073716,1.2647692,1.1036685,1.0232143,1.0867044,0.4630767,0.59044206,0.4711117,0.46537742,0.48860046,0.5369233,0.40955797,0.5288883,0.5346226,0.51139957,-0.0738466,0.1808841,-0.057776563,-0.069245175,-0.022799103,1,0
2014-01-10,2.6444378,2.6217415,2.6465008,2.6076427,33883908.0,-0.0085826395,0.014694305,-0.5840793,0.0007801416,0.053091425,0.0053315237,0.36282924,-0.0040312577,-0.2743415,1.008657,1.0094439,0.99462235,0.9917772,0.9989733,0.97516036,0.953048,0.8734968,1.0013988,0.99883854,0.9931294,0.98637646,0.9604881,0.0065705515,0.0057974244,0.009907838,0.012959186,0.031969134,0.0014868255,0.00076415006,0.0013254795,0.0013415193,0.001756389,0.12801367,0.159257,0.62640643,0.8305009,0.9206181,-0.0043724384,-0.0022772022,-0.0057214303,-0.005828497,-0.01230156,1.0120575,1.0120575,1.0120575,1.0120575,1.0120575,0.9874593,0.98654366,0.9645622,0.9543566,0.87205744,1.0057449,1.0031219,1.0003704,0.9991565,0.9918034,0.9981984,0.9932427,0.98429304,0.9728839,0.9348615,0.4,0.6,0.8,0.8666667,0.93333334,0.50982106,0.527413,0.7461328,0.7910342,0.9138749,0.4,0.7,0.85,0.9,0.95,0.2,0.4,0.05,0.033333335,0.016666668,0.2,0.3,0.8,0.8666667,0.93333334,0.22313084,0.31304342,-0.41039643,-0.36156124,-0.26956123,-0.10354229,-0.10765787,-0.27761266,-0.2300231,-0.12823573,0.4,0.3,0.35,0.4,0.53333336,0.6,0.7,0.65,0.56666666,0.45,-0.2,-0.4,-0.3,-0.16666667,0.083333336,0.63134074,0.51005393,0.6160078,0.6431662,0.69867295,0.36865926,0.48994607,0.38399217,0.3568338,0.30132702,0.26268145,0.02010786,0.23201565,0.2863324,0.39734596,1.2975403,1.0730741,1.3974351,1.4027044,1.4909865,0.46661592,0.41575888,1.0783143,0.8812565,0.7408781,1.0560323,1.1302617,1.1356931,1.0076557,1.1071035,0.5294932,0.57442236,0.48250052,0.4783219,0.48616007,0.4705068,0.42557764,0.51749945,0.5216781,0.51383996,0.058986455,0.14884469,-0.034998924,-0.04335619,-0.027679883,0,1
2014-01-13,2.6128001,2.5794437,2.6210532,2.57291,32249624.0,-0.012766544,0.018425882,-0.6928593,0.0031587174,0.1714283,0.002500621,0.13571241,-0.0134246405,-0.72857517,1.0129316,1.0161312,0.99746704,1.0072423,1.0118973,0.98716146,0.9779853,0.891012,1.0163713,1.0140278,1.0100567,1.0032849,0.9780547,0.009663993,0.007593037,0.008920694,0.012343065,0.03064185,-0.0052259685,-0.00027471216,0.00086135,0.0011776397,0.001679693,0.73107237,0.011998756,0.32630974,0.70547324,0.91649413,-0.0059193615,-0.01279159,-0.018239511,-0.020360712,-0.027605621,1.0286533,1.0286533,1.0286533,1.0286533,1.0286533,0.99746704,0.99746704,0.98436886,0.9770545,0.8870223,1.0222372,1.0195711,1.0167745,1.0155407,1.008067,1.0131184,1.0078808,1.0009,0.98931587,0.950537,0.2,0.1,0.2,0.46666667,0.73333335,0.08122038,0.08122038,0.35297176,0.44469106,0.7976905,0.2,0.6,0.8,0.8666667,0.93333334,1.0,1.0,0.2,0.13333334,0.016666668,-0.8,-0.4,0.6,0.73333335,0.9166667,0.3898557,0.27387127,-0.3993504,-0.3785594,-0.2672302,0.0026169661,0.0071503585,-0.23199151,-0.17092243,-0.111331716,0.4,0.3,0.35,0.36666667,0.51666665,0.6,0.7,0.65,0.6,0.46666667,-0.2,-0.4,-0.3,-0.23333333,0.05,0.42363045,0.40825313,0.55295384,0.5633497,0.66180044,0.5763695,0.59174687,0.44704616,0.43665028,0.3381996,-0.1527391,-0.18349373,0.10590765,0.12669948,0.32360083,1.3339283,1.164322,1.4441645,1.4635752,1.5526708,0.51045144,0.40467593,1.1377679,0.929508,0.7810179,0.71945107,0.9833442,1.0850327,1.0029056,1.0916942,0.4682552,0.55307245,0.48401013,0.49114886,0.48799372,0.53174484,0.44692755,0.5159899,0.5088512,0.5120063,-0.06348963,0.106144905,-0.03197975,-0.017702296,-0.024012549,0,1
2014-01-14,2.5907917,2.615551,2.6162388,2.584258,32386300.0,0.009556651,0.012344007,0.7741935,0.0002654932,0.021507861,0.0025218634,0.20429859,0.011813021,0.9569843,0.9905338,1.000263,0.9880358,1.0106494,1.0042232,0.9838947,0.9735338,0.8918268,1.0002105,0.99960697,0.99691826,0.9903169,0.9663557,0.008322915,0.0073430864,0.008345789,0.011937308,0.029009042,-0.0031292068,7.081304e-06,0.00071206695,0.0011198841,0.0015913509,0.3533927,8.52473e-06,0.25478563,0.68207955,0.9178357,0.0060478654,0.000361173,-0.0036829023,-0.0065552588,-0.013300513,1.0130163,1.0144528,1.0144528,1.0144528,1.0144528,0.9836972,0.9836972,0.9707798,0.96356636,0.89943373,1.005496,1.005496,1.0027381,1.0015213,0.99459684,0.99723905,0.9939672,0.9916069,0.9771274,0.9395659,0.4,0.5,0.55,0.7,0.85,0.5560464,0.5300753,0.66906697,0.71597826,0.8743438,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.9,0.15,0.1,0.033333335,-0.6,-0.4,0.6,0.73333335,0.8833333,0.34961292,0.41083252,-0.39373308,-0.401888,-0.2811612,-0.22098912,-0.056459147,-0.23096696,-0.16400401,-0.101719335,0.4,0.3,0.35,0.36666667,0.51666665,0.6,0.7,0.65,0.6,0.46666667,-0.2,-0.4,-0.3,-0.23333333,0.05,0.376899,0.4704471,0.56547165,0.5751403,0.6625013,0.623101,0.52955294,0.43452838,0.4248597,0.3374987,-0.24620199,-0.05910584,0.13094325,0.15028061,0.32500258,1.2490795,1.1839688,1.4116446,1.4493952,1.5363572,0.52565897,0.38250548,1.1369026,0.9285623,0.78088593,0.5804182,0.89695984,1.0908133,0.9981566,1.0949067,0.4035337,0.53679734,0.4823261,0.4930111,0.49145848,0.5964663,0.4632027,0.5176739,0.5069889,0.5085415,-0.1929326,0.07359466,-0.03534781,-0.013977796,-0.017083038,1,1
2014-01-15,2.6213973,2.6403105,2.6554415,2.6117685,37385136.0,0.0072149574,0.016660213,0.43306512,0.0057721115,0.34646082,0.003673145,0.22047408,0.005115991,0.30707836,0.9928367,1.0057307,0.98918986,0.9955721,0.9915582,0.9725896,0.9644045,0.89307785,0.9917166,0.9910773,0.9889402,0.9822168,0.9590757,0.0090772,0.007907372,0.007918109,0.011885287,0.027992964,0.00015622708,0.0006280885,0.0006464387,0.0011171077,0.0015375981,0.0007405405,0.05783474,0.23328118,0.684656,0.9202117,0.007970895,0.0060962797,0.004918655,0.0015851863,-0.0044348333,1.0057307,1.0057307,1.0057307,1.0057307,1.0057307,0.9744725,0.9744725,0.9616763,0.95453054,0.89099926,0.9984372,0.9984372,0.99495935,0.9928792,0.98701096,0.98788744,0.9846462,0.98389274,0.96996516,0.93210644,1.0,0.9,0.95,0.96666664,0.98333335,0.81666386,0.81666386,0.86991644,0.88807154,0.95005065,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.1,0.06666667,0.016666668,0.4,0.2,0.9,0.93333334,0.98333335,0.6306324,0.40229556,-0.33259928,-0.37617686,-0.25586167,0.06940247,-0.0027764249,-0.21277861,-0.15065525,-0.116423935,0.6,0.4,0.4,0.4,0.51666665,0.4,0.6,0.6,0.6,0.46666667,0.2,-0.2,-0.2,-0.2,0.05,0.54748255,0.55487967,0.60612655,0.59681225,0.66225886,0.45251745,0.4451203,0.39387342,0.40318772,0.33774114,0.09496512,0.109759375,0.21225314,0.19362454,0.3245177,0.9028469,1.0444996,1.1921381,1.2362096,1.3143934,0.05695391,0.32308847,0.9815924,0.80328333,0.6721488,0.5862196,0.7972733,1.0437055,0.9420603,1.1010616,0.13442501,0.53286326,0.4759652,0.47995728,0.48302084,0.865575,0.46713677,0.5240348,0.5200427,0.51697916,-0.73115,0.065726474,-0.048069593,-0.04008543,-0.033958334,1,0
