date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,21.021368,20.822464,21.021368,20.727121,8411425.0,-0.009461993,0.013997504,-0.6759772,0.0,0.0,0.0045355107,0.32402283,-0.0049264827,-0.35195437,1.0095524,1.0095524,0.9954212,0.97618484,0.93663335,0.9810532,1.0341045,1.002579,1.0009896,0.9812348,0.9758783,0.98667586,0.99854046,0.009540367,0.023843704,0.021958102,0.026755245,0.029847095,0.0038288378,0.007456745,0.0011733174,-0.0013530591,-0.0007232931,0.4026649,0.89652544,0.09993313,0.19820622,0.17911187,-0.0086472,-0.014790116,0.012975159,0.032943506,0.022796696,1.0115261,1.0115261,1.0115261,1.048262,1.0759981,0.9736586,0.9328702,0.92402834,0.92402834,0.92402834,1.0085841,1.0016105,0.998958,1.0085841,1.0270047,0.9972054,0.9571538,0.95473284,0.9635694,0.9752428,0.6,0.8,0.9,0.76666665,0.6166667,0.6956202,0.8534618,0.8682698,0.6115222,0.49991322,0.8,0.9,0.95,0.033333335,0.13333334,0.2,0.1,0.5,0.6666667,0.8333333,0.6,0.8,0.45,-0.6333333,-0.7,-0.52054054,-0.3736829,-0.42297947,-0.69196975,-0.27722678,0.0063575553,0.11270669,-0.033321355,-0.21966468,-0.081001185,0.8,0.7,0.5,0.4,0.48333332,0.2,0.3,0.5,0.6,0.51666665,0.6,0.4,0.0,-0.2,-0.033333335,0.7632325,0.8254044,0.54380614,0.44243068,0.49814937,0.23676746,0.17459561,0.45619386,0.5575693,0.5018506,0.5264651,0.6508088,0.08761225,-0.115138635,-0.0037012459,0.8499892,1.0066609,1.0428727,0.8495914,1.0080061,0.11560856,0.49837258,0.426896,0.4602914,0.68919367,0.5250208,0.85198414,0.9257183,1.0965552,2.208197,0.7969795,0.4374946,0.52093565,0.5147572,0.48849005,0.2030205,0.56250536,0.47906438,0.48524278,0.51150995,0.59395903,-0.12501077,0.04187126,0.029514417,-0.023019886,0,0
2014-01-03,20.841095,20.46356,20.968218,20.424109,6296250.0,-0.018114924,0.026107522,-0.69385844,0.006099626,0.2336348,0.0018929715,0.07250675,-0.022321578,-0.8549865,1.0184492,1.0246613,0.9980721,1.0035346,0.967279,0.9925561,1.0565524,1.0208055,1.0178386,1.0017164,0.9933661,1.0020958,1.0157068,0.01110256,0.021658538,0.022397475,0.025352346,0.030434107,-0.0043164105,0.005594693,0.0012870692,-0.0010399106,-0.00075424183,0.37786722,0.61165386,0.1155776,0.13039392,0.18732682,-0.009205821,-0.026892547,-0.0055932966,0.012982936,0.006543357,1.029267,1.029267,1.029267,1.0656295,1.0948696,0.9980721,0.95123976,0.9402346,0.9402346,0.9402346,1.0262734,1.0191774,1.0164784,1.0191774,1.045017,1.0139881,0.989766,0.97147757,0.98046917,0.99234724,0.2,0.5,0.6,0.46666667,0.33333334,0.061801765,0.6249137,0.6712775,0.4766174,0.38649333,0.6,0.8,0.9,0.033333335,0.11666667,1.0,0.1,0.45,0.6333333,0.81666666,-0.4,0.7,0.45,-0.6,-0.7,-0.0511417,-0.31178847,-0.4517169,-0.65550846,-0.29164296,0.05652037,0.24354345,0.058114786,-0.17507392,-0.07053799,0.6,0.6,0.5,0.36666667,0.46666667,0.4,0.4,0.5,0.6333333,0.53333336,0.2,0.2,0.0,-0.26666668,-0.06666667,0.46686682,0.6597798,0.51605076,0.41012758,0.48566893,0.5331332,0.34022018,0.48394924,0.5898724,0.5143311,-0.06626639,0.3195596,0.032101512,-0.17974485,-0.028662149,1.1052754,1.2846667,1.3307391,1.1545314,1.3012608,0.16504356,0.66718966,0.53915125,0.6003733,0.8671742,0.5409519,0.8697669,0.9121817,1.045228,2.1789737,0.4290375,0.45357782,0.44734335,0.51820755,0.46389225,0.5709625,0.5464222,0.55265665,0.48179248,0.5361078,-0.14192496,-0.09284436,-0.1053133,0.03641507,-0.07221552,0,1
2014-01-06,20.436163,20.32548,20.67178,20.275616,7201450.0,-0.005416058,0.019385437,-0.27938798,0.011529399,0.5947454,0.0024399792,0.12586662,-0.014505478,-0.74826676,1.0054456,1.0170377,0.99754673,1.0243975,0.96808106,0.9916429,1.0635412,1.0491184,1.0198739,1.0117135,1.0005324,1.0067854,1.0217884,0.015758662,0.017044676,0.022461643,0.023380674,0.030576628,-0.009403152,0.0024718558,0.001160413,-0.0007276049,-0.0007514916,0.8901195,0.19278808,0.09341362,0.07505488,0.18423364,-0.0010675082,-0.022836804,-0.011556327,0.0037648343,0.00038068948,1.0362592,1.0362592,1.0362592,1.0651588,1.1023076,0.99754673,0.9624198,0.9466221,0.9466221,0.9466221,1.0332453,1.0261012,1.0233839,1.0244082,1.0521163,1.0054348,1.000043,0.9780773,0.9871299,0.99908876,0.2,0.2,0.45,0.36666667,0.23333333,0.06337144,0.508945,0.59548897,0.450307,0.34285748,0.4,0.7,0.85,0.033333335,0.1,1.0,0.1,0.4,0.6,0.8,-0.6,0.6,0.45,-0.56666666,-0.7,-0.1937352,-0.38581777,-0.5012745,-0.6039254,-0.31550366,-0.10390943,0.18537687,0.008461265,-0.17462431,-0.051421363,0.4,0.6,0.5,0.36666667,0.45,0.6,0.4,0.5,0.6333333,0.55,-0.2,0.2,0.0,-0.26666668,-0.1,0.23737796,0.65328836,0.5179647,0.40175086,0.46571064,0.76262206,0.34671167,0.48203528,0.59824914,0.53428936,-0.5252441,0.30657667,0.035929423,-0.19649826,-0.06857874,0.95316774,1.1193107,1.1792828,1.0309765,1.1226348,0.13568632,0.58407784,0.45959842,0.5100917,0.7516462,0.5836886,0.8628686,0.90419906,1.0138832,2.242352,0.46700507,0.49643007,0.5171579,0.52281135,0.48576266,0.5329949,0.5035699,0.48284206,0.47718865,0.51423734,-0.065989845,-0.007139857,0.03431588,0.045622688,-0.028474694,0,1
2014-01-07,20.350138,20.48,20.651506,20.31507,7082825.0,0.0063813734,0.01653243,0.38599128,0.0084278,0.5097738,0.0017232568,0.104234934,-0.00032316922,-0.019547593,0.9936591,1.0083743,0.99194676,1.024909,0.97482336,1.0096854,1.0448416,1.0359857,1.0071971,1.0065978,0.9924992,0.9976946,1.0134792,0.014496442,0.013632823,0.02201371,0.021547219,0.030261118,-0.007948959,0.00028019998,0.0015156086,-0.000402041,-0.00073177187,0.75168824,0.0038723627,0.16590355,0.02698112,0.17835338,0.008700788,-0.007858715,-0.006897475,0.008135,0.008108036,1.0284407,1.0284407,1.0284407,1.0483465,1.0939908,0.99002033,0.9728703,0.9394799,0.9394799,0.9394799,1.0188998,1.0183593,1.0156624,1.0156624,1.0441781,0.99784887,0.99304366,0.97069776,0.9796821,0.9915507,0.6,0.5,0.65,0.53333336,0.36666667,0.25974944,0.48820394,0.68030065,0.5559106,0.3916885,0.2,0.6,0.8,0.033333335,0.083333336,0.8,0.1,0.35,0.56666666,0.78333336,-0.6,0.5,0.45,-0.53333336,-0.7,0.06546066,0.17046341,-0.5333774,-0.58053863,-0.31773326,0.22466671,-0.030113246,-0.14010674,-0.16598514,-0.058403913,0.4,0.6,0.5,0.4,0.46666667,0.6,0.4,0.5,0.6,0.53333336,-0.2,0.2,0.0,-0.2,-0.06666667,0.22569264,0.63000834,0.47724986,0.42944935,0.47477016,0.77430737,0.3699917,0.52275014,0.5705507,0.5252299,-0.54861474,0.26001662,-0.045500286,-0.14110133,-0.05045971,1.0008761,0.9662973,1.1831745,1.0631968,1.1409688,0.11800247,0.21163976,0.4684559,0.5102147,0.7643142,0.56633896,0.67189467,0.94559336,1.0059654,2.2365985,0.6005222,0.2784793,0.48190716,0.51574796,0.49955246,0.3994778,0.72152066,0.5180928,0.48425204,0.5004475,0.20104438,-0.44304135,-0.03618566,0.03149592,-0.0008950787,1,1
2014-01-08,20.515617,20.847122,20.856438,20.496986,9095800.0,0.016158657,0.017520862,0.9222524,0.00045406827,0.025915863,0.00090813654,0.051831726,0.016612725,0.9481683,0.9840983,1.0004468,0.9832046,1.0095149,0.9756873,0.9898281,1.0243126,1.025548,0.9875572,0.99130267,0.9755297,0.97931457,0.9952058,0.011203018,0.012932329,0.022106865,0.019841542,0.029474335,0.00031541928,3.3425142e-06,0.0020795558,3.8007907e-05,-0.00066101825,0.001981739,6.1235664e-07,0.30970976,0.0002843798,0.15340473,0.011811988,0.008682297,0.0047145723,0.020134347,0.024294207,1.0083582,1.0103296,1.0103296,1.0259686,1.0747253,0.97258586,0.97024655,0.9229354,0.9229354,0.9229354,0.9990538,1.001372,0.9987752,0.9977764,1.02579,0.9802765,0.980287,0.95360357,0.9624297,0.97408926,1.0,0.8,0.9,0.9,0.68333334,0.7663489,0.7422941,0.881804,0.7479596,0.5077056,0.2,0.5,0.75,0.033333335,0.06666667,0.6,0.1,0.3,0.53333336,0.76666665,-0.4,0.4,0.45,-0.5,-0.7,0.84488183,0.39311534,-0.48217607,-0.4732468,-0.30053493,0.4630777,0.3013791,-0.11171718,-0.15054192,-0.040860746,0.4,0.6,0.55,0.43333334,0.46666667,0.6,0.4,0.45,0.56666666,0.53333336,-0.2,0.2,0.1,-0.13333334,-0.06666667,0.42012262,0.6283651,0.5226396,0.46290207,0.48201865,0.5798774,0.3716349,0.47736046,0.53709793,0.51798135,-0.15975477,0.2567302,0.04527909,-0.07419584,-0.03596268,0.83747995,0.75652087,0.9351826,0.8517523,0.8986925,0.12316767,0.17087312,0.36210242,0.3848354,0.591651,0.50253123,0.6693437,0.86801887,0.94523865,2.1954026,0.6858316,0.5097756,0.5205426,0.53203493,0.51265985,0.31416836,0.4902244,0.47945735,0.46796507,0.48734015,0.37166324,0.01955119,0.04108529,0.06406985,0.025319703,1,1
2014-01-09,20.869589,21.193424,21.361643,20.806026,10198100.0,0.015517094,0.026623255,0.58283985,0.0080604665,0.30276036,0.0030456947,0.11439978,0.010502323,0.39447927,0.98472,1.0079373,0.98172086,0.98249644,0.95909816,0.98122966,0.99410516,1.0385231,0.9749211,0.9791949,0.96052796,0.96350896,0.97830206,0.016722718,0.013551089,0.023092128,0.019864613,0.028062597,0.009348989,0.00029411027,0.0029645571,0.00048644413,-0.0005147179,0.7813679,0.0043180077,0.57684594,0.04647371,0.10260834,0.006380891,0.019481612,0.011308763,0.029437594,0.036882132,1.0079373,1.0079373,1.0079373,1.0079373,1.0571642,0.9566937,0.95661616,0.90785456,0.90785456,0.90785456,0.9869279,0.99093026,0.98272914,0.9814727,1.008082,0.96425873,0.9661823,0.9380216,0.9467035,0.95817256,1.0,1.0,1.0,1.0,0.76666665,0.8451064,0.84534055,0.92069256,0.92069256,0.6171431,1.0,1.0,1.0,1.0,0.05,0.4,0.1,0.25,0.5,0.75,0.6,0.9,0.75,0.5,-0.7,0.9185184,0.355847,-0.35333702,-0.3434073,-0.31612703,0.76029986,0.28437245,-0.09345563,-0.13438657,-0.10783907,0.6,0.7,0.55,0.46666667,0.46666667,0.4,0.3,0.45,0.53333336,0.53333336,0.2,0.4,0.1,-0.06666667,-0.06666667,0.63588995,0.6878859,0.5408507,0.5090634,0.47189745,0.36411008,0.31211412,0.45914927,0.49093658,0.5281026,0.27177984,0.37577173,0.08170145,0.018126851,-0.056205094,0.78199714,0.7415354,0.8555208,0.7812634,0.8037491,0.15819596,0.13031803,0.31881604,0.33706337,0.5282562,0.52977717,0.56925035,0.8185996,0.9118395,2.217868,0.6428363,0.7314562,0.5354058,0.5324633,0.5031057,0.3571637,0.26854378,0.4645942,0.46753666,0.4968943,0.2856726,0.46291244,0.07081164,0.06492667,0.00621139,1,1
2014-01-10,21.176437,23.021917,23.264658,21.110685,27305650.0,0.0871478,0.101715535,0.8567797,0.01146277,0.11269439,0.0031049617,0.030525936,0.078789994,0.77461123,0.91983813,1.010544,0.91698205,0.888873,0.8920148,0.8725931,0.89137214,0.9287398,0.9197144,0.91222185,0.8906093,0.89060414,0.90178907,0.047202747,0.033104803,0.0332768,0.027579412,0.028635425,0.026523856,0.005020427,0.0041989475,0.0012072177,-0.00026319613,0.7893667,0.21081948,0.55727017,0.14849193,0.02576627,0.027237901,0.065186255,0.0695007,0.0918912,0.10597525,1.010544,1.010544,1.010544,1.010544,1.010544,0.88070923,0.88070923,0.83574915,0.83574915,0.83574915,0.9364608,0.915435,0.90677613,0.9044246,0.9281637,0.8882447,0.88944423,0.86352015,0.87151253,0.88207066,1.0,1.0,1.0,1.0,1.0,0.9187898,0.9187898,0.93967843,0.93967843,0.93967843,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.2,0.46666667,0.73333335,0.8,0.4,0.8,0.53333336,0.26666668,0.99720395,0.9101717,0.31308413,0.16468142,-0.13292447,0.9587601,0.862224,0.46916193,0.2720176,0.067277595,0.8,0.7,0.6,0.5,0.48333332,0.2,0.3,0.4,0.5,0.51666665,0.6,0.4,0.2,0.0,-0.033333335,0.951286,0.8166083,0.7448092,0.65299,0.5521602,0.048713952,0.18339172,0.2551908,0.34701,0.44783977,0.9025721,0.63321656,0.4896184,0.30598003,0.10432047,0.44594306,0.350401,0.35054138,0.3145502,0.31218642,0.3134338,0.2333426,0.19325233,0.18051216,0.21696006,1.8034478,2.2732534,2.3768256,2.4564607,2.46811,0.9944168,0.85868144,0.61405015,0.5819933,0.5423542,0.005583233,0.14131854,0.38594982,0.41800675,0.45764577,0.98883355,0.71736294,0.22810034,0.16398652,0.08470845,1,1
2014-01-13,22.579178,21.538082,22.726027,21.480549,19907100.0,-0.046108663,0.05516045,-0.8359008,0.0065037212,0.117905505,0.0025480674,0.046193734,-0.050064318,-0.90761256,1.0483375,1.0551555,0.99732876,0.9436996,0.96672344,0.9369833,0.96168613,1.0210141,0.99433684,0.9783957,0.9551174,0.9532382,0.96356624,0.045509882,0.036071606,0.036937047,0.030719163,0.030059112,0.019922666,0.0061699226,0.0049378416,0.0016673858,-0.00012539986,0.4790971,0.26818833,0.6254867,0.22832586,0.0053081317,-0.0341822,-0.0061603393,-0.0020268832,0.022584742,0.04013303,1.0801638,1.0801638,1.0801638,1.0801638,1.0801638,0.94321626,0.94138443,0.8933269,0.8933269,0.8933269,1.0137787,0.9871982,0.97507316,0.9670033,0.9921082,0.9645101,0.9507212,0.9230112,0.93155414,0.9428396,0.8,0.9,0.95,0.96666664,0.85,0.41463846,0.42236486,0.5709423,0.5709423,0.5709423,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.5,0.15,0.43333334,0.71666664,0.6,0.4,0.8,0.53333336,0.26666668,0.9304024,0.8707427,0.39082375,0.26491505,-0.09889611,0.9276252,0.84323424,0.47733226,0.32176304,0.103400625,0.8,0.6,0.55,0.46666667,0.46666667,0.2,0.4,0.45,0.53333336,0.53333336,0.6,0.2,0.1,-0.06666667,-0.06666667,0.64503866,0.56993157,0.59192455,0.54359156,0.48636785,0.3549613,0.4300684,0.40807545,0.45640844,0.5136322,0.29007736,0.1398632,0.18384907,0.08718314,-0.027264299,0.7393289,0.54207003,0.50867254,0.45814386,0.43845803,0.43191192,0.35667282,0.2890669,0.26430455,0.30653802,1.2443358,1.7858412,2.0267997,2.1900015,2.3647318,0.72901314,0.6750784,0.5691964,0.5684547,0.52554864,0.27098686,0.32492164,0.43080357,0.4315453,0.4744514,0.45802632,0.35015675,0.13839285,0.13690943,0.051097225,0,1
2014-01-14,24.13863,23.007124,24.32822,22.791233,36116750.0,-0.04687532,0.06367335,-0.7361843,0.007854234,0.123352,0.008943792,0.14046368,-0.045785762,-0.71907264,1.0491806,1.0574212,0.9906163,0.8901591,0.91233206,0.8643898,0.89763737,0.9505811,0.95281506,0.92469037,0.9009121,0.89578444,0.90286463,0.044648785,0.042882416,0.04111722,0.034834515,0.03023023,0.020274857,0.010122519,0.0056653507,0.0022916025,0.00012546689,0.51550907,0.5107756,0.6644681,0.33539817,0.00525382,0.006635236,0.02975832,0.045267053,0.0709873,0.093434066,1.0574212,1.0574212,1.0574212,1.0574212,1.0574212,0.8908974,0.88127553,0.8362865,0.8362865,0.8362865,1.0001286,0.9489187,0.9160236,0.9073592,0.9287605,0.9181575,0.89001614,0.86676186,0.8720729,0.8826378,0.8,0.9,0.95,0.96666664,0.98333335,0.6551773,0.674013,0.74033386,0.74033386,0.74033386,1.0,1.0,1.0,1.0,1.0,0.2,0.4,0.1,0.4,0.7,0.8,0.6,0.9,0.6,0.3,0.9366646,0.9416875,0.575576,0.50459874,0.014440658,0.94489837,0.90556645,0.5148806,0.36287582,0.16446416,0.8,0.6,0.6,0.5,0.48333332,0.2,0.4,0.4,0.5,0.51666665,0.6,0.2,0.2,0.0,-0.033333335,0.7299562,0.6569723,0.68228966,0.6082947,0.53167266,0.2700438,0.34302774,0.3177103,0.39170527,0.46832734,0.45991242,0.31394455,0.36457935,0.21658944,0.063345306,0.568287,0.38228396,0.31967154,0.28352198,0.24964038,0.31772888,0.28904438,0.22535488,0.1958237,0.19208959,0.8720938,1.4633844,1.8817185,2.1004946,2.3561711,0.8312029,0.80510324,0.6490132,0.62800467,0.53530353,0.16879709,0.19489679,0.35098678,0.37199533,0.46469644,0.6624058,0.6102064,0.29802644,0.25600937,0.07060711,1,1
2014-01-15,23.044382,22.619179,23.072876,22.03726,17753600.0,-0.018451495,0.044940062,-0.41058013,0.0012364784,0.027513947,0.025252085,0.5619059,0.0055641118,0.12381184,1.0187984,1.020058,0.9742732,0.9216569,0.93042636,0.8776162,0.90959305,0.9121124,0.98482555,0.9475072,0.92248297,0.9141618,0.91981465,0.037806887,0.047223434,0.044708375,0.03896377,0.032490578,0.012541196,0.012863969,0.0063455165,0.002893418,0.00025089958,0.2750908,0.68021506,0.7050569,0.4273682,0.018187994,-0.009907948,-0.0053950795,0.017234597,0.043883663,0.07278383,1.0755572,1.0755572,1.0755572,1.0755572,1.0755572,0.91984004,0.89639044,0.8506298,0.8506298,0.8506298,1.017282,1.0034302,0.9400145,0.928469,0.9472142,0.94915694,0.90528095,0.8954021,0.88702995,0.89777607,0.6,0.8,0.9,0.93333334,0.96666664,0.51477927,0.57828563,0.6640819,0.6640819,0.6640819,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.3,0.05,0.36666667,0.68333334,0.6,0.6,0.9,0.6,0.3,0.83028364,0.9496736,0.6148308,0.56650347,0.09002314,0.89874053,0.8679527,0.5404528,0.38814163,0.26297712,0.6,0.5,0.6,0.5,0.48333332,0.4,0.5,0.4,0.5,0.51666665,0.2,0.0,0.2,0.0,-0.033333335,0.66063994,0.61644495,0.6553506,0.5914257,0.55813354,0.3393601,0.38355502,0.34464937,0.40857428,0.44186643,0.32127982,0.23288992,0.31070128,0.18285142,0.11626713,1.2536185,0.8413446,0.6740389,0.60341966,0.48813906,0.55532527,0.57243824,0.4638948,0.39908144,0.32994893,0.82892853,1.3804643,1.8046585,2.0272863,2.385553,0.5719311,0.58396614,0.53759676,0.54776794,0.45679373,0.4280689,0.41603386,0.46240327,0.45223203,0.5432063,0.14386219,0.1679323,0.07519348,0.09553592,-0.08641253,0,1
