date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,4.5827956,4.6392574,4.6455307,4.5608387,33423772.0,0.012320386,0.018480424,0.6666723,0.001368874,0.07407157,0.004791163,0.25925612,0.015742674,0.8518568,0.98782957,1.0013522,0.9830967,0.985125,0.9444444,0.94895196,0.9000451,0.8766058,0.994343,0.98207116,0.9678555,0.9554616,0.9199327,0.0075439773,0.015805237,0.018856535,0.028968094,0.043118604,0.0033693938,0.0049863094,0.0027612136,0.0028057867,0.0022982901,0.49870393,0.91236335,0.7504888,0.7270615,0.86652315,-0.0010817919,-0.0045095794,0.0059129694,0.0038544757,0.012267708,1.0082263,1.0082263,1.0082263,1.0082263,1.0082263,0.9761099,0.93542933,0.93542933,0.8840432,0.8418976,1.0005859,0.9964841,0.98645484,0.9769213,0.96031106,0.9867253,0.9684922,0.95296365,0.9441289,0.87854403,0.8,0.9,0.95,0.96666664,0.98333335,0.74386096,0.8869974,0.8869974,0.9337571,0.9505422,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.55,0.1,0.033333335,0.6,0.8,0.4,0.8666667,0.95,0.59622544,-0.21652707,-0.41572708,-0.27587622,-0.45157987,-0.783307,-0.53853834,-0.05195949,-0.088290334,0.1910356,0.6,0.8,0.6,0.6,0.53333336,0.4,0.2,0.4,0.4,0.46666667,0.2,0.6,0.2,0.2,0.06666667,0.6896571,0.84767413,0.68703616,0.70076984,0.6089553,0.31034294,0.15232585,0.31296387,0.2992302,0.39104468,0.37931415,0.69534826,0.37407228,0.40153962,0.21791063,0.5641771,0.5818429,0.69663846,0.79579675,0.9568877,0.28634202,0.27585524,0.27302307,0.34460485,0.46936682,0.86781615,0.7067001,0.7068404,0.9163467,2.2638845,1.0,0.5531694,0.49963498,0.5211625,0.50422066,0.0,0.44683057,0.500365,0.47883746,0.49577934,1.0,0.10633887,-0.0007300586,0.042325057,0.008441302,0,1
2014-01-03,4.6528497,4.631938,4.6528497,4.6235733,24414914.0,-0.004494384,0.006292138,-0.71428573,0.0,0.0,0.0017977536,0.2857143,-0.0026966305,-0.42857143,1.0045147,1.0045147,0.99819416,0.98837477,0.95609486,0.94435674,0.89458245,0.8584651,0.99823934,0.98801357,0.9721671,0.9604854,0.92374533,0.006347958,0.013220343,0.019102551,0.02754368,0.04355548,0.0019300119,0.0040522628,0.0028077532,0.002657555,0.0023241502,0.23109572,0.8612341,0.7561416,0.7214767,0.8684457,-0.0020993468,-0.0062487656,0.0011592619,0.0009800823,0.007692228,1.0098195,1.0098195,1.0098195,1.0098195,1.0098195,0.98228,0.9547404,0.9369075,0.8854402,0.843228,1.0021671,1.000316,0.9901355,0.9869301,0.96383744,0.99532735,0.9753048,0.95546275,0.9481039,0.8825959,0.6,0.8,0.9,0.93333334,0.96666664,0.64344054,0.8217206,0.8653245,0.9210523,0.94105667,0.6,0.8,0.9,0.93333334,0.96666664,0.4,0.1,0.5,0.06666667,0.016666668,0.2,0.7,0.4,0.8666667,0.95,0.3819294,0.04469242,-0.3550309,-0.35185817,-0.44801515,-0.2985844,-0.45867157,-0.06733406,-0.096387185,0.21243191,0.4,0.7,0.6,0.6,0.53333336,0.6,0.3,0.4,0.4,0.46666667,-0.2,0.4,0.2,0.2,0.06666667,0.64841497,0.8072674,0.710504,0.7160038,0.6288533,0.351585,0.1927326,0.28949597,0.28399622,0.37114668,0.29683,0.6145348,0.42100802,0.43200755,0.2577066,0.89727366,0.77792543,0.9493194,1.1001347,1.3027409,0.32820567,0.3605073,0.3726288,0.46573502,0.6435815,0.8059953,0.7825168,0.7579897,0.9364933,2.3314261,0.7291985,0.47248688,0.4940725,0.5122291,0.49223077,0.2708015,0.5275131,0.5059275,0.48777094,0.5077692,0.45839697,-0.05502621,-0.011854999,0.02445812,-0.015538453,0,1
2014-01-06,4.6361203,4.7040834,4.715062,4.625142,25396240.0,0.014659482,0.019395538,0.7558173,0.0023680788,0.12209401,0.0023679761,0.12208871,0.01465938,0.755812,0.9855523,1.0023339,0.98321855,0.9818849,0.951767,0.93409646,0.87408316,0.8324072,0.9865526,0.97768396,0.96055233,0.9499518,0.9123713,0.009759063,0.013266832,0.020255698,0.025331298,0.043232415,0.0050010956,0.004064201,0.0030096075,0.002472481,0.0023059398,0.6565293,0.86025536,0.77266884,0.7383338,0.8677143,0.0034452293,0.0040271548,0.010856373,0.014197175,0.019603495,1.0023339,1.0023339,1.0023339,1.0023339,1.0023339,0.967215,0.94987786,0.92253834,0.8718604,0.83974224,0.99128693,0.9867971,0.98244053,0.9728607,0.9505223,0.98228496,0.9695265,0.94134253,0.93551904,0.8715047,1.0,1.0,1.0,1.0,1.0,0.93354386,0.9555082,0.97075194,0.98211235,0.98564583,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.45,0.033333335,0.016666668,0.8,0.9,0.55,0.96666664,0.98333335,0.44603753,0.21442989,-0.21076904,-0.386919,-0.4233075,-0.39894608,-0.38293993,-0.07346356,-0.07927014,0.22956729,0.4,0.7,0.6,0.6333333,0.55,0.6,0.3,0.4,0.36666667,0.45,-0.2,0.4,0.2,0.26666668,0.1,0.7002463,0.8200597,0.7332812,0.7530149,0.65425545,0.2997537,0.1799403,0.2667188,0.24698506,0.34574452,0.40049258,0.64011943,0.46656236,0.50602984,0.30851096,0.9716969,0.7744179,0.88291,1.0615852,1.2375772,0.21855542,0.35549393,0.32144508,0.44664848,0.61382616,0.7431837,0.88453114,0.7850786,0.9138026,2.3611112,0.71733063,0.5460259,0.45482036,0.50478137,0.48312894,0.28266937,0.45397413,0.5451796,0.49521863,0.51687104,0.43466127,0.09205172,-0.09035926,0.009562756,-0.03374212,1,0
2014-01-07,4.7046065,4.6931047,4.73336,4.6711473,23749292.0,-0.002444793,0.013223735,-0.18487917,0.006111729,0.46217877,0.0046672123,0.35294208,-0.0038893097,-0.29411584,1.0024508,1.0085775,0.99532133,0.9750474,0.9582266,0.9488694,0.88303447,0.85418296,0.99385095,0.9841484,0.96535593,0.9560729,0.9169359,0.006919283,0.012226272,0.02163235,0.023302155,0.043977283,0.0030968017,0.0037165668,0.0033281383,0.0023099938,0.002349247,0.5007773,0.84704643,0.82844454,0.76160747,0.870363,-4.4563414e-05,-0.00087295007,0.003026759,0.010432139,0.013761313,1.0085775,1.0085775,1.0085775,1.0085775,1.0085775,0.97181696,0.95622146,0.92469645,0.88325715,0.84571683,1.0004679,0.993138,0.9872786,0.9772307,0.9543723,0.9882144,0.9748024,0.9435446,0.93859863,0.8750808,0.8,0.9,0.95,0.96666664,0.98333335,0.7666658,0.8361699,0.89774215,0.93155545,0.9473323,1.0,1.0,1.0,1.0,1.0,0.4,0.1,0.4,0.033333335,0.11666667,0.6,0.9,0.6,0.96666664,0.8833333,-0.26023024,0.5377782,-0.1506209,-0.3834923,-0.4116607,0.047607698,-0.35371962,-0.011035766,-0.07891409,0.24606381,0.4,0.6,0.55,0.6,0.53333336,0.6,0.4,0.45,0.4,0.46666667,-0.2,0.2,0.1,0.2,0.06666667,0.82369876,0.7836614,0.69465655,0.7388537,0.638343,0.17630126,0.21633857,0.30534348,0.26114634,0.36165705,0.64739746,0.56732285,0.38931304,0.47770733,0.2766859,1.0816281,0.80484813,0.93752986,1.1269913,1.3110545,0.19206117,0.3591681,0.3411928,0.47776315,0.65537626,0.9172698,0.95451874,0.8181071,0.9473518,2.448705,0.59581804,0.4570047,0.48988503,0.4905617,0.48676318,0.40418196,0.5429953,0.51011497,0.5094383,0.5132368,0.1916361,-0.0859906,-0.020229952,-0.01887661,-0.026473641,0,0
2014-01-08,4.685786,4.6706247,4.695719,4.6355977,29136818.0,-0.0032355378,0.012830518,-0.25217515,0.002119814,0.16521657,0.007475166,0.5826083,0.002119814,0.16521657,1.0032461,1.0053728,0.99250054,0.9961943,0.96832323,0.95701814,0.91336477,0.86333114,0.99939555,0.99205285,0.97215134,0.9635624,0.92362696,0.006825826,0.010321084,0.02249668,0.022710128,0.04466745,0.0026527792,0.0029699248,0.0035676835,0.0022485498,0.0023911542,0.37759987,0.7590173,0.8802456,0.75974447,0.8740428,-0.004701128,-0.0054175025,-0.0060443343,0.0038335987,0.0058339657,1.0134318,1.0134318,1.0134318,1.0134318,1.0134318,0.9764944,0.96821135,0.92914706,0.9147079,0.84978735,1.0052832,1.0009626,0.99386615,0.9894784,0.9609582,0.9929707,0.98009855,0.948086,0.9450414,0.8801881,0.6,0.8,0.9,0.93333334,0.96666664,0.6363629,0.70296997,0.8406374,0.8639455,0.9179206,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.35,0.033333335,0.1,0.6,0.8,0.6,0.93333334,0.8833333,-0.42446667,0.7236269,-0.06310978,-0.3415282,-0.40169927,-0.15701276,-0.36176065,-0.02879385,-0.09006009,0.2458323,0.2,0.5,0.5,0.56666666,0.51666665,0.8,0.5,0.5,0.43333334,0.48333332,-0.6,0.0,0.0,0.13333334,0.033333335,0.57024837,0.71603096,0.6613448,0.6927292,0.62909716,0.42975166,0.28396907,0.33865517,0.30727085,0.37090284,0.14049667,0.43206188,0.32268962,0.3854583,0.25819433,0.9343576,0.69332105,0.75807613,0.91755897,1.0680751,0.13877815,0.31179178,0.27109227,0.38915113,0.53424925,0.99950224,0.9268042,0.8126745,0.8993637,2.4529424,0.63247144,0.5926185,0.48851225,0.49854732,0.49925727,0.36752856,0.40738147,0.5114877,0.5014527,0.50074273,0.26494288,0.18523705,-0.022975504,-0.0029053646,-0.0014854416,0,1
2014-01-09,4.691537,4.6502357,4.713494,4.6277556,17585696.0,-0.008803352,0.018275073,-0.48171362,0.0046801125,0.25609267,0.004791609,0.2621937,-0.008691856,-0.4756126,1.0088816,1.0136032,0.9951658,0.99763924,0.98279935,0.9597527,0.93164706,0.86520517,1.0042496,0.9981226,0.97842616,0.97006565,0.92992324,0.0063930033,0.009222304,0.022824438,0.022486785,0.04505653,6.7451096e-05,0.0022722946,0.0036572027,0.0022169908,0.0024143173,0.00027829673,0.5564957,0.89859897,0.7533118,0.87573576,-0.0043845056,-0.008347914,-0.013169554,-0.002211993,-0.0011455922,1.0178753,1.0178753,1.0178753,1.0178753,1.0178753,0.99426645,0.97380555,0.933221,0.9253514,0.85351324,1.0096909,1.0053513,1.0001124,0.99638003,0.96816194,0.99921304,0.9915009,0.9522429,0.95071393,0.8878022,0.4,0.6,0.8,0.8666667,0.93333334,0.24285634,0.5943869,0.78884405,0.8068038,0.8912446,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.1,0.3,0.033333335,0.083333336,0.4,0.7,0.6,0.9,0.8833333,0.3312693,0.62677866,-0.040723234,-0.33241048,-0.40273443,0.26975444,-0.04625573,0.0074877483,-0.0751697,0.25876588,0.2,0.4,0.5,0.53333336,0.51666665,0.8,0.6,0.5,0.46666667,0.48333332,-0.6,-0.2,0.0,0.06666667,0.033333335,0.5411747,0.6268656,0.6472041,0.6583333,0.6261841,0.4588253,0.3731344,0.35279593,0.34166667,0.37381592,0.082349405,0.25373122,0.29440814,0.31666663,0.25236818,1.3679636,1.2201257,1.2190502,1.4869313,1.7443559,0.2373683,0.42539817,0.43756193,0.6449636,0.8851274,1.0432221,0.9006337,0.79660666,0.9262945,2.4553838,0.22287588,0.61019796,0.46040222,0.4726431,0.47966978,0.7771241,0.389802,0.53959775,0.5273569,0.5203302,-0.5542483,0.22039595,-0.079195544,-0.05471381,-0.04066041,0,1
2014-01-10,4.6763754,4.6868315,4.6993785,4.631938,21363416.0,0.0022359379,0.014421535,0.1550416,0.0026830644,0.18604569,0.009502532,0.6589127,0.009055406,0.62790865,0.99776906,1.0026771,0.98828775,0.98828775,0.97679865,0.9444506,0.9399888,0.85856104,0.9987506,0.99264914,0.97356385,0.9644915,0.9250195,0.004485037,0.008233923,0.0226527,0.02290642,0.04499547,-0.0016508601,0.001880035,0.0036301562,0.0022864842,0.0024136032,0.33871034,0.47789186,0.89883244,0.7721891,0.8775946,0.004551064,-0.0011093168,-0.008050315,0.002354468,0.0037792078,1.0099275,1.0099275,1.0099275,1.0099275,1.0099275,0.98683774,0.97077525,0.92593414,0.92593414,0.84684885,1.001807,1.0002677,0.99350804,0.9903179,0.96700495,0.995672,0.98773,0.9470385,0.9442721,0.8825655,0.6,0.8,0.9,0.93333334,0.96666664,0.57004875,0.74643934,0.8818065,0.8818065,0.9391247,0.4,0.7,0.85,0.9,0.95,0.2,0.2,0.25,0.5,0.06666667,0.2,0.5,0.6,0.4,0.8833333,0.50430053,0.40503806,-0.046981853,-0.2863021,-0.40866503,0.351626,-0.028377006,-0.058185574,-0.12811215,0.25958145,0.4,0.4,0.55,0.53333336,0.51666665,0.6,0.6,0.45,0.46666667,0.48333332,-0.2,-0.2,0.1,0.06666667,0.033333335,0.66881055,0.6580549,0.70476997,0.6454056,0.6315354,0.33118948,0.3419451,0.29523,0.3545944,0.3684646,0.33762106,0.31610975,0.40953997,0.29081118,0.26307082,1.0974973,1.0614676,1.0124766,1.1706944,1.4283022,0.20263639,0.2867412,0.35760504,0.46418044,0.7307711,0.8117355,0.76450115,0.79060256,0.71009105,2.436215,0.43464243,0.6077348,0.51240367,0.44395158,0.49247074,0.56535757,0.3922652,0.4875963,0.5560484,0.50752926,-0.13071513,0.2154696,0.02480737,-0.11209683,-0.015058514,1,0
2014-01-13,4.66592,4.692582,4.7537484,4.6429167,35826264.0,0.0057142754,0.02375346,0.24056602,0.01310916,0.55188423,0.004930025,0.20754977,-0.0024648593,-0.10376843,0.9943182,1.0130347,0.9894162,1.002451,0.98429143,0.94240195,0.9455213,0.85650617,0.9970365,0.99300355,0.97525066,0.9651255,0.92627746,0.0039029687,0.008208452,0.02227252,0.023569401,0.045111638,0.00032309533,0.0018689546,0.003547219,0.0023977172,0.0024212196,0.017132126,0.47521096,0.88778,0.8020483,0.8785997,0.0023172915,-0.0014138428,-0.008949235,0.00010759574,0.0022965497,1.0130347,1.0130347,1.0130347,1.0130347,1.0130347,0.9861853,0.9695856,0.92479944,0.92479944,0.84581107,1.0000223,1.0000223,0.99601156,0.99108726,0.9741756,0.9944518,0.9883244,0.95256233,0.94311494,0.882754,0.8,0.8,0.9,0.93333334,0.96666664,0.5145255,0.7000012,0.8522736,0.8522736,0.92205244,1.0,1.0,1.0,1.0,1.0,0.6,0.1,0.2,0.46666667,0.05,0.4,0.9,0.8,0.53333336,0.95,0.58236253,0.3902114,0.06721225,-0.19968082,-0.36109483,0.453212,-0.06940585,-0.05092633,-0.11438537,0.2628329,0.4,0.4,0.6,0.53333336,0.53333336,0.6,0.6,0.4,0.46666667,0.46666667,-0.2,-0.2,0.2,0.06666667,0.06666667,0.4402183,0.6192896,0.7120593,0.63575816,0.63355476,0.5597817,0.38071045,0.2879407,0.36424184,0.36644524,-0.119563386,0.23857911,0.42411858,0.27151632,0.2671095,0.71266985,0.7007393,0.6176761,0.6967789,0.8445313,0.19868192,0.1684346,0.22979009,0.2752074,0.4295734,0.56177324,0.8220366,0.77874213,0.7475679,2.438094,0.6416116,0.6767401,0.53099394,0.49765486,0.48797128,0.3583884,0.32325992,0.4690061,0.50234514,0.51202875,0.2832232,0.35348016,0.06198784,-0.004690261,-0.024057455,1,0
2014-01-14,4.702515,4.652327,4.7427697,4.6366434,23395466.0,-0.0106726,0.02256799,-0.4729088,0.008560226,0.37930834,0.0033351623,0.14778288,-0.015897663,-0.7044343,1.0107877,1.0194403,0.9966289,1.008765,0.98359376,0.9492078,0.96426564,0.87481743,1.0039105,1.0032363,0.98622876,0.97466755,0.9363786,0.0041558202,0.0054620616,0.021197239,0.02418754,0.045598544,0.00012361842,0.00059795874,0.003266481,0.0025260611,0.0024490824,0.0022120394,0.109860286,0.83113146,0.84529066,0.8798419,-0.0041577853,-0.005927124,-0.01726036,-0.011295454,-0.008626558,1.0218002,1.0218002,1.0218002,1.0218002,1.0218002,0.9947185,0.98033494,0.9328014,0.9328014,0.85312957,1.0076638,1.0086751,1.0046297,1.0000224,0.98368365,0.9999101,0.9990785,0.96577144,0.9512754,0.8907518,0.4,0.4,0.7,0.8,0.9,0.19502245,0.47425482,0.7550511,0.7550511,0.87075317,0.8,0.9,0.95,0.96666664,0.98333335,0.4,0.2,0.15,0.43333334,0.033333335,0.4,0.7,0.8,0.53333336,0.95,0.6430568,0.15619123,0.006984119,-0.20276059,-0.35486665,0.60808176,0.28453594,-0.015091163,-0.0265857,0.28464416,0.4,0.4,0.6,0.5,0.51666665,0.6,0.6,0.4,0.5,0.48333332,-0.2,-0.2,0.2,0.0,0.033333335,0.33750108,0.62457275,0.67601234,0.5891256,0.61599344,0.6624989,0.37542725,0.32398766,0.41087443,0.38400653,-0.3249978,0.2491455,0.3520247,0.17825118,0.23198691,1.0883105,1.0931485,0.96667784,1.0746895,1.2839413,0.30526888,0.24153148,0.3415,0.41790596,0.6579507,0.513414,0.81249106,0.71116006,0.7474376,2.465729,0.49628413,0.5317575,0.53018934,0.5091739,0.48975986,0.5037159,0.46824256,0.46981066,0.49082607,0.51024014,-0.007431756,0.06351492,0.060378686,0.018347863,-0.02048025,0,0
2014-01-15,4.6591234,4.6544185,4.7004237,4.6507587,19967664.0,-0.0010098363,0.010659725,-0.09473381,0.0088643925,0.83157796,0.0007854965,0.073688254,-0.009088732,-0.8526235,1.0010109,1.0098842,0.9992137,1.0034819,0.99966294,0.95417273,0.9555206,0.8688082,1.002763,1.0028192,0.988077,0.97571224,0.9381444,0.004431813,0.00543919,0.020035667,0.024352985,0.045448735,-0.0005615907,0.00023758128,0.0029689244,0.0025621587,0.0024391562,0.04014366,0.017489098,0.7685263,0.8578461,0.8784872,-0.0016398896,-0.0038883388,-0.016281784,-0.012863561,-0.01009951,1.021341,1.021341,1.021341,1.021341,1.021341,0.9942715,0.9798944,0.9323823,0.9323823,0.85274625,1.007211,1.0082219,1.0041783,0.99973035,0.98535323,0.9994608,0.99862957,0.9705941,0.950848,0.89163196,0.6,0.5,0.75,0.8333333,0.9166667,0.21162187,0.4850962,0.76010215,0.76010215,0.8734184,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.1,0.1,0.4,0.016666668,0.4,0.7,0.8,0.53333336,0.95,0.7110922,0.16580692,0.086548254,-0.16959915,-0.3567047,0.68688524,0.28010058,-0.055482965,0.10083818,0.2842916,0.6,0.4,0.6,0.53333336,0.53333336,0.4,0.6,0.4,0.46666667,0.46666667,0.2,-0.2,0.2,0.06666667,0.06666667,0.42288756,0.5033869,0.66451615,0.6155195,0.6227925,0.57711244,0.49661312,0.33548388,0.3844805,0.37720755,-0.15422489,0.0067737843,0.32903227,0.23103899,0.24558492,1.1832982,1.2733564,1.1030593,1.2020689,1.4918848,0.3575511,0.28992513,0.38604623,0.4071655,0.7729378,0.82012653,0.9280539,0.7828218,0.7566465,2.491149,0.39957178,0.49003512,0.45972368,0.43455285,0.48833987,0.6004282,0.5099649,0.54027635,0.56544715,0.51166016,-0.20085642,-0.019929793,-0.08055266,-0.13089427,-0.023320261,1,0
