date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,5.549129,5.528132,5.566627,5.4756384,20022826.0,-0.0037838456,0.016396923,-0.2307656,0.0031532906,0.19230992,0.009459786,0.5769245,0.0025226497,0.15384898,1.0037982,1.0069635,0.99050426,0.96623766,0.943237,0.9670818,0.96407115,0.861488,0.99645513,0.97835004,0.97026813,0.9684175,0.94154763,0.012319902,0.021470653,0.018541792,0.015839132,0.037803937,0.005718459,0.0067217867,0.001727474,0.0008259691,0.0018997301,0.5386213,0.8984426,0.3037999,0.2107495,0.77021074,-0.007892036,-0.008598053,0.013320891,0.019605916,0.0024103478,1.0116061,1.0116061,1.0116061,1.0116061,1.0116061,0.96497166,0.93353033,0.93353033,0.93353033,0.83741236,1.0050224,1.0008019,0.980418,0.9764508,0.96750385,0.9887742,0.95910555,0.9555604,0.9567842,0.9161291,0.6,0.8,0.9,0.93333334,0.96666664,0.7511264,0.8513486,0.8513486,0.8513486,0.9333727,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.1,0.55,0.7,0.016666668,0.4,0.7,0.35,0.23333333,0.95,0.82574517,0.14785096,0.04688439,-0.019621886,-0.54962504,0.7534648,0.420685,0.0077085625,-0.11423245,-0.084846176,0.6,0.6,0.5,0.5,0.6,0.4,0.4,0.5,0.5,0.4,0.2,0.2,0.0,0.0,0.2,0.82519954,0.8256647,0.6120684,0.59340423,0.66179,0.17480044,0.17433529,0.3879316,0.40659574,0.33820996,0.65039915,0.65132946,0.22413686,0.18680853,0.3235801,0.9249046,0.9281113,0.87047124,0.84914225,1.0427008,0.24134257,0.3654744,0.30488485,0.27931947,0.49317178,0.772856,0.7802828,0.83442473,0.8699044,1.0034279,0.6655245,0.48775876,0.5247163,0.5027305,0.4950463,0.33447552,0.51224124,0.47528368,0.49726948,0.50495374,0.33104897,-0.024482496,0.049432606,0.0054610274,-0.009907427,0,0
2014-01-03,5.5257993,5.4674735,5.540964,5.442977,32091210.0,-0.010555173,0.01773267,-0.5952388,0.0027443727,0.15476364,0.0044331243,0.24999757,-0.008866421,-0.5000049,1.0106678,1.0134414,0.9955196,0.98847896,0.96394277,0.9722635,0.9696866,0.8549583,1.0098144,0.99280995,0.9824195,0.98017204,0.9544109,0.00849018,0.019971821,0.019087479,0.016349237,0.03653153,-0.0014295242,0.00570112,0.0018791407,0.0009042298,0.001835039,0.07087437,0.74695855,0.33922634,0.23706327,0.76958174,-0.0069553764,-0.018465009,-0.00027133097,0.0067166574,-0.008544556,1.0228293,1.0228293,1.0228293,1.0228293,1.0228293,0.98506504,0.9569021,0.9438873,0.9438873,0.8549585,1.0161725,1.0119052,1.0005121,0.987796,0.9801154,1.0020483,0.97580546,0.9661618,0.9673991,0.931839,0.2,0.6,0.8,0.8666667,0.93333334,0.39547908,0.65372014,0.7108096,0.7108096,0.864007,0.4,0.7,0.85,0.9,0.95,0.2,0.1,0.5,0.6666667,0.016666668,0.2,0.6,0.35,0.23333333,0.93333334,-0.1853075,0.26565775,0.16774149,0.05085664,-0.44980767,0.25788844,0.22442415,-0.016560268,-0.19119574,-0.035141684,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.4,-0.2,0.0,0.0,0.0,0.2,0.61065376,0.702638,0.5900284,0.5756029,0.66951364,0.38934624,0.29736203,0.4099716,0.42439708,0.33048633,0.22130752,0.40527597,0.1800568,0.15120584,0.33902732,0.694222,0.6150661,0.55541205,0.5499173,0.64023876,0.20883596,0.2642563,0.21135542,0.1922689,0.28408685,0.68684685,0.7797675,0.83474874,0.8632231,0.87567085,0.74489576,0.562968,0.5315813,0.5551066,0.47575417,0.25510427,0.43703198,0.46841872,0.4448934,0.5242458,0.48979148,0.12593605,0.063162565,0.1102132,-0.04849165,0,0
2014-01-06,5.4581423,5.438311,5.4908047,5.4254794,30586730.0,-0.0036333206,0.011968406,-0.303576,0.005984159,0.49999636,0.002350926,0.19642766,-0.0072665536,-0.60714465,1.0036466,1.0096525,0.9976405,1.0079365,0.96675247,0.98219633,0.97105587,0.86741704,1.0136422,1.0014585,0.9885778,0.9863929,0.9617385,0.010695609,0.01678829,0.019334093,0.016413663,0.035041302,-0.0066709807,0.003741394,0.0019784044,0.00090397213,0.0017551037,0.9725419,0.45526618,0.3664802,0.23507191,0.76514703,-0.00030020258,-0.01829484,-0.0073726447,0.00049951306,-0.013514115,1.0283141,1.0283141,1.0283141,1.0283141,1.0283141,0.9976405,0.96632355,0.9489488,0.9489488,0.8727373,1.0216216,1.0173315,1.0058773,0.99502367,0.9868725,1.0042899,0.98528516,0.97134274,0.9731016,0.9386234,0.2,0.5,0.75,0.8333333,0.9166667,0.076922856,0.54325175,0.6432435,0.6432435,0.8180058,0.2,0.6,0.8,0.8666667,0.93333334,1.0,0.1,0.45,0.6333333,0.033333335,-0.8,0.5,0.35,0.23333333,0.9,-0.6436974,0.1786342,0.22006202,0.09402351,-0.3917602,0.29735345,0.20443542,0.0007820007,-0.17502728,-0.016954433,0.2,0.5,0.45,0.5,0.5833333,0.8,0.5,0.55,0.5,0.41666666,-0.6,0.0,-0.1,0.0,0.16666667,0.40886804,0.679814,0.5572419,0.57126135,0.6550317,0.591132,0.32018605,0.44275805,0.42873862,0.34496832,-0.18226393,0.3596279,0.11448389,0.14252272,0.31006336,0.8171301,0.696791,0.59730947,0.59271246,0.6717671,0.22179936,0.29164746,0.23933694,0.21569397,0.2981013,0.7514626,0.68447906,0.8159011,0.8374582,0.88128763,0.6876852,0.58996016,0.5359873,0.5415803,0.5000863,0.31231484,0.41003987,0.46401268,0.45841965,0.49991372,0.37537035,0.17992027,0.07197463,0.083160676,0.0001725618,0,0
2014-01-07,5.3251586,5.3706527,5.4021487,5.279664,35319620.0,0.008543234,0.023001134,0.37142667,0.0059145745,0.25714275,0.008543325,0.37143058,0.0111719845,0.4857145,0.9915291,1.0058645,0.98305815,1.0386622,0.98870564,1.0047784,0.9871679,0.8882573,1.0186794,1.0152042,1.0007927,0.999247,0.9757167,0.013395398,0.015429719,0.01955868,0.016474726,0.033806812,-0.008362281,0.0013295417,0.0020477467,0.0008426234,0.0016749962,0.97426766,0.06806115,0.38365555,0.20273668,0.74871933,-0.0019548303,-0.021187115,-0.020246388,-0.011465051,-0.025129113,1.0399652,1.0412686,1.0412686,1.0412686,1.0412686,0.98305815,0.98305815,0.96090347,0.96090347,0.88373184,1.0301476,1.0301476,1.0185491,1.0075587,1.0005213,1.0100782,0.9996959,0.9835795,0.98536056,0.9516118,0.2,0.3,0.55,0.6,0.8,0.29771057,0.29104462,0.48648635,0.48648635,0.7380384,0.2,0.5,0.75,0.8333333,0.9166667,1.0,1.0,0.4,0.6,0.016666668,-0.8,-0.5,0.35,0.23333333,0.9,-0.91868305,0.301461,0.20404927,0.09128819,-0.33601606,-0.5396214,0.03907061,0.048480954,-0.1779147,-0.021585017,0.0,0.4,0.4,0.46666667,0.56666666,1.0,0.6,0.6,0.53333336,0.43333334,-1.0,-0.2,-0.2,-0.06666667,0.13333334,0.0,0.5585575,0.4850546,0.52993095,0.6282419,1.0,0.44144252,0.5149454,0.47006905,0.3717581,-1.0,0.117114976,-0.029890759,0.059861917,0.2564838,0.76024854,0.60455567,0.54722697,0.53066754,0.5843193,0.23364192,0.2545093,0.23144212,0.20665279,0.26157352,0.734642,0.71477216,0.83340114,0.8490201,0.88841623,0.64572865,0.50277996,0.5873556,0.5518122,0.50690085,0.35427135,0.49722007,0.41264436,0.44818786,0.49309918,0.29145727,0.005559881,0.17471127,0.10362429,0.013801657,0,0
2014-01-08,5.376485,5.329824,5.376485,5.295995,31317970.0,-0.0086787,0.01497068,-0.57971317,0.0,0.0,0.00629198,0.42028686,-0.0023867202,-0.1594263,1.0087547,1.0087547,0.99365294,1.0413659,1.0061283,1.0102869,0.9925585,0.90657014,1.0182097,1.0223682,1.007945,1.0071497,0.9847483,0.014717338,0.01638427,0.019792354,0.01643398,0.032608222,-0.009258032,-0.0010373032,0.001971443,0.000705633,0.0015855168,0.9892792,0.036742505,0.34724942,0.14288081,0.72108644,0.00030633103,-0.017700374,-0.026673654,-0.017381394,-0.031521037,1.0444298,1.0492451,1.0492451,1.0492451,1.0492451,0.99058884,0.99058884,0.9682644,0.9682644,0.8994044,1.0281025,1.038039,1.0263516,1.015277,1.0081857,1.0061283,1.006566,0.99111414,0.9940469,0.95964,0.2,0.1,0.45,0.36666667,0.6666667,0.17479582,0.16044617,0.3918907,0.3918907,0.6713501,0.2,0.4,0.7,0.8,0.9,0.8,0.9,0.35,0.56666666,0.016666668,-0.6,-0.5,0.35,0.23333333,0.8833333,-0.7421108,0.009379704,0.17947504,0.06775868,-0.3600627,-0.40194765,0.38367343,0.06077827,-0.16236861,0.016550802,0.0,0.3,0.4,0.46666667,0.55,1.0,0.7,0.6,0.53333336,0.45,-1.0,-0.4,-0.2,-0.06666667,0.1,0.0,0.46774176,0.4691191,0.5167985,0.60735095,1.0,0.5322582,0.53088087,0.48320147,0.39264902,-1.0,-0.06451646,-0.061761793,0.033597026,0.21470192,0.9536912,0.7415706,0.6493129,0.61292166,0.6674835,0.18495567,0.2845834,0.26680413,0.24418089,0.29738072,0.5652357,0.66457856,0.76436174,0.8080047,0.88625854,0.78897387,0.6738206,0.58247066,0.53752494,0.5207985,0.21102613,0.32617936,0.41752934,0.4624751,0.4792015,0.57794774,0.34764126,0.16494133,0.07504983,0.04159698,0,0
2014-01-09,5.3496547,5.3064938,5.377651,5.3018274,31134520.0,-0.008067981,0.014173585,-0.5692266,0.005233336,0.36923164,0.00087226724,0.06154175,-0.01242905,-0.87691647,1.0081336,1.0134095,0.99912065,1.0417674,1.0065949,1.0169268,1.0010991,0.91469973,1.0143329,1.0262036,1.01153,1.011541,0.99049944,0.01299728,0.017460318,0.020035157,0.016531494,0.031286873,-0.008111696,-0.0038583428,0.0018751521,0.0005617742,0.0014843284,0.97377443,0.4476192,0.3065883,0.08949549,0.686492,0.0018905293,-0.008841094,-0.029344024,-0.01968678,-0.034287136,1.0441855,1.0538582,1.0538582,1.0538582,1.0538582,0.994944,0.994944,0.9725214,0.9725214,0.90401304,1.02594,1.0426028,1.030864,1.0197408,1.0126182,1.0035173,1.0105518,0.99547166,0.99841726,0.96643245,0.2,0.1,0.4,0.26666668,0.5833333,0.10267781,0.085820004,0.33783716,0.33783716,0.6405744,0.2,0.3,0.65,0.76666665,0.8833333,0.6,0.8,0.3,0.53333336,0.016666668,-0.4,-0.5,0.35,0.23333333,0.8666667,-0.01463516,-0.4290772,0.15880255,0.04438532,-0.40032658,-0.65345216,0.38389447,0.06794085,-0.16655207,0.019792888,0.0,0.3,0.35,0.43333334,0.53333336,1.0,0.7,0.65,0.56666666,0.46666667,-1.0,-0.4,-0.3,-0.13333334,0.06666667,0.0,0.4655965,0.45006496,0.49753225,0.59752464,1.0,0.5344035,0.54993504,0.50246775,0.4024754,-1.0,-0.068807006,-0.09987011,-0.0049354946,0.19504923,1.0306891,0.8127508,0.68476963,0.62613046,0.68047893,0.06051463,0.2551641,0.27019837,0.2549304,0.3007362,0.48205534,0.59302276,0.7176078,0.7973718,0.87664735,0.7470269,0.7009391,0.58068323,0.5253758,0.5220924,0.25297305,0.2990609,0.41931674,0.47462422,0.4779076,0.4940539,0.4018782,0.16136649,0.05075155,0.044184778,0,0
2014-01-10,5.3029943,5.2796636,5.377651,5.255167,21383282.0,-0.004399531,0.02309718,-0.19047916,0.014078266,0.6095232,0.004619382,0.19999766,-0.013858415,-0.6000047,1.004419,1.0185595,0.9953602,1.0355723,1.0236415,1.0037562,1.0148036,0.910799,1.0123731,1.0290544,1.0164827,1.016188,0.99701965,0.0117320595,0.020117639,0.02028076,0.016890738,0.029414978,-0.0072249677,-0.00611017,0.0014426213,0.00044405583,0.0013555776,0.94812,0.8455981,0.17709419,0.05356481,0.6477562,0.0020769027,-0.0015586918,-0.030187568,-0.022626858,-0.03700919,1.0399914,1.0592136,1.0592136,1.0592136,1.0592136,0.9953602,0.9953602,0.9774636,0.9774636,0.9147447,1.0197968,1.047901,1.0361027,1.0249228,1.0177642,1.0040654,1.0086169,0.9996465,1.0021654,0.97265893,0.2,0.1,0.25,0.16666667,0.43333334,0.10395857,0.07266316,0.27567452,0.27567452,0.5901289,0.2,0.2,0.6,0.73333335,0.8666667,1.0,1.0,0.25,0.5,0.033333335,-0.8,-0.8,0.35,0.23333333,0.8333333,0.5543023,-0.4533729,0.12391665,0.031410713,-0.41460007,-0.6295237,0.35405958,0.13903455,-0.1475715,0.05408945,0.0,0.2,0.35,0.4,0.53333336,1.0,0.8,0.65,0.6,0.46666667,-1.0,-0.6,-0.3,-0.2,0.06666667,0.0,0.3679003,0.4880448,0.46639848,0.60227543,1.0,0.6320997,0.5119552,0.5336015,0.39772454,-1.0,-0.26419938,-0.023910396,-0.06720305,0.20455089,1.4005532,1.2212075,1.013817,0.90950394,0.9905526,0.2406281,0.3242371,0.38556105,0.37045205,0.4378692,0.6147298,0.62222135,0.7473892,0.81288654,0.8856512,0.23460685,0.5690713,0.52780217,0.49627867,0.49960157,0.76539314,0.4309287,0.47219786,0.5037213,0.50039846,-0.53078634,0.1381426,0.0556043,-0.007442647,-0.0007968739,0,0
2014-01-13,5.255167,5.209673,5.2959957,5.198008,27180016.0,-0.008657019,0.018645963,-0.4642838,0.00776925,0.41667193,0.002219695,0.11904426,-0.014206573,-0.7619115,1.0087327,1.0165697,0.9977609,1.0438873,1.0521721,1.0145545,1.036498,0.9323661,1.0171965,1.0376624,1.0294111,1.0286237,1.0115416,0.011554273,0.024085766,0.021375285,0.017906973,0.028034717,-0.007142865,-0.007911645,0.00078537903,0.00030341835,0.0012244316,0.95543176,0.9890634,0.047250107,0.022250567,0.5818037,-0.0029108296,-0.0020599393,-0.036872227,-0.033023246,-0.047662318,1.0369458,1.0734439,1.0734439,1.0734439,1.0734439,0.9977609,0.9977609,0.9905956,0.9905956,0.927034,1.0246305,1.0619793,1.0500224,1.0386925,1.0314375,1.0107478,1.0175548,1.0114195,1.0143305,0.9882145,0.2,0.1,0.05,0.033333335,0.3,0.057141323,0.029584954,0.11351389,0.11351389,0.49836773,0.2,0.1,0.55,0.7,0.85,1.0,1.0,0.2,0.46666667,0.016666668,-0.8,-0.9,0.35,0.23333333,0.8333333,0.62268513,-0.3851213,0.043039892,-0.01628463,-0.32606155,-0.8107692,0.19850002,0.10019014,-0.1319286,-0.018997163,0.0,0.1,0.35,0.36666667,0.51666665,1.0,0.9,0.65,0.6333333,0.48333332,-1.0,-0.8,-0.3,-0.26666668,0.033333335,0.0,0.20802087,0.45718026,0.42017648,0.5758152,1.0,0.79197913,0.54281974,0.57982355,0.4241848,-1.0,-0.58395827,-0.0856395,-0.15964706,0.1516304,1.0767868,0.9981675,0.8176323,0.7319246,0.7565923,0.19366999,0.2263335,0.3027781,0.2932078,0.2765921,0.555059,0.61611974,0.69596636,0.80358624,0.8379183,0.4303785,0.58385295,0.5410172,0.53659374,0.44691047,0.5696215,0.41614705,0.45898283,0.46340626,0.5530895,-0.139243,0.16770591,0.08203436,0.07318745,-0.10617904,0,0
2014-01-14,5.209674,5.1793447,5.227172,5.178178,27172296.0,-0.0058217132,0.0094044395,-0.6190388,0.0033587546,0.35714564,0.00022397189,0.023815548,-0.008956496,-0.9523689,1.0058558,1.0092342,0.9997747,1.0369368,1.077027,1.0218467,1.0421169,0.9476571,1.0157655,1.0360358,1.0343466,1.0332431,1.0183371,0.012384203,0.024707312,0.022746226,0.019022522,0.026776435,-0.007680112,-0.008124478,6.909213e-05,0.00013318352,0.0010846524,0.96147716,0.99117744,0.0003229286,0.0037989754,0.50046706,-0.00040530763,0.00052434957,-0.035003006,-0.035174176,-0.05033442,1.038288,1.0783781,1.0797297,1.0797297,1.0797297,0.9997747,0.9997747,0.9963961,0.9963961,0.94810414,1.0254501,1.0579727,1.056171,1.0447747,1.0374773,1.0046844,1.0166663,1.016171,1.0190086,0.99726343,0.2,0.1,0.05,0.033333335,0.23333333,0.005849505,0.002866078,0.043246593,0.043246593,0.394269,0.4,0.1,0.5,0.6666667,0.8333333,1.0,1.0,0.15,0.43333334,0.033333335,-0.6,-0.9,0.35,0.23333333,0.8,0.28911424,-0.38423812,-0.055518053,-0.039666466,-0.2874125,-0.7275692,-0.59024954,0.116321295,-0.12839605,0.009119053,0.0,0.0,0.3,0.36666667,0.5,1.0,1.0,0.7,0.6333333,0.5,-1.0,-1.0,-0.4,-0.26666668,0.0,0.0,0.0,0.43774113,0.41052678,0.55885446,1.0,1.0,0.5622589,0.58947325,0.44114554,-1.0,-1.0,-0.12451777,-0.17894645,0.11770895,1.0171248,1.0026629,0.84516215,0.7565828,0.7524764,0.1487145,0.22595055,0.29278296,0.28354698,0.2706307,0.5081886,0.61040175,0.6404949,0.7576584,0.8395277,0.29364243,0.5110849,0.55758315,0.5566013,0.4889238,0.7063576,0.4889151,0.44241688,0.4433987,0.5110762,-0.41271517,0.0221698,0.11516626,0.113202564,-0.022152433,0,0
2014-01-15,5.1863427,5.161846,5.1921754,5.16068,25291490.0,-0.004723281,0.0060727904,-0.7777778,0.0011246214,0.18519023,0.00022488751,0.03703199,-0.005623015,-0.92593604,1.0047457,1.0058757,0.99977404,1.0325422,1.0752542,1.0198869,1.0350282,0.9571475,1.0127006,1.0320225,1.0368587,1.035578,1.0225035,0.012217296,0.02416185,0.024047632,0.020232696,0.025662266,-0.0075479606,-0.007928762,-0.0007551073,-0.000115278795,0.0009430467,0.95422107,0.98710144,0.03450967,0.002515898,0.4118853,0.002395416,0.0036569163,-0.02968517,-0.033906527,-0.050323393,1.0418078,1.0784179,1.0833899,1.0833899,1.0833899,0.99977404,0.99977404,0.99977386,0.99977386,0.9513182,1.0238643,1.0546893,1.0597513,1.0483165,1.0409943,1.002712,1.0080904,1.0168587,1.0207908,1.0010535,0.2,0.1,0.05,0.033333335,0.2,0.005375564,0.0028731413,0.0027045002,0.0027045002,0.36860135,0.2,0.1,0.45,0.6333333,0.81666666,1.0,1.0,0.1,0.4,0.016666668,-0.8,-0.9,0.35,0.23333333,0.8,0.08520808,0.03568319,-0.124069825,-0.081448376,-0.24229938,-0.7222147,-0.58627146,0.13082817,-0.0433531,0.010721823,0.0,0.0,0.3,0.36666667,0.48333332,1.0,1.0,0.7,0.6333333,0.51666665,-1.0,-1.0,-0.4,-0.26666668,-0.033333335,0.0,0.0,0.4428575,0.42349476,0.5483335,1.0,1.0,0.5571425,0.57650524,0.4516665,-1.0,-1.0,-0.114285,-0.15301049,0.096667,1.0451072,1.1130224,0.9278209,0.82241017,0.80153877,0.13980763,0.1926779,0.30677038,0.30589417,0.28089637,0.6488193,0.6072054,0.6386399,0.77775985,0.85254335,0.328987,0.60355747,0.53921306,0.5217066,0.4836035,0.671013,0.39644253,0.46078694,0.47829342,0.51639646,-0.342026,0.20711492,0.07842612,0.04341315,-0.032792978,0,0
