date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,0.555008,0.554496,0.557824,0.54451203,1031777340.0,-0.0009225163,0.023985207,-0.038461883,0.0050738393,0.21154036,0.017988853,0.74999774,0.011992496,0.49999553,1.0009234,1.006002,0.9819945,1.0073869,1.0581717,1.0078486,0.8905818,0.8536473,0.99695295,1.0012927,1.0218606,0.9945368,0.9045399,0.008696291,0.010822564,0.028200636,0.052035555,0.1016379,0.0003231681,-0.0013374769,-0.002573261,0.003411301,0.0052750628,0.0034524614,0.13999857,0.29141903,0.33307454,0.8215684,0.0024007356,0.004725909,0.0025853799,-0.04400067,-0.06015423,1.0272391,1.0424746,1.0927979,1.0927979,1.0927979,0.9801477,0.9607572,0.9607572,0.8545706,0.7465374,1.0037858,1.0070175,1.0526316,1.0391505,1.0050786,0.99150515,0.99325955,0.9992613,0.96685135,0.80064636,0.6,0.5,0.3,0.5,0.75,0.42156923,0.48022583,0.29720253,0.61046493,0.7319999,0.2,0.3,0.2,0.46666667,0.73333335,0.6,0.1,0.55,0.06666667,0.083333336,-0.4,0.2,-0.35,0.4,0.65,0.31364304,0.31560382,0.3629221,-0.09296439,-0.19700156,0.62304604,-0.4862343,-0.283654,0.0042420966,-0.004466445,0.2,0.3,0.45,0.5,0.55,0.8,0.7,0.55,0.5,0.45,-0.6,-0.4,-0.1,0.0,0.1,0.42452797,0.33928576,0.488308,0.6022432,0.57690436,0.57547206,0.66071427,0.511692,0.39775681,0.4230956,-0.15094405,-0.32142848,-0.023383949,0.20448637,0.15380877,0.81234825,1.3423132,1.433367,1.5056959,1.6340239,0.15391172,1.0441414,0.7963653,0.77108276,0.85687834,0.83716255,1.6712532,1.5086684,1.4773446,1.918112,0.99135894,0.49933106,0.4738369,0.4787852,0.48113835,0.008641082,0.50066894,0.5261631,0.52121484,0.51886165,0.9827178,-0.0013378672,-0.052326202,-0.04242963,-0.037723318,0,0
2014-01-03,0.54272,0.536832,0.548608,0.53503996,1351179600.0,-0.010849139,0.02500008,-0.43396416,0.010849029,0.43395978,0.0033019118,0.13207605,-0.018396256,-0.7358479,1.0109681,1.0219362,0.9966619,1.0367192,1.0400572,1.0376729,0.90891755,0.8550311,1.022413,1.0302337,1.0536004,1.0302973,0.9367192,0.014917042,0.01528507,0.031465326,0.049213532,0.10479491,-0.0035288667,-0.002861242,-0.0037317905,0.0025315047,0.005421975,0.1399088,0.32120758,0.49230942,0.20506434,0.81645924,-0.015355276,-0.017358143,-0.018148428,-0.06700412,-0.09666743,1.048641,1.0767764,1.1287555,1.1287555,1.1287555,0.9966619,0.9966619,0.9923701,0.8826896,0.7711016,1.0337626,1.0378637,1.0872676,1.0733429,1.0381498,1.0125895,1.0229853,1.030043,1.0049595,0.82699096,0.2,0.1,0.05,0.2,0.6,0.06422059,0.041666955,0.055943653,0.4767439,0.6399998,0.2,0.2,0.15,0.43333334,0.71666664,1.0,1.0,0.5,0.033333335,0.06666667,-0.8,-0.8,-0.35,0.4,0.65,-0.40291047,0.029499032,0.3321524,-0.032168142,-0.18985738,0.058778282,-0.013132611,-0.30161467,-0.01695101,-0.023772376,0.2,0.3,0.45,0.5,0.55,0.8,0.7,0.55,0.5,0.45,-0.6,-0.4,-0.1,0.0,0.1,0.26946118,0.3800001,0.44993654,0.5792531,0.57328826,0.7305388,0.6199999,0.55006343,0.42074695,0.42671174,-0.46107763,-0.23999976,-0.10012692,0.15850611,0.14657654,0.72147316,0.81672525,1.0945095,1.1331316,1.2369589,0.18190001,0.3421661,0.6081188,0.5856403,0.6529498,0.9608431,0.9321213,1.4091122,1.4512002,1.9359716,0.9932782,0.24003662,0.49997124,0.48280612,0.48814842,0.0067218104,0.7599634,0.5000288,0.51719385,0.51185155,0.98655635,-0.5199268,-5.7522044e-05,-0.03438774,-0.023703145,0,1
2014-01-06,0.536832,0.529152,0.536832,0.528384,1491425800.0,-0.01430615,0.015736775,-0.9090903,0.0,0.0,0.0014306261,0.090909734,-0.012875524,-0.81818056,1.0145137,1.0145137,0.9985486,1.0411224,1.0459604,1.0474117,0.9095307,0.8780842,1.0290276,1.0405903,1.0665215,1.0482664,0.95234644,0.022082932,0.021066424,0.0351939,0.043804288,0.10607677,-0.009869384,-0.0053158696,-0.0051092915,0.001340305,0.005459696,0.49935183,0.58368486,0.73765725,0.0725564,0.8079717,-0.009288828,-0.016668867,-0.017983312,-0.067700885,-0.11340747,1.0609579,1.0924045,1.145138,1.145138,1.145138,0.9985486,0.9985486,0.9985486,0.9172714,0.7822932,1.0487664,1.052927,1.103048,1.0889212,1.0532173,1.011611,1.0272859,1.0408322,1.0195453,0.8389937,0.2,0.1,0.05,0.16666667,0.5833333,0.023255982,0.015464029,0.009901059,0.3630572,0.5999998,0.4,0.1,0.1,0.4,0.7,1.0,1.0,1.0,0.033333335,0.05,-0.6,-0.9,-0.9,0.36666667,0.65,-0.67586327,-0.19200864,0.2692964,0.013876218,-0.1778693,0.08270086,-0.092182726,-0.30436218,-0.02806783,-0.027256517,0.2,0.3,0.45,0.5,0.53333336,0.8,0.7,0.55,0.5,0.46666667,-0.6,-0.4,-0.1,0.0,0.06666667,0.2571429,0.36842084,0.4393564,0.5773366,0.5605187,0.7428571,0.63157916,0.5606436,0.42266336,0.43948132,-0.4857142,-0.2631583,-0.121287204,0.15467326,0.12103739,0.75207865,0.74100757,1.0019037,1.0207907,1.1077493,0.19928703,0.3109754,0.5489615,0.529857,0.5854775,0.7855666,0.88615954,1.3668704,1.4551607,1.9460773,0.99373716,0.502821,0.5120798,0.4933525,0.4842685,0.0062628607,0.497179,0.4879202,0.5066475,0.5157315,0.98747426,0.005642008,0.024159586,-0.013295009,-0.031463012,0,1
2014-01-07,0.53478396,0.556288,0.561664,0.53478396,2652519400.0,0.040210713,0.050263338,0.8000009,0.010052622,0.19999911,0.0,0.0,0.030158091,0.60000175,0.9613437,1.009664,0.9613437,0.9802117,1.0202485,1.0266912,0.9199264,0.84813625,0.98278874,0.9878049,1.0131615,0.99980056,0.9084215,0.023091458,0.017483668,0.033497393,0.039032742,0.10133279,-0.0047399946,-0.0024738947,-0.00487459,0.0007609822,0.0052497583,0.10533993,0.1835307,0.7411775,0.029457275,0.8186127,0.026691241,0.023327654,0.033147078,-0.010834823,-0.063289404,1.009664,1.0239301,1.0892775,1.0892775,1.0892775,0.9498389,0.9498389,0.9498389,0.90474004,0.7441325,1.000184,1.0005522,1.0492407,1.035803,1.0018407,0.9622641,0.97717434,0.99005985,0.9735849,0.79806715,0.8,0.7,0.4,0.5,0.75,0.8384622,0.6770192,0.35973614,0.5162093,0.74133325,1.0,0.3,0.05,0.36666667,0.68333334,0.8,0.9,0.95,0.033333335,0.033333335,0.2,-0.6,-0.9,0.33333334,0.65,-0.029386723,-0.3080522,0.23139629,0.17410874,-0.14131086,0.73594636,0.22986563,-0.16132727,-0.085361816,0.015150423,0.4,0.3,0.45,0.5,0.53333336,0.6,0.7,0.55,0.5,0.46666667,-0.2,-0.4,-0.1,0.0,0.06666667,0.5830116,0.4466019,0.4658019,0.5727424,0.57638884,0.41698834,0.55339813,0.5341981,0.42725757,0.42361116,0.16602331,-0.10679621,-0.0683962,0.14548486,0.1527777,0.5661218,0.44422463,0.5896004,0.56146806,0.6202042,0.25560668,0.23880817,0.32275292,0.26971415,0.32542878,1.1683743,1.3544697,1.3331699,1.2977633,1.9003239,1.0,0.6022228,0.55039686,0.4734836,0.4943672,0.0,0.39777717,0.44960317,0.5265164,0.50563276,1.0,0.20444566,0.10079369,-0.053032793,-0.011265561,1,1
2014-01-08,0.61952,0.611072,0.6272,0.603136,3652324000.0,-0.013636371,0.038842984,-0.35106397,0.012396692,0.31914884,0.012809918,0.3297872,-0.013223145,-0.34042558,1.0138249,1.0263929,0.987013,0.9111856,0.9002933,0.9685799,0.8458316,0.7054881,0.9124424,0.9092166,0.9239003,0.91530514,0.831888,0.05246411,0.035646535,0.033648632,0.03702511,0.093500935,0.021700889,0.0033133978,-0.002597718,0.0008286446,0.004856828,0.42773074,0.07919977,0.2086014,0.038819116,0.82294995,0.044155847,0.07587313,0.10077803,0.07267953,0.02483557,1.0263929,1.0263929,1.0263929,1.0263929,1.0263929,0.8646836,0.8646836,0.8646836,0.82572263,0.67741936,0.92827815,0.91177213,0.9551739,0.9462087,0.91378295,0.8759949,0.88956845,0.9012987,0.8902388,0.7322162,1.0,1.0,1.0,1.0,1.0,0.8367876,0.8367876,0.8367876,0.86847603,0.92436975,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.9,0.033333335,0.016666668,0.4,0.2,0.1,0.96666664,0.98333335,0.75668395,0.4748201,0.33217603,0.34014878,-0.0016463014,0.545123,0.2447563,-0.1346421,-0.000615113,0.1544481,0.4,0.4,0.45,0.5,0.55,0.6,0.6,0.55,0.5,0.45,-0.2,-0.2,-0.1,0.0,0.1,0.7476634,0.7132614,0.53822625,0.63237405,0.6586907,0.2523366,0.2867386,0.46177375,0.36762592,0.3413093,0.4953268,0.42652282,0.076452486,0.26474816,0.31738138,0.5574109,0.3789507,0.44303617,0.4267905,0.43965882,0.29888573,0.27584577,0.26064843,0.22377113,0.19139041,1.302858,1.8393815,1.6927629,1.6295446,1.6078391,1.0,0.7419229,0.5400983,0.5590013,0.4667295,0.0,0.25807709,0.45990166,0.4409987,0.5332705,1.0,0.4838458,0.08019667,0.11800261,-0.06654101,1,0
2014-01-09,0.60416,0.594944,0.606976,0.586496,1671207000.0,-0.015254254,0.033898268,-0.45000103,0.004660954,0.13749829,0.013983059,0.41250068,-0.00593215,-0.17499861,1.0154905,1.0202237,0.9858003,0.93201375,0.9388985,0.995697,0.8545611,0.73450947,0.9507745,0.9399742,0.94916093,0.9449656,0.858864,0.060437065,0.042216104,0.034879077,0.03595994,0.09653114,0.03330466,0.0073462664,-0.0012006144,0.00064740086,0.0050238427,0.7591775,0.2775802,0.041471068,0.025119461,0.82610846,-0.017383832,0.026967624,0.062244903,0.045647107,-0.007067389,1.0542169,1.0542169,1.0542169,1.0542169,1.0542169,0.88812387,0.88812387,0.88812387,0.85327023,0.7013769,1.0054216,0.94870913,0.9810672,0.9810672,0.9389846,0.89974177,0.9136833,0.92573154,0.9162651,0.75301206,0.8,0.9,0.95,0.96666664,0.98333335,0.67357516,0.67357516,0.67357516,0.7301927,0.84634143,0.8,0.9,0.95,0.96666664,0.98333335,0.4,0.7,0.85,0.033333335,0.16666667,0.4,0.2,0.1,0.93333334,0.81666666,0.6820649,0.56151026,0.3336716,0.36948386,0.033494584,0.5636076,0.5520487,-0.07478016,0.03871796,0.1929576,0.4,0.3,0.4,0.5,0.53333336,0.6,0.7,0.6,0.5,0.46666667,-0.2,-0.4,-0.2,0.0,0.06666667,0.6639004,0.6207481,0.5047985,0.6190141,0.636807,0.3360996,0.37925187,0.4952015,0.38098595,0.36319295,0.32780078,0.24149625,0.009597002,0.23802812,0.2736141,1.2947116,0.8981214,0.9692384,0.93967277,0.95300776,0.5839579,0.57474464,0.5696712,0.48844433,0.41293332,1.1638571,1.7152147,1.6115975,1.6000737,1.6004045,0.5694781,0.6137009,0.50115794,0.5089782,0.48840007,0.4305219,0.38629907,0.49884203,0.49102178,0.51159996,0.13895619,0.22740187,0.0023159154,0.017956406,-0.02319988,0,1
2014-01-10,0.59878397,0.606976,0.607232,0.593408,1325398400.0,0.013681065,0.023086768,0.5925934,0.0004275364,0.018518679,0.008978165,0.38888794,0.022231694,0.9629626,0.9865036,1.0004218,0.9776466,0.88443696,0.91691273,0.9489667,0.8566006,0.713623,0.9550401,0.92964995,0.93289757,0.9310137,0.84661186,0.058618687,0.048174948,0.037403833,0.035201713,0.0952611,0.03201181,0.011195888,0.000112256326,0.00063025067,0.0049662213,0.7455697,0.4950921,0.00031525176,0.02484281,0.82893574,-0.019063715,0.01996854,0.06603601,0.059847683,0.006884596,1.0333194,1.0333194,1.0333194,1.0333194,1.0333194,0.87051874,0.87051874,0.87051874,0.8557571,0.68747365,1.0013497,0.98414177,0.9680304,0.9680304,0.92357665,0.9075496,0.8955715,0.90738094,0.90476596,0.7407845,0.8,0.9,0.95,0.96666664,0.98333335,0.7953365,0.7953365,0.7953365,0.8123512,0.9036584,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.6,0.8,0.033333335,0.15,0.4,0.2,0.1,0.9,0.81666666,0.21633838,0.5003914,0.2832747,0.35101584,0.05746869,0.71084386,0.5136981,-0.07554158,0.032157645,0.18616852,0.6,0.4,0.45,0.5,0.55,0.4,0.6,0.55,0.5,0.45,0.2,-0.2,-0.1,0.0,0.1,0.79782605,0.6570971,0.5590244,0.61954993,0.6484477,0.20217393,0.3429029,0.4409756,0.3804501,0.3515523,0.59565216,0.3141942,0.11804879,0.23909982,0.29689535,1.6286235,1.1820652,1.1948342,1.1851811,1.1873554,0.7404069,0.69318116,0.715724,0.61577564,0.5140793,1.2165166,1.6342524,1.6613196,1.6039957,1.5962136,0.49721467,0.56179607,0.4750534,0.50034165,0.4833873,0.5027853,0.4382039,0.5249466,0.49965832,0.5166127,-0.005570626,0.123592176,-0.0498932,0.0006833559,-0.03322539,1,0
2014-01-13,0.60672003,0.597248,0.60928,0.5952,1078894600.0,-0.015611834,0.02320673,-0.6727287,0.004219343,0.18181549,0.003375553,0.14545578,-0.016455624,-0.70908844,1.0158595,1.0201457,0.9965709,0.88598365,0.9224175,0.96613806,0.90741533,0.7269609,0.993399,0.95255035,0.94978565,0.94926417,0.8649521,0.03640552,0.051119454,0.03958088,0.03630539,0.09685111,0.013030432,0.012897949,0.0011405486,0.00072042615,0.0050497907,0.32027513,0.583553,0.029061945,0.030516757,0.8291581,-0.01945989,-0.010591093,0.03937913,0.040289663,-0.013920935,1.05015,1.05015,1.05015,1.05015,1.05015,0.8954135,0.88469774,0.88469774,0.88469774,0.6986712,1.0176595,1.0032576,0.9906557,0.989627,0.9514788,0.98319757,0.9101585,0.9221603,0.9221603,0.7566223,0.6,0.8,0.9,0.93333334,0.96666664,0.6759006,0.6968914,0.6968914,0.6968914,0.85731715,0.4,0.7,0.85,0.9,0.95,0.2,0.5,0.75,0.8333333,0.13333334,0.2,0.2,0.1,0.06666667,0.81666666,-0.18602113,0.3787573,0.22853993,0.32770574,0.056442186,0.80969286,0.55260295,-0.06214597,0.03244379,0.19115411,0.6,0.4,0.4,0.46666667,0.53333336,0.4,0.6,0.6,0.53333336,0.46666667,0.2,-0.2,-0.2,-0.06666667,0.06666667,0.78418833,0.6407464,0.53729934,0.5786026,0.63722533,0.2158117,0.35925356,0.4627007,0.4213974,0.36277467,0.5683766,0.28149286,0.074598625,0.15720525,0.27445066,1.9242554,1.4819512,1.4226055,1.4403366,1.4456804,0.98731196,0.8272473,0.87887186,0.7610209,0.63285613,1.2308546,1.6032326,1.6334934,1.6657134,1.5846499,0.45643193,0.5293565,0.4668954,0.48716205,0.48763734,0.5435681,0.47064352,0.5331046,0.51283795,0.51236266,-0.08713617,0.058712978,-0.06620919,-0.02567589,-0.024725316,0,0
2014-01-14,0.58547205,0.605952,0.60902405,0.58547205,1292664000.0,0.034980282,0.04022737,0.86956424,0.005247088,0.13043578,0.0,0.0,0.029733194,0.7391285,0.96620196,1.0050697,0.96620196,0.9180397,0.8998732,0.9750738,0.8914237,0.7245458,0.9955217,0.9488804,0.9373891,0.93924797,0.85711867,0.011295195,0.051706467,0.04068385,0.03663931,0.09582358,-0.0013096649,0.013447533,0.002651113,0.0008205138,0.0050020935,0.033610344,0.6200218,0.14862111,0.038866807,0.83111036,0.007097606,-0.009394296,0.037425358,0.048854586,-0.0046804436,1.0350654,1.0350654,1.0350654,1.0350654,1.0350654,0.96620196,0.8719898,0.8719898,0.8719898,0.68863535,1.0030417,1.000338,0.98259395,0.9769328,0.94414866,0.9848754,0.90925217,0.9089142,0.9125475,0.7468525,0.6,0.8,0.9,0.93333334,0.96666664,0.49079746,0.78497434,0.78497434,0.78497434,0.8987806,0.2,0.6,0.8,0.8666667,0.93333334,1.0,0.4,0.7,0.8,0.11666667,-0.8,0.2,0.1,0.06666667,0.81666666,0.54754716,0.22959982,0.22357707,0.2641109,0.05514981,0.8168617,0.54964185,-0.02687323,0.02548656,0.19487073,0.6,0.5,0.4,0.5,0.53333336,0.4,0.5,0.6,0.5,0.46666667,0.2,0.0,-0.2,0.0,0.06666667,0.74494976,0.68091613,0.5283928,0.5917202,0.6395548,0.25505024,0.31908387,0.4716072,0.40827978,0.3604452,0.4898995,0.36183226,0.05678559,0.18344048,0.2791096,1.3956431,1.2786566,1.1904804,1.2152516,1.2027674,0.8159733,0.65832335,0.7325409,0.62645996,0.52886117,1.5990965,1.568315,1.6526594,1.6398269,1.5837855,0.3204576,0.5474813,0.5028704,0.5132905,0.49559745,0.67954236,0.4525187,0.4971296,0.4867095,0.5044026,-0.35908478,0.09496259,0.0057407995,0.026581012,-0.0088051,1,0
2014-01-15,0.607232,0.597248,0.608256,0.59647995,1052695300.0,-0.016441751,0.019392967,-0.8478203,0.0016863536,0.08695696,0.0012648633,0.065222785,-0.016863242,-0.86955446,1.0167166,1.0184312,0.99871397,1.0231462,0.932276,0.9759966,0.9117017,0.7299614,1.0054008,0.96948135,0.9522503,0.9558794,0.8741106,0.0093102995,0.052466165,0.042374644,0.03729129,0.09689565,0.00060010026,0.01364871,0.0037829245,0.0008517343,0.0050520534,0.010386287,0.6203489,0.27894032,0.040429205,0.8291387,-0.006600953,-0.030900517,0.011811919,0.031770464,-0.023146143,1.0201457,1.05015,1.05015,1.05015,1.05015,0.98028296,0.88469774,0.88469774,0.88469774,0.6986712,1.0149164,1.0149164,1.0,0.9927132,0.9647663,0.9992285,0.9225032,0.9221603,0.9277325,0.75919414,0.5,0.65,0.825,0.8833333,0.94166666,0.4946236,0.6968914,0.6968914,0.6968914,0.85731715,0.6,0.5,0.75,0.8333333,0.9166667,0.8,0.3,0.65,0.76666665,0.1,-0.2,0.2,0.1,0.06666667,0.81666666,-0.002930737,0.0959627,0.18903448,0.23082943,0.03472109,0.6842411,0.5645278,-0.012238581,0.031422574,0.1975017,0.4,0.4,0.4,0.46666667,0.53333336,0.6,0.6,0.6,0.53333336,0.46666667,-0.2,-0.2,-0.2,-0.06666667,0.06666667,0.375,0.6226708,0.5268714,0.5726375,0.6335877,0.625,0.37732917,0.47312862,0.4273625,0.36641225,-0.25,0.24534167,0.053742763,0.14527501,0.2671755,1.2198894,1.5769126,1.4467986,1.4834275,1.4719851,0.23619406,0.8027138,0.90486515,0.77347976,0.6519433,0.4850286,1.5853962,1.659157,1.6330235,1.5788394,0.07061699,0.50626093,0.48882857,0.49257264,0.49536914,0.92938304,0.49373907,0.51117146,0.50742733,0.50463086,-0.858766,0.012521884,-0.022342864,-0.014854705,-0.009261727,0,0
