date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,4.1012173,4.025584,4.1049986,4.0227475,27768712.0,-0.01844161,0.020055283,-0.91953874,0.0009219991,0.04597288,0.0006916737,0.034488358,-0.018671935,-0.9310233,1.0187881,1.0197275,0.99929535,0.999765,0.9830906,1.0150305,0.98191637,0.94081724,1.0074682,1.0043682,1.0021253,1.0077031,0.9683732,0.007174306,0.0062019476,0.016264329,0.020165736,0.04692613,0.00032882183,0.00087963283,-0.00024456138,-0.0006103532,0.0021352547,0.0052517187,0.18439882,0.007913552,0.07099634,0.6314947,-0.008125856,-0.008326502,0.00019802581,0.001147079,-0.031363167,1.0232503,1.0232503,1.0460309,1.0504931,1.0504931,0.9943635,0.9758101,0.96899945,0.96899945,0.8682479,1.0100516,1.0064349,1.010944,1.0313292,1.0064349,1.0037576,0.9995771,0.9838421,0.99192095,0.91535926,0.2,0.4,0.45,0.4,0.7,0.19512445,0.5099032,0.40244034,0.38040468,0.7229386,0.8,0.9,0.2,0.2,0.6,0.2,0.1,0.35,0.56666666,0.3,0.6,0.8,-0.15,-0.36666667,0.3,-0.0929362,-0.26684427,-0.24050397,-0.110394925,-0.34887865,-0.08201003,-0.09971834,-0.3377222,-0.057236057,-0.19597518,0.6,0.5,0.45,0.53333336,0.55,0.4,0.5,0.55,0.46666667,0.45,0.2,0.0,-0.1,0.06666667,0.1,0.50289214,0.605883,0.46107078,0.53048307,0.5476191,0.4971079,0.394117,0.5389292,0.46951693,0.4523809,0.005784223,0.211766,-0.07785846,0.060966156,0.0952382,0.65783715,0.9216508,1.2741153,1.286983,1.5020251,0.21880774,0.5662656,0.6845603,0.6202503,0.6554364,1.1876842,1.1906707,1.4955232,1.4567829,1.2439305,0.921998,0.46426976,0.4667108,0.47327998,0.4918055,0.07800198,0.53573024,0.5332892,0.52672005,0.5081945,0.84399605,-0.071460485,-0.066578396,-0.05344005,-0.016389038,0,1
2014-01-03,4.0085664,4.03882,4.057728,4.003839,19852624.0,0.0075471895,0.013443409,0.56140447,0.0047169044,0.35087115,0.0011793153,0.08772442,0.0040096007,0.2982577,0.99250937,1.0046816,0.99133885,1.0023407,1.0028089,1.0058521,0.9808052,0.90987825,1.0036985,1.0007958,0.9985486,1.0050405,0.96670175,0.007373376,0.0061579393,0.01613044,0.019622492,0.04641134,-0.0010533625,0.00093349937,-0.00011650958,-0.0007994721,0.0020915417,0.05102264,0.2106535,0.0018259921,0.1286471,0.6194192,-0.0015917792,-0.0049966015,0.0025581897,0.0065518096,-0.02840222,1.019897,1.019897,1.042603,1.0470506,1.0470506,0.99133885,0.97823036,0.96582395,0.96582395,0.8654026,1.0067415,1.0027621,1.0065075,1.0279495,1.0031366,0.9993446,0.9963014,0.98061794,0.9917603,0.91268724,0.4,0.55,0.575,0.48333332,0.7416667,0.30328086,0.52247196,0.4451224,0.4207497,0.7409795,0.6,0.8,0.15,0.16666667,0.5833333,1.0,0.1,0.3,0.53333336,0.28333333,-0.4,0.7,-0.15,-0.36666667,0.3,-0.24109438,-0.29742727,-0.26105592,-0.073801264,-0.34595442,-0.24698877,-0.073747866,-0.3447856,-0.060671788,-0.17312783,0.6,0.5,0.5,0.53333336,0.56666666,0.4,0.5,0.5,0.46666667,0.43333334,0.2,0.0,0.0,0.06666667,0.13333334,0.46913683,0.47656265,0.48458695,0.5323344,0.5757576,0.53086317,0.5234373,0.51541305,0.46766558,0.42424238,-0.06172632,-0.04687469,-0.030826112,0.06466882,0.15151523,0.99532205,1.2269859,1.719058,1.7558172,2.068067,0.2574709,0.78744507,0.96578425,0.87351805,0.92035854,1.203187,1.1397033,1.5411918,1.4621332,1.2792127,0.63946545,0.44666982,0.45118758,0.4663324,0.47420788,0.36053455,0.5533302,0.5488124,0.53366756,0.5257921,0.27893093,-0.10666034,-0.097624816,-0.06733516,-0.05158423,1,1
2014-01-06,4.0492196,3.9953303,4.0870357,3.9679136,54123230.0,-0.013308558,0.029418515,-0.45238715,0.009339095,0.31745636,0.006770862,0.23015648,-0.015876792,-0.53968704,1.013488,1.0229532,0.99313784,1.0123049,1.0063891,1.0257927,1.0014198,0.92096543,1.0121629,1.0110507,1.0081283,1.0159332,0.9785416,0.010005294,0.0070963316,0.015959062,0.019873679,0.046417058,-0.0046852925,-4.7319918e-05,6.229011e-06,-0.0010116929,0.0020562913,0.5482185,0.0004075976,5.3320164e-06,0.20083645,0.59856856,-0.0027922804,-0.01083774,-0.008187467,-0.0012636016,-0.039202195,1.0309987,1.0309987,1.0539517,1.0584477,1.0584477,0.99313784,0.99313784,0.976337,0.976337,0.87482256,1.0177001,1.0136772,1.0140558,1.0391388,1.0140558,1.0060579,1.0070516,0.99129206,1.0022718,0.92640793,0.2,0.1,0.3,0.2,0.56666666,0.18124762,0.18124762,0.3048776,0.28818402,0.6817007,0.4,0.7,0.1,0.13333334,0.56666666,1.0,1.0,0.25,0.5,0.26666668,-0.6,-0.3,-0.15,-0.36666667,0.3,-0.7176021,-0.44550535,-0.33328584,-0.09592656,-0.33607522,-0.4489035,-0.3041873,-0.38120827,-0.103509195,-0.201651,0.6,0.5,0.45,0.5,0.55,0.4,0.5,0.55,0.5,0.45,0.2,0.0,-0.1,0.0,0.1,0.372548,0.450184,0.4334556,0.49764153,0.56467855,0.627452,0.549816,0.5665444,0.5023585,0.43532145,-0.254904,-0.099632055,-0.13308881,-0.004716944,0.1293571,0.5050714,0.4885751,0.63912624,0.6559421,0.76223654,0.29008088,0.33520803,0.3612992,0.32693303,0.33901933,0.8705934,1.218623,1.5096838,1.4371293,1.2520156,0.8312921,0.5699946,0.51594496,0.52328146,0.50765324,0.1687079,0.4300054,0.48405504,0.47671854,0.49234676,0.6625842,0.1399892,0.031889934,0.04656289,0.0153064625,0,1
2014-01-07,4.00573,4.0634003,4.109726,3.9991121,32886032.0,0.014396905,0.027613897,0.52136445,0.011564854,0.41880557,0.001652139,0.05982998,0.00448419,0.16238889,0.9858074,1.0114007,0.9841787,0.9983714,0.9890647,1.0269893,0.9860401,0.92461616,0.9955329,0.99520713,0.9898907,0.9993796,0.9634055,0.009994356,0.0069551263,0.013456917,0.019389236,0.045626342,-0.0026989516,-6.204435e-05,0.000695725,-0.0010765275,0.0020202799,0.18231423,0.0007294674,0.093551785,0.23890793,0.59798676,0.009865039,0.0050720735,0.0034999142,0.016230047,-0.023003759,1.0137274,1.0137274,1.036296,1.0407166,1.0407166,0.9765008,0.9765008,0.95998144,0.95998144,0.86016756,1.0019544,0.99869716,0.99706846,1.0217311,0.9986506,0.9892044,0.99064696,0.97468597,0.98790133,0.9108888,0.8,0.9,0.9,0.6666667,0.8333333,0.63124746,0.63124746,0.5243895,0.49567655,0.77448416,0.2,0.6,0.05,0.1,0.55,0.8,0.9,0.2,0.46666667,0.25,-0.6,-0.3,-0.15,-0.36666667,0.3,-0.6880373,-0.272396,-0.35588658,-0.09883737,-0.33600518,-0.60556954,-0.40590382,-0.37788725,-0.13727443,-0.21811466,0.6,0.6,0.45,0.5,0.55,0.4,0.4,0.55,0.5,0.45,0.2,0.2,-0.1,0.0,0.1,0.5133073,0.56891495,0.42857152,0.52242136,0.56298596,0.48669273,0.43108502,0.5714285,0.47757864,0.43701404,0.026614554,0.13782994,-0.14285697,0.044842713,0.1259719,0.9429803,0.71118975,1.0610756,1.0827131,1.2497855,0.42593023,0.3980289,0.592191,0.5372737,0.5589036,0.58855766,1.0440462,1.4983697,1.3739032,1.2618248,0.61980826,0.39087164,0.5103033,0.50363296,0.4942014,0.38019174,0.60912836,0.48969668,0.49636707,0.50579864,0.23961651,-0.21825668,0.020606648,0.0072658863,-0.011597239,1,1
2014-01-08,4.074745,4.2288485,4.2657194,4.0662365,62804060.0,0.03781912,0.048955925,0.7725137,0.009048654,0.18483265,0.0020881507,0.042653687,0.030858617,0.6303347,0.96355903,1.008719,0.961547,0.970266,0.95506376,0.98055,0.9539459,0.8922423,0.96253073,0.9607646,0.952135,0.9618153,0.9275095,0.021736087,0.015314519,0.015693253,0.019941969,0.044646636,0.010194477,0.0022451235,0.001830197,-0.00082183786,0.0020062893,0.5499296,0.19700861,0.47603378,0.13162486,0.61589897,0.017080313,0.029132374,0.030478114,0.050101336,0.013304986,1.008719,1.008719,1.008719,1.008719,1.008719,0.9382965,0.9382965,0.9224234,0.9224234,0.82651466,0.96870106,0.96275425,0.9580595,0.98663086,0.96069753,0.95050305,0.95188916,0.93655264,0.949251,0.8752515,1.0,1.0,1.0,1.0,1.0,0.87619126,0.87619126,0.89896446,0.89896446,0.9521476,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.15,0.43333334,0.23333333,0.4,0.2,0.85,0.56666666,0.76666665,0.50659543,0.4244597,-0.123081036,-0.012837417,-0.2965389,-0.11188859,0.03386091,-0.12484913,-0.008822192,-0.13518597,0.6,0.6,0.5,0.5,0.55,0.4,0.4,0.5,0.5,0.45,0.2,0.2,0.0,0.0,0.1,0.6709514,0.7030304,0.5453596,0.56940705,0.5882784,0.32904857,0.29696962,0.45464042,0.43059292,0.41172162,0.34190282,0.40606076,0.090719186,0.13881415,0.1765568,0.62873214,0.43000203,0.57524,0.5876858,0.6612756,0.28971848,0.2884807,0.32557926,0.28971303,0.2958926,1.1346065,1.6430595,1.4697982,1.3634884,1.2628907,0.71045583,0.63591635,0.5394301,0.5429462,0.5156924,0.2895442,0.36408362,0.4605699,0.4570538,0.48430756,0.42091164,0.27183276,0.07886021,0.08589239,0.031384878,1,1
2014-01-09,4.2383027,4.2638288,4.280846,4.202377,32591982.0,0.0060227048,0.018514317,0.3252999,0.0040151365,0.2168666,0.008476474,0.45783353,0.010484043,0.56626683,0.99401337,1.0039911,0.9855876,0.9441243,0.9439024,0.94478935,0.9804878,0.875388,0.9658093,0.9584923,0.94708425,0.954575,0.9219771,0.028205188,0.02081944,0.019934159,0.020967115,0.04507246,0.01603104,0.0041980776,0.002617909,-0.0003346406,0.0020456964,0.8076169,0.37271273,0.6036447,0.019741567,0.62828934,0.0021286088,0.0226164,0.028045597,0.050277267,0.017674863,1.0039911,1.0039911,1.0039911,1.0039911,1.0039911,0.93059874,0.93059874,0.9148559,0.9148559,0.8197339,0.9934368,0.968204,0.9517517,0.9785366,0.95405763,0.9451885,0.9466076,0.9288692,0.9414634,0.86807096,1.0,1.0,1.0,1.0,1.0,0.9456197,0.9456197,0.9552242,0.9552242,0.9783395,1.0,1.0,1.0,1.0,1.0,0.4,0.7,0.1,0.4,0.21666667,0.6,0.3,0.9,0.6,0.78333336,0.22305225,0.37646654,-0.07919931,-0.061807126,-0.29622418,-0.06605876,-0.09730366,0.022347549,-0.20007938,-0.14109668,0.8,0.7,0.55,0.5,0.56666666,0.2,0.3,0.45,0.5,0.43333334,0.6,0.4,0.1,0.0,0.13333334,0.86627823,0.7446815,0.64293903,0.5322108,0.6031571,0.13372177,0.25531855,0.35706097,0.46778917,0.39684287,0.73255646,0.4893629,0.2858781,0.064421654,0.20631425,1.2411515,0.9008178,1.0274414,1.1040394,1.2698953,0.5380093,0.5222925,0.51668406,0.54180706,0.57127655,1.2411613,1.5405746,1.5199553,1.4031726,1.271103,0.51951885,0.58075356,0.4106578,0.4690313,0.49496678,0.48048112,0.41924644,0.5893422,0.5309687,0.5050332,0.03903775,0.16150714,-0.17868441,-0.06193739,-0.010066422,1,1
2014-01-10,4.277065,4.3460803,4.3498616,4.25532,38412696.0,0.016136184,0.022104306,0.7300018,0.00088409195,0.039996367,0.0050840303,0.23000182,0.020336121,0.9200073,0.9841201,1.0008701,0.97911674,0.9293017,0.93147695,0.9010223,0.9680225,0.8525124,0.9616706,0.94720465,0.93410915,0.93757516,0.90698636,0.033480857,0.02741514,0.024065332,0.022950385,0.045363475,0.020752687,0.006780441,0.0031360765,0.0002986434,0.0020753292,0.9604959,0.5607204,0.594371,0.013122832,0.63835347,-0.0031759664,0.02228336,0.036098123,0.0580945,0.031791404,1.0008701,1.0008701,1.0008701,1.0008701,1.0008701,0.91298676,0.91298676,0.8975418,0.8975418,0.8042201,0.98485965,0.9746356,0.93678474,0.9600173,0.9407439,0.931825,0.92869264,0.9177289,0.92364573,0.8549489,1.0,1.0,1.0,1.0,1.0,0.9900999,0.9900999,0.9915797,0.9915797,0.9955756,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.05,0.36666667,0.2,0.8,0.4,0.95,0.6333333,0.8,-0.19949245,0.39333135,0.11610188,-0.06261933,-0.29875788,-0.15939836,-0.09510226,-0.029597653,-0.18073979,-0.1450858,0.8,0.7,0.6,0.5,0.5833333,0.2,0.3,0.4,0.5,0.41666666,0.6,0.4,0.2,0.0,0.16666667,0.8896877,0.7720215,0.77115613,0.55157906,0.62185484,0.1103123,0.22797856,0.22884388,0.44842094,0.37814516,0.77937543,0.5440429,0.54231226,0.10315812,0.24370971,1.1497136,0.8320603,0.83766246,0.9262125,1.0817665,0.35428396,0.4192497,0.3966024,0.45430773,0.48282486,0.9750885,1.3355318,1.5228353,1.3650696,1.2489731,0.5764049,0.5877878,0.45333654,0.48635295,0.50588554,0.4235951,0.41221222,0.54666346,0.5136471,0.49411443,0.15280983,0.17557557,-0.093326904,-0.02729412,0.011771114,1,0
2014-01-13,4.326226,4.277065,4.3678246,4.2676105,47445750.0,-0.011363584,0.0231643,-0.49056453,0.009615382,0.41509488,0.0021853342,0.09434061,-0.018793631,-0.81131876,1.0114942,1.0212201,0.99778956,0.934129,0.94562334,0.9252873,0.9756851,0.8773209,0.99036247,0.9679266,0.95291775,0.9535146,0.92366636,0.024638487,0.029460559,0.026251858,0.024537718,0.046812374,0.012732117,0.0078115365,0.0035353648,0.0007670876,0.0021622202,0.66759515,0.64446956,0.6347699,0.07573966,0.6506962,-0.015826719,-0.003078507,0.013496296,0.035362676,0.012548173,1.0212201,1.0212201,1.0212201,1.0212201,1.0212201,0.93501323,0.9277188,0.91534036,0.91202474,0.81719714,1.0032272,0.99752426,0.96520776,0.97550833,0.95844376,0.98099023,0.94367814,0.9385499,0.9385499,0.86874443,0.8,0.9,0.95,0.96666664,0.98333335,0.75384676,0.77305007,0.7995829,0.80566853,0.89599156,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.15,0.33333334,0.18333334,0.8,0.5,0.85,0.6666667,0.81666666,0.23469561,0.41685238,0.23889828,-0.012257925,-0.28968602,0.37082353,-0.09064716,-0.03501588,-0.20886606,-0.14980444,0.8,0.7,0.55,0.5,0.56666666,0.2,0.3,0.45,0.5,0.43333334,0.6,0.4,0.1,0.0,0.13333334,0.8355856,0.68981487,0.69470036,0.5376198,0.59893054,0.16441444,0.3101851,0.30529964,0.46238014,0.40106946,0.6711711,0.3796298,0.38940075,0.07523971,0.19786109,0.9026752,0.739415,0.68366325,0.7595075,0.8822937,0.26732546,0.33172736,0.32580817,0.37053463,0.38966,0.92705214,1.1424586,1.4790264,1.3225658,1.23478,0.46530136,0.6017129,0.50972867,0.5156953,0.51084816,0.5346986,0.39828715,0.49027133,0.4843047,0.48915184,-0.06939727,0.20342572,0.01945732,0.031390592,0.021696348,0,0
2014-01-14,4.2931366,4.3697157,4.3848424,4.273283,31263466.0,0.017837564,0.02598552,0.6864424,0.0035234625,0.1355933,0.0046244957,0.17796433,0.018938595,0.7288134,0.98247504,1.0034617,0.97793156,0.92990035,0.928386,0.90393764,0.9547814,0.8591518,0.9833838,0.9545651,0.9375162,0.9348045,0.90642935,0.013460634,0.0322756,0.028821383,0.026683215,0.047069874,0.0067503364,0.009246951,0.0039672973,0.0013293306,0.0021974647,0.6287237,0.7524193,0.6631746,0.19234966,0.6647489,0.0031155315,0.0038236317,0.02479449,0.045920197,0.02874544,1.0034617,1.0034617,1.0034617,1.0034617,1.0034617,0.93054944,0.90804845,0.8959325,0.8926871,0.79987013,0.9956729,0.9819558,0.96936387,0.95590645,0.9409779,0.974167,0.9236694,0.92007786,0.91864985,0.8503245,1.0,1.0,1.0,1.0,1.0,0.9525222,0.9637187,0.96780676,0.96874994,0.98299676,1.0,1.0,1.0,1.0,1.0,0.2,0.4,0.1,0.3,0.16666667,0.8,0.6,0.9,0.7,0.8333333,-0.69578993,0.26494277,0.24244209,0.025631389,-0.30066526,0.33485922,-0.17651947,-0.102881156,-0.25320783,-0.16549592,0.8,0.7,0.6,0.53333336,0.56666666,0.2,0.3,0.4,0.46666667,0.43333334,0.6,0.4,0.2,0.06666667,0.13333334,0.84468085,0.72578454,0.7317327,0.5670302,0.61220276,0.15531914,0.2742155,0.2682673,0.4329698,0.38779727,0.68936175,0.45156905,0.4634654,0.13406037,0.2244055,1.3595291,1.1757249,1.0368001,1.1705416,1.3383914,0.41638935,0.45145503,0.49449638,0.54797417,0.5916757,0.8933524,0.99522537,1.3658507,1.2545712,1.2046566,0.49110106,0.54990077,0.4991591,0.5193586,0.49936283,0.508899,0.45009926,0.5008409,0.48064145,0.5006372,-0.017797897,0.09980149,-0.0016818002,0.038717113,-0.0012743303,1,0
2014-01-15,4.3432436,4.2978635,4.360261,4.283683,34304456.0,-0.010448439,0.017631555,-0.5925988,0.0039181234,0.22222222,0.003264993,0.18517897,-0.011101569,-0.62964207,1.0105587,1.0145183,0.9967005,0.98394203,0.9546855,0.9216895,0.975583,0.84799826,1.0030357,0.9750551,0.9571052,0.95124656,0.9241165,0.010552346,0.033506546,0.030093899,0.028252853,0.047918625,0.002133731,0.009953469,0.0042049703,0.0018447941,0.0022380343,0.10221657,0.8089116,0.68334013,0.330425,0.6653109,-0.007303185,-0.019845687,0.0029475626,0.0220039,0.0098614795,1.0202377,1.0202377,1.0202377,1.0202377,1.0202377,0.9777828,0.92322934,0.9109108,0.90761113,0.8132425,1.0123186,1.0022438,0.99269694,0.9735592,0.9659922,0.99454474,0.9391114,0.9362517,0.93400794,0.8685438,0.6,0.8,0.9,0.93333334,0.96666664,0.5233132,0.79138184,0.8148882,0.8203114,0.90223104,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.3,0.05,0.26666668,0.15,0.6,0.6,0.9,0.7,0.8333333,-0.3309519,0.1894612,0.2927468,0.042735804,-0.26268637,-0.49849752,-0.17081214,-0.10114665,-0.26658273,-0.0794377,0.6,0.6,0.55,0.5,0.56666666,0.4,0.4,0.45,0.5,0.43333334,0.2,0.2,0.1,0.0,0.13333334,0.59838194,0.635526,0.6741679,0.5344078,0.6207619,0.40161806,0.364474,0.32583216,0.4655922,0.3792381,0.1967639,0.271052,0.34833568,0.06881559,0.24152377,1.0728539,1.1119634,0.9406049,1.0743597,1.1907791,0.19033058,0.37793976,0.4496574,0.4964942,0.50165355,0.3325764,0.9269574,1.2863832,1.2134573,1.1697685,0.27834818,0.5420687,0.4945642,0.50918627,0.4629537,0.72165185,0.45793128,0.5054358,0.49081373,0.5370463,-0.44330367,0.08413745,-0.010871599,0.018372519,-0.07409262,0,1
