date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,4.185853,4.170077,4.2016287,4.133267,24730112.0,-0.003768923,0.01633162,-0.2307746,0.003768809,0.23076762,0.008793888,0.5384578,0.0012561558,0.07691556,1.0037832,1.0075662,0.99117285,0.99747795,0.9527112,0.9924336,0.98959625,0.9776812,0.9997478,0.9916141,0.9800126,0.97931904,0.9740998,0.009121808,0.014344293,0.020653237,0.01834031,0.022413086,0.0040352945,0.0040238425,0.0015341049,0.0006800324,0.00040655368,0.4892475,0.72133183,0.19310874,0.10654856,0.100353435,-0.007818407,-0.0097214235,0.0054134135,0.010820497,0.013906871,1.0151325,1.0151325,1.0151325,1.0151325,1.0234609,0.98549825,0.94262314,0.93947035,0.93947035,0.9105792,1.0075662,1.0013871,0.9979824,0.99394697,0.9925598,0.99255985,0.98436326,0.95775527,0.9590163,0.9549794,0.6,0.8,0.85,0.9,0.9,0.48935792,0.79130286,0.7999991,0.7999991,0.7921641,0.8,0.9,0.95,0.96666664,0.46666667,0.2,0.1,0.5,0.6666667,0.38333333,0.6,0.8,0.45,0.3,0.083333336,0.7928304,-0.38305652,-0.13200517,0.015701039,-0.09545015,-0.45900863,-0.007337547,0.31863138,0.38726738,0.04977375,0.6,0.8,0.6,0.56666666,0.51666665,0.4,0.2,0.4,0.43333334,0.48333332,0.2,0.6,0.2,0.13333334,0.033333335,0.5303029,0.7737231,0.5180727,0.5169932,0.5176336,0.46969715,0.2262769,0.4819273,0.4830068,0.48236635,0.060605727,0.5474462,0.036145393,0.033986397,0.035267286,0.8642666,0.9377329,1.1079996,1.0908213,1.1301998,0.1389761,0.3893084,0.44068003,0.52989715,0.5009362,0.5532165,0.97717744,0.87394196,0.8589114,1.7860004,0.93958116,0.49263403,0.4925932,0.4923038,0.50676775,0.060418844,0.50736594,0.5074068,0.5076962,0.49323228,0.8791623,-0.014731939,-0.014813588,-0.015392433,0.013535442,0,1
2014-01-03,4.177965,4.1201205,4.185853,4.1069736,24657850.0,-0.01384517,0.01887985,-0.7333305,0.0018879622,0.099998794,0.0031467178,0.1666707,-0.012586415,-0.6666586,1.0140395,1.015954,0.9968091,1.0,0.9776644,1.0185064,0.98532206,0.9812839,1.0118697,1.0058709,0.9909699,0.9916825,0.9862227,0.009232409,0.011478258,0.020056108,0.018596007,0.022748735,-0.0018506411,0.0021426931,0.0020886655,0.0007046047,0.00042673817,0.10045101,0.31943277,0.37958804,0.11126366,0.10732684,-0.008168445,-0.015513098,-0.010812211,-0.0018992758,0.0011885654,1.0274409,1.0274409,1.0274409,1.0274409,1.0358703,0.9968091,0.9700062,0.9508614,0.9508614,0.92161995,1.0197829,1.013529,1.0075301,1.0059985,1.0045946,1.0045947,1.0,0.96936804,0.97064435,0.9665585,0.2,0.25,0.575,0.5833333,0.675,0.104169264,0.52222395,0.6416674,0.6416674,0.6860378,0.6,0.8,0.9,0.93333334,0.45,1.0,0.1,0.45,0.6333333,0.36666667,-0.4,0.7,0.45,0.3,0.083333336,-0.01602884,-0.14289336,-0.2560744,0.010539362,-0.09555159,0.4823765,-0.1011813,0.25889206,0.3629708,0.06302105,0.6,0.7,0.55,0.56666666,0.51666665,0.4,0.3,0.45,0.43333334,0.48333332,0.2,0.4,0.1,0.13333334,0.033333335,0.5,0.6296298,0.45592764,0.5240087,0.5145223,0.5,0.3703702,0.54407233,0.4759913,0.48547772,0.0,0.25925955,-0.08814471,0.0480174,0.029044585,0.9365262,0.8761233,1.0661608,1.1007811,1.131394,0.07863293,0.30547523,0.4012031,0.5288259,0.5026996,0.5260178,0.9720819,0.8931181,0.8611484,1.7804084,0.8872367,0.39565673,0.43696612,0.5071216,0.49745363,0.11276329,0.60434324,0.5630339,0.49287838,0.50254637,0.7744734,-0.20868652,-0.12606776,0.014243266,-0.0050927224,0,1
2014-01-06,4.1621885,4.1753354,4.206887,4.1227493,38935396.0,0.0031586452,0.020214712,0.15625478,0.007580474,0.37499788,0.0094755925,0.46874735,0.0050537637,0.25000426,0.9968513,1.0075566,0.98740554,0.99244326,0.9685138,0.9886651,0.9578085,0.9532755,1.0,0.9957179,0.978432,0.9799748,0.9739595,0.008460316,0.007688459,0.020272862,0.018320942,0.022555865,-0.0033375348,0.0009159715,0.0025477796,0.0006903831,0.00043132307,0.38906166,0.13010584,0.55279183,0.11004908,0.11152859,0.006675024,0.00016022725,-0.0026358957,0.0100146225,0.013316436,1.013854,1.013854,1.013854,1.013854,1.0221719,0.98362726,0.96788406,0.93828714,0.93828714,0.90943235,1.0062972,1.0011336,0.9967255,0.9942064,0.9919396,0.99634767,0.9877834,0.95654905,0.9633503,0.9544031,0.6,0.8,0.9,0.9,0.9,0.5416643,0.6986289,0.8166656,0.8166656,0.80333525,0.4,0.7,0.85,0.9,0.43333334,0.8,0.1,0.4,0.6,0.35,-0.4,0.6,0.45,0.3,0.083333336,-0.14466703,0.06490913,-0.18443869,0.027058871,-0.07339936,0.62967837,0.018696133,0.23994772,0.382597,0.07191368,0.6,0.7,0.6,0.6,0.53333336,0.4,0.3,0.4,0.4,0.46666667,0.2,0.4,0.2,0.2,0.06666667,0.5731714,0.66666746,0.52777755,0.5702308,0.5368453,0.42682865,0.33333254,0.47222245,0.42976925,0.4631547,0.14634271,0.33333495,0.05555512,0.1404615,0.07369059,0.6900608,0.5917126,0.6920125,0.7137907,0.7218918,0.1749385,0.23933877,0.2642081,0.3371931,0.32040608,0.55786324,0.87416816,0.88777673,0.8489785,1.7721722,0.9414528,0.59648496,0.5385939,0.52663964,0.5100012,0.05854718,0.403515,0.46140614,0.47336033,0.48999882,0.88290566,0.19296995,0.07718774,0.053279333,0.020002345,1,0
2014-01-07,4.217404,4.243696,4.259473,4.1884813,31689756.0,0.006234244,0.01683299,0.37035868,0.0037408404,0.22223267,0.0068579055,0.40740865,0.009351309,0.55553466,0.9938044,1.0037177,0.98698896,0.9894675,0.9721192,0.9584884,0.94981444,0.94839555,0.98599774,0.98246616,0.96474624,0.96586144,0.9591303,0.010992821,0.009387456,0.021581016,0.018950803,0.022795124,0.0016108452,0.0015057586,0.0029739789,0.00081117096,0.0004760477,0.05368207,0.2358448,0.6646607,0.14199442,0.13301997,0.01078055,0.010757916,0.0070009837,0.022376554,0.026826294,1.0037177,1.0037177,1.0037177,1.0037177,1.005706,0.9677822,0.9677822,0.9231725,0.9231725,0.89478254,0.9940523,0.99008703,0.9828999,0.98066944,0.9765135,0.9802977,0.975341,0.94114023,0.94783187,0.9390288,1.0,1.0,1.0,1.0,1.0,0.8965461,0.8965461,0.9538438,0.9538438,0.94855964,1.0,1.0,1.0,1.0,0.41666666,0.6,0.8,0.35,0.56666666,0.33333334,0.4,0.2,0.65,0.43333334,0.083333336,0.1924621,0.389451,-0.118619256,0.04341761,-0.060007017,0.122812875,-0.20187052,0.19615412,0.35353047,0.0686124,0.6,0.7,0.65,0.6,0.53333336,0.4,0.3,0.35,0.4,0.46666667,0.2,0.4,0.3,0.2,0.06666667,0.59769905,0.65517205,0.6024465,0.5824843,0.54098964,0.40230092,0.34482798,0.39755353,0.4175157,0.4590104,0.19539814,0.31034404,0.20489293,0.1649686,0.08197924,0.8989101,0.71236396,0.85808057,0.8889676,0.89237773,0.21462378,0.2738097,0.32632732,0.4124145,0.39292642,0.58182406,0.7628382,0.87961113,0.8204922,1.7502685,0.66128486,0.46680388,0.5141264,0.5153105,0.50819,0.33871514,0.53319615,0.48587358,0.48468947,0.49181002,0.32256973,-0.06639225,0.028252814,0.03062108,0.016379956,1,0
2014-01-08,4.259474,4.3015428,4.322577,4.2436976,29303564.0,0.009876562,0.018518569,0.53333294,0.0049382253,0.26666343,0.003703781,0.20000362,0.0086421175,0.4666731,0.99022,1.00489,0.9865525,0.97921747,0.96454734,0.9297064,0.92787284,0.9277384,0.9768947,0.97279936,0.9552871,0.9552769,0.9474364,0.016471926,0.013205212,0.023175066,0.019964797,0.023397952,0.008985323,0.0028487744,0.0032745388,0.0009318966,0.00052644487,0.7439069,0.42661574,0.6987573,0.16885245,0.15440096,0.0051346477,0.014381146,0.013604756,0.031210562,0.037033465,1.00489,1.00489,1.00489,1.00489,1.00489,0.9547676,0.9547676,0.9107578,0.9107578,0.8827496,0.9892417,0.9806844,0.9717602,0.969682,0.9637956,0.9671148,0.9622248,0.9338631,0.93936414,0.9264009,1.0,1.0,1.0,1.0,1.0,0.90244013,0.90244013,0.9480525,0.9480525,0.95996463,1.0,1.0,1.0,1.0,1.0,0.4,0.7,0.3,0.53333336,0.31666666,0.6,0.3,0.7,0.46666667,0.68333334,0.28191483,0.40490565,-0.022087013,0.0101195,-0.055067595,0.011189512,-0.21504766,0.26056084,0.32435352,0.062185485,0.6,0.7,0.7,0.6333333,0.55,0.4,0.3,0.3,0.36666667,0.45,0.2,0.4,0.4,0.26666668,0.1,0.66346276,0.68354607,0.6780194,0.618474,0.55766517,0.33653727,0.31645393,0.32198057,0.38152596,0.4423348,0.32692546,0.36709213,0.35603884,0.23694804,0.11533039,1.0191025,0.81567603,0.91545737,0.97752845,0.97009134,0.20145527,0.29276454,0.34524038,0.43797195,0.4234828,0.31714457,0.6713348,0.88678104,0.7943708,1.7314378,0.630934,0.6277466,0.47826028,0.51926893,0.5070227,0.36906597,0.37225345,0.5217397,0.48073107,0.49297732,0.26186803,0.2554931,-0.04347947,0.038537864,0.01404538,1,0
2014-01-09,4.23581,4.141155,4.2436976,4.1280084,27780348.0,-0.022346385,0.027312199,-0.8181833,0.00186218,0.068181254,0.0031036334,0.11363543,-0.021104932,-0.77272916,1.0228572,1.0247619,0.9968254,1.0069841,1.0044444,0.9879364,0.98476195,0.97819424,1.0133333,1.0100317,0.9928888,0.992783,0.98449427,0.018153597,0.014002822,0.024109038,0.020734288,0.02437681,0.0040635,0.001985567,0.0034428951,0.0009660129,0.0005627871,0.1252608,0.18431015,0.71376604,0.16822453,0.16256776,-0.021460278,-0.01896675,-0.025596328,-0.0067901807,-0.0010965157,1.0438095,1.0438095,1.0438095,1.0438095,1.0438095,0.991746,0.991746,0.9460317,0.9460317,0.9169387,1.0275553,1.0186665,1.0093968,1.007238,1.0011237,0.99898416,0.99898416,0.97003186,0.975746,0.96228063,0.4,0.3,0.55,0.65,0.7583333,0.15853705,0.15853705,0.5519481,0.5519481,0.6546916,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.6,0.25,0.5,0.3,0.6,0.3,0.7,0.46666667,0.68333334,0.27040812,0.45668662,-0.00010074289,0.008837577,-0.05934994,0.18816751,-0.019314358,0.18725456,0.2789989,0.07850393,0.6,0.6,0.65,0.6,0.53333336,0.4,0.4,0.35,0.4,0.46666667,0.2,0.2,0.3,0.2,0.06666667,0.46308762,0.48372108,0.5272209,0.5228137,0.5161516,0.5369124,0.5162789,0.47277907,0.47718635,0.4838484,-0.073824786,-0.032557864,0.054441847,0.045627296,0.032303184,1.0969403,0.9331559,0.9259335,1.0361427,1.0303922,0.19345202,0.23074067,0.3080169,0.46076187,0.44279858,0.51443243,0.7680753,0.8501267,0.83308834,1.6860977,0.55979717,0.7244498,0.42960677,0.505775,0.5094231,0.44020283,0.2755502,0.5703932,0.494225,0.4905769,0.11959432,0.44889966,-0.14078647,0.011550008,0.018846184,0,0
2014-01-10,4.154301,4.1358957,4.1832232,4.099086,20774696.0,-0.0044304533,0.02025309,-0.21875443,0.006961961,0.34374806,0.0088606775,0.43749753,-0.0025317369,-0.12500496,1.0044502,1.0114431,0.9910999,0.9961858,0.9961858,0.97965664,0.9942785,0.9743796,1.0153847,1.0116974,0.9951685,0.9942361,0.98617315,0.017266786,0.013609129,0.023924433,0.020789128,0.024429683,-0.0043864935,0.0003621724,0.003301962,0.0010072659,0.00056760444,0.1613437,0.006492045,0.6666976,0.18193549,0.16464774,-0.0066116476,-0.013327211,-0.026537146,-0.008841448,-0.0029174758,1.0451368,1.0451368,1.0451368,1.0451368,1.0451368,0.9910999,0.9910999,0.94723463,0.94723463,0.91810465,1.0288619,1.0199618,1.0106803,1.0085188,1.0023966,1.0010172,1.0010172,0.9712653,0.9769867,0.9635042,0.2,0.2,0.5,0.56666666,0.71666664,0.16470413,0.16470413,0.53896004,0.53896004,0.6446818,0.6,0.8,0.9,0.93333334,0.96666664,1.0,1.0,0.2,0.46666667,0.28333333,-0.4,-0.2,0.7,0.46666667,0.68333334,0.3315257,0.3793687,0.04038221,0.0040853857,-0.070677914,0.1797996,0.21156183,0.17185721,0.26068273,0.08185644,0.6,0.6,0.65,0.56666666,0.53333336,0.4,0.4,0.35,0.43333334,0.46666667,0.2,0.2,0.3,0.13333334,0.06666667,0.5227263,0.5148509,0.54761916,0.5087378,0.5190598,0.4772737,0.48514912,0.45238084,0.49126223,0.48094022,0.04545261,0.029701779,0.09523835,0.017475557,0.038119562,1.4294674,1.2705234,1.1934011,1.3039794,1.378513,0.31633738,0.27643606,0.38442641,0.48094916,0.5916741,0.7220874,0.8324887,0.9244575,0.8868871,1.6932362,0.44014543,0.5541297,0.4393153,0.42079028,0.50064266,0.55985457,0.44587028,0.56068474,0.57920974,0.4993573,-0.11970913,0.10825946,-0.121369444,-0.15841945,0.0012853597,0,1
2014-01-13,4.135896,4.038612,4.1621895,4.030724,23136536.0,-0.023521943,0.031786446,-0.7399992,0.006357335,0.20000145,0.0019071659,0.059999347,-0.027972113,-0.8800013,1.0240885,1.030599,0.9980469,1.0338541,1.0260415,0.9837239,1.0221355,1.0101544,1.0330728,1.0334635,1.0199543,1.0174478,1.0097593,0.025363045,0.017890668,0.023512827,0.021530515,0.025050925,-0.014257763,-0.002264836,0.0025488539,0.0009414421,0.00056538364,0.7900234,0.14690344,0.41129005,0.14817677,0.15535985,-0.00455732,-0.023271726,-0.044168476,-0.031098748,-0.026438091,1.0703125,1.0703125,1.0703125,1.0703125,1.0703125,0.9980469,0.9980469,0.970052,0.970052,0.94022036,1.0536456,1.0445311,1.035026,1.0328125,1.0265428,1.0192708,1.0233072,0.9994792,0.9994792,0.9867135,0.2,0.1,0.25,0.23333333,0.35,0.027026761,0.027026761,0.29870167,0.29870167,0.45951745,0.4,0.7,0.85,0.9,0.95,1.0,1.0,0.15,0.43333334,0.26666668,-0.6,-0.3,0.7,0.46666667,0.68333334,0.71852386,0.38096568,0.054367065,0.01695242,-0.06845005,-0.56001407,0.11235561,0.06660092,0.279574,0.079335906,0.4,0.5,0.65,0.53333336,0.51666665,0.6,0.5,0.35,0.46666667,0.48333332,-0.2,0.0,0.3,0.06666667,0.033333335,0.32432526,0.41304398,0.53644335,0.46886444,0.49274775,0.67567474,0.586956,0.46355662,0.53113556,0.5072523,-0.3513495,-0.17391205,0.072886735,-0.062271148,-0.01450452,1.1469729,1.154122,1.0684128,1.1793671,1.2399908,0.193918,0.23513672,0.34555295,0.42564481,0.52998877,0.7166027,0.7235869,0.9232574,0.8406176,1.6721783,0.11508517,0.5367111,0.49480543,0.5109722,0.5024085,0.8849148,0.46328893,0.5051946,0.48902777,0.49759147,-0.76982963,0.07342215,-0.010389163,0.021944437,0.004817051,0,1
2014-01-14,4.059646,4.1648183,4.172706,4.041241,22993534.0,0.02590673,0.032383353,0.80000144,0.0019429872,0.059999567,0.004533637,0.13999899,0.02849738,0.8800009,0.9747475,1.0018939,0.97032833,1.0189391,1.0082071,0.94823235,0.9848485,0.9814274,0.9979798,1.0013257,0.9916351,0.98712116,0.9794701,0.022672009,0.017223636,0.020771189,0.021016642,0.024439069,-0.009027809,-0.0019092422,0.0019836542,0.0009870706,0.0005862559,0.3963918,0.11263772,0.31921056,0.17095092,0.17551129,0.020075778,0.007265833,-0.010479807,-0.00143371,0.0032353462,1.0378789,1.0378789,1.0378789,1.0378789,1.0378789,0.9678031,0.9678031,0.94065654,0.94065654,0.9117289,1.0065657,1.0128788,1.0036616,1.0015152,0.99671704,0.9883838,0.99229795,0.970707,0.969192,0.95681316,0.8,0.5,0.7,0.76666665,0.8333333,0.45945823,0.45945823,0.61038905,0.61038905,0.6997313,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.9,0.1,0.4,0.25,-0.6,-0.3,0.7,0.46666667,0.68333334,0.6214094,0.41093913,-0.025680233,0.004301603,-0.07231522,-0.16712476,0.025442164,0.025045808,0.23931116,0.07298137,0.4,0.5,0.7,0.56666666,0.51666665,0.6,0.5,0.3,0.43333334,0.48333332,-0.2,0.0,0.4,0.13333334,0.033333335,0.41176647,0.47470805,0.6073299,0.5205479,0.51312953,0.58823353,0.525292,0.39267012,0.47945207,0.4868705,-0.17646708,-0.0505839,0.21465975,0.04109583,0.026259005,1.0784656,1.158673,1.0868924,1.203913,1.2495875,0.15589693,0.23840368,0.34048563,0.4090063,0.5321868,0.68741244,0.6911848,0.8708267,0.7986013,1.6247994,0.17599532,0.49215773,0.52031356,0.52257735,0.5020512,0.82400465,0.50784224,0.47968644,0.47742262,0.49794886,-0.64800936,-0.015684517,0.040627107,0.045154728,0.0041022906,1,1
2014-01-15,4.1832247,4.2095175,4.225293,4.1648192,16643560.0,0.006285295,0.014456293,0.43477917,0.003771177,0.2608675,0.00439982,0.3043533,0.0069139386,0.478265,0.99375397,1.0037476,0.9893816,1.0218612,1.0006244,0.93941253,0.98375994,0.9821884,0.9830104,0.9906306,0.9841347,0.97718066,0.9693664,0.014895381,0.017001411,0.018438257,0.021192806,0.024451168,0.0039350823,-0.00071923167,0.0015742076,0.0011764109,0.00065297185,0.17447951,0.016405107,0.2551246,0.23880473,0.21751514,0.009119395,0.012605904,0.0009103407,0.0057613673,0.01137097,1.0081197,1.0268581,1.0268581,1.0268581,1.0268581,0.9575264,0.9575264,0.93066806,0.93066806,0.90204763,0.99150515,1.0016239,0.9980011,0.99287915,0.98838204,0.9778885,0.98176116,0.9751404,0.9589005,0.9466531,1.0,0.8,0.85,0.9,0.9,0.83950984,0.61261475,0.720781,0.720781,0.7848091,0.2,0.5,0.75,0.8333333,0.9166667,0.6,0.8,0.05,0.36666667,0.23333333,-0.4,-0.3,0.7,0.46666667,0.68333334,-0.48841095,0.25848866,-0.08598975,-0.048690505,-0.09322919,-0.30146733,-0.04708077,0.0056697624,0.193376,0.062185664,0.4,0.5,0.7,0.56666666,0.51666665,0.6,0.5,0.3,0.43333334,0.48333332,-0.2,0.0,0.4,0.13333334,0.033333335,0.39394012,0.49814194,0.6221669,0.52218455,0.5127369,0.60605985,0.50185806,0.37783316,0.47781545,0.48726305,-0.21211974,-0.0037160837,0.2443337,0.044369105,0.025473878,1.3377988,1.5660433,1.483697,1.6253762,1.7185885,0.24319081,0.3742773,0.4827823,0.57032263,0.74046457,0.8139463,0.64555985,0.83302134,0.8160656,1.6327456,0.13586533,0.43389553,0.47800744,0.4613945,0.49391726,0.86413467,0.5661045,0.52199256,0.5386055,0.5060827,-0.72826934,-0.13220897,-0.04398514,-0.07721105,-0.012165475,1,1
