date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,3.1928575,3.1371431,3.1928575,3.1157146,52817796.0,-0.017449688,0.024161102,-0.7222224,0.0,0.0,0.0067114127,0.2777776,-0.010738276,-0.44444478,1.0177596,1.0177596,0.99316937,1.0264115,0.9892987,0.97745913,0.9373861,0.86293274,1.0301456,1.0169399,0.9985769,0.9814207,0.9444672,0.01887373,0.023945559,0.02774308,0.0359048,0.056449693,-0.003984464,0.0049594394,0.0030272102,0.0034498982,0.00285902,0.11142028,0.39321187,0.4167195,0.7154994,0.782368,-0.02217675,-0.039257314,-0.027335389,-0.03144422,-0.028808262,1.0546448,1.0546448,1.0546448,1.0546448,1.0546448,0.99316937,0.9649362,0.9485428,0.9148451,0.79895264,1.0458561,1.0346538,1.0273223,1.0109289,0.98961747,1.0214936,0.99089247,0.97390705,0.9560107,0.89530975,0.2,0.4,0.65,0.76666665,0.8833333,0.11111111,0.3908631,0.48497856,0.6091205,0.78628665,0.8,0.9,0.95,0.96666664,0.98333335,1.0,0.1,0.35,0.06666667,0.2,-0.2,0.8,0.6,0.9,0.78333336,-0.61755985,-0.6659684,-0.66980284,-0.17022783,-0.225765,-0.6753643,-0.3540461,-0.329011,-0.15297881,-0.16774143,0.6,0.6,0.65,0.6666667,0.6166667,0.4,0.4,0.35,0.33333334,0.38333333,0.2,0.2,0.3,0.33333334,0.23333333,0.30000126,0.5418895,0.5462183,0.5840978,0.5819714,0.69999874,0.45811048,0.45378172,0.41590223,0.4180286,-0.39999747,0.08377902,0.09243655,0.16819555,0.1639428,0.43890053,0.7423146,0.83318055,0.7332318,0.7644636,0.32373017,0.80337524,0.66613847,0.5765118,0.58845365,1.8683299,1.3793617,1.2247399,1.3127253,2.4961355,0.92934906,0.47908172,0.52154505,0.5184227,0.5091846,0.07065095,0.52091825,0.47845498,0.48157725,0.49081537,0.8586981,-0.04183655,0.043090064,0.036845483,0.018369246,0,0
2014-01-03,3.1507144,3.1114287,3.1671429,3.0771432,50878800.0,-0.01246881,0.028564848,-0.4365089,0.005214205,0.18253922,0.010881832,0.38095188,-0.006801183,-0.23809625,1.0126263,1.0179063,0.98898077,1.0353534,0.99908173,0.9974748,0.92561984,0.83976126,1.0315887,1.0254362,1.0069559,0.992011,0.95494336,0.02589479,0.024033967,0.027933586,0.034163114,0.055283405,-0.012741024,0.0018671665,0.002806954,0.0031051766,0.0027701925,0.60523474,0.055325665,0.35341522,0.6402644,0.7658261,-0.0061065825,-0.033838414,-0.033621952,-0.037036046,-0.036664043,1.0633609,1.0633609,1.0633609,1.0633609,1.0633609,0.98898077,0.972911,0.956382,0.92240584,0.8055556,1.0544996,1.0432047,1.0358126,1.0192837,0.99908173,1.0066116,0.99981636,0.98195595,0.9674931,0.91450894,0.2,0.3,0.55,0.7,0.85,0.14814739,0.2994916,0.40772507,0.55048835,0.75422955,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.1,0.3,0.033333335,0.18333334,-0.4,0.7,0.6,0.9,0.78333336,-0.82767045,-0.6747245,-0.6780512,-0.19285582,-0.18135823,-0.619658,-0.34167123,-0.31846413,-0.15960903,-0.12663984,0.4,0.5,0.6,0.6666667,0.6166667,0.6,0.5,0.4,0.33333334,0.38333333,-0.2,0.0,0.2,0.33333334,0.23333333,0.26234746,0.5033899,0.5052132,0.6021435,0.59759486,0.73765254,0.4966101,0.49478677,0.39785644,0.40240517,-0.47530508,0.0067798067,0.010426451,0.2042871,0.19518968,0.6082989,0.78066975,0.8865789,0.77793187,0.7870714,0.38197154,0.83632255,0.68848,0.597877,0.60645896,1.5572045,1.2769864,1.2163931,1.321575,2.5845547,0.8882173,0.5078346,0.5183196,0.51685035,0.492041,0.1117827,0.49216542,0.48168036,0.48314962,0.507959,0.7764346,0.015669191,0.03663925,0.033700738,-0.01591804,0,1
2014-01-06,3.137857,3.08,3.142857,3.0549998,36120000.0,-0.018438391,0.027999124,-0.6585346,0.0015934807,0.056911804,0.007967251,0.2845536,-0.012064621,-0.4308928,1.0187848,1.0204082,0.9918831,1.0510204,0.9995362,1.0171614,0.93807983,0.84948975,1.031911,1.0359462,1.0163729,1.0041976,0.9671963,0.03126877,0.02420236,0.02848056,0.032331564,0.05393289,-0.018622497,-0.002496198,0.0025883387,0.0026813466,0.002661098,0.8867356,0.09751111,0.28907678,0.5330332,0.74253035,0.0053339344,-0.024713363,-0.040962182,-0.043077156,-0.045698654,1.0742116,1.0742116,1.0742116,1.0742116,1.0742116,0.9918831,0.9918831,0.9661411,0.9332097,0.8137756,1.0652599,1.0538497,1.0463822,1.0296845,1.0092765,1.0081633,1.0100186,0.99197596,0.9837663,0.933117,0.2,0.1,0.35,0.5,0.75,0.09859171,0.09859171,0.3133038,0.47368336,0.7150485,0.4,0.7,0.85,0.9,0.95,1.0,1.0,0.25,0.1,0.16666667,-0.6,-0.3,0.6,0.8,0.78333336,-0.8654097,-0.68584114,-0.68271136,-0.26177946,-0.1581402,-0.4917729,-0.33687487,-0.28214705,-0.14253524,-0.120370165,0.2,0.5,0.55,0.6333333,0.6,0.8,0.5,0.45,0.36666667,0.4,-0.6,0.0,0.1,0.26666668,0.2,0.18208311,0.50168896,0.46502858,0.58256,0.58976465,0.81791687,0.49831104,0.5349714,0.41743997,0.41023535,-0.63583374,0.003377885,-0.069942854,0.16512005,0.17952932,0.994186,1.1053178,1.2710369,1.1114961,1.1009063,0.44405898,1.177349,0.9581147,0.83560795,0.85307485,1.3623656,1.2675036,1.1930228,1.2903862,2.56844,0.69359213,0.5031,0.5132055,0.51108146,0.49325928,0.30640787,0.49690002,0.48679447,0.48891857,0.5067407,0.38718426,0.006199929,0.02641106,0.022162883,-0.013481417,0,1
2014-01-07,3.0921428,3.0692856,3.112857,3.0485713,44900804.0,-0.0073920223,0.020790035,-0.35555604,0.006699006,0.32222196,0.006699006,0.32222196,-0.0073920223,-0.35555604,1.0074471,1.0141959,0.9932511,1.069351,1.0127997,1.0293227,0.954154,0.8687458,1.021643,1.0382826,1.0184548,1.0092313,0.97276014,0.027805546,0.026121976,0.028823372,0.030877039,0.052565865,-0.015638866,-0.006447059,0.0024612395,0.0022717053,0.0025460413,0.79083824,0.55837077,0.25520325,0.41950238,0.71552217,0.0096346475,-0.00927081,-0.041836563,-0.04217102,-0.047868352,1.0779616,1.0779616,1.0779616,1.0779616,1.0779616,0.9932511,0.9932511,0.9695137,0.9364674,0.8166163,1.031464,1.0575285,1.0500349,1.0332791,1.0127997,1.0027926,1.0116826,0.99543875,0.988969,0.9407494,0.2,0.1,0.3,0.43333334,0.71666664,0.079670176,0.079670176,0.28111497,0.44901228,0.7016914,0.2,0.6,0.8,0.8666667,0.93333334,1.0,1.0,0.2,0.06666667,0.15,-0.8,-0.4,0.6,0.8,0.78333336,-0.8120506,-0.6729813,-0.6824218,-0.3175048,-0.14371793,-0.9022807,-0.60964483,-0.29773507,-0.1436815,-0.11600312,0.0,0.4,0.5,0.6,0.5833333,1.0,0.6,0.5,0.4,0.41666666,-1.0,-0.2,0.0,0.2,0.16666667,0.0,0.45132732,0.43918937,0.56246024,0.5792132,1.0,0.5486727,0.5608106,0.43753976,0.4207868,-1.0,-0.097345375,-0.121621266,0.124920495,0.15842637,0.90474546,0.65062666,1.0376995,0.9113546,0.88661385,0.31224787,0.37792248,0.7669442,0.6679132,0.68637186,1.4463824,1.5079848,1.2080421,1.3044412,2.6029987,0.6875767,0.25741827,0.51130456,0.5149927,0.5010816,0.31242332,0.7425817,0.48869547,0.4850073,0.49891838,0.37515336,-0.48516348,0.022609066,0.029985443,0.0021632242,0,0
2014-01-08,3.0821435,3.130715,3.1371434,3.0642865,31345994.0,0.01575895,0.023638388,0.66666776,0.0020857174,0.088234335,0.0057937196,0.2450979,0.019466953,0.8235313,0.98448557,1.0020534,0.9787817,1.0479124,1.0312569,0.9936115,0.9368012,0.8710926,0.99201447,1.0147842,0.9987906,0.9915353,0.9558216,0.009627267,0.025706695,0.02823609,0.028637426,0.05071386,-0.0017567741,-0.0064076646,0.0023580547,0.0019323851,0.002432063,0.08324648,0.56953245,0.24409941,0.3528752,0.70144904,0.011499082,0.014050248,-0.02119214,-0.01955489,-0.02756745,1.0198493,1.0568104,1.0568104,1.0568104,1.0568104,0.97376204,0.97376204,0.9504904,0.91809255,0.8005931,1.0004107,1.0367782,1.0294317,1.0130045,0.9930639,0.9831164,0.9918319,0.9759068,0.9696553,0.9228837,0.8,0.4,0.65,0.7,0.85,0.56930995,0.31593615,0.46566626,0.5904612,0.7782728,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.9,0.15,0.033333335,0.13333334,-0.6,-0.4,0.6,0.8,0.78333336,0.08972919,-0.743996,-0.6882002,-0.4525002,-0.1354765,-0.8653463,-0.4794569,-0.34073642,-0.16430822,-0.12237572,0.2,0.4,0.55,0.6,0.5833333,0.8,0.6,0.45,0.4,0.41666666,-0.6,-0.2,0.1,0.2,0.16666667,0.2251324,0.35817966,0.513283,0.58358467,0.5793316,0.7748676,0.6418204,0.48671702,0.41641533,0.4206684,-0.5497352,-0.28364068,0.026565986,0.16716933,0.15866318,1.378571,0.917432,1.4910364,1.325732,1.2645372,0.29627746,0.53690994,1.096226,0.9430429,0.9837601,1.1283351,1.6285969,1.1880916,1.2483511,2.6194685,0.58811754,0.48071957,0.50234705,0.5122619,0.49591494,0.41188246,0.51928043,0.49765295,0.48773807,0.50408506,0.17623508,-0.03856087,0.0046941307,0.024523875,-0.008170138,1,0
2014-01-09,3.1392858,3.0757146,3.1578572,3.064286,50637996.0,-0.020250216,0.02980652,-0.67938876,0.005915797,0.19847324,0.0036405078,0.12213797,-0.022525504,-0.7557241,1.0206687,1.0267068,0.99628425,1.0199721,1.0469112,0.98699474,0.93938684,0.8880632,1.0057594,1.0282396,1.0173014,1.0112865,0.9747793,0.008588651,0.02755002,0.028176297,0.026077759,0.050513048,-0.0006734477,-0.007386439,0.0016940902,0.0014252336,0.0023761427,0.015370847,0.65892786,0.1265241,0.23149055,0.6748973,-0.004412471,0.0049993563,-0.03339524,-0.03195239,-0.044875536,1.0297259,1.0757084,1.0757084,1.0757084,1.0757084,0.991175,0.991175,0.96748716,0.9470506,0.8149094,1.0128658,1.055318,1.0478401,1.0311192,1.010822,0.99958193,1.0011146,0.997306,0.9871806,0.9444031,0.4,0.2,0.3,0.4,0.7,0.22891872,0.10439689,0.3004294,0.4115525,0.7097061,0.2,0.4,0.7,0.8,0.9,0.6,0.8,0.1,0.033333335,0.11666667,-0.4,-0.4,0.6,0.76666665,0.78333336,-0.45632207,-0.80657053,-0.66959834,-0.5473124,-0.16450857,-0.6144281,-0.6073186,-0.24493721,-0.1507614,-0.13453104,0.2,0.4,0.55,0.6,0.56666666,0.8,0.6,0.45,0.4,0.43333334,-0.6,-0.2,0.1,0.2,0.13333334,0.33333462,0.31569475,0.52729064,0.57800347,0.56635445,0.6666654,0.68430525,0.47270936,0.42199653,0.43364555,-0.33333075,-0.3686105,0.05458131,0.15600692,0.13270889,0.84475535,0.65127456,0.86155933,0.8361672,0.7940471,0.17298646,0.32491332,0.6059047,0.58208233,0.60658133,0.56784743,1.3496228,1.0769272,1.2169117,2.5730457,0.48131347,0.6918398,0.44349694,0.5150603,0.5136603,0.51868653,0.3081602,0.55650306,0.4849397,0.48633966,-0.037373073,0.38367963,-0.11300611,0.030120598,0.027320672,0,1
2014-01-10,3.0942855,3.0714283,3.1035712,3.05,67650810.0,-0.0073869037,0.017312955,-0.42666915,0.0030009153,0.17333351,0.0069251354,0.39999732,-0.0034626834,-0.20000534,1.0074419,1.0104651,0.99302334,1.0130234,1.0488373,0.97534883,0.9879071,0.8713955,1.0045582,1.0247909,1.0199536,1.0131009,0.97828305,0.00835052,0.028136523,0.026720032,0.025809849,0.04876184,-0.00034883746,-0.007737848,0.00074418564,0.0011743311,0.0022410415,0.004362738,0.6932836,0.027149174,0.16043971,0.6442278,-0.003860585,0.010029474,-0.027023384,-0.030128684,-0.044393796,1.0281396,1.0772095,1.0772095,1.0772095,1.0772095,0.9925582,0.9925582,0.9688373,0.9688373,0.81604666,1.0060931,1.0567907,1.0493023,1.0325582,1.0122327,0.99986047,1.0011164,0.99986047,0.99362797,0.9521861,0.4,0.2,0.25,0.36666667,0.68333334,0.20914835,0.08791119,0.28755215,0.28755215,0.7043626,0.8,0.3,0.65,0.76666665,0.8833333,0.4,0.7,0.05,0.36666667,0.1,0.4,-0.4,0.6,0.4,0.78333336,-0.71625805,-0.8355906,-0.695015,-0.54327875,-0.19214122,-0.5912085,-0.61778796,-0.31074914,-0.2745637,-0.13470821,0.2,0.3,0.55,0.56666666,0.56666666,0.8,0.7,0.45,0.43333334,0.43333334,-0.6,-0.4,0.1,0.13333334,0.13333334,0.377193,0.30978385,0.5543031,0.51761496,0.5776464,0.62280697,0.6902161,0.4456969,0.48238504,0.4223536,-0.24561398,-0.3804323,0.108606204,0.0352299,0.1552928,0.6819005,0.5696949,0.6600823,0.6325786,0.60624826,0.20953481,0.26491582,0.4603764,0.43997493,0.4551834,0.77952325,1.3137823,1.1466582,1.2185408,2.589366,0.6142519,0.7252887,0.5204776,0.50879085,0.51903474,0.38574806,0.2747113,0.4795224,0.49120918,0.48096526,0.22850387,0.4505774,0.04095517,0.01758166,0.038069487,0,1
2014-01-13,3.0757148,3.0671432,3.106429,3.0300002,60360990.0,-0.0027868724,0.024849147,-0.11215163,0.009986061,0.40186733,0.012076215,0.48598105,-0.0006967181,-0.028037908,1.0027946,1.0128087,0.98789006,1.0041918,1.055426,0.9823009,0.9781087,0.8837913,1.0051234,1.02068,1.0222635,1.015246,0.98158664,0.008783506,0.027228415,0.025667394,0.025080252,0.04724221,-0.00207266,-0.0072320877,-0.00017719986,0.0008312316,0.0021150613,0.13920678,0.646687,0.0016681355,0.085129865,0.61134356,-0.0009780535,0.011864419,-0.020580152,-0.027298853,-0.043980952,1.0295761,1.0787145,1.0787145,1.0787145,1.0787145,0.98789006,0.98789006,0.97647876,0.9701909,0.8171867,1.006381,1.0321845,1.0507684,1.0340008,1.0136468,1.0005589,1.0012574,1.0012574,0.99739164,0.95519316,0.2,0.1,0.15,0.3,0.65,0.29050425,0.13333373,0.23006885,0.27467847,0.6990205,0.6,0.2,0.6,0.73333335,0.8666667,1.0,1.0,0.05,0.33333334,0.083333336,-0.4,-0.8,0.55,0.4,0.78333336,-0.85250396,-0.87331307,-0.709424,-0.57244265,-0.21270476,-0.89447814,-0.60378915,-0.3071711,-0.29705176,-0.13467403,0.2,0.2,0.5,0.56666666,0.55,0.8,0.8,0.5,0.43333334,0.45,-0.6,-0.6,0.0,0.13333334,0.1,0.45263347,0.27798727,0.53966594,0.53277576,0.5709006,0.54736656,0.72201276,0.4603341,0.46722424,0.42909935,-0.09473307,-0.4440255,0.07933183,0.065551534,0.14180127,0.8445739,0.71974725,0.74627167,0.7233284,0.6898087,0.23260058,0.26970512,0.518508,0.49517068,0.5102602,0.9918131,1.3024547,1.1826274,1.2509824,2.6010883,0.6838382,0.68864495,0.5077563,0.51710147,0.5147334,0.3161618,0.31135508,0.4922437,0.4828985,0.48526666,0.36767635,0.37728986,0.015512585,0.034202963,0.029466694,0,1
2014-01-14,3.0864284,3.1514282,3.157857,3.0714283,88344210.0,0.021059882,0.028002802,0.7520634,0.002082899,0.074381806,0.0048600202,0.1735548,0.023837004,0.8512364,0.97937447,1.0020399,0.9746147,0.9739348,1.041478,0.9635088,0.96328205,0.8504081,0.98345435,0.9892341,0.9967477,0.9893172,0.95782727,0.0123625295,0.020760149,0.023873806,0.024040265,0.044214636,0.0010425518,-0.0034712635,-0.0005959491,0.00071470655,0.001953876,0.017779544,0.25628647,0.02180937,0.06849813,0.59560966,0.014460532,0.026386624,0.008913865,0.00031960587,-0.015466628,1.00204,1.0498643,1.0498643,1.0498643,1.0498643,0.9614689,0.9614689,0.9605622,0.94424313,0.79533106,0.99474186,0.9963737,1.0226655,1.0063463,0.9871262,0.97434276,0.9744787,0.9757028,0.97262037,0.9304626,1.0,0.9,0.7,0.76666665,0.8833333,0.9497176,0.43589514,0.44162223,0.5278951,0.8040953,0.4,0.1,0.55,0.7,0.85,0.8,0.9,0.15,0.3,0.06666667,-0.4,-0.8,0.4,0.4,0.78333336,0.0038357733,-0.6023812,-0.65743273,-0.6236375,-0.19257982,-0.34711888,-0.600873,-0.2589487,-0.24311925,-0.117875636,0.4,0.2,0.5,0.56666666,0.56666666,0.6,0.8,0.5,0.43333334,0.43333334,-0.2,-0.6,0.0,0.13333334,0.13333334,0.69624484,0.34517696,0.5771808,0.5539279,0.5918194,0.30375513,0.654823,0.42281923,0.4460721,0.4081806,0.3924897,-0.30964607,0.15436156,0.10785583,0.1836388,0.67540365,0.56761956,0.52323973,0.52253664,0.48152643,0.23812445,0.22204335,0.3678892,0.34405792,0.35504478,1.165448,1.2220248,1.2166377,1.2293056,2.5113804,0.7551512,0.7264581,0.52271026,0.54894924,0.5210218,0.24484877,0.27354193,0.47728974,0.45105073,0.47897822,0.5103025,0.45291618,0.045420513,0.09789853,0.042043578,1,1
2014-01-15,3.1885715,3.2421427,3.2621427,3.172857,39489800.0,0.01680101,0.02800176,0.5999984,0.0062723956,0.22400004,0.0049283532,0.17600156,0.015456969,0.5519999,0.9834766,1.0061687,0.9786297,0.9656314,1.0118971,0.94382036,0.9424983,0.83520603,0.96281123,0.9603658,0.9716678,0.963553,0.93377405,0.023392774,0.016978355,0.023414712,0.024090799,0.042004805,0.012734051,0.0020789402,-0.0005297465,0.00081023155,0.0018498675,0.74081486,0.13743715,0.017915403,0.087663256,0.59153867,0.011720662,0.030278975,0.033364743,0.024698652,0.011654859,1.0061687,1.0061687,1.0204892,1.0204892,1.0204892,0.9345672,0.9345672,0.93368596,0.91782343,0.77307785,0.9776162,0.96849537,0.99634284,0.9932585,0.9608726,0.94708085,0.947213,0.94937223,0.9459795,0.9065434,1.0,1.0,0.9,0.93333334,0.96666664,0.9138461,0.9138461,0.76395756,0.8004276,0.9171854,1.0,1.0,0.5,0.6666667,0.8333333,0.6,0.8,0.1,0.26666668,0.05,0.4,0.2,0.4,0.4,0.78333336,-0.40766776,-0.1437522,-0.65067524,-0.5929033,-0.18803918,-0.52321196,-0.69664645,-0.31016037,-0.3291011,-0.13850498,0.4,0.3,0.5,0.56666666,0.56666666,0.6,0.7,0.5,0.43333334,0.43333334,-0.2,-0.4,0.0,0.13333334,0.13333334,0.73353153,0.46228996,0.61213684,0.58151144,0.60157496,0.26646847,0.5377101,0.3878632,0.4184886,0.39842504,0.46706307,-0.07542011,0.22427364,0.16302283,0.20314991,1.5522176,1.323246,1.1763995,1.1621382,1.0785295,0.46727046,0.42411742,0.8212862,0.77028376,0.7940928,1.0382292,1.0229895,1.1427867,1.1823715,2.4755213,0.53381073,0.5543842,0.50428313,0.49480724,0.50114286,0.46618927,0.44561583,0.4957169,0.50519276,0.4988571,0.06762147,0.108768314,0.008566222,-0.010385495,0.0022857736,1,1
