date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,11.946046,11.977674,12.059535,11.925581,5779200.0,0.0026475417,0.011213254,0.23610824,0.0068526017,0.61111623,0.0017131106,0.1527755,-0.0024919496,-0.2222325,0.99735945,1.0068345,0.9956509,1.003495,0.98897177,0.96582794,0.96676,0.98539925,1.0009942,1.0013436,0.98508084,0.9796703,0.9822526,0.0034668867,0.0034535008,0.020939713,0.018795425,0.025530534,-0.0014911579,-0.00043068203,0.0030669633,0.0016330145,-0.00012828707,0.46249604,0.14256267,0.7508337,0.58502907,0.0077009755,0.0019881523,0.0005944171,-0.014216991,-0.0033489666,0.021531885,1.0095527,1.0095527,1.0095527,1.0095527,1.0532775,0.9910688,0.983846,0.934607,0.934607,0.934607,1.0020504,1.003992,1.0012738,1.0,1.0011805,0.9992235,0.9992235,0.97008395,0.96676,0.96436787,0.6,0.45,0.725,0.81666666,0.775,0.4831876,0.6283946,0.87253755,0.87253755,0.55104697,0.4,0.7,0.85,0.9,0.13333334,0.6,0.1,0.05,0.36666667,0.68333334,-0.2,0.6,0.8,0.53333336,-0.55,-0.29326144,-0.25610667,-0.7569869,-0.5422479,-0.09876547,0.59179306,-0.15800224,-0.4007551,-0.33385566,-0.31772628,0.6,0.5,0.5,0.5,0.53333336,0.4,0.5,0.5,0.5,0.46666667,0.2,0.0,0.0,0.0,0.06666667,0.3821946,0.6119875,0.6104417,0.586921,0.51472884,0.6178054,0.38801253,0.3895583,0.41307902,0.48527113,-0.23561081,0.22397491,0.22088343,0.17384197,0.029457726,0.64304316,0.8700149,1.3785993,1.2599268,1.3939205,0.21407773,0.49011615,0.8389765,0.7303315,0.8734452,0.52291316,1.3392764,1.8035446,1.9862843,3.0323744,0.8725605,0.47771344,0.49982846,0.4953517,0.49755374,0.1274395,0.52228653,0.50017154,0.5046483,0.5024463,0.745121,-0.04457311,-0.00034311073,-0.009296612,-0.0048925495,0,1
2014-01-03,11.968372,12.00372,12.090233,11.951628,5083675.0,0.0029534458,0.01158095,0.25502622,0.007228432,0.6241657,0.0013990719,0.12080805,-0.0028759143,-0.24833147,0.99705523,1.0072072,0.9956603,1.0046498,1.0037973,0.9383138,0.96016747,0.96861446,0.99789214,0.9987911,0.98602766,0.97887224,0.9806443,0.0016560763,0.0030680448,0.01835859,0.01889149,0.025556954,0.0004959556,-7.609022e-05,0.002599298,0.0016545038,-0.00011492347,0.22421509,0.005638268,0.7016193,0.59443563,0.006167357,0.0011159298,0.0015512903,-0.010720965,-0.0028625354,0.022745946,1.0073621,1.0073621,1.0073621,1.0073621,1.0509919,0.98891824,0.9868258,0.9370738,0.93257904,0.93257904,0.9989461,1.0008835,1.000155,0.9980006,1.000062,0.99705523,0.99705523,0.9685679,0.96526664,0.96227527,1.0,0.7,0.8,0.8666667,0.8,0.6008357,0.64150614,0.89525783,0.90155333,0.56937176,0.2,0.6,0.8,0.8666667,0.11666667,0.4,0.3,0.05,0.33333334,0.6666667,-0.2,0.3,0.75,0.53333336,-0.55,0.18187825,-0.43399167,-0.6854749,-0.5814107,-0.10505201,0.087179914,-0.22762121,-0.02456908,-0.35786715,-0.3190062,0.6,0.5,0.55,0.53333336,0.55,0.4,0.5,0.45,0.46666667,0.45,0.2,0.0,0.1,0.06666667,0.1,0.3295412,0.44469437,0.7352244,0.6056743,0.532551,0.6704588,0.5553056,0.26477557,0.39432564,0.467449,-0.34091756,-0.11061124,0.47044885,0.21134871,0.06510195,0.80803555,0.95472616,1.3889723,1.4382675,1.5763375,0.25793695,0.54333097,0.6482481,0.8263441,0.9957592,0.5209479,0.6381444,1.6921375,1.9965224,3.0834274,0.7059489,0.46377718,0.28836498,0.50551254,0.49339205,0.2940511,0.5362228,0.71163505,0.49448743,0.50660795,0.41189775,-0.07244565,-0.42327005,0.011025112,-0.013215903,1,1
2014-01-06,12.046512,12.048372,12.157209,12.00279,8374250.0,0.0001544529,0.012818561,0.01204916,0.009034743,0.7048172,0.003629366,0.28313366,-0.0052509233,-0.40963438,0.99984556,1.0090333,0.9962168,0.9949814,0.9970661,0.93390983,0.95954293,0.94966024,0.99519765,0.9953829,0.98567784,0.976593,0.97784895,0.0031201947,0.0033900908,0.01468965,0.01910491,0.025374986,0.0018915855,0.0003238052,0.0020762605,0.0016997985,-0.00012316444,0.9188162,0.0836289,0.6992118,0.61348885,0.0071855304,0.0010192,0.0031599489,-0.00540234,-0.0012401205,0.025784386,1.0090333,1.0090333,1.0090333,1.0090333,1.0470968,0.9852533,0.9831686,0.9396232,0.92912287,0.92912287,0.99703515,0.99808526,0.9971742,0.9952439,0.9966492,0.9933601,0.9933601,0.96522546,0.9632026,0.958987,1.0,0.9,0.9,0.93333334,0.8666667,0.6201299,0.650747,0.86985564,0.8869567,0.600786,1.0,1.0,1.0,1.0,0.1,0.2,0.2,0.05,0.3,0.65,0.8,0.8,0.95,0.7,-0.55,0.8826724,-0.20197445,-0.6299372,-0.56007284,-0.098412134,-0.20275334,-0.20059557,-0.05260741,-0.34904233,-0.3211942,0.8,0.6,0.6,0.53333336,0.56666666,0.2,0.4,0.4,0.46666667,0.43333334,0.6,0.2,0.2,0.06666667,0.13333334,0.72109354,0.54203564,0.74768513,0.60728925,0.5537068,0.27890643,0.4579644,0.25231487,0.39271075,0.44629318,0.44218713,0.08407124,0.4953703,0.21457851,0.107413635,0.6308601,0.6208216,0.82245827,0.88536584,0.959018,0.23570636,0.3557151,0.37217936,0.50004655,0.6044138,0.87734425,0.6597838,1.6568695,1.9789038,3.126786,0.8962018,0.56781626,0.45003402,0.51817757,0.5026958,0.1037982,0.4321837,0.549966,0.48182246,0.4973042,0.7924036,0.13563257,-0.09993193,0.036355104,0.005391601,1,1
2014-01-07,12.08279,12.373023,12.383255,12.069767,10826325.0,0.024020335,0.025945,0.92581743,0.00084682193,0.032639116,0.0010778451,0.04154346,0.024251357,0.93472177,0.9765431,1.000827,0.97549057,0.9657921,0.96804744,0.939779,0.9404556,0.9468461,0.97592664,0.97246075,0.96282613,0.9529534,0.9530775,0.013672794,0.010214959,0.01609128,0.020520905,0.025455864,0.0070370673,0.0019105365,0.0022794935,0.0018990263,-5.0618368e-05,0.66223,0.32066298,0.7023661,0.66369826,0.0012059809,0.009999248,0.018941855,0.015518699,0.019510694,0.048415765,1.000827,1.000827,1.000827,1.000827,1.0196226,0.96323586,0.9573716,0.9265469,0.90474397,0.90474397,0.97900915,0.97394186,0.9718969,0.97030294,0.97072405,0.9679723,0.9672957,0.9486505,0.9379295,0.93382454,1.0,1.0,1.0,1.0,0.9166667,0.97800124,0.9809699,0.98886704,0.99139327,0.8291888,1.0,1.0,1.0,1.0,0.083333336,0.2,0.1,0.05,0.26666668,0.6333333,0.8,0.9,0.95,0.73333335,-0.55,0.8021493,0.46953973,-0.33586758,-0.43429157,-0.06852282,0.047057837,0.08453622,0.0010437965,-0.29030567,-0.30100214,1.0,0.7,0.6,0.53333336,0.56666666,0.0,0.3,0.4,0.46666667,0.43333334,1.0,0.4,0.2,0.06666667,0.13333334,1.0,0.77850753,0.7393903,0.64612556,0.5577143,0.0,0.22149247,0.26060972,0.35387442,0.44228572,1.0,0.55701506,0.47878057,0.29225114,0.11542854,0.620991,0.47599047,0.6270728,0.7011783,0.7474465,0.26610225,0.26573393,0.2721584,0.38948512,0.46857524,1.8247054,2.0991163,1.3501779,1.8354166,3.0752275,0.9119311,0.48940203,0.47280383,0.5305413,0.5093104,0.08806888,0.510598,0.52719617,0.4694587,0.49068958,0.82386225,-0.02119595,-0.05439231,0.061082598,0.018620849,1,0
2014-01-08,12.349767,12.333023,12.402791,12.235349,11342325.0,-0.0013557875,0.013558338,-0.09999658,0.004293546,0.316672,0.0079090055,0.5833314,0.0022596717,0.16666287,1.0013577,1.005657,0.9920803,0.9708101,0.9673405,0.93422836,0.9484085,0.96688795,0.98492986,0.9788807,0.96923745,0.95776385,0.9567205,0.015417461,0.01231406,0.016040433,0.022031758,0.026125018,0.0087569915,0.0026952245,0.0022724813,0.002136112,3.924052e-05,0.80653673,0.43913576,0.70248413,0.72853667,0.00068810734,-0.0024438235,0.008990808,0.009173977,0.0112625025,0.04212192,1.005657,1.005657,1.005657,1.005657,1.0229295,0.96696335,0.96251327,0.9302308,0.90767837,0.90767837,1.0006486,0.9822598,0.97693473,0.974159,0.974159,0.9728767,0.9711117,0.95916426,0.9409715,0.93685323,0.8,0.9,0.95,0.96666664,0.9,0.85380036,0.86888015,0.9249995,0.9422629,0.8010475,1.0,1.0,1.0,1.0,0.06666667,0.2,0.4,0.05,0.23333333,0.6166667,0.8,0.6,0.95,0.76666665,-0.55,0.90270126,0.7077614,-0.08573415,-0.33203325,-0.04597431,0.09833992,0.005461624,-0.029541193,-0.29645962,-0.31934944,0.8,0.7,0.6,0.5,0.55,0.2,0.3,0.4,0.5,0.45,0.6,0.4,0.2,0.0,0.1,0.90909094,0.7867552,0.7721599,0.62723225,0.5369342,0.09090909,0.2132448,0.22784013,0.37276772,0.46306577,0.8181818,0.5735104,0.54431975,0.25446457,0.07386843,0.7301109,0.49269265,0.5990285,0.67823905,0.7149275,0.2506943,0.3047371,0.26055223,0.37651876,0.44807202,1.6389169,2.0524962,1.4217972,1.8414848,3.14768,0.92424774,0.6223472,0.50155765,0.5180123,0.5026039,0.07575225,0.37765282,0.49844238,0.48198768,0.4973961,0.8484955,0.24469435,0.0031152647,0.036024604,0.0052077617,0,0
2014-01-09,12.392558,12.324652,12.448373,12.308838,6516650.0,-0.0054796096,0.011259576,-0.48666215,0.004503892,0.40000546,0.0012760746,0.113332376,-0.008707427,-0.7733352,1.0055099,1.0100385,0.9987169,0.9718468,0.9752434,0.94361836,0.9455808,0.9744886,0.9912295,0.9820212,0.9727149,0.9602284,0.9577955,0.014246398,0.013764548,0.016144207,0.023164794,0.026628837,0.0075175646,0.0035259388,0.002289178,0.0023173487,0.00013816597,0.69612014,0.601502,0.7037101,0.77558184,0.00821103,-0.0062646065,0.0021120415,0.005537935,0.006170044,0.038128592,1.0100385,1.0100385,1.0100385,1.0100385,1.0236243,0.96973354,0.963167,0.9390897,0.90829486,0.90829486,1.0013283,1.0001359,0.9778247,0.97571135,0.97571135,0.9768586,0.97177136,0.964752,0.94161063,0.93748957,0.6,0.8,0.9,0.93333334,0.8833333,0.7509364,0.7858291,0.8585105,0.90133524,0.79515797,1.0,1.0,1.0,1.0,0.05,0.2,0.3,0.1,0.2,0.6,0.8,0.7,0.9,0.8,-0.55,0.6472946,0.7481036,0.0060673,-0.33218563,-0.038589995,0.40526804,0.23419404,0.017360637,-0.30673006,-0.3087736,0.6,0.6,0.55,0.5,0.53333336,0.4,0.4,0.45,0.5,0.46666667,0.2,0.2,0.1,0.0,0.06666667,0.89098704,0.7455101,0.74983317,0.6359867,0.52883965,0.10901295,0.25448987,0.2501668,0.3640133,0.47116038,0.7819741,0.49102026,0.4996664,0.27197337,0.057679262,1.2934015,0.9318377,1.0202491,1.1893765,1.2504948,0.4137966,0.48721084,0.44340044,0.6508535,0.77640194,1.6251434,2.1003134,1.5584558,1.8552041,3.1614604,0.5313013,0.64003235,0.46186298,0.5101135,0.50624436,0.46869868,0.35996768,0.538137,0.48988655,0.49375564,0.06260266,0.28006467,-0.076274045,0.020226924,0.012488705,0,0
2014-01-10,12.35535,12.371163,12.394419,12.307907,4630025.0,0.0012799174,0.007001956,0.18279427,0.0018822089,0.26881188,0.0038398295,0.54839385,0.003237538,0.46237627,0.9987217,1.0018798,0.9948868,0.9702984,0.9748101,0.9388675,0.9362358,0.9705993,0.9934431,0.98084813,0.9721144,0.9587437,0.9546845,0.011062333,0.015224821,0.01585131,0.024051549,0.0271022,0.004827443,0.004460126,0.002245915,0.00244795,0.00024054221,0.47608104,0.7866858,0.70262617,0.8028246,0.02402555,-0.0030979705,-0.0009187028,0.0065494096,0.005761008,0.03821949,1.0062411,1.0062411,1.0062411,1.0062411,1.0197759,0.97022325,0.9595458,0.93555903,0.90488,0.90488,1.00003,0.9975336,0.9790962,0.9739228,0.9739228,0.9917738,0.96811783,0.96389204,0.93877727,0.9339649,0.8,0.9,0.95,0.96666664,0.9,0.8267223,0.8663444,0.911702,0.9384272,0.8278805,0.8,0.9,0.95,0.96666664,0.033333335,0.2,0.2,0.05,0.16666667,0.5833333,0.6,0.7,0.9,0.8,-0.55,-0.10975441,0.62635547,0.0656673,-0.34177947,-0.06011695,0.38760018,0.21776739,0.013616278,-0.28885198,-0.31165087,0.6,0.6,0.6,0.53333336,0.55,0.4,0.4,0.4,0.46666667,0.45,0.2,0.2,0.2,0.06666667,0.1,0.8957932,0.74814934,0.7658606,0.66158557,0.5330964,0.104206815,0.2518507,0.2341394,0.3384144,0.46690366,0.7915864,0.49629864,0.53172123,0.3231712,0.066192694,1.8008358,1.3440213,1.3817506,1.6454067,1.7524185,0.6136066,0.6594339,0.6117534,0.9234794,1.0965034,1.5871704,2.059695,1.5466204,1.8901323,3.1526496,0.48251283,0.54242736,0.4370604,0.47634345,0.49448192,0.51748717,0.45757264,0.5629396,0.52365655,0.5055181,-0.034974307,0.08485474,-0.12587921,-0.04731311,-0.011036162,1,1
2014-01-13,12.364651,12.113488,12.462326,12.093023,7368050.0,-0.02031295,0.029867625,-0.68009925,0.007899562,0.26448578,0.0016551132,0.05541496,-0.026557399,-0.88917005,1.0207341,1.0287975,0.99831057,0.9946245,0.9896329,0.9592997,0.95837814,1.0149747,1.0156505,1.0027492,0.994828,0.98052526,0.97474277,0.008932706,0.014989334,0.014191536,0.024525598,0.027377961,-0.0039701974,0.0036562853,0.0018678053,0.002491446,0.00035442182,0.49385348,0.5454148,0.60627884,0.79977065,0.051113844,-0.007710067,-0.019202491,-0.012572146,-0.016651243,0.014801801,1.0287975,1.0287975,1.0287975,1.0287975,1.0414683,0.9963907,0.97995704,0.95983726,0.92412835,0.92412835,1.0213025,1.0187529,1.0034864,0.99487025,0.9946399,1.0139457,0.98871136,0.98616195,0.95920753,0.953832,0.2,0.6,0.8,0.8666667,0.85,0.11137483,0.41037643,0.5824047,0.72487134,0.6465972,1.0,1.0,1.0,1.0,0.016666668,0.2,0.1,0.05,0.13333334,0.56666666,0.8,0.9,0.95,0.8666667,-0.55,0.03447011,0.5787045,0.19007753,-0.32024163,-0.08781679,-0.1597223,-0.13581516,-0.12088435,-0.3200406,-0.37858275,0.4,0.6,0.55,0.5,0.53333336,0.6,0.4,0.45,0.5,0.46666667,-0.2,0.2,0.1,0.0,0.06666667,0.5480767,0.57714325,0.6472222,0.59435934,0.48340422,0.4519233,0.42285675,0.35277778,0.40564066,0.5165958,0.096153386,0.15428652,0.29444444,0.18871865,-0.03319154,1.1043186,0.91066533,0.86001605,1.0256639,1.0896313,0.38996074,0.37570152,0.37944362,0.57890576,0.68471867,1.2112523,1.6585369,1.3906167,1.7873415,3.218761,0.45948753,0.6227642,0.48534775,0.4893548,0.48645526,0.54051244,0.37723577,0.51465225,0.5106452,0.51354474,-0.08102493,0.24552846,-0.029304503,-0.021290392,-0.027089471,0,1
2014-01-14,12.157209,12.334885,12.373954,12.098604,7363750.0,0.014614806,0.022649081,0.6452715,0.0032136631,0.14188933,0.0048206123,0.2128392,0.016221754,0.71622133,0.9855957,1.0031674,0.98084456,1.0030919,0.96877825,0.9537707,0.942383,1.0195323,0.9968024,0.98787326,0.9792835,0.9648466,0.95692176,0.008372525,0.014259904,0.013718196,0.024680639,0.026229864,-0.0016817375,0.0033575667,0.0017969145,0.0025442385,0.00052371476,0.100865714,0.50819165,0.6005219,0.82357764,0.121589854,0.006561109,-0.0029822814,0.0036458245,-0.0017380428,0.027628668,1.0103317,1.0103317,1.0103317,1.0103317,1.0223227,0.9803921,0.9662141,0.9553544,0.90754133,0.90754133,1.0005882,1.0005882,0.99930614,0.978552,0.97678727,0.99574655,0.97272986,0.97028655,0.9419909,0.93671185,0.8,0.8,0.9,0.93333334,0.9,0.6549135,0.76581305,0.81207204,0.8994869,0.80551994,0.8,0.9,0.95,0.96666664,0.016666668,0.8,0.1,0.15,0.1,0.55,0.0,0.8,0.8,0.8666667,-0.53333336,-0.17026989,0.49484098,0.2974116,-0.3781022,-0.12610571,-0.55349743,-0.13822885,-0.1105079,-0.3374686,-0.37618333,0.4,0.7,0.55,0.5,0.53333336,0.6,0.3,0.45,0.5,0.46666667,-0.2,0.4,0.1,0.0,0.06666667,0.46677577,0.6930971,0.6627724,0.623465,0.47771472,0.5332242,0.3069029,0.3372276,0.37653497,0.5222853,-0.06644844,0.38619423,0.3255448,0.24693003,-0.04457054,1.0109197,0.9619562,0.8570876,1.0487493,1.0813285,0.33255553,0.34618336,0.3779922,0.56399107,0.6826943,1.0021604,1.3840731,1.3750832,1.6866527,3.2793975,0.32636118,0.5998851,0.49381578,0.5313063,0.4894805,0.6736388,0.40011492,0.5061842,0.46869367,0.5105195,-0.34727764,0.19977018,-0.012368421,0.062612645,-0.021039004,1,1
2014-01-15,12.324652,12.385117,12.437209,12.318139,4781600.0,0.0049060094,0.00966113,0.5078091,0.0042266957,0.437495,0.000528424,0.054695886,0.0012077378,0.12501001,0.99511796,1.0042061,0.9945921,0.9957939,0.9667267,0.9609434,0.93563163,1.0059335,0.9936007,0.9871939,0.9772645,0.9630789,0.9529417,0.008913556,0.013626325,0.014278136,0.025099665,0.025930375,0.00068348966,0.0030812973,0.0019154489,0.002611468,0.0006882222,0.014699479,0.4687283,0.6298921,0.8389485,0.21485206,0.0050322884,-0.0010597483,0.004538724,-0.0009452296,0.026755704,1.006234,1.006234,1.006234,1.006234,1.016599,0.97641575,0.96289617,0.9514797,0.9038605,0.9038605,0.9990987,0.9989034,0.9958239,0.9814781,0.9728256,0.991708,0.9720895,0.9670271,0.93874115,0.9329127,1.0,1.0,1.0,1.0,0.95,0.79093176,0.8561524,0.8861452,0.93910486,0.8527648,0.6,0.8,0.9,0.93333334,0.033333335,0.6,0.1,0.1,0.06666667,0.53333336,0.0,0.7,0.8,0.8666667,-0.5,-0.66206425,0.1541388,0.29401505,-0.422778,-0.18039252,-0.5522583,-0.13835034,-0.11119959,-0.32891545,-0.38200364,0.6,0.7,0.55,0.53333336,0.55,0.4,0.3,0.45,0.46666667,0.45,0.2,0.4,0.1,0.06666667,0.1,0.54458636,0.7011808,0.64525145,0.6378258,0.49311736,0.45541364,0.2988192,0.35474858,0.36217424,0.5068826,0.08917272,0.4023616,0.29050288,0.2756515,-0.013765269,1.2824191,1.5071493,1.2902428,1.6133393,1.6441435,0.28199303,0.49862355,0.5825554,0.86978346,1.0517914,1.0909718,1.3475254,1.4685041,1.6833063,3.3265214,0.22747165,0.52897966,0.46712804,0.49841362,0.4840394,0.77252835,0.47102037,0.53287196,0.5015864,0.51596063,-0.5450567,0.057959266,-0.065743946,-0.0031727827,-0.031921215,1,1
