date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,2.4576938,2.4371412,2.4631026,2.4311917,34274680.0,-0.00836257,0.012984081,-0.64406323,0.0022007476,0.16949584,0.0024207642,0.18644093,-0.008142553,-0.6271181,1.0084331,1.0106524,0.99755883,1.0082113,0.95206404,0.9704835,0.96382606,0.87304,1.0096759,1.0025742,0.97966033,0.97569156,0.95153666,0.0055405335,0.015587181,0.026292106,0.022103412,0.033885773,-0.0026852477,0.0031177127,0.0037105102,0.0016508995,0.0017047066,0.58722633,0.36673176,0.6970831,0.43233892,0.77190584,-0.0043053534,-0.01660396,-0.014910203,0.0003704161,-0.0018255158,1.0195292,1.0195292,1.0195292,1.0195292,1.0195292,0.99755883,0.94363093,0.9436307,0.9345316,0.8631343,1.0130047,1.0118062,1.0095426,1.00324,0.9704835,1.0083443,0.9992898,0.95446056,0.9605414,0.9302383,0.2,0.3,0.65,0.76666665,0.8833333,0.1111121,0.7426921,0.74269277,0.77023786,0.8751287,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.4,0.033333335,0.033333335,-0.6,0.6,0.45,0.8666667,0.9166667,-0.83091635,-0.62059087,-0.47323534,-0.37188306,-0.17535798,0.086110264,0.3547366,0.2280841,0.175749,0.055524148,0.4,0.6,0.5,0.5,0.55,0.6,0.4,0.5,0.46666667,0.4,-0.2,0.2,0.0,0.033333335,0.15,0.3092797,0.8000012,0.5930089,0.5948784,0.67577547,0.6907203,0.19999878,0.40699112,0.40512162,0.32422456,-0.38144058,0.60000247,0.18601777,0.18975672,0.3515509,0.7100874,1.3506958,1.3958194,1.3453178,1.2651535,0.19025482,1.0748976,0.7803765,0.713305,0.5824468,1.117758,2.1048782,1.9090118,2.0706375,1.8830594,0.87214947,0.49249744,0.43207037,0.49991792,0.49563694,0.12785052,0.50750256,0.5679296,0.5000821,0.50436306,0.74429893,-0.015005094,-0.13585927,-0.00016416887,-0.00872614,0,0
2014-01-03,2.4463353,2.4457946,2.4614794,2.4376814,33444536.0,-0.0002210381,0.009728016,-0.022721808,0.006190529,0.6363609,0.0033164488,0.3409173,-0.0030951183,-0.31816542,1.0002211,1.006413,0.9966828,1.009288,0.9579836,0.9615213,0.96395403,0.8677579,1.004246,1.0032287,0.9781182,0.973441,0.9503741,0.0057398346,0.0058787847,0.026476242,0.022534933,0.032728136,-0.002941149,0.00042352141,0.0038057866,0.0017670179,0.0016473505,0.65641016,0.047575902,0.7231764,0.47650892,0.77273285,0.0016363361,-0.0051345546,-0.014273152,0.0009372376,0.0010290601,1.0159221,1.0159221,1.0159221,1.0159221,1.0159221,0.9940294,0.97302073,0.94029206,0.94029206,0.8600805,1.0083591,1.0082264,1.0059708,1.0009288,0.9670941,0.9992924,0.9980541,0.9510836,0.95714295,0.92825365,0.4,0.4,0.7,0.8,0.9,0.272722,0.62886757,0.7894741,0.7894741,0.89783174,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.1,0.35,0.56666666,0.016666668,-0.6,0.5,0.45,0.3,0.9166667,-0.8499317,-0.78479046,-0.4645564,-0.3727316,-0.1454409,-0.4296657,0.33747894,0.21855041,0.16969833,0.06515052,0.4,0.6,0.55,0.5,0.56666666,0.6,0.4,0.45,0.46666667,0.38333333,-0.2,0.2,0.1,0.033333335,0.18333334,0.2717398,0.78443134,0.6232313,0.5948784,0.6830545,0.7282602,0.21556866,0.3767687,0.40512162,0.31694552,-0.45652038,0.5688627,0.24646255,0.18975672,0.36610898,0.8029409,1.2526728,1.3736964,1.3610499,1.2817471,0.21628858,1.0555977,0.78727484,0.73362905,0.5929769,1.0727885,2.3387089,1.9696199,2.0842063,1.887475,0.802831,0.3860433,0.4452086,0.48413247,0.4833861,0.19716902,0.6139567,0.5547914,0.51586753,0.5166139,0.6056619,-0.22791338,-0.10958276,-0.031735085,-0.033227816,1,0
2014-01-06,2.4474173,2.424701,2.4695928,2.4138837,34017690.0,-0.009281737,0.022762414,-0.40776595,0.009060796,0.39805958,0.0044198795,0.19417447,-0.013922654,-0.61165106,1.0093687,1.0185144,0.9955387,1.0167297,1.0015615,0.952041,0.9660942,0.8722092,1.0096364,1.0118002,0.98902524,0.9830396,0.9607717,0.007625751,0.0062461803,0.025566416,0.022760406,0.031426203,-0.0044390066,-0.0009179406,0.0034838342,0.0017900327,0.0015829857,0.8471227,0.19797553,0.64989513,0.479362,0.7738736,-0.00075841206,-0.0076693846,-0.022121662,-0.00899509,-0.007469776,1.020299,1.02476,1.02476,1.02476,1.02476,0.9955387,0.9910774,0.94847214,0.94847214,0.87641335,1.0162392,1.0169975,1.0147222,1.0096364,0.97573054,1.0041045,1.0067366,0.9622574,0.9656483,0.9368279,0.2,0.1,0.5,0.6666667,0.8333333,0.1801795,0.2649015,0.6754395,0.6754395,0.8330934,0.4,0.5,0.75,0.8333333,0.9166667,1.0,0.1,0.3,0.53333336,0.016666668,-0.6,0.4,0.45,0.3,0.9,-0.89824116,-0.5422834,-0.45592538,-0.37621185,-0.12821959,-0.2306257,-0.31341982,0.1626275,0.15975018,0.059443437,0.4,0.5,0.55,0.5,0.56666666,0.6,0.5,0.45,0.46666667,0.38333333,-0.2,0.0,0.1,0.033333335,0.18333334,0.2000014,0.48372063,0.6616562,0.58735687,0.6727119,0.7999986,0.51627934,0.3383438,0.4126431,0.3272881,-0.59999716,-0.03255873,0.32331237,0.17471378,0.34542382,0.8859394,0.95032877,1.3232865,1.3292226,1.2513498,0.1617256,0.5050369,0.77638966,0.72381854,0.5828587,0.76702607,0.86062485,2.096833,2.0811877,1.8764399,0.95408094,0.161616,0.47174358,0.49176025,0.48983625,0.045919083,0.83838403,0.5282564,0.50823975,0.5101637,0.9081618,-0.676768,-0.05651281,-0.016479487,-0.020327486,0,0
2014-01-07,2.48041,2.4387634,2.485278,2.4322731,36517384.0,-0.016790256,0.021369345,-0.78571683,0.0019624948,0.09183692,0.0026165957,0.122446224,-0.016136155,-0.7551075,1.017077,1.019073,0.9973387,1.0128633,1.0013307,0.9618541,0.9676203,0.8841188,1.001242,1.0058328,0.9852296,0.97845054,0.95716304,0.0056902473,0.006333555,0.025153095,0.022918392,0.030343255,-0.0024617664,-0.0015470678,0.0033630265,0.0018584556,0.0015267184,0.4679198,0.5469341,0.6256706,0.5096099,0.77213514,0.0036815244,0.0011290063,-0.017178364,-0.00539814,-0.0022012342,1.019073,1.019073,1.019073,1.019073,1.019073,0.98979825,0.98979825,0.94300306,0.94300306,0.88081884,1.0042582,1.0111332,1.0088711,1.0038146,0.9750722,0.9983146,0.99986696,0.95670885,0.9600802,0.93200254,0.6,0.3,0.6,0.73333335,0.8666667,0.34848338,0.34848338,0.7492704,0.7492704,0.862044,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.25,0.5,0.016666668,0.2,0.1,0.75,0.5,0.98333335,-0.7996399,-0.564233,-0.46211618,-0.37989092,-0.106881715,-0.48310602,-0.16510957,0.22167024,0.17138971,0.06410123,0.4,0.5,0.55,0.5,0.56666666,0.6,0.5,0.45,0.46666667,0.38333333,-0.2,0.0,0.1,0.033333335,0.18333334,0.29577097,0.48611027,0.6382653,0.5844914,0.66245896,0.704229,0.51388973,0.36173472,0.41550863,0.33754107,-0.40845805,-0.027779479,0.27653056,0.16898271,0.32491785,0.9056554,0.7836667,1.2273277,1.2387187,1.1583736,0.09675673,0.26314288,0.724622,0.67408895,0.54217166,0.5376344,0.8262224,2.1985922,2.0913248,1.9355599,0.94917405,0.2886895,0.49383742,0.5004857,0.49094757,0.05082598,0.7113105,0.5061626,0.4995143,0.50905246,0.89834803,-0.42262098,-0.012325187,0.00097138627,-0.018104864,1,0
2014-01-08,2.456612,2.4209151,2.4614801,2.4106388,103478536.0,-0.014530981,0.02069571,-0.70212525,0.0019816032,0.09574947,0.0041831257,0.20212527,-0.012329458,-0.5957495,1.0147452,1.016756,0.9957552,1.0172027,1.0160856,0.9716264,0.97184956,0.9028251,1.0051831,1.0116397,0.9939119,0.98660254,0.9658393,0.004272364,0.0075126677,0.024899231,0.023078587,0.029824218,-0.001630925,-0.002091958,0.0031655838,0.0018693731,0.0014925716,0.3643103,0.7107699,0.56572294,0.5084816,0.7638921,-0.0019212819,-0.0022259539,-0.023984965,-0.01370844,-0.009870192,1.0265862,1.0265862,1.0265862,1.0265862,1.0265862,0.9957552,0.9957552,0.94995534,0.94995534,0.89795,1.0079534,1.0185878,1.016309,1.0112152,1.0003128,1.0012511,1.0056747,0.9637622,0.9671584,0.94204634,0.2,0.1,0.4,0.6,0.8,0.13768011,0.13768011,0.653062,0.653062,0.793323,0.8,0.9,0.95,0.96666664,0.98333335,1.0,1.0,0.2,0.46666667,0.016666668,-0.2,-0.1,0.75,0.5,0.96666664,-0.67657125,-0.80857223,-0.41155794,-0.3143955,-0.07386685,-0.38688406,-0.26963693,0.06598503,0.09860538,0.032387447,0.4,0.4,0.5,0.5,0.55,0.6,0.6,0.5,0.46666667,0.4,-0.2,-0.2,0.0,0.033333335,0.15,0.26086706,0.33333334,0.5987573,0.5712684,0.637074,0.73913294,0.6666667,0.40124264,0.42873165,0.36292604,-0.47826588,-0.33333334,0.19751471,0.14253671,0.27414793,0.46721345,0.33283666,0.46398124,0.45324835,0.4201242,0.2980503,0.24574326,0.28490195,0.25889468,0.20558968,0.70832217,1.1360987,2.052277,1.9959931,1.9126788,0.9893615,0.7304248,0.5829973,0.5419664,0.53771144,0.010638469,0.26957515,0.41700268,0.4580336,0.4622886,0.97872305,0.46084967,0.16599466,0.083932795,0.07542283,0,0
2014-01-09,2.4068525,2.408475,2.4236195,2.404148,51578420.0,0.00067409134,0.008089988,0.08332415,0.006292279,0.77778596,0.0011236176,0.13888991,-0.0044945697,-0.55557185,0.99932635,1.006288,0.9982035,1.0119022,1.0202112,0.9741746,0.97686934,0.91105264,1.0079947,1.014844,1.0003369,0.99246955,0.97231054,0.0061389334,0.009101936,0.024333706,0.023071976,0.029160319,-0.0032562169,-0.0027996006,0.0028028672,0.0018303166,0.0014467895,0.70336515,0.8672335,0.46436188,0.48773575,0.750803,-0.0014822,-0.002245743,-0.026964162,-0.019009123,-0.014990812,1.0318886,1.0318886,1.0318886,1.0318886,1.0318886,0.9982035,0.9982035,0.95486206,0.95486206,0.9037017,1.0131596,1.023849,1.0215584,1.0164384,1.0054796,1.0041322,1.0064226,0.9687402,0.97215396,0.94785553,0.2,0.1,0.35,0.56666666,0.78333336,0.05333208,0.05333208,0.58600485,0.58600485,0.7512333,0.6,0.8,0.9,0.93333334,0.96666664,1.0,1.0,0.15,0.43333334,0.016666668,-0.4,-0.2,0.75,0.5,0.95,-0.53446925,-0.82301843,-0.38873732,-0.32708317,-0.08606836,-0.248769,-0.16406332,0.1202626,0.11961947,0.052429467,0.4,0.4,0.5,0.5,0.53333336,0.6,0.6,0.5,0.5,0.41666666,-0.2,-0.2,0.0,0.0,0.11666667,0.3065649,0.3076903,0.58778787,0.5567815,0.6242652,0.6934351,0.69230974,0.41221213,0.4432185,0.3757348,-0.3868702,-0.38461944,0.17557573,0.113562986,0.24853039,1.0044378,0.7381511,0.92266196,0.92397755,0.84956115,0.57818794,0.48422065,0.56923413,0.5154061,0.41168556,0.7543449,0.97118163,2.0258076,1.9481323,1.8972619,0.57047546,0.6224256,0.48984557,0.5181964,0.51053613,0.4295245,0.37757438,0.5101544,0.48180363,0.48946387,0.14095096,0.24485122,-0.020308841,0.03639276,0.021072285,0,0
2014-01-10,2.4063118,2.399821,2.4095569,2.3873813,53423612.0,-0.0026973677,0.009215577,-0.29269657,0.0013485848,0.14633752,0.0051696245,0.5609659,0.001123672,0.12193181,1.0027046,1.0040569,0.9948164,1.019157,1.0286229,0.9691236,0.9858012,0.91031384,1.0077981,1.0156412,1.005488,0.9965217,0.9773115,0.006265342,0.01005013,0.023041332,0.023083499,0.028131576,-0.0033355956,-0.0031443548,0.0022068298,0.0017917404,0.0013806296,0.7085936,0.8972865,0.32106328,0.4669266,0.73462564,-0.0011269099,-0.0014916398,-0.026452895,-0.022501957,-0.018040067,1.0356097,1.0356097,1.0356097,1.0356097,1.0356097,0.9948164,0.9948164,0.95830536,0.95830536,0.9100906,1.0115393,1.0263692,1.0252422,1.0201037,1.0091053,1.0028849,1.0077531,0.9756596,0.9756596,0.95240027,0.2,0.1,0.3,0.53333336,0.76666665,0.1270701,0.1270701,0.5393574,0.5393574,0.71630067,0.4,0.7,0.85,0.9,0.95,1.0,1.0,0.1,0.4,0.016666668,-0.6,-0.3,0.75,0.5,0.93333334,-0.3223629,-0.79155886,-0.41256034,-0.31592602,-0.08305859,-0.20504642,-0.2303432,0.08494409,0.099843346,0.057798415,0.2,0.3,0.5,0.46666667,0.53333336,0.8,0.7,0.5,0.53333336,0.41666666,-0.6,-0.4,0.0,-0.06666667,0.11666667,0.18978027,0.2227073,0.60821503,0.53503925,0.6249926,0.8102197,0.77729267,0.39178497,0.46496075,0.37500736,-0.62043947,-0.5545854,0.21643004,0.0700785,0.24998525,1.0445405,0.77360094,0.90189993,0.887623,0.8248821,0.5246974,0.46051267,0.5494159,0.4959696,0.39791405,0.68229496,0.9136959,2.0650077,1.9718287,1.894831,0.58070445,0.61262184,0.5148476,0.4940008,0.50764996,0.41929558,0.38737813,0.48515245,0.5059992,0.49235007,0.16140886,0.22524372,0.029695116,-0.011998412,0.015299864,0,0
2014-01-13,2.4014437,2.3570926,2.4030662,2.3457344,51343616.0,-0.018468516,0.023873888,-0.7735864,0.0006756096,0.0282991,0.0047297636,0.1981145,-0.014414362,-0.603771,1.018816,1.0195043,0.99518126,1.028683,1.0458925,0.9869206,1.003901,0.9370583,1.0203304,1.0294632,1.0243691,1.0144563,0.9960768,0.0129505675,0.013948577,0.022543756,0.02357379,0.02761667,-0.007824708,-0.004269414,0.0013270814,0.0016564243,0.001315555,0.91263825,0.85879225,0.12128597,0.3826362,0.69211006,-0.004681054,-0.010250757,-0.036976334,-0.03847438,-0.0348857,1.0543828,1.0543828,1.0543828,1.0543828,1.0543828,0.99518126,0.99518126,0.9756771,0.9756771,0.9313679,1.0285913,1.0390546,1.0438274,1.0385957,1.027398,1.014502,1.0210648,0.9988069,0.9933459,0.9704911,0.2,0.1,0.25,0.4,0.6333333,0.08139583,0.08139583,0.3090361,0.3090361,0.55791706,0.2,0.6,0.8,0.8666667,0.93333334,1.0,1.0,0.05,0.36666667,0.016666668,-0.8,-0.4,0.75,0.5,0.9166667,-0.011792643,-0.6285966,-0.40319985,-0.34417975,-0.090784065,-0.047934942,-0.066216595,0.09937062,0.111284435,0.06732746,0.2,0.3,0.45,0.43333334,0.51666665,0.8,0.7,0.55,0.56666666,0.43333334,-0.6,-0.4,-0.1,-0.13333334,0.083333336,0.14689167,0.16887413,0.54008484,0.49129948,0.5843373,0.85310835,0.83112586,0.4599152,0.50870055,0.41566268,-0.70621663,-0.6622518,0.080169626,-0.017401062,0.16867463,1.1543463,0.8706625,0.9328627,0.9412471,0.8629215,0.49924812,0.4530986,0.57043946,0.50902396,0.41404223,0.7290813,0.89331114,1.8880389,1.8434106,1.8610263,0.56914544,0.61768615,0.49258855,0.524341,0.50728136,0.4308546,0.38231385,0.5074115,0.475659,0.49271867,0.13829085,0.23537232,-0.014822904,0.04868198,0.014562677,0,1
2014-01-14,2.3652058,2.3668282,2.3862994,2.3570929,51903828.0,0.0006859608,0.012348403,0.055550568,0.008232336,0.6666721,0.0034301064,0.2777773,-0.004116269,-0.33334422,0.9993145,1.0082268,0.99588674,1.0303931,1.0436473,0.9741775,0.9993143,0.93841714,1.0100548,1.0208639,1.0214466,1.0103062,0.993006,0.011592752,0.0143116675,0.02030796,0.023466107,0.026604736,-0.006741349,-0.0044000447,0.00030771916,0.0015076171,0.001232508,0.8453967,0.8664532,0.0080360845,0.3198908,0.654578,0.0034278156,-0.0010636547,-0.024369935,-0.032166723,-0.029364984,1.039991,1.0500457,1.0500457,1.0500457,1.0500457,0.99108773,0.99108773,0.971664,0.97166383,0.93479025,1.0186472,1.0309873,1.0395339,1.0343236,1.023172,0.99917734,1.0111518,0.99917734,0.98925996,0.96690917,0.4,0.2,0.25,0.5,0.75,0.18224289,0.15116319,0.3615127,0.36151433,0.5657843,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.9,0.15,0.33333334,0.016666668,-0.6,-0.4,0.6,0.5,0.9,0.63425696,-0.51304483,-0.39453873,-0.40461415,-0.11695941,-0.0726553,-0.116901934,0.09747295,0.109133035,0.07253227,0.2,0.3,0.5,0.46666667,0.51666665,0.8,0.7,0.5,0.53333336,0.43333334,-0.6,-0.4,0.0,-0.06666667,0.083333336,0.10650884,0.19292377,0.58176553,0.50151086,0.5831034,0.89349115,0.8070762,0.41823444,0.4984891,0.4168966,-0.7869823,-0.61415243,0.16353111,0.0030217704,0.16620679,1.2011755,0.91917855,0.9164998,0.9542336,0.86090076,0.44328707,0.42160705,0.5625975,0.4895533,0.40819398,0.7272385,0.80810285,1.9473239,1.8098518,1.8557545,0.5623707,0.6076005,0.49152225,0.5326911,0.5117018,0.43762928,0.3923995,0.50847775,0.46730888,0.48829818,0.124741465,0.21520102,-0.016955474,0.06538224,0.023403652,1,1
2014-01-15,2.3689919,2.360338,2.377105,2.3533068,77215096.0,-0.0036529796,0.010045719,-0.36363545,0.003424725,0.34091386,0.0029680145,0.2954507,-0.0041096904,-0.40909865,1.0036664,1.0071037,0.9970211,1.0256646,1.0433089,0.9892301,0.9988542,0.9462251,1.0076994,1.01934,1.0247937,1.0131226,0.9966327,0.0101092765,0.014300983,0.0195135,0.023507657,0.025877643,-0.00547662,-0.004394087,-0.00059096824,0.0013292092,0.0011589689,0.73371106,0.8654001,0.03210154,0.24778195,0.6117781,0.0032539275,0.0004333528,-0.019179577,-0.032396045,-0.030822301,1.0268104,1.0529331,1.0529331,1.0529331,1.0529331,0.9938129,0.9938129,0.9743358,0.9743356,0.9423613,1.017461,1.0326766,1.0423923,1.0371677,1.0259854,0.999725,1.0021998,1.0021998,0.99198014,0.9707276,0.4,0.2,0.2,0.43333334,0.6666667,0.1875019,0.104652755,0.32652795,0.32652968,0.5212788,0.2,0.4,0.7,0.8,0.9,0.6,0.8,0.1,0.3,0.016666668,-0.4,-0.4,0.6,0.5,0.8833333,-0.38826945,-0.5016973,-0.4990503,-0.43738073,-0.13983211,0.14856562,-0.103799246,0.148807,0.12008701,0.06698045,0.2,0.3,0.45,0.46666667,0.5,0.8,0.7,0.55,0.53333336,0.45,-0.6,-0.4,-0.1,-0.06666667,0.05,0.12162134,0.19417273,0.53620976,0.50252277,0.5728538,0.8783787,0.80582726,0.46379024,0.49747723,0.42714623,-0.7567573,-0.6116546,0.07241955,0.005045556,0.14570756,0.7394009,0.68276465,0.6434128,0.6615856,0.58900756,0.14605716,0.2897462,0.38547558,0.33199137,0.2784387,0.8659289,0.7487653,1.9956983,1.792173,1.8508205,0.3392627,0.65685487,0.55452526,0.5415408,0.5239944,0.6607373,0.34314516,0.44547474,0.4584592,0.4760056,-0.32147458,0.31370968,0.109050535,0.08308158,0.047988754,0,1
