date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,21.629019,21.53647,21.772549,21.156078,7050750.0,-0.0042788982,0.028502002,-0.15012623,0.006635987,0.2328253,0.017587116,0.61704844,0.006672231,0.23409693,1.0042973,1.0109618,0.9823373,1.004006,0.9537128,1.0470155,0.9991988,1.0887141,1.0077498,1.0044976,1.0037475,1.0186205,1.040373,0.00640318,0.010444788,0.021253925,0.033236727,0.04090633,-0.0036053911,0.0012282765,-0.00088859774,-0.0019538407,-0.0016031743,0.7925988,0.12676649,0.061178688,0.2678203,0.46846834,-0.000538963,-0.01002487,0.0046942625,0.009710189,0.0069207097,1.0232347,1.0319749,1.0638771,1.0837612,1.128956,0.9823373,0.93845373,0.93845373,0.93845373,0.93845373,1.0131178,1.0131178,1.015514,1.0509341,1.0751375,1.0018938,0.9979096,0.9849011,0.9955789,1.0036782,0.2,0.3,0.4,0.3,0.16666667,0.43187848,0.65809953,0.4907082,0.4235588,0.32307371,0.2,0.4,0.05,0.3,0.13333334,1.0,0.1,0.55,0.7,0.85,-0.8,0.3,-0.5,-0.4,-0.71666664,-0.8172142,-0.25089824,-0.30002093,-0.18976133,-0.06942564,0.56641203,0.5911335,0.26750833,0.3341334,0.2762699,0.4,0.4,0.25,0.4,0.38333333,0.6,0.6,0.75,0.6,0.6166667,-0.2,-0.2,-0.5,-0.2,-0.23333333,0.43942684,0.7034899,0.40040135,0.5010789,0.46182293,0.56057316,0.29651013,0.59959865,0.4989211,0.5381771,-0.1211463,0.40697977,-0.1991973,0.0021578192,-0.07635412,0.81916815,1.1471248,1.2187974,1.2147619,1.3476161,0.18729974,0.639539,0.47261414,0.45579678,0.6169848,0.65417856,1.5662099,1.2585379,1.5117532,1.4126288,0.8922665,0.4431998,0.47680965,0.5011141,0.50011986,0.107733466,0.5568002,0.5231903,0.49888596,0.49988016,0.7845331,-0.11360034,-0.046380684,0.0022281078,0.0002396817,0,0
2014-01-03,21.53098,21.313726,21.712156,21.271372,4998000.0,-0.010090239,0.020472104,-0.49287748,0.008414719,0.41103342,0.0019671463,0.0960891,-0.016537812,-0.8078218,1.0101931,1.0186936,0.9980128,1.0253541,0.99988955,1.0570745,1.0075068,1.05862,1.0132107,1.0150064,1.0113835,1.0290155,1.0502685,0.008987082,0.010536425,0.019150358,0.033779185,0.04184619,-0.0051775505,-0.0005838683,-0.00042489736,-0.002313133,-0.0016914387,0.82975763,0.028148463,0.017229881,0.36341646,0.4983111,-0.0028555293,-0.012378994,-0.007347058,0.0045248326,-0.000371144,1.0297332,1.0427598,1.0658692,1.0950873,1.1407543,0.9926034,0.9727691,0.94826126,0.94826126,0.94826126,1.0202318,1.0237056,1.025391,1.0619172,1.0863734,1.0083606,1.0083606,0.995194,0.9999779,1.0124304,0.2,0.2,0.35,0.23333333,0.11666667,0.1992085,0.38906476,0.4399253,0.35238117,0.26878226,0.4,0.3,0.05,0.26666668,0.11666667,0.8,0.1,0.5,0.6666667,0.8333333,-0.4,0.2,-0.45,-0.4,-0.71666664,-0.13235816,0.048194353,-0.28005537,-0.12443485,-0.042365376,0.34593007,0.7008749,0.28933513,0.372591,0.31019107,0.2,0.3,0.25,0.4,0.38333333,0.8,0.7,0.75,0.6,0.6166667,-0.6,-0.4,-0.5,-0.2,-0.23333333,0.11594112,0.50061923,0.38495785,0.490213,0.47435692,0.8840589,0.49938074,0.61504215,0.50978696,0.52564305,-0.7681177,0.0012385156,-0.23008429,-0.019573959,-0.051286153,1.1661735,1.446352,1.6925,1.6573809,1.8827721,0.25469673,0.8300332,0.68502253,0.6284334,0.8776841,0.6544022,1.8388431,1.2243875,1.5000412,1.4494001,0.52399725,0.3738157,0.47496256,0.45117328,0.48699602,0.47600278,0.62618434,0.5250374,0.5488267,0.513004,0.047994435,-0.25236863,-0.05007486,-0.097653426,-0.026007952,0,1
2014-01-06,21.247843,21.087057,21.475294,20.90196,9679800.0,-0.007567153,0.026983151,-0.28043994,0.0107046785,0.39671713,0.008711319,0.32284293,-0.009560512,-0.35431415,1.0076249,1.0184112,0.99122226,1.0304248,1.0062858,1.0533364,1.0216471,1.0472366,1.0180168,1.0252883,1.0195884,1.0393552,1.0607709,0.013094248,0.0120328115,0.018504059,0.03476822,0.04300084,-0.008156667,-0.0033125356,-0.00025663883,-0.002723658,-0.0018348092,0.970073,0.69470155,0.006732538,0.4756001,0.5553001,-0.0017035389,-0.010381932,-0.017150272,0.00013790221,-0.006644001,1.040802,1.0539687,1.0693299,1.1068586,1.1530166,0.99122226,0.99122226,0.9584543,0.9584543,0.9584543,1.0258425,1.0347096,1.0347096,1.073332,1.0980511,1.0085994,1.0191996,1.0039947,1.0097673,1.0215801,0.2,0.1,0.15,0.1,0.05,0.177043,0.13989231,0.3747056,0.2799492,0.21353404,0.2,0.2,0.1,0.23333333,0.1,1.0,1.0,0.45,0.6333333,0.81666666,-0.8,-0.8,-0.35,-0.4,-0.71666664,-0.5289204,-0.010543365,-0.27410236,-0.14864242,-0.039886132,-0.13547765,0.4667673,0.19805951,0.33743015,0.3174129,0.2,0.3,0.25,0.36666667,0.38333333,0.8,0.7,0.75,0.6333333,0.6166667,-0.6,-0.4,-0.5,-0.26666668,-0.23333333,0.10136336,0.46743736,0.39175722,0.47260395,0.47934148,0.89863664,0.5325626,0.6082428,0.5273961,0.5206585,-0.7972733,-0.065125264,-0.21648557,-0.054792132,-0.04131703,0.7115648,0.7482218,0.8911552,0.86482704,0.95708203,0.19059934,0.4294775,0.35085565,0.32458806,0.43641227,0.68612224,1.7067609,1.2168657,1.4629799,1.4797322,0.7693904,0.5019853,0.52932227,0.5155359,0.47899026,0.2306096,0.49801472,0.47067773,0.4844641,0.52100974,0.5387808,0.003970588,0.05864453,0.031071788,-0.042019483,0,0
2014-01-07,21.108236,21.495687,21.632156,20.86745,9906750.0,0.01835545,0.036227833,0.5066671,0.006465196,0.17845936,0.011407187,0.31487358,0.02329744,0.64308125,0.9819754,1.0063486,0.9707738,1.0146313,1.016857,1.0316342,1.0085379,1.0730104,0.99573827,1.004112,0.9986244,1.0193125,1.0393889,0.009539945,0.011239394,0.016579783,0.034238115,0.042285718,-0.0029444902,-0.0028285221,0.00024152859,-0.002874585,-0.0018115732,0.2381598,0.5805569,0.0074275825,0.5463014,0.5597888,0.010150728,0.00861631,-0.00091890537,0.022368954,0.014052503,1.015507,1.0339328,1.0490019,1.0858173,1.1310979,0.9707738,0.9707738,0.94023424,0.94023424,0.94023424,1.0023715,1.014427,1.014427,1.052928,1.0771773,0.989426,0.998307,0.9849089,0.9905717,1.0017368,0.6,0.3,0.5,0.33333334,0.18333334,0.6533456,0.46273944,0.54948056,0.41052666,0.3131333,0.2,0.1,0.05,0.2,0.083333336,1.0,1.0,0.4,0.6,0.8,-0.8,-0.9,-0.35,-0.4,-0.71666664,-0.1429165,-0.38592622,-0.30652747,-0.1630526,-0.040897217,-0.25573593,0.17165752,0.18459946,0.33177403,0.38868672,0.2,0.3,0.3,0.36666667,0.38333333,0.8,0.7,0.7,0.6333333,0.6166667,-0.6,-0.4,-0.4,-0.26666668,-0.23333333,0.3610545,0.39965287,0.4389353,0.48933458,0.46665782,0.63894546,0.60034716,0.56106466,0.5106654,0.5333422,-0.27789098,-0.20069428,-0.12212935,-0.021330828,-0.06668439,0.7853282,0.6535135,0.8787259,0.85525525,0.93945515,0.2060594,0.23707533,0.34392968,0.3170273,0.42573482,0.75885713,0.94773173,1.1241733,1.4073381,1.493837,0.7479802,0.35694277,0.514326,0.5179493,0.5064769,0.25201985,0.6430572,0.48567405,0.48205075,0.49352312,0.49596033,-0.28611442,0.028651904,0.035898514,0.012953769,1,0
2014-01-08,21.434511,21.450981,21.790586,21.334118,12033450.0,0.00076838495,0.021295965,0.036081247,0.015843857,0.74398404,0.0046837223,0.21993473,-0.01039175,-0.48796806,0.99923223,1.0158317,0.9945521,1.0063618,1.01649,1.0219012,1.0737842,1.0614259,0.9965411,1.0045557,0.99961054,1.0189774,1.0405314,0.008502529,0.010786723,0.015847877,0.03304901,0.042626902,5.1198185e-05,-0.0024871756,0.0005666188,-0.0026578624,-0.0018497925,9.064689e-05,0.48735476,0.044741217,0.5012446,0.57435226,0.0033564954,0.006636558,-0.0049934504,0.019561583,0.014037531,1.0158317,1.0273126,1.0360878,1.0880804,1.1334552,0.97279704,0.97279704,0.9421938,0.9421938,0.9421938,1.0024644,1.0137038,1.0149981,1.0504863,1.0794222,0.9914881,0.9987203,0.98696154,0.99263614,1.0029615,0.6,0.3,0.45,0.3,0.15,0.6321177,0.49899447,0.6156545,0.39624077,0.30223662,1.0,0.2,0.5,0.16666667,0.06666667,0.8,0.9,0.35,0.56666666,0.78333336,0.2,-0.7,0.15,-0.4,-0.71666664,0.03963107,-0.52210313,-0.3510139,-0.28191215,-0.050176706,-0.20488043,0.17526469,0.19623588,0.14115024,0.38722906,0.2,0.3,0.3,0.33333334,0.38333333,0.8,0.7,0.7,0.6666667,0.6166667,-0.6,-0.4,-0.4,-0.33333334,-0.23333333,0.42845514,0.40157163,0.45615596,0.3915055,0.47170386,0.5715448,0.59842837,0.54384404,0.60849446,0.5282962,-0.1430897,-0.19685672,-0.087688096,-0.21698897,-0.056592297,0.72578937,0.56870097,0.73215723,0.69827646,0.7802624,0.22738327,0.24101405,0.2890853,0.25191957,0.35085025,0.9302246,0.93436784,1.1770757,1.2449853,1.5041964,0.7563048,0.5935521,0.5188472,0.4867907,0.51239985,0.24369517,0.40644786,0.4811528,0.5132093,0.48760012,0.51260966,0.18710427,0.037694417,-0.026418598,0.024799738,0,0
2014-01-09,21.618824,20.989803,21.618824,20.894903,11333475.0,-0.029095972,0.03348567,-0.8689081,0.0,0.0,0.004389699,0.13109186,-0.024706272,-0.7378163,1.0299679,1.0299679,0.99547875,1.0260444,1.0301547,1.036918,1.0989463,1.1046634,1.0132277,1.0236119,1.0197276,1.0380677,1.061649,0.010587579,0.013741036,0.016456902,0.03277475,0.043976452,-0.0013526672,-0.003759063,0.0005131566,-0.0025860297,-0.0019244099,0.040806435,0.686012,0.034030765,0.48249185,0.58405614,-0.010522411,-0.0066960864,-0.024602618,-0.00057025615,-0.004878922,1.038151,1.0498842,1.0588521,1.1119871,1.1583589,0.99417084,0.99417084,0.9628952,0.9628952,0.9628952,1.0223975,1.0359764,1.0359241,1.061251,1.1020701,1.0037067,1.0132726,1.0068157,1.0105523,1.024049,0.2,0.1,0.1,0.06666667,0.033333335,0.1325402,0.1046274,0.3866817,0.24887183,0.18982948,0.8,0.1,0.45,0.13333334,0.05,0.6,0.8,0.3,0.53333336,0.76666665,0.2,-0.7,0.15,-0.4,-0.71666664,-0.09311131,-0.6714713,-0.3922374,-0.32328814,-0.041863654,-0.019695109,0.14462559,0.19847643,0.1675114,0.40722826,0.2,0.3,0.3,0.3,0.36666667,0.8,0.7,0.7,0.7,0.6333333,-0.6,-0.4,-0.4,-0.4,-0.26666668,0.29959825,0.34756345,0.43157905,0.36552918,0.45291013,0.7004018,0.65243655,0.56842095,0.6344708,0.5470899,-0.40080354,-0.3048731,-0.13684186,-0.26894164,-0.09417978,0.84619194,0.67790526,0.79044324,0.7517006,0.83817637,0.24246353,0.25224945,0.31074405,0.27139214,0.36918575,0.7536105,0.97541183,1.1069777,1.1698506,1.4839532,0.7187703,0.7792858,0.5269834,0.52364796,0.5167444,0.28122965,0.22071423,0.47301662,0.47635204,0.48325562,0.4375407,0.5585716,0.053966776,0.0472959,0.033488743,0,1
2014-01-10,21.026667,21.52,21.53098,20.625097,11773350.0,0.023462294,0.043082524,0.5445896,0.00052213215,0.012119349,0.0190981,0.4432911,0.042038262,0.9757613,0.9770756,1.0005102,0.95841527,0.9904148,1.0155259,0.9841095,1.0755886,1.0584955,0.9901815,0.9968401,0.9953987,1.0099728,1.0345178,0.011632814,0.012025771,0.015897172,0.029722717,0.043025862,0.0016728741,-0.0024365664,0.00041189196,-0.002167767,-0.0018961944,0.051700763,0.3763068,0.023496052,0.41223976,0.5923882,0.006472772,0.01412442,0.00068832317,0.021459853,0.021419933,1.0125737,1.0198629,1.0327648,1.0845907,1.12982,0.95841527,0.95841527,0.93917197,0.93917197,0.93917197,0.99909616,1.0044464,1.0104016,1.0308039,1.074918,0.978978,0.9883082,0.9820103,0.98565483,0.9988192,1.0,0.6,0.6,0.43333334,0.25,0.76783484,0.6767504,0.6499223,0.41829583,0.31905934,0.6,0.2,0.4,0.1,0.033333335,1.0,1.0,0.25,0.5,0.75,-0.4,-0.8,0.15,-0.4,-0.71666664,0.2618355,-0.5229084,-0.3635999,-0.3714595,-0.041136097,-0.2993241,-0.07599285,0.22171696,0.15558939,0.40678832,0.4,0.3,0.35,0.3,0.38333333,0.6,0.7,0.65,0.7,0.6166667,-0.2,-0.4,-0.3,-0.4,-0.23333333,0.5617077,0.42965668,0.53049815,0.40048006,0.47315785,0.43829232,0.5703433,0.46950185,0.5995199,0.5268422,0.12341533,-0.14068665,0.06099631,-0.19903986,-0.05368431,0.92967296,0.71236736,0.7689463,0.73223233,0.815757,0.09207499,0.2478555,0.30347735,0.26608095,0.35339582,0.6336711,0.98094344,1.1051679,1.1091893,1.4601814,0.9143793,0.7573893,0.51758045,0.52068424,0.515941,0.08562071,0.24261072,0.48241955,0.4793158,0.48405898,0.8287586,0.51477855,0.035160877,0.041368432,0.03188207,1,1
2014-01-13,21.61647,21.07294,22.06039,20.89647,12019425.0,-0.02514423,0.05384419,-0.4669813,0.0205362,0.38140047,0.008163761,0.15161824,-0.03751667,-0.6967635,1.0257927,1.0468587,0.99162567,1.0006698,1.0311152,1.0198005,1.09007,1.1450424,1.011054,1.0148765,1.0155259,1.0283968,1.0540476,0.0120306965,0.012524698,0.016622689,0.028762734,0.04296183,-0.003684697,-0.0025942745,0.00023654972,-0.002011705,-0.0018788561,0.23451036,0.39328623,0.007087782,0.37911412,0.5833395,-0.0036846788,-0.0032022118,-0.01777315,0.00077284983,0.0013786695,1.0468587,1.0468587,1.0546747,1.1076001,1.1537889,0.9787479,0.9787479,0.9590964,0.9590964,0.9590964,1.0202918,1.0224802,1.0318372,1.042653,1.0951988,0.99921095,1.0005358,1.0005358,1.0046672,1.0196443,0.4,0.2,0.2,0.13333334,0.06666667,0.31202236,0.31202236,0.42795914,0.27543834,0.21009335,1.0,1.0,0.35,0.06666667,0.016666668,0.8,0.9,0.2,0.46666667,0.73333335,0.2,0.1,0.15,-0.4,-0.71666664,-0.27110592,-0.49017602,-0.39076248,-0.37297845,-0.1064944,0.21622896,-0.04476893,0.24341764,0.14748833,0.32519096,0.4,0.3,0.3,0.3,0.36666667,0.6,0.7,0.7,0.7,0.6333333,-0.2,-0.4,-0.4,-0.4,-0.26666668,0.49626902,0.37841782,0.46366122,0.38760924,0.4322143,0.50373095,0.6215822,0.53633875,0.61239076,0.5677857,-0.007461942,-0.24316436,-0.07267754,-0.22478154,-0.1355714,0.94957036,0.76131326,0.76688766,0.73352426,0.79491353,0.07392137,0.22864628,0.30221942,0.262589,0.34215465,0.5234896,0.84757495,1.0719694,1.059639,1.4752332,0.81281966,0.78135866,0.53108734,0.5412125,0.4920484,0.18718036,0.21864136,0.46891266,0.45878753,0.5079516,0.62563926,0.56271726,0.062174667,0.08242495,-0.015903182,0,1
2014-01-14,21.145882,23.55451,23.87608,20.807842,28784400.0,0.113905326,0.14509858,0.7850203,0.01520719,0.104805924,0.015986063,0.110173814,0.114684194,0.79038817,0.8977424,1.0136521,0.883391,0.91259325,0.92594564,0.8976758,0.9784896,1.0251065,0.9220165,0.9153603,0.9136521,0.92076784,0.9425807,0.04467662,0.031145252,0.025053892,0.027645526,0.037655316,0.018213902,0.003899076,0.0013467834,-0.0008809362,-0.0014483014,0.41551375,0.14366505,0.10113771,0.07869387,0.45119584,0.041555688,0.06709389,0.07355346,0.09200574,0.10014421,1.0136521,1.0136521,1.0136521,1.0136521,1.032099,0.87563264,0.87563264,0.8580514,0.8580514,0.8580514,0.9309004,0.91475755,0.9257592,0.932805,0.9798149,0.8939398,0.89512515,0.89512515,0.8988212,0.9122203,1.0,1.0,1.0,1.0,0.9,0.90108544,0.90108544,0.9122617,0.9122617,0.8155733,1.0,1.0,1.0,1.0,0.016666668,0.6,0.8,0.15,0.43333334,0.71666664,0.4,0.2,0.85,0.56666666,-0.7,0.98027146,0.69003284,0.24610862,0.08156921,-0.031180967,0.9462721,0.65732926,0.5570493,0.453539,0.43662804,0.4,0.3,0.35,0.3,0.36666667,0.6,0.7,0.65,0.7,0.6333333,-0.2,-0.4,-0.3,-0.4,-0.26666668,0.7596435,0.67112935,0.6529919,0.52335167,0.4881774,0.24035648,0.32887068,0.34700808,0.47664833,0.5118226,0.51928705,0.34225866,0.3059838,0.046703357,-0.023645215,0.5276754,0.3989812,0.34978738,0.33478916,0.3433971,0.2642206,0.22730069,0.19726527,0.16395737,0.16684367,1.6985048,2.2245674,2.4059036,2.4716687,1.940734,0.9654804,0.8986454,0.62769073,0.6430032,0.5498648,0.034519617,0.10135459,0.3723093,0.35699677,0.45013514,0.9309608,0.7972908,0.25538144,0.28600645,0.099729694,1,0
2014-01-15,22.899609,22.548235,23.206274,22.43294,17100300.0,-0.015344091,0.033770643,-0.45436183,0.013391732,0.39654952,0.00503482,0.14908867,-0.023701003,-0.70182264,1.0155832,1.0291836,0.9948867,0.95133746,0.9573898,0.93377167,1.0320011,1.0558976,0.97289646,0.9604717,0.9577377,0.96079284,0.9837142,0.048620824,0.03537325,0.027573377,0.026708577,0.03826708,0.022846013,0.0065402007,0.0017318154,-0.00019044803,-0.0013669992,0.55197096,0.31336007,0.13806747,0.003940517,0.38921154,-0.018588487,0.010097412,0.025810074,0.04196864,0.056612246,1.058889,1.058889,1.058889,1.058889,1.0737418,0.91471004,0.91471004,0.8963443,0.8963443,0.8963443,1.0089256,0.9641031,0.96765804,0.9744339,1.0223242,0.9338342,0.9350725,0.93990046,0.9389335,0.95293057,0.8,0.9,0.95,0.93333334,0.6666667,0.5915559,0.5915559,0.63770556,0.63770556,0.5843134,0.8,0.9,0.95,0.96666664,0.1,0.4,0.7,0.1,0.4,0.7,0.4,0.2,0.85,0.56666666,-0.6,0.97392416,0.7515447,0.3239665,0.20142722,-0.013865187,0.961867,0.7350417,0.59363306,0.4910587,0.45220432,0.4,0.3,0.35,0.26666668,0.36666667,0.6,0.7,0.65,0.73333335,0.6333333,-0.2,-0.4,-0.3,-0.46666667,-0.26666668,0.6113674,0.58169925,0.5849088,0.468986,0.4754589,0.3886326,0.41830072,0.4150912,0.531014,0.52454114,0.22273481,0.16339855,0.16981763,-0.062028,-0.04908222,0.94747984,0.7291083,0.61253726,0.5828885,0.58671093,0.4336223,0.3846191,0.34401923,0.28571665,0.2857414,1.3857642,1.9363757,2.1714892,2.288625,1.8793458,0.5849145,0.62565154,0.5537737,0.5523967,0.52126014,0.41508546,0.37434846,0.4462263,0.4476033,0.47873986,0.16982906,0.2513031,0.10754739,0.10479344,0.0425203,0,1
