date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,18.812187,18.791945,19.065208,18.723629,5982088.0,-0.0010760414,0.018157348,-0.05926203,0.013449858,0.7407391,0.0036314493,0.19999889,-0.010894449,-0.6000022,1.0010772,1.0145415,0.99636465,0.99622995,0.9690317,0.98394215,1.0862988,0.9726587,1.0012115,0.9969703,0.98134387,0.99966335,1.0113673,0.005731369,0.006679373,0.017982148,0.036506556,0.03892053,0.00096944993,0.0017079362,0.0024893756,-0.0020987308,-0.0003152203,0.071527675,0.5993539,0.6707579,0.25613767,0.02000648,-0.0031504433,-0.0046560015,-0.0049929274,0.030768229,-0.0020683452,1.0145415,1.0145415,1.0145415,1.0986568,1.1013433,0.98976684,0.96512705,0.9464115,0.9464115,0.9288681,1.0042545,1.0014807,0.99730706,1.0185715,1.0422398,0.99859965,0.99197507,0.9674429,0.96903175,0.97577494,0.4,0.7,0.85,0.6,0.45,0.41304848,0.7057231,0.78656197,0.35198802,0.41241798,1.0,1.0,1.0,0.033333335,0.5,0.4,0.1,0.35,0.56666666,0.016666668,0.6,0.9,0.65,-0.53333336,0.48333332,-0.11651656,-0.36583203,-0.6315643,-0.117646426,-0.13078816,-0.65691644,-0.02245092,0.07725083,-0.47946632,-0.40963358,0.6,0.6,0.45,0.4,0.56666666,0.4,0.4,0.55,0.6,0.43333334,0.2,0.2,-0.1,-0.2,0.13333334,0.5451625,0.71455395,0.55467004,0.3527366,0.52657706,0.45483747,0.28544608,0.44533,0.6472634,0.47342297,0.09032503,0.42910787,0.10934001,-0.29452682,0.053154066,0.675423,0.84654486,1.1620106,1.4354032,1.1460809,0.2260867,0.45301607,0.503904,1.101881,0.8367384,0.4041636,1.1008154,0.9051432,2.725279,3.109346,0.8584817,0.47405154,0.4017094,0.501125,0.5053242,0.14151828,0.52594846,0.5982906,0.49887502,0.4946758,0.71696347,-0.051896922,-0.19658118,0.0022499491,0.01064842,0,0
2014-01-03,18.804586,18.807116,18.938686,18.74892,4352983.5,0.00013449613,0.010091471,0.013327705,0.0069967406,0.69333214,0.0029602337,0.29334018,-0.0039020109,-0.38666424,0.99986553,1.0069958,0.9969057,1.0022874,0.9870849,0.97549784,1.0864961,0.95898896,0.9999464,0.99745756,0.98177737,0.99597377,1.011235,0.0056291954,0.005929501,0.018434146,0.032514237,0.038323805,0.0014529512,0.0013102732,0.002685386,-0.0014852552,-0.00041965774,0.16655183,0.44760904,0.7427376,0.16171739,0.036572363,-0.002852314,-0.003353803,-0.007288518,0.025562432,0.0011448767,1.0137231,1.0137231,1.0137231,1.0964283,1.1004549,0.98896843,0.9769947,0.9456481,0.9456481,0.9456481,1.0018297,1.0006728,0.99935466,1.0139109,1.041399,0.99779415,0.9943498,0.9666625,0.9682501,0.97624946,0.6,0.7,0.85,0.6333333,0.46666667,0.4456348,0.62636167,0.7984116,0.36047137,0.35109526,0.8,0.9,0.95,0.033333335,0.48333332,0.2,0.1,0.3,0.53333336,0.76666665,0.6,0.8,0.65,-0.5,-0.28333333,0.048149765,-0.2411236,-0.65568686,-0.08383224,-0.1398386,-0.6098289,-0.034110438,0.07311049,-0.47963634,-0.41185248,0.6,0.6,0.5,0.4,0.5833333,0.4,0.4,0.5,0.6,0.41666666,0.2,0.2,0.0,-0.2,0.16666667,0.46791855,0.61940134,0.587571,0.35214594,0.540857,0.5320815,0.3805987,0.412429,0.6478541,0.45914295,-0.064162925,0.23880264,0.17514202,-0.29570815,0.081714086,1.0199199,1.090893,1.4980314,1.9674795,1.5735381,0.22339249,0.59135,0.6226756,1.5173832,1.1505742,0.57998383,1.1046263,0.9942367,2.7263181,3.1459122,0.6443723,0.42699033,0.39242324,0.49728447,0.49874005,0.35562772,0.57300967,0.6075767,0.5027155,0.50126,0.28874457,-0.14601934,-0.2151535,-0.0054310663,-0.002519929,1,0
2014-01-06,18.819775,18.76917,19.027252,18.76411,3926141.0,-0.0026888668,0.013982188,-0.19230658,0.011024445,0.7884635,0.00026887655,0.019229934,-0.013444435,-0.96154016,1.0026962,1.0137503,0.9997304,0.9942032,0.9884063,0.97168684,1.0936688,0.9585069,1.0031273,1.0006335,0.9851778,0.994865,1.013971,0.0040039173,0.004497547,0.018581884,0.02712603,0.03776656,-0.0012671269,0.0006037571,0.0027321212,-0.0008154003,-0.0005351104,0.25038597,0.1651903,0.7566385,0.07002788,0.061231054,-0.00059306226,-0.0033503638,-0.011132975,0.016958313,0.00181481,1.0157726,1.0157726,1.0157726,1.0967621,1.1026796,0.9942029,0.98840666,0.94755983,0.94755983,0.94755983,1.0038551,1.0026958,1.001375,1.0111942,1.0435044,1.0009707,0.99733084,0.9686168,0.9702076,0.97875035,0.2,0.5,0.75,0.6,0.41666666,0.26876163,0.42364264,0.7687741,0.35147053,0.3380624,0.6,0.8,0.9,0.033333335,0.46666667,0.2,0.1,0.25,0.5,0.75,0.4,0.7,0.65,-0.46666667,-0.28333333,0.021654628,-0.055167112,-0.6623527,-0.051003758,-0.14874458,-0.25799873,-0.030573966,0.02544612,-0.48090544,-0.41118428,0.6,0.6,0.5,0.36666667,0.5833333,0.4,0.4,0.5,0.6333333,0.41666666,0.2,0.2,0.0,-0.26666668,0.16666667,0.6048858,0.6043734,0.6037716,0.3385812,0.5412867,0.39511415,0.3956266,0.39622834,0.6614188,0.45871332,0.20977166,0.20874678,0.20754328,-0.3228376,0.08257336,1.1204553,1.1415142,1.6179333,2.169775,1.7416227,0.25283566,0.6364205,0.7039805,1.6894819,1.2772177,0.8002394,1.0822166,1.0466138,2.7378798,3.1483057,0.48175746,0.43681103,0.45148927,0.49445936,0.4976854,0.51824254,0.56318897,0.54851073,0.5055406,0.5023146,-0.036485083,-0.12637796,-0.097021475,-0.011081274,-0.004629214,0,1
2014-01-07,18.769165,18.665426,19.004477,18.650246,7540849.0,-0.0055270856,0.018873023,-0.29285643,0.012537132,0.6642885,0.00080880465,0.042855065,-0.017255414,-0.9142899,1.0055578,1.0181646,0.9991867,1.0078622,1.0033892,0.97560006,1.0854124,0.97857547,1.0071304,1.0058562,0.99187356,0.9975475,1.0199637,0.0056460085,0.0048698415,0.018445587,0.022054503,0.03768373,-0.0032669127,8.214035e-05,0.0026431412,-0.00023614785,-0.0006397713,0.83701265,0.0026079235,0.71866053,0.008885363,0.08791067,-0.0005965425,-0.006225799,-0.016983388,0.005876663,-0.0010905332,1.0214183,1.0214183,1.0214183,1.0594465,1.1088085,0.9991867,0.9964757,0.95282644,0.95282644,0.95282644,1.0092177,1.008269,1.0069407,1.0112133,1.0493042,1.0044465,1.001952,0.97400045,0.97560006,0.98642313,0.2,0.2,0.55,0.5,0.33333334,0.03658301,0.14129624,0.6877425,0.44244573,0.30242938,0.4,0.7,0.85,0.13333334,0.45,1.0,0.4,0.2,0.46666667,0.73333335,-0.6,0.3,0.65,-0.33333334,-0.28333333,-0.6083128,-0.12983876,-0.6438189,-0.18240455,-0.15425903,-0.29002112,-0.3317474,-0.05655443,-0.46471557,-0.42958936,0.4,0.5,0.5,0.36666667,0.56666666,0.6,0.5,0.5,0.6333333,0.43333334,-0.2,0.0,0.0,-0.26666668,0.13333334,0.34408057,0.46735936,0.58637184,0.3490828,0.52159256,0.65591943,0.53264064,0.41362813,0.6509172,0.47840744,-0.31183887,-0.06528127,0.17274374,-0.3018344,0.043185096,0.695849,0.5512735,0.85018593,1.1098645,0.9104914,0.19898677,0.21982451,0.36821947,0.87547594,0.6648688,0.7644093,0.82649267,0.99909,2.8160505,3.1774306,0.75386804,0.42096862,0.5157256,0.48134607,0.5054444,0.24613193,0.57903135,0.4842744,0.5186539,0.49455556,0.50773615,-0.15806274,0.0314512,-0.03730786,0.010888873,0,1
2014-01-08,18.690733,18.647718,18.718567,18.523739,9298797.0,-0.0023013826,0.010423777,-0.22078201,0.0014891839,0.14286414,0.0066332105,0.63635385,0.0028426442,0.2727077,1.0023067,1.0037993,0.99335146,1.0166891,1.003392,0.97530526,1.0243106,0.9847837,1.004749,1.0064721,0.99405015,0.9976844,1.021186,0.003982548,0.005242939,0.018051619,0.021534689,0.03752299,-0.0023066706,-0.0005172623,0.0024718114,-4.862064e-05,-0.00073596294,0.8386662,0.08922438,0.6562456,0.00039506253,0.11733209,-0.00013558663,-0.004144443,-0.017532373,0.0030206027,0.00052496145,1.0223882,1.0223882,1.0223882,1.0604525,1.1098614,0.99335146,0.99335146,0.95373124,0.95373124,0.95373124,1.007897,1.0092263,1.007897,1.0108927,1.0503007,1.0007597,1.0008954,0.9759023,0.9765265,0.99082124,0.2,0.1,0.45,0.46666667,0.3,0.22896867,0.22896867,0.67391145,0.4335478,0.29634726,0.2,0.6,0.8,0.1,0.43333334,1.0,1.0,0.15,0.43333334,0.71666664,-0.8,-0.4,0.65,-0.33333334,-0.28333333,-0.8528077,-0.34530312,-0.5960963,-0.34689146,-0.16921572,-0.68417466,-0.4235902,-0.05311024,-0.28314665,-0.42788404,0.2,0.5,0.5,0.36666667,0.55,0.8,0.5,0.5,0.6333333,0.45,-0.6,0.0,0.0,-0.26666668,0.1,0.04441764,0.46736303,0.58750075,0.4452621,0.5154558,0.9555824,0.53263694,0.41249928,0.55473787,0.48454422,-0.9111647,-0.06527392,0.17500147,-0.10947576,0.030911556,0.6689222,0.50652,0.69404334,0.79671067,0.7463156,0.24063544,0.24825124,0.30281934,0.3745149,0.5394603,0.984709,0.7853614,1.0021609,1.2119812,3.1886818,0.7709581,0.68093526,0.51148725,0.34969708,0.51429945,0.2290419,0.31906474,0.48851272,0.65030295,0.48570052,0.5419162,0.36187056,0.022974543,-0.30060586,0.028598938,0,0
2014-01-09,18.695793,18.888092,18.895681,18.65278,8669207.0,0.010285677,0.012992273,0.79167646,0.0004059384,0.031244602,0.0023006576,0.17707892,0.012180396,0.9375108,0.98981905,1.0004019,0.9875418,0.99490964,0.9911588,0.95740104,1.0091364,0.97532505,0.99298036,0.99454767,0.9835296,0.9846831,1.0086014,0.0053050416,0.0054487376,0.017341884,0.020966187,0.03681066,0.0002144242,-0.000332042,0.0023271474,0.0002153949,-0.0007957269,0.004084229,0.034041267,0.63026506,0.00817963,0.14252162,0.006590782,0.0069465055,-0.0056375326,0.012193654,0.014872564,1.0073676,1.0093771,1.0093771,1.0469569,1.0957371,0.9807099,0.9807099,0.9415939,0.9415939,0.9415939,0.9965703,0.9983924,0.9957664,0.998028,1.0369344,0.9880238,0.98815775,0.97095764,0.96409905,0.9815333,1.0,0.9,0.95,0.8666667,0.53333336,0.7236217,0.67289686,0.8616598,0.5543321,0.37890816,0.4,0.5,0.75,0.06666667,0.41666666,0.8,0.9,0.1,0.4,0.7,-0.4,-0.4,0.65,-0.33333334,-0.28333333,-0.2569429,-0.32486346,-0.53006655,-0.38283488,-0.18215,-0.509765,-0.5453017,-0.08975179,-0.3026371,-0.42755622,0.4,0.5,0.55,0.4,0.55,0.6,0.5,0.45,0.6,0.45,-0.2,0.0,0.1,-0.2,0.1,0.61585665,0.56962186,0.6453396,0.48012313,0.52489203,0.38414335,0.4303781,0.35466042,0.51987684,0.47510797,0.23171331,0.13924377,0.29067916,-0.039753735,0.049784046,0.77949405,0.62278104,0.7518784,0.8448942,0.8086752,0.2856228,0.2726956,0.32905865,0.39428335,0.5779294,1.314847,0.9208937,0.9674583,1.1607789,3.1292496,0.66673213,0.7474802,0.51755935,0.48191634,0.5136592,0.3332679,0.25251976,0.48244065,0.51808363,0.48634082,0.3334642,0.49496046,0.03511868,-0.036167316,0.02731833,1,0
2014-01-10,18.923513,18.888092,19.027252,18.75146,6428690.5,-0.0018718179,0.014574095,-0.1284346,0.0054820045,0.37614718,0.0072202724,0.49541825,-0.00013355009,-0.009163526,1.0018753,1.0073676,0.9927662,0.9957128,0.9979905,0.9429335,1.0249064,0.9687765,0.9938378,0.99474865,0.98638296,0.9838529,1.0091218,0.0061381343,0.005624054,0.014822595,0.019777963,0.036457118,0.0024380882,0.00019487602,0.0019214469,0.00059161533,-0.0008773273,0.3944265,0.011005994,0.58813405,0.06934537,0.17662756,0.0012860202,0.004374421,-0.004636703,0.0075686704,0.016759384,1.0073676,1.0093771,1.0093771,1.0469569,1.0957371,0.9807099,0.9807099,0.9415939,0.9415939,0.9415939,1.0,1.0,0.9963828,0.998028,1.0369344,0.9880238,0.98815775,0.98028105,0.96409905,0.9827191,0.9,0.85,0.925,0.8833333,0.525,0.7236217,0.67289686,0.8616598,0.5543321,0.37890816,0.2,0.4,0.7,0.033333335,0.4,0.6,0.8,0.05,0.36666667,0.68333334,-0.4,-0.4,0.65,-0.33333334,-0.28333333,-0.1674459,-0.17834471,-0.47022477,-0.5009135,-0.19772571,-0.48661265,-0.55261874,-0.012674056,-0.31878728,-0.42868814,0.2,0.4,0.55,0.36666667,0.55,0.6,0.5,0.4,0.6,0.43333334,-0.4,-0.1,0.15,-0.23333333,0.11666667,0.60127866,0.5177323,0.71602637,0.44182247,0.5319199,0.39872134,0.48226768,0.28397366,0.55817753,0.46808007,0.20255731,0.03546466,0.43205267,-0.11635503,0.063839845,1.1157384,0.9031724,0.98801804,1.109872,1.0959903,0.3298767,0.32975408,0.4275899,0.5131544,0.7775055,1.3603142,1.0094678,1.0495358,1.2404311,3.1475952,0.61971176,0.6306526,0.4544383,0.45989752,0.50670695,0.38028827,0.36934742,0.54556173,0.5401025,0.49329302,0.23942348,0.26130515,-0.09112343,-0.08020498,0.013413957,1,0
2014-01-13,18.76158,18.54398,18.814713,18.526268,10403445.0,-0.011598163,0.0153742125,-0.7543907,0.0028320116,0.18420531,0.00094403775,0.06140397,-0.013486138,-0.8771921,1.0117342,1.0145996,0.9990449,1.0121436,1.0062765,0.96356934,1.0437886,1.0054023,1.0098513,1.0125802,1.0065084,1.0006502,1.0277575,0.008331242,0.006813345,0.0116885025,0.018543705,0.03719548,-1.35872e-05,-0.000984017,0.0012409241,0.0008764212,-0.000977302,6.6493685e-06,0.19120355,0.39449427,0.1731149,0.21056058,-0.009824111,-0.008152024,-0.01829714,-0.013358318,0.0010728531,1.0260609,1.0281078,1.0281078,1.048145,1.1160702,0.9989085,0.9989085,0.9693003,0.9590666,0.9590666,1.0185566,1.0185566,1.0148722,1.0148722,1.0561763,1.0044754,1.0063581,1.0003273,0.9819894,1.0003273,0.2,0.1,0.2,0.4,0.2,0.0401991,0.037381202,0.5220377,0.45952046,0.2607162,0.8,0.3,0.65,0.033333335,0.38333333,0.4,0.7,0.05,0.33333334,0.6666667,0.4,-0.4,0.6,-0.3,-0.28333333,-0.6794202,-0.54099214,-0.46184224,-0.4999544,-0.21933839,-0.6491882,-0.55707484,-0.14651516,-0.3513103,-0.4416888,0.2,0.4,0.5,0.36666667,0.53333336,0.6,0.5,0.45,0.6,0.45,-0.4,-0.1,0.05,-0.23333333,0.083333336,0.34050226,0.45247835,0.6214748,0.40740314,0.49457675,0.65949774,0.54752165,0.37852523,0.5925968,0.50542325,-0.31899545,-0.09504333,0.24294956,-0.18519369,-0.010846522,0.81398016,0.61841357,0.617384,0.7036894,0.6876897,0.14809534,0.23725505,0.27275175,0.3192686,0.48054957,1.1342907,1.2532328,1.0530903,1.1614267,3.0841842,0.76508266,0.676385,0.5179296,0.54123,0.5202237,0.23491733,0.32361498,0.48207042,0.45877,0.47977635,0.5301653,0.35277,0.035859168,0.08246,0.040447306,0,0
2014-01-14,18.607235,18.521206,18.673021,18.463013,4123357.8,-0.0046234196,0.011286396,-0.40964535,0.0035355259,0.31325552,0.0031274506,0.27709913,-0.005031495,-0.44580173,1.0046449,1.0081968,0.996858,1.0077868,1.0157102,0.980055,1.0420742,1.0047309,1.0095357,1.0122541,1.0087432,1.0004781,1.0289425,0.009725204,0.008039653,0.009935337,0.01694387,0.03729848,-0.0032240744,-0.0016136593,0.00069456716,0.0011425628,-0.0010672497,0.27475947,0.369284,0.17105326,0.35240066,0.24971792,-0.0030874999,-0.004992687,-0.015341607,-0.017045302,0.0025414256,1.0273225,1.0293719,1.0293719,1.0368952,1.1174425,0.996858,0.996858,0.97923505,0.9602459,0.9602459,1.019809,1.019809,1.0161201,1.0154915,1.057475,1.0009837,1.0057105,1.0015574,0.98319685,1.0009837,0.2,0.1,0.15,0.4,0.2,0.103135645,0.096635036,0.41416574,0.5186498,0.25289413,0.6,0.2,0.6,0.033333335,0.36666667,1.0,1.0,0.15,0.3,0.65,-0.4,-0.8,0.45,-0.26666668,-0.28333333,0.15940101,-0.2469627,-0.36907896,-0.40966728,-0.20725997,-0.4948888,-0.39995876,-0.124657996,-0.35424954,-0.43146732,0.2,0.3,0.45,0.36666667,0.53333336,0.6,0.6,0.5,0.6,0.45,-0.4,-0.3,-0.05,-0.23333333,0.083333336,0.38461775,0.36720502,0.5732924,0.41046897,0.4952502,0.61538225,0.632795,0.4267076,0.58953106,0.5047498,-0.23076454,-0.26558992,0.14658478,-0.1790621,-0.009499597,1.8879515,1.5802644,1.4909326,1.789454,1.7266484,0.6084428,0.5732213,0.67337656,0.7874711,1.215826,1.342602,1.3401258,1.1405865,1.1631062,3.088321,0.3851873,0.5177235,0.4393314,0.51213115,0.49368122,0.6148127,0.4822765,0.5606686,0.48786888,0.5063188,-0.2296254,0.035446987,-0.12133718,0.024262274,-0.01263756,0,0
2014-01-15,18.51361,18.412403,18.60976,18.344088,5841391.5,-0.0054666665,0.014350128,-0.38094896,0.0051934463,0.36190942,0.0036900153,0.25714162,-0.0069700973,-0.48571676,1.0054967,1.0107187,0.99628973,1.0127803,1.0296826,0.9978015,1.0239661,1.0186194,1.0129452,1.0152675,1.014814,1.0055913,1.0347123,0.012072899,0.008831937,0.009808722,0.016750926,0.037733246,-0.007159652,-0.0018547527,0.00022172993,0.0012293005,-0.0011587726,0.8792263,0.40426996,0.017885117,0.41738823,0.28763914,0.0013741477,-0.0069211326,-0.016920455,-0.023416167,-0.00052856305,1.0333931,1.0354546,1.0354546,1.0354546,1.1240457,0.99628973,0.99628973,0.98502153,0.9659202,0.9659202,1.0258353,1.0223169,1.0221245,1.0207782,1.0637238,1.0047274,1.0068988,1.0074757,0.98900676,1.0055723,0.2,0.1,0.1,0.36666667,0.18333334,0.0999986,0.09473517,0.2969964,0.49011388,0.21552373,0.4,0.1,0.55,0.7,0.35,1.0,1.0,0.1,0.26666668,0.6333333,-0.6,-0.9,0.45,0.43333334,-0.28333333,0.3129384,-0.040165376,-0.28125513,-0.48812848,-0.21159986,-0.5459192,-0.53765875,-0.16778584,-0.09980383,-0.42893952,0.2,0.2,0.4,0.36666667,0.51666665,0.6,0.7,0.55,0.6,0.46666667,-0.4,-0.5,-0.15,-0.23333333,0.05,0.33568802,0.24162303,0.5084026,0.44503236,0.48133987,0.664312,0.75837696,0.4915974,0.55496764,0.5186601,-0.32862398,-0.516754,0.016805172,-0.1099353,-0.03732028,1.2143029,1.1395735,1.012334,1.2170277,1.223922,0.4216861,0.38788173,0.44139028,0.5156315,0.8559665,1.1924827,1.3410643,1.1916481,1.0985135,3.0868568,0.383534,0.52953476,0.4492993,0.4344044,0.505436,0.616466,0.47046524,0.5507007,0.5655956,0.49456403,-0.23293199,0.059069507,-0.1014014,-0.13119121,0.010871953,0,0
