date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,4.7573333,4.7157335,4.7834673,4.6752005,24639374.0,-0.008744342,0.022757882,-0.38423356,0.005493417,0.24138524,0.008520124,0.37438118,-0.0057176356,-0.2512376,1.0088215,1.0143634,0.9914047,0.9968333,0.96120775,0.96607107,1.0167384,0.8827189,1.0042071,0.99503505,0.9865585,0.9812034,0.97881514,0.0085738655,0.012884341,0.013963664,0.015332857,0.038122535,0.0023297886,0.003733556,0.0016077525,0.0011126001,0.00093126734,0.18459491,0.7697192,0.46398905,0.40806907,0.18200572,-0.00886676,-0.011836064,-0.0018321436,0.0026639483,-0.0062875054,1.0178692,1.0178692,1.0178692,1.0178692,1.0428637,0.9804343,0.95804113,0.95634466,0.94967204,0.86824244,1.0115359,1.0020809,0.99710476,0.9964714,1.0066952,0.99782854,0.98597604,0.9752093,0.9666817,0.9628364,0.6,0.8,0.9,0.9,0.75,0.52265835,0.7013235,0.70955896,0.7379768,0.75453347,0.8,0.9,0.95,0.96666664,0.38333333,0.2,0.1,0.05,0.13333334,0.033333335,0.6,0.8,0.9,0.8333333,0.35,-0.46607292,-0.6028181,-0.65023386,-0.42981344,0.05948718,-0.8065149,-0.6406429,-0.5506204,-0.25619227,-0.04089168,0.6,0.7,0.6,0.5,0.56666666,0.4,0.3,0.4,0.5,0.43333334,0.2,0.4,0.2,0.0,0.13333334,0.54069734,0.7489126,0.613293,0.46506122,0.61225367,0.45930266,0.25108743,0.38670698,0.53493875,0.38774633,0.08139465,0.49782518,0.22658603,-0.06987755,0.2245073,0.58155394,0.7223727,0.8011529,0.83924866,1.0047498,0.24184915,0.36422879,0.32381517,0.35678908,0.42147285,1.1912408,0.96254325,1.1465182,1.034089,1.4508731,0.8415173,0.5271307,0.5283583,0.50594133,0.5075315,0.15848264,0.47286928,0.47164172,0.49405867,0.49246848,0.6830347,0.05426144,0.056716576,0.011882667,0.015063067,0,1
2014-01-03,4.7146664,4.6831994,4.746133,4.6815996,9834376.0,-0.006674271,0.013687762,-0.4876086,0.00667417,0.48760122,0.0003393217,0.024790151,-0.013009119,-0.9504197,1.0067191,1.0134381,0.9996584,1.0051248,0.977907,0.9791598,1.008883,0.87814623,1.0101584,1.0041568,0.9944541,0.98772365,0.9876458,0.00976286,0.00995501,0.013716876,0.015107063,0.035737216,-0.001708273,0.0020505572,0.0014879974,0.0013415054,0.0007791686,0.07654211,0.38893026,0.4118717,0.61112,0.14498441,-0.006741883,-0.013384366,-0.008590089,-0.007175486,-0.010631304,1.0249404,1.0249404,1.0249404,1.0249404,1.0501084,0.9978365,0.98280406,0.9645827,0.9562694,0.8742741,1.0185629,1.0090424,1.0040317,1.0006605,1.0136887,1.0026423,0.996447,0.9844212,0.9733972,0.9722129,0.2,0.4,0.7,0.8,0.68333334,0.07982404,0.40810272,0.5867904,0.63681346,0.71502477,0.6,0.8,0.9,0.93333334,0.36666667,0.2,0.2,0.45,0.1,0.016666668,0.4,0.6,0.45,0.8333333,0.35,-0.21585074,-0.5467837,-0.63047177,-0.4570789,0.06035725,-0.46048918,-0.4175153,-0.48021194,-0.24755776,-0.0064683636,0.4,0.6,0.55,0.5,0.56666666,0.6,0.4,0.45,0.5,0.43333334,-0.2,0.2,0.1,0.0,0.13333334,0.44274655,0.64652485,0.568848,0.48095673,0.6166591,0.5572535,0.35347512,0.43115196,0.51904327,0.38334092,-0.11450691,0.29304975,0.13769609,-0.038086552,0.23331818,1.4166633,1.6888082,1.9279025,2.0762691,2.4923258,0.6333008,0.9335464,0.8290384,0.91485685,1.0739919,1.0492913,1.0710657,1.1898123,1.0742673,1.4754494,0.47207427,0.42895827,0.44822437,0.4842241,0.48538673,0.5279257,0.57104176,0.55177563,0.51577586,0.5146133,-0.05585146,-0.1420835,-0.10355125,-0.031551767,-0.029226515,0,1
2014-01-06,4.7061334,4.6837335,4.706667,4.6554666,14278125.0,-0.004759725,0.010879503,-0.43749475,0.000113379865,0.01042142,0.0060063973,0.5520838,0.0011332921,0.10416764,1.0047824,1.0048964,0.99396485,1.0031884,0.99305403,0.98257804,0.98531085,0.87793213,1.0094056,1.004737,0.99521184,0.98810065,0.9895677,0.010404463,0.009324334,0.013480155,0.015265434,0.032736562,-0.0057731834,0.0010972741,0.0013829482,0.001405418,0.0006137526,0.7697175,0.1269422,0.368375,0.65689266,0.10720631,0.002140799,-0.009674694,-0.008349828,-0.008479233,-0.0076733795,1.0248235,1.0248235,1.0248235,1.0248235,1.0499887,0.99396485,0.982692,0.9644727,0.95616037,0.8833978,1.0184468,1.0089273,1.0039171,1.0006377,1.013573,0.9999772,0.99933946,0.98729223,0.9732862,0.9729447,0.4,0.4,0.7,0.8,0.68333334,0.19557321,0.4108091,0.58867973,0.63847405,0.6999314,0.4,0.7,0.85,0.9,0.35,1.0,0.1,0.4,0.06666667,0.016666668,-0.6,0.6,0.45,0.8333333,0.33333334,-0.2657982,-0.47010976,-0.61281955,-0.4660105,0.08311003,-0.44205296,-0.5129811,-0.48347935,-0.20034078,-0.008363091,0.6,0.6,0.55,0.53333336,0.5833333,0.4,0.4,0.45,0.46666667,0.41666666,0.2,0.2,0.1,0.06666667,0.16666667,0.46296254,0.55765563,0.5588912,0.5349972,0.61687744,0.5370375,0.4423444,0.44110882,0.46500278,0.38312256,-0.074074954,0.11531123,0.117782325,0.06999443,0.23375489,0.9984242,1.0920026,1.2709258,1.3973298,1.7020792,0.43334863,0.61425614,0.5419057,0.6259478,0.74517024,1.1136631,1.2302933,1.2513325,1.09522,1.4757084,0.5206627,0.4405639,0.44579005,0.47086725,0.4876983,0.47933725,0.55943614,0.55420995,0.5291327,0.5123017,0.04132551,-0.11887224,-0.108419865,-0.058265503,-0.024603406,1,1
2014-01-07,4.6933336,4.7232,4.7429333,4.6752005,12343125.0,0.0063635404,0.014431706,0.44094166,0.0042045657,0.29134223,0.0038635998,0.26771608,0.006022575,0.4173155,0.9936767,1.0041779,0.9898375,1.0088077,0.98306245,0.9836272,0.96522135,0.88572717,0.9992096,0.99803525,0.9877146,0.9810035,0.98320353,0.009351771,0.008012693,0.013655048,0.015310141,0.030021215,-0.0035682125,0.00040238706,0.0015069806,0.001422864,0.00047729537,0.36396003,0.02311758,0.42628193,0.669376,0.0770935,0.007926833,0.00015398051,-0.0020309293,-0.0016350616,0.0027162458,1.0162603,1.0162603,1.0162603,1.0162603,1.0412152,0.9856594,0.97888446,0.9564137,0.94817084,0.88233966,1.0028907,1.0017616,0.9969739,0.99489623,1.0051038,0.99162155,0.99162155,0.97904253,0.96614724,0.9651536,0.8,0.8,0.9,0.93333334,0.75,0.46863338,0.56495243,0.7283011,0.7611929,0.7405821,0.2,0.6,0.8,0.8666667,0.33333334,0.8,0.3,0.35,0.033333335,0.016666668,-0.6,0.3,0.45,0.8333333,0.31666666,-0.29069647,-0.17721863,-0.6249714,-0.4598592,0.08136608,-0.55897695,-0.5031442,-0.4750007,-0.20680164,-0.0034991873,0.6,0.7,0.55,0.56666666,0.5833333,0.4,0.3,0.45,0.43333334,0.41666666,0.2,0.4,0.1,0.13333334,0.16666667,0.3810976,0.6275501,0.55615705,0.58498883,0.61179847,0.6189024,0.37244987,0.44384295,0.41501117,0.38820153,-0.23780474,0.25510022,0.11231413,0.16997765,0.22359695,1.1403311,1.0664135,1.427814,1.5634614,1.9544786,0.505316,0.3830187,0.62866795,0.70848787,0.8709445,1.2477397,1.173871,1.2969503,1.1286153,1.5047795,0.48886728,0.33865583,0.46375173,0.4590079,0.48942629,0.5111327,0.6613442,0.53624827,0.5409921,0.51057374,-0.022265429,-0.3226883,-0.07249653,-0.08198419,-0.02114746,1,0
2014-01-08,4.7221336,4.7488003,4.7648,4.6938667,36241870.0,0.005647159,0.01502146,0.37593946,0.0033882551,0.22556098,0.0059860456,0.39849958,0.008244949,0.548878,0.9943845,1.0033692,0.9884321,1.0089847,0.9834905,0.9806828,0.95181936,0.8912847,0.992026,0.9943059,0.98335576,0.977321,0.9797151,0.0058777886,0.007559566,0.014129467,0.015161086,0.027737228,0.0022349632,0.000189897,0.001723475,0.0014070731,0.00036413566,0.3614538,0.0057843407,0.5207466,0.6675356,0.052565426,0.003504082,0.0048395745,0.00027121173,0.0022764034,0.009542913,1.0073001,1.0107816,1.0107816,1.0107816,1.035602,0.98034585,0.97360736,0.95125777,0.9441824,0.8858939,0.99568725,1.0006739,0.9933513,0.9901617,1.0006739,0.9862758,0.98881406,0.9737646,0.96242136,0.9600179,1.0,0.8,0.9,0.93333334,0.8,0.7291655,0.7099701,0.8188686,0.8381115,0.76219046,0.2,0.5,0.75,0.8333333,0.31666666,0.6,0.2,0.3,0.06666667,0.016666668,-0.4,0.3,0.45,0.76666665,0.3,0.7786178,0.14421818,-0.44230148,-0.27443448,0.07818391,-0.123014204,-0.29208374,-0.35728097,-0.14541239,0.016420778,0.6,0.7,0.55,0.6,0.5833333,0.4,0.3,0.45,0.4,0.41666666,0.2,0.4,0.1,0.2,0.16666667,0.37730235,0.6256409,0.56525034,0.6200335,0.6079876,0.62269765,0.37435907,0.43474966,0.37996647,0.39201242,-0.2453953,0.2512819,0.13050067,0.24006706,0.21597515,0.53715146,0.41912672,0.5153629,0.5271216,0.6739847,0.30182195,0.24068892,0.24207325,0.2283017,0.29890394,0.9895943,1.0999079,1.2205228,1.1395847,1.5065155,0.72303396,0.6290989,0.5656817,0.48848212,0.51728344,0.27696604,0.3709011,0.4343183,0.5115179,0.4827166,0.44606796,0.25819778,0.1313634,-0.023035737,0.034566846,1,1
2014-01-09,4.765333,4.6847997,4.7674665,4.6757336,17000624.0,-0.016899869,0.019250067,-0.8779122,0.00044768528,0.023256298,0.0019025123,0.09883147,-0.0154450415,-0.80233705,1.0171903,1.0176457,0.99806476,1.006603,1.0034155,0.9892988,0.96687156,0.9097224,1.0042578,1.0075479,0.99732476,0.9917768,0.99460393,0.0063903006,0.007954958,0.014227495,0.014777901,0.025907477,0.0014572095,-0.00053610624,0.001674604,0.0013223282,0.00023910604,0.12999943,0.041632973,0.48488134,0.6205185,0.025979493,-0.007172202,-0.005135408,-0.013233522,-0.010950583,-0.0016575532,1.0176457,1.0245903,1.0245903,1.0245903,1.0497497,0.99373865,0.98690814,0.9642532,0.9570812,0.90676236,1.0092896,1.0143443,1.0069218,1.0036887,1.0143443,0.9997496,0.99995446,0.9870675,0.9772314,0.9741348,0.6,0.3,0.6,0.73333335,0.65,0.26190284,0.34742868,0.5924517,0.6357486,0.652069,1.0,0.4,0.7,0.8,0.3,0.4,0.1,0.25,0.033333335,0.016666668,0.6,0.3,0.45,0.76666665,0.28333333,0.7203717,0.017013209,-0.45905232,-0.23227368,0.049171567,0.6499175,0.0051004565,-0.25004402,-0.07266909,0.046165857,0.6,0.6,0.55,0.56666666,0.56666666,0.4,0.4,0.45,0.43333334,0.43333334,0.2,0.2,0.1,0.13333334,0.13333334,0.40460497,0.47685084,0.53366715,0.5770247,0.58720016,0.595395,0.52314913,0.46633285,0.4229753,0.41279984,-0.19079003,-0.046298314,0.06733427,0.15404938,0.17440033,1.0552332,0.949046,1.107031,1.1034888,1.4370391,0.62130827,0.48856962,0.51284957,0.47846276,0.6370317,0.77782035,0.9716554,1.1575302,1.0952505,1.493714,0.44062263,0.5528597,0.50797397,0.47995335,0.5002265,0.5593774,0.4471403,0.49202603,0.52004665,0.4997735,-0.11875474,0.105719395,0.015947964,-0.04009328,0.00045297568,0,1
2014-01-10,4.7082667,4.7104,4.7184005,4.6624002,34698748.0,0.00045311142,0.011894023,0.038095724,0.0016992185,0.14286323,0.009741693,0.8190411,0.008495586,0.7142736,0.99954706,1.0016985,0.9898098,0.9942254,0.9993206,0.98233694,0.9705616,0.90511775,0.9999547,1.0021399,0.9927876,0.9873679,0.99077976,0.005818495,0.007888356,0.014072595,0.014586903,0.023313794,0.0003170242,-0.00082963356,0.001630088,0.0012938314,0.0001130046,0.007421703,0.10139372,0.46961474,0.6097206,0.007165824,-0.0005887376,0.0015934248,-0.008273436,-0.0061284774,0.005886616,1.012115,1.0190217,1.0190217,1.0190217,1.0440445,0.9883378,0.9883378,0.95901257,0.9574275,0.9074955,1.0038043,1.0088315,1.0014492,0.9994565,1.0088315,0.9945198,0.9945198,0.98442036,0.9728034,0.9702672,0.6,0.5,0.75,0.8333333,0.7,0.49047816,0.3800745,0.6830191,0.69117635,0.67744565,0.8,0.3,0.65,0.76666665,0.28333333,0.2,0.6,0.2,0.16666667,0.016666668,0.6,-0.3,0.45,0.6,0.26666668,0.5376698,-0.056000587,-0.37950134,-0.17346801,0.015703488,0.6220487,0.054510243,-0.20649858,-0.029954938,0.05265989,0.8,0.6,0.6,0.56666666,0.56666666,0.2,0.4,0.4,0.43333334,0.43333334,0.6,0.2,0.2,0.13333334,0.13333334,0.58763003,0.504386,0.5545453,0.5699675,0.59124553,0.41236997,0.495614,0.44545475,0.4300325,0.40875444,0.17526008,0.008772033,0.10909054,0.13993503,0.18249112,0.66032636,0.53091973,0.5621528,0.5564844,0.7131192,0.33417,0.28732628,0.27118725,0.24892186,0.3127052,0.639008,0.81846446,1.0908754,1.0912082,1.4708145,0.6849564,0.6113118,0.53617525,0.53098714,0.516838,0.31504366,0.38868818,0.46382475,0.4690129,0.48316202,0.36991268,0.22262362,0.07235053,0.061974242,0.033675984,1,1
2014-01-13,4.701334,4.7530675,4.7536006,4.6714673,29499370.0,0.011004003,0.01747021,0.6298724,0.000113394184,0.0064907167,0.006352813,0.36363688,0.017243423,0.9870186,0.9891158,1.0001122,0.9828321,0.9854128,0.98855466,0.970377,0.96039027,0.91460943,0.9938957,0.99428844,0.9853567,0.97982484,0.9833089,0.005934187,0.007908302,0.014010113,0.0145529965,0.02146175,0.00044887065,-0.00075416657,0.0016326702,0.0012959718,2.7658174e-05,0.01430408,0.083364174,0.47531515,0.61459345,0.0005065434,0.0052065304,0.009105311,-0.0008670485,0.0013835782,0.015875202,1.0030295,1.0098742,1.0098742,1.0098742,1.0346723,0.9809245,0.9794657,0.95040375,0.94883287,0.91539484,0.99928176,1.0004936,0.99479336,0.9912476,1.0004936,0.98994595,0.98559225,0.9782315,0.9646543,0.96319556,1.0,0.8,0.9,0.93333334,0.8,0.8629527,0.6752818,0.8339648,0.8382376,0.709314,0.6,0.2,0.6,0.73333335,0.26666668,0.8,0.5,0.15,0.13333334,0.016666668,-0.2,-0.3,0.45,0.6,0.25,0.46949035,-0.001921084,-0.30979273,-0.15314232,0.06805707,0.45587462,0.0017356165,-0.23223059,-0.050007097,0.011805313,0.8,0.7,0.65,0.6,0.56666666,0.2,0.3,0.35,0.4,0.43333334,0.6,0.4,0.3,0.2,0.13333334,0.67567575,0.5681819,0.5890684,0.5916886,0.58427465,0.32432425,0.43181813,0.41093162,0.40831143,0.41572535,0.35135147,0.13636374,0.17813678,0.18337713,0.1685493,0.87990856,0.6815802,0.68193614,0.6741796,0.8371609,0.36364487,0.34932745,0.32717317,0.29565263,0.3668557,0.30690843,0.6844042,1.0225728,1.0301398,1.4937618,0.6119662,0.57859457,0.53196084,0.5327452,0.49733666,0.38803378,0.42140546,0.46803918,0.46725482,0.5026634,0.22393242,0.15718909,0.06392165,0.06549037,-0.005326696,1,1
2014-01-14,4.759466,4.8304,4.8389335,4.744533,26302502.0,0.014903734,0.019834243,0.75141436,0.0017929485,0.09039662,0.0031375596,0.15818904,0.016248345,0.8192068,0.98531514,1.0017666,0.98222363,0.97780716,0.9864194,0.9665454,0.9403776,0.9293364,0.9824225,0.9797284,0.9712543,0.9661257,0.9687443,0.011429753,0.010163142,0.015340055,0.015028496,0.02091945,0.0047918856,0.00097430893,0.0019931411,0.0013427229,1.5588108e-05,0.4394194,0.08424591,0.59086776,0.61864775,0.00016935039,0.007993755,0.01588721,0.0098108575,0.014404821,0.030795868,1.0017666,1.0017666,1.0017666,1.0017666,1.0181077,0.96522033,0.9637849,0.9351882,0.9336425,0.92712826,0.9871924,0.9855804,0.98328376,0.97657067,0.9865518,0.9740974,0.96981335,0.9625704,0.95205927,0.9486364,1.0,1.0,1.0,1.0,0.9,0.9516608,0.95348763,0.97346556,0.9740676,0.8009698,1.0,1.0,1.0,1.0,0.25,0.6,0.4,0.1,0.1,0.43333334,0.4,0.6,0.9,0.9,-0.18333334,0.27912098,0.20811504,-0.20451356,-0.23183593,0.105640665,0.31112045,-0.036803555,-0.23379996,-0.094468944,0.0078119966,0.8,0.7,0.65,0.6333333,0.56666666,0.2,0.3,0.35,0.36666667,0.43333334,0.6,0.4,0.3,0.26666668,0.13333334,0.72789013,0.5799734,0.5996046,0.6331359,0.5728265,0.27210984,0.42002657,0.40039536,0.36686411,0.42717347,0.4557803,0.15994684,0.19920927,0.26627177,0.14565307,1.0929996,0.8140646,0.78551817,0.78126353,0.93444055,0.29210237,0.38647544,0.367997,0.3199436,0.40925652,0.3728231,0.73605907,1.000399,0.98275375,1.4967318,0.6008125,0.5594929,0.52829564,0.53778255,0.49358544,0.3991875,0.44050708,0.47170436,0.46221745,0.50641453,0.20162499,0.118985824,0.0565913,0.0755651,-0.012829119,1,0
2014-01-15,4.8485336,4.8357334,4.8736,4.8133335,36614996.0,-0.0026400182,0.01242984,-0.21239358,0.005169888,0.41592556,0.004619933,0.37168086,-0.0031899728,-0.2566383,1.002647,1.0078306,0.9953678,0.98202276,0.9908459,0.9424286,0.9477225,0.9338259,0.9849344,0.97956324,0.9730617,0.9668027,0.9687787,0.014182175,0.011672844,0.015242228,0.01593573,0.020825712,0.008723958,0.002951103,0.00197867,0.0014470906,1.1188626e-05,0.9459791,0.5859045,0.58981776,0.6390711,8.803464e-05,-0.0023823057,0.0071567902,0.008140978,0.012214465,0.030891199,1.0078306,1.0078306,1.0078306,1.0078306,1.0169847,0.9641558,0.96272194,0.9341568,0.9326128,0.9261057,0.9991177,0.9861036,0.98339045,0.97778755,0.9869636,0.97302306,0.96874374,0.965016,0.9533695,0.94816375,1.0,1.0,1.0,1.0,0.9,0.8207072,0.8264063,0.8937129,0.89589465,0.81310594,1.0,1.0,1.0,1.0,0.23333333,0.4,0.3,0.05,0.06666667,0.41666666,0.6,0.7,0.95,0.93333334,-0.18333334,0.5071785,0.61718184,0.054435212,-0.07698675,0.14521098,0.36287796,-0.0030591548,-0.073626906,-0.1924028,0.0110390335,0.8,0.7,0.7,0.6333333,0.56666666,0.2,0.3,0.3,0.36666667,0.43333334,0.6,0.4,0.4,0.26666668,0.13333334,0.7022318,0.55692697,0.69742745,0.6207949,0.56890213,0.29776818,0.44307303,0.30257258,0.37920514,0.43109787,0.40446368,0.11385394,0.39485484,0.24158974,0.13780427,0.7871979,0.6594378,0.5675953,0.57174486,0.67541057,0.21235175,0.27900556,0.2695931,0.24253762,0.2968793,0.60538334,0.74733496,0.8422621,1.0274247,1.5130112,0.5033525,0.6177278,0.5066003,0.52272725,0.5082266,0.49664748,0.38227218,0.49339965,0.47727272,0.49177346,0.006705061,0.23545565,0.013200675,0.045454536,0.01645309,1,0
