date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,13.624957,13.467887,13.659862,13.439964,24315514.0,-0.011528121,0.0161393,-0.71428883,0.0025618048,0.15873085,0.002049374,0.12698033,-0.012040553,-0.74603933,1.0116626,1.0142542,0.9979267,1.0181417,0.98600477,1.0437992,1.0436695,0.99278533,1.0147984,1.0119735,1.010101,1.0230227,1.0255191,0.008585986,0.008106613,0.016152708,0.023277987,0.023179047,-0.0046650134,0.00075393956,-0.00042567964,-0.0018029301,-7.1028546e-05,0.7380155,0.07928768,0.024307657,0.46490976,0.0028640102,-0.0054683355,-0.015366185,-0.0060569965,0.0031198727,-0.02342376,1.0276014,1.0276014,1.046391,1.0673834,1.0673834,0.9979267,0.9861345,0.98367226,0.98367226,0.9616558,1.0189451,1.0181417,1.0237654,1.0468056,1.0471134,1.012647,1.0050795,0.99100655,0.99994814,1.0046927,0.2,0.2,0.35,0.23333333,0.18333334,0.06986678,0.334375,0.26033282,0.19504863,0.36266991,0.4,0.7,0.15,0.26666668,0.6333333,1.0,0.1,0.45,0.6333333,0.033333335,-0.6,0.6,-0.3,-0.36666667,0.6,-0.9554059,-0.8626289,-0.42823932,-0.3105864,-0.113955006,-0.70283335,-0.1244987,-0.48747262,-0.32669005,-0.25329202,0.2,0.5,0.45,0.4,0.46666667,0.8,0.5,0.55,0.6,0.51666665,-0.6,0.0,-0.1,-0.2,-0.05,0.15345785,0.59712327,0.35017723,0.39952335,0.50653267,0.8465422,0.4028767,0.6498228,0.6004767,0.49346733,-0.6930843,0.19424658,-0.29964554,-0.2009533,0.013065356,0.66295606,0.8720545,1.069506,1.0236107,1.0739576,0.2033653,0.37729052,0.5937441,0.5126863,0.46546435,1.496896,1.0699838,1.8494834,1.7621375,1.2619869,1.0,0.53882706,0.5044508,0.5009935,0.50878364,0.0,0.4611729,0.49554917,0.49900654,0.49121636,1.0,0.077654175,0.008901628,0.0019869495,0.01756729,0,0
2014-01-03,13.490574,13.42949,13.572598,13.427746,18751186.0,-0.004527887,0.010737322,-0.4216961,0.00608014,0.5662622,0.00012929548,0.012041688,-0.010478731,-0.9759166,1.0045484,1.0106562,0.9998701,1.025081,1.0094868,1.0331385,1.0385964,0.97839534,1.0126836,1.0139182,1.011332,1.0246611,1.0288113,0.010362832,0.009297071,0.015717031,0.023684485,0.022615597,-0.0060039307,-0.0004134902,-0.00029430212,-0.0018882557,-0.00020271336,0.8391787,0.018132161,0.012271956,0.49260113,0.024504647,-0.00067573553,-0.012057446,-0.008536178,0.0027186708,-0.02283124,1.0305395,1.0305395,1.0493828,1.0704352,1.0704352,0.9998701,0.9998701,0.9864847,0.9864847,0.9644053,1.0208448,1.0210528,1.0218585,1.0497985,1.0501072,1.0022873,1.0028071,0.99384,1.0020792,1.0075653,0.2,0.1,0.3,0.2,0.15,0.004234963,0.004234963,0.21487603,0.16099112,0.33570448,0.2,0.6,0.1,0.23333333,0.6166667,1.0,1.0,0.4,0.6,0.016666668,-0.8,-0.4,-0.3,-0.36666667,0.6,-0.82672054,-0.73117054,-0.4603771,-0.293618,-0.06275988,-0.6038354,-0.57692546,-0.46819058,-0.3219352,-0.20077649,0.0,0.4,0.45,0.4,0.46666667,1.0,0.6,0.55,0.6,0.51666665,-1.0,-0.2,-0.1,-0.2,-0.05,0.0,0.41288653,0.37798953,0.4092852,0.5200263,1.0,0.5871135,0.62201047,0.5907148,0.4799737,-1.0,-0.17422695,-0.24402095,-0.18142962,0.04005262,0.92549425,1.0741941,1.3589199,1.3162547,1.3770307,0.2452515,0.46542913,0.7734938,0.66750056,0.60138154,1.4828119,0.98623836,1.9757719,1.8020387,1.2999892,0.6783373,0.39586496,0.47242618,0.48753598,0.48350114,0.32166275,0.60413504,0.5275738,0.51246405,0.51649886,0.35667452,-0.20827004,-0.055147644,-0.02492806,-0.03299774,0,1
2014-01-06,13.420763,13.293361,13.499297,13.265438,30326790.0,-0.009492925,0.017425168,-0.5447824,0.005851689,0.3358182,0.0020805546,0.11939939,-0.01326406,-0.7612012,1.009584,1.0154917,0.99789953,1.0315088,1.012866,1.0466064,1.0462126,0.9848812,1.0167521,1.0230144,1.0193582,1.0336136,1.0395987,0.013227165,0.011724441,0.015442547,0.02466667,0.022313451,-0.008139723,-0.0025055744,-0.00021371011,-0.0020581258,-0.00036160645,0.946729,0.41864097,0.0067031705,0.539541,0.08010114,-0.0004726848,-0.011739395,-0.017327927,-0.0037707365,-0.028931316,1.0349222,1.0410926,1.0601288,1.0813968,1.0813968,0.99789953,0.99789953,0.99658674,0.99658674,0.99626654,1.0295655,1.0315088,1.0315088,1.0605489,1.0608608,1.0081923,1.0125512,1.0036498,1.0090063,1.0178832,0.2,0.1,0.1,0.06666667,0.033333335,0.056735322,0.048630316,0.05371675,0.040246088,0.04385576,0.2,0.5,0.05,0.2,0.6,1.0,1.0,0.35,0.56666666,0.016666668,-0.8,-0.5,-0.3,-0.36666667,0.5833333,-0.8935004,-0.7322823,-0.47390237,-0.32036546,-0.068684496,-0.6528942,-0.6550667,-0.48225027,-0.34603426,-0.22100158,0.0,0.4,0.4,0.4,0.46666667,1.0,0.6,0.6,0.6,0.51666665,-1.0,-0.2,-0.2,-0.2,-0.05,0.0,0.3896389,0.33878228,0.39598042,0.5137035,1.0,0.6103611,0.66121775,0.6040196,0.48629645,-1.0,-0.22072223,-0.32243547,-0.20803915,0.027407091,0.6871199,0.65646255,0.8591965,0.8196767,0.8531133,0.21648505,0.27627772,0.47660598,0.4141159,0.37228492,1.1170175,0.99770737,1.8723439,1.7403907,1.2807966,0.80509406,0.48026025,0.53007716,0.5101153,0.50287247,0.19490594,0.51973975,0.46992284,0.48988464,0.49712756,0.6101881,-0.039479498,0.060154308,0.020230697,0.0057448917,0,1
2014-01-07,13.377133,13.474866,13.50977,13.345719,23384406.0,0.0073059406,0.012263543,0.59574467,0.0026092646,0.21276596,0.002348338,0.19148937,0.0070450143,0.5744681,0.99274707,1.0025903,0.99041575,1.0173554,1.0058281,1.0353582,1.0559511,0.995628,0.9995855,1.0086517,1.0038596,1.0178258,1.0256683,0.01031684,0.011899278,0.013562682,0.023592314,0.02191905,-0.0043517426,-0.0032026197,0.0001782064,-0.0019073703,-0.00044948756,0.44480833,0.6640198,0.006042595,0.5065597,0.12826018,0.009117995,0.0057600406,-0.005552567,0.009831026,-0.012408392,1.0203338,1.0270692,1.0420932,1.0668305,1.0668305,0.9844579,0.9844579,0.9831628,0.9831628,0.9831628,1.0030565,1.0176145,1.0174072,1.043673,1.0465711,0.99461204,0.99891216,0.9901307,0.99541503,1.0041723,0.8,0.4,0.5,0.33333334,0.18333334,0.4332184,0.36474147,0.2857136,0.2012389,0.2012389,0.2,0.4,0.05,0.16666667,0.5833333,0.8,0.9,0.3,0.53333336,0.76666665,-0.6,-0.5,-0.25,-0.36666667,-0.18333334,-0.8152243,-0.85065997,-0.48405343,-0.4100521,-0.08205057,-0.7619744,-0.7205852,-0.4997238,-0.49957523,-0.20865849,0.2,0.4,0.4,0.4,0.46666667,0.8,0.6,0.6,0.6,0.51666665,-0.6,-0.2,-0.2,-0.2,-0.05,0.30409384,0.45472896,0.3846154,0.36600524,0.5040962,0.69590616,0.54527104,0.61538464,0.63399476,0.49590376,-0.3918123,-0.09054206,-0.23076923,-0.26798952,0.008192452,0.97512925,0.7956678,1.1231028,1.0427278,1.10948,0.22080198,0.26848406,0.6149821,0.52713346,0.48149934,0.73894614,1.0057054,1.7739501,1.8094913,1.2894022,0.6409915,0.3957867,0.51043653,0.47225225,0.504066,0.3590085,0.6042133,0.48956344,0.52774775,0.495934,0.281983,-0.20842658,0.020873124,-0.05549552,0.008132001,1,1
2014-01-08,13.487082,13.617973,13.638916,13.471375,29161892.0,0.009704975,0.012422298,0.7812545,0.0015527961,0.12500072,0.0011645263,0.093744844,0.009316706,0.74999857,0.99038833,1.0015379,0.989235,1.0046134,1.0037167,1.0217868,1.042548,0.9941073,0.98815846,0.9976804,0.992221,1.0057116,1.0149881,0.008522928,0.01163337,0.011769768,0.022391422,0.021606188,0.0025374454,-0.002685075,0.00072152866,-0.0016890616,-0.0005043982,0.22159289,0.4883297,0.13153443,0.44099066,0.16622281,0.006766661,0.014402396,0.00092448643,0.01877986,-0.00010828313,1.003076,1.016276,1.016276,1.0556195,1.0556195,0.9741125,0.9741125,0.972831,0.972831,0.972831,0.991593,1.0069206,1.0050236,1.0260414,1.035573,0.98415995,0.9884149,0.9797257,0.98495454,0.9945406,1.0,0.5,0.7,0.46666667,0.28333333,0.8937988,0.6139787,0.6253651,0.32817337,0.32817337,0.2,0.3,0.65,0.13333334,0.56666666,0.6,0.8,0.25,0.5,0.75,-0.4,-0.5,0.4,-0.36666667,-0.18333334,-0.00461912,-0.790775,-0.5224423,-0.43266287,-0.1072333,-0.59415483,-0.50713813,-0.46025267,-0.47659683,-0.19406196,0.4,0.4,0.45,0.43333334,0.46666667,0.6,0.6,0.55,0.56666666,0.51666665,-0.2,-0.2,-0.1,-0.13333334,-0.05,0.4558843,0.4717332,0.4316712,0.40095413,0.50556314,0.5441157,0.5282668,0.5683288,0.5990459,0.49443686,-0.08823139,-0.05653359,-0.13665758,-0.19809173,0.011126278,0.8637285,0.6631548,0.911689,0.8435447,0.89725447,0.16051652,0.2425797,0.49273896,0.42358834,0.38368332,0.4621632,0.98519874,1.6883372,1.7382689,1.2750944,0.6614236,0.5682357,0.5161639,0.5130834,0.5123663,0.33857635,0.4317643,0.48383614,0.48691657,0.4876337,0.32284728,0.1364714,0.032327738,0.026166856,0.024732577,1,0
2014-01-09,13.624957,13.542932,13.630193,13.403315,23954530.0,-0.0060202414,0.01665166,-0.36154,0.0003842707,0.02307702,0.0102471495,0.61538297,0.0038426372,0.230766,1.0060567,1.0064433,0.9896908,0.99445873,1.0125,0.9971648,1.0400771,1.0032121,0.9947421,1.0019586,0.99786067,1.0099483,1.0205586,0.009048429,0.011254103,0.011844973,0.02192954,0.021773417,0.0040722024,-0.0022555424,0.0007493645,-0.0015726503,-0.000570475,0.5063517,0.36820668,0.14008321,0.39857218,0.20937265,-0.0028865149,0.008191325,-0.0049796384,0.012855123,-0.0037295604,1.0070875,1.0219072,1.0219072,1.0614687,1.0614687,0.97951007,0.97951007,0.9782215,0.9782215,0.9782215,1.0011082,1.0122938,1.0105925,1.0279897,1.0413111,0.98961323,0.9938917,0.98515445,0.9904122,0.999433,0.8,0.5,0.55,0.4,0.21666667,0.7429983,0.48328525,0.4985267,0.26161227,0.26161227,0.8,0.2,0.6,0.1,0.55,0.4,0.7,0.2,0.46666667,0.73333335,0.4,-0.5,0.4,-0.36666667,-0.18333334,-0.03203348,-0.77200645,-0.6337643,-0.46307772,-0.11970203,-0.31995818,-0.44611862,-0.0048087514,-0.4633813,-0.18900128,0.4,0.3,0.45,0.43333334,0.45,0.6,0.7,0.55,0.56666666,0.53333336,-0.2,-0.4,-0.1,-0.13333334,-0.083333336,0.56534934,0.40866235,0.5104568,0.40604258,0.49699527,0.43465066,0.5913377,0.4895432,0.5939574,0.5030047,0.13069865,-0.18267533,0.02091363,-0.18791485,-0.006009479,1.0484765,0.8607115,1.0024794,1.0243675,1.0969993,0.1962271,0.27427286,0.36014006,0.51560557,0.46467695,0.5500649,0.8943429,0.98296905,1.75759,1.2674862,0.49485296,0.6326334,0.33143362,0.4963256,0.50624466,0.50514704,0.3673666,0.6685664,0.5036744,0.49375534,-0.010294074,0.26526675,-0.33713275,-0.0073487926,0.01248934,0,0
2014-01-10,13.535948,13.555145,13.610992,13.429489,18527720.0,0.0014182578,0.013408983,0.10576923,0.004125841,0.30769232,0.007864884,0.58653843,0.005157301,0.3846154,0.99858373,1.00412,0.99073,0.99073005,1.0155786,0.9836488,1.0494398,0.98446935,0.9956998,0.99949795,0.99777913,1.0073903,1.0198978,0.0091908425,0.010020934,0.01142388,0.020585436,0.021418035,0.0043646507,-0.0013429093,0.0005818933,-0.0013509137,-0.00066176563,0.56380427,0.1646222,0.0908087,0.33376187,0.29117158,-0.004429096,0.0065451465,-0.0033071134,0.012197939,-0.00037576814,1.00618,1.0209864,1.0209864,1.0605123,1.0605123,0.9786275,0.9786275,0.9773401,0.9773401,0.9773401,1.000927,1.0096818,1.0096818,1.0264196,1.0403728,0.9913995,0.9929962,0.9846271,0.9895198,0.9997168,0.8,0.6,0.6,0.46666667,0.23333333,0.7757009,0.5045568,0.51917076,0.27244568,0.27244568,0.6,0.1,0.55,0.06666667,0.53333336,0.2,0.6,0.15,0.43333334,0.71666664,0.4,-0.5,0.4,-0.36666667,-0.18333334,-0.39203516,-0.70719045,-0.5981475,-0.50552523,-0.112702355,-0.3966065,-0.4660639,-0.12062194,-0.47094217,-0.17443326,0.6,0.3,0.5,0.43333334,0.46666667,0.4,0.7,0.5,0.56666666,0.51666665,0.2,-0.4,0.0,-0.13333334,-0.05,0.6146494,0.38067052,0.5660773,0.37863466,0.51501757,0.38535058,0.6193295,0.4339227,0.62136537,0.48498243,0.22929882,-0.23865898,0.13215461,-0.2427307,0.03003512,1.3531653,1.144911,1.2243204,1.3125478,1.413946,0.2578093,0.3242072,0.38423994,0.66920984,0.6028857,0.6291505,0.9325181,1.0242002,1.8262753,1.3029039,0.4968012,0.55692816,0.39590013,0.48703775,0.4955014,0.5031988,0.44307187,0.60409987,0.5129623,0.5044986,-0.0063976026,0.11385627,-0.20819974,-0.025924513,-0.008997219,1,0
2014-01-13,13.504537,13.110117,13.506282,13.047289,41956812.0,-0.029206457,0.03398806,-0.8593153,0.00012923243,0.0038022893,0.0046523674,0.13688241,-0.024683323,-0.72623515,1.0300851,1.0302182,0.99520767,1.0139773,1.0459265,1.018104,1.0865281,1.0355359,1.0267038,1.0288336,1.030744,1.0387024,1.0539265,0.015422515,0.013809465,0.013480206,0.020842314,0.023115322,-0.0060436223,-0.002378405,-6.4356565e-05,-0.0013551305,-0.00080577866,0.38390544,0.2719126,0.0007977388,0.32762122,0.37062225,-0.014616532,-0.018130844,-0.030132566,-0.019052926,-0.03015597,1.0403352,1.0493876,1.0556443,1.0965118,1.0965118,0.99520767,0.99520767,0.99520767,0.99520767,0.99520767,1.0349039,1.0396962,1.0439559,1.0588924,1.0756887,1.0222576,1.0222842,1.017545,1.0180507,1.032428,0.2,0.1,0.05,0.033333335,0.016666668,0.106195375,0.088452205,0.07929525,0.04730638,0.04730638,0.4,0.1,0.5,0.033333335,0.51666665,1.0,1.0,1.0,1.0,1.0,-0.6,-0.9,-0.5,-0.96666664,-0.48333332,-0.7679461,-0.80100834,-0.6686543,-0.5149823,-0.15668467,-0.7890097,-0.75659573,-0.4751352,-0.57271814,-0.2750181,0.6,0.3,0.45,0.4,0.45,0.4,0.7,0.55,0.6,0.53333336,0.2,-0.4,-0.1,-0.2,-0.083333336,0.39307708,0.26402137,0.4437097,0.322015,0.4677492,0.6069229,0.7359786,0.55629027,0.677985,0.53225076,-0.21384586,-0.47195724,-0.112580575,-0.35597003,-0.06450156,0.6529827,0.5748198,0.5576977,0.6021255,0.62951547,0.21374975,0.19487631,0.19711003,0.30109003,0.27048895,1.2622365,1.3893622,1.3947525,1.6992716,1.3315214,0.62429714,0.69281435,0.55349725,0.55323744,0.5115877,0.37570283,0.30718565,0.44650277,0.44676253,0.4884123,0.24859433,0.38562873,0.10699446,0.10647493,0.023175409,0,1
2014-01-14,13.110116,13.169454,13.326524,13.045543,53440732.0,0.004526094,0.021432387,0.21118012,0.011980837,0.5590062,0.004925455,0.22981367,-0.0025292877,-0.11801242,0.9954943,1.0119269,0.99059105,1.023191,1.0409489,1.0117942,1.0795119,1.0401165,1.0174396,1.0201032,1.0255101,1.031372,1.0485092,0.018176146,0.014291262,0.014310752,0.01979365,0.023846565,-0.01009802,-0.0025708703,-0.00066279905,-0.0012548021,-0.0008981257,0.77162945,0.2966406,0.075077,0.31145862,0.43263578,0.0027563996,-0.008534322,-0.019213503,-0.013177285,-0.022014523,1.0356479,1.0439963,1.050888,1.0825603,1.0915713,0.99059105,0.99059105,0.99059105,0.99059105,0.99059105,1.030241,1.030241,1.0392523,1.0469651,1.070842,0.9990989,1.007527,1.0124832,1.0130929,1.0249933,0.4,0.2,0.1,0.06666667,0.033333335,0.20882453,0.17618033,0.15604396,0.102305554,0.093176186,0.2,0.1,0.45,0.033333335,0.5,1.0,1.0,1.0,1.0,1.0,-0.8,-0.9,-0.55,-0.96666664,-0.5,-0.84319407,-0.8140719,-0.74526805,-0.51484644,-0.21953368,-0.69814926,-0.7178357,-0.46430007,-0.5589237,-0.2601617,0.6,0.4,0.5,0.43333334,0.45,0.4,0.6,0.5,0.56666666,0.53333336,0.2,-0.2,0.0,-0.13333334,-0.083333336,0.2921596,0.29750896,0.46379203,0.3373101,0.46310842,0.70784044,0.70249104,0.536208,0.66268986,0.5368916,-0.41568083,-0.4049821,-0.07241597,-0.32537976,-0.07378313,0.62514746,0.5259205,0.46629965,0.49822772,0.5050329,0.265163,0.21526352,0.1993146,0.25069526,0.22130047,1.3214251,1.2469313,1.3216918,1.6467355,1.3249209,0.79280585,0.7314243,0.60812926,0.57387453,0.5309817,0.20719416,0.26857573,0.3918707,0.42612547,0.4690183,0.5856117,0.4628485,0.21625857,0.14774905,0.061963383,1,0
2014-01-15,13.183414,13.296854,13.321287,13.160727,24811156.0,0.008604717,0.012178985,0.70652175,0.0018533238,0.1521739,0.0017209435,0.14130434,0.008472337,0.6956522,0.99146867,1.0018375,0.9897624,1.02415,1.0288749,1.0035436,1.0640503,1.0376081,1.0028613,1.0074419,1.0155072,1.019355,1.0378364,0.015555622,0.012834386,0.014354391,0.018250072,0.024134558,-0.006601913,-0.0018732952,-0.0010722087,-0.0010879061,-0.00095402414,0.450303,0.19528717,0.19527975,0.27539453,0.4765845,0.010342527,0.0009879313,-0.005321267,-0.0035804387,-0.009692693,1.025069,1.0273002,1.040819,1.0652316,1.0811127,0.98109996,0.98109996,0.98109996,0.98109996,0.98109996,1.0186901,1.0186901,1.029295,1.0320514,1.060582,0.9895263,0.9978736,0.9999474,1.0026249,1.0132825,0.6,0.4,0.25,0.16666667,0.083333336,0.42984912,0.40908936,0.3164823,0.22464871,0.18897633,0.2,0.1,0.4,0.033333335,0.48333332,0.8,0.9,0.95,0.96666664,0.98333335,-0.6,-0.8,-0.55,-0.93333334,-0.5,-0.87529266,-0.7315748,-0.7323204,-0.4876156,-0.21447821,-0.8645385,-0.7484544,-0.4996135,-0.580188,-0.28621945,0.6,0.5,0.5,0.46666667,0.45,0.4,0.5,0.5,0.53333336,0.53333336,0.2,0.0,0.0,-0.06666667,-0.083333336,0.2766968,0.36585417,0.48954338,0.37007406,0.46521774,0.7233032,0.63414586,0.5104566,0.62992597,0.53478223,-0.4466064,-0.26829168,-0.020913245,-0.2598519,-0.069564514,1.3114339,1.1633103,1.0004065,1.0842445,1.0869838,0.5893643,0.44110757,0.42894283,0.5347232,0.47676763,1.3778062,1.13843,1.2533538,1.6104004,1.3203403,0.47067317,0.53408587,0.4940686,0.51372635,0.49896535,0.5293268,0.46591416,0.50593144,0.48627365,0.5010347,-0.058653627,0.068171695,-0.011862817,0.02745273,-0.0020693168,1,0
