date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,24.511362,24.426311,24.713356,24.411428,1794712.5,-0.0034698432,0.012317861,-0.281692,0.008240829,0.6690146,0.0006071895,0.049293417,-0.011103483,-0.90141314,1.003482,1.0117514,0.9993907,1.0057452,0.9975627,1.0093141,1.0353413,1.0043523,1.0057626,1.001767,1.0031338,1.0118443,1.0151681,0.0042284853,0.006371709,0.0073318435,0.014678378,0.015508424,-0.00022632394,0.0013331351,-0.0002676875,-0.0013027089,-0.00031475635,0.0071619526,0.40128034,0.04665496,0.61043626,0.12563583,-0.0053098984,-0.007766206,-0.0005907092,0.007045,-0.005882724,1.0234158,1.0234158,1.0251566,1.0531859,1.0585829,0.9993907,0.9836352,0.9836352,0.9836352,0.9826776,1.0085132,1.0063719,1.0083914,1.0296831,1.0305711,1.0029944,0.9969534,0.9973016,0.9975279,1.0029944,0.2,0.5,0.45,0.3,0.2,0.025361177,0.41137743,0.3941291,0.23529325,0.22821079,0.8,0.9,0.2,0.16666667,0.18333334,1.0,0.1,0.55,0.7,0.21666667,-0.2,0.8,-0.35,-0.53333336,-0.033333335,-0.5497263,-0.8809232,-0.5111302,-0.68383414,-0.48804438,-0.64265376,-0.73431695,-0.53127253,-0.38754869,-0.57876086,0.6,0.6,0.5,0.46666667,0.5,0.4,0.4,0.5,0.53333336,0.5,0.2,0.2,0.0,-0.06666667,0.0,0.36134407,0.5249996,0.45750594,0.4032411,0.4951607,0.63865596,0.47500035,0.54249406,0.5967589,0.5048393,-0.27731186,0.049999278,-0.08498814,-0.1935178,-0.009678631,0.68050313,1.0033019,1.0616876,0.90481305,0.82441914,0.1962897,0.5601552,0.4591364,0.4510746,0.46571746,1.2943012,0.9925672,0.7613136,0.8913106,2.4765804,0.7801673,0.49971974,0.49518833,0.522823,0.51159346,0.21983273,0.50028026,0.50481164,0.47717702,0.4884065,0.5603345,-0.00056053814,-0.00962332,0.04564594,0.023186972,0,1
2014-01-03,24.464584,24.46246,24.592161,24.234951,2430104.8,-8.685152e-05,0.014601113,-0.005948281,0.0052147554,0.3571478,0.0092995055,0.6369039,0.0039978987,0.2738078,1.0000869,1.0053021,0.9906997,1.0022599,0.99808776,1.0047804,1.0285094,0.9936549,1.0038244,1.000478,1.0014124,1.0093988,1.0137737,0.0045964243,0.0063174358,0.0072914516,0.014359848,0.015367739,-0.001686212,0.001168921,-0.00024147778,-0.001242309,-0.00037061804,0.33645278,0.31383404,0.038387906,0.5800444,0.17739159,-0.00045194782,-0.005738158,0.00088164734,0.0086147105,-0.002840447,1.0219034,1.0219034,1.0236418,1.0516297,1.0570186,0.9906997,0.9881791,0.98218167,0.98218167,0.9812255,1.007023,1.0048847,1.0069013,1.0279356,1.0290482,0.9997045,0.99548024,0.9958279,0.9960539,1.0018078,0.4,0.5,0.5,0.33333334,0.2,0.29805097,0.35051602,0.42977044,0.25657097,0.24770722,0.6,0.8,0.15,0.13333334,0.16666667,1.0,0.2,0.5,0.6666667,0.2,-0.4,0.6,-0.35,-0.53333336,-0.033333335,-0.68378943,-0.86895734,-0.5040578,-0.66735697,-0.5104975,-0.55310416,-0.762094,-0.5530949,-0.41246033,-0.5764585,0.8,0.6,0.55,0.5,0.51666665,0.2,0.4,0.45,0.5,0.48333332,0.6,0.2,0.1,0.0,0.033333335,0.44396758,0.5198557,0.47784087,0.42015582,0.5071893,0.5560324,0.4801443,0.52215916,0.5798442,0.4928107,-0.11206487,0.03971139,-0.044318266,-0.15968832,0.014378603,0.6057286,0.7304432,0.80721885,0.69321334,0.617386,0.26360607,0.40463176,0.33714834,0.3288074,0.34723702,1.2221434,1.0227135,0.7639816,0.8887297,2.4995909,0.8220933,0.4842829,0.5365108,0.54925203,0.5183687,0.17790669,0.5157171,0.46348915,0.45074794,0.48163128,0.6441866,-0.031434186,0.0730217,0.098504126,0.036737416,1,1
2014-01-06,24.477343,24.39867,24.564518,24.298737,1856323.5,-0.003214091,0.010858262,-0.29600418,0.003561472,0.3279965,0.0040826993,0.3759993,-0.002692864,-0.24800138,1.0032245,1.0067974,0.99590415,1.007146,0.9980829,1.0124619,1.0307626,0.9911983,1.0050197,1.0032854,1.0034075,1.0110124,1.0165708,0.0053814333,0.0061928756,0.007081559,0.014110415,0.015204229,-0.0027712393,0.00066917046,-0.00016656137,-0.0011940842,-0.00044126756,0.6629674,0.10702871,0.019362384,0.55499876,0.25690645,0.00052284525,-0.0062967055,-0.0018251161,0.0063018347,-0.0035534531,1.0245752,1.0245752,1.0263181,1.0543791,1.0597821,0.9932898,0.9907626,0.9847495,0.9847495,0.9837909,1.0096558,1.007512,1.007512,1.0251504,1.0317386,1.0009063,0.99961656,0.99843144,0.998658,1.0044271,0.2,0.3,0.4,0.26666668,0.15,0.21448275,0.27319387,0.3668753,0.21902286,0.21330248,0.4,0.7,0.1,0.1,0.15,0.8,0.1,0.45,0.6333333,0.18333334,-0.4,0.6,-0.35,-0.53333336,-0.033333335,-0.82238275,-0.87036127,-0.5151263,-0.6431106,-0.52849656,-0.27004576,-0.7686762,-0.5697015,-0.4013526,-0.57117033,0.6,0.6,0.5,0.5,0.51666665,0.4,0.4,0.5,0.5,0.48333332,0.2,0.2,0.0,0.0,0.033333335,0.3262723,0.51985484,0.4410551,0.4151035,0.51000196,0.6737277,0.48014516,0.5589449,0.5848965,0.48999804,-0.3474554,0.039709706,-0.1178898,-0.16979304,0.020003919,0.903471,0.9494299,1.0601596,0.92808884,0.81286204,0.29100955,0.52854496,0.44059914,0.41905373,0.4550869,1.0704745,1.0282538,0.78686035,0.86277246,2.505895,0.7359879,0.49213153,0.5040997,0.5302609,0.5075508,0.2640121,0.50786847,0.49590027,0.46973905,0.4924492,0.47197577,-0.015736936,0.008199453,0.06052188,0.015101589,0,1
2014-01-07,24.468838,24.677208,24.751629,24.441195,1710056.2,0.008515738,0.012686926,0.6712215,0.0030414574,0.23973162,0.001129731,0.08904686,0.0066040116,0.5205368,0.99155617,1.0030158,0.99043596,0.9975875,0.9795796,1.011115,1.0224023,0.9992246,0.9941582,0.9940031,0.991526,0.9988541,1.0051094,0.0058474257,0.004796307,0.005738564,0.013271599,0.015027815,-0.0003015776,0.00027467063,0.0002489612,-0.0010207796,-0.00045459432,0.0066498015,0.030062279,0.06587566,0.45847872,0.27909768,0.0064449245,0.0047608376,0.006108876,0.01594721,0.00830105,1.0130105,1.0130105,1.0147338,1.0424781,1.0478201,0.9820783,0.980872,0.9736344,0.9736344,0.9726866,1.0001895,0.99807,0.99613994,1.011339,1.0200931,0.9896088,0.9896088,0.98716193,0.98738587,0.9930898,0.8,0.9,0.9,0.6666667,0.43333334,0.5793853,0.5951737,0.64150846,0.3829776,0.36353162,0.2,0.6,0.05,0.06666667,0.13333334,0.6,0.1,0.4,0.6,0.16666667,-0.4,0.5,-0.35,-0.53333336,-0.033333335,-0.6894651,-0.5968076,-0.57660633,-0.618683,-0.54700404,-0.5047597,-0.62487316,-0.55816287,-0.418745,-0.5564942,0.6,0.7,0.5,0.5,0.51666665,0.4,0.3,0.5,0.5,0.48333332,0.2,0.4,0.0,0.0,0.033333335,0.54046166,0.6971697,0.44743273,0.4401471,0.5009077,0.45953837,0.30283025,0.55256724,0.5598529,0.49909228,0.08092328,0.3943395,-0.105134524,-0.119705774,0.0018154548,1.0508251,0.89320683,1.1552668,1.0222956,0.8917171,0.257556,0.32818356,0.47635823,0.44682756,0.49079692,0.82285243,0.8995923,0.7883478,0.82316834,2.4923906,0.6469096,0.30666256,0.50487876,0.52015454,0.5141506,0.3530904,0.69333744,0.4951212,0.47984543,0.48584938,0.29381916,-0.3866749,0.009757576,0.04030911,0.028301228,1,0
2014-01-08,24.672956,24.645317,24.853687,24.445448,2055265.6,-0.0011202301,0.016546026,-0.06770388,0.0073250574,0.44270796,0.008100738,0.48958814,-0.00034454942,-0.020823697,1.0011215,1.0084548,0.9918902,1.002243,0.98809415,1.0016391,1.033733,1.0083685,0.9949961,0.99648,0.99272704,0.9990222,1.0062706,0.0052595274,0.0042664255,0.0056238025,0.011678451,0.015067571,0.002648615,5.228927e-05,0.0004914349,-0.0007914162,-0.00046237162,0.6339926,0.0013769186,0.26726365,0.3559108,0.28720745,-0.00029328445,0.0032847386,0.0026043057,0.012453361,0.00736935,1.0084548,1.0143213,1.0143213,1.043827,1.049176,0.98334914,0.98334914,0.9748943,0.9748943,0.97394526,1.0002588,1.0002588,0.99742895,1.0043482,1.0214131,0.9908894,0.9922871,0.98843926,0.98866355,0.9943749,0.8,0.8,0.9,0.6333333,0.40833333,0.66323256,0.5376062,0.636763,0.36420578,0.3463313,1.0,0.5,0.75,0.033333335,0.11666667,0.4,0.7,0.35,0.56666666,0.15,0.6,-0.2,0.4,-0.53333336,-0.033333335,-0.17968558,-0.33095813,-0.63177973,-0.5911238,-0.55104584,-0.5064096,-0.58942914,-0.5233425,-0.42850643,-0.5632223,0.4,0.6,0.5,0.46666667,0.5,0.6,0.4,0.5,0.53333336,0.5,-0.2,0.2,0.0,-0.06666667,0.0,0.45962864,0.6296994,0.4914953,0.40560138,0.4900636,0.54037136,0.37030062,0.5085047,0.5943986,0.5099364,-0.08074271,0.2593988,-0.017009398,-0.18879722,-0.019872766,0.95816934,0.7332723,0.9524828,0.8682151,0.7513463,0.13979104,0.26020637,0.39330477,0.36565322,0.40768602,0.8719298,1.0176034,0.8211491,0.8521897,2.5066037,0.68716794,0.47796884,0.4880303,0.5283148,0.51704544,0.31283206,0.5220311,0.5119697,0.47168517,0.48295456,0.3743359,-0.04406229,-0.023939345,0.056629665,0.034090906,0,0
2014-01-09,24.706976,24.666578,24.819668,24.447575,1715229.8,-0.0016350703,0.015060249,-0.108568616,0.004561136,0.30285928,0.008864042,0.5885721,0.0026678357,0.1771442,1.0016377,1.0062064,0.9911214,0.9902594,0.9959486,0.9941384,1.0209465,1.0093957,0.99608654,0.99602616,0.9921645,0.99746287,1.0052466,0.0052629714,0.0044841166,0.0058897655,0.010856376,0.0150612155,0.002654946,0.00031293422,0.0006429299,-0.0006217293,-0.00046406404,0.6361937,0.04464407,0.41706073,0.25417605,0.28955802,-0.0013964316,0.0025656086,0.0017277006,0.011552219,0.0084432205,1.0075855,1.013447,1.013447,1.0290492,1.0482717,0.9825015,0.9825015,0.974054,0.974054,0.9731057,1.0000862,1.0000862,0.99824154,1.0013964,1.0205327,0.99120766,0.9914318,0.98758733,0.9878114,0.99351776,0.8,0.8,0.9,0.7,0.45,0.69759494,0.5654598,0.6586436,0.47178718,0.35779852,0.8,0.4,0.7,0.06666667,0.1,0.2,0.6,0.3,0.53333336,0.13333334,0.6,-0.2,0.4,-0.46666667,-0.033333335,-0.49260113,-0.29183778,-0.6751446,-0.5958984,-0.55374956,-0.037668582,-0.43280536,-0.50516945,-0.41550055,-0.56242716,0.6,0.6,0.55,0.5,0.5,0.4,0.4,0.45,0.5,0.5,0.2,0.2,0.1,0.0,0.0,0.7783267,0.553288,0.53238094,0.43746778,0.48880675,0.2216733,0.44671205,0.4676191,0.5625322,0.5111932,0.55665344,0.10657592,0.06476185,-0.1250644,-0.02238647,1.1388538,0.92544556,1.0962846,1.048268,0.90896165,0.1756283,0.28820232,0.436675,0.4350725,0.4855303,1.1572104,1.1544925,0.87823635,0.90082765,2.5068414,0.4805255,0.6110316,0.44675747,0.5106341,0.51300305,0.5194745,0.38896838,0.55324256,0.48936588,0.48699695,-0.038949035,0.22206324,-0.10648508,0.021268254,0.026006088,1,1
2014-01-10,24.666578,24.54113,24.768637,24.3604,1199767.2,-0.005085757,0.016550226,-0.3072923,0.004137518,0.24999766,0.0073269513,0.44271004,-0.0018963238,-0.11457992,1.0051118,1.0092704,0.9926356,0.99679434,0.9990469,0.9927223,1.0294576,1.0115231,1.0018194,1.001213,0.9976001,1.0015798,1.0101932,0.0047970093,0.0044682953,0.005851082,0.0096619455,0.015196507,0.001117675,0.00011552468,0.00061442744,-0.00045594465,-0.00048153254,0.13571566,0.0061274143,0.3859552,0.17258252,0.30624118,-0.0040547713,-0.0017327981,-0.0034371142,0.0050314767,0.0040120203,1.0127361,1.0186275,1.0186275,1.0343094,1.0536301,0.990123,0.98752385,0.9790331,0.9790331,0.97808003,1.0051984,1.0051984,1.0033443,1.0060128,1.0257494,0.998839,0.9964998,0.9926356,0.99286085,0.9985964,0.4,0.4,0.65,0.5,0.28333333,0.43678382,0.40111443,0.52954084,0.37931073,0.2901381,0.6,0.3,0.65,0.033333335,0.083333336,0.2,0.5,0.25,0.5,0.11666667,0.4,-0.2,0.4,-0.46666667,-0.033333335,0.122021854,-0.31559312,-0.6945096,-0.59974664,-0.548622,0.27612165,-0.225124,-0.57931906,-0.38609728,-0.5508958,0.4,0.6,0.55,0.46666667,0.5,0.6,0.4,0.45,0.53333336,0.5,-0.2,0.2,0.1,-0.06666667,0.0,0.57551,0.51153094,0.54061884,0.41344196,0.48640913,0.42448997,0.48846906,0.4593812,0.58655804,0.5135909,0.15102008,0.023061892,0.081237614,-0.17311607,-0.02718175,1.4230497,1.3249706,1.5484319,1.4968901,1.302254,0.26388642,0.41029254,0.6359189,0.62336665,0.6925712,1.050995,1.0692998,0.9028338,0.89096975,2.4966753,0.17972577,0.5029802,0.48313347,0.49839768,0.50287944,0.82027423,0.49701983,0.51686656,0.50160235,0.4971206,-0.64054847,0.0059603616,-0.033733074,-0.003204662,0.0057588336,0,1
2014-01-13,24.641064,24.45608,24.749502,24.415682,1890186.0,-0.007507152,0.013547319,-0.554143,0.0044007227,0.32484087,0.001639444,0.12101612,-0.010268431,-0.75796777,1.007564,1.0119979,0.9983482,0.99765253,1.0047817,0.99365324,1.0292124,1.0336463,1.005773,1.0042167,1.0013868,1.0040891,1.0131456,0.003910719,0.0047221747,0.0056154425,0.008590491,0.015121777,-0.0022343888,-0.00013436061,0.00048419044,-0.0003236466,-0.00047187996,0.81610185,0.007421152,0.26021507,0.11000383,0.29700056,-0.0013041461,-0.0036120422,-0.0059865396,0.0006037175,0.00077490555,1.016258,1.0221701,1.0221701,1.0321683,1.0572944,0.9960877,0.99095815,0.9824379,0.9824379,0.9814815,1.0086942,1.0086942,1.0068336,1.0091114,1.0288646,1.0027821,0.9997566,0.9963137,0.9963137,1.0002087,0.2,0.3,0.45,0.36666667,0.2,0.19396423,0.28969264,0.4420126,0.35314634,0.24426614,0.4,0.2,0.6,0.06666667,0.06666667,0.8,0.4,0.2,0.46666667,0.1,-0.4,-0.2,0.4,-0.4,-0.033333335,0.18846096,-0.4363586,-0.67584586,-0.56404585,-0.5503642,-0.17176694,-0.24969831,-0.5858353,-0.40620312,-0.5715556,0.4,0.5,0.55,0.46666667,0.48333332,0.6,0.5,0.45,0.53333336,0.51666665,-0.2,0.0,0.1,-0.06666667,-0.033333335,0.55294216,0.44399196,0.53492826,0.41428572,0.45899555,0.44705784,0.55600804,0.4650717,0.5857143,0.5410045,0.105884336,-0.112016074,0.069856554,-0.17142859,-0.08200892,0.90684247,0.8970639,0.9660114,0.96661687,0.8334038,0.16978171,0.22185512,0.39503685,0.3867036,0.43905437,0.9901373,0.9708475,0.90174675,0.87655663,2.5384326,0.50831026,0.62582374,0.4759484,0.523318,0.5109826,0.49168974,0.37417623,0.5240516,0.47668198,0.48901746,0.016620498,0.2516475,-0.048103243,0.046636015,0.021965098,0,1
2014-01-14,24.466711,24.781397,24.811163,24.466711,2544861.0,0.012861795,0.01407839,0.91358423,0.0012165952,0.08641579,0.0,0.0,0.0116452,0.8271684,0.9873015,1.0012012,0.9873015,0.99579567,0.9933933,0.9830974,1.0079794,1.0260831,0.9934105,0.9916945,0.98908615,0.990642,0.9994108,0.0050211255,0.005435645,0.005986979,0.008037389,0.014520471,0.00024881877,0.0005137661,0.00056460337,-0.00014300601,-0.0004209616,0.006139092,0.081891745,0.31127155,0.024534669,0.2563441,0.006091842,0.0059935567,0.0055500935,0.011431573,0.013007583,1.0029172,1.0087515,1.0087515,1.0186186,1.0434147,0.98301154,0.9779494,0.96954095,0.96954095,0.9685971,0.99629337,0.99598444,0.9946804,0.99586433,1.0149292,0.9896181,0.9866323,0.98429847,0.9832346,0.9870785,1.0,1.0,1.0,0.93333334,0.65,0.8534519,0.71587956,0.776807,0.6206306,0.41972584,0.2,0.1,0.55,0.033333335,0.05,0.6,0.3,0.15,0.43333334,0.083333336,-0.4,-0.2,0.4,-0.4,-0.033333335,0.5895755,-0.036957707,-0.4734212,-0.42650262,-0.5412484,0.32770368,-0.0746219,-0.44253072,-0.37374526,-0.5488148,0.4,0.5,0.55,0.5,0.48333332,0.6,0.5,0.45,0.5,0.51666665,-0.2,0.0,0.1,0.0,-0.033333335,0.5884504,0.5617984,0.5842601,0.4770144,0.46834666,0.41154963,0.43820158,0.4157399,0.52298564,0.53165334,0.17690073,0.12359683,0.16852024,-0.045971237,-0.06330667,0.73916095,0.7226391,0.718601,0.74152035,0.62836814,0.19277753,0.1735874,0.29447907,0.28006437,0.32888174,1.3269335,1.0353268,0.96730065,0.8837868,2.4638226,0.6639572,0.656375,0.50202113,0.54390234,0.5199318,0.33604285,0.34362498,0.49797887,0.45609766,0.4800682,0.32791433,0.31275004,0.0040422613,0.08780465,0.03986358,1,1
2014-01-15,24.815414,25.030167,25.07907,24.632557,1992243.8,0.0086539835,0.017993342,0.4809548,0.0019706506,0.109521106,0.0073687066,0.40952408,0.01405204,0.7809578,0.99142027,1.0019537,0.98411477,0.98462456,0.98683316,0.9799524,1.0045872,1.0082399,0.9866123,0.98315495,0.9802582,0.98064333,0.9893405,0.008963989,0.0078047025,0.0075299535,0.007516447,0.014232528,0.00386511,0.0018322936,0.0008663351,0.00014638586,-0.00036772824,0.46479464,0.5052297,0.46329248,0.02939509,0.20360558,0.00565748,0.008599747,0.011511589,0.017234085,0.021507472,1.0019537,1.0019537,1.0019537,1.0039076,1.0330445,0.97324157,0.9682297,0.95990485,0.95990485,0.9589704,0.992049,0.9867312,0.9855589,0.9859666,1.0046211,0.9797825,0.9768263,0.97451574,0.97346246,0.9772681,1.0,1.0,1.0,1.0,0.76666665,0.93195415,0.9420667,0.9535364,0.9111972,0.55389965,1.0,1.0,1.0,0.033333335,0.033333335,0.4,0.2,0.1,0.4,0.06666667,0.6,0.8,0.9,-0.36666667,-0.033333335,0.47279146,0.19478959,-0.31944624,-0.30442414,-0.5370131,0.115386195,-0.19091448,-0.43115476,-0.4385166,-0.5497767,0.6,0.5,0.55,0.5,0.5,0.4,0.5,0.45,0.5,0.5,0.2,0.0,0.1,0.0,0.0,0.7387857,0.61055654,0.59768224,0.486906,0.48995653,0.26121432,0.3894435,0.40231776,0.513094,0.51004344,0.4775714,0.22111303,0.19536445,-0.026188014,-0.020086937,0.9378659,0.96317285,0.93361664,0.96115047,0.8068225,0.24383736,0.19073564,0.3725175,0.35110214,0.42081794,0.97565174,0.9091464,0.9435233,0.8612218,2.4394965,0.48855484,0.5789914,0.5235396,0.520196,0.50689274,0.51144516,0.42100856,0.47646037,0.47980398,0.49310723,-0.022890331,0.15798287,0.04707924,0.040392067,0.013785537,1,1
