date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,6.1467786,6.08963,6.1467786,6.053363,27511054.0,-0.009297302,0.015197512,-0.6117648,0.0,0.0,0.0059002093,0.38823524,-0.0033970927,-0.22352953,1.0093845,1.0093845,0.9940444,1.0095649,0.9556031,0.8958671,0.8752932,0.8077848,1.0098537,0.99716645,0.95530576,0.92980194,0.89756083,0.007871356,0.026120044,0.048487227,0.054190647,0.05320076,-0.0012993858,0.00589654,0.007366142,0.0057338965,0.0025406054,0.06812667,0.4671519,0.8077807,0.8676663,0.6955664,-0.0072548953,-0.023700867,-0.025284084,-0.012943418,0.027491316,1.0299581,1.0299581,1.0299581,1.0299581,1.0299581,0.9933225,0.92835206,0.8888284,0.852734,0.78989774,1.0148708,1.011514,1.0098176,1.0045116,0.92683613,1.0036093,0.99003786,0.90221953,0.8838836,0.86346126,0.2,0.3,0.65,0.76666665,0.8833333,0.18226857,0.7051539,0.78772616,0.83095896,0.87520576,0.8,0.9,0.95,0.96666664,0.98333335,0.6,0.1,0.35,0.1,0.033333335,0.2,0.8,0.6,0.8666667,0.95,-0.67710257,-0.30041897,-0.052388586,0.0002651435,-0.2164204,-0.5698899,0.6127859,0.45275798,0.42965895,0.18117923,0.4,0.4,0.5,0.56666666,0.56666666,0.6,0.6,0.5,0.43333334,0.41666666,-0.2,-0.2,0.0,0.13333334,0.15,0.39094895,0.6898171,0.69882935,0.6961963,0.63367367,0.60905105,0.31018293,0.30117065,0.30380365,0.36632636,-0.21810208,0.37963414,0.39765874,0.3923927,0.2673473,0.74008936,1.1157137,1.040053,0.9925496,1.164814,0.16911566,0.8545593,0.6304778,0.52823,0.5147473,0.7326461,2.414106,2.0775344,2.2460663,1.5190324,0.8776894,0.44819745,0.49824935,0.50427413,0.50697523,0.12231057,0.5518025,0.50175065,0.49572587,0.4930248,0.75537884,-0.10360509,-0.0035013007,0.008548282,0.01395042,0,1
2014-01-03,6.111609,6.2445893,6.2797575,6.0786386,27746726.0,0.021758648,0.03290769,0.6612025,0.0057543227,0.17486255,0.0053947214,0.16393498,0.021399047,0.65027493,0.9787047,1.0056318,0.97342485,0.9859206,0.9266104,0.879268,0.8421332,0.7812857,0.9876101,0.97976077,0.9376365,0.9119912,0.87893313,0.010319731,0.02098312,0.047953337,0.054038353,0.052838665,0.0021119358,0.0042003924,0.0073342025,0.0057478715,0.0025226807,0.10470432,0.36732545,0.8187215,0.87682223,0.6952176,0.008166051,0.001337481,-0.0073113963,0.004664713,0.046647787,1.0056318,1.0056318,1.0056318,1.0056318,1.0056318,0.9686732,0.91270685,0.8667722,0.8315735,0.77029645,0.9959171,0.9896867,0.9857799,0.98057026,0.9087294,0.97870475,0.97870475,0.88996863,0.8630059,0.84283733,1.0,1.0,1.0,1.0,1.0,0.84761906,0.93939424,0.9594426,0.9676443,0.9760691,1.0,1.0,1.0,1.0,1.0,0.4,0.1,0.3,0.06666667,0.016666668,0.6,0.9,0.7,0.93333334,0.98333335,-0.13481745,-0.102812365,-0.008561871,0.052352685,-0.19078656,-0.7532452,0.57695013,0.43652856,0.45214057,0.21049573,0.4,0.5,0.5,0.6,0.5833333,0.6,0.5,0.5,0.4,0.4,-0.2,0.0,0.0,0.2,0.18333334,0.6063822,0.77470285,0.71987253,0.7441489,0.65199226,0.39361784,0.22529715,0.28012744,0.25585112,0.34800777,0.21276434,0.5494057,0.4397451,0.48829776,0.3039845,0.8264773,1.0468878,1.0239669,0.9753218,1.1457882,0.15930033,0.8299875,0.62457377,0.52109134,0.5081209,0.72428334,2.2569234,1.9869245,2.2096725,1.5023501,0.84203136,0.45698205,0.49182245,0.4874775,0.48672923,0.15796864,0.543018,0.5081776,0.51252246,0.5132708,0.6840627,-0.086035915,-0.016355116,-0.02504495,-0.026541542,1,1
2014-01-06,6.235799,6.258878,6.327017,6.2149177,29645696.0,0.003701113,0.017976714,0.20588373,0.010927004,0.60784215,0.0033485969,0.18627414,-0.0038772945,-0.21568428,0.99631256,1.0108867,0.9929763,0.9773483,0.9216856,0.87515336,0.8379279,0.78106844,0.98988575,0.98535544,0.9417382,0.9153115,0.8805754,0.010860207,0.008934816,0.047700766,0.054569617,0.053541005,0.0026339157,0.0016942074,0.0072861705,0.0058195586,0.00255621,0.14705084,0.32958952,0.8166124,0.8814142,0.69521606,0.004846448,0.007020646,-0.010956815,0.00030490183,0.044016406,1.0108867,1.0108867,1.0108867,1.0108867,1.0108867,0.9664618,0.924495,0.86479336,0.829675,0.78541917,0.9981736,0.9936434,0.9841614,0.9825108,0.92224747,0.98349404,0.9773483,0.8936609,0.86630344,0.8429161,1.0,1.0,1.0,1.0,1.0,0.7549416,0.87398434,0.92548114,0.9399227,0.95171493,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.25,0.033333335,0.016666668,0.8,0.9,0.75,0.96666664,0.98333335,0.107608356,-0.11516223,0.015517637,0.07642207,-0.17301203,-0.7421616,0.5587037,0.42921284,0.44456837,0.20969604,0.6,0.6,0.55,0.6333333,0.5833333,0.4,0.4,0.45,0.36666667,0.4,0.2,0.2,0.1,0.26666668,0.18333334,0.6827214,0.7949729,0.72774,0.751226,0.6523393,0.31727865,0.2050271,0.27226,0.248774,0.3476607,0.36544272,0.5899458,0.45547998,0.502452,0.3046786,0.8287776,0.9946995,0.9653051,0.9181406,1.0693418,0.17498036,0.77551055,0.58417785,0.48776987,0.4754378,0.8066478,2.260132,1.9856123,2.2096567,1.5025206,0.78982276,0.51264447,0.50849736,0.50828385,0.49521083,0.21017726,0.4873555,0.49150267,0.49171615,0.5047892,0.57964545,0.025289,0.016994666,0.0165677,-0.009578362,1,1
2014-01-07,6.2731643,6.4621944,6.501759,6.24459,42550920.0,0.030133145,0.04099514,0.7350419,0.006306962,0.15384658,0.0045550326,0.11111152,0.028381215,0.6923068,0.9707483,1.0061225,0.96632653,0.9613946,0.9465986,0.8744897,0.8202381,0.77604693,0.9664626,0.9596939,0.9183844,0.89250565,0.8566029,0.021445887,0.016371535,0.04924501,0.055216964,0.05423832,0.011598667,0.0036136857,0.007718532,0.0059115593,0.0025867722,0.7312538,0.44661513,0.85983074,0.88830227,0.6937512,0.01034006,0.024044508,0.008289592,0.021776734,0.06708729,1.0061225,1.0061225,1.0061225,1.0061225,1.0061225,0.93673486,0.9360545,0.83758485,0.81105435,0.7654276,0.9748301,0.9667687,0.95636046,0.95258516,0.89642847,0.95255095,0.95040816,0.8655442,0.84248316,0.8169731,1.0,1.0,1.0,1.0,1.0,0.91176414,0.9126209,0.96367294,0.9686137,0.97456336,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.2,0.033333335,0.016666668,0.6,0.5,0.8,0.96666664,0.98333335,0.7838618,0.5165593,0.10159783,0.15109989,-0.12547185,0.037282147,0.0017664705,0.47919828,0.46138993,0.24210468,0.6,0.6,0.55,0.6333333,0.5833333,0.4,0.4,0.45,0.36666667,0.4,0.2,0.2,0.1,0.26666668,0.18333334,0.7516634,0.7516018,0.73236895,0.76813906,0.6581886,0.24833664,0.24839817,0.26763108,0.23186094,0.34181142,0.5033267,0.50320363,0.46473786,0.5362781,0.31637716,0.6905183,0.5787721,0.6941226,0.6545256,0.750798,0.19598515,0.23338498,0.41259336,0.34566873,0.33263743,1.0155025,1.267735,1.9088242,2.067576,1.4849827,1.0,0.29962343,0.53625995,0.5320441,0.5128791,0.0,0.7003766,0.46374005,0.4679559,0.48712096,1.0,-0.4007531,0.072519876,0.06408823,0.025758104,1,0
2014-01-08,6.459996,6.553413,6.681997,6.4523034,41129644.0,0.0144607965,0.035556275,0.40670165,0.019904641,0.5598067,0.0011908388,0.03349166,-0.004253006,-0.11961337,0.9857453,1.0196209,0.98457146,0.9418076,0.93929243,0.8504111,0.81066567,0.76906776,0.96464866,0.95240647,0.9130806,0.8863938,0.84852856,0.028258277,0.023111483,0.05106701,0.0570362,0.056190677,0.017474417,0.006020976,0.008088229,0.0061241975,0.002677234,0.9559915,0.62214214,0.87799925,0.893509,0.69237906,0.00040250292,0.020499144,0.010081226,0.024805332,0.072493054,1.0196209,1.0196209,1.0196209,1.0196209,1.0196209,0.9236962,0.92302537,0.8259263,0.80580235,0.76391524,0.9888646,0.9612612,0.9489854,0.9399295,0.8962264,0.9481468,0.9371792,0.85963434,0.8322321,0.8056346,1.0,1.0,1.0,1.0,1.0,0.79545504,0.7968756,0.89870185,0.9082357,0.9232676,1.0,1.0,1.0,1.0,1.0,0.2,0.4,0.15,0.06666667,0.016666668,0.8,0.6,0.85,0.93333334,0.98333335,0.9288732,0.69809324,0.15457994,0.21542154,-0.10231725,-0.14816281,-0.004348881,0.4689656,0.45663083,0.24115676,0.8,0.6,0.6,0.6333333,0.5833333,0.2,0.4,0.4,0.36666667,0.4,0.6,0.2,0.2,0.26666668,0.18333334,0.8490972,0.76934415,0.77875024,0.7763105,0.6630622,0.15090281,0.23065585,0.22124976,0.22368951,0.3369378,0.6981944,0.5386883,0.5575005,0.55262095,0.3261244,0.819769,0.6128202,0.7413544,0.6904798,0.7849853,0.18183035,0.2615559,0.42901304,0.36206657,0.34344578,0.7885649,1.1574391,1.8646721,1.9903898,1.4601738,0.9420257,0.543175,0.53785986,0.5277901,0.5179414,0.05797426,0.456825,0.46214017,0.47220984,0.48205855,0.8840515,0.08635002,0.075719655,0.055580296,0.035882864,1,0
2014-01-09,6.5611067,6.3753734,6.562206,6.325918,35455456.0,-0.02830823,0.036013376,-0.7860477,0.00016751894,0.004651576,0.0075376257,0.20930073,-0.020938123,-0.58139855,1.029133,1.0293053,0.99224275,0.95518017,0.96431637,0.8781242,0.8353732,0.8086556,1.0005516,0.98257184,0.9446732,0.9166349,0.8754138,0.020727493,0.023984531,0.052178834,0.05899535,0.0594482,0.008722669,0.006355239,0.008236984,0.006345885,0.0028537223,0.44273648,0.6435951,0.87219924,0.8967069,0.70282274,-0.017996883,-0.0111704385,-0.02292454,-0.0086502535,0.040401448,1.048095,1.048095,1.048095,1.048095,1.048095,0.9534561,0.94880193,0.8489913,0.8283053,0.79481626,1.0164797,1.0027237,0.97993433,0.9693844,0.95604205,0.9812791,0.9644543,0.9008791,0.85847247,0.82936317,0.6,0.8,0.9,0.93333334,0.96666664,0.49180532,0.515626,0.7584426,0.7811773,0.81011045,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.3,0.1,0.033333335,0.016666668,0.6,0.6,0.85,0.93333334,0.96666664,0.9467026,0.7936071,0.116004854,0.24149407,-0.08206911,0.72668004,0.034521803,0.4732963,0.45482898,0.23554695,0.8,0.6,0.55,0.6,0.56666666,0.2,0.4,0.45,0.4,0.41666666,0.6,0.2,0.1,0.2,0.15,0.7226031,0.6251517,0.7032784,0.71773916,0.62968963,0.27739695,0.3748483,0.29672155,0.28226086,0.37031034,0.44520614,0.2503034,0.40655687,0.43547827,0.25937933,0.9957759,0.7850178,0.8879717,0.81147593,0.9127385,0.18687822,0.26931208,0.48849154,0.42094946,0.39854297,0.65533996,0.9570969,1.7366852,1.878767,1.451752,0.67945075,0.7831388,0.53938544,0.51851887,0.5040215,0.32054928,0.21686117,0.4606146,0.48148116,0.49597844,0.35890144,0.5662776,0.078770846,0.037037697,0.008043106,0,1
2014-01-10,6.4127383,6.417135,6.449006,6.341303,18603062.0,0.00068557897,0.016795198,0.04081994,0.0049700015,0.29591802,0.011139617,0.66326207,0.006855195,0.408164,0.9993149,1.0049666,0.9881829,0.97311175,0.9594109,0.848947,0.83575946,0.7974519,0.9994178,0.9802364,0.9460781,0.9161443,0.87309253,0.01694954,0.024110394,0.049028907,0.05904203,0.060628615,0.0035793541,0.0064955186,0.00764719,0.00636429,0.0029262472,0.11148938,0.66531986,0.85146606,0.9004904,0.710504,-0.0065765143,-0.00946623,-0.018726412,-0.008426541,0.040583175,1.0412742,1.0412742,1.0412742,1.0412742,1.0412742,0.9684879,0.9426273,0.8434662,0.8311355,0.7979611,1.0098647,1.0014044,0.9789692,0.9691386,0.9532454,0.9898614,0.9600958,0.9011475,0.85357076,0.8249673,0.6,0.8,0.9,0.93333334,0.96666664,0.43293968,0.5815966,0.79134214,0.80358595,0.8303659,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.2,0.05,0.033333335,0.016666668,0.4,0.6,0.85,0.9,0.95,0.37447754,0.59798384,0.03547176,0.19825107,-0.12744164,0.48356596,0.02038044,0.56284505,0.4426075,0.22453971,0.8,0.6,0.6,0.6,0.5833333,0.2,0.4,0.4,0.4,0.4,0.6,0.2,0.2,0.2,0.18333334,0.6632022,0.63827306,0.76890206,0.7182531,0.6380758,0.33679774,0.36172697,0.23109794,0.2817469,0.36192417,0.3264045,0.27654606,0.5378041,0.43650618,0.27615166,1.79954,1.5161213,1.6789973,1.5337849,1.7327826,0.52443534,0.48639315,0.9393257,0.8080115,0.7644101,0.8982885,0.91547865,1.8129883,1.8870426,1.4559046,0.38202348,0.53226346,0.490451,0.48872247,0.49339464,0.6179765,0.46773657,0.509549,0.51127756,0.5066054,-0.23595303,0.06452687,-0.01909799,-0.02255506,-0.013210744,1,1
2014-01-13,6.445709,6.43362,6.6116595,6.4171343,31906822.0,-0.0018755504,0.030179027,-0.062147476,0.025745856,0.8531042,0.0025576225,0.084748335,-0.025063783,-0.83050334,1.0018791,1.0276734,0.9974376,0.9728393,0.9508028,0.8440381,0.8373762,0.8130166,1.002289,0.9826444,0.951452,0.91921765,0.87397176,0.010353212,0.022935634,0.04441103,0.059098046,0.062234417,-0.0030065046,0.005899102,0.0068596583,0.006377093,0.0030324298,0.21082085,0.60640347,0.8350092,0.90240395,0.724136,0.0037239224,-0.009190358,-0.016618768,-0.011685488,0.036571566,1.038606,1.038606,1.038606,1.038606,1.038606,0.97061837,0.94021195,0.8447215,0.8305429,0.8026993,1.0072771,1.0008882,0.9922447,0.9710625,0.95175946,0.9961394,0.9644005,0.9034845,0.8530236,0.8237103,0.6,0.8,0.9,0.93333334,0.96666664,0.4321608,0.60763836,0.80088115,0.8144502,0.83635026,0.4,0.7,0.85,0.9,0.95,0.2,0.1,0.05,0.033333335,0.26666668,0.2,0.6,0.8,0.8666667,0.68333334,0.44683558,0.57369375,-0.0035739006,0.18970938,-0.11847214,0.31893557,0.068342224,0.53125197,0.42750537,0.21889564,0.8,0.7,0.65,0.6,0.5833333,0.2,0.3,0.35,0.4,0.4,0.6,0.4,0.3,0.2,0.18333334,0.6645958,0.6722493,0.7785242,0.71735245,0.63047624,0.33540422,0.32775068,0.2214758,0.28264755,0.36952373,0.32919157,0.3444986,0.5570484,0.4347049,0.2609525,1.0633832,0.91671413,0.99432355,0.9073889,1.0117246,0.3004066,0.27524212,0.543492,0.468281,0.44550672,0.88867354,0.93737555,1.8111411,1.8878045,1.484657,0.52254057,0.5812762,0.51802534,0.5194092,0.5023521,0.47745946,0.41872382,0.48197466,0.48059082,0.4976479,0.04508111,0.16255239,0.036050662,0.038818356,0.0047042,1,1
2014-01-14,6.4841747,6.6303434,6.6490264,6.435818,28321784.0,0.022542376,0.032881316,0.685568,0.002881316,0.08762776,0.0074576233,0.22680429,0.027118685,0.82474446,0.97795457,1.0028177,0.97066134,0.9746395,0.93701315,0.8287749,0.81286234,0.7961229,0.9776231,0.95978785,0.9317835,0.8981822,0.8514388,0.016001139,0.025717875,0.04025727,0.058609873,0.06309243,0.0031990448,0.0071626278,0.0062616817,0.006339624,0.003103574,0.09992608,0.7110269,0.8467619,0.9067491,0.7380224,0.015978813,0.007980323,0.008730504,0.009893236,0.05700576,1.0077904,1.0077904,1.0077904,1.0077904,1.0077904,0.95408607,0.91297877,0.8324217,0.806564,0.7788831,0.99071777,0.977391,0.96834075,0.94748896,0.9274656,0.9665838,0.93963194,0.9102934,0.82864237,0.7998083,1.0,1.0,1.0,1.0,1.0,0.85493827,0.9178323,0.9555767,0.9612852,0.96596676,0.2,0.6,0.8,0.8666667,0.93333334,0.4,0.2,0.05,0.06666667,0.25,-0.2,0.4,0.75,0.8,0.68333334,0.18927254,0.41942286,-0.0405445,0.1194988,-0.124917105,-0.026211698,0.020569917,0.4933116,0.3939591,0.2081763,0.8,0.7,0.65,0.6,0.5833333,0.2,0.3,0.35,0.4,0.4,0.6,0.4,0.3,0.2,0.18333334,0.6603777,0.7047417,0.79363346,0.7384886,0.6420304,0.3396223,0.29525828,0.20636654,0.26151142,0.35796958,0.3207554,0.40948343,0.5872669,0.4769772,0.2840608,1.0975069,1.0674741,1.1266048,1.0405289,1.1418023,0.29756993,0.2808745,0.6102156,0.51648647,0.5010797,0.78306186,0.85649216,1.7336379,1.7862281,1.456435,0.32577986,0.5757589,0.5066456,0.5242165,0.5029252,0.67422014,0.42424116,0.49335438,0.47578353,0.4970748,-0.3484403,0.1515177,0.013291253,0.048432928,0.005850385,1,1
2014-01-15,6.6358376,6.686392,6.7391443,6.617154,24411916.0,0.0076183714,0.018383542,0.4144126,0.007949636,0.43243223,0.002815535,0.1531552,0.0024842704,0.13513556,0.9924392,1.0078895,0.989645,0.980112,0.923077,0.8438529,0.81919795,0.81518877,0.97340584,0.95943475,0.9317802,0.89668,0.84738183,0.02090713,0.027423969,0.03867548,0.059803274,0.065582514,0.0124917235,0.007823782,0.0060302424,0.0064991503,0.0032834578,0.8924747,0.74607825,0.8508759,0.9153031,0.764516,0.0016107394,0.0053582047,0.010932456,0.009082343,0.05575615,1.0078895,1.0078895,1.0078895,1.0078895,1.0078895,0.9460885,0.9053258,0.84533185,0.79980296,0.7723541,0.99329406,0.9824131,0.9630508,0.954734,0.92064464,0.95848143,0.93563473,0.914037,0.83116406,0.793104,1.0,1.0,1.0,1.0,1.0,0.8723399,0.9230768,0.95146626,0.96208537,0.96650386,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.033333335,0.23333333,0.8,0.9,0.95,0.96666664,0.76666665,-0.19076158,0.07086872,-0.07311511,0.106290124,-0.12700905,-0.041911155,0.015715256,0.49749714,0.38414812,0.15067779,0.8,0.8,0.65,0.6,0.5833333,0.2,0.2,0.35,0.4,0.4,0.6,0.6,0.3,0.2,0.18333334,0.63595414,0.7484087,0.78341335,0.73524463,0.63308215,0.36404586,0.25159135,0.21658665,0.26475537,0.36691788,0.27190825,0.4968173,0.5668267,0.47048923,0.26616424,1.1363225,1.2587422,1.2993494,1.2021654,1.2991391,0.26845142,0.30065385,0.710533,0.600328,0.5606765,0.9596329,0.8304754,1.811465,1.8166052,1.4989558,0.30706713,0.5365219,0.4931422,0.49406058,0.46606997,0.69293284,0.4634781,0.5068578,0.5059394,0.53393,-0.38586572,0.07304383,-0.013715637,-0.011878849,-0.067860045,1,1
