date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,3.004736,2.9318764,3.0054646,2.8925319,54779220.0,-0.02424823,0.037584893,-0.6451589,0.00024248626,0.0064516948,0.013094178,0.3483894,-0.011396537,-0.3032212,1.0248508,1.0250993,0.98658043,1.0290755,1.0052186,1.0675944,1.0862324,0.94247,1.0191103,1.0224527,1.0303553,1.0486455,1.0199324,0.014433123,0.012309461,0.019568114,0.031102408,0.065055616,-0.0059517464,-0.0011017154,-0.0021982752,-0.0030992827,0.0020738551,0.42511672,0.07342978,0.44170696,0.7695486,0.30994678,-0.007206774,-0.01749498,-0.009471664,-0.0037059246,-0.08111111,1.0452285,1.0452285,1.0930666,1.1129472,1.123633,0.98658043,0.9775098,0.9775098,0.9775098,0.84629714,1.0307902,1.0335983,1.0538269,1.0846419,1.0846419,1.0115308,1.0138419,1.0138419,1.016973,0.9374005,0.2,0.1,0.05,0.033333335,0.28333333,0.22881535,0.33211207,0.1946247,0.16605604,0.5542119,0.2,0.6,0.15,0.3,0.48333332,1.0,0.1,0.55,0.7,0.033333335,-0.8,0.5,-0.4,-0.4,0.45,-0.35215855,-0.09946492,0.023864703,-0.34815696,-0.4820837,-0.10038208,0.08297624,0.06491405,-0.03445937,-0.042408794,0.6,0.7,0.55,0.56666666,0.55,0.4,0.3,0.45,0.43333334,0.45,0.2,0.4,0.1,0.13333334,0.1,0.30564857,0.4769235,0.33535165,0.34341225,0.5328603,0.69435143,0.5230765,0.66464835,0.6565878,0.46713972,-0.38870287,-0.046153005,-0.3292967,-0.3131755,0.06572056,0.5885649,0.91343457,0.92852527,0.80771196,1.1548741,0.25806987,0.88193023,0.6162213,0.53786117,0.7560823,1.0989726,1.2440457,1.0997124,1.1992141,1.1545498,0.7770408,0.48846138,0.51431334,0.50297105,0.5022116,0.2229592,0.5115386,0.48568666,0.49702892,0.49778843,0.55408156,-0.023077238,0.028626697,0.0059421402,0.0044231596,0,1
2014-01-03,2.9326046,2.947905,2.9632056,2.903825,35259524.0,0.00521738,0.020248394,0.25766882,0.00521738,0.25766882,0.009813634,0.48466232,0.009813634,0.48466232,0.9948097,1.0051903,0.985047,1.0315126,1.0060555,1.0520267,1.0814385,0.8860603,1.0072665,1.0162878,1.0221516,1.0402291,1.0162857,0.0110426685,0.012966519,0.019097969,0.031011919,0.0625065,-0.0032501267,-0.0027396982,-0.0021092964,-0.0030940059,0.0018214919,0.21656713,0.40923244,0.42694202,0.7714126,0.2590025,-0.00076628,-0.003959123,-0.002113274,0.0046339803,-0.070019715,1.036703,1.0395453,1.0871232,1.1068958,1.1175236,0.9812161,0.9812161,0.9721948,0.9721948,0.84169555,1.0121356,1.0279783,1.0347257,1.0770885,1.0787444,0.9989125,1.0071182,1.0059813,1.0091944,0.94765216,0.4,0.2,0.15,0.1,0.3,0.33852866,0.3220328,0.24193503,0.20642175,0.57392454,0.2,0.5,0.1,0.26666668,0.46666667,0.8,0.9,0.5,0.6666667,0.016666668,-0.6,-0.4,-0.4,-0.4,0.45,-0.8439586,0.016218709,0.020089926,-0.33878517,-0.46979472,-0.518906,0.049401786,0.047233526,-0.04643838,0.00487565,0.6,0.7,0.6,0.56666666,0.56666666,0.4,0.3,0.4,0.43333334,0.43333334,0.2,0.4,0.2,0.13333334,0.13333334,0.2805504,0.47286743,0.36982068,0.35362086,0.569074,0.71944964,0.5271326,0.6301793,0.6463792,0.43092602,-0.43889925,-0.054265115,-0.2603586,-0.29275832,0.13814795,0.9011911,1.2819774,1.4173102,1.2524874,1.7723019,0.39574945,1.3323773,0.9622755,0.8362622,1.1770362,1.1654667,1.3359251,1.1404212,1.1775106,1.154831,0.48285896,0.4437116,0.48374614,0.4981199,0.48452535,0.51714104,0.55628836,0.5162538,0.5018801,0.5154746,-0.034282073,-0.112576775,-0.03250771,-0.0037602277,-0.030949267,1,1
2014-01-06,2.9442623,2.928233,2.9540982,2.8907104,44773696.0,-0.0054442696,0.021529289,-0.25287735,0.003340721,0.15517099,0.012744297,0.59195167,0.003959307,0.18390329,1.0054741,1.008833,0.98718596,1.0156755,1.0204031,1.0641952,1.0839761,0.8791988,1.0108984,1.021075,1.0258087,1.0444182,1.0251266,0.012643517,0.014977417,0.018384723,0.03157348,0.060113452,-0.005586009,-0.004199749,-0.0019825955,-0.0031659128,0.0015519157,0.48798618,0.7207493,0.4070259,0.7792102,0.2032791,0.00027368733,-0.002176104,-0.006974088,0.0014874716,-0.07090808,1.0312268,1.046529,1.0944266,1.114332,1.1250311,0.98718596,0.98718596,0.9787261,0.9787261,0.862528,1.0189352,1.0348843,1.0377458,1.0791491,1.0859915,1.0009954,1.0056233,1.0112964,1.0151033,0.96576273,0.2,0.1,0.05,0.033333335,0.25,0.29095867,0.21593176,0.18387048,0.15688041,0.52369654,0.4,0.4,0.05,0.23333333,0.45,1.0,1.0,0.45,0.6333333,0.18333334,-0.6,-0.6,-0.4,-0.4,0.26666668,-0.88044924,-0.04489108,0.028076097,-0.31826344,-0.46716556,-0.8821173,0.10466908,0.060604297,-0.05374077,-0.002880179,0.6,0.6,0.55,0.56666666,0.56666666,0.4,0.4,0.45,0.43333334,0.43333334,0.2,0.2,0.1,0.13333334,0.13333334,0.3606189,0.40848196,0.34171763,0.35112515,0.57328296,0.6393811,0.59151804,0.6582824,0.6488749,0.426717,-0.2787622,-0.18303606,-0.31656474,-0.29774973,0.14656594,0.80025744,1.0229293,1.1209859,1.0009748,1.3850448,0.3183441,1.0480778,0.75667185,0.65364224,0.92774934,1.2990525,1.3334638,1.1242445,1.1537951,1.173397,0.6575915,0.5075901,0.50398463,0.5147837,0.49045512,0.34240845,0.4924099,0.49601537,0.48521635,0.50954485,0.3151831,0.015180198,0.007969267,0.029567322,-0.019089743,0,1
2014-01-07,2.9154828,3.0932608,3.1176686,2.9154828,69602216.0,0.06097721,0.06934902,0.8792801,0.008371809,0.120719925,0.0,0.0,0.0526054,0.7585601,0.9425273,1.0078907,0.9425273,0.9618419,0.9790365,1.008244,1.027794,0.85113645,0.96459776,0.9686962,0.97066885,0.9877713,0.9729163,0.022967145,0.0174043,0.01655427,0.029054476,0.054823935,0.0047815195,-0.0013247504,-0.0008769117,-0.002654462,0.0013153852,0.108357236,0.0531088,0.0982109,0.6468873,0.17557605,0.025839219,0.037265193,0.037661806,0.050718423,-0.011720188,1.0078907,1.0078907,1.0246142,1.0548816,1.0650098,0.9345188,0.9345188,0.9265103,0.9265103,0.81651145,0.98040277,0.9823812,0.9823812,1.0135201,1.028053,0.94759154,0.95197254,0.9573429,0.9609468,0.9390412,1.0,1.0,0.95,0.6333333,0.6333333,0.8924566,0.8924566,0.7491004,0.572478,0.7383892,1.0,1.0,0.05,0.2,0.43333334,0.8,0.9,0.4,0.6,0.16666667,0.2,0.1,-0.35,-0.4,0.26666668,0.18563922,0.013288582,0.102483325,-0.29463735,-0.46658227,-0.2732217,0.05337275,0.1312395,0.034847546,0.041521553,0.6,0.6,0.55,0.56666666,0.56666666,0.4,0.4,0.45,0.43333334,0.43333334,0.2,0.2,0.1,0.13333334,0.13333334,0.6796011,0.57189053,0.48314077,0.45639354,0.59135586,0.32039896,0.42810947,0.51685923,0.54360646,0.40864414,0.35920212,0.14378105,-0.033718463,-0.0872129,0.18271174,0.6515933,0.50657046,0.7389297,0.66065365,0.89207226,0.25984332,0.24306351,0.49027547,0.42443284,0.5969439,1.2657057,1.64576,1.322336,1.4208001,1.1869062,0.774726,0.31361625,0.5219535,0.5257072,0.50151694,0.22527404,0.6863838,0.47804648,0.4742928,0.49848306,0.5494519,-0.37276754,0.043907024,0.051414393,0.003033887,1,1
2014-01-08,3.0877962,3.1020038,3.11949,3.0703096,39950730.0,0.004601211,0.015927304,0.28888825,0.0056629693,0.35555103,0.005663124,0.35556072,0.0046013654,0.28889793,0.99541986,1.005637,0.9897827,0.972754,0.97944796,0.9955372,1.0264239,0.869172,0.9673282,0.9680211,0.96815616,0.9841064,0.9723546,0.028655529,0.02012504,0.016925264,0.028056607,0.053160906,0.015654735,0.0014341952,1.951585e-05,-0.0022643534,0.0011893825,0.7461301,0.046553727,4.6534184e-05,0.5048006,0.15267158,0.0013623199,0.025525022,0.031658452,0.048726697,-0.0074413954,1.005637,1.005637,1.0088079,1.0519084,1.0620081,0.9318848,0.9318848,0.92389894,0.92389894,0.8142101,0.9977452,0.9836523,0.9796124,1.0061303,1.0251554,0.9449207,0.9492894,0.9546446,0.95823836,0.9436053,1.0,1.0,1.0,0.73333335,0.68333334,0.92356795,0.92356795,0.89626604,0.5944961,0.7497634,1.0,1.0,0.05,0.16666667,0.41666666,0.6,0.8,0.35,0.56666666,0.15,0.4,0.2,-0.3,-0.4,0.26666668,0.29354942,0.12716205,0.026465008,-0.27677396,-0.46196294,-0.17579424,0.0686641,0.13418724,0.029105024,0.03641207,0.6,0.6,0.6,0.56666666,0.56666666,0.4,0.4,0.4,0.43333334,0.43333334,0.2,0.2,0.2,0.13333334,0.13333334,0.6432098,0.5708504,0.50942475,0.45859414,0.58229905,0.35679018,0.42914966,0.49057528,0.54140586,0.41770095,0.28641966,0.14170069,0.018849438,-0.0828117,0.16459808,1.2233338,0.91817373,1.2584032,1.15953,1.5379083,0.3419073,0.41606385,0.8535614,0.73605525,1.0409216,1.3349787,1.6368358,1.3842793,1.4125896,1.2227594,0.57591325,0.5436191,0.47992665,0.5072591,0.48727196,0.42408675,0.45638093,0.52007335,0.49274093,0.51272804,0.1518265,0.08723814,-0.040146697,0.014518141,-0.025456065,1,0
2014-01-09,3.1227686,3.102732,3.1420763,3.067031,38130796.0,-0.0064163245,0.02403167,-0.26699454,0.0061828513,0.25727928,0.011432495,0.4757262,-0.0011666808,-0.048547637,1.0064578,1.0126805,0.9884937,0.94493383,0.97240824,0.9977693,1.0169075,0.88070923,0.9781144,0.9705531,0.96804047,0.9833119,0.9741146,0.02858102,0.022566577,0.017134344,0.027528461,0.051886976,0.015580613,0.0034981726,0.0009488325,-0.0019319863,0.0010798534,0.74293983,0.22027364,0.107327774,0.3817209,0.13210301,-0.009275661,0.013705116,0.022945609,0.044701897,-0.00597028,1.0126805,1.0126805,1.0126805,1.0516615,1.0617589,0.93166614,0.93166614,0.9236821,0.9236821,0.8140191,0.99981225,0.997511,0.9793825,1.0045087,1.0249149,0.9488318,0.94906664,0.95442057,0.9580135,0.944699,1.0,1.0,1.0,0.76666665,0.68333334,0.8434779,0.8434779,0.85751957,0.59632975,0.75071067,1.0,1.0,1.0,0.13333334,0.4,0.4,0.7,0.3,0.53333336,0.13333334,0.6,0.3,0.7,-0.4,0.26666668,0.29325655,0.20522091,-0.014185386,-0.2669431,-0.4508711,0.5816272,0.030957308,0.1382042,0.028151115,0.035297055,0.8,0.7,0.6,0.6,0.56666666,0.2,0.3,0.4,0.4,0.43333334,0.6,0.4,0.2,0.2,0.13333334,0.9064121,0.5996605,0.50475687,0.47272718,0.5761618,0.093587875,0.40033948,0.49524313,0.5272728,0.42383817,0.81282425,0.199321,0.00951374,-0.054545633,0.15232365,1.1943992,1.0199697,1.3055899,1.2201089,1.5885226,0.3641954,0.3922332,0.8970739,0.7691042,1.0888227,1.8617698,1.6687071,1.4008085,1.4450756,1.2549573,0.4024512,0.57118106,0.491281,0.5042524,0.48286933,0.59754884,0.4288189,0.50871897,0.49574763,0.5171307,-0.19509764,0.14236216,-0.017437987,0.008504761,-0.034261327,1,0
2014-01-10,3.111111,3.162113,3.162113,3.1020036,56862676.0,0.016393509,0.019320872,0.848487,0.0,0.0,0.0029273632,0.151513,0.019320872,1.0,0.9838709,1.0,0.98099077,0.932258,0.9616359,0.9538018,1.0066819,0.8510369,0.9732949,0.9561636,0.9521717,0.96462363,0.9583045,0.027806737,0.026773946,0.020212296,0.02668016,0.04932347,0.015092163,0.006653396,0.001709487,-0.001380387,0.00095439673,0.7364495,0.56607425,0.25036198,0.20745628,0.1141959,-0.0034792488,0.013896121,0.03158822,0.055391956,0.013540776,1.0,1.0,1.0,1.0319124,1.0418203,0.9141705,0.9141705,0.90633637,0.90633637,0.7987327,0.9849769,0.9810369,0.9649539,0.9856452,1.0056682,0.9677881,0.9312442,0.9364976,0.940023,0.9310599,1.0,1.0,1.0,0.9,0.76666665,1.0,1.0,1.0,0.7458718,0.8279623,1.0,1.0,1.0,0.1,0.38333333,0.2,0.6,0.25,0.5,0.11666667,0.8,0.4,0.75,-0.4,0.26666668,0.22701573,0.3573111,0.05301211,-0.2540542,-0.42610154,0.5794021,0.04587184,0.15535444,0.04026203,0.046082575,0.8,0.7,0.65,0.6,0.5833333,0.2,0.3,0.35,0.4,0.41666666,0.6,0.4,0.3,0.2,0.16666667,0.92241377,0.6303839,0.60329723,0.48936182,0.5962196,0.07758622,0.3696161,0.39670277,0.5106382,0.4037804,0.8448276,0.26076782,0.20659448,-0.021276372,0.19243918,0.8769201,0.71786624,0.8831475,0.8241049,1.0536431,0.23271552,0.28096783,0.6021482,0.5168118,0.7254769,1.5107282,1.4974728,1.4106418,1.3983437,1.2614334,0.62775975,0.56322026,0.50747854,0.5071378,0.48712146,0.37224025,0.43677974,0.49252146,0.49286225,0.51287854,0.25551954,0.1264405,0.014957062,0.01427552,-0.025757093,1,0
2014-01-13,3.148634,3.0765028,3.1632059,3.048452,51745990.0,-0.022908716,0.036445633,-0.6285723,0.0046280087,0.1269839,0.008908911,0.24444385,-0.018627813,-0.51111233,1.0234458,1.0281824,0.9908822,0.9518057,0.9667258,0.97809356,1.0457075,0.8880994,1.0100178,0.9860983,0.97976315,0.9899427,0.9868364,0.010531315,0.027374633,0.021313386,0.025507974,0.049105205,0.0008643973,0.0067086425,0.002052735,-0.0009896667,0.0008414021,0.01684231,0.550534,0.32466012,0.11666155,0.089547195,-0.011746551,-0.016287168,0.00073586474,0.024407415,-0.01165773,1.0281824,1.0281824,1.0281824,1.0606276,1.070811,0.94766134,0.9396092,0.93155706,0.93155706,0.8209591,1.012386,1.0083363,1.0010895,1.0094019,1.0336529,1.0043577,0.957158,0.9625576,0.96618116,0.95815265,0.2,0.6,0.8,0.6,0.51666665,0.6500001,0.68181837,0.7083336,0.53027564,0.7165879,1.0,1.0,1.0,0.06666667,0.36666667,0.2,0.5,0.2,0.46666667,0.1,0.8,0.5,0.8,-0.4,0.26666668,0.11630797,0.3348379,0.071582265,-0.17229436,-0.42215496,0.6848618,-0.017498016,0.17111747,0.08712568,0.060535457,0.8,0.7,0.65,0.56666666,0.56666666,0.2,0.3,0.35,0.43333334,0.43333334,0.6,0.4,0.3,0.13333334,0.13333334,0.73204136,0.60571873,0.5428836,0.43270594,0.56906885,0.2679586,0.39428124,0.45711643,0.56729406,0.43093115,0.46408275,0.21143752,0.08576715,-0.13458814,0.13813773,0.9905788,0.84150445,0.9626201,0.9258413,1.1521733,0.2497995,0.29350787,0.6602884,0.55976236,0.797107,1.2105237,1.3630612,1.2960948,1.3261096,1.255336,0.54349613,0.5942962,0.4929322,0.52287483,0.4941955,0.4565039,0.40570375,0.5070678,0.47712517,0.5058045,0.08699222,0.18859248,-0.014135617,0.04574964,-0.011609009,0,1
2014-01-14,3.0189438,3.0714025,3.0848818,3.0003645,34737972.0,0.017376529,0.027995633,0.6206871,0.004464884,0.15948501,0.00615422,0.21982786,0.019065864,0.68103,0.9829202,1.0043886,0.97687113,1.0071167,0.96868706,0.9652472,1.0475626,0.8627684,1.0102717,0.990867,0.9831278,0.9900012,0.99076223,0.011734468,0.02678362,0.02138,0.023336986,0.0463512,-0.0028466366,0.0061188275,0.002067112,-0.000550989,0.0006486305,0.14712189,0.47842002,0.32717532,0.043201424,0.05972725,-0.004578341,-0.018401772,-0.0027653086,0.01798815,-0.009896861,1.0298897,1.0298897,1.0298897,1.0623888,1.0725892,0.97687113,0.9411695,0.933104,0.933104,0.8223223,1.014067,1.0100107,1.0027518,1.0100107,1.0353694,1.0013285,0.95874745,0.9644408,0.96778554,0.96415603,0.2,0.5,0.75,0.6,0.5,0.43624067,0.66310155,0.69117653,0.51743144,0.7099528,0.8,0.9,0.95,0.033333335,0.35,1.0,0.4,0.15,0.43333334,0.083333336,-0.2,0.5,0.8,-0.4,0.26666668,0.60866416,0.20987986,0.05738485,0.018683374,-0.42378968,0.40002868,-0.00021332213,0.15388143,0.09101212,0.061136965,0.6,0.6,0.65,0.53333336,0.56666666,0.4,0.4,0.35,0.46666667,0.43333334,0.2,0.2,0.3,0.06666667,0.13333334,0.43150583,0.59850734,0.57149845,0.43040615,0.587268,0.5684942,0.40149266,0.42850158,0.56959385,0.41273203,-0.13698834,0.19701469,0.14299686,-0.13918768,0.17453593,1.274848,1.2902015,1.4208378,1.4011222,1.6997961,0.2737297,0.3924703,0.98771614,0.81395996,1.1903865,1.2352818,1.3511653,1.3665076,1.3199048,1.2972486,0.25898516,0.5400846,0.49210525,0.51646584,0.488761,0.74101484,0.4599154,0.50789475,0.48353413,0.511239,-0.48202968,0.08016919,-0.015789514,0.03293172,-0.02247801,0,0
2014-01-15,3.1103823,3.0724952,3.1103823,3.0313296,32882356.0,-0.012180849,0.025415746,-0.47926387,0.0,0.0,0.0132348975,0.52073616,0.0010540485,0.041472264,1.012331,1.012331,0.9866019,1.0096041,0.98209643,0.97095096,1.0379418,0.8521462,1.0079916,0.99230504,0.9842306,0.98838437,0.99287415,0.012551003,0.026747212,0.021512944,0.021583498,0.042641237,-0.0049205557,0.006072817,0.0021256595,-0.0001509603,0.00042977594,0.38424784,0.4725359,0.34170848,0.00379126,0.030983072,0.0018496034,-0.0196327,-0.0044243317,0.013804533,-0.0055525377,1.0295235,1.0295235,1.0295235,1.0430402,1.0722078,0.97652376,0.94083476,0.93277216,0.93277216,0.8220299,1.0137064,1.0096515,1.0023952,1.0094143,1.0350012,0.9999289,0.9584065,0.9640978,0.9674414,0.9651886,0.4,0.5,0.75,0.6333333,0.5,0.44295073,0.66711146,0.69485223,0.6096767,0.7113743,0.6,0.8,0.9,0.13333334,0.33333334,0.8,0.3,0.1,0.4,0.06666667,-0.2,0.5,0.8,-0.26666668,0.26666668,0.680843,0.12615524,0.050417293,0.059600063,-0.42816493,0.592351,0.010975713,0.15367672,0.12777276,0.06087339,0.6,0.6,0.65,0.56666666,0.5833333,0.4,0.4,0.35,0.43333334,0.41666666,0.2,0.2,0.3,0.13333334,0.16666667,0.40287617,0.5615317,0.5612193,0.44297922,0.5952634,0.5971238,0.43846825,0.43878075,0.5570208,0.4047366,-0.19424765,0.12306349,0.1224385,-0.11404158,0.1905268,1.3037982,1.3950496,1.4734285,1.4805186,1.7768052,0.3271603,0.36539838,1.0493201,0.8597016,1.2609053,1.3180128,1.4219657,1.409447,1.3483642,1.3233536,0.4206374,0.53282475,0.48410124,0.5002393,0.48780495,0.57936263,0.46717525,0.51589876,0.4997607,0.51219505,-0.15872522,0.065649495,-0.031797506,0.00047864157,-0.02439008,1,0
