date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,6.270406,6.2829638,6.382587,6.134366,147840880.0,0.0020027386,0.0395861,0.05059196,0.01588784,0.40134895,0.021695523,0.5480591,0.0078104218,0.19730212,0.9980013,1.015856,0.9763491,1.0087274,1.0157229,0.96402395,0.8099933,1.2196535,1.0121119,0.99033314,0.97343105,0.92768157,1.0040795,0.014618715,0.031318605,0.035786197,0.07674354,0.12524466,-0.0076549007,0.0064542857,0.0045462423,0.0077944784,-0.0042808214,0.68548936,0.38931668,0.5648617,0.7994515,0.35631624,0.0031978555,-0.0193774,-0.016620353,-0.04070148,0.12220473,1.0526316,1.0526316,1.0526316,1.0526316,1.2577615,0.9763491,0.9267155,0.8941372,0.77348435,0.77348435,1.0196669,1.0100999,1.0071819,1.0004398,1.1442504,1.0017588,0.9559493,0.9371885,0.8374817,0.9164024,0.2,0.5,0.7,0.8,0.53333336,0.31004363,0.58201075,0.6679278,0.81145585,0.46773976,0.2,0.6,0.8,0.8666667,0.1,1.0,0.2,0.2,0.2,0.6,-0.8,0.4,0.6,0.6666667,-0.5,0.52145326,-0.3896674,-0.37353832,-0.45862117,-0.21568933,-0.15610154,0.18537264,0.4829036,0.7090855,0.19598307,0.4,0.5,0.6,0.56666666,0.5,0.6,0.5,0.4,0.43333334,0.5,-0.2,0.0,0.2,0.13333334,0.0,0.44600195,0.4658564,0.5414492,0.63247865,0.43931532,0.55399805,0.5341436,0.45855078,0.36752135,0.5606847,-0.10799612,-0.06828721,0.08289841,0.2649573,-0.12136938,0.8890181,1.2049884,1.3767104,1.6521728,1.864839,0.1933793,0.48248962,0.43507624,0.71509147,0.86881423,0.85387975,1.0497532,0.9720701,2.1023188,1.8171691,0.25325114,0.40104595,0.33055946,0.41359127,0.48721054,0.74674886,0.5989541,0.66944057,0.58640873,0.5127895,-0.49349773,-0.1979081,-0.33888108,-0.17281747,-0.02557892,0,0
2014-01-03,6.278778,6.2603602,6.370448,6.2201757,112163544.0,-0.0029333471,0.023933379,-0.12256302,0.01459998,0.6100259,0.0064000506,0.26741108,-0.011133277,-0.46517783,1.002942,1.0175849,0.9935811,1.0397165,0.9894357,0.92905855,0.843073,1.1682936,1.007823,0.9949652,0.9804928,0.9362619,1.0048999,0.007424485,0.03144217,0.03440861,0.076165065,0.12391776,-0.0036507172,0.0065116314,0.0041358913,0.007660975,-0.004036724,0.6044547,0.39315704,0.5056756,0.78407604,0.3236614,-0.00052152015,-0.024267558,-0.019783739,-0.047346048,0.11418344,1.0397165,1.0564321,1.0564321,1.0564321,1.2623028,0.9798743,0.93006146,0.89736557,0.77627707,0.77627707,1.0121958,1.013747,1.0108184,1.0040519,1.1369082,1.0028884,0.95940083,0.94560045,0.8450521,0.9197111,0.2,0.4,0.65,0.76666665,0.53333336,0.33631298,0.55343944,0.6452293,0.79856807,0.46031097,0.2,0.5,0.75,0.8333333,0.083333336,0.8,0.1,0.15,0.16666667,0.5833333,-0.6,0.4,0.6,0.6666667,-0.5,-0.24973418,-0.41152906,-0.32449424,-0.4423513,-0.22563447,0.22144425,0.2465615,0.41822472,0.72581285,0.20460764,0.2,0.5,0.6,0.53333336,0.5,0.8,0.5,0.4,0.46666667,0.5,-0.6,0.0,0.2,0.06666667,0.0,0.15384574,0.5258001,0.58852,0.6131957,0.45230246,0.8461543,0.47419992,0.41148004,0.38680425,0.54769754,-0.6923085,0.051600188,0.17703994,0.22639146,-0.0953951,1.0680938,1.441589,1.7246007,2.0703444,2.4258432,0.1698485,0.5772553,0.55147004,0.8833903,1.1587116,1.0269929,1.2544652,1.0557224,2.2475638,1.861751,0.30637082,0.34465942,0.4090781,0.4214488,0.47803786,0.6936292,0.65534055,0.5909219,0.5785512,0.5219621,-0.38725838,-0.31068113,-0.1818438,-0.15710239,-0.043924265,0,1
2014-01-06,6.278778,6.153202,6.2955213,6.079531,128076670.0,-0.020000072,0.034400016,-0.5813972,0.0026666308,0.0775183,0.011733312,0.3410845,-0.010933392,-0.317831,1.0204083,1.0231293,0.9880272,1.0280273,0.95727897,0.9556463,0.8238776,1.1481633,1.0197687,1.0165647,0.9997858,0.9584377,1.0199308,0.013303614,0.026145298,0.033588488,0.07399859,0.12501733,-0.007993212,0.0022869539,0.003580737,0.007212898,-0.003930588,0.9024919,0.07013569,0.39777,0.7363333,0.30149102,-0.0037823345,-0.02685596,-0.033802766,-0.06302471,0.09602145,1.0531293,1.0748299,1.0748299,1.0748299,1.2842858,0.9880272,0.9631293,0.9129932,0.78979594,0.78979594,1.0260681,1.0314014,1.0284219,1.0215374,1.1567075,1.013932,0.99530613,0.96647626,0.86538774,0.93572795,0.2,0.3,0.4,0.6,0.46666667,0.18390767,0.3300849,0.53762066,0.73747003,0.4250928,0.2,0.4,0.7,0.8,0.06666667,1.0,0.1,0.1,0.13333334,0.56666666,-0.8,0.3,0.6,0.6666667,-0.5,-0.4288333,0.02734185,-0.29466075,-0.41802296,-0.23640396,-0.28372607,0.34717906,0.41557476,0.70638,0.20641786,0.2,0.5,0.55,0.53333336,0.5,0.8,0.5,0.45,0.46666667,0.5,-0.6,0.0,0.1,0.06666667,0.0,0.1952654,0.62114185,0.55347764,0.62785184,0.45818934,0.8047346,0.37885815,0.44652236,0.37214816,0.54181063,-0.60946923,0.24228373,0.106955275,0.25570366,-0.08362131,0.93168944,1.1248382,1.4736967,1.7603322,2.0934901,0.14637445,0.32296336,0.49288705,0.7732821,1.0203278,0.7374369,1.2803621,1.0599946,2.3529847,1.8945185,0.49062136,0.32978395,0.45463973,0.4533343,0.4757683,0.5093786,0.670216,0.54536027,0.5466657,0.5242317,-0.018757254,-0.3404321,-0.09072051,-0.093331404,-0.0484634,0,1
2014-01-07,6.179155,6.2519884,6.2955213,6.07995,120264650.0,0.011786974,0.034886874,0.3378627,0.0070451135,0.20194167,0.016054787,0.46019563,0.020796647,0.59611666,0.98835033,1.006963,0.97248256,1.0206213,0.9590252,0.91965723,0.81748796,1.1578066,0.9995313,1.0045996,0.9880055,0.94937736,1.001185,0.009030901,0.021268982,0.02952129,0.06950503,0.12136974,-0.0035083138,-0.0005417024,0.0027371414,0.0065971515,-0.0036137332,0.37728953,0.005946201,0.30087894,0.6982037,0.27039033,0.0074852896,-0.0021619652,-0.014008341,-0.04503604,0.10542007,1.0257096,1.0578468,1.0578468,1.0578468,1.263993,0.9724156,0.9547403,0.8985672,0.7773166,0.7773166,1.0053964,1.0151044,1.012172,1.0053964,1.1082754,0.9968398,0.9968398,0.9576192,0.90615964,0.92094266,0.4,0.3,0.6,0.73333335,0.55,0.5175884,0.43896076,0.6368222,0.79379475,0.45755953,0.2,0.3,0.65,0.76666665,0.05,0.8,0.1,0.05,0.1,0.55,-0.6,0.2,0.6,0.6666667,-0.5,-0.24469256,0.27493653,-0.32445017,-0.41356352,-0.22787896,-0.15373783,0.4545094,0.39711952,0.70610905,0.22041017,0.2,0.5,0.6,0.53333336,0.5,0.8,0.5,0.4,0.46666667,0.5,-0.6,0.0,0.2,0.06666667,0.0,0.3025643,0.6187888,0.5996677,0.6328201,0.45444003,0.69743574,0.38121122,0.40033224,0.3671799,0.54555994,-0.39487144,0.23757754,0.1993355,0.26564023,-0.091119945,1.0147196,1.1506565,1.5408633,1.8291903,2.216731,0.14469753,0.33435136,0.54012066,0.8331479,1.0965881,0.6912473,1.3404822,1.0950693,2.3574924,1.9061881,0.5613522,0.42867938,0.46596098,0.4615493,0.49034244,0.4386478,0.5713206,0.534039,0.53845066,0.50965756,0.12270441,-0.14264123,-0.06807802,-0.07690137,-0.019315116,1,0
2014-01-08,6.230641,6.332357,6.4336543,6.2268734,147238850.0,0.016325133,0.033187743,0.49190247,0.016257938,0.4898778,0.0006046714,0.01821972,0.0006718656,0.02024439,0.9839371,1.0159968,0.9833421,0.9943813,0.9489026,0.9360127,0.8023532,1.1812533,0.9879693,0.99695927,0.97866535,0.9439163,0.9854574,0.0103433365,0.014642161,0.028080348,0.06458657,0.11714169,0.0014278179,-0.0029533838,0.002429941,0.0059868954,-0.0032222434,0.047639184,0.37294158,0.26209244,0.66591775,0.23077755,0.009175058,0.016330961,-0.0017498101,-0.03072632,0.10959877,1.0159968,1.044421,1.044421,1.044421,1.2479508,0.960074,0.960074,0.9157192,0.76745105,0.76745105,0.9937599,1.002221,1.0001719,0.9952935,1.087229,0.9841882,0.98836595,0.94849277,0.9163934,0.9092544,1.0,0.7,0.8,0.8666667,0.65,0.7139487,0.47335464,0.65485376,0.8396182,0.48397312,1.0,0.2,0.6,0.73333335,0.033333335,0.6,0.8,0.15,0.06666667,0.53333336,0.4,-0.6,0.45,0.6666667,-0.5,0.4414864,0.34097442,-0.30922362,-0.41198006,-0.22126707,-0.079947904,0.4742125,0.39333814,0.70485693,0.22688207,0.4,0.5,0.6,0.56666666,0.5,0.6,0.5,0.4,0.43333334,0.5,-0.2,0.0,0.2,0.13333334,0.0,0.555123,0.6412131,0.58362126,0.6439993,0.4461973,0.44487703,0.35878685,0.41637874,0.35600072,0.55380267,0.11024594,0.2824263,0.16724254,0.2879986,-0.10760539,0.8905049,0.95247436,1.2350638,1.4673995,1.804817,0.10876524,0.2726224,0.44182578,0.68377244,0.89986074,0.67233515,1.240037,1.1579576,2.353689,1.9229108,0.6715028,0.5246471,0.46567255,0.47248566,0.4946268,0.3284972,0.47535288,0.53432745,0.52751434,0.5053732,0.3430056,0.04929422,-0.06865487,-0.055028647,-0.010746393,1,0
2014-01-09,6.3834243,6.1753874,6.422353,6.1469235,128575976.0,-0.032590173,0.04314757,-0.7553188,0.006098374,0.1413376,0.004459024,0.10334357,-0.034229524,-0.79331285,1.0336881,1.0399919,0.9953908,1.0174202,1.0262997,0.96380395,0.81908756,1.2181929,1.009598,1.0196706,1.0053514,0.9739398,1.0068698,0.011636142,0.016468924,0.027261758,0.06016937,0.116987094,0.00014912678,-0.003978239,0.0018136742,0.005319753,-0.0029693604,0.00041061355,0.5348879,0.1549098,0.60580623,0.19649424,-0.009896294,-0.0017685046,-0.022581358,-0.05107618,0.08072635,1.041822,1.0709686,1.0709686,1.0709686,1.2796719,0.9844777,0.9844777,0.9389955,0.7869586,0.7869586,1.0160917,1.0269911,1.0255948,1.0205925,1.1060936,0.99928147,1.0099233,0.99173045,0.9456382,0.9323663,0.4,0.2,0.35,0.56666666,0.5,0.27068606,0.17946738,0.4622496,0.7501193,0.43238413,0.8,0.1,0.55,0.7,0.016666668,0.4,0.7,0.1,0.033333335,0.51666665,0.4,-0.6,0.45,0.6666667,-0.5,0.3075113,0.38245597,-0.23173624,-0.41769,-0.20569527,0.23306121,-0.020394653,0.40349704,0.70446324,0.23043872,0.4,0.4,0.55,0.56666666,0.48333332,0.6,0.6,0.45,0.43333334,0.51666665,-0.2,-0.2,0.1,0.13333334,-0.033333335,0.3845465,0.41659525,0.5437418,0.6246847,0.43750727,0.6154535,0.5834048,0.45625818,0.3753153,0.5624927,-0.23090701,-0.16680951,0.08748363,0.2493694,-0.12498546,0.9897956,1.006009,1.3644807,1.6501362,2.0593934,0.10128618,0.16378483,0.49450925,0.7914281,1.0365964,0.51920956,0.6892804,1.1179974,2.3299258,1.9150013,0.4082969,0.3100509,0.43504962,0.47273985,0.49403432,0.5917031,0.6899491,0.56495035,0.5272602,0.50596565,-0.18340617,-0.37989816,-0.12990075,-0.054520335,-0.011931355,0,1
2014-01-10,6.214316,6.099623,6.2327337,5.9543743,177887330.0,-0.018456206,0.044793252,-0.41203094,0.002963775,0.06616566,0.02337327,0.5218034,0.001953291,0.043606814,1.0188032,1.0218227,0.9761872,1.0263519,1.0671151,0.9583448,0.8269284,1.2622838,1.016868,1.0256245,1.0199218,0.99180627,1.0150049,0.014904747,0.0144823305,0.02424193,0.053011227,0.11408305,-0.0030126243,-0.003472835,0.00064197637,0.004378611,-0.0026262999,0.102136455,0.5271119,0.024545494,0.5287358,0.16163902,-0.010842743,-0.009996772,-0.026020583,-0.0552961,0.062471002,1.0547626,1.0671151,1.0842712,1.0842712,1.2853417,0.9761872,0.9761872,0.95065886,0.8202031,0.7967335,1.0276146,1.0372771,1.0383339,1.0332694,1.1138347,1.0070271,1.0116937,1.0070271,0.9629015,0.9439473,0.2,0.1,0.2,0.46666667,0.46666667,0.30305645,0.26188642,0.36928576,0.68087304,0.4160112,0.6,0.1,0.5,0.6666667,0.016666668,1.0,1.0,0.05,0.033333335,0.5,-0.4,-0.9,0.45,0.6333333,-0.48333332,-0.33249465,-0.51008034,-0.26098788,-0.3527453,-0.2192676,0.06172385,0.15990263,0.33426222,0.694186,0.21926548,0.4,0.3,0.55,0.56666666,0.46666667,0.6,0.7,0.45,0.43333334,0.53333336,-0.2,-0.4,0.1,0.13333334,-0.06666667,0.34516132,0.2669209,0.55032325,0.6162212,0.42509997,0.6548387,0.73307914,0.44967678,0.38377884,0.57490003,-0.30967736,-0.4661582,0.100646436,0.23244233,-0.14980009,0.78931254,0.7313896,0.9883093,1.1638826,1.4806116,0.1303049,0.12795195,0.3573799,0.5586362,0.7518961,0.23156062,0.6079495,1.1330583,2.3157725,1.9291646,0.77690995,0.5140661,0.5038766,0.46343368,0.49112314,0.22309007,0.48593387,0.49612334,0.5365663,0.50887686,0.5538199,0.028132256,0.007753312,-0.07313261,-0.017753731,0,1
2014-01-13,6.102135,5.8325663,6.153202,5.768941,150891630.0,-0.044176165,0.062971584,-0.70152533,0.00836869,0.13289627,0.010426734,0.16557838,-0.04211812,-0.66884327,1.0462179,1.0549734,0.98909134,1.0549734,1.0845414,1.0583465,0.911009,1.3173532,1.0524329,1.0641309,1.0637039,1.0401846,1.0561899,0.03285958,0.02682321,0.029389717,0.05062428,0.11471699,-0.018372325,-0.006793935,-0.0004110139,0.0034685687,-0.0024136512,0.7815274,0.5880749,0.006845265,0.36381835,0.13501851,-0.015688218,-0.033558168,-0.059799228,-0.0904789,0.015012845,1.1030573,1.1110233,1.133917,1.133917,1.3345773,0.98909134,0.98909134,0.98909134,0.88940716,0.8332137,1.0746663,1.0808095,1.0858762,1.0805799,1.1510406,1.0366298,1.0531361,1.0426725,1.0069901,0.9871681,0.2,0.1,0.05,0.16666667,0.3,0.09571845,0.08946492,0.07532254,0.45230424,0.33266538,0.4,0.1,0.45,0.6333333,0.033333335,1.0,1.0,1.0,0.06666667,0.48333332,-0.6,-0.9,-0.55,0.56666666,-0.45,-0.3671997,-0.52630615,-0.1904264,-0.2785119,-0.20263484,0.4271359,0.16240089,0.25325334,0.72183466,0.22595754,0.4,0.3,0.5,0.53333336,0.46666667,0.6,0.7,0.5,0.46666667,0.53333336,-0.2,-0.4,0.0,0.06666667,-0.06666667,0.26387224,0.24369024,0.4309496,0.5571745,0.41533276,0.7361278,0.75630975,0.5690504,0.4428255,0.5846672,-0.47225556,-0.51261955,-0.13810079,0.11434899,-0.16933447,0.9607669,0.875792,1.1298847,1.3401735,1.7405192,0.14829707,0.15702802,0.40287313,0.65238553,0.889804,0.63195926,0.86300343,1.0953584,2.4012058,1.9068123,0.58791476,0.5399405,0.44026762,0.46548435,0.49521267,0.41208524,0.46005952,0.5597324,0.5345157,0.5047873,0.17582951,0.07988093,-0.11946478,-0.06903132,-0.009574632,0,1
2014-01-14,5.881122,6.7505236,6.7810802,5.7208037,659531200.0,0.14782917,0.18028472,0.81997615,0.0051957224,0.028819537,0.027259827,0.1512043,0.16989328,0.94236094,0.8712098,1.0045266,0.84746075,0.92614865,0.9452471,0.91554534,0.7892354,1.1335028,0.92409,0.9249023,0.92328084,0.90576255,0.9103408,0.050182514,0.033927307,0.031148298,0.042453162,0.09550632,0.007310724,0.0002461526,0.0007457258,0.002895027,-0.0015676311,0.05305862,0.0004825269,0.02006124,0.36040166,0.08217191,0.061288532,0.073989995,0.06963479,0.052259535,0.13590431,1.0045266,1.0045266,1.0045266,1.0045266,1.1530973,0.84746075,0.84746075,0.84746075,0.7684628,0.7199107,0.9504433,0.93383765,0.9401376,0.9372605,0.99340236,0.8956656,0.90992737,0.90088665,0.8722763,0.85292983,1.0,1.0,1.0,1.0,0.81666666,0.97118044,0.97118044,0.97118044,0.9808248,0.6465789,1.0,1.0,1.0,1.0,0.016666668,1.0,1.0,1.0,0.033333335,0.46666667,0.0,0.0,0.0,0.96666664,-0.45,0.81370264,0.6568812,0.30544585,0.010374852,-0.13675287,0.9832696,0.9240343,0.7466007,0.8237945,0.40246886,0.4,0.3,0.5,0.53333336,0.48333332,0.6,0.7,0.5,0.46666667,0.51666665,-0.2,-0.4,0.0,0.06666667,-0.033333335,0.6663873,0.6012847,0.58447033,0.63070065,0.46186817,0.33361268,0.39871532,0.41552964,0.36929935,0.53813183,0.33277464,0.20256935,0.16894071,0.26140127,-0.07626369,0.38334048,0.28418663,0.28931865,0.32821494,0.41082552,0.34575516,0.25370282,0.18870428,0.19571102,0.21681803,1.9082952,2.597074,2.513017,2.2885292,1.9068831,0.9275932,0.8730625,0.6457304,0.5841503,0.548136,0.072406836,0.12693751,0.35426962,0.41584966,0.451864,0.85518634,0.746125,0.29146075,0.16830067,0.096272,1,1
2014-01-15,7.0510674,6.870239,7.2092924,6.7852654,488923170.0,-0.02564556,0.060136564,-0.42645535,0.022439873,0.3731486,0.012051131,0.20039606,-0.0360343,-0.5992079,1.0263206,1.0493511,0.9876317,0.9217084,0.9165296,0.90135866,0.75653446,1.117407,0.9236459,0.91713274,0.9121245,0.898095,0.89252114,0.06476352,0.044177692,0.03691382,0.03840857,0.09027096,0.029702071,0.0057334467,0.0019664406,0.0026340797,-0.0009894822,0.5258387,0.15439631,0.09932342,0.36450475,0.036645412,0.016949965,0.05706673,0.06919428,0.06371084,0.13666855,1.0493511,1.0493511,1.0493511,1.0493511,1.117346,0.8326936,0.8326936,0.8326936,0.8017425,0.7073661,0.98605984,0.9338817,0.92880034,0.92186683,0.97609216,0.88005847,0.89407176,0.8851885,0.86165845,0.8380674,1.0,1.0,1.0,1.0,0.8666667,0.7722162,0.7722162,0.7722162,0.80068916,0.7137762,1.0,1.0,1.0,1.0,0.016666668,0.8,0.9,0.95,0.033333335,0.45,0.2,0.1,0.05,0.96666664,-0.43333334,0.90953696,0.8128733,0.48452362,0.17552435,-0.064542286,0.9207157,0.87643224,0.73890465,0.8115809,0.39658993,0.4,0.4,0.5,0.56666666,0.48333332,0.6,0.6,0.5,0.43333334,0.51666665,-0.2,-0.2,0.0,0.13333334,-0.033333335,0.6749251,0.6541403,0.5973074,0.65395284,0.46614188,0.32507488,0.34585968,0.40269265,0.34604716,0.5338581,0.34985024,0.30828062,0.19461472,0.3079057,-0.06771622,0.6568759,0.4625254,0.4239668,0.463453,0.5660184,0.48964438,0.38600793,0.28801408,0.2825263,0.29594532,1.7754323,2.437017,2.3920858,2.2579472,1.8821422,0.72066426,0.7134854,0.61192787,0.55702597,0.53251904,0.2793357,0.2865146,0.3880721,0.442974,0.46748093,0.44132856,0.42697078,0.22385578,0.11405197,0.06503813,1,1
