date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,1.0643284,1.055998,1.0657985,1.0506078,284036060.0,-0.007826968,0.014272587,-0.54839164,0.0013812362,0.09677546,0.0050643836,0.3548329,-0.0041438206,-0.29033422,1.0078887,1.0092808,0.99489564,1.007657,0.9844548,0.99396783,0.984687,0.9180608,1.0123899,1.0054758,0.9986428,0.99490345,0.9733029,0.0076541975,0.01082161,0.013613942,0.01295523,0.030076643,-0.0017169332,0.0023258096,0.0010653654,0.00089158374,0.0015299387,0.12579039,0.4234245,0.21433714,0.36705887,0.78920376,-0.008955976,-0.01594189,-0.008763784,-0.007831392,-0.018436112,1.0229701,1.0229701,1.0229701,1.0229701,1.0229701,0.99489564,0.97563815,0.9723899,0.9700696,0.89641035,1.018608,1.0142922,1.0111834,1.0079355,0.9947102,1.0090952,0.99879354,0.9844548,0.9844548,0.9383749,0.2,0.35,0.525,0.68333334,0.84166664,0.18181452,0.5147025,0.54586804,0.56578696,0.81850404,0.8,0.9,0.95,0.96666664,0.98333335,1.0,0.1,0.4,0.06666667,0.033333335,-0.2,0.8,0.55,0.9,0.95,-0.7710695,-0.6964204,-0.5443327,-0.48481166,-0.5661778,-0.8781971,-0.18244758,-0.1350606,-0.18929185,-0.06272446,0.8,0.8,0.65,0.6,0.5833333,0.2,0.2,0.35,0.4,0.41666666,0.6,0.6,0.3,0.2,0.16666667,0.37208495,0.5938366,0.51795477,0.534446,0.5920725,0.627915,0.40616342,0.48204526,0.46555397,0.4079275,-0.25583008,0.18767317,0.035909485,0.06889203,0.18414496,0.45793483,0.5910435,0.6590125,0.6640035,0.8356507,0.30611607,0.36024153,0.2789192,0.23846973,0.3607138,1.7981254,1.0368074,0.8408819,0.87382174,1.141472,0.9960979,0.580643,0.5102555,0.534845,0.5057066,0.0039020781,0.41935697,0.48974445,0.465155,0.49429336,0.99219584,0.16128606,0.020511078,0.06969002,0.011413252,0,0
2014-01-03,1.0564882,1.0606533,1.0648185,1.052813,191554530.0,0.0039424696,0.011363543,0.3469402,0.0039424696,0.3469402,0.0034786032,0.30611962,0.0034786032,0.30611962,0.996073,1.003927,0.9926081,1.00693,0.99561083,0.9801339,0.97366583,0.8998141,1.0065603,1.0015014,0.9952529,0.9914145,0.97070074,0.008438014,0.010615581,0.013187487,0.012603341,0.028790595,-0.0036035564,0.0018941954,0.0009196565,0.0008323736,0.0014566757,0.4559551,0.2918593,0.170214,0.3380391,0.7807722,0.0006467953,-0.0100253625,-0.003989667,-0.0034838766,-0.013672654,1.0184801,1.0184801,1.0184801,1.0184801,1.0184801,0.99052894,0.9766687,0.96812195,0.96581185,0.8924759,1.0141371,1.0098404,1.0067451,1.0035115,0.99376285,0.99912214,0.99440974,0.9806881,0.98031884,0.9388427,0.4,0.4,0.55,0.7,0.85,0.33884346,0.5580128,0.6330266,0.6491226,0.8533374,0.6,0.8,0.9,0.93333334,0.96666664,0.8,0.1,0.35,0.033333335,0.016666668,-0.2,0.7,0.55,0.9,0.95,-0.88364947,-0.6829531,-0.50929755,-0.5125403,-0.5756235,-0.91335005,-0.39153755,-0.15200685,-0.21243687,-0.06355212,0.8,0.8,0.7,0.6333333,0.6,0.2,0.2,0.3,0.36666667,0.4,0.6,0.6,0.4,0.26666668,0.2,0.38636506,0.53074497,0.5612536,0.56012654,0.6156373,0.61363494,0.46925503,0.4387464,0.43987343,0.3843627,-0.22726987,0.061489917,0.122507244,0.12025312,0.23127462,0.7954958,0.84022975,0.9569472,0.9923104,1.2327737,0.44469148,0.50932366,0.40128157,0.35123324,0.53541976,1.6188847,1.1565564,0.8851771,0.87853014,1.1672747,0.6869698,0.45851132,0.4714141,0.51227576,0.4906291,0.31303018,0.54148865,0.5285859,0.4877242,0.50937086,0.37393966,-0.08297735,-0.0571718,0.024551554,-0.018741762,1,0
2014-01-06,1.0596734,1.051833,1.0604084,1.0498729,181473340.0,-0.0073988787,0.0099421935,-0.74418974,0.0006935394,0.06975718,0.0018497759,0.1860531,-0.006242642,-0.6278938,1.007454,1.0081527,0.99813646,1.017237,0.9890515,0.99371046,0.97670597,0.9085155,1.0115535,1.0109946,1.0039133,1.0005046,0.9803654,0.010609001,0.008709293,0.013125168,0.011942433,0.027645223,-0.005963167,-1.9784822e-05,0.0007198267,0.0006823343,0.0013843832,0.7898507,4.730532e-05,0.10527233,0.25299415,0.764843,0.00037275816,-0.010905532,-0.010751595,-0.010398421,-0.021204714,1.0270207,1.0270207,1.0270207,1.0270207,1.0270207,0.99813646,0.9897508,0.9762403,0.9762403,0.90620345,1.0226414,1.0183085,1.0151874,1.0119265,1.0020962,1.0031677,1.0031677,0.9889118,0.9889584,0.94819546,0.2,0.2,0.4,0.56666666,0.78333336,0.06451828,0.27499938,0.46789137,0.46789137,0.77635056,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.3,0.53333336,0.16666667,-0.6,0.6,0.55,0.36666667,0.78333336,-0.8701902,-0.7357103,-0.5107115,-0.52713037,-0.5835565,-0.7724577,-0.5206904,-0.12299101,-0.18859512,-0.058964994,0.6,0.8,0.65,0.6333333,0.5833333,0.4,0.2,0.35,0.36666667,0.41666666,0.2,0.6,0.3,0.26666668,0.16666667,0.2687584,0.58363247,0.5188817,0.5519754,0.6030109,0.73124164,0.41636756,0.48111832,0.44802457,0.3969891,-0.46248323,0.1672649,0.03776334,0.103950866,0.20602176,0.95251346,0.87647265,1.0096531,1.0443426,1.2920225,0.4124039,0.5339289,0.42357954,0.37074062,0.5654892,1.2827188,1.2253774,0.8671898,0.86745536,1.152038,0.6664631,0.4879335,0.49935585,0.49523893,0.48701307,0.33353695,0.51206654,0.50064415,0.50476104,0.51298696,0.33292612,-0.024133027,-0.001288283,-0.0095221335,-0.025973866,0,1
2014-01-07,1.0530577,1.0461974,1.0562428,1.0447273,207292660.0,-0.0065146065,0.010935297,-0.59574115,0.003024671,0.27659705,0.0013960195,0.12766178,-0.008143258,-0.7446765,1.0065573,1.0096018,0.9985948,1.0281032,1.0032791,1.0185016,0.9939113,0.9327053,1.011382,1.0161127,1.008396,1.006097,0.986768,0.010758385,0.009345431,0.013166891,0.011847636,0.026967064,-0.006065605,-0.0017940779,0.00073550205,0.00056534423,0.0013256402,0.7946834,0.3378278,0.10921175,0.1764673,0.7370278,0.00074928155,-0.008039291,-0.015383273,-0.014294503,-0.025874374,1.0325531,1.0325531,1.0325531,1.0325531,1.0325531,0.9985948,0.9985948,0.981499,0.981499,0.91108495,1.0167216,1.0237939,1.0206559,1.0173776,1.0074942,1.0043094,1.0085716,0.99423885,0.9955036,0.97100705,0.2,0.1,0.3,0.38333333,0.69166666,0.041379496,0.041379496,0.36238024,0.36238024,0.7320034,0.2,0.6,0.8,0.8666667,0.93333334,1.0,1.0,0.25,0.5,0.15,-0.8,-0.4,0.55,0.36666667,0.78333336,-0.73917985,-0.6656519,-0.5396622,-0.5508571,-0.5873792,-0.8937401,-0.69796014,-0.14380185,-0.17000346,-0.055058613,0.4,0.7,0.6,0.6,0.56666666,0.6,0.3,0.4,0.4,0.43333334,-0.2,0.4,0.2,0.2,0.13333334,0.1250038,0.47368094,0.4396934,0.5139178,0.577791,0.8749962,0.5263191,0.5603066,0.4860822,0.422209,-0.7499924,-0.052638125,-0.12061321,0.027835585,0.155582,0.937565,0.6970267,0.88670063,0.92248297,1.126658,0.30458626,0.34897333,0.37150994,0.32347026,0.49501622,1.1613967,1.3368279,0.89438576,0.8828339,1.1740932,0.67190236,0.38927126,0.50449574,0.51458734,0.49288377,0.32809767,0.61072874,0.49550423,0.48541266,0.50711626,0.3438047,-0.22145748,0.008991514,0.029174708,-0.014232465,0,1
2014-01-08,1.052568,1.0606533,1.0613884,1.0442376,259314700.0,0.007681566,0.016294207,0.47142926,0.0006983345,0.042857837,0.007914307,0.4857129,0.014897537,0.91428435,0.992377,1.000693,0.984523,1.014322,1.0016171,1.006699,0.98498505,0.9259555,0.99473315,1.002102,0.99431735,0.9928852,0.97455317,0.0058197156,0.00924481,0.012744513,0.011679851,0.026077371,-0.0004850965,-0.0019362173,0.0009920828,0.0005557385,0.0012710347,0.01736972,0.4020903,0.21208858,0.17545593,0.72458124,0.0062370547,0.006610904,-0.003742157,-0.00094336626,-0.012048674,1.004851,1.0184801,1.0184801,1.0184801,1.0184801,0.984523,0.984523,0.96812195,0.96812195,0.8986675,1.0,1.0098404,1.0039735,1.0035115,0.99561083,0.99062145,0.9948255,0.9806881,0.9819357,0.96340966,0.9,0.45,0.625,0.68333334,0.84166664,0.76136476,0.45578063,0.6330266,0.6330266,0.8457582,0.2,0.5,0.75,0.8333333,0.9166667,1.0,1.0,0.2,0.46666667,0.13333334,-0.8,-0.5,0.55,0.36666667,0.78333336,0.31864128,-0.64228374,-0.5439,-0.5181818,-0.6014979,-0.60461164,-0.46641773,-0.10727271,-0.15150836,-0.032714903,0.4,0.7,0.6,0.6,0.56666666,0.6,0.3,0.4,0.4,0.43333334,-0.2,0.4,0.2,0.2,0.13333334,0.35780013,0.48717886,0.47943303,0.5334014,0.58524436,0.6421999,0.51282114,0.52056694,0.46659857,0.4147556,-0.28439975,-0.025642306,-0.041133914,0.06680288,0.17048874,0.8666468,0.5956749,0.7185103,0.7445094,0.90541,0.1723425,0.31239167,0.30341783,0.26287276,0.39514107,0.7700233,1.2970278,0.8344744,0.8641268,1.1543505,0.7127457,0.5966188,0.51887375,0.5157044,0.50964373,0.2872543,0.40338123,0.48112625,0.4842956,0.49035627,0.42549142,0.19323754,0.0377475,0.031408794,0.019287484,1,0
2014-01-09,1.0604082,1.0550181,1.0631033,1.0510979,138108000.0,-0.005083106,0.011321534,-0.44897676,0.002541553,0.22448838,0.0036968756,0.32653487,-0.003927783,-0.34693027,1.0051091,1.0076636,0.99628425,1.0009288,1.008593,1.0081283,0.9881559,0.9348202,0.99986064,1.0065954,0.999222,0.9985834,0.980845,0.00583049,0.009570385,0.012656749,0.01159143,0.02566767,-0.0002322451,-0.002277293,0.0011368982,0.000501203,0.0012348396,0.0039666416,0.5190275,0.28240138,0.14489555,0.7059079,0.00060385535,0.003652426,-0.010022528,-0.0058507905,-0.017272715,1.0092894,1.0239202,1.0239202,1.0239202,1.0239202,0.98978174,0.98978174,0.97329307,0.97329307,0.90346766,1.0053414,1.0152344,1.0093361,1.0088717,1.0009288,0.99591273,0.9993962,0.98592633,0.98718053,0.9696237,0.6,0.3,0.5,0.56666666,0.78333336,0.52380896,0.29931816,0.52752215,0.52752215,0.80141383,0.2,0.4,0.7,0.8,0.9,0.8,0.9,0.15,0.43333334,0.11666667,-0.6,-0.5,0.55,0.36666667,0.78333336,0.21081147,-0.71076566,-0.569746,-0.50526077,-0.6120101,0.3478769,-0.3709597,-0.073596045,-0.113562115,-0.01826914,0.4,0.6,0.6,0.6,0.55,0.6,0.4,0.4,0.4,0.45,-0.2,0.2,0.2,0.2,0.1,0.48750204,0.43598428,0.47538683,0.5258361,0.57439774,0.51249796,0.5640157,0.52461314,0.4741639,0.42560226,-0.024995895,-0.12803142,-0.04922632,0.05167219,0.14879547,1.4159111,1.1788552,1.3230495,1.3701539,1.6865157,0.3180462,0.53249717,0.5733328,0.49169475,0.7472405,0.75294447,1.2086611,0.83818483,0.85755944,1.1586567,0.25808546,0.5782906,0.47523174,0.4685492,0.4856848,0.7419145,0.42170942,0.52476823,0.5314508,0.5143152,-0.48382908,0.15658113,-0.04953651,-0.06290162,-0.02863036,0,0
2014-01-10,1.0572231,1.0562431,1.0596732,1.0471777,217577860.0,-0.0009269752,0.011819188,-0.07842969,0.0023174942,0.19607899,0.008574718,0.72549134,0.0053302483,0.45098263,1.0009278,1.0032475,0.99141735,1.0041754,1.0111344,0.99304104,0.99048924,0.9268281,0.9978659,1.0043145,0.99841106,0.99774224,0.98092693,0.0050964374,0.009468793,0.01259224,0.011511538,0.024806762,0.0016701374,-0.0021902977,0.0010839534,0.00046939898,0.0011770481,0.26847944,0.49048817,0.2593482,0.12886034,0.68667,-0.0012062197,0.005541798,-0.008708635,-0.004548534,-0.015649846,1.006495,1.0227327,1.0227327,1.0227327,1.0227327,0.9886338,0.9886338,0.9721643,0.9721643,0.90241987,1.0008351,1.0140569,1.0081655,1.0077016,0.9998144,0.9947577,0.99823713,0.9847829,0.98603565,0.96924144,0.8,0.5,0.6,0.6333333,0.81666666,0.6363636,0.33333004,0.55045676,0.55045676,0.81105345,0.8,0.3,0.65,0.76666665,0.8833333,0.6,0.8,0.1,0.4,0.1,0.2,-0.5,0.55,0.36666667,0.78333336,0.29058746,-0.7161951,-0.56230175,-0.5040803,-0.6146779,0.48197824,-0.38360253,-0.109751105,-0.09938187,-0.017035777,0.4,0.6,0.65,0.6,0.56666666,0.6,0.4,0.35,0.4,0.43333334,-0.2,0.2,0.3,0.2,0.13333334,0.43835604,0.41366968,0.52286565,0.52098286,0.5847302,0.56164396,0.5863303,0.47713435,0.47901714,0.4152698,-0.123287946,-0.17266062,0.045731295,0.041965734,0.16946042,0.92267346,0.8115121,0.8507006,0.87689817,1.0669116,0.20620133,0.31741086,0.36536503,0.31255305,0.4740067,0.89435387,1.2145238,0.9093107,0.87017953,1.1806728,0.5450856,0.6172028,0.5158872,0.5128574,0.4940726,0.4549144,0.38279718,0.4841128,0.48714262,0.5059274,0.0901712,0.23440567,0.03177439,0.025714742,-0.011854812,1,1
2014-01-13,1.052568,1.0349271,1.0559981,1.031987,275869060.0,-0.0167598,0.022811957,-0.73469365,0.0032588188,0.14285572,0.002793338,0.1224506,-0.017225282,-0.7550988,1.0170455,1.0203599,0.99715906,1.0163354,1.0338539,1.0042613,1.0066288,0.9576679,1.0151515,1.0216146,1.0187619,1.0180713,1.0018362,0.00987108,0.011890711,0.013140449,0.012034416,0.02466747,-0.0026041288,-0.0030087815,0.00060288917,0.00028061375,0.001125772,0.17399456,0.58691746,0.07367541,0.042137574,0.63526005,-0.009943215,-0.008075053,-0.024489287,-0.022140242,-0.03504645,1.0272253,1.0437975,1.0437975,1.0437975,1.0437975,0.99715906,0.99715906,0.9921875,0.9921875,0.9210066,1.0214489,1.0277462,1.0289302,1.0284568,1.0204071,1.0087119,1.0152463,1.005066,1.005066,0.99048275,0.2,0.1,0.1,0.06666667,0.38333333,0.09448976,0.06091441,0.15137583,0.15137583,0.64331657,0.6,0.2,0.6,0.73333335,0.8666667,1.0,1.0,0.05,0.36666667,0.083333336,-0.4,-0.8,0.55,0.36666667,0.78333336,-0.33826026,-0.730771,-0.5656161,-0.52995867,-0.60299724,0.14472932,-0.34333497,-0.09316379,-0.12164764,-0.05158486,0.4,0.5,0.65,0.6,0.55,0.6,0.5,0.35,0.4,0.45,-0.2,0.0,0.3,0.2,0.1,0.3248736,0.2997239,0.48721614,0.48661587,0.5470845,0.6751264,0.70027614,0.5127838,0.5133841,0.45291546,-0.35025278,-0.40055224,-0.025567697,-0.026768254,0.09416907,0.79614747,0.71136695,0.6693835,0.70144695,0.83751833,0.19470148,0.23988506,0.286183,0.25286505,0.37083396,1.0031387,1.0706301,0.95740974,0.887292,1.1812648,0.64013237,0.6526988,0.49699506,0.5218909,0.49172366,0.35986763,0.34730116,0.5030049,0.47810915,0.50827634,0.2802647,0.30539766,-0.006009861,0.0437817,-0.01655268,0,1
2014-01-14,1.0412973,1.0618782,1.0633484,1.0376221,281321920.0,0.01976466,0.024706027,0.7999935,0.0014119005,0.05714802,0.003529465,0.14285846,0.021882225,0.885704,0.9806184,1.0013845,0.97715735,0.98523295,1.0129212,0.9679281,0.9921551,0.9310715,0.99233973,0.9943933,0.9945087,0.9924936,0.97755784,0.010271387,0.0100751305,0.011451026,0.01181434,0.023478512,-0.0016613192,-0.001548022,0.00029457043,0.0003230758,0.0010590298,0.06540155,0.21640351,0.023161009,0.057955097,0.6205476,0.010982882,0.012572812,0.002692904,0.0028217924,-0.008799192,1.0013845,1.0173053,1.0173053,1.0173053,1.0173053,0.9718506,0.9718506,0.97023547,0.9670052,0.89763093,0.9990772,0.9990772,1.0028154,1.0023539,0.99552387,0.9897556,0.98947877,0.98412544,0.97955686,0.96654356,1.0,0.9,0.7,0.7,0.85,0.9531205,0.6192849,0.63234854,0.65595895,0.85539687,1.0,0.1,0.55,0.7,0.85,0.8,0.9,0.15,0.33333334,0.06666667,0.2,-0.8,0.4,0.36666667,0.78333336,-0.13497794,-0.50094044,-0.51800525,-0.49567845,-0.6070056,0.022611793,-0.33689338,-0.12407828,-0.096728146,-0.058873367,0.6,0.5,0.7,0.6,0.56666666,0.4,0.5,0.3,0.4,0.43333334,0.2,0.0,0.4,0.2,0.13333334,0.61267656,0.43693674,0.59061193,0.51534283,0.57472503,0.3873234,0.56306326,0.40938807,0.4846572,0.42527494,0.22535318,-0.1261265,0.18122385,0.030685622,0.1494501,0.83334535,0.76209605,0.6658152,0.70301807,0.82583845,0.21102463,0.21867645,0.2891448,0.25279263,0.3641529,0.872184,0.99552935,1.0341561,0.9573084,1.159104,0.6169711,0.6442688,0.51910585,0.535091,0.5100526,0.38302895,0.35573116,0.48089418,0.464909,0.48994735,0.2339421,0.28853765,0.038211655,0.07018202,0.020105295,1,1
2014-01-15,1.0645735,1.0667787,1.0694739,1.0559981,269595870.0,0.0020713774,0.01265838,0.16363685,0.0025317208,0.20000353,0.008055282,0.63635963,0.007594938,0.59999293,0.9979329,1.0025265,0.9898943,0.9942581,1.008498,0.97129095,0.9832337,0.9281624,0.9889296,0.9889756,0.9913757,0.98849326,0.9742645,0.011389596,0.0085168965,0.010713377,0.011926194,0.022865856,0.0027331188,0.0002589076,0.00014246698,0.00036701575,0.0010222072,0.14395949,0.008471069,0.0061893305,0.073395155,0.6095408,0.005604133,0.009859359,0.0072709047,0.0061849994,-0.004419616,1.0025265,1.0025265,1.0126321,1.0126321,1.0126321,0.9673862,0.9673862,0.96577847,0.9625631,0.8935075,0.996325,0.99448776,1.0002297,0.99908143,0.9942581,0.9852089,0.9849334,0.98327976,0.97505707,0.9628844,1.0,1.0,0.8,0.8333333,0.9166667,0.92810285,0.92810285,0.7303921,0.74770623,0.8939589,1.0,1.0,0.5,0.6666667,0.8333333,0.6,0.8,0.1,0.3,0.05,0.4,0.2,0.4,0.36666667,0.78333336,-0.032334667,0.053695768,-0.4995623,-0.45380676,-0.6006506,-0.06153547,-0.34736046,-0.107906334,-0.09627506,-0.06014487,0.6,0.5,0.7,0.6333333,0.56666666,0.4,0.5,0.3,0.36666667,0.43333334,0.2,0.0,0.4,0.26666668,0.13333334,0.55102086,0.46004358,0.5830003,0.5329125,0.57769233,0.44897914,0.5399564,0.4169997,0.46708748,0.4223077,0.10204171,-0.07991282,0.1660006,0.06582502,0.15538462,0.8772187,0.8554078,0.71340346,0.74477756,0.8638747,0.22481039,0.18762699,0.30876353,0.26783866,0.38040888,1.0593387,0.9116142,1.0384868,0.9459373,1.1472121,0.5186154,0.62808186,0.53754914,0.5249852,0.5045001,0.48138458,0.3719181,0.46245086,0.47501478,0.4954999,0.037230823,0.25616375,0.07509828,0.049970444,0.009000189,1,1
