date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,2.3978693,2.3923588,2.4088907,2.3787658,18599424.0,-0.0022981104,0.012563196,-0.18292403,0.0045963204,0.36585596,0.0056687654,0.45122,-0.0012256656,-0.09756001,1.0023034,1.0069103,0.9943182,1.0130527,1.0015357,1.0001534,0.97251225,0.9929362,1.0094594,1.0117321,1.0082463,1.0015612,1.0095388,0.0056595365,0.005507428,0.011534057,0.016023835,0.030163646,-0.0031480286,-0.00095487636,0.00015586907,0.00111279,-0.00055807893,0.7734917,0.27555484,0.006391808,0.373762,0.10440552,-0.003163356,-0.0074351886,-0.009727033,-0.01769664,0.006924553,1.019963,1.02672,1.0340906,1.0340906,1.0609643,0.9943182,0.9937038,0.98341525,0.95838445,0.9238329,1.0134214,1.0140356,1.014834,1.01336,1.0434276,1.007371,1.0095822,0.9999386,0.9917996,0.9848587,0.2,0.1,0.25,0.4,0.36666667,0.2215577,0.19070071,0.32727423,0.5496981,0.5554314,0.2,0.4,0.2,0.46666667,0.21666667,1.0,0.1,0.35,0.06666667,0.36666667,-0.8,0.3,-0.15,0.4,-0.15,-0.68775624,-0.04992352,-0.1543277,-0.17678122,-0.46329185,0.6752227,0.37632334,-0.02934753,-0.017255489,-0.5179848,0.4,0.5,0.45,0.5,0.53333336,0.6,0.5,0.5,0.46666667,0.45,-0.2,0.0,-0.05,0.033333335,0.083333336,0.0792022,0.48299292,0.49948108,0.5637013,0.50662434,0.9207978,0.5170071,0.5005189,0.4362987,0.49337566,-0.8415956,-0.034014177,-0.0010378226,0.1274026,0.013248688,0.73273826,0.738358,1.021023,1.0932827,1.1527417,0.28116915,0.3021503,0.4403325,0.4930033,0.9518897,1.386917,1.1512775,1.4402647,1.2369986,4.3194427,0.85558003,0.5047322,0.50338924,0.48506674,0.5012199,0.14441998,0.4952678,0.4966108,0.5149333,0.49878004,0.71116006,0.009464389,0.006778436,-0.029866545,0.0024399068,0,0
2014-01-03,2.3890522,2.392726,2.406319,2.3864806,14483762.0,0.0015377613,0.008303851,0.18518652,0.0056896866,0.6851865,0.001076403,0.12962696,-0.0030755226,-0.37037304,0.9984646,1.0056809,0.99738985,1.0130509,1.0095195,1.0019962,0.9702135,0.9970828,1.0066943,1.0106249,1.0079918,1.0024004,1.0094324,0.0064528044,0.0066133803,0.011596277,0.014905672,0.030141195,-0.0038845157,-0.0017233614,-5.5991917e-05,0.0008884076,-0.0005942258,0.9059762,0.62246823,0.00081598386,0.27531072,0.11854465,0.0010747104,-0.0028698149,-0.0074598305,-0.015282289,0.008097182,1.0175033,1.0265625,1.033932,1.033932,1.0608015,0.9941656,0.9941656,0.9832643,0.9582374,0.92369115,1.0111777,1.01388,1.0146782,1.0132045,1.0432675,0.9999693,1.0072471,0.9997851,0.99223095,0.9847076,0.4,0.2,0.3,0.41666666,0.375,0.24999893,0.18009159,0.3303028,0.5517253,0.5565506,0.2,0.3,0.15,0.43333334,0.2,0.8,0.9,0.3,0.033333335,0.35,-0.6,-0.6,-0.15,0.4,-0.15,-0.52430105,-0.09267982,-0.1453126,-0.25677478,-0.45703676,0.34337986,0.5333286,-0.026141837,-0.030635493,-0.5226993,0.4,0.5,0.45,0.53333336,0.53333336,0.6,0.5,0.5,0.43333334,0.45,-0.2,0.0,-0.05,0.1,0.083333336,0.07919036,0.37189957,0.4931646,0.56968385,0.50275755,0.9208096,0.62810045,0.5068354,0.43031615,0.49724245,-0.84161925,-0.25620088,-0.013670829,0.1393677,0.0055150744,1.0318362,0.9535801,1.3069441,1.4099417,1.466582,0.28606647,0.38835025,0.5675442,0.6282074,1.2230817,1.3776029,1.3768929,1.4576637,1.2462115,4.3429074,0.6634667,0.50765795,0.495374,0.50497586,0.49067926,0.33653328,0.49234205,0.504626,0.49502417,0.50932074,0.32693344,0.015315889,-0.009251985,0.009951657,-0.018641474,1,0
2014-01-06,2.3916237,2.3383543,2.4037473,2.3376195,24201302.0,-0.022273313,0.027649742,-0.80555236,0.0050691855,0.18333574,0.0003072415,0.011111912,-0.027035259,-0.97777617,1.0227807,1.0279654,0.99968576,1.037706,1.034564,1.0227809,0.9839749,1.0234094,1.0225608,1.0306677,1.0302906,1.0262425,1.0325137,0.013586341,0.012723299,0.013692628,0.013966694,0.031111076,-0.0077140583,-0.0035954157,-0.0006428479,0.00045538842,-0.000678076,0.8059364,0.73199856,0.07714556,0.08239075,0.14488602,-0.0071327332,-0.0144882975,-0.024183555,-0.03284557,-0.012510485,1.0391201,1.0504322,1.057973,1.057973,1.0854673,0.99968576,0.99968576,0.99968576,0.98083276,0.94516885,1.0328044,1.0374548,1.0382717,1.0367635,1.0675256,1.018476,1.0232207,1.0215554,1.0153024,1.0033307,0.2,0.1,0.05,0.06666667,0.18333334,0.007968704,0.0061923736,0.005391241,0.24847272,0.3908177,0.4,0.2,0.1,0.4,0.18333334,1.0,1.0,1.0,0.033333335,0.33333334,-0.6,-0.8,-0.9,0.36666667,-0.15,-0.68727535,-0.40615216,-0.18492705,-0.17177851,-0.46093312,-0.3844184,0.0700163,-0.1293155,-0.023978652,-0.5320407,0.2,0.4,0.45,0.53333336,0.51666665,0.8,0.6,0.5,0.43333334,0.46666667,-0.6,-0.2,-0.05,0.1,0.05,0.004129882,0.21052308,0.43305588,0.53436667,0.479149,0.9958701,0.78947693,0.5669441,0.46563333,0.52085096,-0.9917402,-0.57895386,-0.13388823,0.068733364,-0.041701965,0.7202564,0.61260825,0.7773366,0.82650614,0.87362874,0.21997067,0.26931775,0.33561382,0.35518584,0.7305797,1.4571649,1.5096511,1.339264,1.2448915,4.252245,0.73923516,0.58377916,0.49105415,0.47452894,0.49541458,0.26076484,0.4162208,0.5089458,0.52547103,0.5045854,0.4784703,0.16755834,-0.017891701,-0.05094212,-0.009170827,0,0
2014-01-07,2.3434975,2.3368847,2.3603969,2.3343132,18868904.0,-0.0028217558,0.011130247,-0.25352138,0.007211165,0.647889,0.0010973269,0.09858962,-0.008935594,-0.80282074,1.0028298,1.0100613,0.9988996,1.0345857,1.0463762,1.0584816,0.99465495,1.0446471,1.0162867,1.0266782,1.0280144,1.027066,1.032419,0.015074181,0.014898031,0.013754092,0.013578825,0.031384055,-0.008945137,-0.0043017827,-0.0006503416,5.9909373e-05,-0.0007134036,0.8803321,0.76427674,0.078250535,0.001508575,0.15759858,0.0016035129,-0.0073201796,-0.021836212,-0.027934674,-0.0113735255,1.0397736,1.0510927,1.0586383,1.0586383,1.0861499,0.9988996,0.9988996,0.9988996,0.9930829,0.9457633,1.0257506,1.0374156,1.0381073,1.0374156,1.0681969,1.0005031,1.0191165,1.0159409,1.0159409,1.0008805,0.2,0.1,0.05,0.033333335,0.18333334,0.02692253,0.021083824,0.01842073,0.10551569,0.38633808,0.2,0.1,0.05,0.36666667,0.16666667,1.0,1.0,1.0,0.033333335,0.31666666,-0.8,-0.9,-0.95,0.33333334,-0.15,-0.4810603,-0.69850993,-0.35034618,-0.1557424,-0.45569754,-0.43893373,-0.18923795,-0.2052687,0.0119781485,-0.5166286,0.2,0.3,0.4,0.5,0.5,0.8,0.7,0.55,0.46666667,0.48333332,-0.6,-0.4,-0.15,0.033333335,0.016666668,0.0045019235,0.0287501,0.28472087,0.51193815,0.45879275,0.99549806,0.9712499,0.71527916,0.48806185,0.54120725,-0.9909962,-0.9424998,-0.43055826,0.023876322,-0.08241453,1.0157819,0.7589151,0.9697057,1.0560684,1.125702,0.1834944,0.3126675,0.41065642,0.45554325,0.9354745,1.5287129,1.8624225,1.2829959,1.304756,4.3026586,0.64591724,0.45482382,0.46136895,0.49519652,0.5046299,0.35408273,0.5451762,0.538631,0.5048035,0.4953701,0.2918345,-0.090352364,-0.077262096,-0.009606954,0.0092598125,0,0
2014-01-08,2.3310068,2.3277004,2.335048,2.3056576,42610184.0,-0.0014184382,0.012608429,-0.11249919,0.0017336693,0.13750081,0.0094563225,0.75,0.0063042147,0.5,1.0014205,1.0031565,0.99053025,1.0372474,1.0421401,1.0498735,1.0086806,1.0585544,1.0128472,1.0265151,1.029577,1.0308291,1.0355166,0.013813618,0.017158885,0.0148854675,0.014205167,0.03171908,-0.007954547,-0.0052341563,-0.0008299631,-0.0002953627,-0.00073864934,0.82900286,0.8529561,0.10880796,0.033505823,0.16539992,0.003061881,-0.0029614249,-0.02169235,-0.026546352,-0.0137264645,1.03488,1.0494002,1.05524,1.0628154,1.0904356,0.99053025,0.99053025,0.99053025,0.99053025,0.94949496,1.0278094,1.0412247,1.0415089,1.0415089,1.0724117,1.0031565,1.0044508,1.0182765,1.0199494,1.0044508,0.2,0.1,0.05,0.033333335,0.16666667,0.21352407,0.16085894,0.14634192,0.13100551,0.35834274,0.2,0.1,0.5,0.33333334,0.15,1.0,1.0,1.0,1.0,0.3,-0.8,-0.9,-0.5,-0.6666667,-0.15,-0.7383703,-0.8033924,-0.63568217,-0.29251876,-0.46657848,-0.43431607,-0.24526826,-0.18512858,0.013655223,-0.51129353,0.2,0.3,0.4,0.46666667,0.48333332,0.8,0.7,0.55,0.5,0.5,-0.6,-0.4,-0.15,-0.033333335,-0.016666668,0.004199275,0.031574633,0.30445507,0.48014435,0.44558507,0.99580073,0.9684254,0.69554496,0.5198556,0.5544149,-0.99160147,-0.9368507,-0.39108986,-0.03971128,-0.10882987,0.5574422,0.40790856,0.4371439,0.48902094,0.5104169,0.26031256,0.24916774,0.20257439,0.22268012,0.41826618,1.231123,1.7437447,1.321966,1.3014454,4.2915816,0.76064354,0.7256964,0.52192575,0.5537221,0.52321833,0.23935646,0.27430362,0.47807425,0.4462779,0.4767817,0.5212871,0.45139277,0.043851506,0.107444204,0.04643662,0,0
2014-01-09,2.33615,2.319618,2.3383543,2.3133726,15926422.0,-0.007076577,0.01069355,-0.6617612,0.0009436116,0.08824119,0.0026733621,0.24999762,-0.0053468263,-0.50000477,1.007127,1.0080774,0.9973076,1.031359,1.044821,1.048939,1.0220146,1.0652518,1.0101045,1.0256097,1.0307175,1.0336871,1.0380372,0.012405858,0.01872617,0.016174454,0.015433276,0.03203585,-0.0067627467,-0.005911826,-0.0010575608,-0.0006040228,-0.0007610788,0.7429038,0.91360146,0.14963028,0.11871132,0.1721419,0.003420945,0.0009934404,-0.020670643,-0.024928743,-0.015585382,1.0373772,1.0519481,1.0589169,1.0665187,1.0942351,0.9939816,0.9939816,0.9939816,0.9939816,0.9528033,1.0127653,1.0428255,1.0448527,1.0451379,1.0761484,1.0027875,1.0066519,1.0149193,1.0235033,1.006842,0.2,0.1,0.05,0.033333335,0.11666667,0.13868651,0.103825405,0.092682905,0.082969874,0.33370638,0.2,0.1,0.45,0.3,0.13333334,0.8,0.9,0.95,0.96666664,0.28333333,-0.6,-0.8,-0.5,-0.6666667,-0.15,-0.45984247,-0.7000084,-0.5752102,-0.23344745,-0.44943637,-0.46414304,-0.1802309,-0.18682104,0.004424597,-0.49938744,0.2,0.3,0.4,0.43333334,0.46666667,0.8,0.7,0.55,0.53333336,0.51666665,-0.6,-0.4,-0.15,-0.1,-0.05,0.004997128,0.02989625,0.30711493,0.448327,0.43962476,0.99500287,0.97010374,0.69288504,0.551673,0.5603752,-0.99000573,-0.9402075,-0.3857701,-0.10334602,-0.12075049,1.4578363,1.1567765,1.1668774,1.2926451,1.3674699,0.71960413,0.6154464,0.54271,0.5975362,1.1183232,1.4556772,1.6365004,1.3333744,1.3502227,4.2884383,0.48079482,0.5592156,0.49729908,0.48624805,0.50131845,0.51920515,0.4407844,0.5027009,0.5137519,0.49868158,-0.038410366,0.11843123,-0.0054018605,-0.027503889,0.0026368736,0,0
2014-01-10,2.3328435,2.311903,2.342028,2.3045554,22143470.0,-0.008976403,0.016063008,-0.5588245,0.003936981,0.2450961,0.0031496256,0.19607943,-0.009763758,-0.60784113,1.0090578,1.0130303,0.9968218,1.0349594,1.0484667,1.0265373,1.0311457,1.0641985,1.0064834,1.0241857,1.0328302,1.0360984,1.0404313,0.0048815967,0.019457651,0.017884586,0.016881403,0.032441534,-0.0030351381,-0.006219509,-0.0016693589,-0.00088694575,-0.0007931833,0.96643615,0.93657553,0.30493674,0.2139335,0.18232413,-0.0004131662,0.0038021503,-0.016971273,-0.023237659,-0.017032329,1.0397267,1.0530747,1.0624505,1.0700777,1.0978866,0.9968218,0.9968218,0.9968218,0.9968218,0.9559829,1.0109328,1.0446211,1.0483395,1.0486256,1.0797396,1.0026697,1.0061339,1.0113143,1.0252343,1.0075959,0.2,0.1,0.05,0.033333335,0.11666667,0.07407443,0.056497652,0.048426278,0.04338431,0.31018993,0.2,0.1,0.4,0.26666668,0.11666667,1.0,1.0,1.0,1.0,0.26666668,-0.8,-0.9,-0.6,-0.73333335,-0.15,0.13916907,-0.6420065,-0.5700185,-0.23516862,-0.44708148,-0.37101343,-0.20933495,-0.07646634,-0.005840967,-0.5000266,0.0,0.2,0.4,0.4,0.46666667,1.0,0.8,0.55,0.56666666,0.51666665,-1.0,-0.6,-0.15,-0.16666667,-0.05,0.0,0.024916047,0.37329236,0.42631584,0.44065776,1.0,0.97508395,0.6267076,0.57368416,0.5593422,-1.0,-0.9501679,-0.25341526,-0.14736833,-0.11868445,1.1177136,0.8963122,0.8277996,0.9201188,0.98889977,0.47284743,0.41157806,0.38154936,0.42467758,0.80334204,1.2757481,1.4991419,1.2351558,1.3772928,4.2866144,0.5534209,0.5775479,0.48346367,0.48835683,0.50518924,0.44657907,0.42245212,0.51653636,0.5116432,0.4948108,0.10684184,0.15509576,-0.033072654,-0.02328632,0.010378427,0,1
2014-01-13,2.2891257,2.294269,2.32917,2.2891257,25907994.0,0.0022468858,0.017493276,0.12844282,0.01524639,0.8715572,0.0,0.0,-0.012999505,-0.74311435,0.99775815,1.0152122,0.99775815,1.0192153,1.0576459,1.0278623,1.0480384,1.0851882,1.0103762,1.026293,1.0393754,1.0424606,1.0470083,0.0070741433,0.019721964,0.020036519,0.018791704,0.032916423,-0.0044035236,-0.0063100196,-0.0024683818,-0.001150609,-0.0008163647,0.96870816,0.9383665,0.5311879,0.29055268,0.18760443,-0.0015692213,0.002102079,-0.015925847,-0.025776789,-0.0229255,1.028823,1.0590872,1.0706166,1.0783024,1.106325,0.99775815,0.99775815,0.99775815,0.99775815,0.9633307,1.0153723,1.0448037,1.0563971,1.0566854,1.0880384,1.0061488,1.0103762,1.0177742,1.026133,1.0144756,0.2,0.1,0.05,0.033333335,0.06666667,0.072166674,0.036554433,0.03076991,0.027833758,0.25643906,0.2,0.2,0.35,0.23333333,0.1,1.0,1.0,1.0,1.0,0.25,-0.8,-0.8,-0.65,-0.76666665,-0.15,-0.039130088,-0.59953684,-0.5835275,-0.302539,-0.44628385,-0.2425929,-0.27632284,-0.101553366,-0.035903532,-0.49897373,0.0,0.1,0.4,0.36666667,0.45,1.0,0.9,0.55,0.6,0.53333336,-1.0,-0.8,-0.15,-0.23333333,-0.083333336,0.0,0.002760851,0.36936858,0.38653535,0.42111498,1.0,0.9972392,0.63063145,0.61346465,0.578885,-1.0,-0.9944783,-0.26126286,-0.22692929,-0.15777007,0.9684808,0.8206451,0.71288085,0.7635638,0.85321325,0.4043516,0.34017038,0.3301722,0.3238679,0.68555367,0.7740539,1.2699435,1.2183379,1.4076499,4.279218,0.5129808,0.5770714,0.5090722,0.46615785,0.5090312,0.48701918,0.42292854,0.49092785,0.53384215,0.4909688,0.025961632,0.1541429,0.018144337,-0.06768429,0.018062407,0,1
2014-01-14,2.2920647,2.3144746,2.3247612,2.2920647,21179882.0,0.009777174,0.01426508,0.6853922,0.0044879057,0.3146078,0.0,0.0,0.0052892687,0.37078437,0.99031746,1.0044445,0.99031746,1.0096827,1.0446032,1.0258731,1.0334923,1.0906351,0.9996191,1.012873,1.029008,1.0322435,1.0363573,0.005345926,0.017630802,0.020976536,0.019597823,0.03224045,-0.0022381102,-0.0053824023,-0.0029496383,-0.001354876,-0.00078188017,0.4381845,0.85431796,0.6920508,0.37041205,0.17938165,0.0048571173,0.011347723,-0.000986447,-0.012597766,-0.013291768,1.0119048,1.0498413,1.0612701,1.0688888,1.0966667,0.98904765,0.98904765,0.98904765,0.98904765,0.9549207,1.0029207,1.0336827,1.0471747,1.0474604,1.076635,0.9973651,0.9997778,1.005016,1.0101906,1.0050477,0.6,0.3,0.15,0.1,0.15,0.47916517,0.18015592,0.15164733,0.1371767,0.3180285,0.6,0.1,0.3,0.2,0.083333336,0.8,0.9,0.95,0.96666664,0.23333333,-0.2,-0.8,-0.65,-0.76666665,-0.15,0.23276615,-0.41601366,-0.60477453,-0.31689772,-0.43969053,-0.26746574,-0.33482152,-0.16886306,-0.08484708,-0.5050954,0.2,0.2,0.4,0.4,0.45,0.8,0.8,0.55,0.56666666,0.53333336,-0.6,-0.6,-0.15,-0.16666667,-0.083333336,0.32163528,0.14249125,0.37961474,0.42144388,0.41434118,0.67836475,0.8575087,0.6203852,0.5785561,0.5856588,-0.35672945,-0.7150175,-0.24077049,-0.15711226,-0.17131764,1.2065029,1.0557255,0.8472368,0.9530523,1.0491453,0.48062393,0.3739028,0.37796995,0.384615,0.83719903,0.4892637,1.1206052,1.225073,1.3621612,4.2814107,0.51774,0.5579147,0.46485138,0.5259937,0.5050114,0.48226002,0.44208533,0.5351486,0.4740063,0.49498862,0.035479967,0.11582936,-0.070297256,0.051987413,0.010022747,1,1
2014-01-15,2.33615,2.330272,2.346804,2.3122704,31588808.0,-0.0025160934,0.014782228,-0.1702107,0.004560483,0.30851123,0.007705651,0.5212781,0.0006290744,0.04255613,1.0025225,1.0070944,0.99227494,0.9988964,1.0361028,1.0282202,1.031058,1.0829262,0.9930632,1.0023963,1.0206212,1.0242105,1.0279495,0.005637088,0.013983175,0.0213426,0.019964686,0.031454034,0.0010247529,-0.0036671357,-0.0031466822,-0.001468482,-0.00073382596,0.08261686,0.63045454,0.76081514,0.41928953,0.16600962,0.004887297,0.014105772,0.009272328,-0.0029174304,-0.0063015935,1.0070944,1.033738,1.0540755,1.0616425,1.0892322,0.9823427,0.9823427,0.9823427,0.9823427,0.9484471,0.9963424,1.0081035,1.0400757,1.0403595,1.0629672,0.9906038,0.9930001,0.99820274,1.0022702,0.9982343,1.0,0.6,0.3,0.2,0.26666668,0.71337634,0.34355834,0.24615358,0.22266491,0.3661813,1.0,0.1,0.25,0.16666667,0.06666667,0.6,0.8,0.9,0.93333334,0.21666667,0.4,-0.7,-0.65,-0.76666665,-0.15,0.059649706,-0.43950403,-0.63609976,-0.35776344,-0.45992893,0.10669344,-0.2833394,-0.04539836,-0.11181136,-0.49815115,0.4,0.3,0.4,0.4,0.46666667,0.6,0.7,0.55,0.56666666,0.51666665,-0.2,-0.4,-0.15,-0.16666667,-0.05,0.51851815,0.23184915,0.36459792,0.4274132,0.42205083,0.48148185,0.76815087,0.6354021,0.57258683,0.57794917,0.037036274,-0.53630173,-0.27080417,-0.14517361,-0.15589832,0.7391642,0.7455493,0.58937526,0.6483728,0.70978457,0.1843827,0.26448724,0.2712256,0.26586375,0.56251395,0.51589835,0.9648107,1.2119645,1.3305224,4.2391663,0.39362094,0.5621608,0.54605204,0.5193403,0.50861776,0.6063791,0.4378392,0.453948,0.4806597,0.49138224,-0.21275814,0.12432156,0.09210405,0.03868059,0.017235523,1,1
