date,$open,$close,$high,$low,$volume,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label,longterm_label
2014-01-02,20.690054,20.415964,20.699932,20.391272,6449666.5,-0.013247419,0.014918304,-0.8879977,0.00047743513,0.032003313,0.0011934496,0.079999015,-0.012531404,-0.840002,1.0134252,1.0139091,0.9987905,0.99854875,1.0013994,0.9069029,0.8916537,0.77326286,1.0064589,0.9990944,0.9751579,0.9500368,0.89957654,0.0062565003,0.009622507,0.030135786,0.043881416,0.064624965,0.00033863532,0.0027029284,0.00471147,0.004832896,0.0035220683,0.0073238867,0.723276,0.8554919,0.9400595,0.9059303,-0.0071360897,-0.011257588,-0.019916898,-0.020113822,-0.0034775839,1.0180217,1.0180217,1.0180217,1.0180217,1.0180217,0.9949203,0.967659,0.9165087,0.87664473,0.7492487,1.0117563,1.0060717,1.0014583,0.998839,0.95812553,1.0013549,0.9913615,0.9467425,0.90188396,0.84679496,0.2,0.6,0.75,0.8333333,0.9166667,0.21988653,0.6421623,0.8224694,0.87252766,0.9329484,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.05,0.033333335,0.033333335,0.6,0.8,0.9,0.93333334,0.95,-0.10744652,-0.66367,-0.36967877,-0.057342794,-0.16577056,-0.14170878,-0.04744688,0.18841626,0.23702234,0.02579461,0.6,0.6,0.65,0.6666667,0.6333333,0.4,0.3,0.3,0.3,0.35,0.2,0.3,0.35,0.36666667,0.28333333,0.5194787,0.4893372,0.7142423,0.69113356,0.6668586,0.48052135,0.5106628,0.28575772,0.30886644,0.3331414,0.038957328,-0.021325607,0.42848456,0.38226712,0.3337172,0.65808105,1.1164638,1.3275352,1.2107859,1.3314352,0.22937971,0.8448821,0.69711685,0.5999831,0.7069205,0.9817515,1.446763,1.1315697,1.2315782,1.2815403,0.9546588,0.36655563,0.48903462,0.4824332,0.500898,0.045341212,0.63344437,0.5109654,0.5175668,0.499102,0.90931755,-0.26688877,-0.021930775,-0.035133585,0.0017960243,0,1
2014-01-03,20.403622,20.564125,20.672773,20.302383,6383249.0,0.007866416,0.018153146,0.43333626,0.005324952,0.2933349,0.0049617784,0.27332884,0.007503243,0.41333017,0.992195,1.0052834,0.9872719,0.9975984,0.9786874,0.92468697,0.87748104,0.7555326,0.9996878,0.9940274,0.9718977,0.94727594,0.8971697,0.0061484263,0.00860975,0.02888442,0.04293093,0.06302784,1.1983464e-05,0.002244906,0.0044468055,0.0047114003,0.003438789,9.496789e-06,0.6231989,0.8295393,0.9333856,0.9079169,0.0002882524,-0.0041294433,-0.014142391,-0.015591252,0.0013859913,1.010687,1.010687,1.010687,1.010687,1.010687,0.9872719,0.9679588,0.9099055,0.8781962,0.74385047,1.0044668,1.0007445,0.9951009,0.99307305,0.97449166,0.99414027,0.9879946,0.9405415,0.89855695,0.84708333,0.6,0.8,0.9,0.93333334,0.96666664,0.5435849,0.7498844,0.8939588,0.9193379,0.9599493,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.1,0.05,0.033333335,0.016666668,-0.4,0.7,0.85,0.9,0.95,-0.17187874,-0.49022317,-0.32985154,-0.047381226,-0.1849696,-0.39728457,-0.0010636073,0.1101129,0.2281294,0.032935955,0.6,0.7,0.65,0.7,0.65,0.4,0.2,0.3,0.26666668,0.33333334,0.2,0.5,0.35,0.43333334,0.31666666,0.5316461,0.68742657,0.6896176,0.7181254,0.68255293,0.46835393,0.3125734,0.31038246,0.28187457,0.3174471,0.06329213,0.3748532,0.3792351,0.43625087,0.3651058,0.77158993,0.9544379,1.2969003,1.2140659,1.3429111,0.24028867,0.6400462,0.69599396,0.60748005,0.71519876,0.82219994,1.0754857,1.1980741,1.2457167,1.2958698,0.9293155,0.33850512,0.45109308,0.488002,0.49737555,0.07068451,0.66149485,0.5489069,0.511998,0.50262445,0.858631,-0.32298976,-0.09781383,-0.023996022,-0.0052488833,1,1
2014-01-06,20.611044,20.467825,20.774015,20.445602,7650017.0,-0.006948653,0.015933836,-0.43609416,0.0079069985,0.49623945,0.001078185,0.06766638,-0.0137774665,-0.86466724,1.0069972,1.0149596,0.99891424,0.9991555,0.9832921,0.91957605,0.8855618,0.75597346,1.0045601,1.000375,0.98049164,0.95554745,0.905458,0.0060076313,0.0067467964,0.026152052,0.04212772,0.061640523,-0.0024369317,0.0012986733,0.003905531,0.0045886165,0.0033701523,0.41135827,0.33963788,0.7805787,0.91945267,0.9117301,0.00031370693,-0.006219036,-0.01759421,-0.022082381,-0.004877479,1.0154423,1.0154423,1.0154423,1.0154423,1.0154423,0.991917,0.9813763,0.92065376,0.8834061,0.76244086,1.0091927,1.0054529,1.0004584,0.9989208,0.9832921,0.99949324,0.9954637,0.94642794,0.90438944,0.85435057,0.4,0.6,0.8,0.8666667,0.93333334,0.34358883,0.5466965,0.8370875,0.8830455,0.9389639,0.4,0.7,0.85,0.9,0.95,0.8,0.1,0.15,0.033333335,0.016666668,-0.4,0.6,0.7,0.8666667,0.93333334,-0.66119224,-0.37768123,-0.3558484,-0.06528713,-0.22464375,-0.40657184,-0.07350234,0.034482367,0.22074935,0.02231153,0.6,0.7,0.65,0.6666667,0.65,0.4,0.3,0.3,0.3,0.33333334,0.2,0.4,0.35,0.36666667,0.31666666,0.5106378,0.6351154,0.7064591,0.7022453,0.6809424,0.4893622,0.36488461,0.29354092,0.29775468,0.31905755,0.021275597,0.2702308,0.41291818,0.40449062,0.3618849,0.7532452,0.7787639,1.0841756,1.0220459,1.1255366,0.21871129,0.5229212,0.5803635,0.5040675,0.594439,0.6449676,0.9242885,1.2291589,1.2385863,1.2923933,0.94095045,0.47513232,0.50284535,0.5141666,0.50663805,0.05904952,0.5248677,0.49715468,0.4858334,0.49336195,0.88190097,-0.04973537,0.0056906375,0.02833316,0.013276118,0,1
2014-01-07,20.596224,21.14934,21.272804,20.50486,9560701.0,0.026855206,0.037285686,0.72025514,0.0059945253,0.16077283,0.004435954,0.11897204,0.025296636,0.67845434,0.97384715,1.0058378,0.9695272,0.97594863,0.95832956,0.91463214,0.8673415,0.7595469,0.9769996,0.972306,0.95316476,0.9291779,0.8802881,0.0139536895,0.011199963,0.026401598,0.04151556,0.05975587,0.004331539,0.0023407368,0.0039687175,0.0045302375,0.003266518,0.24090531,0.40039015,0.7908752,0.92283034,0.9113995,0.014337361,0.017160647,0.009132417,0.00513366,0.023349598,1.0058378,1.0058378,1.0058378,1.0058378,1.0058378,0.95995355,0.9538821,0.8909867,0.8588804,0.75224483,0.9836547,0.9766726,0.9704613,0.96712226,0.9529512,0.96728563,0.9650438,0.9188511,0.8815751,0.8289991,1.0,1.0,1.0,1.0,1.0,0.8727721,0.8876397,0.9491711,0.9602759,0.97697985,1.0,1.0,1.0,1.0,1.0,0.6,0.2,0.1,0.033333335,0.016666668,0.4,0.8,0.9,0.96666664,0.98333335,0.5263388,0.4352709,-0.2885669,-0.023747765,-0.21280336,-0.061492387,0.027963271,0.093477175,0.22929241,0.011962142,0.6,0.7,0.65,0.6666667,0.65,0.4,0.3,0.3,0.3,0.33333334,0.2,0.4,0.35,0.36666667,0.31666666,0.6950737,0.74415267,0.717743,0.72430474,0.6830262,0.30492625,0.25584733,0.28225702,0.27569526,0.3169738,0.39014748,0.48830533,0.435486,0.44860944,0.36605236,0.7347085,0.55459666,0.8788487,0.82614946,0.90454245,0.17622025,0.24550283,0.46472344,0.40445822,0.47546625,1.2059608,1.5783652,1.2347338,1.2164581,1.2912283,0.9896912,0.35048333,0.5192216,0.5163352,0.5065435,0.01030882,0.64951664,0.48077837,0.4836648,0.4934565,0.97938234,-0.29903334,0.03844326,0.032670394,0.0130869895,1,0
2014-01-08,21.228361,21.33701,21.692585,21.198729,15748345.0,0.005118073,0.023263993,0.21999978,0.016750025,0.7199978,0.0013958953,0.060002394,-0.010236056,-0.43999568,0.994908,1.0166647,0.9935192,0.9709526,0.9527833,0.90532386,0.8631596,0.76665306,0.97421587,0.96847576,0.949515,0.9255667,0.8764347,0.019925525,0.015201037,0.027199024,0.0420907,0.05981742,0.011376033,0.0035658083,0.00409964,0.0046010986,0.0032672503,0.8148959,0.50440687,0.7951569,0.9260886,0.90993273,0.0030320904,0.015478075,0.011538411,0.0077174115,0.027181458,1.0166647,1.0166647,1.0166647,1.0166647,1.0166647,0.95151025,0.94549227,0.88315004,0.85258955,0.76044875,0.9929636,0.97500294,0.96449476,0.95970374,0.9504771,0.9587779,0.9581298,0.9328281,0.88076055,0.8231552,1.0,1.0,1.0,1.0,1.0,0.74422735,0.7658543,0.8751843,0.8984323,0.9349583,1.0,1.0,1.0,1.0,1.0,0.4,0.1,0.05,0.06666667,0.016666668,0.6,0.9,0.95,0.93333334,0.98333335,0.91206473,0.7439166,-0.083250694,0.071199626,-0.15772717,0.05069342,0.05038285,0.13313502,0.23477924,0.018985033,0.6,0.7,0.7,0.6666667,0.65,0.4,0.3,0.25,0.3,0.33333334,0.2,0.4,0.45,0.36666667,0.31666666,0.71902,0.7608686,0.7345366,0.72924554,0.6805775,0.28097996,0.2391314,0.2654634,0.2707545,0.31942245,0.43804005,0.5217372,0.46907315,0.45849106,0.3611551,0.58154655,0.3983002,0.54860026,0.5200606,0.5580871,0.24777354,0.2581378,0.298952,0.2615203,0.29420874,0.90517896,1.3378729,1.1517452,1.1670086,1.2902343,0.993852,0.76903033,0.5401971,0.5550773,0.52361757,0.006147962,0.23096967,0.45980296,0.4449227,0.4763824,0.9877041,0.53806067,0.0803941,0.11015462,0.04723517,1,0
2014-01-09,21.45059,20.96908,21.51973,20.927103,9315286.0,-0.02244741,0.027627518,-0.8125018,0.003223197,0.11666618,0.0019569125,0.07083201,-0.023713693,-0.858336,1.0229628,1.02626,0.9979982,0.9736223,0.97220933,0.9274046,0.8745638,0.8054729,0.99658525,0.988248,0.96980524,0.9459881,0.89505494,0.017803416,0.015316537,0.027077813,0.04215582,0.06136883,0.008007477,0.0035370048,0.004042609,0.0045935246,0.0033555955,0.5057371,0.48883423,0.7801254,0.92019254,0.91189194,-0.012600205,-0.004164528,-0.008210029,-0.012594228,0.005954981,1.0345035,1.0345035,1.0345035,1.0345035,1.0345035,0.96820575,0.96820575,0.90893334,0.86754936,0.7965883,1.0103865,1.0017192,0.9850685,0.9788038,0.97004277,0.9797695,0.97593063,0.95875835,0.9049824,0.8386975,0.6,0.8,0.9,0.93333334,0.96666664,0.47956827,0.47956827,0.72522575,0.79333586,0.85497594,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.6,0.1,0.033333335,0.23333333,0.6,0.3,0.85,0.93333334,0.75,0.8865972,0.741643,-0.074479,0.06987962,-0.14164484,0.6007237,0.37020984,0.23479106,0.2776984,0.037842076,0.6,0.6,0.65,0.6666667,0.6333333,0.4,0.4,0.3,0.3,0.35,0.2,0.2,0.35,0.36666667,0.28333333,0.6866648,0.629954,0.6674799,0.69753706,0.64972186,0.31333518,0.37004602,0.3325201,0.3024629,0.3502781,0.37332964,0.259908,0.3349598,0.3950742,0.29944378,1.0446829,0.7501607,0.94117314,0.89166063,0.9448749,0.3868646,0.4172637,0.5033606,0.4400159,0.49742764,0.8123025,1.1086526,1.0905832,1.1132301,1.3013297,0.59031504,0.67380315,0.52088076,0.5205488,0.5020905,0.40968496,0.32619682,0.4791192,0.47945118,0.49790952,0.18063012,0.34760633,0.041761562,0.041097634,0.0041809916,0,1
2014-01-10,21.062925,21.102432,21.233303,20.991316,8105615.0,0.0018756612,0.011488776,0.16326033,0.006213326,0.540817,0.0033997889,0.29592264,-0.0009378759,-0.081634104,0.9981279,1.0062017,0.9947344,0.97449076,0.9721504,0.9043517,0.8696178,0.7936453,0.9953894,0.98478794,0.9684592,0.9443562,0.89283806,0.015544469,0.01575516,0.024168188,0.041090332,0.06130731,0.005160329,0.0038394702,0.0035992546,0.004466064,0.0033534097,0.27551362,0.5443878,0.7762561,0.9155293,0.912533,-0.005710052,-0.002065561,-0.0026521008,-0.00911415,0.008236322,1.0279661,1.0279661,1.0279661,1.0279661,1.0279661,0.9688742,0.9620874,0.90318954,0.864042,0.79155445,1.0040015,1.0004445,0.98413277,0.9752162,0.9663465,0.98893005,0.96976346,0.9537218,0.9037011,0.83648765,0.6,0.8,0.9,0.93333334,0.96666664,0.52673537,0.57549125,0.77587056,0.82939607,0.88170594,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.5,0.05,0.1,0.21666667,0.4,0.3,0.85,0.8333333,0.75,0.7224043,0.73357844,-0.042996965,0.05370675,-0.13863249,0.5797328,0.31891492,0.2925926,0.27382028,0.03349375,0.6,0.6,0.7,0.6666667,0.65,0.4,0.4,0.25,0.3,0.33333334,0.2,0.2,0.45,0.36666667,0.31666666,0.68350136,0.6307691,0.73387486,0.7029404,0.65993893,0.31649867,0.36923093,0.26612514,0.29705957,0.34006107,0.3670027,0.26153818,0.4677497,0.40588087,0.31987786,1.243088,0.9253612,1.0786355,1.0338802,1.0861299,0.40349916,0.44770783,0.57875496,0.5025563,0.5716227,0.7988065,1.0459554,1.1470821,1.0867225,1.304913,0.5506345,0.6222217,0.49598858,0.5129613,0.5003201,0.4493655,0.37777826,0.5040114,0.48703867,0.49967995,0.10126903,0.24444346,-0.00802284,0.02592266,0.0006400978,1,1
2014-01-13,21.080202,20.892536,21.408615,20.81352,7781636.0,-0.008902473,0.028230028,-0.31535476,0.015579215,0.5518668,0.0037483384,0.13277842,-0.02073335,-0.7344432,1.0089824,1.0247016,0.99621797,0.97967166,0.97884434,0.92528737,0.8939599,0.81335205,1.0094552,0.99679714,0.9819244,0.9573783,0.90491873,0.008231457,0.014951216,0.02142319,0.040735625,0.062092237,-0.0035811076,0.003112322,0.0031117185,0.0043957233,0.0033981449,0.47317445,0.39721665,0.73841465,0.9024302,0.91350096,-0.0022929956,-0.010802597,-0.011485727,-0.021116322,-0.00516403,1.0382935,1.0382935,1.0382935,1.0382935,1.0382935,0.9814443,0.97175294,0.9196558,0.8727225,0.7995068,1.0140882,1.0104955,1.0007328,0.9886775,0.9774629,1.002931,0.9833591,0.9687479,0.92235464,0.84618187,0.2,0.6,0.8,0.8666667,0.93333334,0.32640234,0.42450875,0.6772231,0.7687184,0.839633,0.4,0.7,0.85,0.9,0.95,0.2,0.4,0.05,0.06666667,0.2,0.2,0.3,0.8,0.8333333,0.75,0.8516893,0.6893671,-0.01922492,0.026943114,-0.13258171,0.6480607,0.35806435,0.30355373,0.29202366,0.034209464,0.6,0.6,0.65,0.6333333,0.6333333,0.4,0.4,0.3,0.33333334,0.35,0.2,0.2,0.35,0.3,0.28333333,0.63437146,0.5923608,0.6824602,0.66625875,0.6435977,0.36562854,0.40763924,0.31753978,0.33374128,0.35640225,0.26874295,0.18472154,0.3649204,0.33251745,0.2871955,1.2982253,1.019365,1.1194929,1.0868111,1.128876,0.41721863,0.42931944,0.6034234,0.51896334,0.59565765,0.6975505,0.9335606,1.1657015,1.0945121,1.3151922,0.50409645,0.6037207,0.494808,0.5134587,0.49686444,0.49590355,0.39627928,0.50519204,0.4865413,0.50313556,0.008192885,0.20744146,-0.010384028,0.026917426,-0.006271095,0,1
2014-01-14,20.919703,21.702463,21.722218,20.919703,8060258.5,0.03741739,0.038361683,0.97538435,0.0009442969,0.024615627,0.0,0.0,0.03647309,0.95076877,0.96393216,1.0009103,0.96393216,0.97451335,0.95107496,0.89290255,0.84760773,0.79587483,0.9768801,0.9644896,0.95063424,0.9267291,0.8745496,0.015083256,0.018811613,0.020208018,0.039163716,0.061209887,0.0030151585,0.0046318234,0.0029503112,0.0042265328,0.0033549801,0.09990106,0.5557294,0.74603003,0.9026147,0.9162977,0.017089592,0.0146672,0.021337785,0.011986163,0.02647844,1.0009103,1.0009103,1.0009103,1.0009103,1.0009103,0.95903957,0.9354875,0.89855033,0.84015286,0.7696695,0.9865286,0.97624284,0.9674363,0.956218,0.94209284,0.96550196,0.9466605,0.9361723,0.8906206,0.8156418,1.0,1.0,1.0,1.0,1.0,0.97826076,0.98608685,0.99110746,0.9943378,0.99606365,1.0,1.0,1.0,1.0,1.0,0.8,0.3,0.05,0.033333335,0.18333334,0.2,0.7,0.95,0.96666664,0.81666666,0.17634371,0.5773333,0.038167138,-0.06647277,-0.12443462,0.43746445,0.25502378,0.2619515,0.2240404,0.035502627,0.6,0.6,0.65,0.6666667,0.6333333,0.4,0.4,0.3,0.3,0.35,0.2,0.2,0.35,0.36666667,0.28333333,0.661848,0.67622757,0.730546,0.72997105,0.6569982,0.338152,0.32377243,0.269454,0.27002898,0.34300178,0.323696,0.35245517,0.461092,0.45994207,0.31399646,1.2161183,1.0437976,1.0762722,1.0678283,1.0889846,0.41884357,0.36108306,0.58283675,0.4879082,0.5751646,0.68709636,0.8731676,1.0758904,1.0585717,1.2994761,0.44802034,0.61519355,0.49398515,0.5267142,0.49885795,0.55197966,0.38480642,0.5060148,0.4732858,0.501142,-0.10395933,0.23038715,-0.012029699,0.05342843,-0.0022841082,1,1
2014-01-15,21.902477,21.971619,22.025942,21.618511,7426873.5,0.003156784,0.018602034,0.169701,0.0024802308,0.13333115,0.012965021,0.69696784,0.0136415735,0.7333377,0.9968532,1.0024724,0.9839289,0.97111684,0.9429084,0.91108435,0.8416875,0.80062956,0.9706898,0.9583836,0.94343466,0.92065364,0.8671591,0.021872425,0.023394503,0.023076968,0.039081093,0.062375665,0.0118566975,0.0065054065,0.0033451598,0.0042125145,0.0034299702,0.7346383,0.7088147,0.735435,0.90043235,0.92225325,0.0055968096,0.012342053,0.024786348,0.01826491,0.03165675,1.0024724,1.0024724,1.0024724,1.0024724,1.0024724,0.9472912,0.9240277,0.89914596,0.8301957,0.7602409,0.99019986,0.97444344,0.96086746,0.95158416,0.9309281,0.95367444,0.9350638,0.9273316,0.88029075,0.8065873,1.0,1.0,1.0,1.0,1.0,0.9551945,0.96848196,0.9760717,0.9856485,0.9897931,1.0,1.0,1.0,1.0,1.0,0.6,0.2,0.1,0.033333335,0.16666667,0.4,0.8,0.9,0.96666664,0.8333333,-0.5562259,0.34348744,0.10349807,-0.09407742,-0.12556735,0.7167215,0.2716935,0.18656656,0.2298808,0.037458163,0.6,0.6,0.65,0.6666667,0.6333333,0.4,0.4,0.3,0.3,0.35,0.2,0.2,0.35,0.36666667,0.28333333,0.67723936,0.69568324,0.7091602,0.73624676,0.65578985,0.32276064,0.30431676,0.2908398,0.2637532,0.34421012,0.35447875,0.39136648,0.4183204,0.4724936,0.31157973,1.0957415,1.1644422,1.1312045,1.1628433,1.180995,0.095821135,0.36332926,0.61897016,0.5278184,0.6244346,0.7571727,0.7826905,1.0546923,1.0342014,1.3087683,0.031380944,0.55967075,0.45208544,0.5053784,0.49895677,0.96861905,0.44032925,0.54791456,0.4946216,0.5010432,-0.9372381,0.119341515,-0.09582916,0.01075681,-0.0020864517,1,0
