date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2013-06-03,-1.174065,0.017014,-1.905731,2.279849,2.279865,-0.622777,-0.005117,-0.252975,-0.102104,-0.871204,-1.670931,0,49.460854
2013-06-04,0.466807,0.829876,-0.449512,-1.58244,-1.582441,0.826411,1.398676,1.256329,1.472156,0.780765,0.107759,-1,48.678165
2013-06-05,0.247525,1.131542,-0.088407,-2.213,-2.213007,2.46464,3.078143,3.321542,3.604134,3.063646,2.502353,-1,47.600914
2013-06-06,-1.242785,0.05251,-1.592858,1.007779,1.007781,0.738665,1.626113,2.198489,2.349899,2.143877,1.556678,0,48.080627
2013-06-07,-0.63258,0.123001,-1.07187,-0.385088,-0.385097,0.934819,1.685123,2.468229,2.538223,2.635043,1.977981,-1,47.89547
2013-06-10,0.177871,0.462467,-0.302387,-1.212439,-1.212432,1.266453,2.575593,3.442424,3.520096,3.79651,3.231942,-1,47.31477
2013-06-11,-1.051681,0.6165,-1.214872,-1.903235,-1.903247,2.255673,4.000008,4.981571,5.210341,5.588402,5.123004,-1,46.414253
2013-06-12,1.456928,1.547984,-0.109273,-0.43518,-0.435185,2.101633,3.822635,4.817595,5.345124,5.794224,5.484141,-1,46.212265
2013-06-13,-1.196341,0.175931,-1.565797,3.514842,3.514863,-1.467285,-0.107324,0.940647,1.673111,2.004217,1.976302,0,47.836563
2013-06-14,1.080221,1.540639,-0.159377,-0.650948,-0.650954,-0.977514,0.371879,1.325776,2.205593,2.474232,2.699366,-1,47.525169
2013-06-17,0.17535,0.666318,-0.64878,0.991673,0.991666,-1.665785,-0.918806,0.190552,1.063483,1.306689,1.657616,0,47.99646
2013-06-18,-0.651407,0.616202,-0.792255,-0.403297,-0.403284,-0.686626,-0.700709,0.423705,1.277284,1.585911,1.986499,-1,47.802898
2013-06-19,1.93525,2.984261,0.0,-2.658447,-2.658458,2.163143,1.781518,2.793758,3.613677,4.129502,4.583111,-1,46.532078
2013-06-20,1.108814,1.353131,-0.357074,-3.761986,-3.761994,4.792344,5.023505,6.069051,7.068237,7.845909,8.267886,-1,44.781544
2013-06-21,-0.469219,0.43168,-1.8018,0.131554,0.131568,3.457204,4.204203,5.406659,6.408598,7.351353,7.750878,0,44.840462
2013-06-24,0.13446,1.114095,-1.248561,-2.289786,-2.289791,3.972339,5.847099,7.017547,8.309646,9.363814,9.810478,-1,43.813709
2013-06-25,-0.72271,0.380367,-1.236215,0.998849,0.998852,1.338907,4.311521,5.292251,6.697412,7.792315,8.339037,0,44.251343
2013-06-26,0.0,0.679486,-0.698886,-2.035002,-2.035005,1.976319,5.818296,6.825867,8.246953,9.369064,10.138494,-1,43.350826
2013-06-27,-0.693241,0.635467,-0.693241,0.81538,0.815389,0.658573,4.016939,5.2943,6.677253,7.89755,8.863208,0,43.704304
2013-06-28,-0.21455,0.507117,-0.877706,-1.270942,-1.270939,1.170268,4.341711,5.916382,7.446843,8.698257,9.828352,-1,43.148849
2013-07-01,-0.134458,0.749136,-0.422591,1.540864,1.540852,-0.364961,1.803689,3.776413,5.17192,6.574725,7.742351,0,43.813709
2013-07-02,0.831402,1.237432,-0.870072,-0.653093,-0.653083,-0.042542,1.490711,4.016491,5.271648,6.768748,7.980142,-1,43.527569
2013-07-03,-0.627451,0.470592,-1.156863,-1.392113,-1.392106,1.168621,2.082341,4.973844,6.212732,7.697243,8.913713,-1,42.921619
2013-07-05,-0.039771,0.298266,-1.451581,-1.392155,-1.392168,1.944725,2.942932,5.587591,7.032212,8.51382,9.837609,-1,42.324078
2013-07-08,-0.217771,0.732534,-0.53454,0.437457,0.437458,1.199769,1.946155,4.341058,5.932493,7.4908,8.811462,0,42.509228
2013-07-09,0.231167,0.288964,-1.36775,2.771732,2.77173,-1.587358,-0.832206,0.869456,2.660376,4.063189,5.471011,0,43.687469
2013-07-10,0.038799,0.989335,-0.562563,-0.69351,-0.693512,-0.966046,-0.339469,0.89493,3.028134,4.30185,5.773044,-1,43.384491
2013-07-11,-1.323901,0.090678,-1.777292,6.964113,6.964118,-5.912224,-6.169747,-5.692176,-3.658867,-2.591946,-1.309392,0,46.405838
2013-07-12,1.053408,1.108849,-0.295694,-1.867969,-1.867972,-2.709298,-3.980778,-3.786113,-2.077249,-0.961005,0.25935,-1,45.53899
2013-07-15,0.385673,0.624426,-0.165289,0.62835,0.628349,-1.869606,-3.996325,-4.243647,-2.874196,-1.760146,-0.550962,0,45.825134
2013-07-16,-0.607796,0.0,-1.28709,2.736452,2.736452,-3.042544,-5.859846,-6.33178,-5.558631,-4.396851,-3.368486,0,47.079117
2013-07-17,1.073749,1.302584,-0.352051,1.555241,1.555254,-2.675596,-6.405573,-7.269857,-7.00406,-5.744071,-4.908771,0,47.811317
2013-07-18,-0.017535,0.788922,-0.175319,0.404858,0.404854,-2.401828,-5.72406,-6.997434,-7.225638,-5.974761,-5.264149,0,48.004883
2013-07-19,0.334327,0.439908,-0.281548,-0.368161,-0.36816,-1.08394,-4.22489,-6.078956,-6.564322,-5.628022,-4.931677,-1,47.828148
2013-07-22,-0.588541,0.259647,-0.934741,1.654052,1.654045,-1.544048,-4.526569,-6.857074,-7.696034,-7.073566,-6.428941,0,48.619247
2013-07-23,-0.169547,0.389961,-0.423872,2.094513,2.094508,-2.533052,-5.286532,-7.985751,-9.003045,-8.847739,-8.192602,0,49.637581
2013-07-24,1.997589,2.014813,-0.447734,-1.542896,-1.542891,-0.571721,-2.679522,-5.814819,-7.104355,-7.33184,-6.586303,-1,48.871727
2013-07-25,-1.582928,0.0,-1.582928,0.086101,0.086119,-0.285628,-2.250528,-5.07916,-6.615635,-7.216806,-6.482578,0,48.913815
2013-07-26,-1.008894,0.0,-1.350891,0.61941,0.619404,-0.335164,-2.105,-4.729831,-6.630479,-7.427505,-6.964783,0,49.216789
2013-07-29,-0.068837,0.481841,-0.447432,-0.632693,-0.632705,0.416455,-0.851829,-3.251304,-5.447426,-6.505592,-6.278322,-1,48.905392
2013-07-30,0.977655,1.012573,-0.27933,-1.428329,-1.428327,1.277939,0.81879,-1.224392,-3.62168,-4.78631,-4.905724,-1,48.206863
2013-07-31,0.017506,1.13756,-0.455019,-0.244413,-0.244405,1.200559,1.123553,-0.330188,-2.911276,-4.233817,-4.652905,-1,48.089043
2013-08-01,0.310507,0.534756,-0.448511,1.452576,1.452572,-0.300157,-0.163881,-1.431778,-3.700194,-5.159224,-5.863958,0,48.787571
2013-08-02,-0.241963,0.172828,-0.708607,-0.189753,-0.189759,-0.32492,0.203943,-0.812303,-2.862944,-4.568958,-5.417098,-1,48.694992
2013-08-05,-0.189265,0.533381,-0.533376,0.449357,0.449375,-0.767387,-0.184112,-0.835064,-2.64282,-4.524444,-5.562641,0,48.913815
2013-08-06,0.645167,0.749784,-0.401044,-1.324847,-1.324855,0.589365,0.87184,0.660273,-0.861379,-2.873585,-3.987215,-1,48.265778
2013-08-07,-0.174669,0.593886,-0.31441,-0.174364,-0.174376,0.803502,0.904812,0.887344,-0.190387,-2.317549,-3.547593,-1,48.181614
2013-08-08,-2.137248,0.267156,-2.187338,4.611352,4.611361,-2.998831,-3.24762,-3.242611,-4.193521,-6.029722,-7.332889,0,50.403442
2013-08-09,-2.299971,0.259151,-2.461939,3.089002,3.088997,-4.648526,-5.618724,-5.611706,-6.446389,-8.103662,-9.57996,0,51.960403
2013-08-12,-0.555465,0.93122,-0.555465,-0.858443,-0.858446,-2.813261,-4.295044,-4.419751,-5.08413,-6.608719,-8.255726,-1,51.514351
2013-08-13,0.260332,0.260332,-0.797263,0.40843,0.408436,-1.871137,-4.004229,-4.539536,-5.021151,-6.367068,-8.119102,0,51.724754
2013-08-14,0.420165,1.034258,-0.274729,0.683375,0.683359,-1.040715,-3.889776,-4.776976,-5.256129,-6.334831,-8.195422,0,52.07822
2013-08-15,-1.388665,0.322947,-2.099143,0.0808,0.080809,-0.461812,-3.327948,-4.443723,-4.937829,-5.9719,-7.68125,0,52.120304
2013-08-16,0.420915,0.550431,-0.226646,-0.258356,-0.258354,-0.194272,-2.444552,-3.84113,-4.291726,-5.232311,-6.82262,-1,51.985649
