date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2013-06-03,-1.332136,0.0449,-1.93085,2.281075,2.281066,-0.730417,0.501435,0.766367,1.476591,1.171696,0.670073,0,57.016388
2013-06-04,-0.166039,0.362261,-0.649057,-0.838195,-0.838189,0.184153,1.07623,1.406797,2.193968,1.950194,1.612583,-1,56.538483
2013-06-05,0.186282,1.288423,-0.248364,-2.762267,-2.762262,2.489908,3.210183,3.889064,4.76638,4.672465,4.494983,-1,54.976742
2013-06-06,-1.095002,0.030853,-1.804439,0.651968,0.651958,1.061082,2.001864,2.983771,3.660566,3.932158,3.747189,0,55.335167
2013-06-07,-1.0123,0.04672,-1.432796,-0.971618,-0.971614,1.706898,2.485597,3.704517,4.25246,4.85844,4.643105,-1,54.797523
2013-06-10,-0.141443,0.487188,-0.282885,-0.903283,-0.903274,1.634439,2.932571,4.227558,4.760328,5.565295,5.462303,-1,54.302551
2013-06-11,-1.457166,0.752597,-1.649324,-1.854471,-1.85448,2.33787,4.309048,5.597013,6.267417,7.197443,7.184419,-1,53.295521
2013-06-12,1.419579,1.774476,-0.209713,-0.736588,-0.736593,2.313278,4.410392,5.608436,6.549451,7.561227,7.698562,-1,52.90295
2013-06-13,-1.556599,0.141511,-1.729557,2.597187,2.597195,-0.666665,1.18239,2.438157,3.577048,4.411955,4.854303,0,54.276943
2013-06-14,1.369863,1.752154,-0.207068,-1.289307,-1.28931,0.175218,2.099396,3.271746,4.593825,5.336738,6.068288,-1,53.577145
2013-06-17,-0.047413,0.505769,-0.758652,0.780505,0.780508,-0.714402,0.749168,2.107369,3.436858,4.142249,5.019232,0,53.995319
2013-06-18,-0.607024,0.782751,-0.638973,-1.058957,-1.058953,0.396163,1.244406,2.838123,4.107027,4.889457,5.849842,-1,53.423534
2013-06-19,2.366083,3.220504,-0.049292,-2.779548,-2.779547,2.895162,3.554049,5.197712,6.400748,7.401243,8.447798,-1,51.938602
2013-06-20,1.492799,1.818808,-0.171584,-4.239241,-4.239238,5.624566,7.01269,8.820627,10.247933,11.55044,12.556618,-1,49.736801
2013-06-21,-0.118805,0.45825,-1.527492,1.098145,1.098135,3.167014,4.952484,6.914464,8.319761,9.790231,10.725851,0,50.282978
2013-06-24,0.609967,1.307076,-1.394212,-2.613709,-2.61371,3.882889,6.680029,8.688277,10.412166,12.020218,13.007439,-1,48.968727
2013-06-25,-1.084332,0.413084,-1.600689,1.254787,1.254785,1.046481,4.609303,6.406204,8.364036,9.945621,11.018944,0,49.583179
2013-06-26,-0.086265,0.569362,-0.707384,-0.240962,-0.240945,0.289845,4.166656,5.920163,7.91838,9.437532,10.694147,-1,49.463711
2013-06-27,-0.325118,0.787137,-0.479122,0.828157,0.828149,-0.479126,2.428131,4.320099,6.272242,7.861053,9.291011,0,49.873344
