date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2013-06-03,-0.461627,0.519331,-1.269469,0.463768,0.463759,-0.17311,0.755914,1.334868,1.087705,0.170799,-0.546262,0,12.195801
2013-06-04,0.346632,1.039867,-0.751005,-0.115413,-0.115409,-0.173307,0.641251,1.190062,1.311378,0.390525,-0.263818,-1,12.181726
2013-06-05,3.864747,4.106286,-3.381637,-4.332756,-4.332769,3.514505,4.510885,5.261686,5.739745,4.85267,4.253233,-1,11.65392
2013-06-06,-1.376415,0.119695,-1.376415,0.905797,0.905798,1.927,3.052076,3.953732,4.560153,3.954529,3.339329,0,11.759481
2013-06-07,-1.349777,0.352107,-1.584513,1.974877,1.974875,-0.293429,0.751175,1.71753,2.367958,2.051644,1.406496,0,11.991716
2013-06-10,0.233514,0.350274,-0.758897,0.528157,0.528165,-1.050788,-0.029184,0.937932,1.625807,1.604208,0.941823,0,12.055052
2013-06-11,1.244082,1.481043,-0.118472,-1.459428,-1.45943,-0.094787,1.137447,2.105064,2.802139,3.094792,2.440766,-1,11.879117
2013-06-12,0.296554,0.593108,-0.355884,-0.118472,-0.118477,0.379592,1.026096,1.894031,2.636417,3.162513,2.552393,-1,11.865043
2013-06-13,-1.806527,0.4662,-1.864802,1.779353,1.779361,-0.85082,-0.798371,-0.050507,0.708041,1.28438,0.881894,0,12.076165
2013-06-14,0.058485,1.111117,-0.584795,-0.34965,-0.349647,-0.432754,-0.538018,0.120853,0.912277,1.520462,1.339177,-1,12.033941
2013-06-17,0.23161,1.215981,-0.347429,0.994152,0.994138,-1.250717,-1.551818,-0.976637,-0.22292,0.391438,0.442008,0,12.153575
2013-06-18,1.104015,1.51075,-0.52294,-0.347429,-0.347412,-0.522954,-1.266711,-0.708893,-0.020338,0.560137,0.844467,-1,12.111352
2013-06-19,0.292398,0.877193,-0.233924,-0.639158,-0.639161,0.397657,-0.315796,-0.128661,0.447365,1.036252,1.495121,-1,12.033941
2013-06-20,2.402396,2.462456,-0.240234,-2.631579,-2.63159,2.498505,2.342348,2.326332,2.88289,3.533941,4.072078,-1,11.717257
2013-06-21,-0.533814,0.296554,-1.720053,1.261267,1.261268,0.937128,0.960853,0.897586,1.393831,2.06643,2.62752,0,11.865043
2013-06-24,0.418404,1.016139,-1.135678,-0.771062,-0.771072,1.075925,1.50629,1.442532,1.933667,2.613286,3.205833,-1,11.773555
2013-06-25,-2.153673,0.407451,-2.561118,2.689779,2.689799,-1.606526,-0.977886,-1.265044,-0.803264,-0.197908,0.345358,0,12.09024
2013-06-26,0.4662,1.981352,-0.233094,-0.116414,-0.116416,-1.421917,-0.687649,-0.916865,-0.713873,-0.207461,0.332165,-1,12.076165
2013-06-27,0.524476,2.272721,-0.058275,0.0,0.0,-0.827509,-0.687649,-0.742039,-0.74301,-0.305363,0.242811,0,12.076165
2013-06-28,-1.711358,0.513406,-2.167718,2.156183,2.156189,-2.156316,-2.538519,-2.650708,-2.758143,-2.416443,-1.888205,0,12.33655
2013-07-01,1.785708,1.900922,-0.23042,-0.969766,-0.969777,-0.472348,-1.53226,-1.609066,-1.797239,-1.506916,-1.004227,-1,12.216913
2013-07-02,0.577034,0.577034,-0.923254,-0.172817,-0.17281,-0.126947,-1.29256,-1.265632,-1.621471,-1.35488,-0.905947,-1,12.195801
2013-07-03,-0.057971,0.811588,-0.57971,-0.461627,-0.461618,0.440573,-0.747838,-0.657017,-0.965231,-0.897405,-0.533346,-1,12.139503
2013-07-05,-0.690852,0.287847,-1.727121,0.695658,0.695638,-0.011507,-1.018995,-1.262712,-1.459412,-1.556706,-1.260793,0,12.22395
2013-07-08,-1.642123,0.226506,-1.642123,1.669539,1.669542,-1.506222,-2.191388,-2.672703,-2.902035,-3.080405,-2.863341,0,12.428034
2013-07-09,-2.005576,0.222836,-2.952652,1.642135,1.64215,-2.440122,-3.091934,-3.992586,-4.242355,-4.508095,-4.360276,0,12.632121
2013-07-10,-0.222464,0.111235,-0.945501,0.167125,0.167114,-1.879861,-2.808672,-3.867258,-4.096217,-4.518354,-4.414163,0,12.653231
2013-07-11,-2.702703,0.270265,-2.702703,2.892102,2.892091,-3.286476,-4.816203,-6.064854,-6.348638,-6.782693,-6.875666,0,13.019174
2013-07-12,-0.694074,0.213561,-1.227977,1.243243,1.243259,-3.021893,-5.146824,-6.478023,-7.079555,-7.496,-7.757612,0,13.181036
2013-07-15,0.698169,0.698169,-0.429646,-0.587288,-0.587298,-1.417828,-4.001071,-5.295379,-6.122448,-6.610096,-6.967418,-1,13.103624
2013-07-16,1.028139,1.136369,-0.216445,-0.751885,-0.751884,-0.0974,-2.667743,-3.946602,-5.083869,-5.610385,-6.055191,-1,13.0051
2013-07-17,-0.484131,0.10759,-0.91447,0.595238,0.595236,-0.032272,-2.565888,-4.009315,-5.274334,-5.800961,-6.381561,0,13.082511
