date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2013-06-03,-0.793529,0.0,-1.258876,0.992544,0.992535,-0.294483,-0.033682,-0.308955,-1.272068,-2.050523,-3.004978,0,55.958565
2013-06-04,1.277676,1.527577,-0.744432,-1.33528,-1.335281,0.790197,1.053121,1.185465,0.244368,-0.519297,-1.4218,-1,55.211361
2013-06-05,0.970386,1.544039,-0.051826,-1.522294,-1.522283,1.867856,2.163439,2.629156,1.868214,1.065955,0.272227,-1,54.370888
2013-06-06,-1.274444,0.037171,-1.389504,0.961449,0.961454,0.500923,0.98238,1.540778,0.997514,0.281434,-0.488369,0,54.893639
2013-06-07,0.264904,0.550993,-0.455627,0.230111,0.230123,0.1289,0.689076,1.261848,0.892517,0.19756,-0.533707,0,55.019962
2013-06-10,0.321678,0.585035,-0.551451,-0.083004,-0.083026,-0.145986,0.672352,1.122111,1.070472,0.367283,-0.271657,-1,54.974281
2013-06-11,0.308686,0.856468,-0.078508,-0.94383,-0.943823,0.527803,1.358575,1.813215,2.074528,1.414314,0.80603,-1,54.455421
2013-06-12,1.216891,1.277827,0.0,-0.438939,-0.43895,0.914021,1.536084,1.941055,2.419717,1.909608,1.280637,-1,54.216389
2013-06-13,-2.816707,0.317226,-2.903857,2.820893,2.820889,-1.548831,-1.292086,-0.89044,-0.395744,-0.746839,-1.301035,0,55.745773
2013-06-14,0.498985,0.633798,-0.343167,-0.446212,-0.446199,-0.935646,-0.833746,-0.42954,0.05961,-0.166964,-0.709089,-1,55.497036
2013-06-17,-0.712567,0.48254,-0.712567,1.230827,1.230831,-1.710863,-2.00004,-1.562584,-1.213969,-1.221268,-1.774281,0,56.180111
2013-06-18,-0.489388,0.080418,-0.715256,1.075774,1.075772,-1.936661,-2.766043,-2.511371,-2.256216,-2.077043,-2.610505,0,56.784481
2013-06-19,-0.141549,0.941382,-0.185891,0.335379,0.335375,-1.29611,-2.634002,-2.685336,-2.569967,-2.290501,-2.736443,0,56.974922
2013-06-20,1.201285,2.26638,-0.092536,-2.327885,-2.327889,1.02145,-0.177741,-0.40601,-0.282681,0.026824,-0.307709,-1,55.648609
2013-06-21,1.029148,1.152999,-0.769242,0.099525,0.099521,0.995318,-0.154189,-0.469677,-0.350773,-0.050647,-0.282339,0,55.703991
2013-06-24,0.136872,1.240672,-0.910055,-1.864678,-1.864685,2.360128,1.686472,1.263794,1.463936,1.69081,1.656671,-1,54.665287
2013-06-25,0.476462,0.540225,-0.524285,0.351941,0.351949,1.298664,1.403171,0.865665,1.009252,1.201252,1.351748,0,54.857681
2013-06-26,-0.350879,0.48246,-1.08947,0.960006,0.96,-0.238946,0.649833,0.028549,0.022379,0.134747,0.389894,0,55.384315
2013-06-27,0.148943,1.182798,-0.119158,0.1193,0.11931,-0.429321,0.476622,-0.023716,-0.144828,-0.026847,0.248766,0,55.450394
2013-06-28,-0.927765,0.0,-1.397741,0.669377,0.669373,-1.049264,-0.133333,-0.592746,-0.771799,-0.658379,-0.392513,0,55.821564
2013-07-01,-0.788736,1.164248,-0.970487,1.516097,1.516097,-1.820269,-1.538722,-1.878107,-2.191143,-2.061412,-1.88908,0,56.667873
2013-07-02,-0.198952,1.010188,-0.574553,-0.025718,-0.025715,-1.161118,-1.536552,-1.594233,-2.038725,-1.986003,-1.865445,-1,56.653301
2013-07-03,-1.091813,0.250775,-1.091813,0.535108,0.535097,-1.135138,-2.063865,-1.797277,-2.333146,-2.417812,-2.380202,0,56.956451
2013-07-05,-0.845332,0.0,-1.517571,1.509772,1.613773,-1.86718,-3.234443,-3.111544,-3.626618,-3.836744,-3.824611,0,57.875599
2013-07-08,1.338896,2.282403,-0.020365,-0.964652,-0.964648,-0.389407,-2.010433,-1.956089,-2.487493,-2.76687,-2.77388,-1,57.317303
2013-07-09,0.021902,0.488548,-0.289764,0.729692,0.729719,-0.741165,-2.18852,-2.486745,-2.954774,-3.348145,-3.35066,0,57.735558
2013-07-10,0.455232,0.715845,-0.597385,-0.451492,-0.451496,-0.005089,-1.289537,-1.964398,-2.251954,-2.752255,-2.823413,-1,57.474884
2013-07-11,-0.698815,0.099827,-1.474162,1.710922,1.71092,-1.173346,-2.424153,-3.444334,-3.533403,-4.108422,-4.29946,0,58.458233
2013-07-12,0.315598,0.494267,-0.41746,-0.359387,-0.359387,-0.68898,-1.591898,-2.79855,-2.970662,-3.532198,-3.82465,-1,58.248142
2013-07-15,0.565556,0.693101,-0.313827,-0.499282,-0.499286,0.030212,-0.72959,-2.051608,-2.271527,-2.845405,-3.195465,-1,57.957317
2013-07-16,1.090222,1.376761,-0.069516,-1.02036,-1.020373,0.932551,0.415467,-0.728015,-1.160696,-1.677081,-2.115737,-1,57.365936
2013-07-17,-1.744333,0.099439,-1.752761,0.603603,0.603613,0.409207,-0.003537,-0.993896,-1.673348,-2.041284,-2.558591,0,57.712204
2013-07-18,-0.149099,0.639952,-0.402066,0.601672,0.60167,-0.328686,-0.411611,-1.278852,-2.168014,-2.36238,-2.929591,0,58.059441
2013-07-19,0.918541,1.284279,-0.112924,-0.601422,-0.601428,0.087984,0.162315,-0.420464,-1.397444,-1.635445,-2.179563,-1,57.710255
2013-07-22,-1.370727,0.207434,-1.583136,1.562365,1.562386,-1.228355,-1.157655,-1.634966,-2.666232,-2.936061,-3.480106,0,58.611912
