date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2013-06-03,-0.081909,0.382251,-0.696248,0.301247,0.732302,1.076821,2.209862,2.630138,3.120298,2.735268,2.066244,0,66.144707
2013-06-04,0.39808,0.974605,-0.384349,-0.546078,-0.546074,1.020313,2.189228,2.840383,3.481693,3.251962,2.714734,-1,65.783508
2013-06-05,0.581876,1.288447,-0.110837,-0.919695,-0.919688,1.271078,2.504616,3.393099,4.138759,4.103334,3.693458,-1,65.178505
2013-06-06,-1.609823,0.0,-2.046385,1.551681,1.551654,-0.600947,0.671471,1.626299,2.277591,2.503184,2.129228,0,66.18985
2013-06-07,0.148791,0.568102,-0.865682,0.859477,0.859487,-1.119974,-0.338912,0.668487,1.203841,1.629566,1.295183,0,66.758743
2013-06-10,1.105045,1.487034,-0.259211,-0.852153,-0.852163,-0.256473,0.375706,1.341278,1.855988,2.388679,2.178255,-1,66.18985
2013-06-11,1.301793,1.637737,-0.181976,-2.537518,-2.537498,1.945678,2.479902,3.452634,4.139009,4.808404,4.732464,-1,64.510284
2013-06-12,1.67724,1.747717,-0.098661,-0.685897,-0.685897,2.303025,2.664881,3.622115,4.464916,5.215912,5.30725,-1,64.06781
2013-06-13,-1.863094,0.151809,-2.014903,2.128262,2.128253,-0.060721,0.245309,1.205432,2.088124,2.758454,3.066093,0,65.431335
2013-06-14,1.270955,1.508383,-0.069825,-1.186863,-1.186852,0.488821,1.29329,2.099099,3.080519,3.695519,4.195448,-1,64.654762
2013-06-17,-0.957587,0.451439,-0.957587,2.094972,2.094961,-1.627901,-0.805741,-0.109083,0.806929,1.382146,1.952689,0,66.009254
2013-06-18,-1.321472,0.593304,-1.483287,1.450077,1.4501,-2.300452,-2.046949,-1.619361,-0.831435,-0.20454,0.42016,0,66.966454
2013-06-19,1.171662,1.893732,0.0,-1.024814,-1.024846,-0.621241,-0.866476,-0.715035,-0.032797,0.658167,1.316417,-1,66.280151
2013-06-20,0.651514,0.942613,-0.457445,-1.716625,-1.716598,1.025775,0.704174,0.801899,1.497201,2.237915,2.849507,-1,65.142387
2013-06-21,-0.068657,0.411911,-1.400527,0.956478,0.956439,0.406448,-0.400913,-0.142778,0.382719,1.153014,1.687966,0,65.765434
2013-06-24,0.842221,1.038749,-1.389666,-2.183172,-2.183165,2.125229,1.532866,1.897829,2.405539,3.17617,3.711822,-1,64.329666
2013-06-25,-0.069351,1.248442,-0.305164,1.193147,1.193171,0.34678,0.425854,0.626066,0.990877,1.682258,2.275315,0,65.097229
2013-06-26,1.127984,1.281166,-0.278509,-0.388401,-0.388413,0.295225,0.937201,0.984084,1.186287,1.803566,2.454967,-1,64.844383
2013-06-27,0.26415,0.848048,-0.111222,0.16711,0.16712,0.069499,0.695115,0.688627,0.839525,1.448725,2.125257,0,64.952751
2013-06-28,0.209313,0.86519,-0.083737,-0.375359,-0.375393,0.120026,1.082911,0.856845,1.14571,1.64135,2.357131,-1,64.708923
