date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2013-06-03,-0.691569,0.553246,-1.146023,1.52458,1.524602,0.493954,0.458392,0.044775,-1.4e-05,-0.284542,-1.001791,0,40.011341
2013-06-04,0.197585,0.454454,-0.671806,0.0,0.0,0.244996,0.45049,0.060582,0.03259,-0.212619,-0.758097,0,40.011341
2013-06-05,0.603134,0.904698,-0.241261,-1.719026,-1.719025,1.37916,1.936054,1.694128,1.701835,1.492546,1.099704,-1,39.323536
2013-06-06,-0.780312,0.020012,-1.140456,0.482505,0.48249,0.356151,1.358547,1.188479,1.123454,1.024414,0.702953,0,39.513268
2013-06-07,-0.381454,0.863282,-0.843208,-0.340134,-0.340119,0.68259,1.499686,1.567276,1.385252,1.394084,1.095484,-1,39.378876
2013-06-10,-0.099846,0.339453,-0.758788,0.542062,0.542065,-0.071892,0.742795,0.990399,0.809689,0.832251,0.630307,0,39.592335
2013-06-11,-0.341019,0.341027,-0.601803,-0.459273,-0.459298,0.084274,0.928803,1.349398,1.210649,1.263006,1.104663,-1,39.410488
2013-06-12,1.08981,1.130176,-0.100906,-0.601803,-0.601787,0.613521,1.190716,1.755801,1.716445,1.796163,1.670364,-1,39.173321
2013-06-13,-0.540543,0.300294,-0.720723,0.807269,0.807261,-0.2042,0.106111,0.878213,0.885887,0.906508,0.870204,0,39.489552
2013-06-14,-0.359281,0.239527,-0.638721,0.300294,0.3003,-0.387223,-0.143706,0.479044,0.637727,0.56128,0.608119,0,39.608139
2013-06-17,0.078472,0.922107,0.0,1.736533,1.736535,-1.738285,-1.777518,-1.256954,-1.014328,-1.108107,-1.063376,0,40.295948
2013-06-18,-0.68094,0.330735,-0.700391,0.843635,0.843636,-1.957203,-2.445529,-2.062263,-1.769462,-1.864598,-1.818425,0,40.635899
2013-06-19,0.924252,1.547119,-0.502311,-3.17121,-1.698594,0.123617,-0.604099,-0.469314,-0.127812,-0.175449,-0.122763,-1,39.94566
2013-06-20,0.124099,0.703208,-0.703206,-2.853128,-2.853151,2.711876,2.132835,2.150339,2.669425,2.672842,2.688703,-1,38.80595
2013-06-21,-0.208982,0.14629,-1.149423,-1.034126,-1.034115,3.158393,2.946368,3.043125,3.510416,3.664808,3.620207,-1,38.404652
2013-06-24,-0.445582,0.91237,-0.721409,-1.504696,-1.504698,3.428814,4.052316,4.232288,4.74863,5.043389,5.027412,-1,37.826778
2013-06-25,0.021088,0.421854,-0.822611,0.594099,0.594098,1.459609,3.080652,3.273338,3.807027,4.213672,4.24376,0,38.051506
2013-06-26,0.062891,0.293499,-0.587008,0.611687,0.611692,-0.025164,2.221724,2.46449,2.881172,3.359986,3.459613,0,38.284264
2013-06-27,-0.721945,0.268154,-0.783833,1.635218,1.635233,-1.580046,0.428187,0.712605,1.01228,1.599257,1.734568,0,38.910301
2013-06-28,-0.225875,0.328542,-0.595485,0.453797,0.45378,-1.675562,-0.15884,0.207852,0.51458,1.027897,1.266956,0,39.086868
2013-07-01,-0.204673,0.429797,-0.245598,0.328542,0.328555,-1.289406,-0.761369,-0.184407,0.083918,0.573921,0.888494,0,39.21529
2013-07-02,0.290577,0.601912,-0.498134,-1.391733,-1.391763,0.423434,0.130779,1.096651,1.323008,1.803108,2.194049,-1,38.669506
2013-07-03,-0.975302,0.352774,-1.03756,0.020753,0.020766,0.605944,-0.217881,0.990206,1.218461,1.589252,2.025178,0,38.677536
2013-07-05,-0.124089,0.041367,-1.199582,0.332017,0.332012,0.219245,-0.548073,0.538577,0.792381,1.070974,1.596925,0,38.80595
2013-07-08,-0.245096,0.42892,-0.306368,1.261636,1.261654,-0.923212,-1.560463,-0.767101,-0.47403,-0.200005,0.255621,0,39.295547
2013-07-09,0.20383,0.244596,-0.754183,0.204252,0.204232,-1.043618,-1.367703,-1.125142,-0.704375,-0.467974,-0.037318,0,39.375801
2013-07-10,-0.930795,0.364225,-1.092669,0.733789,0.733811,-1.262656,-1.679487,-2.008639,-1.395658,-1.227983,-0.836494,0,39.664745
2013-07-11,-0.039785,0.258608,-0.5371,1.719956,1.719958,-2.104647,-2.830725,-3.599242,-2.917492,-2.796633,-2.529258,0,40.346962
2013-07-12,-0.237771,0.039629,-0.832181,0.397854,0.397854,-1.652475,-2.821491,-3.701221,-3.17656,-3.083652,-2.920875,0,40.507484
2013-07-15,0.315777,0.414452,-0.078936,0.396269,0.39625,-1.365687,-2.816252,-3.710271,-3.428403,-3.339373,-3.200962,0,40.667995
2013-07-16,0.392919,0.451864,-0.137525,0.453925,0.453922,-1.0884,-2.854614,-3.651598,-3.796653,-3.652758,-3.569727,0,40.852596
2013-07-17,0.743787,0.743787,-0.293601,0.373277,0.373276,-0.802495,-2.646302,-3.529708,-4.109405,-3.85551,-3.847557,0,41.005089
2013-07-18,-0.211622,0.500196,-0.327047,1.742024,1.74204,-1.843023,-3.584076,-4.632556,-5.538674,-5.257592,-5.302463,0,41.719414
2013-07-19,-0.019238,0.442391,-0.25005,0.019242,0.019228,-1.277169,-2.902477,-4.200805,-5.206766,-5.061282,-5.143793,0,41.727436
2013-07-22,0.113595,0.51117,-0.075731,1.596457,1.596465,-2.014391,-3.697463,-5.186168,-6.225861,-6.29031,-6.397301,0,42.3936
2013-07-23,0.11364,0.246214,-0.56818,-0.037866,-0.037864,-1.257578,-2.952651,-4.65278,-5.653409,-6.058333,-6.142767,-1,42.377548
2013-07-24,0.320933,0.660749,-0.490848,0.321973,0.321982,-0.86465,-2.593932,-4.355937,-5.431387,-6.183133,-6.200668,0,42.513996
2013-07-25,-1.07183,0.0,-1.10944,0.396449,0.396437,-0.804811,-2.431363,-4.108059,-5.28958,-6.297102,-6.296998,0,42.682537
2013-07-26,-0.41245,0.093736,-0.86239,0.300865,0.300877,-0.596181,-2.185987,-3.772037,-5.11812,-6.203983,-6.319473,0,42.810959
2013-07-29,0.833014,0.833014,-0.321844,-0.974878,-0.974888,0.382435,-0.815978,-2.337497,-3.794017,-4.904202,-5.178186,-1,42.3936
2013-07-30,0.754144,0.810709,-0.094267,0.416511,0.416532,0.056547,-0.823926,-2.242352,-3.799041,-4.852961,-5.393434,0,42.570183
2013-07-31,-0.4524,0.716307,-0.4524,0.01885,0.018835,0.067863,-0.473138,-1.804588,-3.358155,-4.445619,-5.259192,0,42.578201
2013-08-01,0.336891,0.505336,-0.168445,0.716307,0.716313,-0.550254,-0.909607,-2.108686,-3.555127,-4.696246,-5.704669,0,42.883194
2013-08-02,-0.186043,0.353487,-0.651159,0.598914,0.598911,-0.989766,-1.172094,-2.284656,-3.626981,-4.871447,-5.931167,0,43.140026
2013-08-05,-0.335946,0.093317,-0.634565,-0.316275,-0.316272,-0.391939,-0.716691,-1.612552,-2.890081,-4.205312,-5.276233,-1,43.003586
2013-08-06,0.03749,0.112469,-0.74976,-0.429272,-0.429269,0.153701,-0.185568,-0.882229,-2.069358,-3.455677,-4.479232,-1,42.818985
2013-08-07,-0.523468,0.056082,-0.616941,0.262426,0.262402,0.056098,-0.349585,-0.842514,-1.945214,-3.311265,-4.350337,0,42.931343
2013-08-08,0.018604,0.390769,-0.427994,0.467377,0.467381,-0.294002,-0.70896,-1.085466,-2.078521,-3.347967,-4.420663,0,43.131996
2013-08-09,0.335322,0.596125,-0.093143,-0.111652,-0.111641,-0.208645,-0.534649,-0.765027,-1.670085,-2.842774,-3.990937,-1,43.083843
2013-08-12,0.018671,0.261338,-0.392009,-0.204918,-0.204919,-0.007469,-0.190403,-0.467922,-1.1975,-2.299049,-3.490762,-1,42.995556
2013-08-13,-0.241191,0.092763,-0.408167,0.61602,0.616031,-0.415599,-0.641942,-0.941261,-1.524133,-2.538048,-3.76996,0,43.260422
2013-08-14,-0.018481,0.536046,-0.24029,0.37105,0.371025,-0.55821,-0.815139,-1.168189,-1.609964,-2.552294,-3.760921,0,43.420929
2013-08-15,-1.042238,0.237705,-1.609066,1.090575,1.090601,-1.283607,-1.65479,-2.050352,-2.42367,-3.280317,-4.403009,0,43.894478
2013-08-16,-0.289593,0.271497,-0.41629,1.023955,1.023944,-1.715837,-2.380091,-2.812669,-3.117647,-3.914572,-4.955658,0,44.343933
2013-08-19,0.605175,0.806899,-0.183383,-1.303169,-1.303161,-0.066023,-0.916933,-1.320379,-1.681648,-2.362743,-3.360237,-1,43.76606
2013-08-20,0.458884,0.495595,-0.238623,-0.091691,-0.091703,0.238623,-0.618572,-1.053593,-1.437219,-2.010275,-2.939913,-1,43.725925
2013-08-21,0.571222,0.921319,-0.350098,-0.385463,-0.385456,0.689147,-0.090292,-0.520854,-0.936062,-1.396723,-2.266449,-1,43.557381
2013-08-22,-0.036432,0.30965,-0.273228,1.160866,1.160864,-0.389802,-1.025504,-1.483914,-1.916214,-2.315487,-3.106866,0,44.063023
2013-08-23,-0.623336,0.302757,-0.676762,2.276867,2.276868,-2.286735,-2.788962,-3.392109,-3.849514,-4.193771,-4.926691,0,45.06628
